time, acs_timestamp, c, a, T_int, T_ext, flag_outside_calibration_range
yyyy/mm/dd HH:MM:SS.fff, ms, 1/m	lambda=400.5 404.8 408.9 412.6 416.9 421.7 426.5 431.1 435.7 440.0 444.9 450.0 454.8 459.4 464.0 468.5 473.8 479.0 484.1 489.0 493.5 498.6 503.5 508.5 513.7 519.4 524.2 529.2 533.9 538.9 544.0 549.0 554.1 559.3 564.5 569.3 573.6 578.1 582.5 586.9 591.2 595.5 600.3 605.0 609.8 614.7 619.7 624.5 629.2 633.7 638.5 643.1 647.9 652.6 657.0 661.6 666.4 670.8 675.4 679.8 683.8 687.9 692.0 695.5 699.6 703.4 707.1 710.7 714.4 717.7 721.1 724.3 727.5 730.5 733.4 736.4 739.2 742.1 744.8 747.6 749.8, 1/m	lambda=400.0 404.6 408.7 412.5 416.9 421.4 426.5 430.9 435.5 439.8 444.8 449.9 455.0 459.4 463.8 468.7 474.0 479.2 484.1 489.2 493.9 498.9 503.8 508.7 514.0 519.7 524.8 529.9 534.6 539.6 544.4 549.7 554.6 560.1 565.2 569.8 574.2 579.0 583.4 587.8 592.7 597.4 602.1 607.0 612.0 616.9 621.9 626.5 631.2 635.8 640.8 645.3 650.2 654.9 659.3 663.9 668.8 673.2 677.6 681.9 686.1 690.0 693.9 697.8 701.8 705.5 709.1 712.8 716.6 719.8 723.2 726.5 729.4 732.3 735.3 738.3 741.3 744.2 746.7 749.4 751.9, deg_C, deg_C, bool
2021/08/04 22:45:01.308, 653195, [0.23901185 0.20544634 0.19987112 0.18399818 0.17038357 0.16339949 0.14875196 0.14442757 0.13219981 0.12345914 0.12149206 0.11226059 0.10823052 0.10658138 0.09678973 0.09521093 0.09237914 0.08672738 0.08690505 0.08126086 0.0792476  0.07657961 0.07461554 0.07224963 0.06946207 0.06694176 0.06605062 0.0623904  0.06060912 0.05953039 0.05674013 0.05504592 0.05433363 0.05045089 0.05040096 0.04948586 0.04759029 0.04854515 0.04701847 0.04661736 0.0453631  0.04571553 0.04516808 0.04428714 0.04307232 0.03966115 0.03861643 0.03884126 0.03571443 0.03382023 0.03285542 0.0313294  0.03165626 0.03147914 0.03015924 0.0301461  0.02954289 0.02881061 0.02739634 0.02526773 0.02472064 0.02440429 0.02099798 0.02249647 0.02470212 0.02352319 0.02518449 0.02781212 0.03066646 0.03627844 0.04274275 0.04904174 0.05532023 0.06497125 0.0682588  0.07454242 0.0770757  0.07523434 0.07534505 0.06928722 0.06550709], [0.20025909 0.18161    0.15532579 0.15430985 0.14848856 0.13827747 0.13780917 0.12796313 0.11910062 0.11238182 0.11455802 0.10697245 0.10475816 0.10234442 0.10046453 0.09964471 0.09565929 0.09257698 0.09192306 0.09109529 0.08893916 0.08835203 0.08834239 0.08667509 0.08539119 0.08537054 0.08356829 0.08386428 0.08180159 0.08179397 0.0801134  0.07957649 0.07882516 0.07887603 0.07890324 0.07815009 0.07937859 0.0790688  0.07936454 0.07879055 0.0804637  0.08063192 0.08043591 0.08013839 0.07886124 0.07748512 0.07609912 0.07572751 0.0742722  0.07324717 0.07290761 0.0718459  0.07205172 0.07265464 0.07295571 0.07329857 0.07261927 0.07188735 0.0709647  0.06933695 0.06909529 0.06896214 0.06752637 0.06800863 0.0684357  0.0707597  0.07427954 0.07825839 0.08186036 0.08776899 0.09448333 0.10195296 0.10935256 0.11713492 0.12173149 0.12454674 0.12742802 0.12529799 0.12319654 0.11891482 0.10332361], 22.04, 21.65, False
2021/08/04 22:45:01.565, 653444, [0.23350988 0.20639658 0.19482248 0.1767243  0.17183587 0.16188913 0.1455959  0.14010397 0.13754148 0.12356938 0.12116334 0.11312303 0.10598334 0.10719676 0.09789296 0.09574818 0.0910083  0.08697579 0.08499545 0.08082063 0.07702326 0.07717563 0.07301564 0.07313749 0.06928994 0.06713822 0.06557948 0.0623678  0.0593034  0.05891434 0.05631807 0.05485994 0.05317398 0.0497994  0.05064254 0.04902545 0.0475588  0.04778513 0.04581009 0.04567692 0.04504684 0.04507513 0.04539068 0.04414289 0.04275159 0.03907655 0.03846389 0.03919979 0.03576665 0.03356345 0.03207584 0.0315664  0.03144339 0.03110411 0.03042772 0.0299244  0.02953508 0.02873453 0.02715464 0.02537408 0.02420512 0.02434083 0.02092976 0.02293491 0.02399739 0.02375426 0.02549148 0.02731641 0.03068847 0.03658853 0.04239108 0.04883497 0.0547035  0.06474899 0.06760517 0.07391879 0.07497274 0.07604749 0.07582762 0.0710927  0.06267507], [0.19782684 0.18131941 0.17225155 0.16044888 0.14566886 0.13787083 0.13382029 0.12660875 0.11650518 0.11871938 0.11369936 0.11215606 0.10624267 0.10046488 0.09947145 0.09837758 0.09624086 0.09476691 0.09322415 0.09259455 0.09061792 0.08767257 0.08782291 0.08695661 0.08592972 0.08585567 0.08413842 0.08288295 0.08201901 0.08175865 0.08109884 0.07974957 0.07928782 0.07838719 0.07851936 0.07916632 0.07945207 0.07951711 0.07924799 0.07922503 0.08009684 0.080504   0.08038182 0.08028122 0.07904912 0.07752467 0.07686606 0.07570852 0.07412403 0.07381629 0.072225   0.07177403 0.07170882 0.07224507 0.07305814 0.0729351  0.0723189  0.07236919 0.0708727  0.06977647 0.06925069 0.06924553 0.06814031 0.06757166 0.06881081 0.07151563 0.07515238 0.07847855 0.08258087 0.08900042 0.09495565 0.10150008 0.10966089 0.11715562 0.12182028 0.12613636 0.12794618 0.12884061 0.12242988 0.11932064 0.10403839], 22.03, 21.65, False
2021/08/04 22:45:01.806, 653695, [0.22456411 0.20183629 0.21057536 0.18311767 0.17171533 0.16136845 0.14832351 0.14323115 0.13206437 0.12697521 0.11995098 0.11488296 0.10656862 0.1053267  0.09689889 0.09784805 0.09343515 0.0875733  0.08612962 0.08195679 0.0780904  0.07935552 0.07350198 0.07382332 0.07154544 0.06806606 0.06567927 0.06346848 0.06057788 0.05894439 0.05823224 0.05603126 0.05297448 0.05181795 0.05035178 0.05125512 0.04845602 0.04719434 0.04759009 0.04602209 0.04533016 0.04553783 0.04419082 0.04406601 0.04214592 0.03887121 0.03828647 0.03800598 0.03489599 0.03344582 0.03250045 0.0311918  0.03113922 0.03166753 0.0292156  0.02917469 0.03028866 0.02749069 0.02657108 0.02501843 0.02309622 0.02501049 0.0208441  0.02212251 0.02501501 0.02274382 0.02368159 0.02905495 0.0295311  0.03599032 0.04413633 0.04632458 0.05712543 0.06369124 0.06561851 0.07435865 0.07596074 0.07322982 0.07495813 0.07100701 0.06125217], [0.20513124 0.1661276  0.17174871 0.15529802 0.14956667 0.13733364 0.13528162 0.12930311 0.12245976 0.11404189 0.11662635 0.11089429 0.10569275 0.10206781 0.10197095 0.09817073 0.09460574 0.09479622 0.09201543 0.09166483 0.09053096 0.08890422 0.08828422 0.08724105 0.08681564 0.08548316 0.08429826 0.08318781 0.08182149 0.08121852 0.08029122 0.07977897 0.07937964 0.07912119 0.07888602 0.07878413 0.07914059 0.07923728 0.0794698  0.07847165 0.08046612 0.08045623 0.08075121 0.0803978  0.07887182 0.07779275 0.07622654 0.07589137 0.07457705 0.07330967 0.07282172 0.07214902 0.0719589  0.07263359 0.07310728 0.07250346 0.07340483 0.0720202  0.0708474  0.07026209 0.06992068 0.06857466 0.06797721 0.06834135 0.0686923  0.07107569 0.07549678 0.07789021 0.0837597  0.08870779 0.09387179 0.10354189 0.11049489 0.11564528 0.12287876 0.12641561 0.1287914  0.12612018 0.12308151 0.12010612 0.10572872], 22.03, 21.65, False
2021/08/04 22:45:02.061, 653946, [0.23604483 0.20213558 0.19906179 0.18363592 0.17308015 0.15672823 0.15430463 0.13941449 0.13583506 0.12598112 0.11784881 0.11299562 0.10686473 0.10468746 0.09809637 0.09606248 0.09081556 0.08837715 0.08495149 0.08069835 0.07945818 0.07602578 0.07366812 0.07309636 0.06786434 0.06782792 0.065535   0.062141   0.06103056 0.05694585 0.05666981 0.05672092 0.0520068  0.05076422 0.0507838  0.04921646 0.04911501 0.04724344 0.04592214 0.04579677 0.0446197  0.04517165 0.04395432 0.04384465 0.04227021 0.03880879 0.03825055 0.0383159  0.03518851 0.03343033 0.03199872 0.03145251 0.03116596 0.03101835 0.02976003 0.02895991 0.02958455 0.02812522 0.02681875 0.02568588 0.02376185 0.02444209 0.021493   0.02203999 0.02416951 0.02326445 0.02353754 0.02761792 0.03043018 0.03517244 0.04477445 0.04623919 0.05604079 0.06456312 0.06582301 0.07205252 0.07739052 0.07527733 0.07620265 0.06760247 0.06315487], [0.20385455 0.17372473 0.16546826 0.15205947 0.15018938 0.13820821 0.135893   0.12345227 0.12313859 0.11949362 0.11388815 0.10970144 0.10796492 0.10204123 0.10093134 0.09714744 0.09540797 0.09571994 0.0937906  0.09235647 0.09083677 0.08963234 0.08900849 0.08750493 0.08549077 0.08548373 0.08362934 0.08363633 0.08275289 0.08127342 0.08128132 0.08010704 0.07883512 0.0792742  0.07906114 0.07920667 0.07931987 0.07925493 0.07935503 0.07892071 0.0799817  0.0801735  0.08047518 0.07989944 0.07909434 0.077691   0.07694294 0.07527042 0.07423728 0.0735972  0.07220689 0.0718807  0.07201593 0.07253777 0.0727405  0.07258258 0.07236836 0.07173609 0.07108321 0.06978256 0.06942795 0.0687267  0.06864904 0.06819754 0.06895339 0.07108635 0.07452652 0.07879974 0.0824354  0.08844768 0.09533423 0.10101496 0.11040628 0.11725321 0.12132346 0.1252631  0.12778363 0.12496193 0.12350241 0.11992571 0.10275301], 22.03, 21.66, False
2021/08/04 22:45:02.317, 654195, [0.21863885 0.21222799 0.19651916 0.18114568 0.16548397 0.16159484 0.14795906 0.14101104 0.13557755 0.12114395 0.12082944 0.11245043 0.10715319 0.1038689  0.09915533 0.09518341 0.09065294 0.08666378 0.08426849 0.08207703 0.07770172 0.0775169  0.07357867 0.07240791 0.06881421 0.06718115 0.06506074 0.0631702  0.05970446 0.05751784 0.05692917 0.05503479 0.05241823 0.05133123 0.04985109 0.05022702 0.04744516 0.04840389 0.04666262 0.04590341 0.04477219 0.04488354 0.04474354 0.04360771 0.04247827 0.03908196 0.0382024  0.03823844 0.03547512 0.03360253 0.03238912 0.0310446  0.03097678 0.03091034 0.02963324 0.0294984  0.02948396 0.02814564 0.02763243 0.02460025 0.02425475 0.02346319 0.02045768 0.02292164 0.02339615 0.0233291  0.02454262 0.02823935 0.03089376 0.03556913 0.0415029  0.04870354 0.05413638 0.06423515 0.06746886 0.0724459  0.07682614 0.07656688 0.07393078 0.06884279 0.06537419], [0.19080251 0.17755667 0.15563983 0.15707507 0.14765067 0.14291896 0.13239766 0.12644256 0.11848501 0.11518468 0.1142757  0.10978135 0.10672644 0.10071594 0.100615   0.09913796 0.09478715 0.09504849 0.09194783 0.0919818  0.09039624 0.08793105 0.08748309 0.08694348 0.08511289 0.0857305  0.08357938 0.08301102 0.08122097 0.08100128 0.07990171 0.07924398 0.07883364 0.07816816 0.0783226  0.07854456 0.07883925 0.07912847 0.07921691 0.07872851 0.07931899 0.07984277 0.0798494  0.07937384 0.07875449 0.0772164  0.07621659 0.0751724  0.07404406 0.07335709 0.07191894 0.07144457 0.07192797 0.07199304 0.07275168 0.07265735 0.07254785 0.07195375 0.07129677 0.06928711 0.06890155 0.06886511 0.06859349 0.06768132 0.0691456  0.07091803 0.07413135 0.07800309 0.08148583 0.08728351 0.09443342 0.10095147 0.1084462  0.11689389 0.12284046 0.12553162 0.12774106 0.12513319 0.12275663 0.11982041 0.10245353], 22.03, 21.66, False
2021/08/04 22:45:02.557, 654445, [0.23016122 0.20534259 0.20132275 0.18495771 0.16834651 0.15929421 0.14792438 0.14079353 0.13366603 0.12647562 0.12314821 0.11190502 0.10682612 0.1044018  0.09671656 0.09539979 0.08986381 0.0873389  0.08425935 0.08107706 0.08041889 0.07598178 0.07339923 0.07306172 0.06927809 0.06683064 0.06642622 0.06149167 0.05948328 0.05792219 0.05729405 0.05573595 0.05309935 0.0509324  0.05007207 0.04922157 0.04841937 0.04782285 0.04681645 0.04622644 0.04486904 0.04558224 0.04462372 0.04371533 0.04262592 0.03936439 0.03831271 0.03878572 0.03551961 0.0335787  0.03259956 0.0310142  0.0313272  0.03125813 0.02948402 0.02973454 0.02936992 0.0278347  0.02775368 0.02494772 0.02414717 0.02416472 0.02082578 0.02286078 0.02369448 0.023405   0.02514429 0.02734069 0.03093956 0.03674418 0.04218518 0.04924361 0.05532901 0.06404939 0.06819745 0.0725031  0.077043   0.07606155 0.07467934 0.0666135  0.06400602], [0.18215409 0.18197007 0.17135102 0.15480817 0.15015577 0.14040481 0.13188764 0.12556657 0.12202608 0.11602873 0.11408745 0.11025259 0.10639321 0.10065664 0.09974708 0.09764171 0.09558896 0.09525364 0.09311408 0.09168757 0.09211038 0.08873581 0.08771975 0.08656251 0.08623267 0.0856975  0.0836729  0.08341943 0.0826159  0.08130718 0.08007412 0.07980247 0.07930144 0.07922331 0.07934317 0.07839587 0.07906871 0.07940083 0.07952915 0.07917923 0.08042302 0.08018664 0.08047749 0.07993936 0.07895136 0.07750676 0.07665185 0.07540787 0.07461391 0.0733512  0.07239933 0.071946   0.07181272 0.07284103 0.07236532 0.07267507 0.07247954 0.07180033 0.07069956 0.06965875 0.06937551 0.06893985 0.06842093 0.06785107 0.06950616 0.07077912 0.07456098 0.07837229 0.08135657 0.08882729 0.09459264 0.10249499 0.10856083 0.11672772 0.12257743 0.12603094 0.12800605 0.12715006 0.12479515 0.11792623 0.10620698], 22.04, 21.65, False
2021/08/04 22:45:02.814, 654695, [0.22358341 0.21114945 0.19852803 0.18270223 0.17158796 0.16181683 0.14565046 0.1459224  0.12974702 0.12554037 0.12063057 0.11537258 0.10740182 0.10369473 0.09773244 0.0960443  0.09260353 0.08525536 0.08541205 0.08290248 0.07739689 0.07692559 0.07458142 0.07144429 0.06888168 0.06713002 0.06506578 0.06277883 0.05959136 0.05933168 0.05679205 0.05492829 0.05354062 0.05071508 0.04931031 0.04962146 0.04863397 0.04748109 0.04671754 0.04479524 0.04468911 0.04509447 0.04427591 0.0441501  0.04274249 0.03923243 0.03831254 0.03837609 0.03508098 0.03348867 0.03247794 0.03144414 0.03110752 0.03120843 0.02930925 0.02980158 0.02949266 0.02844354 0.02719198 0.02490428 0.023941   0.0241571  0.02052596 0.0236125  0.02280119 0.02343464 0.02578687 0.02748194 0.03137861 0.03550401 0.04260542 0.04824829 0.05585297 0.06386337 0.06624055 0.0729196  0.07715196 0.07694735 0.07371023 0.06800931 0.06440739], [0.18585921 0.18543119 0.1715316  0.14764328 0.14757234 0.13410845 0.13469209 0.12526816 0.12015881 0.1172029  0.11212358 0.10922716 0.10270198 0.10208713 0.09971495 0.09846143 0.09439897 0.09402013 0.09410369 0.09170348 0.08981099 0.0882112  0.08780182 0.08645321 0.08557007 0.08559541 0.08356091 0.08314388 0.08123194 0.08036375 0.07951512 0.07945113 0.07927046 0.07837394 0.07753592 0.07887524 0.0789498  0.07920136 0.07917171 0.0786505  0.07971567 0.07971631 0.0804724  0.07987144 0.07944762 0.07743735 0.07627775 0.07510762 0.07424609 0.07277185 0.07238582 0.07197282 0.07203521 0.07276121 0.07286258 0.07237864 0.07244673 0.07181995 0.07036376 0.06968644 0.06902196 0.06864715 0.0679027  0.06724961 0.06951975 0.0710408  0.07399633 0.07813654 0.08242688 0.08813952 0.09508628 0.1011488  0.10855082 0.11548415 0.12212964 0.12603153 0.126864   0.12643598 0.12232734 0.11899776 0.10403025], 22.03, 21.66, False
2021/08/04 22:45:03.070, 654945, [0.2250269  0.20374936 0.20334098 0.18253611 0.1788397  0.15516377 0.1472874  0.14258271 0.13210085 0.1280094  0.12069295 0.1164386  0.10482882 0.10445878 0.10014892 0.09534811 0.09145318 0.08806794 0.08551353 0.08120304 0.07901146 0.07623327 0.07498723 0.07281459 0.06943454 0.06715728 0.06640146 0.06287054 0.06037384 0.05870553 0.05675787 0.05546803 0.05323891 0.05096328 0.05027786 0.04949686 0.04794353 0.04844541 0.04664223 0.04641253 0.04496763 0.0460155  0.04439975 0.04423783 0.04214543 0.03921706 0.03836813 0.0387706  0.03503143 0.03364517 0.03201428 0.03118417 0.03071567 0.03108338 0.02948622 0.02929769 0.02975294 0.028317   0.02681311 0.02520938 0.02424737 0.02332786 0.02086205 0.02229721 0.02384691 0.02341199 0.02400942 0.02854138 0.03068993 0.03585091 0.04322139 0.04849745 0.05528821 0.06523177 0.06708384 0.07378398 0.07820369 0.07488353 0.07350048 0.07083617 0.06209049], [0.18677087 0.17667172 0.16326126 0.15647303 0.14161112 0.13673303 0.12995114 0.12723806 0.11870094 0.11514906 0.11360998 0.10847985 0.10227729 0.10087107 0.09845125 0.09843344 0.09486205 0.09453643 0.09168487 0.09170129 0.0907479  0.08814292 0.08834779 0.0866726  0.08576993 0.08483879 0.08359621 0.08259758 0.08201566 0.08085061 0.07961514 0.07978891 0.07848528 0.07826047 0.07847041 0.07843107 0.07952674 0.07916003 0.07891276 0.07879338 0.07942893 0.07987558 0.0799582  0.0802419  0.07890296 0.07729713 0.07607474 0.07550072 0.0740361  0.07303056 0.07237542 0.07139127 0.07184909 0.07256223 0.07296892 0.07297866 0.07268584 0.07178262 0.07074103 0.06952734 0.06904247 0.06858273 0.06812295 0.06739255 0.0690889  0.07141698 0.07423167 0.07784734 0.08259591 0.08741925 0.09433074 0.10087314 0.10894953 0.11545884 0.12034739 0.12669182 0.12711419 0.12687702 0.12373403 0.11945125 0.10333112], 22.04, 21.66, False
2021/08/04 22:45:03.310, 655195, [0.23554021 0.20291052 0.19854122 0.18113637 0.17424318 0.16273984 0.15134685 0.13631747 0.13788042 0.12358405 0.11871866 0.1156157  0.10693383 0.1072759  0.0978112  0.09471205 0.09127408 0.08795765 0.08524408 0.08126176 0.07760847 0.0784693  0.07344873 0.07167589 0.06956658 0.06697949 0.06676754 0.06275646 0.05971841 0.05988847 0.05654308 0.05630196 0.05336718 0.05070886 0.05132173 0.04905766 0.04854014 0.04814795 0.04743215 0.04595386 0.04577954 0.04532862 0.04452924 0.0440788  0.04226429 0.03918696 0.03944984 0.04070707 0.03689442 0.03500173 0.0335434  0.03235655 0.03308119 0.0313806  0.03043146 0.03109671 0.02964326 0.02883516 0.02874475 0.02468152 0.02585403 0.0251149  0.02041791 0.02541644 0.02374166 0.02256527 0.02695579 0.02628276 0.03204782 0.03846074 0.04119944 0.05052297 0.05525667 0.06252658 0.06955977 0.07321828 0.07520957 0.0786451  0.07179661 0.06888889 0.06520714], [0.19404491 0.17702116 0.16204789 0.14510136 0.15056582 0.13560302 0.1329162  0.12409493 0.12223659 0.11614527 0.11190323 0.10922088 0.10477148 0.09930878 0.10016385 0.09567483 0.09643923 0.09354693 0.09149811 0.09194402 0.08954603 0.08875817 0.08690189 0.08695502 0.08628781 0.0852308  0.08431689 0.08303553 0.08211952 0.08071851 0.07927535 0.08002208 0.0790746  0.07869051 0.07903271 0.07830645 0.07926262 0.07898288 0.07854783 0.07836704 0.07968267 0.08058473 0.08031804 0.08009832 0.07921498 0.07772838 0.07644747 0.07571012 0.07398971 0.0733689  0.07202006 0.07184496 0.07182801 0.07254029 0.07283378 0.07256204 0.07267685 0.07173873 0.07027119 0.07002951 0.06958497 0.06867014 0.06786    0.0679511  0.06857488 0.07145177 0.07476719 0.07802638 0.08304784 0.08789648 0.09445203 0.10262759 0.10700353 0.11623554 0.12169313 0.12454784 0.1270253  0.12636904 0.12390628 0.11887614 0.10373341], 22.03, 21.65, False
