lat=43 47.66737 N, lon=069 57.81890 W, hms=122029, dmy=040821, t1=18.254000, c1=4.118110, s=30.812400, sigma=22.007600
lat=43 47.65638 N, lon=069 57.83510 W, hms=122036, dmy=040821, t1=18.244800, c1=4.117540, s=30.814600, sigma=22.011600
lat=43 47.65480 N, lon=069 57.83739 W, hms=122037, dmy=040821, t1=18.232400, c1=4.117210, s=30.821100, sigma=22.019600
lat=43 47.65322 N, lon=069 57.83979 W, hms=122038, dmy=040821, t1=18.217700, c1=4.116860, s=30.829100, sigma=22.029300
lat=43 47.65161 N, lon=069 57.84227 W, hms=122039, dmy=040821, t1=18.215500, c1=4.116550, s=30.828300, sigma=22.029200
lat=43 47.64999 N, lon=069 57.84481 W, hms=122040, dmy=040821, t1=18.210900, c1=4.116210, s=30.828900, sigma=22.030800
lat=43 47.64836 N, lon=069 57.84747 W, hms=122041, dmy=040821, t1=18.205400, c1=4.115900, s=30.830400, sigma=22.033200
lat=43 47.64668 N, lon=069 57.85031 W, hms=122042, dmy=040821, t1=18.206900, c1=4.115470, s=30.825700, sigma=22.029200
lat=43 47.64501 N, lon=069 57.85311 W, hms=122043, dmy=040821, t1=18.197900, c1=4.115140, s=30.829700, sigma=22.034500
lat=43 47.64330 N, lon=069 57.85598 W, hms=122044, dmy=040821, t1=18.185400, c1=4.115010, s=30.838000, sigma=22.043800
lat=43 47.64157 N, lon=069 57.85890 W, hms=122045, dmy=040821, t1=18.181400, c1=4.114680, s=30.838300, sigma=22.045200
lat=43 47.63986 N, lon=069 57.86185 W, hms=122046, dmy=040821, t1=18.178100, c1=4.114350, s=30.838000, sigma=22.045600
lat=43 47.63815 N, lon=069 57.86485 W, hms=122047, dmy=040821, t1=18.171900, c1=4.114170, s=30.841200, sigma=22.049400
lat=43 47.63656 N, lon=069 57.86783 W, hms=122048, dmy=040821, t1=18.172300, c1=4.113740, s=30.837200, sigma=22.046400
lat=43 47.63488 N, lon=069 57.87081 W, hms=122049, dmy=040821, t1=18.178600, c1=4.113620, s=30.831500, sigma=22.040700
lat=43 47.63321 N, lon=069 57.87387 W, hms=122050, dmy=040821, t1=18.178400, c1=4.113430, s=30.830100, sigma=22.039600
lat=43 47.63151 N, lon=069 57.87687 W, hms=122051, dmy=040821, t1=18.172000, c1=4.113080, s=30.832000, sigma=22.042400
lat=43 47.62978 N, lon=069 57.87993 W, hms=122052, dmy=040821, t1=18.161500, c1=4.112910, s=30.838400, sigma=22.050000
lat=43 47.62629 N, lon=069 57.88571 W, hms=122054, dmy=040821, t1=18.155200, c1=4.112790, s=30.842100, sigma=22.054300
lat=43 47.62452 N, lon=069 57.88859 W, hms=122055, dmy=040821, t1=18.154700, c1=4.112540, s=30.840400, sigma=22.053100
lat=43 47.62279 N, lon=069 57.89140 W, hms=122056, dmy=040821, t1=18.140800, c1=4.112360, s=30.849400, sigma=22.063300
lat=43 47.61911 N, lon=069 57.89700 W, hms=122058, dmy=040821, t1=18.126100, c1=4.112260, s=30.859700, sigma=22.074600
lat=43 47.61728 N, lon=069 57.89987 W, hms=122059, dmy=040821, t1=18.119400, c1=4.112150, s=30.863800, sigma=22.079500
lat=43 47.61544 N, lon=069 57.90268 W, hms=122100, dmy=040821, t1=18.110700, c1=4.112020, s=30.869200, sigma=22.085800
lat=43 47.61179 N, lon=069 57.90830 W, hms=122102, dmy=040821, t1=18.102600, c1=4.111990, s=30.875100, sigma=22.092100
lat=43 47.60994 N, lon=069 57.91111 W, hms=122103, dmy=040821, t1=18.097800, c1=4.112020, s=30.878900, sigma=22.096300
lat=43 47.60627 N, lon=069 57.91679 W, hms=122105, dmy=040821, t1=18.097000, c1=4.111950, s=30.878900, sigma=22.096400
lat=43 47.60449 N, lon=069 57.91961 W, hms=122106, dmy=040821, t1=18.088900, c1=4.111870, s=30.884400, sigma=22.102600
lat=43 47.60268 N, lon=069 57.92245 W, hms=122107, dmy=040821, t1=18.084300, c1=4.111840, s=30.887600, sigma=22.106100
lat=43 47.59907 N, lon=069 57.92801 W, hms=122109, dmy=040821, t1=18.083700, c1=4.111850, s=30.888200, sigma=22.106700
lat=43 47.59726 N, lon=069 57.93070 W, hms=122110, dmy=040821, t1=18.079500, c1=4.111950, s=30.892100, sigma=22.110700
lat=43 47.59544 N, lon=069 57.93329 W, hms=122111, dmy=040821, t1=18.072800, c1=4.111990, s=30.897600, sigma=22.116600
lat=43 47.59177 N, lon=069 57.93857 W, hms=122113, dmy=040821, t1=18.061100, c1=4.112140, s=30.907700, sigma=22.127100
lat=43 47.58995 N, lon=069 57.94117 W, hms=122114, dmy=040821, t1=18.056800, c1=4.112480, s=30.913700, sigma=22.132800
lat=43 47.58622 N, lon=069 57.94650 W, hms=122116, dmy=040821, t1=18.045400, c1=4.112900, s=30.925900, sigma=22.144800
lat=43 47.58433 N, lon=069 57.94920 W, hms=122117, dmy=040821, t1=18.047400, c1=4.113170, s=30.926700, sigma=22.144900
lat=43 47.58241 N, lon=069 57.95187 W, hms=122118, dmy=040821, t1=18.036800, c1=4.113430, s=30.936800, sigma=22.155200
lat=43 47.57853 N, lon=069 57.95709 W, hms=122120, dmy=040821, t1=18.034900, c1=4.113580, s=30.939500, sigma=22.157700
lat=43 47.57662 N, lon=069 57.95969 W, hms=122121, dmy=040821, t1=18.030500, c1=4.113680, s=30.943600, sigma=22.161900
lat=43 47.57466 N, lon=069 57.96230 W, hms=122122, dmy=040821, t1=18.025800, c1=4.113750, s=30.947900, sigma=22.166300
lat=43 47.57088 N, lon=069 57.96755 W, hms=122124, dmy=040821, t1=18.024800, c1=4.113790, s=30.949000, sigma=22.167400
lat=43 47.56899 N, lon=069 57.97017 W, hms=122125, dmy=040821, t1=18.026000, c1=4.113900, s=30.948900, sigma=22.167100
lat=43 47.56712 N, lon=069 57.97281 W, hms=122126, dmy=040821, t1=18.011400, c1=4.114040, s=30.961100, sigma=22.179800
lat=43 47.56330 N, lon=069 57.97809 W, hms=122128, dmy=040821, t1=18.008500, c1=4.114250, s=30.965100, sigma=22.183600
lat=43 47.56142 N, lon=069 57.98074 W, hms=122129, dmy=040821, t1=18.010800, c1=4.114540, s=30.965700, sigma=22.183500
lat=43 47.55765 N, lon=069 57.98611 W, hms=122131, dmy=040821, t1=18.010800, c1=4.114970, s=30.969400, sigma=22.186200
lat=43 47.55579 N, lon=069 57.98877 W, hms=122132, dmy=040821, t1=17.992200, c1=4.115450, s=30.987500, sigma=22.204600
lat=43 47.55390 N, lon=069 57.99147 W, hms=122133, dmy=040821, t1=17.970300, c1=4.115830, s=31.007300, sigma=22.225000
lat=43 47.55015 N, lon=069 57.99686 W, hms=122135, dmy=040821, t1=17.981200, c1=4.116200, s=31.002200, sigma=22.218500
lat=43 47.54823 N, lon=069 57.99962 W, hms=122136, dmy=040821, t1=17.978900, c1=4.116510, s=31.006500, sigma=22.222300
lat=43 47.54637 N, lon=069 58.00234 W, hms=122137, dmy=040821, t1=17.975000, c1=4.116750, s=31.011500, sigma=22.227100
lat=43 47.54274 N, lon=069 58.00778 W, hms=122139, dmy=040821, t1=17.966800, c1=4.116950, s=31.019300, sigma=22.235000
lat=43 47.54079 N, lon=069 58.01060 W, hms=122140, dmy=040821, t1=17.957700, c1=4.117140, s=31.027900, sigma=22.243800
lat=43 47.53714 N, lon=069 58.01604 W, hms=122142, dmy=040821, t1=17.961900, c1=4.117280, s=31.025800, sigma=22.241200
lat=43 47.53532 N, lon=069 58.01877 W, hms=122143, dmy=040821, t1=17.959400, c1=4.117310, s=31.028000, sigma=22.243400
lat=43 47.53352 N, lon=069 58.02150 W, hms=122144, dmy=040821, t1=17.956300, c1=4.117230, s=31.029700, sigma=22.245500
lat=43 47.52987 N, lon=069 58.02697 W, hms=122146, dmy=040821, t1=17.953900, c1=4.117190, s=31.031200, sigma=22.247300
lat=43 47.52807 N, lon=069 58.02975 W, hms=122147, dmy=040821, t1=17.952100, c1=4.117060, s=31.031400, sigma=22.247800
lat=43 47.52621 N, lon=069 58.03246 W, hms=122148, dmy=040821, t1=17.947000, c1=4.116890, s=31.033900, sigma=22.250900
lat=43 47.52245 N, lon=069 58.03766 W, hms=122150, dmy=040821, t1=17.939600, c1=4.116830, s=31.038900, sigma=22.256500
lat=43 47.51695 N, lon=069 58.04566 W, hms=122153, dmy=040821, t1=17.946100, c1=4.116710, s=31.033100, sigma=22.250600
lat=43 47.51512 N, lon=069 58.04832 W, hms=122154, dmy=040821, t1=17.938300, c1=4.116540, s=31.037500, sigma=22.255700
lat=43 47.51325 N, lon=069 58.05098 W, hms=122155, dmy=040821, t1=17.927000, c1=4.116400, s=31.044900, sigma=22.264200
lat=43 47.51132 N, lon=069 58.05360 W, hms=122156, dmy=040821, t1=17.924800, c1=4.116310, s=31.045900, sigma=22.265400
lat=43 47.50935 N, lon=069 58.05618 W, hms=122157, dmy=040821, t1=17.919700, c1=4.116130, s=31.048200, sigma=22.268400
lat=43 47.50734 N, lon=069 58.05880 W, hms=122158, dmy=040821, t1=17.926400, c1=4.115950, s=31.041600, sigma=22.261700
lat=43 47.50540 N, lon=069 58.06129 W, hms=122159, dmy=040821, t1=17.923900, c1=4.115820, s=31.042400, sigma=22.263000
