time, acs_timestamp, c, a, T_int, T_ext, flag_outside_calibration_range
yyyy/mm/dd HH:MM:SS.fff, ms, 1/m	lambda=399.3 402.5 406.0 409.4 412.8 416.2 420.1 424.0 428.3 432.0 435.5 439.6 443.3 447.9 452.0 456.4 460.1 464.3 468.5 473.3 477.8 482.0 486.6 490.4 494.8 498.9 503.3 507.4 512.1 516.5 521.1 525.4 529.6 533.5 537.5 541.8 545.6 549.9 554.1 558.2 562.3 566.1 569.8 573.4 576.8 579.8 583.7 587.6 591.8 595.7 599.9 604.3 608.5 612.8 617.2 621.4 625.4 629.7 633.7 637.7 641.6 645.8 650.1 654.2 658.5 662.9 666.8 671.3 675.0 679.3 682.9 686.8 690.5 694.1 697.8 701.3 704.9 708.4 711.8 715.3 718.7 722.1 725.7 728.9 732.1, 1/m	lambda=399.4 403.0 406.6 409.8 413.2 416.9 420.6 424.6 428.5 432.5 436.1 439.8 444.2 448.1 452.5 456.7 461.0 464.8 469.2 473.8 478.2 482.7 487.1 491.3 495.3 499.5 503.8 508.3 513.0 517.1 521.8 526.0 530.1 534.2 538.0 542.3 546.3 550.4 554.6 558.6 562.8 566.6 570.5 573.9 577.3 581.9 585.6 589.6 593.9 598.1 602.3 606.5 611.0 615.0 619.2 623.2 627.4 631.4 635.5 639.5 643.6 647.6 651.9 656.0 660.3 664.4 668.7 672.9 676.7 680.7 684.6 688.4 692.0 695.7 699.1 702.8 706.5 709.9 713.4 716.6 720.5 723.5 726.8 730.0 733.2, deg_C, deg_C, bool
2021/07/20 20:36:56.517, 1613040, [-0.12643697 -0.06969765 -0.02619154 -0.00424608  0.02555781  0.03973809  0.05222346  0.07008758  0.08647246  0.09271641  0.10329375  0.11853288  0.11883686  0.12519907  0.13371478  0.13776684  0.14544074  0.14706651  0.14585961  0.15859413  0.16104975  0.15810243  0.16078311  0.16172958  0.16411164  0.16134588  0.16213266  0.15555396  0.15308669  0.15065169  0.1491599   0.15093351  0.14665225  0.14299254  0.14763076  0.14291102  0.13645433  0.13531087  0.13066761  0.13054629  0.12562689  0.12197913  0.11175647  0.10799881  0.10768749  0.09154579  0.07417151  0.05386633  0.03097307 -0.00500669 -0.02882867 -0.05112571 -0.06580004 -0.07294238 -0.08374253 -0.09111926 -0.10026256 -0.10417311 -0.11035257 -0.11840132 -0.1285011  -0.13531919 -0.15255048 -0.1705565  -0.18766979 -0.20262325 -0.21324231 -0.21834795 -0.23242259 -0.25038764 -0.26230563 -0.28473854 -0.31745981 -0.35895145 -0.40293177 -0.46074027 -0.53812333 -0.63512549 -0.74606154 -0.87988193 -1.04479523 -1.22185183 -1.43051386 -1.65287826 -1.86610571], [ 0.02197806  0.02540993  0.04257034  0.04955784  0.05682388  0.04781391  0.04492354  0.04624427  0.04536795  0.04253889  0.03871489  0.04013637  0.03625871  0.03670197  0.0349805   0.03094522  0.03124906  0.02842909  0.02928852  0.02543171  0.02396108  0.02284425  0.02076639  0.01923223  0.01759353  0.0174283   0.01572013  0.01612248  0.01318566  0.01237491  0.0128585   0.01035108  0.01022797  0.00804055  0.00767047  0.0079485   0.00693074  0.00634381  0.00536024  0.00431406  0.00507668  0.00419627  0.00476434  0.00276858  0.00401448  0.00436937  0.00507158  0.00531112  0.00651817  0.00606946  0.00498223  0.0041889   0.00290361  0.00224324  0.00129915  0.00056188 -0.00032067 -0.00255603 -0.00302947 -0.00296406 -0.00366869 -0.00303891 -0.00265794 -0.00262797 -0.00366774 -0.00398336 -0.00447596 -0.00551335 -0.00397624 -0.00481927 -0.00541598 -0.00471743 -0.00303861 -0.0009649   0.00057721  0.00290635  0.00887799  0.01630157  0.02207174  0.03076864  0.04414555  0.0523308   0.06338512  0.0721104   0.07130838], 24.79, 24.93, False
2021/07/20 20:36:56.767, 1613291, [-0.11563247 -0.06514218 -0.03015638 -0.00424869  0.0256288   0.03715736  0.05472066  0.06821758  0.08659681  0.09142937  0.10516897  0.11329148  0.11773155  0.12656698  0.13190896  0.13964817  0.14333518  0.14770856  0.14650961  0.15992521  0.15854772  0.16008788  0.16114288  0.16157734  0.1638948   0.16156054  0.16219925  0.1560463   0.15431785  0.15053201  0.14945412  0.15096145  0.14810579  0.14266784  0.14790403  0.14258458  0.13664772  0.13517987  0.13054098  0.13095046  0.12546851  0.12205144  0.11200684  0.10820608  0.10764544  0.09149726  0.07431828  0.05384756  0.03110825 -0.00520475 -0.02914225 -0.05123743 -0.06570197 -0.07313611 -0.08361776 -0.09117135 -0.0992357  -0.10390748 -0.11060934 -0.11798916 -0.12879682 -0.13524116 -0.15235659 -0.1707859  -0.18758902 -0.20246244 -0.21341032 -0.21882151 -0.23184635 -0.24979312 -0.26230639 -0.2846393  -0.31876418 -0.35884332 -0.40281589 -0.46129132 -0.5384472  -0.6344474  -0.74584685 -0.88011176 -1.04430849 -1.22298741 -1.43041947 -1.65357188 -1.86696142], [ 0.02286864  0.03432674  0.04164838  0.04073053  0.05224768  0.04443212  0.04491973  0.04360236  0.0449771   0.04568813  0.04056136  0.0368315   0.03625741  0.03766252  0.03235339  0.03190814  0.03124787  0.02842797  0.02831749  0.0246459   0.02467955  0.02398894  0.02059683  0.01956497  0.01911081  0.01834942  0.01565347  0.01524887  0.01383158  0.01237404  0.01211597  0.01024428  0.01032902  0.00830736  0.00792289  0.00818645  0.00688605  0.00673179  0.00556534  0.00514153  0.00526547  0.00437837  0.00437121  0.00332459  0.00370237  0.00440337  0.00567807  0.00496903  0.00609354  0.00579882  0.00483342  0.00427517  0.00281589  0.00247293  0.00124354  0.00065002 -0.00114897 -0.00208576 -0.00269851 -0.00259652 -0.00401495 -0.00324013 -0.00291517 -0.00273561 -0.00384878 -0.00404004 -0.00449579 -0.00488988 -0.00347266 -0.00509357 -0.0048212  -0.00495731 -0.00298504 -0.00111397  0.00080949  0.00349344  0.00799098  0.01519687  0.02150577  0.0300351   0.04152011  0.05225131  0.06211253  0.07047476  0.06990168], 24.79, 24.93, False
2021/07/20 20:36:57.018, 1613542, [-1.15636173e-01 -6.51480459e-02 -2.22405513e-02 -7.86210677e-04  2.55475599e-02  4.49920166e-02  5.45964173e-02  7.23191517e-02  8.64651278e-02  9.77346888e-02  1.03413510e-01  1.14378618e-01  1.20028881e-01  1.27426149e-01  1.33801835e-01  1.39643442e-01  1.48282698e-01  1.46760620e-01  1.47408981e-01  1.61322860e-01  1.59750952e-01  1.59360853e-01  1.61422155e-01  1.62617411e-01  1.64035402e-01  1.61626069e-01  1.62593294e-01  1.55485211e-01  1.54021688e-01  1.50528920e-01  1.49826668e-01  1.51369670e-01  1.47348472e-01  1.43379587e-01  1.47738607e-01  1.43511712e-01  1.37055382e-01  1.35440870e-01  1.31002029e-01  1.30704036e-01  1.25504756e-01  1.21860471e-01  1.11751496e-01  1.08276092e-01  1.07748896e-01  9.19421511e-02  7.39443899e-02  5.38636909e-02  3.14035953e-02 -4.97665010e-03 -2.90669301e-02 -5.14250704e-02 -6.56253341e-02 -7.27700557e-02 -8.33162381e-02 -9.11227200e-02 -9.96151032e-02 -1.04143575e-01 -1.10255543e-01 -1.18001545e-01 -1.28651568e-01 -1.34944893e-01 -1.52403100e-01 -1.70523699e-01 -1.87199884e-01 -2.02101619e-01 -2.13331637e-01 -2.18179506e-01 -2.32249471e-01 -2.49795008e-01 -2.62451654e-01 -2.84242088e-01 -3.18035611e-01 -3.58899252e-01 -4.03283129e-01 -4.60682059e-01 -5.38254206e-01 -6.34856323e-01 -7.45633307e-01 -8.79957503e-01 -1.04414273e+00 -1.22107370e+00 -1.43004102e+00 -1.65227699e+00 -1.86588746e+00], [ 0.02284257  0.03525102  0.03838689  0.05311942  0.05992953  0.05054948  0.05087336  0.04669157  0.04964132  0.05223183  0.04396642  0.04037868  0.0377415   0.03631389  0.03480512  0.03287001  0.02948378  0.03108878  0.0291697   0.02621291  0.02386068  0.02398736  0.02129403  0.02135437  0.01865258  0.01834772  0.01618195  0.01643196  0.01347691  0.01315408  0.01243007  0.01129698  0.01050759  0.00893947  0.00801604  0.00846897  0.00769551  0.00711527  0.00622258  0.00514013  0.00507482  0.00371412  0.00454746  0.00336023  0.0039051   0.00462255  0.00496995  0.00543199  0.00627177  0.00633756  0.00521834  0.00424664  0.00296003  0.00232704  0.00155294  0.00081528 -0.00066883 -0.00230184 -0.00294966 -0.00299812 -0.00319517 -0.00317326 -0.00281285 -0.00266435 -0.00350929 -0.00429695 -0.00470518 -0.00481488 -0.0039786  -0.00456845 -0.00499509 -0.00413474 -0.00308723 -0.00106095  0.00129361  0.00317733  0.00858142  0.01626335  0.02271884  0.0318896   0.04327355  0.05286892  0.06514993  0.07157649  0.07086317], 24.79, 24.92, False
2021/07/20 20:36:57.268, 1613792, [-0.1211232  -0.06970059 -0.03809289 -0.00420711  0.0256288   0.03715736  0.05234042  0.07232496  0.08458988  0.09129868  0.10217608  0.11865341  0.11883449  0.12629537  0.13282221  0.13857428  0.14564682  0.14552294  0.14708623  0.16046739  0.15992733  0.15913538  0.16122167  0.16172789  0.16358679  0.16247577  0.1612705   0.15567207  0.15402495  0.15003772  0.14997779  0.15181375  0.14683177  0.14256639  0.14884143  0.1424331   0.13641574  0.13589158  0.13062439  0.13022235  0.12612943  0.12178971  0.11135311  0.10802831  0.10723465  0.09129412  0.07418916  0.05375555  0.03114128 -0.00481357 -0.02899213 -0.05100631 -0.06584825 -0.07276641 -0.08321958 -0.0913144  -0.0998214  -0.10358664 -0.11024242 -0.11787738 -0.12886586 -0.13445068 -0.1529621  -0.17090341 -0.18746893 -0.20226102 -0.21370336 -0.21839072 -0.23233411 -0.24993062 -0.26244886 -0.28443981 -0.3185562  -0.35939272 -0.40351342 -0.46116966 -0.53812734 -0.63499258 -0.74613625 -0.88018992 -1.04472    -1.22220695 -1.43153177 -1.65219575 -1.86643377], [ 0.02891551  0.02842268  0.0508858   0.04431316  0.05537146  0.04930825  0.04981569  0.04578636  0.05392915  0.04568813  0.04183592  0.0368315   0.03730982  0.03785429  0.03218054  0.03287258  0.03110823  0.02910491  0.02757873  0.0254306   0.02438661  0.02332564  0.02051239  0.02013587  0.01850608  0.01693158  0.01645044  0.01568529  0.01353799  0.01198309  0.0117451   0.01089435  0.01117531  0.00862428  0.00857164  0.00809559  0.00688605  0.00660098  0.00597705  0.00498458  0.00534362  0.00434015  0.0049787   0.0031144   0.00390619  0.00483031  0.00529571  0.00537524  0.00606249  0.00630901  0.00518858  0.0042462   0.00330881  0.00296085  0.00090013  0.000822   -0.00065982 -0.00176818 -0.00220321 -0.00266012 -0.00362211 -0.0027248  -0.0025763  -0.00273561 -0.00345678 -0.00383826 -0.00487428 -0.00514324 -0.00369405 -0.0048614  -0.00506483 -0.00465689 -0.00271627 -0.00130513  0.00085607  0.0035833   0.00761328  0.01516067  0.02185793  0.0300351   0.04369482  0.05076404  0.06249101  0.07163276  0.07061975], 24.79, 24.93, False
2021/07/20 20:36:57.518, 1614041, [-0.11563432 -0.06970352 -0.03412909 -0.00767743  0.02562539  0.03962907  0.05221766  0.06808925  0.08270641  0.09425763  0.10341602  0.11694024  0.11881895  0.12632773  0.13279832  0.1383964   0.14533997  0.14693473  0.14670006  0.15935804  0.16018404  0.15832744  0.1609834   0.16198459  0.16351346  0.16085031  0.16100515  0.15604459  0.15331498  0.14952295  0.14933869  0.15126217  0.14753147  0.14261535  0.14785381  0.14248999  0.1368332   0.13531306  0.13032823  0.13066606  0.12527237  0.12234968  0.11138889  0.1083822   0.10747149  0.09140389  0.07390344  0.05392292  0.03102758 -0.00510711 -0.02913089 -0.05140518 -0.06557442 -0.07318597 -0.08355478 -0.09104319 -0.0999332  -0.1035878  -0.11054361 -0.11799024 -0.12861601 -0.13463612 -0.15243761 -0.17083106 -0.18731228 -0.20205567 -0.21349269 -0.21839172 -0.23215904 -0.250618   -0.26240212 -0.28439102 -0.31855627 -0.35812877 -0.40339748 -0.46068093 -0.53857571 -0.63397263 -0.74562747 -0.88003463 -1.04512473 -1.22185893 -1.43097158 -1.65287871 -1.86578742], [ 0.0358409   0.04609696  0.0508766   0.05671227  0.06377537  0.0545496   0.04789765  0.05106089  0.05197734  0.04809085  0.04240698  0.04318652  0.03795973  0.04035215  0.03497824  0.03399033  0.03212784  0.03189352  0.0292863   0.02542948  0.02458106  0.02389771  0.02121046  0.02078464  0.01918398  0.01884432  0.01658117  0.01605861  0.01424351  0.01315495  0.0131726   0.01089349  0.01117448  0.0091588   0.00792204  0.00932237  0.00765258  0.00707368  0.00675841  0.0051809   0.00530392  0.00437773  0.0051181   0.00311375  0.00407355  0.00485377  0.00573527  0.00546478  0.00630333  0.00687849  0.00527758  0.00412968  0.00284453  0.00264328  0.00109684  0.00101747 -0.00066819 -0.00177866 -0.00285529 -0.00281992 -0.00340716 -0.0028906  -0.00265942 -0.00231625 -0.00366927 -0.00402137 -0.00538604 -0.0051645  -0.00375634 -0.00416626 -0.00506207 -0.00450892 -0.00254864 -0.00115774  0.00129433  0.00381405  0.00959053  0.01633629  0.0227751   0.03231053  0.04370234  0.05471373  0.06509294  0.07148185  0.0724398 ], 24.79, 24.92, False
2021/07/20 20:36:57.768, 1614291, [-0.13175595 -0.06969179 -0.02618657 -0.00771157  0.02259838  0.03974326  0.05461092  0.07021782  0.08459721  0.09439777  0.10355322  0.11304928  0.12125267  0.1253551   0.13280791  0.13781407  0.14481919  0.14848654  0.14580406  0.16058663  0.15976084  0.15889359  0.16114842  0.16173296  0.16397107  0.16092613  0.16233591  0.1551196   0.15338281  0.14992413  0.14951571  0.15112977  0.14740948  0.1429454   0.14826479  0.14283421  0.13697439  0.13509303  0.13062895  0.13067092  0.1253568   0.12160644  0.1112508   0.10849867  0.1072747   0.09154815  0.07404456  0.05361682  0.03104099 -0.00509138 -0.02932952 -0.05100769 -0.06584719 -0.07293952 -0.08348518 -0.09140301 -0.10014957 -0.10359515 -0.11039495 -0.11780646 -0.12931404 -0.13482499 -0.15231678 -0.17094319 -0.18754697 -0.20213385 -0.2138665  -0.21864707 -0.23255055 -0.25011076 -0.26268662 -0.28493557 -0.31787564 -0.35906018 -0.40356861 -0.46116626 -0.53837856 -0.63478583 -0.74497979 -0.8812585  -1.0442295  -1.22211606 -1.43041788 -1.65218443 -1.86685177], [ 0.03589304  0.04213352  0.04765524  0.04874678  0.05299003  0.05182076  0.04546717  0.04888695  0.04965619  0.04875882  0.04425939  0.03824019  0.03626133  0.03670448  0.03586547  0.03303103  0.03125143  0.0309683   0.02781363  0.02700288  0.02396284  0.02341852  0.02068351  0.0208672   0.01918716  0.01792581  0.01618596  0.01568773  0.01312758  0.01399709  0.01169279  0.01024688  0.01066451  0.00862682  0.00797286  0.00766596  0.00788259  0.00733459  0.00585573  0.00613196  0.00484942  0.00482221  0.00476559  0.00315329  0.00373993  0.00489017  0.00526372  0.00493818  0.00639851  0.00625084  0.00513161  0.00451224  0.00290479  0.0022733   0.00130054  0.00047989 -0.0006579  -0.00217565 -0.00275888 -0.00280349 -0.00389768 -0.0034207  -0.00282747 -0.00283661 -0.00365048 -0.00431249 -0.0052316  -0.00436223 -0.00409408 -0.00473317 -0.00468318 -0.00483545 -0.00329758 -0.00110776  0.00092688  0.00340562  0.00879288  0.01598167  0.02172082  0.03115969  0.04413857  0.0528458   0.06338627  0.07085774  0.07202841], 24.78, 24.93, False
2021/07/20 20:36:58.018, 1614542, [-0.12643697 -0.07434072 -0.03016176 -0.0042045   0.02570652  0.03715994  0.05246303  0.07033632  0.08659925  0.0929767   0.10230615  0.11572786  0.11652124  0.12633263  0.13179695  0.13677841  0.14544898  0.14838258  0.14622274  0.15956511  0.15897978  0.16046676  0.16095463  0.16242994  0.16353709  0.16164082  0.16180577  0.15635168  0.15425825  0.1495852   0.14966058  0.15115621  0.14742985  0.14284044  0.14790586  0.14244715  0.13688944  0.1351868   0.1306703   0.13038589  0.12527381  0.12212685  0.11149949  0.10817107  0.10705857  0.09163178  0.07438776  0.05318644  0.03095368 -0.00523668 -0.02970924 -0.05161513 -0.06558665 -0.07295803 -0.08344084 -0.09102715 -0.10010682 -0.10387332 -0.10998565 -0.11813372 -0.12901218 -0.13456378 -0.15197284 -0.17082837 -0.18802378 -0.20233806 -0.21344967 -0.21838972 -0.23233314 -0.25025015 -0.26244939 -0.28404    -0.31860695 -0.35829126 -0.40304727 -0.46129019 -0.53773838 -0.6345155  -0.74548279 -0.87995446 -1.04446759 -1.22254924 -1.43059982 -1.6523784  -1.86674261], [ 0.03586697  0.04117316  0.04763684  0.04157071  0.06066449  0.04781391  0.05386209  0.04933503  0.05236707  0.04809477  0.04425633  0.04203393  0.03774543  0.03804719  0.03392634  0.03302846  0.03064757  0.03041487  0.0283186   0.02418219  0.02487557  0.02474321  0.0212963   0.02078649  0.01971611  0.01848947  0.01618435  0.01568611  0.01359831  0.01315669  0.01254263  0.01094814  0.01066284  0.00840672  0.00822444  0.0079485   0.0075153   0.00660174  0.00626594  0.00478827  0.00530517  0.00419627  0.00497933  0.00336218  0.00353501  0.0044622   0.00545397  0.00553036  0.00621472  0.00675976  0.00513047  0.0041889   0.00307758  0.00241556  0.00098491  0.00044907 -0.00040339 -0.00165466 -0.00311132 -0.00265938 -0.00386657 -0.00312265 -0.00279537 -0.00249062 -0.0036873  -0.00391042 -0.00523309 -0.00523936 -0.00409565 -0.00465005 -0.00488452 -0.00470133 -0.00298423 -0.00106248  0.00136667  0.00290334  0.00816105  0.01573133  0.02253528  0.03042522  0.04325948  0.05230451  0.06321322  0.07047548  0.07031458], 24.79, 24.94, False
2021/07/20 20:36:58.269, 1614792, [-0.12113247 -0.06515684 -0.03810531 -0.00426176  0.02257106  0.03972259  0.05458772  0.0701946   0.08470533  0.09128552  0.10353318  0.1142464   0.12002177  0.12521676  0.1336807   0.13779515  0.14553954  0.14692614  0.14488477  0.16104639  0.15974502  0.15943776  0.16201471  0.16220348  0.16327141  0.16091249  0.16225668  0.15579066  0.15343106  0.15002999  0.14929846  0.15106275  0.14705705  0.14369712  0.14813674  0.14295907  0.1364968   0.13495086  0.13061678  0.13045707  0.12499483  0.12170598  0.11170911  0.10844891  0.10739951  0.09170068  0.0739412   0.05334952  0.03114628 -0.00534971 -0.02886727 -0.05152569 -0.06613224 -0.07304709 -0.08352793 -0.09141223 -0.0998274  -0.10381428 -0.11039211 -0.11799455 -0.12880204 -0.13483408 -0.15247875 -0.17083643 -0.18787398 -0.20214502 -0.21320452 -0.21860893 -0.232515   -0.24998081 -0.26278892 -0.28379527 -0.31824692 -0.35851939 -0.40398409 -0.46087031 -0.53838795 -0.63445747 -0.74592621 -0.88042381 -1.04480074 -1.22212214 -1.43014632 -1.65268612 -1.86621558], [ 0.02885034  0.040163    0.05174179  0.04510804  0.05294819  0.05390907  0.04788241  0.04622918  0.05196544  0.05015502  0.04055371  0.03987759  0.03773757  0.03803966  0.03602817  0.03302076  0.03138153  0.03015574  0.02854323  0.02610328  0.02405349  0.0240754   0.02067746  0.02085981  0.0186502   0.01735349  0.0165122   0.01649173  0.01347463  0.01276059  0.01274329  0.01094293  0.01088903  0.00893693  0.00826675  0.00851183  0.00742258  0.00732855  0.0062615   0.00584929  0.00552991  0.00474067  0.00490059  0.00314811  0.00386753  0.00485183  0.00550881  0.00558517  0.00648402  0.00633563  0.00524597  0.00456686  0.00281322  0.00281343  0.00140833  0.00098544 -0.00052776 -0.00216045 -0.0026006  -0.00285473 -0.00388561 -0.00325921 -0.00269596 -0.00289163 -0.00393902 -0.00406092 -0.00493468 -0.00512836 -0.00398097 -0.00471836 -0.00539709 -0.00425674 -0.00277459 -0.0015396   0.00098977  0.00412927  0.00857941  0.01561862  0.02309695  0.0322924   0.04370503  0.05232691  0.063439    0.07282882  0.07171821], 24.80, 24.94, False
2021/07/20 20:36:58.517, 1615041, [-0.12094252 -0.06513338 -0.03015679 -0.00419927  0.02571335  0.03716511  0.05234912  0.07034213  0.08297319  0.09465666  0.10081444  0.11451585  0.11786149  0.1253551   0.13392771  0.13781407  0.14502807  0.14600028  0.14689978  0.15963715  0.15846723  0.15872864  0.16083308  0.16247553  0.16351942  0.1607191   0.16200676  0.15555001  0.15420027  0.14980587  0.14934489  0.15115933  0.14714687  0.14224868  0.14781273  0.14274144  0.13656325  0.13501203  0.13063164  0.1304694   0.12551072  0.12194201  0.11153525  0.10810104  0.1070616   0.0917388   0.07416589  0.05350686  0.0315445  -0.00504965 -0.02928931 -0.0512014  -0.06569823 -0.07313183 -0.08354948 -0.09107091 -0.09985051 -0.10383802 -0.11031714 -0.11780646 -0.12849901 -0.13486003 -0.15254783 -0.17063449 -0.18754697 -0.20193245 -0.21345175 -0.21860096 -0.23277274 -0.24997326 -0.26235161 -0.28453654 -0.31766687 -0.35845533 -0.40287103 -0.46110462 -0.53786622 -0.63457807 -0.74649089 -0.88010871 -1.04430573 -1.22211606 -1.43004718 -1.65297997 -1.86696114], [ 0.02984617  0.04119681  0.05271533  0.04957187  0.05683434  0.0484495   0.05142398  0.04934006  0.04381535  0.05049984  0.03715758  0.04484358  0.03901768  0.03785805  0.03375632  0.03414975  0.031391    0.03029092  0.02769787  0.02554035  0.02477979  0.0239913   0.02068351  0.02029654  0.01911319  0.01891726  0.01698285  0.01531364  0.01324676  0.01288183  0.01254443  0.01075718  0.0106136   0.00921139  0.007878    0.00851863  0.00778734  0.00737691  0.00622628  0.00522377  0.00507792  0.00482221  0.00441061  0.00340041  0.00394375  0.00472838  0.00526372  0.00549905  0.00621576  0.00664104  0.00519029  0.00421913  0.00342667  0.00293354  0.00124561  0.00085342 -0.0011169  -0.0019402  -0.00301626 -0.00259428 -0.0036525  -0.00305512 -0.00276031 -0.00273358 -0.00361519 -0.00403774 -0.00470171 -0.00477031 -0.00401322 -0.00479618 -0.0049507  -0.00435421 -0.00333545 -0.00153705  0.00055673  0.00326755  0.00824569  0.01587731  0.02188791  0.03041132  0.04282488  0.05122679  0.06370719  0.07163494  0.07092704], 24.78, 24.94, False
