time, acs_timestamp, c, a, T_int, T_ext, flag_outside_calibration_range
yyyy/mm/dd HH:MM:SS.fff, ms, 1/m	lambda=400.5 404.8 408.9 412.6 416.9 421.7 426.5 431.1 435.7 440.0 444.9 450.0 454.8 459.4 464.0 468.5 473.8 479.0 484.1 489.0 493.5 498.6 503.5 508.5 513.7 519.4 524.2 529.2 533.9 538.9 544.0 549.0 554.1 559.3 564.5 569.3 573.6 578.1 582.5 586.9 591.2 595.5 600.3 605.0 609.8 614.7 619.7 624.5 629.2 633.7 638.5 643.1 647.9 652.6 657.0 661.6 666.4 670.8 675.4 679.8 683.8 687.9 692.0 695.5 699.6 703.4 707.1 710.7 714.4 717.7 721.1 724.3 727.5 730.5 733.4 736.4 739.2 742.1 744.8 747.6 749.8, 1/m	lambda=400.0 404.6 408.7 412.5 416.9 421.4 426.5 430.9 435.5 439.8 444.8 449.9 455.0 459.4 463.8 468.7 474.0 479.2 484.1 489.2 493.9 498.9 503.8 508.7 514.0 519.7 524.8 529.9 534.6 539.6 544.4 549.7 554.6 560.1 565.2 569.8 574.2 579.0 583.4 587.8 592.7 597.4 602.1 607.0 612.0 616.9 621.9 626.5 631.2 635.8 640.8 645.3 650.2 654.9 659.3 663.9 668.8 673.2 677.6 681.9 686.1 690.0 693.9 697.8 701.8 705.5 709.1 712.8 716.6 719.8 723.2 726.5 729.4 732.3 735.3 738.3 741.3 744.2 746.7 749.4 751.9, deg_C, deg_C, bool
2021/07/21 18:09:56.687, 1561114, [0.14780627 0.13873756 0.12402073 0.11297672 0.10410919 0.09548583 0.08579484 0.07806612 0.07650858 0.06914295 0.06380078 0.06206504 0.05638102 0.05478722 0.05318778 0.04749303 0.0470199  0.04423537 0.04370872 0.04107608 0.03862522 0.03778257 0.03743007 0.0352661  0.03406875 0.03315375 0.0330362  0.03101981 0.02957673 0.0291279  0.02906527 0.02793285 0.02844629 0.02581089 0.02650646 0.0264201  0.02493082 0.02573882 0.0252702  0.02456375 0.02523934 0.02666021 0.02587466 0.02627903 0.02564621 0.02311104 0.02305225 0.02433794 0.02213296 0.02136591 0.02086093 0.02026593 0.02081224 0.02136918 0.01990194 0.0202268  0.02077803 0.0194127  0.01986658 0.01704006 0.0176424  0.01940994 0.01571302 0.01960472 0.02065239 0.01823835 0.02149856 0.0233877  0.02585225 0.03125213 0.03671675 0.04136923 0.04725934 0.05324    0.05697117 0.05915842 0.0602361  0.06091725 0.05815617 0.05285988 0.05235466], [ 0.04621159  0.0847935   0.09759138  0.09968822  0.10017232  0.10554321  0.0973648   0.09693077  0.09719423  0.09815105  0.09638501  0.09746051  0.09571508  0.09582304  0.09560373  0.0953012   0.09570797  0.09585819  0.09572702  0.09452575  0.09323689  0.09073111  0.08695135  0.08233109  0.07710824  0.07491396  0.07267152  0.07119082  0.06949687  0.06778666  0.06551287  0.06299124  0.05870898  0.05634746  0.05239356  0.0475028   0.04018535  0.02880638  0.01248514 -0.00884008 -0.03982272 -0.07286404 -0.10396534 -0.12628399 -0.13904739 -0.14752027 -0.15471291 -0.16118614 -0.1687154  -0.17615072 -0.18508662 -0.19592786 -0.21007323 -0.2272345  -0.24551335 -0.26052609 -0.27167184 -0.28158011 -0.29269301 -0.30806133 -0.3284433  -0.35728628 -0.39507093 -0.44176147 -0.50362919 -0.57894027 -0.67180723 -0.78692887 -0.92251554 -1.07730961 -1.25584103 -1.45481492 -1.6695767  -1.87691035 -2.06289451 -2.21598857 -2.32711105 -2.40097559 -2.44919836 -2.48034903 -2.51229723], 22.20, 22.48, False
2021/07/21 18:09:56.937, 1561364, [0.15144819 0.1321488  0.12392803 0.11311509 0.10414553 0.09545526 0.09071751 0.07949537 0.07776846 0.07136373 0.06487389 0.06110495 0.05623456 0.05635501 0.05094379 0.0499621  0.04716376 0.04423881 0.04263592 0.04207519 0.037708   0.03755261 0.03657479 0.03597013 0.03437793 0.03436486 0.03254208 0.03154663 0.02928303 0.0287999  0.0296131  0.02836743 0.02767102 0.02577409 0.02628611 0.02620955 0.02547628 0.02567272 0.02542787 0.02544407 0.02547562 0.02651949 0.02646026 0.02633127 0.02535083 0.02324617 0.02345627 0.02359148 0.02152083 0.0212062  0.02058963 0.0199116  0.0205916  0.02085733 0.01950007 0.02040646 0.02010072 0.0190636  0.01863958 0.01677278 0.01684605 0.017935   0.01514237 0.01843124 0.01895118 0.01839691 0.02069798 0.02312029 0.02552293 0.03090612 0.03481515 0.04133579 0.04624678 0.05198051 0.05564396 0.05865597 0.0613156  0.05952888 0.05631636 0.05571231 0.04931216], [ 0.06530061  0.09849099  0.11051721  0.10765801  0.10537202  0.10935545  0.10926222  0.1083255   0.10691846  0.10077699  0.10205297  0.10141903  0.09838344  0.09823497  0.09928346  0.09794659  0.09634052  0.09785378  0.09665154  0.09630582  0.09456258  0.09211769  0.08849748  0.08254091  0.07823393  0.07593044  0.07390738  0.07245732  0.07081285  0.06932569  0.06605297  0.06304318  0.05971768  0.05704311  0.05327856  0.04772808  0.04074518  0.02929502  0.0131417  -0.00784631 -0.03943459 -0.07257015 -0.10352256 -0.1257632  -0.13841756 -0.14752245 -0.15425149 -0.16079681 -0.16809737 -0.17536747 -0.18447847 -0.19524436 -0.20937661 -0.22699549 -0.24498019 -0.26021957 -0.27084155 -0.28105727 -0.29269028 -0.30799029 -0.32814633 -0.35674242 -0.39384057 -0.44158748 -0.50317543 -0.57932489 -0.67119131 -0.78594626 -0.92157702 -1.07697936 -1.25584353 -1.45372309 -1.66900981 -1.87597591 -2.06161288 -2.21419686 -2.32633625 -2.40141782 -2.44938118 -2.47858213 -2.50941178], 22.21, 22.48, False
2021/07/21 18:09:57.186, 1561615, [0.1554525  0.13549129 0.12128058 0.11555851 0.10001423 0.10102117 0.0858305  0.07961455 0.07915    0.0679907  0.06587712 0.06297757 0.0571303  0.05718051 0.05237833 0.04989667 0.04766108 0.04482473 0.04330859 0.04158348 0.03885248 0.03767457 0.03738232 0.03651231 0.03484644 0.03363939 0.03287032 0.03160075 0.02903801 0.02961339 0.02934617 0.02768173 0.02771597 0.02601188 0.02632802 0.0261111  0.02493711 0.02547926 0.02489782 0.02505111 0.02542079 0.02601059 0.0258247  0.02603226 0.02492007 0.02295342 0.02321339 0.02388639 0.02175674 0.02091207 0.02042851 0.01974797 0.02036488 0.02037257 0.01955552 0.01944889 0.01963556 0.01893405 0.01850496 0.01680599 0.01709633 0.01800223 0.01521099 0.01856523 0.01875563 0.01762789 0.02019182 0.02256337 0.02491443 0.02950634 0.03481674 0.04002046 0.04529483 0.05207553 0.05551728 0.05798694 0.05982899 0.05986732 0.05612836 0.0535184  0.05064605], [ 0.08845578  0.12279527  0.12166395  0.12372227  0.12099721  0.11476856  0.1183884   0.11013325  0.10988606  0.10693361  0.10415493  0.10539099  0.10283483  0.1022792   0.10136156  0.10059257  0.09996522  0.09794777  0.09767781  0.09803398  0.09434566  0.09206171  0.0892422   0.08377869  0.08004161  0.07598937  0.07411749  0.07327258  0.07129351  0.06955308  0.067132    0.06380116  0.06009855  0.05753313  0.05391206  0.04816494  0.04167364  0.02958812  0.0137031  -0.00771448 -0.03922677 -0.0723369  -0.10299158 -0.12509226 -0.13815666 -0.14670936 -0.15358299 -0.160293   -0.16736521 -0.17518848 -0.18395284 -0.19494724 -0.20907553 -0.22674488 -0.24424814 -0.25935514 -0.2703973  -0.28052899 -0.29200498 -0.30670759 -0.3270292  -0.35580974 -0.39318673 -0.4407321  -0.50209183 -0.57711212 -0.67028821 -0.78433391 -0.92056464 -1.07615041 -1.25416664 -1.45270357 -1.66774558 -1.87339709 -2.06001026 -2.21393536 -2.32414027 -2.39773746 -2.44646911 -2.47662389 -2.5072345 ], 22.22, 22.48, False
2021/07/21 18:09:57.437, 1561865, [0.15181058 0.13215587 0.12685922 0.11300396 0.10415106 0.09545912 0.08746244 0.07955008 0.07521578 0.06922338 0.0658677  0.06036121 0.05808814 0.05724922 0.04951815 0.04989179 0.04765685 0.04198024 0.04431553 0.04213864 0.03764829 0.03804177 0.03708919 0.03527118 0.0341796  0.03281908 0.03331457 0.0312864  0.02878437 0.02937106 0.02888738 0.02690312 0.02775429 0.02542623 0.02632518 0.02603407 0.02517487 0.02518665 0.02496138 0.02426573 0.02500911 0.02612316 0.02618193 0.02589406 0.02494426 0.02300284 0.02283457 0.02350757 0.02130322 0.02053372 0.01974791 0.01949808 0.02030436 0.02030904 0.01919547 0.01937966 0.01984672 0.0182892  0.01862428 0.01596519 0.01732019 0.01784135 0.01490431 0.01791677 0.01855686 0.01827098 0.01936125 0.02283069 0.02459456 0.0295052  0.03515868 0.0391297  0.04571045 0.05198084 0.05418814 0.05781931 0.05908396 0.05881162 0.0575435  0.05381206 0.05134068], [ 0.12344122  0.13940799  0.14586167  0.13364145  0.13143281  0.13195896  0.12412973  0.12305326  0.11972083  0.11692029  0.11085694  0.11033792  0.10551592  0.10626627  0.10501578  0.10381861  0.10274345  0.10209322  0.10104979  0.10154966  0.09740931  0.09505907  0.09184554  0.08554347  0.0813297   0.07803103  0.07593484  0.07479559  0.07316862  0.07087304  0.06843115  0.06558954  0.06177421  0.05883259  0.05462173  0.04973159  0.04204494  0.03096808  0.01483357 -0.0062642  -0.03834984 -0.07148433 -0.10262306 -0.12480663 -0.13796403 -0.14663574 -0.15284002 -0.1599237  -0.16697238 -0.17484194 -0.183604   -0.19487936 -0.20894126 -0.22573725 -0.24381263 -0.25939348 -0.27050938 -0.28019304 -0.29158677 -0.30648911 -0.3268753  -0.3556527  -0.39261373 -0.44074277 -0.50164052 -0.57644415 -0.66968974 -0.78467281 -0.92000184 -1.07496416 -1.25289595 -1.45245745 -1.66676056 -1.87356091 -2.05922155 -2.21202573 -2.32356589 -2.39729589 -2.44628568 -2.47548336 -2.5069496 ], 22.22, 22.49, False
2021/07/21 18:09:57.687, 1562114, [0.1435247  0.13234943 0.12696093 0.11552038 0.10206264 0.09730155 0.08411709 0.0823227  0.07520676 0.06921617 0.06905    0.05938722 0.05630781 0.05717035 0.05041063 0.04934347 0.04779311 0.04372298 0.04336907 0.03971113 0.038506   0.03747197 0.03674105 0.03661378 0.03422924 0.031796   0.03244036 0.0305483  0.02898355 0.02932242 0.02888439 0.02780618 0.02721945 0.02577259 0.02543024 0.02589297 0.02466598 0.02518482 0.0242717  0.02441447 0.0274587  0.02788337 0.02782671 0.02765251 0.02734903 0.02442983 0.02469125 0.02549792 0.02318151 0.02287184 0.02189757 0.02140209 0.02219198 0.02166644 0.02134505 0.02110424 0.02097628 0.0203495  0.02014087 0.01837176 0.01856061 0.01931268 0.0163913  0.01954036 0.02032755 0.01916744 0.02123201 0.02394732 0.02618415 0.031955   0.03671739 0.04205024 0.04725979 0.05368425 0.05551474 0.05932581 0.06057089 0.05976732 0.05991894 0.05351536 0.04994998], [ 0.13517129  0.15372444  0.15620834  0.14782209  0.13880875  0.13485558  0.13156852  0.12620557  0.12423932  0.11849781  0.11635703  0.1143188   0.10817767  0.10787913  0.10861267  0.10512551  0.10409901  0.10375071  0.10202884  0.10210055  0.09887851  0.09634669  0.09253834  0.08607778  0.08240185  0.07922201  0.0768496   0.0746848   0.07300235  0.07161661  0.06821419  0.06563419  0.06193235  0.05888539  0.05523848  0.04961932  0.04246399  0.03135967  0.01483266 -0.00685168 -0.0385282  -0.07076571 -0.10204418 -0.12432648 -0.13716836 -0.14656266 -0.15329933 -0.1597385  -0.16678885 -0.17454401 -0.18297516 -0.19390806 -0.20801729 -0.22589838 -0.24363296 -0.25902594 -0.2701904  -0.27952887 -0.29124413 -0.3059139  -0.32664884 -0.35518384 -0.39179244 -0.43918865 -0.50099624 -0.57586002 -0.66866582 -0.78358544 -0.91931802 -1.07387115 -1.25213297 -1.45053426 -1.66515189 -1.87188222 -2.05807754 -2.21045967 -2.32193532 -2.39638958 -2.44396476 -2.47270462 -2.50314159], 22.21, 22.49, False
2021/07/21 18:09:57.937, 1562364, [0.13202993 0.13831227 0.11843226 0.11540089 0.09787632 0.09731603 0.08906248 0.07518882 0.07651459 0.06914776 0.06501355 0.06318408 0.05379623 0.05560854 0.05101407 0.04811138 0.04891671 0.04314129 0.04270013 0.0407684  0.03690616 0.03798033 0.036629   0.03634522 0.03381872 0.03242499 0.03244036 0.03128321 0.02907903 0.02832025 0.0291563  0.02771882 0.02750642 0.025892   0.02573023 0.02642148 0.02476327 0.0252534  0.02461579 0.0245648  0.02553428 0.02651883 0.02629347 0.02681953 0.02512924 0.02327087 0.02302745 0.02404446 0.02157121 0.02093692 0.02012931 0.0191428  0.0208394  0.02025459 0.0194071  0.01959714 0.0196059  0.01822956 0.01886609 0.0161068  0.01730872 0.01867445 0.01443116 0.01824747 0.01852365 0.01743782 0.02099078 0.0222498  0.0248985  0.0302033  0.03441396 0.04044525 0.04475695 0.05109273 0.05598602 0.05714866 0.05908307 0.0598639  0.0561274  0.0506667  0.05171585], [ 0.10181233  0.14263531  0.13469816  0.13541898  0.12881309  0.12623992  0.12006324  0.1182414   0.11684854  0.11314631  0.10967923  0.10932474  0.10552341  0.10391077  0.10353607  0.10255179  0.10173774  0.10116464  0.10012334  0.10052544  0.09665032  0.09361595  0.09046275  0.08490139  0.08094852  0.07780392  0.07631459  0.07428908  0.07244584  0.07070033  0.06783804  0.06487389  0.0615488   0.0577458   0.05494532  0.04913055  0.04203571  0.03042532  0.01450439 -0.00662496 -0.03774774 -0.07047754 -0.10234348 -0.12396748 -0.1370222  -0.14570149 -0.15283575 -0.15927836 -0.16665386 -0.17387343 -0.18224927 -0.19382675 -0.20795108 -0.22506714 -0.24338813 -0.25828436 -0.26948682 -0.27920033 -0.29049014 -0.30584075 -0.32612721 -0.35471622 -0.39171177 -0.43936028 -0.50072772 -0.57586814 -0.66847361 -0.78316894 -0.91862049 -1.07277984 -1.25176263 -1.45094763 -1.66416834 -1.87130812 -2.0576124  -2.2099637  -2.32124455 -2.39599882 -2.44253217 -2.47446249 -2.50250434], 22.21, 22.48, False
2021/07/21 18:09:58.187, 1562615, [0.14753954 0.12930413 0.12652065 0.1059025  0.10000218 0.0918321  0.08579396 0.08092839 0.07522779 0.06805945 0.06594908 0.06036929 0.0563946  0.05502517 0.05109767 0.0502541  0.04667723 0.04328261 0.04283647 0.03947208 0.03737382 0.03847537 0.03628995 0.03592087 0.03448874 0.03311226 0.03194902 0.03102938 0.02899027 0.02942052 0.02911876 0.02772451 0.0272246  0.02597208 0.02632802 0.02572165 0.0245634  0.02506117 0.02530746 0.0247821  0.02504027 0.02606689 0.0263228  0.02575774 0.02529129 0.02302876 0.02267569 0.02377713 0.02148842 0.02085451 0.02007257 0.01922285 0.0204724  0.02036365 0.01899495 0.01935344 0.01922609 0.0182617  0.01892934 0.01617225 0.01694519 0.01806767 0.01416432 0.01853244 0.01823248 0.01710351 0.02096791 0.02189856 0.02519403 0.03055539 0.03443047 0.04048266 0.04535478 0.05172526 0.05564578 0.05832353 0.05821141 0.06068207 0.05428829 0.0544684  0.04963172], [ 0.13517164  0.16301686  0.15063553  0.15540148  0.1433269   0.13967818  0.13397064  0.12684944  0.12434905  0.11956902  0.11760984  0.11331629  0.11086671  0.10787847  0.10930817  0.10570177  0.1051485   0.10379516  0.10349428  0.10215064  0.09984973  0.09629057  0.09317405  0.08688331  0.08330531  0.07848596  0.07614553  0.07575362  0.07377983  0.0721911   0.0688077   0.066145    0.06264382  0.05859783  0.05496296  0.05043039  0.04276007  0.0310196   0.01487763 -0.00658404 -0.0377866  -0.07081339 -0.10262485 -0.12473331 -0.13784861 -0.14577679 -0.15314105 -0.15918921 -0.16700109 -0.17448082 -0.18309454 -0.19407896 -0.20819198 -0.22566065 -0.24339129 -0.25877864 -0.26987549 -0.2794683  -0.29090525 -0.30648548 -0.32650402 -0.35495283 -0.3920445  -0.43988237 -0.50045635 -0.5765375  -0.66928658 -0.78381674 -0.91944312 -1.07435633 -1.25280271 -1.45151071 -1.66590831 -1.87265722 -2.05908074 -2.21260139 -2.32152995 -2.39556497 -2.44415039 -2.4743493  -2.50519032], 22.22, 22.49, False
2021/07/21 18:09:58.436, 1562865, [0.14284505 0.12532665 0.12123928 0.11299306 0.0978709  0.09361275 0.08415826 0.08090879 0.07414445 0.065558   0.0647993  0.06229235 0.05646174 0.05650289 0.04883841 0.04865688 0.04786385 0.04088253 0.04323867 0.03896809 0.037707   0.0385278  0.03599516 0.03704616 0.03362053 0.03242604 0.03281499 0.03112066 0.02878245 0.02865244 0.02788675 0.02784976 0.02734405 0.02519069 0.02603085 0.02515192 0.02439027 0.02505751 0.02464908 0.02438332 0.02512721 0.02572452 0.02590249 0.02556772 0.02524003 0.02268357 0.02278391 0.02348203 0.02100938 0.02112285 0.01958557 0.01930719 0.02041777 0.01991304 0.01926036 0.01944681 0.01921042 0.01893152 0.01754725 0.01618678 0.01734143 0.01735804 0.01497269 0.01781715 0.01767491 0.01817949 0.02021523 0.02218641 0.02520427 0.02950236 0.03520114 0.04037601 0.04398388 0.05216689 0.05444402 0.05798556 0.05800506 0.05952839 0.05692977 0.05381119 0.0510211 ], [ 0.10968542  0.13801002  0.1384367   0.136078    0.13404391  0.13104355  0.12458611  0.11974054  0.11726059  0.11339793  0.11088901  0.10639008  0.10641448  0.10384881  0.10350543  0.10255153  0.10173738  0.10223621  0.10110079  0.09997518  0.09730323  0.09409901  0.09035302  0.08538725  0.08053581  0.07746442  0.07561215  0.07366974  0.07255706  0.07103985  0.0676194   0.0654402   0.06116479  0.05821049  0.05453023  0.04929294  0.04182114  0.03067335  0.01370629 -0.00748464 -0.03735328 -0.07069258 -0.10159981 -0.12356467 -0.13693381 -0.14554035 -0.15267454 -0.15944029 -0.16605458 -0.17359608 -0.18234845 -0.19344133 -0.20759536 -0.22505541 -0.24307717 -0.2579674  -0.26904085 -0.27906211 -0.29035302 -0.30555433 -0.32545528 -0.35432674 -0.3911388  -0.43892968 -0.49954815 -0.57587669 -0.66734501 -0.78284122 -0.91771121 -1.07326152 -1.25137234 -1.45055827 -1.66344328 -1.87114253 -2.05729157 -2.20942999 -2.31989655 -2.39477943 -2.44141063 -2.47232108 -2.50194246], 22.21, 22.49, False
2021/07/21 18:09:58.686, 1563114, [0.139947   0.13877291 0.11833659 0.11541723 0.10417953 0.10100576 0.09072148 0.0781344  0.07640362 0.07253967 0.06983595 0.06483199 0.05786044 0.05866225 0.05162227 0.05174122 0.0499744  0.04622951 0.04613955 0.04282173 0.0386666  0.0410706  0.03841526 0.03844624 0.03667235 0.03474078 0.03463439 0.03368731 0.03128312 0.0321389  0.0309344  0.02953452 0.03000326 0.02771763 0.02787411 0.02850125 0.02672169 0.027783   0.02767371 0.02663988 0.02786756 0.02873709 0.02835893 0.02831431 0.02781755 0.02526179 0.02536425 0.02603633 0.02398724 0.02351956 0.02203414 0.02181633 0.02294935 0.02272823 0.02193378 0.0222706  0.02196601 0.02121332 0.02084    0.01872136 0.01908032 0.02011553 0.01727002 0.02046959 0.02157242 0.01994048 0.02262367 0.02459177 0.02682199 0.03230696 0.03636092 0.04215631 0.04630706 0.05440975 0.05705817 0.05966287 0.0625992  0.06091969 0.05903801 0.05636736 0.05166015], [ 0.11722558  0.14307308  0.14497302  0.139843    0.13451388  0.13295285  0.12750383  0.12486886  0.12248862  0.11704803  0.11200285  0.11033792  0.10819061  0.1063468   0.10719107  0.10378072  0.10401148  0.1022828   0.10115052  0.1009182   0.09806307  0.09538484  0.09109901  0.08661773  0.081003    0.07837026  0.07684877  0.07516086  0.07281586  0.07138658  0.06875646  0.06583651  0.06173904  0.05852098  0.05460053  0.04961774  0.04271397  0.03077304  0.01469251 -0.00671865 -0.03791947 -0.07086365 -0.10230056 -0.12396899 -0.13758289 -0.14600777 -0.15265404 -0.15934856 -0.16683742 -0.17454553 -0.18314172 -0.19384346 -0.2077813  -0.22542999 -0.24338948 -0.25877697 -0.26968471 -0.27933412 -0.29083279 -0.30612912 -0.32635369 -0.35479483 -0.39171325 -0.43961707 -0.50063555 -0.57635246 -0.66878381 -0.78348621 -0.91966843 -1.07411345 -1.25215545 -1.45121708 -1.66562128 -1.87188413 -2.05807956 -2.21156878 -2.32157041 -2.3972213  -2.44336795 -2.47421355 -2.5039881 ], 22.22, 22.48, False
