time, acs_timestamp, c, a, T_int, T_ext, flag_outside_calibration_range
yyyy/mm/dd HH:MM:SS.fff, ms, 1/m	lambda=400.5 404.8 408.9 412.6 416.9 421.7 426.5 431.1 435.7 440.0 444.9 450.0 454.8 459.4 464.0 468.5 473.8 479.0 484.1 489.0 493.5 498.6 503.5 508.5 513.7 519.4 524.2 529.2 533.9 538.9 544.0 549.0 554.1 559.3 564.5 569.3 573.6 578.1 582.5 586.9 591.2 595.5 600.3 605.0 609.8 614.7 619.7 624.5 629.2 633.7 638.5 643.1 647.9 652.6 657.0 661.6 666.4 670.8 675.4 679.8 683.8 687.9 692.0 695.5 699.6 703.4 707.1 710.7 714.4 717.7 721.1 724.3 727.5 730.5 733.4 736.4 739.2 742.1 744.8 747.6 749.8, 1/m	lambda=400.0 404.6 408.7 412.5 416.9 421.4 426.5 430.9 435.5 439.8 444.8 449.9 455.0 459.4 463.8 468.7 474.0 479.2 484.1 489.2 493.9 498.9 503.8 508.7 514.0 519.7 524.8 529.9 534.6 539.6 544.4 549.7 554.6 560.1 565.2 569.8 574.2 579.0 583.4 587.8 592.7 597.4 602.1 607.0 612.0 616.9 621.9 626.5 631.2 635.8 640.8 645.3 650.2 654.9 659.3 663.9 668.8 673.2 677.6 681.9 686.1 690.0 693.9 697.8 701.8 705.5 709.1 712.8 716.6 719.8 723.2 726.5 729.4 732.3 735.3 738.3 741.3 744.2 746.7 749.4 751.9, deg_C, deg_C, bool
2021/07/20 18:23:32.802, 397948, [ 8.83062334e-01  8.97437567e-01  8.87666596e-01  8.79171819e-01  8.78628236e-01  8.67061832e-01  8.66985760e-01  8.54851469e-01  8.53267234e-01  8.47387632e-01  8.43242006e-01  8.38667992e-01  8.33682804e-01  8.33983830e-01  8.31991764e-01  8.26524307e-01  8.27679961e-01  8.24289558e-01  8.24579358e-01  8.19895889e-01  8.18401536e-01  8.15407727e-01  8.10387443e-01  8.04859444e-01  7.98304397e-01  7.95262181e-01  7.92108124e-01  7.89978983e-01  7.86773075e-01  7.84285083e-01  7.82511542e-01  7.79453727e-01  7.75956481e-01  7.72077320e-01  7.68239356e-01  7.64101990e-01  7.56917932e-01  7.47299768e-01  7.33080611e-01  7.11288661e-01  6.88474707e-01  6.57770070e-01  6.23655693e-01  5.94793831e-01  5.76976589e-01  5.63749000e-01  5.56842535e-01  5.52883943e-01  5.44817504e-01  5.37188767e-01  5.28062486e-01  5.19777946e-01  5.08159168e-01  4.92962320e-01  4.73097320e-01  4.55384984e-01  4.41869453e-01  4.31226986e-01  4.21070224e-01  4.07247196e-01  3.90524284e-01  3.70498805e-01  3.34006715e-01  2.97585061e-01  2.45613599e-01  1.77524163e-01  9.82155264e-02  2.27489514e-04 -1.21323941e-01 -2.59542347e-01 -4.17370719e-01 -6.00135718e-01 -8.04161044e-01 -1.01786812e+00 -1.21940715e+00 -1.40026123e+00 -1.54344609e+00 -1.64130699e+00 -1.70600149e+00 -1.74948929e+00 -1.77300649e+00], [0.13933945 0.13850234 0.12825295 0.1149427  0.10018379 0.09400523 0.08962865 0.08440795 0.07674736 0.0746596  0.06718891 0.06597117 0.06338623 0.06229659 0.06014647 0.05864582 0.05668478 0.05491956 0.05548054 0.05441731 0.05301258 0.05106743 0.05104724 0.05029629 0.04934576 0.04856547 0.04777623 0.04672289 0.04620018 0.04583949 0.04556676 0.04591302 0.04480759 0.04429146 0.04374036 0.04287136 0.04316646 0.04268596 0.04271119 0.04181361 0.04310699 0.04298885 0.04288857 0.04302519 0.04225544 0.04051839 0.0399564  0.03864695 0.03809901 0.03660958 0.03596796 0.03561363 0.03474371 0.03507422 0.03551243 0.03492943 0.03454214 0.03381485 0.03291427 0.03205778 0.0319474  0.03144972 0.0311991  0.03115812 0.0318265  0.03233906 0.03528229 0.03728435 0.03977798 0.04486067 0.04919389 0.05388331 0.05984468 0.06544087 0.07019864 0.07222035 0.07540845 0.07389621 0.07254415 0.06932106 0.05710536], 22.36, 22.08, False
2021/07/20 18:23:33.051, 398197, [ 8.72444712e-01  9.04514045e-01  8.81714342e-01  8.86147470e-01  8.78677882e-01  8.71141876e-01  8.62428373e-01  8.60948302e-01  8.50084384e-01  8.50902143e-01  8.39543165e-01  8.38686112e-01  8.34673982e-01  8.34639877e-01  8.28956831e-01  8.28642205e-01  8.27537047e-01  8.24211602e-01  8.23980789e-01  8.19535488e-01  8.20313682e-01  8.13671116e-01  8.10811232e-01  8.05574285e-01  7.97925478e-01  7.95281223e-01  7.92116210e-01  7.88743050e-01  7.87383864e-01  7.84578208e-01  7.81982308e-01  7.81001633e-01  7.75962317e-01  7.71390052e-01  7.68466350e-01  7.63901573e-01  7.56719872e-01  7.47883912e-01  7.32160700e-01  7.11643252e-01  6.88137216e-01  6.57451069e-01  6.23013477e-01  5.94634420e-01  5.76669829e-01  5.63756437e-01  5.56850003e-01  5.52885775e-01  5.44205251e-01  5.36554148e-01  5.28217239e-01  5.19476981e-01  5.07994309e-01  4.92803116e-01  4.72763113e-01  4.55201045e-01  4.41539533e-01  4.31030698e-01  4.21598117e-01  4.07059777e-01  3.90086377e-01  3.70903530e-01  3.33525456e-01  2.97063447e-01  2.46617071e-01  1.76724113e-01  9.75749783e-02  8.01810223e-04 -1.22303188e-01 -2.58573183e-01 -4.18130164e-01 -6.01324708e-01 -8.03747662e-01 -1.01698936e+00 -1.21947339e+00 -1.39976291e+00 -1.54344342e+00 -1.64296072e+00 -1.70725412e+00 -1.74834190e+00 -1.77237245e+00], [0.14934326 0.13120062 0.119969   0.11012498 0.09204251 0.09463089 0.08943329 0.07952752 0.07798839 0.07100525 0.06946181 0.06499974 0.06335247 0.06144587 0.05935668 0.0578666  0.05474121 0.05486269 0.05409229 0.05430106 0.05249376 0.05100688 0.05013287 0.04951572 0.04887359 0.04872801 0.0476593  0.04647023 0.04614038 0.0456108  0.04475724 0.04514601 0.04452954 0.04449226 0.04371655 0.04301343 0.04305567 0.04296753 0.04265516 0.0420325  0.04262293 0.04302529 0.04312923 0.04268722 0.04208385 0.04010938 0.03974977 0.03900413 0.03769341 0.03648447 0.03616999 0.03486235 0.03478422 0.03477756 0.03537761 0.03460914 0.03431225 0.03351147 0.03337207 0.03184044 0.03249172 0.03133694 0.03106588 0.03134647 0.0309302  0.0323353  0.03445013 0.03714581 0.03977321 0.04321763 0.04891679 0.05429083 0.05853719 0.06487976 0.06791216 0.07206866 0.07416425 0.07343309 0.07162833 0.06764128 0.0541059 ], 22.38, 22.08, False
2021/07/20 18:23:33.301, 398447, [ 8.80684697e-01  8.96222834e-01  8.91773554e-01  8.81458279e-01  8.82101960e-01  8.67084889e-01  8.62722809e-01  8.62896290e-01  8.48982305e-01  8.47234442e-01  8.42201109e-01  8.38796895e-01  8.34766772e-01  8.32033746e-01  8.28952389e-01  8.29441702e-01  8.26331732e-01  8.24914822e-01  8.23445393e-01  8.20488232e-01  8.19371741e-01  8.14540907e-01  8.10410436e-01  8.06029386e-01  7.98310685e-01  7.95297353e-01  7.92441532e-01  7.88745464e-01  7.87086388e-01  7.84014754e-01  7.81984409e-01  7.80999204e-01  7.75474354e-01  7.71850487e-01  7.68245642e-01  7.63688610e-01  7.56310922e-01  7.47301243e-01  7.31780933e-01  7.12178680e-01  6.88306501e-01  6.57611057e-01  6.23168481e-01  5.94320005e-01  5.76037183e-01  5.63586453e-01  5.56673455e-01  5.52714800e-01  5.43736841e-01  5.37327180e-01  5.28216720e-01  5.19118756e-01  5.08615678e-01  4.92802642e-01  4.72397882e-01  4.55200006e-01  4.41334872e-01  4.30806090e-01  4.21829769e-01  4.06038414e-01  3.91097977e-01  3.70724019e-01  3.33458539e-01  2.98029565e-01  2.45393575e-01  1.76662589e-01  9.84469114e-02 -1.00336969e-03 -1.22376909e-01 -2.59565916e-01 -4.18525743e-01 -6.00549640e-01 -8.04951658e-01 -1.01789836e+00 -1.21900954e+00 -1.40259102e+00 -1.54295318e+00 -1.64134628e+00 -1.70906735e+00 -1.74774703e+00 -1.77432292e+00], [0.14559954 0.1353136  0.11262036 0.11064412 0.10019616 0.0918148  0.08461321 0.08194056 0.07781021 0.06981562 0.06834547 0.06597467 0.06164926 0.05986199 0.05939525 0.05928608 0.0549429  0.05470369 0.05344558 0.05386377 0.05295264 0.05112384 0.05082083 0.04957401 0.04880671 0.04788965 0.04713246 0.04666403 0.04572253 0.04527289 0.04513777 0.04536259 0.04453106 0.04398137 0.04410758 0.043015   0.04299866 0.04286827 0.0426119  0.0423011  0.0428882  0.04297927 0.04329619 0.04285185 0.04220774 0.04043291 0.03959027 0.03860352 0.03765394 0.03685235 0.03600737 0.03518962 0.03503704 0.03546524 0.0354727  0.03487864 0.03450185 0.03400767 0.03291202 0.03178448 0.03166155 0.03140033 0.0308862  0.03128167 0.03127289 0.03274561 0.03462483 0.03682023 0.03948646 0.04390536 0.04786728 0.05349061 0.05897364 0.06441414 0.06855562 0.07207042 0.0746415  0.07366356 0.07215165 0.06986757 0.0536551 ], 22.37, 22.08, False
2021/07/20 18:23:33.551, 398698, [ 8.84233051e-01  8.98367267e-01  8.91759824e-01  8.90217736e-01  8.70390104e-01  8.75921873e-01  8.56893903e-01  8.61183653e-01  8.48772177e-01  8.49389794e-01  8.44166343e-01  8.38676046e-01  8.34569201e-01  8.31302957e-01  8.29693683e-01  8.30060790e-01  8.26228464e-01  8.23544756e-01  8.24048953e-01  8.21472565e-01  8.17898317e-01  8.13707753e-01  8.10806687e-01  8.05223422e-01  7.97588147e-01  7.95930363e-01  7.91134983e-01  7.89050503e-01  7.87071464e-01  7.84288399e-01  7.82784579e-01  7.79453382e-01  7.75472886e-01  7.71617648e-01  7.68240829e-01  7.64315653e-01  7.56525240e-01  7.46716950e-01  7.32707072e-01  7.10933930e-01  6.87614066e-01  6.58108663e-01  6.23020013e-01  5.94310201e-01  5.76360184e-01  5.63461729e-01  5.56855045e-01  5.52416168e-01  5.44053026e-01  5.36871413e-01  5.28231429e-01  5.19329305e-01  5.07529480e-01  4.92820090e-01  4.72454516e-01  4.54886338e-01  4.41913863e-01  4.30521358e-01  4.21254880e-01  4.06513666e-01  3.89927000e-01  3.70277129e-01  3.34275070e-01  2.97392407e-01  2.46152210e-01  1.77056455e-01  9.79264072e-02  5.59655358e-04 -1.22257105e-01 -2.58871616e-01 -4.19128168e-01 -6.00134246e-01 -8.04952104e-01 -1.01699103e+00 -1.22116069e+00 -1.40022286e+00 -1.54389566e+00 -1.64300560e+00 -1.70734672e+00 -1.75018073e+00 -1.77305734e+00], [0.15681965 0.13575591 0.12180718 0.11495507 0.09931194 0.09431734 0.08921306 0.08398733 0.07966354 0.07347537 0.06941903 0.06499841 0.06338585 0.06226744 0.06006981 0.0586448  0.05716384 0.05581147 0.05350203 0.0536933  0.05192643 0.0523453  0.05087286 0.05003573 0.04904723 0.04878674 0.04719027 0.04691475 0.04601797 0.04623322 0.04550989 0.045564   0.04523673 0.04446852 0.04349929 0.04277138 0.0431059  0.04286929 0.043132   0.04230213 0.0426253  0.04289902 0.04350219 0.04330322 0.04204758 0.04067363 0.03995305 0.03952846 0.03765491 0.03685336 0.03613004 0.03540116 0.03520859 0.03542979 0.03551062 0.03520676 0.03426408 0.03385151 0.03302222 0.03194096 0.03221144 0.03157221 0.03123743 0.03141488 0.03230092 0.03249163 0.03421165 0.03695479 0.04070054 0.04395807 0.04923092 0.05511874 0.05985174 0.06592801 0.07000429 0.07328482 0.0745469  0.07499759 0.07267158 0.07001177 0.05443002], 22.37, 22.08, False
2021/07/20 18:23:33.801, 398948, [ 8.96078243e-01  8.85628003e-01  8.88410796e-01  8.83229472e-01  8.77511922e-01  8.73340905e-01  8.58841198e-01  8.58531860e-01  8.51577180e-01  8.47402012e-01  8.44171041e-01  8.36759765e-01  8.33788896e-01  8.31138791e-01  8.30584376e-01  8.28457452e-01  8.25654627e-01  8.24786017e-01  8.22343065e-01  8.20519074e-01  8.18407537e-01  8.13668142e-01  8.11259404e-01  8.04865524e-01  7.97601465e-01  7.94604232e-01  7.92113515e-01  7.89672542e-01  7.87372276e-01  7.83157764e-01  7.82791756e-01  7.79460377e-01  7.75717242e-01  7.71387805e-01  7.68685492e-01  7.62633952e-01  7.56318516e-01  7.46910341e-01  7.32702822e-01  7.11468466e-01  6.87287838e-01  6.57277610e-01  6.23003909e-01  5.94001636e-01  5.75569337e-01  5.63439590e-01  5.56374621e-01  5.52094010e-01  5.43572083e-01  5.37030552e-01  5.27764698e-01  5.18979678e-01  5.07985285e-01  4.92294092e-01  4.72561191e-01  4.54887031e-01  4.40638771e-01  4.30652489e-01  4.21072627e-01  4.06419457e-01  3.91326078e-01  3.69430202e-01  3.33692697e-01  2.97834589e-01  2.44115424e-01  1.76897466e-01  9.82184492e-02 -1.04880376e-03 -1.20762047e-01 -2.59888094e-01 -4.18893677e-01 -5.99773619e-01 -8.06062022e-01 -1.01786611e+00 -1.22033478e+00 -1.40167369e+00 -1.54238175e+00 -1.64291974e+00 -1.70674217e+00 -1.74769872e+00 -1.77558834e+00], [0.14515793 0.13989288 0.1218111  0.10948461 0.09756207 0.0918148  0.08963939 0.08412986 0.07789836 0.07100309 0.07047197 0.06694874 0.06336921 0.06235355 0.05935701 0.05818268 0.05794231 0.05586395 0.05398174 0.05397771 0.05221022 0.05087173 0.05104562 0.05020717 0.04863448 0.04845614 0.04809558 0.04716437 0.04607426 0.04617623 0.04556441 0.04603304 0.04509893 0.04410911 0.04415773 0.04296608 0.04265386 0.04272115 0.04275286 0.04189772 0.0428882  0.04323639 0.04325667 0.042937   0.04212997 0.0409586  0.03955037 0.03940707 0.03793508 0.03709353 0.03608629 0.03515384 0.03516271 0.03563919 0.03533209 0.03506107 0.0349165  0.03399361 0.03276352 0.03199741 0.0319276  0.03180446 0.03149406 0.03179883 0.03168168 0.03218234 0.03400892 0.03688484 0.03983439 0.04422258 0.04899774 0.0531247  0.05984834 0.0649255  0.06945684 0.07267698 0.07454561 0.07377784 0.07163007 0.06903137 0.0561357 ], 22.37, 22.08, False
2021/07/20 18:23:34.051, 399197, [ 8.84242200e-01  8.91356605e-01  8.90356084e-01  8.86125746e-01  8.80030862e-01  8.68572773e-01  8.66296066e-01  8.61186912e-01  8.50072400e-01  8.48060855e-01  8.42835502e-01  8.37485015e-01  8.34765267e-01  8.31948619e-01  8.29623536e-01  8.30062006e-01  8.25603099e-01  8.24165338e-01  8.22875639e-01  8.19438901e-01  8.17467719e-01  8.13667151e-01  8.09560907e-01  8.06014300e-01  7.98275787e-01  7.94584040e-01  7.92426115e-01  7.88426075e-01  7.86483276e-01  7.83728241e-01  7.82782978e-01  7.79198657e-01  7.75716508e-01  7.71155729e-01  7.68022953e-01  7.63267561e-01  7.56317819e-01  7.47298459e-01  7.31791096e-01  7.11291270e-01  6.87273712e-01  6.57438259e-01  6.22695510e-01  5.93996722e-01  5.75579055e-01  5.62993247e-01  5.56075660e-01  5.52422456e-01  5.43591607e-01  5.36733855e-01  5.27458187e-01  5.19158491e-01  5.07695783e-01  4.91990533e-01  4.72272435e-01  4.54543152e-01  4.41185261e-01  4.30545050e-01  4.20535613e-01  4.06282858e-01  3.90369498e-01  3.69667897e-01  3.33790932e-01  2.96722994e-01  2.44652422e-01  1.77566533e-01  9.68463243e-02 -7.89696352e-05 -1.21880786e-01 -2.60185207e-01 -4.18445781e-01 -6.01213354e-01 -8.05363340e-01 -1.01736417e+00 -1.22026546e+00 -1.40167392e+00 -1.54230185e+00 -1.64235346e+00 -1.70902127e+00 -1.74884274e+00 -1.77627287e+00], [0.14515788 0.13393661 0.11629318 0.11432413 0.099314   0.09590078 0.08984926 0.08412913 0.07657478 0.07342616 0.07156631 0.0650001  0.0634022  0.06150412 0.06010781 0.05868948 0.05605304 0.05417731 0.05457382 0.052988   0.05215295 0.05166644 0.05121303 0.04989088 0.04922957 0.04884378 0.04751103 0.04702879 0.04619858 0.04583792 0.04593621 0.04556363 0.04547807 0.04434021 0.04412734 0.04324019 0.04341329 0.04282244 0.04280466 0.0423508  0.04288867 0.04319628 0.04342273 0.04326374 0.0424975  0.04067662 0.03963066 0.03912653 0.0382167  0.03693172 0.03596525 0.0352338  0.03486694 0.03533761 0.03524866 0.03492736 0.03430151 0.03356537 0.03285767 0.03221082 0.03170516 0.03168071 0.03082227 0.03128212 0.03189173 0.03262759 0.03510664 0.03695423 0.04041162 0.04348564 0.04962037 0.05426984 0.05940916 0.06590533 0.06850857 0.07221742 0.07540522 0.07354999 0.07332241 0.06888979 0.05475005], 22.37, 22.08, False
2021/07/20 18:23:34.301, 399447, [ 8.84223902e-01  8.93504193e-01  8.82371578e-01  8.83213177e-01  8.77953180e-01  8.69282696e-01  8.62098655e-01  8.56815965e-01  8.53070539e-01  8.47227252e-01  8.43249054e-01  8.37597461e-01  8.33687318e-01  8.31385093e-01  8.31180297e-01  8.27952719e-01  8.25752460e-01  8.25403353e-01  8.21736375e-01  8.19498092e-01  8.18379273e-01  8.14496166e-01  8.09195844e-01  8.04862484e-01  7.97930441e-01  7.93889068e-01  7.92110820e-01  7.88742281e-01  7.86472779e-01  7.83434108e-01  7.82514524e-01  7.79456156e-01  7.75227075e-01  7.70460194e-01  7.68022228e-01  7.63264715e-01  7.55710928e-01  7.46722952e-01  7.31965933e-01  7.10753248e-01  6.87446778e-01  6.57123339e-01  6.22365629e-01  5.93848780e-01  5.75578640e-01  5.63139662e-01  5.56069374e-01  5.51795221e-01  5.43584842e-01  5.36090868e-01  5.27749086e-01  5.19150269e-01  5.07512120e-01  4.92302522e-01  4.71753628e-01  4.54688706e-01  4.40649150e-01  4.30662861e-01  4.21058952e-01  4.05901217e-01  3.90097804e-01  3.70321497e-01  3.32870285e-01  2.97111457e-01  2.44633079e-01  1.75916632e-01  9.73227775e-02 -1.26724428e-03 -1.22657735e-01 -2.59541496e-01 -4.20205175e-01 -6.00910635e-01 -8.05363786e-01 -1.01864607e+00 -1.22033586e+00 -1.40308808e+00 -1.54291388e+00 -1.64178774e+00 -1.70827898e+00 -1.74953657e+00 -1.77569220e+00], [0.14559939 0.13256064 0.12180521 0.10579516 0.09460166 0.09119956 0.0841893  0.08101152 0.07674918 0.07337481 0.06828317 0.06402265 0.0633695  0.06159104 0.05928083 0.05786813 0.05595377 0.05533835 0.05392691 0.05276012 0.05198069 0.05064018 0.05064832 0.05015074 0.04899013 0.04850728 0.04730504 0.0465291  0.04608535 0.04516098 0.0458895  0.04581888 0.04434331 0.04508425 0.04392026 0.0434025  0.04321265 0.04248286 0.04233794 0.04216632 0.04293163 0.04323778 0.04329752 0.04289953 0.04241508 0.04071705 0.03983386 0.03912755 0.03753529 0.03644574 0.03596633 0.03514734 0.03491283 0.03516458 0.03520268 0.03456332 0.03412628 0.03415171 0.03261614 0.03232662 0.03204895 0.03180574 0.03082325 0.03147547 0.03086208 0.03211538 0.03445272 0.03636128 0.04012432 0.04406167 0.04892054 0.05344563 0.058538   0.06445976 0.06841452 0.07107842 0.07416812 0.07343714 0.07123947 0.07001257 0.05240392], 22.36, 22.08, False
2021/07/20 18:23:34.551, 399698, [ 8.77262269e-01  8.95293895e-01  8.92283416e-01  8.83773683e-01  8.75423208e-01  8.73325534e-01  8.59545980e-01  8.57767077e-01  8.52451351e-01  8.43397087e-01  8.40581158e-01  8.37711981e-01  8.36326368e-01  8.31049520e-01  8.28874977e-01  8.29255253e-01  8.24872717e-01  8.22880789e-01  8.21771223e-01  8.19990410e-01  8.16982761e-01  8.14131823e-01  8.10804868e-01  8.03697947e-01  7.97940645e-01  7.93522667e-01  7.91767521e-01  7.88730029e-01  7.85882677e-01  7.84004544e-01  7.81427090e-01  7.79449971e-01  7.74496997e-01  7.69765476e-01  7.67803008e-01  7.63054575e-01  7.55513562e-01  7.46335858e-01  7.31973404e-01  7.10409965e-01  6.87279510e-01  6.56617116e-01  6.22529815e-01  5.93534895e-01  5.75732714e-01  5.62523941e-01  5.55928735e-01  5.51965459e-01  5.43439620e-01  5.36104964e-01  5.27296945e-01  5.18514141e-01  5.06881756e-01  4.91481487e-01  4.72099022e-01  4.54552326e-01  4.40488659e-01  4.30508881e-01  4.20546908e-01  4.05710410e-01  3.90139990e-01  3.69696711e-01  3.32635796e-01  2.97408387e-01  2.44169932e-01  1.76445825e-01  9.65537739e-02 -1.24486386e-03 -1.22282102e-01 -2.60160739e-01 -4.19550330e-01 -6.00911003e-01 -8.05651539e-01 -1.01820855e+00 -1.22119635e+00 -1.40209563e+00 -1.54389626e+00 -1.64122161e+00 -1.70832520e+00 -1.74884404e+00 -1.77422036e+00], [0.14889082 0.13850567 0.12456854 0.11316027 0.10056142 0.0937002  0.08607208 0.08249861 0.07939583 0.07090191 0.0704923  0.06694838 0.06345178 0.0622964  0.05947214 0.05804866 0.05741347 0.05591874 0.05403874 0.0534268  0.05226944 0.05160927 0.05019261 0.05063958 0.04910519 0.04856491 0.04692703 0.04672233 0.04649434 0.04595163 0.04642705 0.04627442 0.04501674 0.04444459 0.04366999 0.04330519 0.04330855 0.04325722 0.0427614  0.04194336 0.04266827 0.04353595 0.04338456 0.04314112 0.0424156  0.04120037 0.03963212 0.03904737 0.03829997 0.03648798 0.03617378 0.03514782 0.0351737  0.03511917 0.03525001 0.03466036 0.03431508 0.03390461 0.03272598 0.03215487 0.03156052 0.03203926 0.03167718 0.03128952 0.03168699 0.03256066 0.03496272 0.03682664 0.04053229 0.04422496 0.04958275 0.05353952 0.05896379 0.06488422 0.06945952 0.07229242 0.0733103  0.07499894 0.07267275 0.06958573 0.05352497], 22.36, 22.08, False
2021/07/20 18:23:34.801, 399948, [ 8.78397701e-01  8.95300944e-01  8.97065045e-01  8.83779116e-01  8.82545880e-01  8.73705029e-01  8.60769680e-01  8.59726114e-01  8.51363215e-01  8.50719177e-01  8.39806002e-01  8.37830586e-01  8.34762258e-01  8.33008470e-01  8.30364553e-01  8.29316976e-01  8.24247353e-01  8.23586627e-01  8.24509606e-01  8.18449874e-01  8.18911937e-01  8.14963850e-01  8.09178430e-01  8.05998204e-01  7.97941693e-01  7.94581949e-01  7.92424318e-01  7.88116792e-01  7.85593255e-01  7.84280639e-01  7.82506796e-01  7.78428612e-01  7.74984912e-01  7.71616899e-01  7.67583117e-01  7.62847314e-01  7.55911485e-01  7.46912904e-01  7.31414475e-01  7.11647045e-01  6.87286754e-01  6.56613585e-01  6.22690524e-01  5.93701335e-01  5.75583602e-01  5.62846044e-01  5.55911075e-01  5.51953459e-01  5.43129874e-01  5.35787228e-01  5.27281989e-01  5.19142298e-01  5.07345942e-01  4.91811777e-01  4.72252990e-01  4.54375803e-01  4.40262708e-01  4.30662861e-01  4.19935704e-01  4.05833284e-01  3.90112023e-01  3.69012839e-01  3.33038501e-01  2.96899511e-01  2.44095684e-01  1.76406248e-01  9.73646612e-02 -9.81703355e-04 -1.22305798e-01 -2.60236423e-01 -4.18499927e-01 -5.99774723e-01 -8.06947794e-01 -1.01749362e+00 -1.22076595e+00 -1.40209540e+00 -1.54344520e+00 -1.64239678e+00 -1.70846339e+00 -1.74894058e+00 -1.77505934e+00], [0.15144308 0.13988789 0.12918529 0.10884511 0.10276813 0.09370132 0.08963402 0.08207845 0.07921907 0.0758992  0.06941882 0.0659734  0.06340239 0.06323139 0.05924255 0.05933169 0.0571642  0.05517834 0.05451876 0.05392155 0.05306897 0.0519193  0.05093091 0.04966198 0.04940224 0.04878702 0.04739712 0.04710806 0.04655092 0.04566908 0.04562089 0.04551052 0.04504792 0.04416211 0.04437907 0.04350032 0.04295247 0.04301693 0.04275445 0.04212275 0.04280558 0.04281151 0.04342363 0.04342786 0.04249282 0.04091733 0.04003471 0.03928825 0.03809756 0.03640399 0.03620951 0.03544533 0.03491283 0.03568642 0.03511881 0.03511061 0.03482966 0.03406115 0.03265516 0.03190082 0.03227185 0.0312774  0.03119763 0.03147547 0.03154796 0.03283293 0.03462613 0.03675728 0.04076059 0.04485888 0.04857004 0.05388161 0.05897047 0.06394846 0.06900832 0.0714657  0.07454755 0.07366558 0.07228302 0.07070635 0.05411026], 22.36, 22.08, False
