time, acs_timestamp, c, a, T_int, T_ext, flag_outside_calibration_range
yyyy/mm/dd HH:MM:SS.fff, ms, 1/m	lambda=400.5 404.8 408.9 412.6 416.9 421.7 426.5 431.1 435.7 440.0 444.9 450.0 454.8 459.4 464.0 468.5 473.8 479.0 484.1 489.0 493.5 498.6 503.5 508.5 513.7 519.4 524.2 529.2 533.9 538.9 544.0 549.0 554.1 559.3 564.5 569.3 573.6 578.1 582.5 586.9 591.2 595.5 600.3 605.0 609.8 614.7 619.7 624.5 629.2 633.7 638.5 643.1 647.9 652.6 657.0 661.6 666.4 670.8 675.4 679.8 683.8 687.9 692.0 695.5 699.6 703.4 707.1 710.7 714.4 717.7 721.1 724.3 727.5 730.5 733.4 736.4 739.2 742.1 744.8 747.6 749.8, 1/m	lambda=400.0 404.6 408.7 412.5 416.9 421.4 426.5 430.9 435.5 439.8 444.8 449.9 455.0 459.4 463.8 468.7 474.0 479.2 484.1 489.2 493.9 498.9 503.8 508.7 514.0 519.7 524.8 529.9 534.6 539.6 544.4 549.7 554.6 560.1 565.2 569.8 574.2 579.0 583.4 587.8 592.7 597.4 602.1 607.0 612.0 616.9 621.9 626.5 631.2 635.8 640.8 645.3 650.2 654.9 659.3 663.9 668.8 673.2 677.6 681.9 686.1 690.0 693.9 697.8 701.8 705.5 709.1 712.8 716.6 719.8 723.2 726.5 729.4 732.3 735.3 738.3 741.3 744.2 746.7 749.4 751.9, deg_C, deg_C, bool
2021/07/22 18:08:37.361, 1467343, [1.23615211 1.16786237 1.10072234 1.0500745  0.9865389  0.93737923 0.87683025 0.82960656 0.78195109 0.7405885  0.69825546 0.65985249 0.62562402 0.59571091 0.56398757 0.53978717 0.51303954 0.49068792 0.47112332 0.4491732  0.4293216  0.4125756  0.39638692 0.38081133 0.36555794 0.35075358 0.33674126 0.323859   0.31168937 0.30194982 0.29026782 0.28035887 0.27240325 0.26284931 0.2551581  0.24721058 0.24053775 0.23437968 0.22874438 0.22282234 0.21849562 0.21400366 0.20975839 0.2050336  0.20089814 0.19478927 0.1908378  0.18741259 0.18099114 0.17720223 0.17215671 0.16834625 0.16605032 0.16273745 0.15834666 0.15582412 0.15290368 0.1497107  0.14637407 0.14182206 0.13979438 0.13700492 0.13168303 0.13180632 0.12870488 0.12635619 0.12440621 0.12547422 0.12526808 0.12783515 0.1323364  0.13350125 0.13562773 0.14420291 0.14508489 0.14983624 0.15886491 0.15937125 0.16394969 0.16290772 0.15755246], [0.89556859 0.85371977 0.79076754 0.74628432 0.69510192 0.65543158 0.60770953 0.56789863 0.52547093 0.49191263 0.4587489  0.42845767 0.40160925 0.37806777 0.3553463  0.33578299 0.31780513 0.30152458 0.28545056 0.27167391 0.25614255 0.24476071 0.2327745  0.22226451 0.21109571 0.20058095 0.19157416 0.18213157 0.17412848 0.16741547 0.16038815 0.15447823 0.14890807 0.1432798  0.13778552 0.13308806 0.12933015 0.12550448 0.12122545 0.11742532 0.1144501  0.11165126 0.10913857 0.10699008 0.10452984 0.10103608 0.09786596 0.09513179 0.09189818 0.0889563  0.08632653 0.08380984 0.0815829  0.08031204 0.07897647 0.07740751 0.07543506 0.07396075 0.07120813 0.06874871 0.0672395  0.06501266 0.06282788 0.06119259 0.06024702 0.06016878 0.06037982 0.06105761 0.06316483 0.06639075 0.06973345 0.07262865 0.07784631 0.08298237 0.0885563  0.09391275 0.09938352 0.10299068 0.10382712 0.10522668 0.09073838], 22.10, 21.95, False
2021/07/22 18:08:37.610, 1467593, [1.23097474 1.1709832  1.10343392 1.04466823 0.98918278 0.93553165 0.88078694 0.83328693 0.7804662  0.73810522 0.69826254 0.66180126 0.62567667 0.59578084 0.56632832 0.53910968 0.51430955 0.49070415 0.4700712  0.44920813 0.42968873 0.41341867 0.39560777 0.38146985 0.36658468 0.35041572 0.33736527 0.32439713 0.31148245 0.30115331 0.29078696 0.28010215 0.2724339  0.26243839 0.2552153  0.24820055 0.24077164 0.23443281 0.22893481 0.22255533 0.21878086 0.21385538 0.20973934 0.20550506 0.20075669 0.19464927 0.19081888 0.18711288 0.18099147 0.17722293 0.17213644 0.16822433 0.16602903 0.16243901 0.15834728 0.15593659 0.15290426 0.14966422 0.14714079 0.14148873 0.13993215 0.13720448 0.13111161 0.13195017 0.12925613 0.12587235 0.12552764 0.12489266 0.12459606 0.12925902 0.12995781 0.13403085 0.13632133 0.1411131  0.14612802 0.15153298 0.15486103 0.16188449 0.1615226  0.16126333 0.15929363], [0.88112829 0.83456975 0.79688413 0.74273514 0.69510813 0.65218873 0.60599856 0.56861907 0.52437975 0.49255643 0.45998314 0.42764944 0.4006349  0.37985626 0.35686229 0.33648662 0.31783699 0.30085021 0.28599655 0.27110169 0.25797086 0.24480047 0.23273091 0.2217493  0.21213418 0.20101858 0.19142783 0.18302151 0.1734257  0.16726326 0.15971494 0.15463826 0.14870825 0.14356133 0.13783104 0.13287205 0.12898727 0.12517334 0.12122385 0.11770674 0.11466608 0.11182201 0.10934378 0.10711684 0.10452827 0.10099632 0.09795057 0.09570483 0.09193663 0.08916041 0.08644993 0.08385125 0.0817546  0.08088548 0.0794279  0.0776865  0.07567457 0.0739164  0.07136925 0.06886087 0.06718984 0.06489793 0.06326713 0.06138811 0.06003503 0.05962145 0.06031188 0.06211557 0.06410322 0.06659065 0.07008879 0.0727357  0.07695459 0.0824089  0.08754431 0.09313792 0.09829672 0.10152467 0.10302783 0.10476884 0.08978006], 22.11, 21.94, False
2021/07/22 18:08:37.860, 1467844, [1.23091958 1.17094069 1.10160122 1.04324928 0.99070418 0.93695128 0.87681834 0.82860687 0.7847491  0.73769108 0.69601629 0.66283146 0.62468063 0.59573932 0.56554697 0.53630856 0.51493665 0.49067851 0.46847327 0.44913825 0.42972187 0.41220788 0.39673979 0.38037918 0.36627246 0.35012273 0.33741657 0.32348654 0.31168649 0.30057639 0.290966   0.28084594 0.27218316 0.2622273  0.25434361 0.24755474 0.24133022 0.23450608 0.22838973 0.22289303 0.21867041 0.21363995 0.20992373 0.20552307 0.20061335 0.19460949 0.19099731 0.18711165 0.18151029 0.17736249 0.17233942 0.16824479 0.16619607 0.16243806 0.15834603 0.1557782  0.15241993 0.14985215 0.14622503 0.14086792 0.14033513 0.13703084 0.13097195 0.13219564 0.12925395 0.12577543 0.12497434 0.12457868 0.125589   0.12960144 0.1311217  0.13354512 0.13715471 0.14265637 0.1464556  0.14997459 0.15517631 0.16135977 0.16304276 0.16191684 0.16138186], [0.89602662 0.84809283 0.79239551 0.74638454 0.69509571 0.65218193 0.60770414 0.56270949 0.52843769 0.49152939 0.45888406 0.4285509  0.40154736 0.37711897 0.35762933 0.33508391 0.31783912 0.30148518 0.28550687 0.27123605 0.25707723 0.24480212 0.23281808 0.22179544 0.21114257 0.20062922 0.19147801 0.18239635 0.17432977 0.16765393 0.16016531 0.15480166 0.14871131 0.14281081 0.13823566 0.1332579  0.12953729 0.12535291 0.12133069 0.11742687 0.1144672  0.11148051 0.10947688 0.10687876 0.10440509 0.10103772 0.09782868 0.09533587 0.09210313 0.08875216 0.08636993 0.08355805 0.08162526 0.08044494 0.0789317  0.07736119 0.07549252 0.0737554  0.07125323 0.06892065 0.06745601 0.06531202 0.06351287 0.060997   0.06010487 0.05951296 0.06085164 0.06165931 0.06381324 0.06681686 0.06973533 0.07300511 0.07651058 0.0820362  0.08820652 0.09314146 0.09948685 0.10249639 0.10410427 0.10412704 0.09056929], 22.09, 21.94, False
2021/07/22 18:08:38.110, 1468093, [1.22936398 1.16786237 1.10878957 1.04326566 0.98235261 0.94151349 0.87651324 0.83008972 0.78457577 0.73665342 0.6983537  0.66089484 0.6275024  0.59571091 0.56705632 0.53632861 0.51557359 0.48894355 0.47004414 0.44967217 0.42882015 0.41218875 0.39598416 0.38224873 0.36591679 0.35043972 0.33709448 0.32417003 0.3119878  0.30086486 0.29099822 0.28018612 0.27196752 0.26258665 0.25496189 0.24763834 0.24033246 0.23462801 0.22834178 0.22271214 0.21838738 0.21400366 0.2095919  0.20536039 0.20107816 0.19494916 0.19055663 0.18727221 0.18101104 0.17660051 0.17201507 0.16836745 0.16619651 0.16228909 0.15867381 0.15564539 0.15292677 0.14949636 0.14679413 0.1413075  0.13949834 0.13717643 0.13165558 0.13150414 0.12925504 0.12524454 0.12493724 0.12456597 0.12559508 0.12818709 0.13074988 0.13393968 0.13680915 0.14210698 0.14754378 0.14947097 0.15616422 0.16078483 0.16184534 0.16257415 0.15964123], [0.90280841 0.84480972 0.78913664 0.74520798 0.6959771  0.65283839 0.60770953 0.5660176  0.52922738 0.48974822 0.45861321 0.42746104 0.40075915 0.3773031  0.35762899 0.3343812  0.31782709 0.30146371 0.28441214 0.27116889 0.25703867 0.24357816 0.23245407 0.22163481 0.21114169 0.20101942 0.19124682 0.18270894 0.17442913 0.16731463 0.15999024 0.15494838 0.14890807 0.14337554 0.13800982 0.13377744 0.12907928 0.12489209 0.12131116 0.11691738 0.11440975 0.11199553 0.10917664 0.10686181 0.10456742 0.10094875 0.09799078 0.09524958 0.09181443 0.08903785 0.08636829 0.08389746 0.08218742 0.0807103  0.07884229 0.07722236 0.07544181 0.07356463 0.07115404 0.0683278  0.06725068 0.0652492  0.06301952 0.06125796 0.05982584 0.05991736 0.06004659 0.06145347 0.06345889 0.06671425 0.06977169 0.07306858 0.07650943 0.08196129 0.08860741 0.09321711 0.09792232 0.1037293  0.10396479 0.10537861 0.09012458], 22.10, 21.95, False
2021/07/22 18:08:38.361, 1468343, [1.24180077 1.15619087 1.10792392 1.04160584 0.98917724 0.93366775 0.88243688 0.83181117 0.78326967 0.74045922 0.69719309 0.66075716 0.62745689 0.59742176 0.5655149  0.53771132 0.51304166 0.49127329 0.47059759 0.44919123 0.43065111 0.41223497 0.39484871 0.38040965 0.36625125 0.35041467 0.33709629 0.32473613 0.31139284 0.30112306 0.29032833 0.28090752 0.27202592 0.26246567 0.25484977 0.24806744 0.24018164 0.23480062 0.22839223 0.22266499 0.21836556 0.21396158 0.20944636 0.20554366 0.2009365  0.19512871 0.19101761 0.18713225 0.18147108 0.17724315 0.17171133 0.16841012 0.16592615 0.16241701 0.15834707 0.15566853 0.15306514 0.150259   0.14642464 0.1416946  0.13998488 0.13680716 0.13168378 0.13150526 0.12899359 0.12547644 0.12552715 0.12397041 0.12559118 0.12853957 0.13231311 0.13437889 0.13715583 0.14176886 0.14475568 0.15034115 0.15724531 0.15994872 0.16090769 0.16289737 0.15824926], [0.899413   0.83919902 0.79688215 0.74877732 0.69030221 0.65349445 0.61039962 0.56261599 0.5273493  0.49191408 0.45902094 0.42764917 0.40167127 0.37806759 0.35612985 0.33719189 0.31907983 0.3008098  0.28536682 0.27167337 0.25735524 0.24519497 0.2320047  0.22179393 0.21150285 0.20028413 0.19100359 0.18234541 0.17452854 0.16760195 0.16016334 0.15494763 0.14856308 0.14304345 0.13786759 0.13253607 0.12866695 0.12512972 0.12137089 0.11758203 0.11444915 0.11178344 0.10960507 0.10717042 0.10440247 0.10087141 0.09827819 0.09529404 0.09226426 0.08907937 0.08661726 0.08368227 0.081711   0.0803562  0.07920197 0.07744912 0.07539151 0.07381354 0.07115328 0.06913422 0.06678618 0.06453867 0.0635167  0.06145372 0.05884844 0.05939483 0.06029141 0.06025243 0.06298717 0.06671306 0.06905615 0.07383874 0.07784522 0.08093942 0.08754499 0.09275265 0.09917955 0.10323175 0.10316594 0.10311667 0.08995192], 22.10, 21.95, False
2021/07/22 18:08:38.611, 1468593, [1.23256141 1.1623995  1.10790668 1.03924653 0.98236924 0.93553165 0.88212122 0.82862652 0.78345462 0.73797191 0.69836078 0.66187237 0.62567667 0.59660211 0.56557566 0.53841105 0.51430955 0.48955091 0.47059832 0.44969125 0.42886253 0.41300965 0.3956551  0.38078905 0.3655611  0.34976081 0.33742199 0.32389127 0.31142336 0.30086736 0.29051427 0.28157073 0.27196973 0.26261694 0.25518777 0.24774908 0.24038762 0.23527209 0.22773592 0.22268961 0.21786083 0.2141112  0.20932065 0.20536109 0.20075669 0.19466854 0.1905377  0.18725326 0.18103127 0.17694243 0.17229888 0.16857494 0.16590456 0.16241717 0.15856601 0.15546769 0.1532264  0.14961702 0.14657288 0.14208135 0.13922713 0.13782694 0.13132074 0.13081267 0.12972903 0.1253166  0.12466352 0.12641084 0.12494725 0.12818794 0.13149634 0.13310891 0.13744075 0.14189641 0.14584301 0.15034138 0.15581179 0.15963322 0.16184575 0.16061946 0.1599897 ], [0.89556874 0.84905696 0.80301284 0.74759089 0.69817209 0.65671775 0.60674744 0.5660198  0.53005718 0.49555613 0.46094431 0.42954914 0.40264571 0.37978137 0.35768046 0.33508237 0.31906869 0.30091136 0.28698026 0.27120126 0.25789631 0.24507304 0.23273091 0.2217493  0.21136468 0.20146903 0.1921795  0.18292256 0.17447806 0.16750081 0.15993894 0.15505918 0.14885799 0.14323032 0.13822161 0.13354513 0.12942332 0.12539136 0.12143115 0.11776476 0.11454504 0.11231544 0.10926765 0.10720752 0.1049824  0.10132348 0.09815288 0.09529353 0.09172922 0.08920118 0.08644993 0.08364089 0.08188369 0.08079535 0.07906735 0.07740625 0.07595805 0.07321896 0.07156539 0.06929297 0.06723799 0.06512481 0.06326713 0.06165014 0.05996797 0.05919151 0.06060332 0.06171982 0.06363332 0.06718712 0.06973157 0.07352833 0.07829023 0.08293156 0.08815142 0.09383344 0.09975748 0.10372726 0.10462305 0.10537621 0.09029368], 22.11, 21.94, False
2021/07/22 18:08:38.861, 1468844, [1.23663936 1.15932117 1.10795151 1.04537911 0.9897358  0.93140853 0.88245276 0.8283952  0.78364571 0.73811245 0.69846615 0.66187844 0.62563309 0.59900236 0.56476848 0.53770778 0.51367926 0.48896994 0.4706005  0.44869673 0.4297505  0.4130567  0.39485236 0.3800099  0.3662025  0.35044603 0.3374247  0.32380724 0.31172467 0.30032737 0.2912769  0.28096828 0.27082576 0.26238456 0.25502125 0.24724192 0.24131004 0.23411755 0.22801634 0.22284957 0.21819113 0.21349366 0.20976067 0.20552518 0.20091837 0.19466915 0.19115889 0.18757376 0.18101171 0.17710337 0.17217855 0.16810243 0.165905   0.1623958  0.15850045 0.15531244 0.15290485 0.14990368 0.14603105 0.14148976 0.14014974 0.13680859 0.13174016 0.13106321 0.12894352 0.12552545 0.12438982 0.12516442 0.12560248 0.12782926 0.13154497 0.13385187 0.13646414 0.14354837 0.14291368 0.15102929 0.1573394  0.15963469 0.16304399 0.16193246 0.15859852], [0.88834215 0.85139328 0.79405015 0.74404255 0.69424032 0.65023738 0.60772033 0.56449906 0.52735173 0.49032213 0.45724637 0.42765024 0.40336965 0.37719184 0.35607848 0.33508258 0.31782496 0.30146136 0.28599561 0.27214418 0.25711103 0.24484021 0.23349941 0.22111858 0.21136381 0.20028301 0.19129366 0.18297119 0.17322448 0.16717608 0.16016177 0.15483426 0.14855699 0.14393454 0.13814786 0.13325316 0.12866493 0.12493314 0.12141161 0.11673104 0.11468035 0.11216487 0.10934243 0.1072436  0.10443796 0.10070563 0.0979491  0.09516798 0.09197508 0.08882919 0.08653181 0.0838089  0.08214039 0.08035435 0.07910793 0.07759014 0.07519865 0.07341585 0.07120587 0.06848407 0.06706967 0.06477352 0.06313794 0.06112422 0.05995715 0.05932552 0.05993165 0.06151399 0.06392575 0.06611414 0.06933422 0.07222879 0.07695206 0.08245574 0.08794528 0.09313615 0.09995838 0.10298661 0.10409901 0.1035132  0.09056273], 22.11, 21.94, False
2021/07/22 18:08:39.111, 1469093, [1.23657501 1.16356114 1.10071544 1.05243101 0.98444076 0.93179527 0.87879818 0.82813134 0.78457276 0.73547264 0.69931991 0.65970929 0.62557442 0.59738426 0.56475806 0.53769922 0.51367124 0.4895265  0.47008074 0.44917208 0.42837664 0.41386764 0.39449072 0.3804066  0.3655038  0.35043867 0.33617595 0.32408179 0.31168841 0.30057806 0.29048103 0.2811067  0.27128477 0.26240734 0.25459636 0.24747814 0.2409741  0.23408761 0.22834128 0.22268752 0.21770605 0.21368339 0.20977819 0.20521619 0.20111587 0.19436724 0.19055646 0.18727201 0.18103083 0.17662076 0.17203569 0.16822383 0.16542194 0.16241654 0.15889229 0.15546629 0.15304146 0.14961533 0.14620095 0.14226017 0.13982051 0.1365266  0.13197414 0.13153027 0.12917745 0.1258234  0.12440572 0.12516197 0.12559465 0.12817918 0.13074956 0.13393931 0.13653367 0.14231833 0.14617128 0.14827948 0.15778456 0.16020784 0.16242836 0.16095178 0.15964111], [0.90280836 0.85138159 0.79687624 0.7549314  0.69816381 0.65283725 0.61162419 0.56306694 0.52870134 0.49433982 0.4621771  0.42755455 0.40368358 0.37890618 0.358465   0.33648641 0.3184595  0.3014438  0.2859978  0.27214607 0.25750578 0.2451958  0.23354401 0.22145776 0.21141182 0.20190849 0.19222905 0.1829237  0.17467995 0.16655195 0.16026473 0.15473832 0.14875884 0.1435156  0.13801034 0.13351743 0.12928542 0.12515466 0.12173321 0.11742584 0.11472402 0.11203501 0.10951404 0.10757891 0.10473184 0.10087304 0.09803001 0.09517157 0.09238939 0.08936983 0.08653562 0.08355709 0.08218791 0.08062061 0.0792914  0.0775455  0.07563343 0.07385789 0.07156689 0.0690789  0.06752546 0.06507464 0.06295614 0.06145508 0.05989336 0.05957975 0.0608049  0.06205398 0.06369484 0.06691645 0.0700913  0.07300398 0.07829271 0.08153651 0.08876147 0.09445399 0.09996292 0.10299136 0.1051474  0.10452481 0.09230866], 22.10, 21.94, False
2021/07/22 18:08:39.361, 1469343, [1.23297572 1.16476039 1.11060101 1.04534636 0.99233326 0.93366003 0.88077503 0.83180462 0.78308184 0.73914271 0.69369441 0.66089484 0.62665978 0.59659775 0.5648184  0.54049471 0.51303954 0.49070837 0.46954198 0.4491574  0.43018702 0.41221087 0.39600779 0.38113902 0.36558447 0.35075358 0.33747598 0.32377176 0.3119878  0.30086486 0.29072551 0.27989818 0.27193905 0.26267074 0.2544009  0.24803891 0.24030592 0.23485066 0.22839123 0.22255376 0.21849562 0.21464353 0.2094003  0.20552377 0.20113504 0.19452733 0.1908378  0.18725264 0.18135073 0.17708233 0.17199426 0.16843107 0.16531941 0.16273745 0.15873996 0.1551316  0.15373213 0.14944921 0.14597884 0.14262094 0.13887332 0.13649994 0.13218368 0.13039349 0.12860175 0.12688849 0.1232864  0.12693831 0.12528248 0.1263972  0.13238425 0.13297303 0.13604528 0.14541049 0.14324171 0.1507063  0.15724472 0.16136124 0.16090741 0.16324111 0.15685777], [0.90962777 0.83420338 0.79687821 0.74520798 0.6994759  0.65671435 0.60916433 0.56494517 0.52922738 0.49153156 0.45834207 0.42964266 0.40245876 0.37806777 0.35693114 0.33578631 0.31844827 0.30260706 0.28665447 0.27251868 0.25786021 0.24405361 0.23328743 0.22183886 0.2107339  0.20162417 0.1911983  0.18292341 0.17462928 0.16731463 0.16011402 0.15507369 0.14920342 0.14327571 0.13796276 0.13356305 0.12933436 0.12500105 0.12132909 0.11744156 0.11486028 0.1119565  0.10947554 0.10754081 0.10436593 0.10112342 0.09782721 0.09537358 0.09181443 0.08903785 0.08628477 0.08398122 0.08171198 0.08066523 0.07915677 0.07726993 0.07553405 0.07351299 0.0712521  0.06903277 0.06769176 0.06530112 0.06295565 0.06145486 0.06031406 0.0595551  0.06029228 0.06138957 0.06304695 0.06644118 0.0696952  0.07223219 0.07918313 0.08243519 0.08699035 0.09507168 0.09918085 0.1037293  0.10316711 0.10537861 0.08916822], 22.10, 21.94, False
