time, acs_timestamp, c, a, T_int, T_ext, flag_outside_calibration_range
yyyy/mm/dd HH:MM:SS.fff, ms, 1/m	lambda=400.5 404.8 408.9 412.6 416.9 421.7 426.5 431.1 435.7 440.0 444.9 450.0 454.8 459.4 464.0 468.5 473.8 479.0 484.1 489.0 493.5 498.6 503.5 508.5 513.7 519.4 524.2 529.2 533.9 538.9 544.0 549.0 554.1 559.3 564.5 569.3 573.6 578.1 582.5 586.9 591.2 595.5 600.3 605.0 609.8 614.7 619.7 624.5 629.2 633.7 638.5 643.1 647.9 652.6 657.0 661.6 666.4 670.8 675.4 679.8 683.8 687.9 692.0 695.5 699.6 703.4 707.1 710.7 714.4 717.7 721.1 724.3 727.5 730.5 733.4 736.4 739.2 742.1 744.8 747.6 749.8, 1/m	lambda=400.0 404.6 408.7 412.5 416.9 421.4 426.5 430.9 435.5 439.8 444.8 449.9 455.0 459.4 463.8 468.7 474.0 479.2 484.1 489.2 493.9 498.9 503.8 508.7 514.0 519.7 524.8 529.9 534.6 539.6 544.4 549.7 554.6 560.1 565.2 569.8 574.2 579.0 583.4 587.8 592.7 597.4 602.1 607.0 612.0 616.9 621.9 626.5 631.2 635.8 640.8 645.3 650.2 654.9 659.3 663.9 668.8 673.2 677.6 681.9 686.1 690.0 693.9 697.8 701.8 705.5 709.1 712.8 716.6 719.8 723.2 726.5 729.4 732.3 735.3 738.3 741.3 744.2 746.7 749.4 751.9, deg_C, deg_C, bool
2021/07/22 19:44:52.216, 7242298, [ 0.66838146  0.67866497  0.68247352  0.67290282  0.67090528  0.65852514  0.65348621  0.64693076  0.63781399  0.6362071   0.62842761  0.62471115  0.61912356  0.61951698  0.61425091  0.61070155  0.60881762  0.60598703  0.60307542  0.59935928  0.59631546  0.59226397  0.58682359  0.58206839  0.57421507  0.56959064  0.56607562  0.56178696  0.55800249  0.55399111  0.54980019  0.54666947  0.5426818   0.53739668  0.53384862  0.52793053  0.52023676  0.51073483  0.49467595  0.47273421  0.44471529  0.41403497  0.37917064  0.34901282  0.330044    0.31765204  0.30954811  0.30449453  0.29508704  0.28737797  0.27825895  0.26948302  0.25741547  0.24069211  0.21917367  0.20116219  0.18777677  0.17644077  0.16692464  0.15177762  0.13453068  0.11299187  0.07699215  0.03881638 -0.01201784 -0.08096878 -0.16211713 -0.2589768  -0.38237981 -0.52011339 -0.67935043 -0.86285147 -1.06609157 -1.27945264 -1.48381262 -1.66299387 -1.80608148 -1.90559865 -1.97185203 -2.01500316 -2.04027983], [0.14397837 0.13671949 0.12514894 0.10687242 0.09887909 0.09873487 0.09263002 0.08307795 0.07980903 0.08003471 0.07419711 0.07019267 0.06615058 0.06586199 0.06253463 0.06008069 0.05978409 0.05957282 0.05773454 0.05739383 0.0550258  0.053656   0.05301687 0.05197439 0.05140572 0.05020576 0.04943611 0.04783044 0.04679067 0.04751105 0.04677235 0.04757925 0.04634397 0.04605384 0.04532634 0.04528347 0.04507601 0.04502097 0.04538934 0.04519993 0.0457726  0.04581363 0.0456631  0.04532428 0.04385934 0.04254059 0.04144788 0.04087246 0.03990812 0.03894179 0.03799011 0.03733083 0.03772055 0.03807367 0.03783275 0.03678521 0.03651518 0.03612498 0.03529943 0.03450095 0.03435796 0.03400769 0.03498615 0.03494657 0.03690093 0.03785232 0.04204795 0.04420144 0.04924147 0.05498115 0.06125322 0.06748763 0.07393811 0.0783886  0.0799168  0.08048887 0.08106257 0.07793522 0.07466731 0.07068832 0.05344254], 23.67, 23.13, False
2021/07/22 19:44:52.466, 7242548, [ 0.66840464  0.67938838  0.68901326  0.67614707  0.66637347  0.66067413  0.65370649  0.64677665  0.64467902  0.63245788  0.62974083  0.6257532   0.62016204  0.62038288  0.61349646  0.61215439  0.60950091  0.60597833  0.60361902  0.59935766  0.59724446  0.59269254  0.58764165  0.58245205  0.57420049  0.56926979  0.56478119  0.56269501  0.5580184   0.55424372  0.5503409   0.54665893  0.54291957  0.5373856   0.53385064  0.52853957  0.51945036  0.51031167  0.49448699  0.47269391  0.44441681  0.41379458  0.3789895   0.34886302  0.33019141  0.31779774  0.30954774  0.30460845  0.29521533  0.28786122  0.27876446  0.2697602   0.25775229  0.24038625  0.21963996  0.20156253  0.18757082  0.17747367  0.16645167  0.15152078  0.1347217   0.11256936  0.07734614  0.03981547 -0.01326212 -0.08035069 -0.16144945 -0.25964088 -0.38127065 -0.5204179  -0.67912405 -0.86143513 -1.06722948 -1.27924426 -1.48327938 -1.66306212 -1.80661899 -1.90567609 -1.97193485 -2.01322399 -2.0388971 ], [0.13922033 0.13340834 0.12515074 0.11440212 0.10329509 0.09778991 0.09285975 0.08476366 0.08090333 0.07754371 0.07532705 0.06818634 0.06796994 0.06504724 0.06168659 0.06130757 0.06117808 0.05940902 0.05701262 0.05598512 0.05549357 0.05409222 0.0537145  0.0519729  0.0514631  0.05077896 0.04976437 0.0480864  0.04739573 0.04768415 0.04621657 0.04663819 0.04667796 0.045444   0.04520088 0.04491354 0.04537948 0.04517015 0.0453411  0.04491749 0.04577104 0.04603426 0.04600848 0.04548911 0.04406212 0.04278728 0.0414865  0.04140324 0.03986441 0.03918565 0.03844705 0.0372396  0.03749876 0.03776374 0.03787907 0.03757678 0.0368466  0.03587112 0.03520198 0.03465793 0.03470548 0.03489355 0.03516939 0.03547182 0.03619978 0.0386009  0.04095486 0.04480115 0.04906015 0.05508267 0.06053503 0.06739597 0.07304042 0.07743516 0.08103053 0.0820405  0.08115989 0.07917355 0.07466524 0.06983693 0.05741044], 23.68, 23.13, False
2021/07/22 19:44:52.715, 7242799, [ 0.68112034  0.69013777  0.67866211  0.68411033  0.66424243  0.66252594  0.65909784  0.64511236  0.64057962  0.63481901  0.63064793  0.62867641  0.61912181  0.61790177  0.61654807  0.60933433  0.61078853  0.60598601  0.6036225   0.5993585   0.59491872  0.59399341  0.58683728  0.58169268  0.57491751  0.56893033  0.56638938  0.56238752  0.55769909  0.55450216  0.55029599  0.54585611  0.54363575  0.53739486  0.53363456  0.52746916  0.52023533  0.51050747  0.49388501  0.47303087  0.44419722  0.41429523  0.3788775   0.3491342   0.33002964  0.31779761  0.30982395  0.3050598   0.29508734  0.28723348  0.27886022  0.26974359  0.25788412  0.24031064  0.22012545  0.20167907  0.18808054  0.17675356  0.16672567  0.15188084  0.13507242  0.11318865  0.07731388  0.03921853 -0.01231539 -0.08028021 -0.16131043 -0.259684   -0.3813156  -0.52006803 -0.67922302 -0.86177674 -1.06578622 -1.27962826 -1.48246437 -1.66363006 -1.80576071 -1.90567465 -1.97157125 -2.01452702 -2.04018611], [0.14180916 0.13671633 0.12036462 0.11569874 0.10198633 0.09677202 0.09500877 0.086866   0.08253368 0.0776426  0.076449   0.06918902 0.0670194  0.06574692 0.06234093 0.06187579 0.05988621 0.05816592 0.05695799 0.05575368 0.0552024  0.05435421 0.05295884 0.05179936 0.05123051 0.05095169 0.04931996 0.04803007 0.0477125  0.04739721 0.04682316 0.04673843 0.04657433 0.04579076 0.04539964 0.04503332 0.04530871 0.04512675 0.04496971 0.04492749 0.04515268 0.04594664 0.04575328 0.04528602 0.04406519 0.04233744 0.04161383 0.04107884 0.03982624 0.03890106 0.03832696 0.03732473 0.03763076 0.03789768 0.03787179 0.03707062 0.03665741 0.03582081 0.03535637 0.03412655 0.03429814 0.0343096  0.03517207 0.03488057 0.0357777  0.03862255 0.04113456 0.0445362  0.04918261 0.05465837 0.06049975 0.06784235 0.07170478 0.07841392 0.08052525 0.08211843 0.07980315 0.07832204 0.07599358 0.0713943  0.05738   ], 23.67, 23.13, False
2021/07/22 19:44:52.965, 7243048, [ 0.68480224  0.68251216  0.67869671  0.6769992   0.67091906  0.66281259  0.65204363  0.64727232  0.64335954  0.63621158  0.62958385  0.62465304  0.6192192   0.61865651  0.61503903  0.61215439  0.61012294  0.60656505  0.60361902  0.59986742  0.59631719  0.59183546  0.58763654  0.58168333  0.57489661  0.56892642  0.5657516   0.56210378  0.55918423  0.55341668  0.5503017   0.54767958  0.5429062   0.53784639  0.53363808  0.52852582  0.52022491  0.51012627  0.49426922  0.47287792  0.44459386  0.41393866  0.37901739  0.34886302  0.33002961  0.31792843  0.30967787  0.30462389  0.29521533  0.28784475  0.27861851  0.26974261  0.25790235  0.24002363  0.22010608  0.20152111  0.18740789  0.17728268  0.16662572  0.15126261  0.1358878   0.11285196  0.07769916  0.03978367 -0.01355898 -0.08042338 -0.16105161 -0.26003528 -0.38069441 -0.52006615 -0.6794964  -0.86177629 -1.06650824 -1.27968725 -1.48240171 -1.66406614 -1.80483085 -1.90617258 -1.97201743 -2.01331154 -2.0416643 ], [0.14958162 0.13768903 0.12133213 0.11440212 0.10375053 0.09552169 0.09113226 0.08673408 0.08108682 0.07764874 0.07422284 0.07019386 0.0679062  0.06333118 0.0638842  0.06183025 0.05908524 0.05832648 0.05811333 0.05676863 0.05514058 0.05359538 0.05318775 0.05218073 0.05031153 0.04996911 0.04937588 0.04828505 0.04734813 0.04716097 0.04654251 0.04688582 0.04621193 0.04573397 0.0454276  0.04513029 0.04514574 0.04547334 0.04511094 0.04460485 0.04595586 0.04577059 0.04562092 0.04536204 0.04373244 0.04249852 0.04156953 0.0408699  0.03982271 0.03902003 0.03794436 0.03758004 0.03745305 0.03798779 0.03791709 0.03739082 0.03612936 0.03607007 0.03505051 0.03434073 0.03446169 0.0350198  0.03535416 0.03547182 0.03682605 0.03823581 0.04130981 0.04467058 0.04912012 0.0547072  0.06085382 0.06620306 0.07304127 0.07841089 0.08098021 0.07979318 0.08174083 0.07831926 0.07387041 0.07324046 0.0577059 ], 23.68, 23.13, False
2021/07/22 19:44:53.215, 7243298, [ 0.68114932  0.68704058  0.68790713  0.67418274  0.67057711  0.65826701  0.65911062  0.64216422  0.64348738  0.63492461  0.62965982  0.62575146  0.62091564  0.6186552   0.61658053  0.61070213  0.60950035  0.60716125  0.60361304  0.59936777  0.59631552  0.59356526  0.58683521  0.58094215  0.57456019  0.57028852  0.56573898  0.56237985  0.55801674  0.55426805  0.55058842  0.54665765  0.5433896   0.53785866  0.53363708  0.52853853  0.52044508  0.51013893  0.49463612  0.47252305  0.44423938  0.41416542  0.37841742  0.34884869  0.33048629  0.31778275  0.30969333  0.30463949  0.29569698  0.28770019  0.27856766  0.27005582  0.25790239  0.24050126  0.2202811   0.20118309  0.18805942  0.1767548   0.1659825   0.15201229  0.13572422  0.11234259  0.07793583  0.03959716 -0.01283947 -0.07979464 -0.16233446 -0.25949374 -0.38164657 -0.52046464 -0.67852623 -0.86167343 -1.06739654 -1.2779739  -1.48362371 -1.6646354  -1.8047586  -1.90624887 -1.97157159 -2.01192124 -2.0415705 ], [0.14397993 0.13768692 0.12324281 0.11505317 0.10024392 0.0984216  0.09307397 0.08658381 0.08254012 0.0763729  0.07424405 0.07019352 0.06606902 0.06496042 0.06388401 0.05919171 0.05983436 0.05832717 0.05718374 0.05682722 0.05525914 0.05415214 0.05231179 0.0525654  0.05195742 0.05066229 0.04898809 0.04891773 0.04752431 0.04716254 0.04715416 0.04694244 0.04657105 0.04584098 0.04529376 0.04503064 0.04525664 0.04568257 0.04496694 0.04456126 0.04572884 0.04572989 0.04567028 0.04528346 0.04385847 0.0426238  0.04144685 0.04124024 0.03953669 0.03902121 0.03815653 0.03732194 0.03719762 0.03776466 0.03750784 0.03697046 0.03651435 0.03576546 0.03510704 0.03432483 0.03531017 0.03454536 0.03478904 0.0358032  0.03599033 0.03780208 0.04084617 0.04433802 0.04929522 0.05496572 0.0615319  0.06702184 0.07304324 0.07848385 0.08042338 0.08026082 0.0807769  0.07820292 0.07506382 0.07012754 0.05659159], 23.68, 23.13, False
2021/07/22 19:44:53.466, 7243548, [ 0.67387409  0.68634706  0.68737507  0.67377105  0.66604445  0.66629108  0.65183683  0.65007158  0.63769244  0.63611228  0.63180949  0.62471552  0.62374525  0.61535479  0.61428294  0.60931555  0.61080603  0.60655524  0.60252898  0.60037497  0.59585286  0.5922694   0.58844243  0.58169857  0.57489739  0.56961394  0.5654474   0.56239427  0.55800662  0.55368014  0.5508531   0.54667266  0.54290675  0.53809759  0.53277487  0.52747331  0.52025286  0.50996848  0.49443315  0.47252435  0.44374998  0.41395257  0.3796592   0.34884883  0.33019141  0.31750652  0.30953237  0.30463927  0.29491014  0.28753883  0.27843836  0.26974247  0.25790232  0.2396799   0.21997052  0.20136264  0.18752743  0.17728293  0.16645194  0.15105609  0.13569821  0.11194804  0.07766908  0.04003342 -0.0135587  -0.07986632 -0.16203865 -0.26034719 -0.38106976 -0.52041763 -0.67927052 -0.86182774 -1.06734106 -1.278977   -1.48146133 -1.66342942 -1.80468671 -1.90666922 -1.97096097 -2.01266003 -2.04009414], [0.14181541 0.13626031 0.12324416 0.11004391 0.10245826 0.09389055 0.09091637 0.08600648 0.08226724 0.07525719 0.07420089 0.06918989 0.06703637 0.06338977 0.06380741 0.06117047 0.05973221 0.05875887 0.05646183 0.05676841 0.05431846 0.05333554 0.05324648 0.05212165 0.05122782 0.05094857 0.0487157  0.04834339 0.04710292 0.04780055 0.04732314 0.04667822 0.04601586 0.0461831  0.04567397 0.04524579 0.04550014 0.04497034 0.044629   0.04450882 0.04564171 0.04567985 0.04596767 0.04532173 0.04455615 0.04258221 0.04214526 0.04115641 0.03994488 0.0388538  0.03823547 0.0370243  0.03715029 0.0377166  0.0374591  0.03701852 0.0365642  0.03625462 0.03520156 0.03438205 0.03452227 0.03478185 0.03478789 0.03572959 0.03598908 0.03793951 0.041132   0.0448007  0.04899981 0.05465524 0.06041684 0.06655523 0.0717003  0.07845851 0.08204446 0.08026002 0.08077587 0.07831886 0.07479719 0.07197464 0.05564006], 23.68, 23.13, False
2021/07/22 19:44:53.716, 7243799, [ 0.6720377   0.67625153  0.68845484  0.67375837  0.67301688  0.66040319  0.65391162  0.64545505  0.64190664  0.6336403   0.62965982  0.62575146  0.62289565  0.61700435  0.61346623  0.61143857  0.61078992  0.60538085  0.60417187  0.59986418  0.59585242  0.5922648   0.58723523  0.58207708  0.57561759  0.56995478  0.56541179  0.56268146  0.55830504  0.55426805  0.55058842  0.54638282  0.54406982  0.5381227   0.5333974   0.52853853  0.5204588   0.51069512  0.49500384  0.47327301  0.4438577   0.41395229  0.37887777  0.34883445  0.33019142  0.31749151  0.30967806  0.30446348  0.29524733  0.28707197  0.27824165  0.26994329  0.25724696  0.24015759  0.21965962  0.20082451  0.18808116  0.17644127  0.16563437  0.15224475  0.13474805  0.11254039  0.07799647  0.03888087 -0.01264487 -0.08027864 -0.16211646 -0.25914049 -0.3815591  -0.52051085 -0.67847741 -0.86319242 -1.06661941 -1.2784168  -1.48374967 -1.6646354  -1.8051516  -1.90682214 -1.97226516 -2.01443937 -2.03968157], [0.14181307 0.13198507 0.12133123 0.11505317 0.10465893 0.09646895 0.09307397 0.08658381 0.0781741  0.07886854 0.07424405 0.06918988 0.06703606 0.06586174 0.06230267 0.06192144 0.05913654 0.05881417 0.05701326 0.05569427 0.05443761 0.05391498 0.05342472 0.05197365 0.05098203 0.05106714 0.04970652 0.04871904 0.04746584 0.04733643 0.04704037 0.04746728 0.0464628  0.04613181 0.04590224 0.04546415 0.04545289 0.04512374 0.04482183 0.04483544 0.04572884 0.04611054 0.04604975 0.04532326 0.04410268 0.04258365 0.04136382 0.04124024 0.03982372 0.03885558 0.03815653 0.03753667 0.03732587 0.03789537 0.03760326 0.03697046 0.03679635 0.03636234 0.03499564 0.03384901 0.03475057 0.03495741 0.03460425 0.03508017 0.03647949 0.03823639 0.04133718 0.04460618 0.04970942 0.05406021 0.06081576 0.06708895 0.07393774 0.07845981 0.08042338 0.08157426 0.0807769  0.07746621 0.07387144 0.06969229 0.05501709], 23.68, 23.13, False
2021/07/22 19:44:53.966, 7244048, [ 0.67749308  0.68319669  0.68899348  0.67613016  0.66879946  0.66467315  0.65224296  0.6502243   0.63900525  0.6362071   0.62965733  0.62764048  0.62096151  0.61700304  0.61425091  0.61074421  0.61144184  0.60716057  0.60362333  0.59936459  0.59538587  0.59356121  0.58723913  0.58170214  0.5756422   0.56825575  0.56572636  0.56239005  0.55709966  0.55451688  0.55031151  0.54613292  0.54338849  0.53717306  0.53339639  0.52855124  0.5200706   0.51030987  0.49410407  0.47287618  0.44441607  0.41366396  0.37868233  0.34883436  0.32989658  0.31765204  0.30954811  0.30463964  0.2955367   0.28755563  0.27843899  0.2695955   0.25775238  0.24034847  0.21963974  0.20138291  0.18757032  0.17658612  0.16583202  0.15185614  0.13466665  0.1123702   0.07728434  0.03953276 -0.01356007 -0.08059395 -0.16178393 -0.25968314 -0.38102694 -0.52112258 -0.67810544 -0.86245879 -1.0661472  -1.28013008 -1.48287189 -1.66312867 -1.80515146 -1.90674495 -1.97157146 -2.01452707 -2.04097169], [0.13965002 0.13150726 0.12037966 0.11570515 0.10777767 0.09482671 0.09284928 0.08687216 0.08244523 0.07886679 0.07313772 0.07019217 0.06608518 0.06496067 0.06241862 0.061967   0.0604817  0.05935624 0.05712756 0.05620308 0.05567081 0.05391563 0.05313008 0.051473   0.0519581  0.05095052 0.04931878 0.04860242 0.04716325 0.04716333 0.04748136 0.04730223 0.0460733  0.04631784 0.04544977 0.04536453 0.04509907 0.04557975 0.044922   0.04479186 0.04582203 0.04573067 0.04558237 0.04528448 0.04410356 0.04291353 0.041736   0.04115908 0.03998909 0.03918803 0.03811423 0.03728633 0.03754661 0.0375882  0.03769935 0.037294   0.036413   0.03607175 0.03541081 0.03497678 0.03481227 0.03489502 0.03548652 0.03521002 0.03627004 0.03867112 0.04169281 0.04393336 0.04859307 0.0549296  0.06168943 0.06706774 0.07304521 0.07843664 0.08098131 0.080413   0.08086525 0.07808663 0.07400478 0.072099   0.05501765], 23.67, 23.13, False
2021/07/22 19:44:54.215, 7244298, [ 0.68206828  0.68633111  0.68519619  0.67179966  0.67579617  0.65665788  0.65224807  0.64825127  0.64190664  0.63482461  0.62835201  0.62373598  0.62195258  0.61617867  0.61276758  0.61076613  0.61078992  0.60658469  0.60308133  0.60037141  0.59631471  0.59312529  0.58804553  0.58093482  0.57527385  0.56961148  0.5650957   0.5630186   0.55860592  0.55340253  0.5503262   0.54665765  0.54365185  0.53695067  0.5340622   0.52814765  0.5196568   0.51089406  0.49449972  0.47235306  0.44370813  0.41363649  0.37868244  0.34916288  0.33001524  0.31778275  0.30953265  0.30462405  0.29507094  0.28691078  0.2784217   0.26977806  0.25706006  0.24015759  0.21946471  0.20100381  0.18789647  0.17639561  0.16618069  0.15170128  0.13512773  0.11254039  0.07731524  0.03928412 -0.01254268 -0.08055697 -0.16211646 -0.25995358 -0.38193468 -0.52041844 -0.6791244  -0.8621691  -1.06698011 -1.27962853 -1.4824645  -1.6629943  -1.8051516  -1.90609549 -1.97148906 -2.01443937 -2.04018689], [0.1435332  0.13814837 0.11656922 0.10557824 0.10154192 0.10101441 0.09112702 0.08811667 0.07944647 0.07886854 0.07316166 0.07019302 0.06613445 0.06327266 0.06311278 0.06135322 0.05918738 0.05832717 0.05718374 0.05643543 0.05543561 0.05397429 0.05289797 0.05153101 0.05153441 0.05037486 0.04883429 0.0483444  0.04740736 0.04751113 0.04682816 0.04731569 0.04632152 0.04589393 0.04544875 0.04464747 0.04498819 0.04482056 0.04495997 0.04465061 0.04555048 0.04577137 0.04562183 0.04510892 0.04381272 0.04278825 0.04165193 0.04083027 0.03994881 0.03910622 0.03849163 0.03791386 0.03754553 0.03789537 0.03710762 0.03734242 0.03665535 0.03630911 0.03540997 0.03416622 0.03479492 0.03454536 0.03535493 0.03507481 0.03620062 0.03816727 0.04137853 0.04520782 0.04958956 0.05530435 0.06196818 0.06737479 0.07304154 0.07748385 0.08209574 0.08087949 0.0807769  0.07781731 0.07559389 0.07097851 0.05708302], 23.68, 23.13, False
