time, acs_timestamp, c, a, T_int, T_ext, flag_outside_calibration_range
yyyy/mm/dd HH:MM:SS.fff, ms, 1/m	lambda=400.5 404.8 408.9 412.6 416.9 421.7 426.5 431.1 435.7 440.0 444.9 450.0 454.8 459.4 464.0 468.5 473.8 479.0 484.1 489.0 493.5 498.6 503.5 508.5 513.7 519.4 524.2 529.2 533.9 538.9 544.0 549.0 554.1 559.3 564.5 569.3 573.6 578.1 582.5 586.9 591.2 595.5 600.3 605.0 609.8 614.7 619.7 624.5 629.2 633.7 638.5 643.1 647.9 652.6 657.0 661.6 666.4 670.8 675.4 679.8 683.8 687.9 692.0 695.5 699.6 703.4 707.1 710.7 714.4 717.7 721.1 724.3 727.5 730.5 733.4 736.4 739.2 742.1 744.8 747.6 749.8, 1/m	lambda=400.0 404.6 408.7 412.5 416.9 421.4 426.5 430.9 435.5 439.8 444.8 449.9 455.0 459.4 463.8 468.7 474.0 479.2 484.1 489.2 493.9 498.9 503.8 508.7 514.0 519.7 524.8 529.9 534.6 539.6 544.4 549.7 554.6 560.1 565.2 569.8 574.2 579.0 583.4 587.8 592.7 597.4 602.1 607.0 612.0 616.9 621.9 626.5 631.2 635.8 640.8 645.3 650.2 654.9 659.3 663.9 668.8 673.2 677.6 681.9 686.1 690.0 693.9 697.8 701.8 705.5 709.1 712.8 716.6 719.8 723.2 726.5 729.4 732.3 735.3 738.3 741.3 744.2 746.7 749.4 751.9, deg_C, deg_C, bool
2021/07/22 20:20:06.071, 9356189, [0.18719459 0.1653482  0.15164937 0.14313457 0.12985016 0.12044897 0.11873546 0.10478893 0.10020408 0.09342964 0.08914621 0.08469294 0.07763167 0.07978537 0.07273325 0.07039263 0.06578061 0.06512885 0.0629991  0.06021383 0.05869121 0.05636808 0.05708222 0.05487634 0.05319791 0.05131525 0.05058168 0.04909877 0.0469373  0.04621851 0.04620752 0.0451935  0.04324798 0.04347729 0.04237563 0.04289376 0.04200334 0.04128322 0.04231913 0.04147762 0.04122799 0.04261139 0.04252105 0.04257344 0.04108685 0.03856325 0.038475   0.0384118  0.03583485 0.03518378 0.03393328 0.03397251 0.03422197 0.03492165 0.03383363 0.03387587 0.03365578 0.03246683 0.03221351 0.03035041 0.03100564 0.03177999 0.02925144 0.03234461 0.03399948 0.03397991 0.03623628 0.03976262 0.04455486 0.04989016 0.0578888  0.06464968 0.0706808  0.08051027 0.08313376 0.08438309 0.08782578 0.08622829 0.0790742  0.07699082 0.07137732], [ 0.22219173  0.22250063  0.23797162  0.22991943  0.22632599  0.22238311  0.21699381  0.21083864  0.20745697  0.2046889   0.19917823  0.19611069  0.19181883  0.19234183  0.19088913  0.19009172  0.18812996  0.18595378  0.1842894   0.18305184  0.18143728  0.1776198   0.17345073  0.16793629  0.16370167  0.16009367  0.15787056  0.1559542   0.15320362  0.15123435  0.14785809  0.14509228  0.14176477  0.13849406  0.1352041   0.12975346  0.12273106  0.11116677  0.09474048  0.07307425  0.04146359  0.00844043 -0.0228433  -0.04467107 -0.05789244 -0.06696203 -0.07337274 -0.08010506 -0.08756664 -0.09554251 -0.10407595 -0.11493262 -0.12933817 -0.14627961 -0.16457966 -0.17947487 -0.19061512 -0.20015972 -0.21164928 -0.22682599 -0.24723868 -0.27584389 -0.31349781 -0.36099043 -0.42189838 -0.49785054 -0.59113867 -0.70650379 -0.84151246 -0.99607083 -1.17471792 -1.37267062 -1.58782302 -1.79305368 -1.98059948 -2.1323492  -2.24413092 -2.31792411 -2.36607432 -2.39594564 -2.42511742], 24.34, 23.85, False
2021/07/22 20:20:06.321, 9356439, [0.18433828 0.15934052 0.15167381 0.14083898 0.12770155 0.12046868 0.11381896 0.1076885  0.10407749 0.09118355 0.09016211 0.08273648 0.08004164 0.07661789 0.07259484 0.07088257 0.06628565 0.06565405 0.06389745 0.06021511 0.05950761 0.05605003 0.0570853  0.05630146 0.05258084 0.05259737 0.05035607 0.04857042 0.04805506 0.0459779  0.04612294 0.04528916 0.04387704 0.04316282 0.04385257 0.04231946 0.04227934 0.04188471 0.04187308 0.04193943 0.04196985 0.04324585 0.04283118 0.04243413 0.0413871  0.03842695 0.03833806 0.03868416 0.03629286 0.0353199  0.0343722  0.03352623 0.03456026 0.03460302 0.03386085 0.03354348 0.03325726 0.03246805 0.03195578 0.03035198 0.03016778 0.03184646 0.02942517 0.03219297 0.03300748 0.03395196 0.03623794 0.04037224 0.04491276 0.04953637 0.05715541 0.06548022 0.07145765 0.08105575 0.08265804 0.08455478 0.08803741 0.08540007 0.07969291 0.07668723 0.07067546], [ 0.21990517  0.22917807  0.23830321  0.23068122  0.2280107   0.22475061  0.21583384  0.21084878  0.2104822   0.20346643  0.20023298  0.19611155  0.19092253  0.19318804  0.19011507  0.18938374  0.18738501  0.18651304  0.18531058  0.18300686  0.18006684  0.17722668  0.17400474  0.16836915  0.16433072  0.16043914  0.15736076  0.15563548  0.15300159  0.15112836  0.14768051  0.14561618  0.14171193  0.13906122  0.13474646  0.12965691  0.12235716  0.11098284  0.09420687  0.07315914  0.04159733  0.0081337  -0.02263286 -0.04475544 -0.05809626 -0.06696441 -0.07378105 -0.08031704 -0.0875235  -0.09502153 -0.10436672 -0.1152765  -0.12939187 -0.14663731 -0.16476279 -0.17997914 -0.19067611 -0.20056042 -0.21158648 -0.22639331 -0.24709584 -0.27593108 -0.31349971 -0.36134841 -0.42217959 -0.49815159 -0.59093038 -0.70595005 -0.84151424 -0.99595002 -1.17458634 -1.37253091 -1.58663552 -1.79401992 -1.97974552 -2.13307998 -2.24433353 -2.31792608 -2.36406224 -2.39665175 -2.4261396 ], 24.35, 23.85, False
2021/07/22 20:20:06.571, 9356690, [0.17219948 0.16584544 0.15452424 0.14299713 0.12558002 0.12046819 0.11208993 0.1047531  0.09639816 0.09574813 0.08619045 0.08560597 0.07928629 0.07676045 0.07135699 0.0710204  0.06578144 0.06512985 0.06348038 0.05932955 0.05775944 0.05674701 0.05586387 0.05668207 0.05263144 0.05131768 0.05129015 0.04830252 0.04749659 0.04635806 0.0450599  0.04511025 0.04399946 0.04324097 0.04256589 0.0428953  0.04193332 0.04138719 0.04158736 0.04178535 0.04179164 0.04278414 0.04246832 0.04231993 0.04106207 0.03874946 0.03817687 0.03838667 0.03583456 0.03518358 0.033795   0.03333437 0.0347295  0.03465658 0.03398277 0.03393081 0.03294203 0.03243865 0.03144794 0.03008112 0.03162797 0.03103443 0.02942464 0.03316252 0.0325419  0.03364183 0.03626281 0.03915526 0.04523516 0.04953464 0.05756392 0.06468762 0.07061697 0.08115401 0.08326752 0.08506324 0.08728162 0.08423954 0.0805872  0.07633043 0.06964763], [ 0.21210635  0.23560928  0.22934296  0.23470395  0.22963528  0.22317658  0.21756515  0.21084473  0.20910956  0.20487952  0.2002905   0.19721683  0.19466064  0.19149731  0.19009988  0.18935939  0.18683058  0.1863664   0.18475884  0.18236533  0.18101052  0.17757125  0.1739084   0.16870597  0.16365047  0.16093116  0.15748693  0.15638009  0.15361114  0.15126477  0.14770208  0.14492805  0.14221411  0.13876971  0.13510689  0.12964069  0.12242851  0.11082939  0.09456137  0.07321423  0.04173378  0.00804633 -0.02263196 -0.04496449 -0.05842588 -0.06663379 -0.07332999 -0.08039064 -0.08780629 -0.09513967 -0.10378974 -0.11454391 -0.12894014 -0.14668906 -0.16465336 -0.17928967 -0.19080873 -0.20037446 -0.21171538 -0.22682719 -0.24747776 -0.27559794 -0.31349895 -0.36107745 -0.42217877 -0.49815103 -0.59145358 -0.70639414 -0.84186806 -0.99657407 -1.17405368 -1.37267234 -1.58752967 -1.79433212 -1.98042612 -2.13255518 -2.24332882 -2.31814013 -2.36584538 -2.39570008 -2.42579098], 24.34, 23.84, False
2021/07/22 20:20:06.822, 9356940, [0.16814226 0.1658244  0.14878632 0.13588475 0.12982072 0.11671134 0.11542011 0.10483015 0.09495674 0.0957437  0.08806783 0.08462224 0.08115439 0.07841417 0.07066606 0.06976553 0.06520871 0.06525987 0.06088456 0.06053384 0.05834314 0.05561238 0.05667491 0.05492916 0.05257622 0.05165913 0.05067983 0.04919474 0.0473333  0.04519685 0.0463059  0.04475252 0.04370616 0.04327824 0.04305623 0.04184525 0.04259182 0.04115144 0.04187063 0.04196834 0.04193926 0.04310075 0.04268915 0.04196444 0.04106209 0.03810425 0.03804078 0.0387095  0.03645463 0.03550758 0.0336576  0.0335009  0.03427533 0.03413894 0.0336846  0.03359766 0.03328458 0.03265846 0.03184507 0.03031887 0.03125509 0.03080592 0.02918518 0.03222311 0.03247752 0.03319876 0.03601596 0.03915413 0.04457756 0.04988927 0.0575132  0.06378175 0.07068089 0.08060841 0.08313379 0.08557206 0.0861028  0.08292066 0.08031227 0.07506359 0.07105028], [ 0.22219096  0.2356051   0.23830054  0.23217422  0.22410603  0.22316438  0.21957347  0.21043731  0.2086859   0.20459412  0.20127863  0.19312095  0.19276523  0.19234731  0.18861092  0.19009171  0.18621367  0.18588033  0.1847601   0.18343059  0.18092041  0.17649335  0.17364534  0.16842063  0.16355137  0.16019591  0.15736308  0.15543006  0.15300376  0.15080756  0.14785863  0.14519381  0.14216714  0.13829945  0.13502491  0.12995423  0.12240685  0.11087702  0.09440191  0.07330398  0.04155639  0.00778595 -0.02309756 -0.04525439 -0.05842414 -0.06684031 -0.07373369 -0.08055298 -0.0878043  -0.09566123 -0.10407538 -0.11510263 -0.1292866  -0.14640421 -0.16470638 -0.17960434 -0.19021442 -0.20069553 -0.21199902 -0.22719174 -0.2473211  -0.27600516 -0.31315822 -0.36134601 -0.42199426 -0.49864489 -0.59093021 -0.70616984 -0.8411576  -0.99569487 -1.17498034 -1.37280495 -1.58797515 -1.79370428 -1.9802509  -2.13326544 -2.24433148 -2.31730438 -2.36673601 -2.39502749 -2.42515747], 24.33, 23.85, False
2021/07/22 20:20:07.072, 9357189, [0.18721178 0.16223041 0.14608386 0.14075692 0.12771963 0.11672287 0.11543022 0.10335485 0.09761312 0.09337    0.08908249 0.08651661 0.07853258 0.07593203 0.07280539 0.06844376 0.06578144 0.06355969 0.06348038 0.05932955 0.05775944 0.05697689 0.05632575 0.05449635 0.05325232 0.05171272 0.04964818 0.04910127 0.04724186 0.0462663  0.0458449  0.04501779 0.04345838 0.04375683 0.04301997 0.04239257 0.04214156 0.04168408 0.04165267 0.04166363 0.04226618 0.04278414 0.04275177 0.04243404 0.04094908 0.03815411 0.03817687 0.0382254  0.03597067 0.03526916 0.03382081 0.03350035 0.03453365 0.03411203 0.03363092 0.03375074 0.03294203 0.0329854  0.03187612 0.02972802 0.03112849 0.03122916 0.02918625 0.0326612  0.0324786  0.0336123  0.03658491 0.03944926 0.0448896  0.04918073 0.05681275 0.06551793 0.07000601 0.07971274 0.08313368 0.08506324 0.08673758 0.083993   0.07976192 0.07536669 0.06997457], [ 0.21600688  0.23716474  0.23723251  0.23319509  0.22525083  0.22317658  0.21582866  0.21238526  0.20567554  0.20337115  0.19894585  0.19412931  0.19277834  0.19234145  0.19164907  0.18877332  0.18683058  0.18584204  0.18531121  0.18342971  0.18139019  0.17761884  0.1739084   0.16764844  0.16355004  0.16033809  0.15741294  0.15558431  0.15305443  0.15075396  0.14763012  0.14491704  0.1418124   0.13848727  0.13479534  0.13021653  0.12235835  0.11056539  0.09435534  0.07301864  0.04146243  0.00800349 -0.02280198 -0.04496084 -0.05871342 -0.06663379 -0.07361525 -0.07989734 -0.08780629 -0.09549761 -0.1038376  -0.11510484 -0.12894014 -0.14693917 -0.16483478 -0.18016473 -0.19131151 -0.20063547 -0.2117283  -0.22681551 -0.24740539 -0.27599753 -0.31366854 -0.36170356 -0.42227503 -0.49844738 -0.59082568 -0.70617162 -0.84115723 -0.99607199 -1.1748482  -1.37321958 -1.58693956 -1.79306737 -1.98058489 -2.13255518 -2.24393109 -2.31832984 -2.36607585 -2.39548726 -2.42575036], 24.34, 23.85, False
2021/07/22 20:20:07.321, 9357439, [0.17583788 0.16558348 0.14593019 0.14059305 0.12765625 0.1148479  0.11210727 0.10631576 0.09766218 0.09355432 0.08820317 0.08182106 0.07860306 0.07744259 0.07073693 0.06886075 0.06705972 0.06414749 0.06306291 0.05888607 0.05834314 0.05648271 0.056137   0.0540576  0.05387021 0.05141517 0.0493662  0.04883166 0.04723859 0.04553248 0.0463945  0.04466732 0.04408255 0.04280199 0.04297973 0.04275036 0.04162213 0.04155095 0.04206206 0.04144568 0.04232443 0.04278376 0.0431143  0.04262421 0.04108685 0.03856324 0.03801586 0.03857313 0.03572393 0.0354313  0.03412291 0.03333492 0.03470295 0.03436506 0.03348172 0.03339022 0.0335262  0.03279254 0.03247224 0.02978927 0.0309734  0.0316497  0.02939058 0.03265969 0.03306908 0.0339796  0.03628701 0.03946834 0.04422045 0.05024374 0.05752987 0.06468737 0.071165   0.08006267 0.08265819 0.08404796 0.08761395 0.08374736 0.07886863 0.07374281 0.06964825], [ 0.22058282  0.23871923  0.24406008  0.23394051  0.22908351  0.22316438  0.21811943  0.20929548  0.2086859   0.20355484  0.20127863  0.19620871  0.19281607  0.19149208  0.19011452  0.18791807  0.186705    0.18647828  0.18420765  0.18338676  0.18130015  0.17757253  0.17386127  0.16860893  0.16345091  0.16078005  0.15748848  0.15569536  0.15259501  0.15142237  0.14770423  0.14472842  0.14141576  0.13858185  0.13488134  0.12998396  0.12261739  0.11083177  0.09451919  0.07261633  0.04146398  0.00813602 -0.02275751 -0.04491973 -0.05817955 -0.06684031 -0.07340415 -0.08034364 -0.08784994 -0.09520997 -0.10407538 -0.11505334 -0.12935881 -0.14693734 -0.16519631 -0.17984712 -0.1908071  -0.2004345  -0.21172665 -0.2275463  -0.24763141 -0.27623403 -0.31315822 -0.36143815 -0.42226374 -0.49834854 -0.59155642 -0.70672607 -0.8415121  -0.99582492 -1.1752433  -1.37265471 -1.58724262 -1.79418022 -1.97906299 -2.13219844 -2.24451058 -2.31875809 -2.36498006 -2.39524041 -2.4262602 ], 24.33, 23.85, False
2021/07/22 20:20:07.572, 9357690, [0.17624357 0.16609202 0.14881076 0.1407611  0.12767329 0.11859798 0.1121199  0.10335756 0.10153398 0.09005711 0.08713248 0.0847662  0.07853316 0.07676109 0.07128675 0.06976696 0.06834007 0.06244754 0.06348065 0.05844494 0.05775987 0.05729748 0.05608499 0.05498635 0.05221747 0.05200785 0.05096258 0.04919891 0.04698795 0.04602316 0.04556926 0.04519603 0.04370889 0.0432019  0.04275517 0.04228187 0.04214203 0.04211818 0.0419706  0.04144783 0.0417328  0.04312913 0.04252127 0.04231998 0.04124934 0.03858821 0.03836307 0.03825023 0.03618192 0.03561828 0.03428599 0.03352637 0.03405266 0.03480239 0.03368488 0.03351603 0.03297022 0.03214187 0.0317864  0.03017513 0.03100681 0.03142423 0.02877576 0.03172361 0.03300721 0.03320031 0.03621208 0.03948996 0.04361034 0.0505995  0.05712196 0.06381972 0.07110093 0.08051006 0.08421863 0.08370156 0.08652576 0.08481984 0.08003684 0.07602701 0.06964747], [ 0.195251    0.21790153  0.23616497  0.22992789  0.22633419  0.21886376  0.21526918  0.21104665  0.20595348  0.20214522  0.20017326  0.197184    0.19183171  0.19065321  0.18938575  0.18735765  0.18621255  0.18591552  0.18424711  0.18267264  0.18049277  0.17732222  0.17354647  0.16841879  0.16265389  0.15979567  0.15703012  0.15531875  0.1528539   0.15040986  0.14785594  0.14476502  0.14136048  0.13839433  0.13461514  0.12926942  0.12184837  0.11041018  0.09406005  0.07283271  0.04181988  0.00817692 -0.02301444 -0.04466947 -0.05826107 -0.0667991  -0.07390103 -0.08095918 -0.08792586 -0.09537888 -0.10431826 -0.11537057 -0.12931043 -0.14670924 -0.16527065 -0.18005212 -0.19094256 -0.20031317 -0.21249386 -0.22727397 -0.24786083 -0.27655914 -0.31417008 -0.36126218 -0.42218401 -0.49825226 -0.59155964 -0.70639445 -0.8426944  -0.99594596 -1.17472013 -1.37307756 -1.58723518 -1.79416969 -1.98042639 -2.13362235 -2.24451228 -2.31814053 -2.36803327 -2.39665156 -2.42696629], 24.34, 23.85, False
2021/07/22 20:20:07.821, 9357940, [0.16777336 0.16268592 0.14865036 0.13827638 0.13193433 0.11858356 0.11216209 0.10474224 0.10158036 0.09236579 0.08497171 0.08357162 0.08108214 0.07668595 0.07273271 0.06969615 0.06827098 0.06408166 0.06197388 0.06015237 0.05775772 0.05686033 0.05667491 0.05378265 0.05221362 0.05195348 0.05030198 0.04888009 0.04754067 0.04524281 0.04653803 0.04470992 0.04345619 0.04363549 0.04279095 0.0422793  0.04259182 0.04118566 0.04104409 0.0415989  0.04226546 0.04298414 0.04246811 0.04212939 0.04143662 0.03847659 0.03815233 0.03836207 0.03629345 0.03545673 0.03442451 0.03352706 0.03453374 0.03482931 0.03380662 0.03408319 0.03349816 0.03246658 0.03221324 0.02972676 0.03119121 0.0316173  0.02897979 0.03312867 0.03283658 0.03285962 0.03707479 0.0385662  0.04387469 0.05059887 0.05715437 0.06515922 0.07152184 0.08016071 0.08326762 0.08489127 0.08510531 0.08482086 0.07879936 0.07699084 0.06894705], [ 0.21438607  0.22738061  0.23434993  0.22739922  0.22134836  0.22081075  0.21525624  0.20929548  0.20457702  0.20100649  0.2002285   0.19412863  0.19280335  0.19065079  0.18938529  0.18869998  0.18676826  0.18479537  0.18369624  0.18347442  0.1805408   0.17630252  0.17313807  0.16808459  0.16297087  0.16004312  0.15753989  0.15436906  0.15275145  0.15046388  0.14735445  0.14487991  0.14111328  0.13867942  0.13434222  0.12948957  0.12247701  0.11045842  0.09440191  0.07242079  0.04114938  0.00782879 -0.02330956 -0.04558534 -0.05846051 -0.06687436 -0.07405081 -0.08091163 -0.08849095 -0.09561456 -0.10436331 -0.11551572 -0.12977961 -0.14677935 -0.16537776 -0.18006716 -0.19088156 -0.20017351 -0.21243975 -0.22719174 -0.24801409 -0.27649004 -0.31382899 -0.36117436 -0.42246107 -0.49904215 -0.59114005 -0.70694826 -0.84198352 -0.99631585 -1.1752433  -1.37363733 -1.58811747 -1.7932284  -1.98023559 -2.13362104 -2.24489053 -2.31913725 -2.36759919 -2.39615816 -2.42645434], 24.33, 23.85, False
2021/07/22 20:20:08.071, 9358188, [0.18317915 0.16223567 0.14853903 0.13822519 0.12981175 0.12047635 0.11047753 0.10777155 0.09501932 0.09699966 0.08619169 0.08371612 0.08101275 0.07834584 0.07059786 0.06976696 0.067129   0.06369179 0.06245565 0.05888735 0.05770037 0.05767514 0.05451341 0.0553149  0.05258007 0.05200785 0.05096258 0.04835182 0.04724267 0.04635869 0.04487303 0.04541622 0.04395884 0.04296375 0.04328573 0.04261006 0.04166019 0.04151897 0.04158777 0.04184877 0.04179183 0.04315705 0.04246837 0.04231998 0.04108683 0.03842693 0.03833816 0.03795259 0.03583446 0.03578015 0.03412229 0.03366618 0.03487202 0.03451071 0.03363097 0.03390356 0.03312771 0.03298564 0.03230449 0.02996737 0.03159634 0.03126192 0.02939192 0.03269394 0.03257381 0.03342121 0.03655973 0.03854734 0.04520119 0.05024375 0.05754741 0.06638624 0.07091017 0.0796147  0.08265806 0.08438224 0.08652576 0.08540027 0.07824953 0.07536668 0.07067562], [ 0.21829428  0.23872445  0.22934341  0.22992789  0.21974703  0.22043501  0.21353345  0.21084676  0.20553863  0.20223838  0.1989466   0.19416171  0.19281658  0.19065017  0.18937061  0.18660002  0.18809767  0.18408422  0.18467657  0.18254091  0.18006726  0.17757093  0.17376241  0.16836951  0.16338502  0.15969375  0.15715543  0.15564183  0.1526975   0.15070153  0.14759857  0.14487698  0.14111003  0.1387255   0.13465122  0.12942262  0.12182616  0.11078354  0.09422165  0.07308228  0.04087614  0.00782685 -0.0233118  -0.0454633  -0.05846268 -0.06716281 -0.07381243 -0.08054048 -0.08832871 -0.09540486 -0.10431826 -0.11512806 -0.12995656 -0.14647889 -0.16521625 -0.17986582 -0.19113496 -0.20052663 -0.21228634 -0.22712518 -0.24763329 -0.27615955 -0.31392711 -0.36187568 -0.42264605 -0.49924218 -0.59113994 -0.70683919 -0.84257553 -0.99670095 -1.1745801  -1.37350541 -1.58782524 -1.79433254 -1.98093352 -2.13380945 -2.24431139 -2.320404   -2.36541428 -2.39686415 -2.42681349], 24.34, 23.85, False
