time, acs_timestamp, c, a, T_int, T_ext, flag_outside_calibration_range
yyyy/mm/dd HH:MM:SS.fff, ms, 1/m	lambda=400.5 404.8 408.9 412.6 416.9 421.7 426.5 431.1 435.7 440.0 444.9 450.0 454.8 459.4 464.0 468.5 473.8 479.0 484.1 489.0 493.5 498.6 503.5 508.5 513.7 519.4 524.2 529.2 533.9 538.9 544.0 549.0 554.1 559.3 564.5 569.3 573.6 578.1 582.5 586.9 591.2 595.5 600.3 605.0 609.8 614.7 619.7 624.5 629.2 633.7 638.5 643.1 647.9 652.6 657.0 661.6 666.4 670.8 675.4 679.8 683.8 687.9 692.0 695.5 699.6 703.4 707.1 710.7 714.4 717.7 721.1 724.3 727.5 730.5 733.4 736.4 739.2 742.1 744.8 747.6 749.8, 1/m	lambda=400.0 404.6 408.7 412.5 416.9 421.4 426.5 430.9 435.5 439.8 444.8 449.9 455.0 459.4 463.8 468.7 474.0 479.2 484.1 489.2 493.9 498.9 503.8 508.7 514.0 519.7 524.8 529.9 534.6 539.6 544.4 549.7 554.6 560.1 565.2 569.8 574.2 579.0 583.4 587.8 592.7 597.4 602.1 607.0 612.0 616.9 621.9 626.5 631.2 635.8 640.8 645.3 650.2 654.9 659.3 663.9 668.8 673.2 677.6 681.9 686.1 690.0 693.9 697.8 701.8 705.5 709.1 712.8 716.6 719.8 723.2 726.5 729.4 732.3 735.3 738.3 741.3 744.2 746.7 749.4 751.9, deg_C, deg_C, bool
2021/07/22 19:58:27.910, 8058006, [ 0.6218561   0.62842164  0.63176983  0.62497739  0.61631774  0.60617113  0.59923233  0.59215691  0.58620131  0.58267567  0.5714579   0.57001813  0.56468081  0.56105787  0.55777862  0.55493702  0.55205451  0.54918352  0.54430848  0.54016332  0.53948091  0.53348461  0.52933964  0.52385624  0.51746729  0.5111675   0.50809891  0.50433855  0.49984358  0.495813    0.49235362  0.48863873  0.48508293  0.47905024  0.47535062  0.47076437  0.46224881  0.45254167  0.43692517  0.41556318  0.38767413  0.35703752  0.32163134  0.29260245  0.27319359  0.26212032  0.25402283  0.24894384  0.23942926  0.23168174  0.22310781  0.21407005  0.20237785  0.18504696  0.16447634  0.14654452  0.13272238  0.12197629  0.1114955   0.0967242   0.08100932  0.05869239  0.02339354 -0.01421528 -0.06751392 -0.13434127 -0.21588125 -0.31348338 -0.43504873 -0.57314496 -0.73318101 -0.91525072 -1.12022541 -1.3320845  -1.53551406 -1.71672349 -1.85786227 -1.96039332 -2.02550373 -2.06489376 -2.09335621], [0.81315194 0.80309817 0.78739329 0.77229016 0.76652971 0.75356407 0.73790102 0.73070708 0.72047457 0.70956718 0.6995051  0.68616458 0.67955132 0.67107453 0.6645405  0.65735401 0.65207024 0.64583731 0.63937489 0.63346182 0.62872383 0.62234991 0.61804868 0.61335599 0.60688223 0.60327884 0.5971143  0.59256729 0.5876283  0.5836896  0.57882425 0.5746331  0.569981   0.56663981 0.56300163 0.55938382 0.55572987 0.55316727 0.54925875 0.54579909 0.54315725 0.54025537 0.53722352 0.53429849 0.53061271 0.52651808 0.52255609 0.51975655 0.51591488 0.51231139 0.50902938 0.50595286 0.50393628 0.50203541 0.50027304 0.49723945 0.49483489 0.49184778 0.48919381 0.48636553 0.48493238 0.48182189 0.47990758 0.47708108 0.47648956 0.47582004 0.47731123 0.47778427 0.47929167 0.48251968 0.48612196 0.48860302 0.49211275 0.49362789 0.49379143 0.49158068 0.48817608 0.48427504 0.47879616 0.47234505 0.45725962], 24.01, 23.42, False
2021/07/22 19:58:28.159, 8058256, [ 0.61568042  0.63161264  0.62585676  0.62540722  0.61392945  0.60995839  0.60259968  0.59189502  0.58466753  0.58055524  0.57698342  0.56595949  0.56561985  0.56101275  0.55782018  0.55354636  0.55205699  0.5486022   0.54647692  0.54167688  0.53763347  0.5352193   0.52896047  0.52424492  0.51679102  0.51051483  0.50721527  0.50406422  0.50013609  0.4961419   0.49185929  0.48838183  0.48533759  0.47951471  0.47600232  0.47021903  0.46265249  0.45316051  0.43616402  0.41571865  0.38769186  0.35753894  0.32193531  0.29275117  0.27384264  0.26165446  0.25389551  0.24835167  0.23932131  0.2318613   0.22294326  0.21377679  0.20237764  0.18534894  0.16469634  0.14636558  0.13293268  0.12167105  0.1114979   0.09657614  0.08085375  0.05830425  0.0227823  -0.01449667 -0.06630645 -0.13378042 -0.21503362 -0.31307834 -0.43495181 -0.57455274 -0.73280623 -0.91569991 -1.12010502 -1.33246515 -1.53605406 -1.7162223  -1.85924291 -1.95932964 -2.02471259 -2.06554682 -2.09176892], [0.80986487 0.80333531 0.79817923 0.77354121 0.76054701 0.74965077 0.73966927 0.72962121 0.72013936 0.70821153 0.69908133 0.68936969 0.6792839  0.67011751 0.66593404 0.65741491 0.65197864 0.64517087 0.64103628 0.6339366  0.62775103 0.62279101 0.61808207 0.61262798 0.60728615 0.60264309 0.59742409 0.59233129 0.58734273 0.58344288 0.57866961 0.57486572 0.5702534  0.56581385 0.56242269 0.55883524 0.55583506 0.55276073 0.54922169 0.54582033 0.54323246 0.54070236 0.53724307 0.53407913 0.53044293 0.52632401 0.52252644 0.51980306 0.51588402 0.51277874 0.50927704 0.50631937 0.50413645 0.50220969 0.49990573 0.49704914 0.49474054 0.49167983 0.48911472 0.48618339 0.48434812 0.48157975 0.479992   0.47747363 0.47568937 0.47615812 0.47651775 0.47721449 0.47928844 0.48321085 0.48491729 0.48946428 0.49205898 0.49274632 0.49390052 0.49143478 0.48758884 0.48446839 0.47702397 0.47257967 0.45726171], 24.03, 23.42, False
2021/07/22 19:58:28.409, 8058506, [ 0.62642902  0.63607045  0.63230897  0.62939716  0.61422475  0.6106705   0.6007363   0.59529671  0.58477467  0.57792298  0.57704456  0.56796713  0.56468487  0.56186569  0.55704081  0.55424247  0.55206223  0.54741845  0.546474    0.54116338  0.53855078  0.53565352  0.52856356  0.52499499  0.5160785   0.51117321  0.50747913  0.50465893  0.50077179  0.49610694  0.4923593   0.48892246  0.48510359  0.47975141  0.47514397  0.47101816  0.46306752  0.4529926   0.43602051  0.41591877  0.38788518  0.35725865  0.32243893  0.29275108  0.27403785  0.26183246  0.25405682  0.24883482  0.23932151  0.23214757  0.22296261  0.21410842  0.20233666  0.18504671  0.16434506  0.14688165  0.13258617  0.12197801  0.11226543  0.09660372  0.08114007  0.05875676  0.02227289 -0.01406707 -0.06626979 -0.13489719 -0.21478066 -0.31343655 -0.43476253 -0.57248842 -0.73280658 -0.91491287 -1.11980875 -1.33341695 -1.53470828 -1.71715475 -1.86001734 -1.95818046 -2.02541439 -2.06498886 -2.09325594], [0.81315738 0.79975963 0.79194963 0.77477082 0.76688203 0.75037271 0.74371959 0.72873181 0.71807027 0.70998672 0.69753607 0.68852775 0.67955204 0.67086348 0.66601509 0.65723255 0.65123751 0.64643518 0.63933133 0.63341332 0.629663   0.62235231 0.61766506 0.61262872 0.60731335 0.60226248 0.59709258 0.59235329 0.58680223 0.58295745 0.5787481  0.57444393 0.5703895  0.5662666  0.56207781 0.5589195  0.55565465 0.55215074 0.54900367 0.54558    0.54323323 0.54052869 0.53736739 0.53391219 0.53042015 0.52606699 0.52241211 0.51944832 0.51530269 0.51266768 0.50927819 0.50626242 0.50396256 0.5020322  0.50012006 0.49739125 0.49451409 0.49200907 0.48907786 0.48640236 0.48424466 0.48229697 0.47919424 0.47787262 0.47592611 0.47641315 0.47722901 0.47744601 0.48041057 0.48286424 0.48611806 0.48899922 0.49260771 0.49442    0.49367801 0.49088972 0.48624878 0.48427226 0.47812662 0.47399825 0.45726226], 24.02, 23.42, False
2021/07/22 19:58:28.659, 8058757, [ 0.61651807  0.63540616  0.63130024  0.62461533  0.60968756  0.60854905  0.60110929  0.59663947  0.58212127  0.58046994  0.57596683  0.56600442  0.56475295  0.5627977   0.55935748  0.55425381  0.55204488  0.54919085  0.54593167  0.54266122  0.53809922  0.53390343  0.53054229  0.52350464  0.51677554  0.51250795  0.50718229  0.50436072  0.50073827  0.49609009  0.4926355   0.48841407  0.4843207   0.48043158  0.47496724  0.46995099  0.46322592  0.45182807  0.43727817  0.41558267  0.3880467   0.35677423  0.32190287  0.29289939  0.27353461  0.26147636  0.25387837  0.24851283  0.23930356  0.23150113  0.22312603  0.21377706  0.20233666  0.18502559  0.16414749  0.14649926  0.13221586  0.12156981  0.11241107  0.09683923  0.08070539  0.05875676  0.02261048 -0.01485199 -0.06626979 -0.13541562 -0.2143152  -0.31397253 -0.43547559 -0.57258894 -0.73339297 -0.91564383 -1.1193915  -1.33417726 -1.53565101 -1.71722816 -1.85939996 -1.95728142 -2.02593682 -2.06498886 -2.09207198], [0.8197731  0.80206466 0.78408585 0.77859385 0.7637112  0.75431554 0.73909799 0.73160867 0.72083053 0.7102598  0.69929503 0.68835809 0.67968631 0.67160871 0.66523771 0.65806514 0.65128216 0.64586648 0.63939335 0.63396065 0.62870732 0.62366908 0.61765279 0.61375978 0.60762729 0.60227883 0.59711158 0.59233197 0.58703789 0.58344366 0.57861907 0.57449681 0.57050596 0.56599959 0.56308105 0.5589436  0.55583625 0.55244265 0.54908918 0.54619353 0.54330888 0.54047564 0.53753804 0.53427152 0.53046745 0.52590153 0.52252747 0.51944832 0.51558067 0.51261331 0.50950292 0.50646267 0.50361262 0.502389   0.49966832 0.4973586  0.49470721 0.49210161 0.48911555 0.48622387 0.48457727 0.48229697 0.47978519 0.47778176 0.4760592  0.47649927 0.47679367 0.47695    0.47994808 0.48286424 0.48411736 0.49037616 0.49206009 0.4930675  0.49203699 0.49143531 0.49009838 0.48423994 0.47879256 0.47376248 0.45594415], 24.02, 23.42, False
2021/07/22 19:58:28.909, 8059006, [ 0.62015154  0.62908513  0.63551442  0.62498159  0.61874174  0.60217404  0.60090746  0.59350418  0.58343972  0.58157053  0.57481832  0.56791477  0.56648036  0.56103303  0.55705573  0.55353285  0.55333438  0.54800417  0.54593245  0.54267754  0.53766042  0.53433618  0.53054939  0.52276155  0.51677089  0.51148389  0.50778708  0.50400854  0.4998444   0.49523464  0.49202745  0.48942705  0.48458401  0.47932235  0.47580479  0.47054809  0.46287326  0.45199233  0.43722732  0.41576459  0.38735126  0.3570537   0.32272599  0.2921248   0.27351814  0.2617983   0.25418386  0.24881777  0.23944711  0.23200488  0.22310769  0.21406991  0.20235732  0.18455124  0.164652    0.14656753  0.13258543  0.12219319  0.1120917   0.09731831  0.08119739  0.058137    0.02315602 -0.01464519 -0.06721304 -0.13434095 -0.21520613 -0.31406399 -0.43414597 -0.57379937 -0.73318084 -0.91519449 -1.12081748 -1.33341663 -1.53551409 -1.71715346 -1.8583224  -1.95981902 -2.02593641 -2.06564177 -2.093255  ], [0.81976844 0.80668404 0.79194695 0.77358835 0.76147104 0.75429715 0.74139251 0.73314412 0.71840832 0.7090221  0.70040488 0.68987833 0.6808809  0.67171465 0.66539943 0.65973165 0.65202522 0.64590015 0.63933323 0.63500993 0.62873246 0.62279208 0.61763649 0.61258171 0.60761605 0.60294599 0.59774053 0.59256695 0.58767442 0.5833965  0.57857068 0.57463251 0.57045597 0.56703621 0.56237137 0.55886358 0.55609257 0.55253764 0.5493972  0.54556017 0.5430812  0.54038086 0.5373701  0.53408319 0.53077812 0.52602123 0.52283636 0.51942585 0.51602703 0.51258966 0.50897259 0.50626575 0.50405069 0.50188732 0.49999598 0.4973608  0.49483448 0.49173981 0.48915571 0.48626596 0.48449678 0.48197492 0.47969961 0.47738787 0.47620888 0.47624257 0.47766152 0.47785341 0.47888172 0.48322898 0.4861204  0.49037963 0.49096881 0.49490102 0.49339272 0.49103475 0.48910501 0.48427464 0.48011646 0.47376363 0.45832088], 24.01, 23.42, False
2021/07/22 19:58:29.160, 8059256, [ 0.61734594  0.63224159  0.63128058  0.62777649  0.61451355  0.60665466  0.60109912  0.5949969   0.58189752  0.58046548  0.57380553  0.56903951  0.56561637  0.56103433  0.55781692  0.55494935  0.55140971  0.54800929  0.5470176   0.54066319  0.53948221  0.53434659  0.5293415   0.52388377  0.51674458  0.51115545  0.50686668  0.50369565  0.49982922  0.49525283  0.49259848  0.48841154  0.48461879  0.47951109  0.47554562  0.47018246  0.46304911  0.45239229  0.43652784  0.41591704  0.38799775  0.35721002  0.32176707  0.29256982  0.27382618  0.26162029  0.25371762  0.24880011  0.23930395  0.23168155  0.22296311  0.21373825  0.20235727  0.18455116  0.16465211  0.14620826  0.13274679  0.12252634  0.11169495  0.09633868  0.08054599  0.0587244   0.02291875 -0.01449894 -0.06698641 -0.13410097 -0.21554282 -0.31343769 -0.43471558 -0.57349666 -0.73360713 -0.91418218 -1.12129563 -1.3322122  -1.53511118 -1.71722731 -1.85840102 -1.95932842 -2.02498137 -2.06610456 -2.09325532], [0.81707392 0.79975544 0.78284659 0.7735926  0.7655903  0.75087513 0.73965365 0.72960897 0.71841088 0.70902384 0.69907682 0.6873459  0.6796859  0.67086397 0.66625862 0.65812602 0.65263214 0.6452359  0.63986653 0.63449736 0.62965541 0.62279444 0.61806591 0.61224337 0.60764187 0.60297779 0.5974454  0.59258759 0.5871092  0.58259194 0.5794318  0.57420842 0.57028428 0.56648089 0.56256414 0.55938222 0.55602025 0.55244505 0.54928382 0.54584973 0.54320956 0.54055453 0.53715128 0.53427355 0.53042189 0.52677466 0.52269494 0.51928536 0.51633038 0.51247624 0.50914001 0.50606436 0.50387464 0.50215092 0.50005837 0.49742536 0.49437905 0.49217495 0.48932547 0.48654283 0.48435039 0.48205962 0.48007012 0.47734467 0.47672424 0.47586229 0.47604933 0.47774813 0.47959338 0.48218642 0.48572007 0.48817901 0.49116223 0.49490016 0.4936791  0.49048849 0.4885866  0.484077   0.47989702 0.47069002 0.45673292], 24.02, 23.42, False
2021/07/22 19:58:29.409, 8059506, [ 0.62639445  0.64299348  0.63076751  0.6225871   0.62116378  0.60829324  0.60778021  0.59187319  0.5847662   0.58267679  0.57374029  0.56805629  0.56464738  0.56439941  0.5585573   0.55426344  0.55334037  0.54800861  0.54593245  0.54266415  0.53809662  0.53392984  0.52974695  0.52422643  0.51642236  0.51148389  0.50875618  0.50498462  0.4998444   0.49664836  0.49209514  0.4888685   0.48579904  0.47930555  0.47622514  0.47059825  0.46221613  0.45255839  0.43711677  0.41539556  0.38786801  0.35692977  0.32225456  0.29306381  0.2732431   0.26163728  0.25404006  0.24849576  0.23944711  0.23198635  0.2234536   0.21394358  0.20284349  0.18472351  0.16449836  0.1465446   0.1327225   0.12221835  0.11206519  0.09675272  0.08119739  0.05852814  0.02295145 -0.01453453 -0.0670242  -0.13430127 -0.21533179 -0.31321506 -0.43471593 -0.573195   -0.73211452 -0.91491326 -1.11945149 -1.33366894 -1.53565085 -1.71629389 -1.85939955 -1.95826252 -2.02480175 -2.06694811 -2.09078576], [0.81645597 0.8043686  0.78905364 0.7785811  0.76053052 0.74744715 0.73969372 0.72717248 0.71737903 0.70724479 0.69929052 0.68532178 0.67849139 0.66905816 0.6643787  0.65676422 0.65002333 0.64637393 0.63927126 0.63397379 0.62823208 0.62279208 0.61766104 0.61260141 0.60764253 0.6022975  0.59713291 0.59167612 0.58741542 0.58264236 0.57836934 0.57465894 0.57028559 0.56632473 0.56291109 0.55862127 0.55620306 0.55264681 0.54900699 0.54569089 0.54328599 0.54035657 0.53749353 0.53374727 0.53054133 0.5261867  0.52272099 0.51945151 0.51600068 0.51214417 0.50964681 0.50612355 0.50411071 0.50227486 0.5002727  0.4973608  0.49486863 0.49213995 0.48957223 0.48640479 0.48466229 0.48147207 0.47949203 0.47774167 0.47550119 0.47632873 0.47664045 0.47758795 0.47921122 0.48179472 0.485321   0.48898071 0.49101742 0.4938649  0.49203862 0.49048901 0.48834822 0.48365164 0.47923199 0.47234486 0.45462155], 24.01, 23.42, False
2021/07/22 19:58:29.660, 8059756, [ 0.62920708  0.6322363   0.63995127  0.61146473  0.6166282   0.60758231  0.59868076  0.59350691  0.58753017  0.57894297  0.57367882  0.57001987  0.56457998  0.56105917  0.55781637  0.55491467  0.55010754  0.54918915  0.54647971  0.53965996  0.53948178  0.53478132  0.52935183  0.52463446  0.51606063  0.51185813  0.50720986  0.50435653  0.50019755  0.49581428  0.49232144  0.489411    0.48461824  0.47976516  0.47538499  0.47019868  0.46263264  0.45297412  0.4363847   0.41574855  0.38754516  0.35656933  0.32146353  0.29275085  0.27387563  0.26181534  0.25389617  0.24853072  0.23933996  0.23139548  0.2227998   0.21379744  0.20220891  0.18508912  0.16419116  0.1463879   0.1324485   0.12205228  0.11189333  0.09701675  0.08060483  0.05833291  0.02325595 -0.01446449 -0.06672336 -0.1347796  -0.21528956 -0.31370597 -0.43533333 -0.57354726 -0.73270085 -0.91586908 -1.11933051 -1.33284492 -1.53463987 -1.7170069  -1.85932102 -1.95875379 -2.02541404 -2.06610454 -2.09266323], [0.82369656 0.79410866 0.7795459  0.775996   0.7624149  0.75503107 0.73908497 0.72761639 0.7177261  0.70779011 0.69706162 0.68886648 0.67968579 0.67203042 0.66454069 0.65735403 0.65202499 0.64520476 0.638737   0.63450946 0.62918723 0.62235236 0.61763614 0.61260104 0.60762896 0.6029456  0.5967622  0.59192998 0.58708628 0.58368882 0.57808998 0.57465835 0.57020402 0.56621444 0.56302828 0.55891853 0.55602085 0.55271035 0.54909194 0.54582414 0.54313126 0.54025459 0.53758752 0.53362569 0.53030378 0.52637598 0.52241468 0.51931155 0.51607922 0.51269781 0.50967432 0.50632325 0.50393521 0.50173923 0.49960693 0.49708437 0.49416404 0.49164689 0.48898472 0.48596804 0.48443354 0.48171052 0.47969923 0.47778573 0.47550077 0.47522428 0.47640498 0.4775527  0.47994988 0.4825189  0.48572062 0.48817959 0.49061548 0.49330686 0.49367937 0.49048875 0.48776364 0.48365124 0.47746313 0.47210807 0.45593843], 24.01, 23.42, False
2021/07/22 19:58:29.909, 8060005, [ 0.61845396  0.62463174  0.63450538  0.61663797  0.61602132  0.60782001  0.59515385  0.59499417  0.58465764  0.57783519  0.57596062  0.56688775  0.564716    0.56186243  0.55696539  0.55494906  0.55267726  0.54741815  0.54647735  0.5416659   0.53811215  0.53565145  0.52897808  0.52350097  0.51714803  0.51116913  0.50685016  0.50409097  0.50046583  0.49554168  0.49207903  0.48867346  0.48488477  0.48000303  0.47603211  0.46916508  0.46220002  0.45295788  0.43655974  0.41574855  0.38738365  0.35675766  0.32193494  0.29281635  0.27371338  0.2613493   0.25407461  0.24870922  0.23948291  0.23155708  0.22314575  0.21377776  0.2025672   0.18489574  0.16401556  0.14674734  0.13221524  0.12238491  0.11191984  0.09698856  0.08082215  0.05855949  0.02233808 -0.01428415 -0.06721277 -0.13461969 -0.21469863 -0.31459968 -0.43443078 -0.57248976 -0.73328716 -0.91558796 -1.11968716 -1.33252858 -1.53591704 -1.71657723 -1.85732394 -1.95801297 -2.02618911 -2.0655467  -2.09394846], [0.81315349 0.79075998 0.77625788 0.77476019 0.75924407 0.74548122 0.74082827 0.72761639 0.71634455 0.70847776 0.69997473 0.68700721 0.67756546 0.67181978 0.66352051 0.65889814 0.65054196 0.64517328 0.63879876 0.63392637 0.62871394 0.62235236 0.61726133 0.61259119 0.60692149 0.6029456  0.59680025 0.59231232 0.58765082 0.58317772 0.57783702 0.57447333 0.56978239 0.56629676 0.56308359 0.55815648 0.55596559 0.55273764 0.54909194 0.54566421 0.54310604 0.54055492 0.53712284 0.53393816 0.5297825  0.52621053 0.52302626 0.51945098 0.51591388 0.51231021 0.50964624 0.50643642 0.50367534 0.50218214 0.49975752 0.49717341 0.49448197 0.49168275 0.48883392 0.4860474  0.48424655 0.48197455 0.47949164 0.47743196 0.47564789 0.47573745 0.47656004 0.47751789 0.47931764 0.48248874 0.4849203  0.48904609 0.49076128 0.49418448 0.49288241 0.49074762 0.48841448 0.48345449 0.47791125 0.47258102 0.45594198], 24.01, 23.42, False
