time, beta470, beta532, beta660
yyyy/mm/dd HH:MM:SS.fff, counts, counts, counts
2021/07/22 18:49:15.419, 706, 1535, 1613
2021/07/22 18:49:16.938, 743, 1682, 1703
2021/07/22 18:49:18.441, 707, 1435, 1578
2021/07/22 18:49:19.945, 653, 1479, 1502
2021/07/22 18:49:21.449, 632, 1401, 1544
2021/07/22 18:49:22.968, 661, 1562, 1602
2021/07/22 18:49:24.472, 705, 1568, 1648
2021/07/22 18:49:25.975, 740, 1545, 1737
2021/07/22 18:49:27.494, 715, 1451, 1645
2021/07/22 18:49:28.998, 711, 1603, 1614
2021/07/22 18:49:30.501, 718, 1441, 1572
2021/07/22 18:49:32.004, 700, 1378, 1568
2021/07/22 18:49:33.524, 644, 1605, 1594
2021/07/22 18:49:35.027, 719, 1619, 1735
2021/07/22 18:49:36.530, 763, 1435, 1667
2021/07/22 18:49:38.035, 659, 1581, 1661
2021/07/22 18:49:39.554, 653, 1565, 1673
2021/07/22 18:49:41.057, 721, 1595, 1610
2021/07/22 18:49:42.561, 723, 1648, 1597
2021/07/22 18:49:44.064, 760, 1662, 1703
2021/07/22 18:49:45.583, 751, 1561, 1764
2021/07/22 18:49:47.087, 724, 1610, 1732
2021/07/22 18:49:48.590, 732, 1435, 1671
2021/07/22 18:49:50.094, 718, 1374, 1709
2021/07/22 18:49:51.613, 687, 1476, 1725
2021/07/22 18:49:53.116, 676, 1555, 1718
2021/07/22 18:49:54.620, 707, 1565, 1692
2021/07/22 18:49:56.140, 713, 1561, 1596
2021/07/22 18:49:57.643, 731, 1590, 1625
2021/07/22 18:49:59.147, 727, 1455, 1686
2021/07/22 18:50:00.650, 672, 1594, 1677
2021/07/22 18:50:02.169, 714, 1520, 1730
2021/07/22 18:50:03.673, 701, 1579, 1670
2021/07/22 18:50:05.176, 722, 1542, 1682
2021/07/22 18:50:06.680, 723, 1535, 1655
2021/07/22 18:50:08.199, 717, 1526, 1605
2021/07/22 18:50:09.702, 742, 1514, 1553
2021/07/22 18:50:11.206, 740, 1462, 1529
2021/07/22 18:50:12.726, 709, 1454, 1553
2021/07/22 18:50:14.229, 691, 1498, 1546
2021/07/22 18:50:15.733, 687, 1483, 1530
2021/07/22 18:50:17.236, 687, 1498, 1510
2021/07/22 18:50:18.756, 698, 1499, 1542
2021/07/22 18:50:20.259, 699, 1521, 1541
2021/07/22 18:50:21.762, 708, 1538, 1586
2021/07/22 18:50:23.265, 709, 1497, 1593
2021/07/22 18:50:24.785, 726, 1518, 1589
2021/07/22 18:50:26.288, 735, 1554, 1564
2021/07/22 18:50:27.792, 747, 1601, 1588
2021/07/22 18:50:29.311, 720, 1552, 1557
2021/07/22 18:50:30.815, 729, 1494, 1499
2021/07/22 18:50:32.319, 710, 1388, 1499
2021/07/22 18:50:33.822, 657, 1423, 1593
2021/07/22 18:50:35.341, 1279, 1646, 1626
2021/07/22 18:50:36.845, 654, 1525, 1607
2021/07/22 18:50:38.348, 686, 1485, 1634
2021/07/22 18:50:39.851, 723, 1474, 1609
2021/07/22 18:50:41.371, 680, 1444, 1635
2021/07/22 18:50:42.874, 684, 1441, 1625
2021/07/22 18:50:44.377, 642, 1452, 1621
2021/07/22 18:50:45.881, 646, 1395, 1562
