time, beta470, beta532, beta660
yyyy/mm/dd HH:MM:SS.fff, counts, counts, counts
2021/07/22 19:57:05.737, 57, 50, 47
2021/07/22 19:57:07.240, 54, 52, 47
2021/07/22 19:57:08.744, 56, 51, 46
2021/07/22 19:57:10.248, 56, 50, 49
2021/07/22 19:57:11.751, 55, 49, 47
2021/07/22 19:57:13.254, 56, 50, 48
2021/07/22 19:57:14.757, 55, 50, 49
2021/07/22 19:57:16.261, 56, 50, 46
2021/07/22 19:57:17.748, 56, 50, 50
2021/07/22 19:57:19.252, 57, 52, 47
2021/07/22 19:57:20.755, 57, 50, 48
2021/07/22 19:57:22.258, 55, 51, 47
2021/07/22 19:57:23.762, 56, 50, 48
2021/07/22 19:57:25.266, 55, 50, 48
2021/07/22 19:57:26.769, 56, 52, 48
2021/07/22 19:57:28.273, 55, 51, 48
2021/07/22 19:57:29.776, 57, 50, 50
2021/07/22 19:57:31.280, 56, 51, 48
2021/07/22 19:57:32.783, 55, 50, 46
2021/07/22 19:57:34.286, 56, 50, 47
2021/07/22 19:57:35.790, 55, 50, 48
2021/07/22 19:57:37.293, 56, 49, 49
2021/07/22 19:57:38.796, 55, 49, 47
2021/07/22 19:57:40.300, 56, 50, 48
2021/07/22 19:57:41.803, 57, 50, 50
2021/07/22 19:57:43.307, 54, 50, 46
2021/07/22 19:57:44.811, 55, 50, 45
2021/07/22 19:57:46.314, 56, 50, 47
2021/07/22 19:57:47.817, 55, 51, 50
2021/07/22 19:57:49.321, 56, 50, 49
2021/07/22 19:57:50.824, 57, 50, 49
2021/07/22 19:57:52.327, 56, 50, 49
2021/07/22 19:57:53.831, 56, 50, 48
2021/07/22 19:57:55.334, 55, 50, 48
2021/07/22 19:57:56.837, 55, 50, 48
2021/07/22 19:57:58.341, 56, 50, 45
2021/07/22 19:57:59.844, 54, 50, 47
2021/07/22 19:58:01.349, 56, 50, 50
2021/07/22 19:58:02.852, 55, 51, 50
2021/07/22 19:58:04.355, 54, 50, 49
2021/07/22 19:58:05.859, 55, 50, 50
2021/07/22 19:58:07.362, 56, 52, 49
2021/07/22 19:58:08.865, 56, 51, 49
2021/07/22 19:58:10.369, 56, 50, 45
2021/07/22 19:58:11.872, 55, 52, 50
2021/07/22 19:58:13.375, 55, 52, 47
2021/07/22 19:58:14.879, 55, 50, 49
2021/07/22 19:58:16.382, 57, 50, 46
2021/07/22 19:58:17.886, 57, 51, 49
2021/07/22 19:58:19.390, 57, 51, 47
2021/07/22 19:58:20.893, 55, 50, 48
2021/07/22 19:58:22.397, 56, 51, 45
2021/07/22 19:58:23.900, 55, 50, 47
2021/07/22 19:58:25.404, 56, 51, 49
2021/07/22 19:58:26.907, 56, 52, 49
2021/07/22 19:58:28.410, 56, 51, 48
