Sensor 0052 - site1
Site 1
date [EST]	lu 412 [uW/cm^2/nm/sr]	lu 442 [uW/cm^2/nm/sr]	lu 490 [uW/cm^2/nm/sr]	lu 510 [uW/cm^2/nm/sr]	lu 555 [uW/cm^2/nm/sr]	lu 664 [uW/cm^2/nm/sr]	lu 669 [uW/cm^2/nm/sr]
2014-05-14 15:00:00	0.012990	0.036741	0.128745	0.178419	0.300897	0.047050	0.046755
2014-05-14 15:30:00	0.009969	0.028076	0.098812	0.136871	0.229773	0.034721	0.034546
2014-05-14 16:00:00	0.008708	0.025200	0.090387	0.125417	0.209540	0.030957	0.030578
2014-05-14 16:30:00	0.008740	0.026744	0.102870	0.146168	0.254532	0.039886	0.039493
2014-05-14 17:00:00	0.003276	0.013527	0.059260	0.085520	0.152661	0.019573	0.019405
2014-05-14 17:30:00	0.001037	0.006849	0.034268	0.050043	0.090754	0.009547	0.009235
2014-05-14 18:00:00	-0.000332	0.003299	0.019656	0.027996	0.046540	0.001956	0.001836
2014-05-14 18:30:00	-0.001705	-0.000963	0.004525	0.006444	0.008984	-0.003336	-0.003241
2014-05-15 19:00:00	-0.002305	-0.002597	-0.002007	-0.002130	-0.002908	-0.004744	-0.004828
2014-05-15 19:30:00	-0.002325	-0.002574	-0.002446	-0.002501	-0.003416	-0.004982	-0.004779
2014-05-15 20:00:00	-0.002299	-0.002619	-0.002461	-0.002524	-0.003494	-0.004899	-0.004709
2014-05-15 20:30:00	-0.002248	-0.002685	-0.002451	-0.002429	-0.00333	-0.004881	-0.004954
2014-05-15 21:00:00	-0.002084	-0.002690	-0.002364	-0.002572	-0.003380	-0.004904	-0.004910
2014-05-15 21:30:00	-0.002509	-0.002551	-0.002259	-0.002497	-0.003367	-0.004668	-0.004647
2014-05-15 22:00:00	-0.002205	-0.002558	-0.002360	-0.002655	-0.003587	-0.004862	-0.004667
2014-05-15 22:30:00	-0.002261	-0.002697	-0.002277	-0.002524	-0.003461	-0.004829	-0.004694
2014-05-15 23:00:00	-0.002386	-0.002593	-0.002390	-0.002567	-0.003427	-0.004850	-0.004809
2014-05-15 23:30:00	-0.002232	-0.002772	-0.002471	-0.002556	-0.003479	-0.004635	-0.004577
2014-05-16 00:00:00	-0.002267	-0.002836	-0.002441	-0.002518	-0.003354	-0.004933	-0.004807
2014-05-16 00:30:00	-0.002188	-0.002836	-0.002537	-0.002535	-0.003401	-0.004748	-0.004621
2014-05-16 01:00:00	-0.002259	-0.002756	-0.002389	-0.002488	-0.003502	-0.004654	-0.004843
