SN	INTTIME(LU)	LU(397.65)	LU(400.94)	LU(404.24)	LU(407.54)	LU(410.84)	LU(414.13)	LU(417.43)	LU(420.73)	LU(424.03)	LU(427.32)	LU(430.62)	LU(433.92)	LU(437.22)	LU(440.51)	LU(443.81)	LU(447.11)	LU(450.4)	LU(453.7)	LU(457)	LU(460.29)	LU(463.59)	LU(466.89)	LU(470.18)	LU(473.48)	LU(476.77)	LU(480.07)	LU(483.37)	LU(486.66)	LU(489.96)	LU(493.25)	LU(496.54)	LU(499.84)	LU(503.13)	LU(506.43)	LU(509.72)	LU(513.01)	LU(516.31)	LU(519.6)	LU(522.89)	LU(526.19)	LU(529.48)	LU(532.77)	LU(536.06)	LU(539.35)	LU(542.64)	LU(545.93)	LU(549.22)	LU(552.51)	LU(555.8)	LU(559.09)	LU(562.38)	LU(565.67)	LU(568.95)	LU(572.24)	LU(575.53)	LU(578.81)	LU(582.1)	LU(585.39)	LU(588.67)	LU(591.96)	LU(595.24)	LU(598.52)	LU(601.81)	LU(605.09)	LU(608.37)	LU(611.65)	LU(614.93)	LU(618.21)	LU(621.49)	LU(624.77)	LU(628.05)	LU(631.33)	LU(634.61)	LU(637.89)	LU(641.16)	LU(644.44)	LU(647.71)	LU(650.99)	LU(654.26)	LU(657.54)	LU(660.81)	LU(664.08)	LU(667.35)	LU(670.62)	LU(673.89)	LU(677.16)	LU(680.43)	LU(683.7)	LU(686.97)	LU(690.24)	LU(693.5)	LU(696.77)	LU(700.03)	LU(703.29)	LU(706.56)	LU(709.82)	LU(713.08)	LU(716.34)	LU(719.6)	LU(722.86)	LU(726.12)	LU(729.38)	LU(732.63)	LU(735.89)	LU(739.14)	LU(742.4)	LU(745.65)	LU(748.9)	LU(752.15)	LU(755.4)	LU(758.65)	LU(761.9)	LU(765.15)	LU(768.4)	LU(771.64)	LU(774.89)	LU(778.13)	LU(781.38)	LU(784.62)	LU(787.86)	LU(791.1)	LU(794.34)	LU(797.58)	DARK_SAMP(LU)	DARK_AVE(LU)	INTTIME(ED)	ED(396.59)	ED(399.89)	ED(403.2)	ED(406.51)	ED(409.82)	ED(413.13)	ED(416.44)	ED(419.75)	ED(423.05)	ED(426.36)	ED(429.67)	ED(432.98)	ED(436.29)	ED(439.6)	ED(442.91)	ED(446.21)	ED(449.52)	ED(452.83)	ED(456.14)	ED(459.45)	ED(462.75)	ED(466.06)	ED(469.37)	ED(472.67)	ED(475.98)	ED(479.29)	ED(482.6)	ED(485.9)	ED(489.21)	ED(492.51)	ED(495.82)	ED(499.13)	ED(502.43)	ED(505.74)	ED(509.04)	ED(512.35)	ED(515.65)	ED(518.96)	ED(522.26)	ED(525.56)	ED(528.87)	ED(532.17)	ED(535.47)	ED(538.78)	ED(542.08)	ED(545.38)	ED(548.68)	ED(551.98)	ED(555.28)	ED(558.58)	ED(561.88)	ED(565.18)	ED(568.48)	ED(571.78)	ED(575.08)	ED(578.38)	ED(581.67)	ED(584.97)	ED(588.27)	ED(591.56)	ED(594.86)	ED(598.15)	ED(601.45)	ED(604.74)	ED(608.04)	ED(611.33)	ED(614.62)	ED(617.92)	ED(621.21)	ED(624.5)	ED(627.79)	ED(631.08)	ED(634.37)	ED(637.66)	ED(640.94)	ED(644.23)	ED(647.52)	ED(650.81)	ED(654.09)	ED(657.38)	ED(660.66)	ED(663.94)	ED(667.23)	ED(670.51)	ED(673.79)	ED(677.07)	ED(680.35)	ED(683.63)	ED(686.91)	ED(690.19)	ED(693.47)	ED(696.75)	ED(700.02)	ED(703.3)	ED(706.57)	ED(709.85)	ED(713.12)	ED(716.39)	ED(719.66)	ED(722.93)	ED(726.2)	ED(729.47)	ED(732.74)	ED(736.01)	ED(739.27)	ED(742.54)	ED(745.8)	ED(749.07)	ED(752.33)	ED(755.59)	ED(758.85)	ED(762.11)	ED(765.37)	ED(768.63)	ED(771.89)	ED(775.15)	ED(778.4)	ED(781.66)	ED(784.91)	ED(788.16)	ED(791.42)	ED(794.67)	ED(797.92)	DARK_SAMP(ED)	DARK_AVE(ED)	ALTIM	FRAME(COUNTER)	TIMER	CHECK(SUM)
0001	15143	2999	2963	3012	2956	3019	3002	3019	3012	3012	3025	3008	2990	3011	3006	2953	2986	2972	3034	2994	3014	2999	3025	3010	3005	3021	2942	3006	2988	3007	2942	2997	3022	3027	3006	2989	3038	3010	3008	3038	3019	2939	2990	2987	3038	2971	3020	3009	3021	3000	2972	3018	2976	3008	3005	3027	2924	2985	2989	3007	2991	3021	3010	3051	3010	3007	3004	2951	2990	2996	3004	2961	3017	3007	3008	2985	3013	3005	2965	3020	3000	3017	2907	2999	2992	3020	2972	2983	3027	3026	2974	2998	3015	2940	3005	2987	2999	2943	2981	3012	3010	2981	2975	3022	2991	3006	2976	3018	2949	2976	2975	3014	2993	2992	3010	3019	2977	2984	3008	2959	2993	2980	3007	2951	15	2980	1469	2638	2657	2631	2676	2638	2665	2645	2697	2604	2638	2663	2684	2669	2685	2670	2687	2677	2666	2699	2634	2667	2683	2698	2630	2680	2687	2692	2701	2689	2708	2657	2712	2699	2710	2601	2681	2688	2723	2685	2690	2696	2708	2705	2655	2714	2629	2693	2670	2728	2641	2674	2689	2722	2709	2666	2687	2719	2710	2694	2710	2617	2699	2688	2703	2659	2705	2724	2728	2693	2669	2696	2671	2698	2683	2703	2607	2699	2733	2714	2674	2677	2722	2728	2693	2693	2722	2642	2706	2679	2749	2659	2685	2715	2685	2694	2680	2704	2657	2679	2639	2658	2616	2660	2695	2695	2656	2687	2703	2673	2627	2577	2590	2526	2620	2611	2645	2594	2699	2649	2636	2601	2604	2650	15	2275	829	161	5581.8070000000	154
0001	15143	3009	3010	3030	2964	2996	2982	3029	2949	2989	3025	2999	3018	2995	3026	2978	3005	2995	3033	2947	2997	3002	3034	3016	2995	3025	3024	3021	3006	3030	2957	3015	2977	3044	2965	3014	3020	3022	3025	3009	3022	2997	3027	3031	3031	2989	3020	3018	3050	3001	3005	3014	3038	3004	3014	3037	2961	3009	3028	3023	2927	3019	3036	3062	3004	3012	3010	3039	3014	3008	3014	2955	2998	3000	3021	2965	3003	3018	3020	3005	2983	3039	2955	3011	2983	3006	2932	3006	3000	3026	3019	2997	3039	3012	2995	3029	3024	2942	3005	2979	3003	2950	3006	3037	3021	2992	3006	3005	2966	2990	2975	3022	2965	2979	2985	3014	3026	3016	3005	3003	2983	3004	3024	2942	15	2985	1469	2618	2662	2669	2676	2647	2663	2648	2662	2664	2682	2587	2671	2674	2710	2658	2680	2688	2706	2685	2681	2675	2637	2691	2696	2705	2618	2701	2721	2714	2692	2667	2735	2684	2693	2688	2697	2623	2706	2694	2702	2652	2697	2714	2706	2688	2666	2712	2651	2703	2701	2706	2642	2699	2723	2719	2679	2687	2734	2699	2688	2690	2714	2625	2687	2674	2700	2650	2711	2702	2712	2678	2707	2735	2649	2686	2677	2704	2663	2685	2687	2698	2697	2709	2686	2699	2684	2697	2726	2628	2708	2684	2706	2658	2702	2695	2704	2696	2694	2677	2621	2640	2676	2675	2602	2682	2668	2705	2676	2670	2636	2616	2563	2590	2635	2576	2617	2653	2708	2571	2630	2638	2651	2635	15	2277	859	162	5587.8060000000	235
0001	15143	3006	2998	2951	2967	2990	3044	2975	3004	3023	3014	2974	2993	3032	2964	3002	2999	3016	2968	3002	2982	3025	3024	2998	3015	3010	2996	3012	2988	2949	2990	2959	3046	2947	2985	3027	3034	3027	2992	3020	2968	3015	3015	3021	2946	2981	2996	3029	3023	3016	3008	3046	3020	3013	3013	2974	3016	2989	3020	2954	3013	3033	3026	3003	2994	3012	3012	3027	3017	3025	2942	3010	3006	3025	2983	3006	3003	3024	2980	3001	3027	2948	3003	2957	2995	2958	2986	3027	3036	3000	2993	3026	3009	2999	3006	3020	2945	3007	2990	3006	2978	3024	3008	3012	2969	3005	3023	2948	2991	2988	3022	2946	2974	3006	3010	3011	3002	3019	3017	2984	2999	3018	2932	2979	15	2988	1469	2681	2663	2631	2662	2611	2684	2656	2651	2605	2665	2645	2702	2671	2665	2680	2701	2681	2670	2690	2630	2703	2668	2695	2643	2702	2732	2694	2685	2677	2709	2650	2688	2677	2698	2625	2701	2671	2693	2667	2694	2713	2700	2678	2683	2726	2646	2681	2674	2719	2621	2709	2709	2697	2701	2674	2740	2684	2695	2702	2715	2635	2701	2676	2732	2700	2698	2720	2710	2700	2695	2714	2657	2685	2678	2726	2661	2689	2704	2694	2705	2702	2695	2688	2724	2729	2718	2622	2688	2697	2755	2687	2700	2690	2715	2697	2693	2730	2622	2678	2675	2687	2599	2661	2674	2704	2688	2661	2680	2695	2651	2564	2573	2530	2641	2627	2685	2602	2692	2653	2673	2629	2613	2636	15	2278	829	163	5593.8060000000	96
0001	15143	3004	3000	2992	3015	2951	2996	3018	3030	2943	2989	3028	3031	3015	2979	2990	3002	3010	3027	3006	2946	2989	2995	3013	2965	2996	3006	3000	2996	2975	3013	2959	2983	2999	2994	2950	3001	3027	3011	2993	2987	3043	3035	3010	3008	3025	2941	3017	2993	3010	2958	3008	3026	3028	2994	2974	3022	2960	2983	2976	3011	2960	2985	3005	2998	2984	2996	3009	3017	2992	2995	3016	2922	3006	2977	3008	2949	3019	3010	2987	2980	2983	3031	2973	2993	3001	3038	2945	2965	2986	3015	3002	3000	3010	3019	2989	2981	3014	2938	2986	2976	3010	2927	2976	2977	3015	2996	2975	3007	2985	2987	2991	2982	2928	2958	2984	3018	2984	2996	2997	3005	2984	2986	3009	15	2978	1469	2655	2593	2651	2650	2677	2610	2657	2687	2682	2681	2646	2703	2667	2689	2702	2716	2616	2666	2699	2721	2667	2683	2718	2721	2700	2677	2695	2645	2693	2679	2701	2634	2695	2699	2719	2701	2688	2712	2704	2703	2695	2690	2623	2700	2685	2721	2621	2704	2747	2699	2671	2681	2723	2669	2678	2678	2701	2649	2690	2678	2703	2702	2695	2703	2711	2674	2695	2685	2648	2702	2644	2708	2642	2713	2698	2694	2733	2704	2745	2673	2688	2697	2724	2648	2679	2699	2715	2687	2697	2724	2709	2691	2694	2734	2638	2687	2672	2724	2632	2662	2663	2688	2680	2662	2683	2676	2700	2698	2705	2571	2580	2562	2610	2578	2641	2664	2679	2662	2614	2650	2551	2603	2614	15	2271	707	164	5599.8070000000	244
0001	15143	3007	3020	3039	2999	2970	3040	2991	3008	2993	3021	2961	3004	2990	3017	2991	3002	3038	3016	2990	2989	3016	2956	2991	2966	3018	2959	3028	3003	3019	3009	2999	3031	3018	2996	3017	3045	2970	3001	2998	3050	3014	3025	3028	3050	3009	3009	3020	2983	3005	3023	3042	2942	3014	3004	3026	3030	3008	2994	3023	3019	3015	3019	2948	2998	2986	3033	2967	3000	3024	3027	3001	2990	3008	2993	2999	3013	3010	2940	2981	3000	3048	3007	2989	3014	3042	3011	2989	3021	2961	3029	2978	2996	2931	3017	3018	3031	2997	2989	3029	3002	3017	2975	3008	2939	3001	2978	3005	2980	2994	3014	3026	2972	2993	3004	2972	3007	2985	3031	2946	2993	2989	2997	3007	15	2986	1469	2660	2662	2639	2669	2643	2680	2676	2682	2585	2662	2668	2696	2672	2674	2698	2714	2688	2687	2702	2641	2684	2684	2703	2631	2681	2705	2702	2675	2658	2724	2687	2688	2691	2702	2635	2710	2696	2715	2682	2714	2714	2713	2692	2712	2718	2659	2724	2685	2706	2645	2697	2718	2711	2704	2696	2726	2704	2705	2697	2741	2643	2704	2683	2717	2694	2712	2712	2742	2727	2712	2704	2669	2694	2709	2737	2661	2704	2698	2713	2708	2698	2725	2697	2723	2740	2730	2634	2690	2698	2752	2656	2702	2715	2729	2711	2711	2697	2684	2700	2669	2682	2594	2673	2689	2698	2670	2668	2696	2708	2653	2579	2571	2550	2652	2646	2665	2586	2681	2668	2663	2613	2601	2654	15	2283	671	165	5605.8070000000	16
0001	15143	3025	3020	2987	3016	2996	3004	3033	3012	2928	2987	2981	3019	2940	3007	2999	3033	2989	2990	3007	2981	2998	2990	3048	2934	3001	2994	3032	3008	2992	3012	3035	3014	2996	2995	2955	3002	2976	3030	2965	3025	3018	3049	3000	3001	3034	3013	3006	3022	3014	2960	2995	3007	3008	2986	3017	3040	3008	3001	2988	3034	2950	2979	2984	3018	2957	3021	3000	3013	3003	2992	3010	3017	2980	3015	3012	2929	2980	2953	3003	2962	2991	3003	3011	2990	2991	3006	2958	3016	2984	3019	2933	2996	2986	3026	2991	2987	3010	3004	2996	3012	2997	2917	2987	3001	3026	2961	2971	3006	3032	2993	2977	2993	2975	3021	2994	2997	2935	2982	2993	3006	2994	2988	3010	15	2990	1469	2581	2630	2680	2716	2657	2646	2706	2631	2667	2660	2679	2601	2655	2697	2689	2679	2686	2715	2713	2703	2659	2708	2630	2700	2672	2687	2650	2696	2683	2713	2675	2700	2729	2660	2694	2691	2708	2633	2686	2681	2705	2670	2701	2720	2700	2700	2696	2723	2647	2684	2683	2725	2661	2690	2698	2713	2698	2689	2700	2692	2704	2683	2707	2628	2703	2681	2734	2690	2707	2690	2733	2700	2710	2707	2633	2731	2695	2713	2618	2699	2700	2725	2693	2696	2730	2708	2682	2712	2712	2666	2702	2688	2717	2655	2696	2719	2716	2687	2669	2683	2640	2662	2666	2690	2613	2675	2677	2666	2667	2643	2616	2563	2578	2643	2666	2577	2625	2662	2653	2591	2625	2651	2628	15	2281	747	166	5611.8060000000	180
0001	15143	3013	3000	2992	3010	3027	2977	3016	3011	3048	2929	2977	3005	3042	2993	3001	3018	3048	2987	3004	3041	2960	3000	3003	3030	2939	2988	3020	3035	3003	3004	3014	3026	3026	3007	3009	2960	3011	3003	3028	2981	3030	3023	3033	3000	3012	3029	2988	3020	3032	3018	2951	3020	3031	3032	2996	3028	3049	3034	2997	3005	3025	2974	2981	2995	3022	2966	3011	3007	3016	3018	2986	3005	3007	2994	3003	3011	2930	2972	2979	3025	2989	3006	3010	3009	2974	3013	3012	2930	2996	2997	3008	2945	2987	2996	3019	3023	2973	3011	3027	2985	3014	3015	2944	3000	2999	3027	2982	2999	3024	3057	3013	3002	3014	2951	3031	3005	3022	2946	3006	3018	3031	2981	2991	15	2994	1469	2633	2644	2699	2604	2662	2666	2691	2690	2669	2653	2651	2676	2697	2701	2614	2680	2682	2714	2640	2691	2692	2726	2695	2671	2710	2655	2695	2715	2727	2617	2687	2711	2709	2686	2687	2731	2718	2680	2692	2704	2636	2717	2687	2713	2652	2697	2736	2715	2689	2691	2748	2713	2702	2703	2720	2656	2703	2686	2682	2684	2715	2711	2716	2687	2676	2720	2652	2697	2669	2716	2658	2709	2701	2700	2707	2713	2709	2715	2699	2697	2728	2644	2704	2717	2706	2691	2705	2723	2724	2715	2698	2724	2677	2703	2716	2740	2638	2666	2670	2680	2642	2637	2670	2696	2676	2665	2706	2606	2686	2645	2618	2499	2598	2627	2661	2636	2629	2716	2675	2648	2618	2625	2563	15	2282	718	167	5617.8060000000	218
0001	15143	3025	3025	3021	3014	3004	3020	2985	3001	3008	3018	2960	2988	2998	3036	2994	2988	3013	3039	3004	3012	3002	2965	2996	3010	3024	2941	2988	3010	3043	3001	2993	3025	3032	3019	3012	3014	2950	3007	2987	3026	3010	3023	3043	3034	3012	2995	3028	2995	3014	3035	3024	2961	3021	3012	3017	2987	3003	3037	3042	2998	2996	3041	2973	3011	2951	3021	2954	3008	3014	3024	3014	3014	3030	2985	3002	3022	3028	2930	3002	2997	3034	3001	2995	3013	3025	2993	3011	3023	2945	2993	2969	3019	2940	2984	3009	3029	2994	2977	2995	3024	3012	3000	3006	2921	3019	2984	3021	2946	2995	3032	3026	2996	3001	3023	2985	3015	2999	2992	2952	2977	3012	3035	2978	15	2988	1469	2631	2688	2626	2646	2650	2686	2603	2642	2642	2657	2622	2653	2698	2683	2671	2674	2704	2623	2690	2671	2698	2651	2674	2683	2703	2694	2671	2678	2693	2699	2703	2692	2630	2682	2695	2710	2635	2678	2703	2710	2696	2687	2684	2655	2691	2704	2677	2607	2706	2700	2712	2686	2675	2723	2717	2686	2681	2708	2642	2721	2670	2704	2645	2698	2711	2702	2665	2688	2709	2676	2665	2687	2710	2632	2689	2676	2706	2695	2681	2704	2717	2663	2704	2716	2635	2687	2679	2725	2642	2701	2703	2716	2693	2691	2707	2688	2681	2689	2693	2594	2638	2637	2697	2623	2676	2678	2704	2700	2642	2657	2567	2568	2592	2623	2540	2647	2643	2714	2635	2639	2655	2647	2602	15	2273	621	168	5623.8070000000	114
0001	15143	3027	3000	2990	2992	2991	3018	3001	3004	2929	3011	2990	3005	3000	3019	3014	3038	2991	2988	3020	2956	3032	2999	3014	2959	3014	3037	3035	2993	3009	3035	3000	2999	3003	3035	2963	3018	3002	3032	2996	3026	3021	3020	3018	3004	3035	2964	2992	2986	3026	2951	3002	3027	3042	3030	2980	3018	3046	3023	3018	3029	2943	3004	2986	3029	2943	2998	3031	3049	3008	2987	2996	3010	3018	3014	3013	2949	3010	3008	3006	3000	3000	3023	3037	2982	3006	3011	2962	3000	2995	3011	2951	3008	3022	3005	2996	2994	3012	3039	3002	3012	3023	2953	2991	2999	3016	2960	3007	3006	3012	2995	2985	3038	2978	2989	3000	3038	2955	2994	2981	3025	3012	2982	3012	15	2989	1469	2647	2641	2659	2673	2702	2595	2654	2672	2686	2655	2655	2666	2711	2692	2677	2687	2625	2692	2680	2718	2603	2669	2690	2722	2680	2701	2721	2717	2712	2699	2685	2654	2688	2677	2703	2645	2712	2707	2726	2690	2660	2714	2686	2691	2681	2701	2636	2709	2692	2709	2687	2715	2720	2713	2687	2693	2727	2655	2700	2684	2721	2656	2689	2718	2691	2687	2706	2720	2704	2706	2723	2746	2625	2710	2703	2741	2673	2701	2716	2673	2699	2689	2716	2642	2695	2713	2733	2636	2676	2713	2726	2676	2691	2723	2732	2721	2679	2705	2620	2668	2646	2698	2618	2666	2697	2697	2685	2660	2689	2647	2587	2565	2601	2571	2652	2631	2661	2688	2660	2663	2642	2620	2614	15	2283	789	169	5629.8050000000	11
0001	15143	3000	3025	2946	2988	3023	3023	3024	2980	3015	3042	2998	3022	3026	2932	3006	2969	3020	2958	3030	3010	3032	3000	2987	3014	2985	3026	2994	3025	2939	2997	3019	3028	3011	3012	3039	3044	3009	3005	3032	2962	3013	2970	3018	2963	3012	3018	3015	3015	3011	3030	3012	2987	3004	3033	2976	3007	2991	3051	2995	3037	3023	3021	2996	3004	3023	2982	3017	3016	3041	2936	2994	3010	3041	3012	3006	3021	3029	2998	3003	3006	2951	3007	3000	3017	2931	2999	3015	3034	2997	2977	3021	3029	2996	3016	2997	2952	3005	2991	3024	2964	2998	3012	3027	2998	3001	3005	2980	2998	2978	3006	2942	2984	2980	3025	2973	2999	3002	3024	2991	3004	3010	2932	3014	15	2989	1469	2634	2683	2639	2632	2680	2633	2673	2680	2676	2592	2637	2669	2697	2661	2661	2705	2692	2686	2670	2690	2637	2706	2671	2722	2640	2699	2717	2704	2694	2701	2699	2690	2680	2692	2721	2627	2703	2659	2710	2656	2705	2696	2699	2674	2690	2726	2660	2677	2680	2738	2648	2670	2698	2728	2709	2666	2696	2700	2697	2712	2715	2638	2680	2683	2727	2646	2668	2708	2727	2700	2683	2709	2674	2694	2719	2713	2606	2694	2715	2710	2680	2693	2723	2727	2691	2686	2726	2663	2691	2706	2709	2663	2693	2709	2692	2688	2680	2686	2674	2645	2636	2686	2603	2664	2643	2671	2643	2679	2685	2657	2615	2550	2619	2565	2626	2643	2687	2613	2635	2616	2645	2599	2607	15	2274	657	170	5635.8070000000	62
