SN	INTTIME(LU)	LU(397.65)	LU(400.94)	LU(404.24)	LU(407.54)	LU(410.84)	LU(414.13)	LU(417.43)	LU(420.73)	LU(424.03)	LU(427.32)	LU(430.62)	LU(433.92)	LU(437.22)	LU(440.51)	LU(443.81)	LU(447.11)	LU(450.4)	LU(453.7)	LU(457)	LU(460.29)	LU(463.59)	LU(466.89)	LU(470.18)	LU(473.48)	LU(476.77)	LU(480.07)	LU(483.37)	LU(486.66)	LU(489.96)	LU(493.25)	LU(496.54)	LU(499.84)	LU(503.13)	LU(506.43)	LU(509.72)	LU(513.01)	LU(516.31)	LU(519.6)	LU(522.89)	LU(526.19)	LU(529.48)	LU(532.77)	LU(536.06)	LU(539.35)	LU(542.64)	LU(545.93)	LU(549.22)	LU(552.51)	LU(555.8)	LU(559.09)	LU(562.38)	LU(565.67)	LU(568.95)	LU(572.24)	LU(575.53)	LU(578.81)	LU(582.1)	LU(585.39)	LU(588.67)	LU(591.96)	LU(595.24)	LU(598.52)	LU(601.81)	LU(605.09)	LU(608.37)	LU(611.65)	LU(614.93)	LU(618.21)	LU(621.49)	LU(624.77)	LU(628.05)	LU(631.33)	LU(634.61)	LU(637.89)	LU(641.16)	LU(644.44)	LU(647.71)	LU(650.99)	LU(654.26)	LU(657.54)	LU(660.81)	LU(664.08)	LU(667.35)	LU(670.62)	LU(673.89)	LU(677.16)	LU(680.43)	LU(683.7)	LU(686.97)	LU(690.24)	LU(693.5)	LU(696.77)	LU(700.03)	LU(703.29)	LU(706.56)	LU(709.82)	LU(713.08)	LU(716.34)	LU(719.6)	LU(722.86)	LU(726.12)	LU(729.38)	LU(732.63)	LU(735.89)	LU(739.14)	LU(742.4)	LU(745.65)	LU(748.9)	LU(752.15)	LU(755.4)	LU(758.65)	LU(761.9)	LU(765.15)	LU(768.4)	LU(771.64)	LU(774.89)	LU(778.13)	LU(781.38)	LU(784.62)	LU(787.86)	LU(791.1)	LU(794.34)	LU(797.58)	DARK_SAMP(LU)	DARK_AVE(LU)	INTTIME(ED)	ED(396.59)	ED(399.89)	ED(403.2)	ED(406.51)	ED(409.82)	ED(413.13)	ED(416.44)	ED(419.75)	ED(423.05)	ED(426.36)	ED(429.67)	ED(432.98)	ED(436.29)	ED(439.6)	ED(442.91)	ED(446.21)	ED(449.52)	ED(452.83)	ED(456.14)	ED(459.45)	ED(462.75)	ED(466.06)	ED(469.37)	ED(472.67)	ED(475.98)	ED(479.29)	ED(482.6)	ED(485.9)	ED(489.21)	ED(492.51)	ED(495.82)	ED(499.13)	ED(502.43)	ED(505.74)	ED(509.04)	ED(512.35)	ED(515.65)	ED(518.96)	ED(522.26)	ED(525.56)	ED(528.87)	ED(532.17)	ED(535.47)	ED(538.78)	ED(542.08)	ED(545.38)	ED(548.68)	ED(551.98)	ED(555.28)	ED(558.58)	ED(561.88)	ED(565.18)	ED(568.48)	ED(571.78)	ED(575.08)	ED(578.38)	ED(581.67)	ED(584.97)	ED(588.27)	ED(591.56)	ED(594.86)	ED(598.15)	ED(601.45)	ED(604.74)	ED(608.04)	ED(611.33)	ED(614.62)	ED(617.92)	ED(621.21)	ED(624.5)	ED(627.79)	ED(631.08)	ED(634.37)	ED(637.66)	ED(640.94)	ED(644.23)	ED(647.52)	ED(650.81)	ED(654.09)	ED(657.38)	ED(660.66)	ED(663.94)	ED(667.23)	ED(670.51)	ED(673.79)	ED(677.07)	ED(680.35)	ED(683.63)	ED(686.91)	ED(690.19)	ED(693.47)	ED(696.75)	ED(700.02)	ED(703.3)	ED(706.57)	ED(709.85)	ED(713.12)	ED(716.39)	ED(719.66)	ED(722.93)	ED(726.2)	ED(729.47)	ED(732.74)	ED(736.01)	ED(739.27)	ED(742.54)	ED(745.8)	ED(749.07)	ED(752.33)	ED(755.59)	ED(758.85)	ED(762.11)	ED(765.37)	ED(768.63)	ED(771.89)	ED(775.15)	ED(778.4)	ED(781.66)	ED(784.91)	ED(788.16)	ED(791.42)	ED(794.67)	ED(797.92)	DARK_SAMP(ED)	DARK_AVE(ED)	ALTIM	FRAME(COUNTER)	TIMER	CHECK(SUM)
0001	62015	3638	3648	3622	3650	3631	3661	3638	3664	3645	3637	3639	3635	3650	3657	3653	3676	3650	3658	3600	3655	3656	3631	3619	3669	3640	3585	3634	3680	3662	3604	3663	3684	3671	3637	3665	3681	3622	3640	3654	3669	3662	3648	3650	3611	3627	3642	3654	3648	3633	3632	3595	3643	3656	3617	3657	3691	3667	3614	3664	3683	3662	3589	3676	3686	3639	3622	3655	3659	3603	3627	3634	3644	3653	3644	3656	3604	3650	3628	3657	3636	3642	3665	3609	3648	3624	3632	3654	3616	3613	3611	3664	3636	3633	3602	3669	3666	3605	3656	3666	3642	3573	3619	3669	3661	3620	3636	3670	3598	3629	3644	3643	3620	3641	3632	3600	3644	3623	3643	3640	3622	3627	3637	3649	15	3629	62015	5336	5243	5294	5326	5319	5309	5336	5345	5291	5310	5308	5342	5296	5302	5326	5329	5321	5276	5307	5303	5309	5327	5286	5319	5319	5298	5216	5311	5361	5305	5311	5326	5352	5251	5292	5339	5331	5277	5315	5326	5276	5292	5292	5298	5306	5294	5322	5341	5311	5315	5317	5274	5322	5308	5346	5309	5301	5316	5242	5330	5329	5321	5378	5309	5342	5218	5309	5311	5332	5308	5292	5346	5263	5273	5345	5321	5299	5301	5331	5282	5303	5313	5332	5288	5295	5338	5334	5314	5302	5840	5253	5301	5294	5282	5323	5331	5285	5245	5293	5313	5302	5297	5307	5313	5287	5274	5330	5311	5286	5322	5301	5267	5299	5319	5312	5250	5254	6672	5312	5331	5247	5292	5293	15	5248	466	144	8559.8050000000	87
0001	62015	3603	3604	3631	3632	3605	3612	3621	3654	3584	3608	3676	3641	3626	3614	3654	3593	3612	3630	3654	3649	3641	3652	3600	3656	3629	3605	3653	3663	3637	3593	3644	3650	3662	3608	3648	3660	3633	3626	3650	3641	3618	3648	3645	3645	3612	3642	3636	3595	3634	3640	3662	3631	3630	3643	3608	3659	3634	3653	3650	3650	3613	3577	3655	3637	3619	3599	3655	3623	3693	3638	3634	3646	3560	3664	3647	3617	3617	3651	3651	3577	3627	3659	3648	3616	3617	3657	3572	3605	3622	3648	3650	3613	3622	3609	3643	3623	3618	3636	3648	3643	3636	3650	3643	3636	3598	3651	3648	3637	3639	3656	3626	3567	3625	3657	3645	3600	3635	3683	3605	3612	3626	3653	3628	15	3627	62015	5320	5273	5276	5309	5293	5267	5297	5307	5325	5234	5272	5340	5299	5279	5271	5313	5264	5272	5304	5321	5275	5294	5306	5225	5311	5284	5241	5315	5321	5302	5248	5291	5333	5293	5254	5297	5341	5247	5270	5292	5338	5255	5296	5290	5290	5282	5315	5326	5268	5315	5313	5319	5296	5278	5319	5233	5267	5275	5278	5311	5290	5310	5345	5301	5316	5266	5252	5289	5319	5342	5286	5329	5289	5227	5317	5320	5288	5286	5300	5301	5232	5274	5321	5313	5293	5276	5346	5221	5285	5850	5299	5299	5281	5268	5312	5312	5265	5272	5244	5329	5299	5261	5291	5297	5331	5218	5309	5321	5293	5295	5265	5292	5220	5265	5325	5318	5246	6606	5337	5268	5237	5266	5323	15	5243	244	145	8567.4790000000	251
0001	62015	3603	3639	3624	3574	3615	3636	3620	3533	3593	3615	3603	3622	3649	3635	3608	3616	3628	3586	3636	3623	3625	3615	3600	3646	3562	3616	3612	3610	3629	3654	3634	3599	3641	3646	3632	3595	3640	3644	3621	3622	3661	3642	3575	3615	3639	3617	3633	3633	3644	3585	3617	3617	3656	3627	3626	3641	3607	3625	3665	3620	3602	3636	3628	3603	3636	3650	3601	3568	3638	3644	3593	3605	3652	3659	3565	3603	3658	3643	3618	3650	3639	3604	3603	3605	3645	3603	3638	3631	3606	3629	3622	3610	3592	3627	3615	3625	3606	3641	3614	3602	3657	3604	3614	3644	3654	3625	3540	3642	3634	3629	3571	3636	3669	3640	3627	3625	3633	3594	3611	3616	3646	3622	3642	15	3620	62015	5311	5197	5277	5294	5303	5260	5278	5304	5285	5296	5229	5274	5260	5290	5277	5267	5263	5281	5250	5245	5300	5304	5257	5264	5297	5287	5193	5294	5327	5268	5285	5293	5316	5210	5273	5305	5306	5214	5272	5311	5288	5268	5262	5280	5220	5265	5278	5325	5315	5313	5283	5240	5291	5297	5287	5282	5281	5299	5217	5304	5288	5293	5338	5309	5298	5233	5268	5276	5322	5225	5282	5317	5231	5218	5332	5308	5254	5276	5291	5292	5284	5290	5283	5235	5307	5277	5300	5282	5281	5818	5228	5286	5287	5248	5267	5297	5289	5286	5263	5293	5267	5222	5276	5322	5289	5278	5303	5317	5224	5268	5253	5287	5271	5260	5313	5245	5232	6580	5296	5329	5245	5274	5271	15	5226	410	146	8575.1500000000	151
0001	62015	3633	3587	3618	3665	3632	3610	3627	3621	3589	3601	3638	3627	3598	3597	3627	3583	3638	3630	3640	3620	3619	3642	3592	3643	3620	3614	3609	3658	3627	3625	3627	3625	3629	3547	3657	3650	3620	3599	3645	3653	3577	3618	3666	3632	3610	3604	3637	3640	3621	3613	3645	3595	3640	3622	3628	3636	3617	3620	3623	3623	3652	3610	3636	3625	3631	3589	3619	3622	3615	3609	3629	3623	3590	3622	3652	3637	3585	3609	3659	3635	3596	3609	3642	3597	3609	3624	3634	3598	3588	3622	3579	3613	3624	3624	3609	3606	3601	3586	3610	3641	3624	3589	3658	3619	3603	3637	3616	3627	3566	3634	3634	3581	3599	3643	3646	3564	3582	3627	3614	3598	3603	3620	3572	15	3596	62015	5279	5291	5305	5234	5286	5279	5293	5292	5297	5307	5208	5275	5280	5270	5256	5315	5286	5214	5286	5322	5259	5213	5306	5317	5254	5247	5279	5311	5224	5250	5303	5299	5301	5245	5293	5226	5282	5268	5245	5250	5294	5298	5246	5263	5273	5296	5249	5292	5303	5283	5288	5300	5281	5224	5324	5287	5240	5261	5286	5282	5182	5315	5411	5263	5249	5285	5291	5253	5282	5288	5290	5241	5252	5273	5306	5260	5299	5281	5217	5260	5291	5306	5264	5299	5275	5232	5304	5285	5257	5819	5261	5279	5243	5299	5310	5268	5194	5292	5295	5273	5233	5296	5272	5213	5280	5284	5269	5271	5285	5298	5189	5257	5258	5268	5262	5266	5254	6571	5259	5299	5238	5228	5280	15	5217	596	147	8582.8250000000	51
0001	62015	3567	3593	3628	3642	3608	3585	3610	3576	3603	3592	3615	3616	3599	3613	3570	3616	3618	3610	3632	3609	3615	3590	3632	3629	3588	3572	3635	3614	3583	3594	3636	3600	3541	3599	3656	3616	3579	3591	3643	3584	3594	3610	3617	3601	3588	3636	3595	3628	3606	3613	3571	3598	3617	3611	3599	3635	3595	3581	3606	3616	3631	3610	3631	3607	3560	3635	3633	3592	3571	3618	3616	3592	3582	3629	3641	3560	3592	3625	3631	3593	3609	3601	3549	3603	3568	3589	3608	3591	3609	3576	3640	3597	3597	3591	3634	3591	3592	3627	3595	3600	3574	3629	3649	3588	3606	3639	3617	3536	3609	3639	3587	3562	3599	3631	3587	3581	3605	3627	3572	3596	3595	3597	3608	15	3594	62015	5246	5239	5284	5276	5196	5268	5271	5269	5250	5278	5240	5220	5272	5290	5253	5217	5258	5273	5249	5259	5257	5287	5215	5237	5274	5263	5222	5233	5276	5208	5291	5238	5289	5250	5256	5246	5251	5233	5258	5254	5224	5274	5261	5230	5266	5255	5279	5213	5299	5314	5248	5239	5284	5268	5187	5242	5261	5251	5217	5255	5272	5274	5331	5235	5301	5209	5225	5239	5291	5244	5262	5243	5184	5238	5296	5228	5262	5269	5251	5177	5265	5290	5206	5249	5267	5251	5214	5250	5286	5806	5167	5269	5288	5238	5252	5259	5276	5205	5189	5266	5256	5236	5227	5270	5214	5230	5222	5257	5270	5252	5211	5221	5265	5254	5250	5222	5247	6577	5250	5291	5227	5235	5200	15	5197	403	148	8590.4960000000	176
0001	62015	3578	3588	3591	3590	3613	3633	3598	3590	3558	3596	3633	3604	3610	3642	3604	3554	3635	3643	3613	3604	3615	3626	3545	3589	3625	3595	3581	3599	3646	3599	3595	3597	3640	3549	3601	3611	3640	3615	3608	3582	3590	3626	3602	3596	3610	3618	3601	3544	3612	3599	3616	3567	3609	3626	3611	3605	3611	3623	3563	3620	3629	3594	3584	3632	3610	3556	3594	3608	3626	3581	3570	3606	3600	3607	3579	3593	3576	3593	3596	3618	3619	3627	3591	3557	3608	3620	3591	3590	3614	3624	3549	3633	3598	3594	3582	3604	3599	3595	3578	3612	3614	3528	3606	3652	3607	3575	3581	3637	3573	3591	3599	3584	3624	3619	3612	3574	3614	3592	3583	3598	3603	3594	3566	15	3592	62015	5179	5228	5278	5250	5224	5263	5266	5205	5253	5266	5221	5245	5257	5286	5192	5284	5214	5230	5246	5265	5242	5249	5258	5255	5238	5207	5250	5253	5237	5246	5308	5251	5186	5245	5291	5234	5231	5245	5245	5186	5249	5284	5268	5219	5253	5273	5255	5247	5255	5284	5219	5243	5250	5265	5260	5244	5230	5216	5230	5232	5233	5274	5344	5225	5230	5273	5253	5219	5223	5277	5261	5238	5221	5264	5293	5175	5245	5272	5230	5197	5237	5277	5177	5232	5245	5276	5244	5256	5260	5791	5239	5241	5251	5193	5255	5255	5247	5253	5214	5228	5178	5252	5217	5203	5292	5262	5235	5167	5261	5261	5208	5170	5284	5265	5229	5214	5257	6576	5209	5280	5233	5238	5238	15	5187	416	149	8598.1700000000	197
0001	62015	3587	3592	3610	3603	3598	3580	3628	3600	3582	3575	3644	3598	3548	3599	3633	3611	3598	3591	3646	3535	3569	3611	3606	3584	3580	3620	3610	3587	3576	3592	3577	3597	3616	3588	3585	3595	3596	3558	3598	3612	3603	3596	3616	3612	3550	3611	3596	3608	3556	3641	3612	3582	3589	3608	3637	3560	3557	3631	3620	3586	3585	3586	3588	3577	3568	3602	3620	3586	3603	3557	3614	3600	3582	3598	3595	3593	3587	3601	3608	3603	3542	3618	3614	3572	3571	3588	3627	3518	3573	3629	3608	3578	3598	3637	3623	3590	3593	3637	3573	3567	3624	3608	3602	3606	3593	3575	3619	3603	3599	3592	3593	3601	3544	3590	3610	3607	3581	3619	3614	3592	3599	3615	3605	15	3581	62015	5180	5214	5267	5240	5236	5249	5251	5213	5268	5233	5222	5245	5248	5218	5225	5276	5248	5177	5200	5285	5247	5189	5230	5243	5226	5149	5225	5273	5250	5205	5269	5270	5221	5218	5234	5273	5236	5228	5245	5211	5249	5249	5233	5184	5239	5235	5264	5259	5258	5245	5216	5261	5237	5222	5277	5258	5202	5192	5254	5273	5221	5236	5365	5263	5211	5205	5269	5228	5206	5202	5242	5276	5210	5231	5279	5181	5261	5239	5248	5237	5229	5286	5215	5238	5256	5248	5220	5243	5236	5779	5245	5248	5232	5173	5255	5251	5221	5211	5261	5253	5162	5225	5248	5255	5252	5226	5286	5253	5254	5243	5198	5208	5242	5232	5244	5254	5215	6544	5203	5287	5206	5211	5252	15	5190	532	150	8605.8400000000	156
0001	62015	3587	3553	3578	3582	3594	3607	3610	3601	3535	3585	3594	3585	3573	3606	3593	3575	3601	3618	3606	3541	3589	3633	3592	3587	3591	3621	3532	3578	3598	3608	3582	3591	3615	3556	3611	3600	3625	3571	3581	3603	3634	3621	3586	3591	3544	3588	3608	3585	3625	3618	3596	3529	3588	3628	3594	3590	3617	3592	3604	3601	3623	3587	3549	3582	3634	3594	3583	3597	3611	3535	3565	3587	3629	3579	3563	3587	3576	3578	3680	3648	3570	3595	3583	3585	3592	3603	3584	3538	3599	3606	3587	3586	3608	3603	3547	3581	3589	3594	3562	3584	3625	3561	3565	3612	3595	3549	3568	3627	3601	3582	3584	3611	3573	3596	3584	3612	3595	3594	3584	3561	3584	3572	3561	15	3566	62015	5228	5253	5252	5197	5214	5265	5254	5216	5238	5267	5167	5228	5230	5243	5232	5224	5221	5167	5243	5259	5223	5194	5244	5229	5211	5227	5199	5234	5177	5231	5271	5214	5241	5241	5205	5172	5259	5240	5234	5182	5247	5280	5198	5191	5253	5255	5195	5227	5273	5241	5229	5237	5235	5198	5245	5224	5195	5240	5233	5233	5174	5270	5335	5233	5218	5229	5223	5193	5247	5241	5190	5180	5242	5227	5229	5200	5261	5257	5166	5121	5229	5283	5204	5232	5255	5239	5229	5212	5246	5738	5207	5228	5238	5222	5249	5229	5169	5245	5232	5223	5198	5240	5219	5175	5267	5221	5225	5194	5250	5233	5158	5215	5255	5206	5162	5250	5237	6519	5200	5257	5226	5151	5216	15	5161	677	151	8613.5130000000	12
0001	62015	3606	3613	3570	3583	3619	3615	3543	3573	3605	3584	3567	3599	3592	3590	3572	3594	3621	3536	3587	3600	3578	3599	3592	3629	3554	3565	3583	3617	3594	3567	3602	3584	3603	3556	3569	3548	3612	3587	3565	3594	3596	3576	3537	3595	3610	3591	3581	3608	3611	3559	3583	3583	3609	3539	3589	3612	3576	3571	3607	3600	3525	3547	3604	3571	3556	3580	3602	3534	3582	3560	3563	3608	3575	3579	3578	3585	3584	3556	3539	3590	3586	3556	3557	3599	3571	3509	3578	3568	3578	3572	3578	3591	3570	3580	3594	3561	3559	3592	3606	3600	3557	3567	3611	3536	3573	3573	3596	3564	3567	3574	3554	3573	3562	3572	3556	3600	3582	3560	3589	3594	3571	3535	3562	15	3561	62015	5208	5167	5234	5180	5213	5185	5239	5206	5226	5201	5174	5245	5246	5210	5195	5252	5248	5189	5216	5254	5225	5145	5239	5221	5210	5201	5208	5204	5177	5178	5249	5204	5195	5181	5245	5215	5218	5209	5230	5156	5219	5226	5226	5206	5206	5195	5192	5250	5218	5222	5206	5232	5210	5187	5222	5207	5192	5163	5209	5247	5190	5237	5306	5236	5161	5204	5232	5213	5202	5218	5223	5192	5170	5223	5250	5162	5206	5239	5207	5194	5200	5246	5160	5219	5226	5252	5256	5229	5214	5707	5203	5213	5199	5152	5260	5237	5157	5213	5214	5211	5134	5200	5212	5193	5222	5236	5242	5142	5235	5223	5186	5166	5215	5255	5217	5212	5215	6530	5169	5232	5187	5200	5210	15	5155	543	152	8621.1820000000	197
0001	62015	3569	3602	3522	3566	3593	3583	3530	3551	3588	3554	3562	3582	3582	3538	3563	3590	3588	3574	3579	3595	3536	3554	3552	3582	3545	3580	3576	3573	3589	3585	3559	3515	3604	3590	3557	3566	3602	3588	3523	3585	3600	3613	3537	3593	3580	3569	3535	3589	3586	3523	3572	3577	3573	3550	3582	3586	3549	3564	3547	3590	3580	3555	3575	3554	3602	3574	3562	3538	3584	3565	3540	3583	3607	3574	3509	3558	3582	3555	3553	3593	3584	3541	3546	3575	3584	3525	3542	3568	3535	3530	3525	3569	3521	3555	3584	3570	3555	3580	3597	3568	3565	3549	3588	3542	3587	3582	3571	3595	3549	3584	3528	3592	3610	3556	3565	3606	3582	3518	3572	3587	3567	3530	3558	15	3565	62015	5191	5190	5168	5220	5194	5171	5153	5214	5214	5190	5167	5246	5227	5154	5184	5237	5183	5113	5204	5248	5182	5162	5216	5195	5130	5206	5185	5203	5212	5178	5251	5161	5205	5180	5209	5164	5228	5178	5212	5216	5205	5200	5138	5197	5215	5164	5213	5228	5208	5132	5225	5237	5195	5165	5218	5220	5161	5189	5186	5193	5143	5209	5295	5194	5188	5183	5212	5125	5200	5188	5179	5171	5179	5191	5214	5177	5198	5211	5145	5198	5193	5191	5195	5209	5199	5160	5224	5213	5175	5716	5318	5220	5141	5188	5222	5192	5100	5215	5191	5185	5165	5208	5197	5136	5189	5208	5200	5191	5204	5239	5119	5179	5200	5202	5174	5175	5175	6503	5210	5235	5134	5157	5229	15	5148	373	153	8628.8540000000	163
