SN	INTTIME(LU)	LU(397.65)	LU(400.94)	LU(404.24)	LU(407.54)	LU(410.84)	LU(414.13)	LU(417.43)	LU(420.73)	LU(424.03)	LU(427.32)	LU(430.62)	LU(433.92)	LU(437.22)	LU(440.51)	LU(443.81)	LU(447.11)	LU(450.4)	LU(453.7)	LU(457)	LU(460.29)	LU(463.59)	LU(466.89)	LU(470.18)	LU(473.48)	LU(476.77)	LU(480.07)	LU(483.37)	LU(486.66)	LU(489.96)	LU(493.25)	LU(496.54)	LU(499.84)	LU(503.13)	LU(506.43)	LU(509.72)	LU(513.01)	LU(516.31)	LU(519.6)	LU(522.89)	LU(526.19)	LU(529.48)	LU(532.77)	LU(536.06)	LU(539.35)	LU(542.64)	LU(545.93)	LU(549.22)	LU(552.51)	LU(555.8)	LU(559.09)	LU(562.38)	LU(565.67)	LU(568.95)	LU(572.24)	LU(575.53)	LU(578.81)	LU(582.1)	LU(585.39)	LU(588.67)	LU(591.96)	LU(595.24)	LU(598.52)	LU(601.81)	LU(605.09)	LU(608.37)	LU(611.65)	LU(614.93)	LU(618.21)	LU(621.49)	LU(624.77)	LU(628.05)	LU(631.33)	LU(634.61)	LU(637.89)	LU(641.16)	LU(644.44)	LU(647.71)	LU(650.99)	LU(654.26)	LU(657.54)	LU(660.81)	LU(664.08)	LU(667.35)	LU(670.62)	LU(673.89)	LU(677.16)	LU(680.43)	LU(683.7)	LU(686.97)	LU(690.24)	LU(693.5)	LU(696.77)	LU(700.03)	LU(703.29)	LU(706.56)	LU(709.82)	LU(713.08)	LU(716.34)	LU(719.6)	LU(722.86)	LU(726.12)	LU(729.38)	LU(732.63)	LU(735.89)	LU(739.14)	LU(742.4)	LU(745.65)	LU(748.9)	LU(752.15)	LU(755.4)	LU(758.65)	LU(761.9)	LU(765.15)	LU(768.4)	LU(771.64)	LU(774.89)	LU(778.13)	LU(781.38)	LU(784.62)	LU(787.86)	LU(791.1)	LU(794.34)	LU(797.58)	DARK_SAMP(LU)	DARK_AVE(LU)	INTTIME(ED)	ED(396.59)	ED(399.89)	ED(403.2)	ED(406.51)	ED(409.82)	ED(413.13)	ED(416.44)	ED(419.75)	ED(423.05)	ED(426.36)	ED(429.67)	ED(432.98)	ED(436.29)	ED(439.6)	ED(442.91)	ED(446.21)	ED(449.52)	ED(452.83)	ED(456.14)	ED(459.45)	ED(462.75)	ED(466.06)	ED(469.37)	ED(472.67)	ED(475.98)	ED(479.29)	ED(482.6)	ED(485.9)	ED(489.21)	ED(492.51)	ED(495.82)	ED(499.13)	ED(502.43)	ED(505.74)	ED(509.04)	ED(512.35)	ED(515.65)	ED(518.96)	ED(522.26)	ED(525.56)	ED(528.87)	ED(532.17)	ED(535.47)	ED(538.78)	ED(542.08)	ED(545.38)	ED(548.68)	ED(551.98)	ED(555.28)	ED(558.58)	ED(561.88)	ED(565.18)	ED(568.48)	ED(571.78)	ED(575.08)	ED(578.38)	ED(581.67)	ED(584.97)	ED(588.27)	ED(591.56)	ED(594.86)	ED(598.15)	ED(601.45)	ED(604.74)	ED(608.04)	ED(611.33)	ED(614.62)	ED(617.92)	ED(621.21)	ED(624.5)	ED(627.79)	ED(631.08)	ED(634.37)	ED(637.66)	ED(640.94)	ED(644.23)	ED(647.52)	ED(650.81)	ED(654.09)	ED(657.38)	ED(660.66)	ED(663.94)	ED(667.23)	ED(670.51)	ED(673.79)	ED(677.07)	ED(680.35)	ED(683.63)	ED(686.91)	ED(690.19)	ED(693.47)	ED(696.75)	ED(700.02)	ED(703.3)	ED(706.57)	ED(709.85)	ED(713.12)	ED(716.39)	ED(719.66)	ED(722.93)	ED(726.2)	ED(729.47)	ED(732.74)	ED(736.01)	ED(739.27)	ED(742.54)	ED(745.8)	ED(749.07)	ED(752.33)	ED(755.59)	ED(758.85)	ED(762.11)	ED(765.37)	ED(768.63)	ED(771.89)	ED(775.15)	ED(778.4)	ED(781.66)	ED(784.91)	ED(788.16)	ED(791.42)	ED(794.67)	ED(797.92)	DARK_SAMP(ED)	DARK_AVE(ED)	ALTIM	FRAME(COUNTER)	TIMER	CHECK(SUM)
0001	30765	3590	3559	3567	3578	3522	3599	3586	3560	3591	3538	3597	3577	3587	3589	3515	3566	3587	3573	3564	3541	3587	3564	3567	3594	3500	3588	3603	3599	3565	3563	3607	3571	3571	3583	3517	3574	3584	3592	3577	3592	3635	3604	3569	3597	3521	3571	3614	3600	3599	3605	3608	3557	3596	3602	3530	3594	3572	3610	3587	3577	3583	3522	3583	3588	3526	3573	3572	3597	3549	3568	3564	3491	3560	3579	3560	3556	3571	3600	3548	3550	3572	3487	3561	3600	3575	3545	3538	3577	3547	3555	3563	3500	3594	3568	3593	3537	3532	3600	3560	3531	3595	3491	3557	3591	3595	3579	3536	3548	3557	3565	3581	3504	3567	3575	3586	3548	3561	3581	3546	3563	3566	3516	3581	15	3549	1469	2708	2748	2714	2716	2705	2723	2688	2710	2704	2658	2724	2746	2751	2733	2720	2755	2736	2731	2772	2683	2756	2780	2773	2734	2745	2773	2731	2747	2775	2684	2754	2752	2762	2732	2732	2766	2704	2768	2780	2699	2717	2751	2757	2737	2755	2768	2718	2766	2770	2736	2742	2725	2762	2755	2732	2776	2708	2762	2760	2769	2719	2731	2784	2753	2768	2764	2707	2755	2757	2758	2752	2764	2784	2748	2766	2775	2697	2762	2746	2769	2768	2760	2802	2759	2749	2779	2674	2748	2752	2795	2761	2768	2781	2724	2758	2762	2681	2734	2753	2761	2736	2749	2757	2671	2725	2758	2699	2725	2747	2771	2708	2671	2722	2668	2729	2730	2725	2801	2728	2783	2726	2730	2758	15	2308	579	53	8006.0570000000	139
0001	30765	3526	3563	3556	3544	3611	3489	3565	3594	3588	3546	3546	3581	3572	3564	3582	3509	3583	3575	3579	3568	3536	3587	3552	3590	3588	3508	3583	3590	3572	3585	3576	3606	3560	3587	3592	3519	3562	3565	3603	3593	3597	3597	3549	3579	3603	3542	3573	3596	3610	3593	3588	3584	3543	3570	3593	3573	3575	3557	3602	3572	3534	3572	3500	3557	3603	3576	3566	3559	3593	3549	3548	3562	3503	3544	3564	3574	3545	3566	3560	3561	3540	3553	3506	3575	3573	3575	3563	3573	3547	3528	3558	3603	3507	3559	3572	3549	3538	3578	3545	3491	3549	3562	3534	3558	3570	3548	3536	3552	3591	3513	3557	3573	3562	3557	3535	3545	3559	3550	3593	3481	3579	3584	3575	15	3540	1469	2701	2738	2731	2725	2693	2758	2690	2696	2720	2654	2707	2739	2732	2735	2722	2754	2730	2733	2734	2700	2744	2769	2782	2719	2708	2794	2744	2756	2764	2683	2742	2761	2746	2736	2748	2758	2734	2760	2773	2703	2750	2740	2762	2754	2766	2789	2707	2756	2784	2700	2735	2740	2795	2756	2755	2786	2712	2763	2749	2716	2748	2746	2765	2760	2745	2769	2693	2754	2750	2752	2752	2720	2787	2770	2750	2748	2674	2741	2773	2754	2752	2763	2798	2748	2720	2755	2663	2766	2768	2819	2742	2750	2775	2736	2740	2738	2697	2732	2781	2778	2709	2735	2740	2674	2726	2730	2659	2750	2734	2745	2688	2661	2693	2673	2717	2760	2705	2781	2720	2767	2714	2740	2749	15	2304	486	54	8012.0560000000	28
0001	30765	3574	3559	3551	3585	3567	3548	3587	3509	3544	3555	3591	3566	3578	3585	3522	3563	3589	3507	3561	3551	3588	3587	3573	3603	3507	3564	3581	3525	3584	3571	3603	3567	3584	3588	3519	3587	3609	3552	3560	3589	3595	3600	3571	3615	3483	3585	3607	3618	3607	3571	3609	3568	3555	3604	3533	3574	3611	3594	3596	3566	3585	3571	3571	3587	3517	3569	3587	3569	3584	3559	3580	3553	3563	3616	3525	3557	3587	3573	3568	3587	3587	3529	3555	3579	3536	3550	3562	3578	3573	3562	3586	3528	3575	3574	3554	3551	3545	3592	3559	3568	3571	3487	3575	3572	3571	3584	3535	3583	3578	3549	3579	3485	3564	3598	3595	3563	3551	3577	3566	3539	3564	3472	3552	15	3559	1469	2693	2717	2761	2713	2702	2729	2688	2698	2739	2661	2708	2725	2744	2708	2718	2755	2684	2737	2764	2725	2762	2737	2754	2731	2727	2770	2676	2744	2775	2748	2729	2725	2763	2733	2729	2755	2692	2743	2747	2749	2735	2715	2748	2741	2737	2773	2680	2746	2749	2747	2741	2751	2787	2749	2751	2771	2681	2749	2765	2773	2745	2768	2783	2732	2729	2750	2681	2739	2743	2766	2760	2764	2767	2696	2748	2757	2717	2763	2755	2788	2756	2771	2770	2684	2742	2748	2728	2779	2761	2821	2741	2737	2760	2688	2735	2764	2758	2753	2744	2771	2722	2720	2741	2664	2734	2752	2761	2752	2712	2745	2683	2652	2726	2655	2726	2757	2770	2759	2697	2750	2691	2736	2739	15	2314	553	55	8018.0560000000	119
0001	30765	3584	3563	3554	3593	3558	3546	3575	3493	3588	3592	3590	3559	3551	3595	3560	3559	3570	3507	3589	3607	3588	3566	3566	3606	3535	3583	3602	3519	3589	3566	3604	3551	3594	3581	3526	3611	3610	3543	3581	3577	3609	3568	3599	3618	3533	3582	3583	3589	3607	3561	3604	3579	3585	3630	3529	3609	3594	3615	3576	3568	3595	3554	3589	3604	3501	3570	3582	3594	3574	3569	3601	3584	3569	3583	3523	3548	3587	3586	3563	3585	3594	3544	3564	3572	3518	3564	3573	3582	3563	3564	3582	3507	3559	3593	3542	3565	3564	3601	3545	3549	3601	3521	3581	3589	3588	3591	3549	3584	3571	3552	3595	3505	3588	3603	3586	3570	3538	3612	3567	3544	3592	3516	3564	15	3562	1469	2649	2718	2721	2742	2690	2697	2745	2674	2728	2745	2703	2720	2726	2740	2738	2714	2759	2693	2748	2775	2743	2747	2733	2758	2746	2744	2770	2702	2749	2753	2764	2746	2709	2764	2753	2746	2753	2675	2719	2761	2740	2754	2765	2771	2725	2719	2751	2678	2714	2741	2768	2754	2755	2770	2694	2764	2754	2700	2751	2738	2792	2771	2745	2760	2695	2763	2762	2746	2738	2743	2773	2742	2734	2754	2664	2757	2762	2744	2747	2736	2760	2745	2740	2768	2703	2770	2792	2796	2749	2761	2771	2742	2746	2773	2657	2764	2756	2775	2738	2737	2740	2698	2737	2756	2690	2709	2741	2757	2725	2742	2714	2621	2699	2736	2674	2726	2704	2799	2740	2770	2780	2685	2734	15	2308	783	56	8024.0560000000	21
0001	30765	3527	3571	3550	3544	3580	3509	3579	3561	3582	3565	3554	3601	3596	3561	3565	3507	3589	3580	3593	3570	3562	3603	3565	3592	3561	3504	3584	3574	3588	3578	3573	3593	3556	3568	3613	3527	3568	3576	3605	3585	3601	3610	3535	3585	3598	3565	3603	3596	3618	3578	3567	3588	3524	3577	3608	3605	3602	3577	3574	3591	3575	3582	3525	3568	3609	3606	3581	3550	3590	3566	3576	3583	3529	3585	3593	3578	3563	3585	3575	3541	3569	3602	3514	3547	3575	3572	3575	3570	3575	3529	3585	3590	3538	3549	3537	3587	3562	3584	3591	3496	3552	3590	3560	3552	3536	3606	3562	3564	3581	3505	3546	3574	3595	3561	3530	3586	3545	3569	3573	3469	3573	3574	3560	15	3562	1469	2676	2701	2688	2738	2717	2690	2723	2637	2680	2741	2706	2711	2757	2733	2698	2697	2735	2679	2736	2761	2772	2754	2730	2755	2701	2740	2758	2692	2739	2791	2751	2724	2753	2770	2687	2735	2763	2737	2723	2738	2757	2735	2743	2758	2675	2754	2758	2767	2726	2721	2745	2734	2727	2761	2704	2747	2753	2770	2734	2738	2778	2781	2773	2786	2677	2768	2741	2752	2759	2767	2777	2739	2742	2759	2665	2741	2752	2780	2749	2762	2760	2713	2740	2771	2717	2766	2772	2798	2755	2780	2754	2679	2740	2773	2752	2770	2756	2758	2732	2715	2736	2675	2737	2769	2740	2727	2710	2757	2719	2731	2717	2618	2724	2763	2759	2720	2712	2809	2740	2726	2739	2676	2718	15	2310	947	57	8030.0550000000	161
0001	30765	3589	3599	3563	3577	3598	3545	3562	3578	3515	3555	3592	3609	3587	3592	3591	3509	3599	3581	3556	3578	3564	3607	3561	3588	3576	3504	3584	3605	3588	3609	3566	3591	3555	3567	3616	3523	3585	3616	3613	3596	3598	3608	3579	3609	3605	3543	3616	3613	3606	3596	3593	3628	3563	3588	3622	3537	3598	3580	3607	3600	3591	3596	3551	3562	3620	3530	3569	3552	3614	3565	3591	3612	3519	3592	3583	3560	3584	3568	3606	3566	3566	3604	3507	3564	3585	3581	3578	3582	3601	3569	3552	3581	3509	3567	3608	3566	3561	3583	3608	3532	3582	3589	3521	3597	3581	3580	3577	3565	3594	3521	3573	3597	3522	3565	3571	3592	3568	3569	3596	3500	3573	3591	3579	15	3560	1469	2706	2683	2678	2721	2695	2718	2733	2655	2700	2720	2728	2705	2736	2756	2690	2740	2747	2664	2732	2741	2762	2746	2759	2779	2688	2753	2751	2718	2748	2739	2775	2759	2747	2731	2667	2763	2769	2761	2756	2732	2763	2732	2728	2747	2660	2758	2787	2787	2758	2739	2779	2752	2736	2775	2684	2764	2774	2776	2749	2734	2748	2733	2753	2785	2689	2763	2755	2764	2761	2762	2780	2716	2765	2755	2716	2738	2748	2799	2754	2765	2777	2712	2741	2761	2750	2773	2741	2789	2765	2780	2774	2687	2738	2783	2780	2771	2742	2781	2735	2732	2750	2648	2736	2784	2758	2747	2744	2756	2724	2705	2730	2630	2714	2739	2754	2736	2750	2794	2685	2738	2762	2687	2743	15	2312	1079	58	8036.0560000000	119
0001	30765	3565	3588	3571	3575	3577	3493	3559	3580	3600	3564	3567	3610	3582	3567	3572	3522	3590	3624	3611	3577	3607	3611	3529	3582	3580	3530	3596	3592	3613	3566	3585	3601	3546	3608	3604	3568	3587	3575	3599	3586	3612	3609	3548	3622	3579	3628	3608	3601	3627	3604	3597	3616	3546	3591	3596	3632	3615	3580	3634	3579	3595	3613	3526	3576	3593	3601	3596	3590	3585	3542	3572	3587	3547	3591	3607	3595	3565	3603	3586	3508	3598	3609	3565	3570	3566	3589	3562	3557	3600	3538	3587	3588	3584	3586	3561	3591	3559	3571	3589	3514	3577	3574	3601	3598	3560	3610	3563	3551	3590	3516	3559	3555	3588	3579	3589	3593	3522	3552	3581	3507	3564	3578	3585	15	3557	1469	2699	2730	2671	2720	2680	2718	2727	2733	2747	2656	2715	2739	2736	2729	2716	2765	2744	2734	2770	2677	2735	2765	2751	2744	2747	2773	2743	2747	2760	2667	2741	2775	2789	2774	2731	2776	2724	2744	2779	2675	2745	2761	2752	2748	2753	2772	2716	2770	2795	2720	2746	2751	2773	2737	2727	2777	2703	2763	2783	2745	2752	2725	2778	2773	2762	2757	2698	2729	2778	2771	2744	2771	2771	2752	2744	2754	2711	2728	2764	2778	2756	2766	2787	2723	2741	2770	2683	2750	2775	2810	2764	2748	2779	2690	2756	2787	2761	2766	2748	2765	2723	2754	2747	2693	2729	2770	2760	2746	2706	2734	2714	2701	2703	2666	2729	2752	2765	2786	2717	2773	2734	2754	2781	15	2312	951	59	8042.0560000000	50
0001	30765	3534	3538	3597	3522	3574	3576	3587	3576	3571	3571	3549	3569	3592	3528	3593	3587	3596	3589	3582	3596	3540	3598	3574	3547	3558	3566	3577	3582	3565	3612	3503	3576	3579	3582	3589	3572	3601	3604	3582	3623	3534	3593	3605	3616	3584	3583	3598	3585	3577	3590	3543	3594	3612	3613	3602	3588	3597	3541	3604	3622	3554	3574	3593	3598	3553	3560	3602	3506	3588	3593	3556	3567	3548	3597	3564	3556	3589	3515	3573	3593	3591	3579	3555	3585	3584	3569	3574	3515	3559	3600	3583	3565	3558	3585	3561	3549	3557	3507	3573	3577	3593	3568	3561	3574	3524	3555	3568	3521	3578	3565	3564	3557	3535	3587	3510	3571	3588	3580	3567	3549	3561	3548	3555	15	3559	1469	2659	2710	2723	2734	2694	2709	2728	2656	2729	2740	2716	2708	2709	2754	2707	2746	2751	2686	2756	2777	2759	2755	2726	2778	2753	2734	2771	2678	2741	2757	2768	2747	2763	2784	2751	2731	2770	2681	2732	2765	2775	2760	2744	2767	2679	2749	2755	2730	2769	2761	2785	2759	2744	2763	2671	2766	2762	2773	2771	2730	2777	2744	2736	2783	2650	2744	2795	2779	2765	2719	2775	2757	2766	2791	2676	2737	2772	2774	2764	2750	2780	2726	2742	2771	2714	2751	2747	2772	2771	2778	2773	2711	2742	2768	2733	2757	2758	2785	2751	2723	2749	2663	2734	2750	2761	2752	2741	2762	2731	2721	2730	2634	2717	2745	2749	2721	2729	2806	2703	2741	2774	2691	2739	15	2315	783	60	8048.0570000000	97
0001	30765	3524	3572	3560	3585	3545	3583	3582	3499	3584	3573	3555	3579	3577	3587	3573	3584	3605	3515	3563	3571	3584	3594	3576	3617	3552	3568	3589	3518	3554	3591	3605	3566	3598	3569	3554	3589	3577	3528	3588	3592	3625	3591	3596	3591	3522	3599	3611	3594	3606	3569	3605	3552	3597	3616	3559	3619	3600	3584	3564	3549	3602	3560	3586	3577	3515	3583	3583	3569	3552	3563	3590	3560	3575	3599	3503	3553	3588	3593	3561	3591	3593	3516	3588	3578	3527	3553	3562	3584	3546	3552	3580	3514	3580	3567	3585	3542	3531	3594	3565	3565	3586	3492	3574	3574	3581	3563	3527	3575	3554	3585	3590	3483	3569	3557	3581	3567	3576	3586	3538	3546	3582	3489	3564	15	3556	1469	2672	2726	2702	2697	2713	2638	2687	2726	2744	2691	2732	2734	2687	2718	2717	2705	2735	2744	2758	2720	2732	2757	2663	2751	2773	2757	2753	2719	2765	2738	2740	2757	2688	2763	2762	2741	2732	2727	2768	2741	2760	2776	2666	2754	2745	2770	2745	2775	2791	2713	2752	2754	2679	2738	2755	2785	2733	2773	2773	2678	2740	2773	2747	2770	2745	2810	2741	2739	2774	2678	2771	2766	2754	2794	2728	2754	2734	2733	2785	2680	2758	2784	2747	2741	2733	2779	2739	2741	2769	2699	2719	2749	2761	2760	2761	2788	2705	2731	2771	2698	2732	2718	2746	2746	2746	2754	2669	2727	2744	2731	2711	2685	2721	2719	2709	2743	2659	2783	2758	2761	2760	2714	2726	15	2302	744	61	8054.0560000000	252
0001	30765	3580	3502	3548	3586	3595	3561	3568	3576	3519	3550	3589	3522	3575	3561	3575	3546	3565	3589	3505	3574	3556	3586	3563	3552	3574	3574	3588	3603	3504	3598	3582	3593	3553	3558	3611	3585	3574	3581	3518	3586	3571	3611	3577	3598	3612	3544	3565	3618	3540	3575	3576	3599	3580	3582	3618	3528	3580	3586	3569	3587	3553	3590	3566	3549	3594	3490	3588	3598	3559	3567	3531	3579	3568	3545	3586	3474	3562	3581	3578	3562	3558	3588	3550	3564	3573	3486	3553	3545	3580	3557	3572	3547	3511	3553	3566	3516	3541	3557	3591	3545	3542	3555	3485	3575	3574	3581	3559	3529	3561	3572	3511	3567	3499	3571	3576	3570	3533	3554	3567	3521	3532	3566	3494	15	3544	1469	2700	2703	2722	2714	2688	2733	2655	2720	2726	2736	2708	2735	2743	2695	2730	2748	2712	2744	2729	2772	2739	2727	2749	2693	2741	2776	2754	2752	2725	2741	2747	2747	2787	2690	2750	2766	2765	2729	2722	2772	2751	2746	2761	2678	2733	2757	2764	2750	2768	2781	2714	2740	2747	2690	2726	2752	2793	2763	2746	2741	2688	2750	2768	2754	2747	2748	2776	2745	2740	2756	2699	2752	2786	2791	2753	2727	2772	2746	2741	2770	2694	2748	2758	2768	2730	2757	2791	2743	2755	2802	2674	2742	2745	2776	2750	2782	2768	2666	2741	2768	2714	2732	2717	2755	2734	2709	2756	2664	2726	2755	2706	2683	2666	2720	2737	2703	2761	2724	2743	2753	2747	2738	2707	15	2301	619	62	8060.0570000000	146
