SN	INTTIME(LU)	LU(397.65)	LU(400.94)	LU(404.24)	LU(407.54)	LU(410.84)	LU(414.13)	LU(417.43)	LU(420.73)	LU(424.03)	LU(427.32)	LU(430.62)	LU(433.92)	LU(437.22)	LU(440.51)	LU(443.81)	LU(447.11)	LU(450.4)	LU(453.7)	LU(457)	LU(460.29)	LU(463.59)	LU(466.89)	LU(470.18)	LU(473.48)	LU(476.77)	LU(480.07)	LU(483.37)	LU(486.66)	LU(489.96)	LU(493.25)	LU(496.54)	LU(499.84)	LU(503.13)	LU(506.43)	LU(509.72)	LU(513.01)	LU(516.31)	LU(519.6)	LU(522.89)	LU(526.19)	LU(529.48)	LU(532.77)	LU(536.06)	LU(539.35)	LU(542.64)	LU(545.93)	LU(549.22)	LU(552.51)	LU(555.8)	LU(559.09)	LU(562.38)	LU(565.67)	LU(568.95)	LU(572.24)	LU(575.53)	LU(578.81)	LU(582.1)	LU(585.39)	LU(588.67)	LU(591.96)	LU(595.24)	LU(598.52)	LU(601.81)	LU(605.09)	LU(608.37)	LU(611.65)	LU(614.93)	LU(618.21)	LU(621.49)	LU(624.77)	LU(628.05)	LU(631.33)	LU(634.61)	LU(637.89)	LU(641.16)	LU(644.44)	LU(647.71)	LU(650.99)	LU(654.26)	LU(657.54)	LU(660.81)	LU(664.08)	LU(667.35)	LU(670.62)	LU(673.89)	LU(677.16)	LU(680.43)	LU(683.7)	LU(686.97)	LU(690.24)	LU(693.5)	LU(696.77)	LU(700.03)	LU(703.29)	LU(706.56)	LU(709.82)	LU(713.08)	LU(716.34)	LU(719.6)	LU(722.86)	LU(726.12)	LU(729.38)	LU(732.63)	LU(735.89)	LU(739.14)	LU(742.4)	LU(745.65)	LU(748.9)	LU(752.15)	LU(755.4)	LU(758.65)	LU(761.9)	LU(765.15)	LU(768.4)	LU(771.64)	LU(774.89)	LU(778.13)	LU(781.38)	LU(784.62)	LU(787.86)	LU(791.1)	LU(794.34)	LU(797.58)	DARK_SAMP(LU)	DARK_AVE(LU)	INTTIME(ED)	ED(396.59)	ED(399.89)	ED(403.2)	ED(406.51)	ED(409.82)	ED(413.13)	ED(416.44)	ED(419.75)	ED(423.05)	ED(426.36)	ED(429.67)	ED(432.98)	ED(436.29)	ED(439.6)	ED(442.91)	ED(446.21)	ED(449.52)	ED(452.83)	ED(456.14)	ED(459.45)	ED(462.75)	ED(466.06)	ED(469.37)	ED(472.67)	ED(475.98)	ED(479.29)	ED(482.6)	ED(485.9)	ED(489.21)	ED(492.51)	ED(495.82)	ED(499.13)	ED(502.43)	ED(505.74)	ED(509.04)	ED(512.35)	ED(515.65)	ED(518.96)	ED(522.26)	ED(525.56)	ED(528.87)	ED(532.17)	ED(535.47)	ED(538.78)	ED(542.08)	ED(545.38)	ED(548.68)	ED(551.98)	ED(555.28)	ED(558.58)	ED(561.88)	ED(565.18)	ED(568.48)	ED(571.78)	ED(575.08)	ED(578.38)	ED(581.67)	ED(584.97)	ED(588.27)	ED(591.56)	ED(594.86)	ED(598.15)	ED(601.45)	ED(604.74)	ED(608.04)	ED(611.33)	ED(614.62)	ED(617.92)	ED(621.21)	ED(624.5)	ED(627.79)	ED(631.08)	ED(634.37)	ED(637.66)	ED(640.94)	ED(644.23)	ED(647.52)	ED(650.81)	ED(654.09)	ED(657.38)	ED(660.66)	ED(663.94)	ED(667.23)	ED(670.51)	ED(673.79)	ED(677.07)	ED(680.35)	ED(683.63)	ED(686.91)	ED(690.19)	ED(693.47)	ED(696.75)	ED(700.02)	ED(703.3)	ED(706.57)	ED(709.85)	ED(713.12)	ED(716.39)	ED(719.66)	ED(722.93)	ED(726.2)	ED(729.47)	ED(732.74)	ED(736.01)	ED(739.27)	ED(742.54)	ED(745.8)	ED(749.07)	ED(752.33)	ED(755.59)	ED(758.85)	ED(762.11)	ED(765.37)	ED(768.63)	ED(771.89)	ED(775.15)	ED(778.4)	ED(781.66)	ED(784.91)	ED(788.16)	ED(791.42)	ED(794.67)	ED(797.92)	DARK_SAMP(ED)	DARK_AVE(ED)	ALTIM	FRAME(COUNTER)	TIMER	CHECK(SUM)
0001	15147	3894	4028	4244	4395	4600	4782	4995	5219	5373	5556	5811	6235	6616	7088	7582	8058	8424	8637	8882	8950	9094	9189	9384	9647	9977	10226	10184	10309	10505	10844	11066	11260	11581	11945	12329	12564	12824	13289	14085	14883	15661	16413	16949	17418	17782	18312	18696	18988	19138	19244	19313	19068	18784	18317	17714	16953	16023	14747	13347	12158	11157	10144	9262	8697	8318	7991	7717	7516	7333	7038	6890	6754	6679	6528	6409	6266	6014	5860	5625	5464	5320	5202	5158	5030	5095	5132	5123	5008	4896	4794	4734	4572	4421	4292	4058	3892	3717	3589	3414	3302	3248	3121	3163	3115	3133	3123	3073	3122	3039	3083	3069	3089	3075	3086	3096	3085	3060	3072	3071	3050	3097	3076	3078	15	3188	1469	9970	11468	12379	12416	12570	12619	12646	12562	12444	12222	12261	12958	13956	14983	16097	17352	18557	19615	20563	21523	22321	22824	23439	24069	24662	24818	24297	23639	23177	23025	22397	21636	20810	20220	19715	18933	18224	17895	17958	18125	18402	18825	19139	19446	19816	20309	20599	20937	21040	21140	21178	21259	21365	21424	21663	21797	21941	21635	21287	21172	21343	21660	21884	21957	21813	21414	21128	20808	20430	19891	19430	18999	18793	18510	18143	17598	17135	16704	16287	16267	16405	16471	16300	16095	15878	15499	15111	14385	13643	13174	13049	12990	12799	12749	12726	12555	11799	10908	10285	10021	9934	10088	10453	10616	10788	10803	10788	10645	10355	9489	8128	7529	8085	8993	9425	9520	9499	9395	9165	8942	8742	8554	8453	15	2447	627	196	4235.8060000000	70
0001	15147	3875	4105	4258	4412	4618	4728	4987	5209	5424	5591	5832	6247	6622	7120	7597	8078	8426	8677	8895	9013	9109	9198	9424	9671	9992	10251	10300	10338	10556	10886	11040	11299	11580	12003	12395	12586	12869	13316	14107	14930	15728	16466	17020	17482	17891	18360	18755	19063	19196	19321	19383	19246	18862	18375	17785	16939	16040	14776	13468	12234	11203	10182	9262	8740	8324	8040	7794	7542	7381	7082	6937	6792	6708	6594	6453	6280	6108	5903	5689	5494	5300	5246	5163	5148	5123	5142	5148	4981	4943	4808	4750	4603	4430	4288	4065	3956	3760	3581	3392	3324	3277	3182	3154	3110	3102	3059	3091	3105	3101	3087	3049	3081	3013	3087	3086	3102	3066	3062	3118	3030	3099	3069	3112	15	3180	1469	9710	11089	11970	12099	12185	12244	12235	12211	11983	11816	11885	12567	13485	14458	15558	16746	17867	18909	19852	20737	21478	22022	22583	23176	23725	23913	23335	22723	22372	22176	21591	20795	20052	19413	18885	18283	17562	17226	17280	17473	17682	18094	18423	18721	19054	19507	19923	20170	20224	20286	20419	20404	20539	20653	20851	20981	21046	20877	20385	20318	20538	20851	21020	21052	20940	20549	20269	19984	19665	19107	18641	18323	18088	17785	17418	16975	16452	16038	15751	15667	15778	15806	15737	15413	15263	14974	14583	13847	13114	12743	12509	12462	12357	12296	12248	12056	11442	10546	9926	9730	9628	9731	10050	10329	10438	10471	10406	10332	9949	9161	7934	7334	7840	8648	9140	9133	9126	9090	8903	8647	8441	8348	8194	15	2427	658	197	4236.8060000000	24
0001	15147	3849	4125	4290	4440	4602	4784	5039	5179	5430	5578	5867	6227	6691	7162	7560	8083	8468	8731	8887	9064	9182	9229	9405	9694	10037	10216	10275	10384	10582	10882	11109	11332	11537	11996	12363	12605	12810	13334	14121	14876	15700	16444	17015	17441	17871	18363	18692	19010	19195	19301	19320	19167	18835	18375	17729	16979	16068	14716	13431	12253	11257	10189	9339	8774	8277	8026	7784	7587	7352	7134	6960	6762	6698	6614	6456	6265	6117	5921	5700	5469	5354	5266	5152	5156	5131	5163	5136	5040	4984	4787	4755	4618	4484	4299	4132	3970	3717	3571	3430	3341	3246	3176	3156	3137	3114	3112	3114	3042	3082	3104	3106	3060	3064	3095	3003	3051	3044	3090	3065	3065	3096	3032	3088	15	3187	1469	9594	11095	11963	12075	12137	12235	12270	12089	12005	11803	11894	12515	13465	14487	15477	16770	17916	18964	19859	20787	21565	22044	22634	23227	23812	23926	23439	22815	22429	22203	21620	20832	20000	19489	18941	18328	17552	17229	17288	17421	17732	18087	18457	18736	19106	19556	19869	20198	20268	20334	20362	20475	20577	20713	20826	21017	21118	20791	20468	20381	20617	20824	21027	21130	20892	20613	20274	20038	19646	19135	18695	18268	18057	17786	17447	16948	16472	16051	15728	15636	15778	15820	15648	15474	15237	14995	14534	13795	13076	12583	12521	12424	12321	12242	12189	12035	11279	10439	9822	9610	9492	9651	9992	10233	10319	10389	10359	10149	9896	9058	7814	7156	7665	8573	8940	9100	9009	8969	8724	8502	8345	8101	8029	15	2410	628	198	4238.8070000000	201
0001	15147	3877	4105	4256	4424	4603	4760	4978	5216	5429	5506	5802	6226	6671	7086	7560	8067	8342	8644	8850	9018	9071	9164	9376	9587	9936	10158	10224	10274	10490	10834	10998	11223	11506	11937	12291	12484	12743	13298	14021	14811	15631	16297	16867	17348	17804	18247	18570	18917	19008	19170	19212	19103	18743	18228	17649	16853	15941	14677	13372	12191	11152	10116	9283	8689	8310	7996	7662	7524	7307	7124	6892	6760	6663	6501	6419	6247	6087	5870	5658	5468	5294	5245	5155	5120	5099	5120	5142	5058	4911	4809	4755	4541	4447	4270	4135	3939	3747	3602	3357	3313	3211	3229	3166	3134	3123	3068	3083	3111	3105	3065	3082	3079	3073	3078	3098	3101	3051	3073	3084	3119	3084	3075	3109	15	3192	1469	9831	11326	12190	12231	12376	12461	12476	12381	12239	12056	12044	12740	13716	14760	15813	17090	18240	19244	20186	21179	21938	22447	23016	23670	24226	24362	23836	23233	22759	22602	22018	21248	20441	19833	19357	18563	17898	17557	17641	17761	18080	18449	18717	19095	19458	19919	20267	20546	20647	20691	20752	20866	20977	21025	21193	21400	21494	21224	20834	20765	20898	21221	21444	21500	21307	21000	20686	20338	20011	19503	19036	18650	18399	18151	17758	17270	16805	16366	15969	15928	16090	16140	15979	15750	15562	15186	14816	14098	13376	12938	12788	12731	12543	12496	12447	12258	11584	10737	10087	9840	9724	9914	10250	10439	10583	10629	10586	10436	10191	9340	7980	7405	7950	8811	9243	9333	9320	9175	8992	8772	8610	8446	8314	15	2444	626	199	4239.8070000000	28
0001	15147	3865	4016	4252	4396	4611	4761	4980	5193	5398	5537	5814	6218	6574	7049	7550	8039	8375	8614	8817	8919	9058	9129	9353	9591	9908	10171	10138	10265	10480	10790	10982	11195	11492	11912	12258	12470	12750	13231	14007	14804	15605	16318	16858	17347	17686	18193	18584	18882	19029	19151	19219	18993	18697	18188	17640	16870	15940	14677	13309	12133	11154	10112	9248	8646	8299	7993	7716	7515	7314	7030	6871	6775	6684	6552	6405	6270	6023	5884	5641	5465	5311	5226	5170	5071	5098	5103	5119	5011	4908	4834	4733	4602	4452	4303	4066	3938	3728	3577	3403	3344	3260	3147	3150	3104	3138	3086	3105	3123	3049	3095	3052	3095	3061	3079	3090	3087	3055	3069	3102	3026	3070	3076	3110	15	3188	1469	9849	11277	12144	12286	12343	12397	12421	12363	12173	11967	12072	12758	13677	14652	15792	16949	18148	19180	20143	21089	21823	22390	22883	23554	24065	24262	23732	23086	22724	22514	21894	21102	20342	19714	19255	18538	17858	17473	17519	17746	17925	18369	18693	19010	19273	19791	20210	20408	20553	20560	20700	20747	20839	20992	21126	21276	21370	21153	20706	20608	20877	21141	21307	21384	21246	20826	20537	20268	19944	19403	18919	18601	18269	18059	17659	17214	16689	16262	15988	15850	16004	16038	15924	15653	15460	15178	14761	14003	13278	12891	12673	12653	12513	12439	12381	12197	11563	10617	10025	9794	9745	9855	10181	10458	10515	10583	10526	10443	10073	9267	8027	7402	7926	8762	9254	9234	9255	9172	9001	8737	8529	8415	8202	15	2433	646	200	4240.8070000000	78
0001	15147	3859	4117	4244	4393	4588	4779	4992	5206	5449	5522	5807	6237	6685	7108	7575	8053	8356	8657	8817	9013	9082	9171	9367	9610	9951	10184	10253	10300	10499	10829	11052	11243	11536	11975	12288	12530	12743	13326	14048	14830	15649	16297	16926	17357	17829	18250	18638	18937	19041	19233	19241	19141	18763	18274	17689	16915	15972	14729	13396	12182	11175	10171	9305	8702	8316	8041	7700	7530	7336	7143	6938	6754	6702	6508	6444	6277	6125	5895	5660	5491	5314	5230	5178	5131	5079	5113	5165	5098	4918	4850	4743	4531	4436	4303	4188	3946	3765	3593	3376	3347	3235	3211	3136	3135	3129	3096	3091	3106	3120	3071	3053	3104	3090	3067	3051	3106	3053	3074	3064	3077	3100	3076	3124	15	3188	1469	9741	11169	12045	12081	12224	12308	12322	12229	12117	11907	11897	12606	13537	14558	15634	16854	18002	18962	19899	20876	21626	22114	22672	23317	23866	23992	23500	22880	22425	22266	21691	20930	20132	19561	19058	18300	17622	17318	17405	17552	17810	18211	18482	18806	19163	19633	19964	20241	20350	20406	20464	20479	20663	20703	20920	21079	21181	20929	20521	20466	20601	20917	21110	21209	21029	20720	20400	20045	19721	19259	18769	18381	18158	17904	17539	17027	16574	16137	15753	15722	15867	15922	15753	15531	15326	14981	14645	13903	13198	12744	12637	12557	12358	12330	12308	12140	11464	10615	9993	9742	9626	9778	10123	10306	10448	10537	10463	10324	10056	9228	7905	7359	7874	8735	9140	9244	9215	9049	8904	8697	8505	8349	8212	15	2432	660	201	4241.8070000000	69
0001	15147	3871	4118	4245	4393	4613	4751	5021	5235	5454	5566	5843	6259	6705	7115	7634	8121	8418	8705	8893	9058	9115	9211	9449	9623	10008	10229	10298	10340	10560	10885	11043	11292	11567	11992	12350	12555	12839	13356	14076	14953	15703	16436	16965	17454	17897	18337	18715	19015	19102	19289	19323	19208	18823	18340	17780	16948	16056	14785	13452	12268	11239	10215	9351	8756	8372	8069	7776	7588	7383	7178	6957	6798	6736	6548	6467	6290	6141	5919	5707	5511	5318	5274	5175	5158	5125	5175	5158	5059	4963	4868	4784	4618	4491	4335	4176	3958	3747	3618	3393	3338	3244	3206	3162	3130	3133	3049	3093	3103	3115	3091	3095	3077	3042	3083	3084	3114	3060	3077	3095	3106	3084	3110	3118	15	3192	1469	9854	11289	12166	12327	12406	12480	12455	12400	12290	12050	12120	12801	13710	14753	15866	17132	18232	19271	20227	21128	21929	22494	23093	23646	24203	24419	23827	23219	22832	22649	22039	21207	20489	19872	19321	18653	17955	17518	17601	17828	18097	18453	18782	19140	19391	19901	20272	20601	20655	20714	20809	20821	20956	21097	21284	21438	21438	21276	20883	20760	20974	21276	21440	21500	21358	21072	20685	20389	20063	19444	19035	18672	18458	18165	17772	17318	16733	16361	16054	15982	16099	16126	16021	15788	15560	15285	14885	14105	13364	12979	12836	12689	12559	12516	12419	12280	11605	10758	10069	9850	9779	9865	10230	10470	10626	10635	10595	10491	10157	9282	8067	7432	7949	8798	9278	9379	9309	9224	9021	8722	8578	8429	8329	15	2427	672	202	4242.8060000000	248
0001	15147	3871	4073	4253	4400	4507	4730	4982	5211	5377	5534	5799	6183	6613	7065	7562	7964	8339	8616	8813	8954	9057	9152	9260	9592	9911	10174	10176	10270	10489	10712	10981	11218	11481	11883	12246	12491	12726	13234	13999	14822	15504	16330	16851	17332	17717	18195	18554	18805	19019	19124	19195	19011	18695	18235	17553	16848	15928	14665	13316	12148	11153	10093	9234	8662	8293	7935	7707	7538	7326	7074	6880	6777	6593	6542	6388	6277	6063	5868	5651	5393	5299	5217	5151	5080	5097	5123	5110	5013	4926	4831	4676	4579	4464	4299	4141	3933	3765	3504	3435	3305	3255	3192	3131	3151	3069	3107	3090	3110	3087	3107	3100	3082	3060	3078	3100	3059	3069	3091	3083	3055	3083	3114	3020	15	3186	1469	9784	11276	12143	12265	12343	12432	12430	12364	12165	12009	12086	12768	13708	14705	15840	17009	18245	19270	20268	21189	21963	22563	23008	23678	24248	24440	23910	23235	22878	22645	22038	21223	20494	19842	19315	18663	17936	17557	17618	17853	18024	18452	18779	19131	19461	19914	20303	20526	20659	20726	20837	20883	20956	21093	21251	21417	21525	21291	20846	20761	21003	21281	21466	21507	21372	20982	20689	20395	20044	19523	19007	18711	18352	18162	17753	17279	16779	16378	16065	15927	16069	16122	16001	15744	15532	15273	14829	14056	13309	12926	12702	12633	12544	12478	12427	12195	11585	10601	9974	9717	9662	9798	10125	10434	10464	10540	10510	10416	10048	9178	7910	7283	7807	8671	9150	9168	9154	9074	8893	8639	8422	8308	8083	15	2409	703	203	4244.8060000000	13
0001	15147	3918	4109	4279	4419	4595	4820	5024	5263	5434	5586	5883	6287	6716	7174	7670	8082	8504	8752	8947	9082	9179	9295	9399	9738	10036	10325	10336	10403	10650	10912	11148	11381	11661	12022	12407	12657	12929	13399	14163	14992	15719	16544	17089	17565	17956	18416	18841	19071	19286	19374	19464	19269	18916	18429	17775	17052	16108	14845	13499	12297	11270	10211	9352	8775	8401	7998	7772	7563	7413	7153	6965	6840	6641	6612	6454	6322	6116	5904	5704	5419	5363	5238	5195	5131	5128	5176	5172	5065	4964	4852	4716	4594	4486	4299	4123	3940	3773	3515	3433	3314	3269	3177	3128	3104	3044	3082	3086	3107	3057	3094	3078	3070	3064	3078	3098	3045	3068	3073	3072	3064	3073	3078	2999	15	3181	1469	9720	11125	11931	12108	12195	12246	12231	12169	12052	11815	11905	12563	13402	14437	15520	16788	17882	18879	19826	20689	21472	22004	22588	23143	23684	23863	23359	22736	22363	22160	21534	20782	20042	19474	18906	18254	17563	17143	17227	17434	17713	18054	18390	18732	18984	19461	19829	20168	20197	20231	20365	20394	20490	20616	20776	20934	20993	20793	20434	20305	20453	20815	20928	21009	20857	20574	20219	19942	19588	19034	18596	18277	18029	17722	17370	16910	16386	16007	15698	15636	15748	15766	15668	15457	15197	14943	14553	13759	13083	12662	12575	12428	12296	12270	12148	11970	11369	10562	9884	9659	9583	9674	10040	10288	10436	10399	10378	10291	9986	9109	7896	7319	7772	8640	9092	9191	9121	9047	8870	8557	8422	8264	8159	15	2429	679	204	4245.8060000000	175
0001	15147	3891	4164	4246	4464	4634	4864	5060	5273	5478	5618	5881	6340	6755	7187	7655	8181	8560	8787	8966	9135	9177	9301	9495	9781	10064	10302	10376	10342	10651	10921	11184	11353	11673	12072	12414	12642	12881	13445	14177	14988	15813	16557	17067	17554	17999	18394	18808	19099	19295	19409	19409	19292	18872	18405	17826	17110	16135	14869	13534	12299	11299	10271	9442	8796	8412	8092	7885	7628	7447	7234	6947	6857	6749	6677	6502	6318	6178	5899	5746	5532	5410	5288	5212	5200	5157	5190	5184	5118	4976	4901	4836	4680	4501	4364	4210	3951	3804	3600	3459	3348	3278	3229	3117	3122	3094	3149	3108	3116	3115	3031	3066	3096	3118	3077	3075	3087	3083	3085	3096	3086	3039	3085	3093	15	3199	1469	9738	11221	11958	12161	12230	12372	12307	12253	12148	11874	11938	12640	13583	14498	15629	16887	18014	18998	19907	20899	21544	22149	22710	23347	23847	24001	23505	22773	22469	22248	21731	20894	20128	19576	19011	18347	17667	17307	17336	17529	17815	18200	18491	18803	19170	19527	19956	20218	20350	20361	20454	20583	20538	20726	20871	21055	21139	20887	20546	20360	20607	20868	21112	21138	20970	20682	20343	20054	19693	19216	18636	18322	18088	17862	17457	16965	16513	16027	15764	15674	15845	15846	15704	15521	15235	15000	14585	13886	13126	12702	12618	12478	12379	12308	12286	11989	11417	10600	9955	9685	9602	9796	10002	10332	10409	10486	10410	10318	10058	9127	7941	7323	7874	8684	9127	9252	9174	9065	8857	8674	8435	8319	8201	15	2444	686	205	4246.8060000000	116
