SN	INTTIME(LU)	LU(397.65)	LU(400.94)	LU(404.24)	LU(407.54)	LU(410.84)	LU(414.13)	LU(417.43)	LU(420.73)	LU(424.03)	LU(427.32)	LU(430.62)	LU(433.92)	LU(437.22)	LU(440.51)	LU(443.81)	LU(447.11)	LU(450.4)	LU(453.7)	LU(457)	LU(460.29)	LU(463.59)	LU(466.89)	LU(470.18)	LU(473.48)	LU(476.77)	LU(480.07)	LU(483.37)	LU(486.66)	LU(489.96)	LU(493.25)	LU(496.54)	LU(499.84)	LU(503.13)	LU(506.43)	LU(509.72)	LU(513.01)	LU(516.31)	LU(519.6)	LU(522.89)	LU(526.19)	LU(529.48)	LU(532.77)	LU(536.06)	LU(539.35)	LU(542.64)	LU(545.93)	LU(549.22)	LU(552.51)	LU(555.8)	LU(559.09)	LU(562.38)	LU(565.67)	LU(568.95)	LU(572.24)	LU(575.53)	LU(578.81)	LU(582.1)	LU(585.39)	LU(588.67)	LU(591.96)	LU(595.24)	LU(598.52)	LU(601.81)	LU(605.09)	LU(608.37)	LU(611.65)	LU(614.93)	LU(618.21)	LU(621.49)	LU(624.77)	LU(628.05)	LU(631.33)	LU(634.61)	LU(637.89)	LU(641.16)	LU(644.44)	LU(647.71)	LU(650.99)	LU(654.26)	LU(657.54)	LU(660.81)	LU(664.08)	LU(667.35)	LU(670.62)	LU(673.89)	LU(677.16)	LU(680.43)	LU(683.7)	LU(686.97)	LU(690.24)	LU(693.5)	LU(696.77)	LU(700.03)	LU(703.29)	LU(706.56)	LU(709.82)	LU(713.08)	LU(716.34)	LU(719.6)	LU(722.86)	LU(726.12)	LU(729.38)	LU(732.63)	LU(735.89)	LU(739.14)	LU(742.4)	LU(745.65)	LU(748.9)	LU(752.15)	LU(755.4)	LU(758.65)	LU(761.9)	LU(765.15)	LU(768.4)	LU(771.64)	LU(774.89)	LU(778.13)	LU(781.38)	LU(784.62)	LU(787.86)	LU(791.1)	LU(794.34)	LU(797.58)	DARK_SAMP(LU)	DARK_AVE(LU)	INTTIME(ED)	ED(396.59)	ED(399.89)	ED(403.2)	ED(406.51)	ED(409.82)	ED(413.13)	ED(416.44)	ED(419.75)	ED(423.05)	ED(426.36)	ED(429.67)	ED(432.98)	ED(436.29)	ED(439.6)	ED(442.91)	ED(446.21)	ED(449.52)	ED(452.83)	ED(456.14)	ED(459.45)	ED(462.75)	ED(466.06)	ED(469.37)	ED(472.67)	ED(475.98)	ED(479.29)	ED(482.6)	ED(485.9)	ED(489.21)	ED(492.51)	ED(495.82)	ED(499.13)	ED(502.43)	ED(505.74)	ED(509.04)	ED(512.35)	ED(515.65)	ED(518.96)	ED(522.26)	ED(525.56)	ED(528.87)	ED(532.17)	ED(535.47)	ED(538.78)	ED(542.08)	ED(545.38)	ED(548.68)	ED(551.98)	ED(555.28)	ED(558.58)	ED(561.88)	ED(565.18)	ED(568.48)	ED(571.78)	ED(575.08)	ED(578.38)	ED(581.67)	ED(584.97)	ED(588.27)	ED(591.56)	ED(594.86)	ED(598.15)	ED(601.45)	ED(604.74)	ED(608.04)	ED(611.33)	ED(614.62)	ED(617.92)	ED(621.21)	ED(624.5)	ED(627.79)	ED(631.08)	ED(634.37)	ED(637.66)	ED(640.94)	ED(644.23)	ED(647.52)	ED(650.81)	ED(654.09)	ED(657.38)	ED(660.66)	ED(663.94)	ED(667.23)	ED(670.51)	ED(673.79)	ED(677.07)	ED(680.35)	ED(683.63)	ED(686.91)	ED(690.19)	ED(693.47)	ED(696.75)	ED(700.02)	ED(703.3)	ED(706.57)	ED(709.85)	ED(713.12)	ED(716.39)	ED(719.66)	ED(722.93)	ED(726.2)	ED(729.47)	ED(732.74)	ED(736.01)	ED(739.27)	ED(742.54)	ED(745.8)	ED(749.07)	ED(752.33)	ED(755.59)	ED(758.85)	ED(762.11)	ED(765.37)	ED(768.63)	ED(771.89)	ED(775.15)	ED(778.4)	ED(781.66)	ED(784.91)	ED(788.16)	ED(791.42)	ED(794.67)	ED(797.92)	DARK_SAMP(ED)	DARK_AVE(ED)	ALTIM	FRAME(COUNTER)	TIMER	CHECK(SUM)
0001	30779	5265	5611	5854	6102	6402	6704	7004	7369	7651	7881	8321	8890	9595	10289	11005	11731	12276	12628	12870	13134	13217	13348	13614	13981	14390	14771	14761	14812	15159	15607	15914	16231	16644	17230	17856	18076	18457	19263	20276	21459	22619	23619	24382	25007	25536	26175	26654	26963	27213	27381	27353	27158	26715	25973	25149	24121	22828	20988	19082	17460	15963	14482	13308	12432	11862	11406	11006	10710	10415	10034	9800	9603	9430	9265	9100	8815	8546	8277	7926	7636	7481	7329	7227	7221	7205	7233	7267	7083	6913	6780	6534	6373	6143	5828	5629	5382	4996	4800	4597	4361	4298	4210	4121	4140	4125	4100	4091	4105	4062	4084	4030	4046	4063	4053	4101	4057	4045	4091	4050	4071	4105	4073	4073	15	4214	1469	8485	9737	10298	10423	10534	10509	10559	10478	10324	10196	10245	10728	11509	12264	13118	14060	14969	15808	16470	17208	17841	18234	18646	19106	19532	19642	19269	18699	18404	18250	17772	17137	16546	16062	15676	15136	14568	14277	14338	14453	14671	15003	15194	15459	15771	16035	16369	16589	16591	16634	16771	16726	16839	16941	16985	17153	17253	16961	16741	16662	16784	17008	17211	17224	17115	16865	16613	16374	16078	15695	15306	15026	14871	14623	14345	13990	13590	13261	13037	12928	13068	13122	12991	12815	12664	12416	12090	11573	10934	10670	10563	10453	10352	10342	10308	10151	9691	8963	8491	8314	8190	8364	8658	8784	8942	8992	8910	8842	8649	7871	6926	6403	6787	7560	7946	7934	7959	7943	7708	7558	7426	7300	7175	15	2460	1028	70	2242.0580000000	201
0001	30779	5260	5599	5858	6077	6354	6649	6996	7288	7614	7852	8216	8840	9558	10143	10912	11650	12117	12518	12810	12957	13093	13292	13442	13876	14331	14591	14633	14727	15005	15478	15782	16099	16503	17056	17637	17929	18276	19066	20110	21255	22391	23425	24128	24777	25282	25877	26372	26732	26889	27067	27058	26815	26409	25693	24876	23871	22571	20778	18920	17276	15834	14410	13177	12373	11808	11272	10989	10654	10301	10018	9749	9444	9383	9254	8990	8773	8513	8167	7920	7645	7429	7329	7227	7171	7196	7192	7238	7072	6883	6764	6555	6345	6114	5865	5629	5345	5063	4805	4577	4428	4316	4239	4168	4124	4137	4100	4059	4106	4064	4074	4060	4029	4072	4070	4030	4049	4085	4023	4053	4079	4008	4051	4093	15	4198	1469	8625	9801	10495	10570	10610	10713	10678	10596	10534	10269	10344	10884	11596	12423	13306	14196	15150	16010	16634	17439	18048	18396	18860	19389	19737	19888	19508	18918	18654	18494	18016	17376	16769	16314	15874	15324	14778	14476	14522	14697	14879	15174	15433	15652	15942	16317	16583	16831	16879	16886	16965	17050	17086	17160	17315	17425	17461	17298	16984	16891	17098	17261	17439	17514	17339	17093	16875	16557	16310	15917	15467	15244	15067	14777	14538	14190	13730	13457	13245	13074	13256	13337	13130	13001	12845	12627	12280	11690	11149	10773	10684	10602	10523	10487	10476	10294	9804	9123	8578	8412	8363	8482	8744	8986	9040	9100	9103	8969	8733	8070	7019	6478	6954	7663	8017	8145	8051	8038	7864	7638	7475	7375	7203	15	2494	1011	71	2243.0580000000	106
0001	30779	5243	5619	5913	6094	6431	6732	7032	7364	7719	7891	8357	8996	9601	10335	11091	11735	12326	12718	12943	13182	13346	13404	13690	14107	14503	14877	14886	14991	15251	15721	16063	16321	16770	17429	17955	18242	18629	19393	20509	21684	22806	23899	24656	25216	25804	26422	26857	27283	27492	27609	27635	27457	26926	26215	25399	24357	23032	21246	19259	17619	16141	14594	13431	12604	11945	11512	11163	10734	10509	10191	9823	9656	9524	9309	9162	8916	8593	8333	8004	7739	7532	7385	7333	7254	7278	7332	7309	7150	6991	6780	6651	6431	6168	5931	5710	5385	5094	4832	4571	4448	4352	4227	4175	4149	4103	4113	4095	4095	4086	4100	4016	4065	4072	4015	4083	4091	3999	4055	4087	4006	4088	4087	4026	15	4199	1469	8466	9723	10409	10435	10530	10641	10514	10489	10430	10149	10267	10792	11514	12308	13176	14133	15033	15808	16557	17257	17866	18305	18702	19164	19633	19692	19275	18780	18479	18307	17857	17210	16622	16181	15732	15181	14651	14341	14397	14561	14758	15013	15317	15516	15786	16148	16420	16656	16743	16689	16788	16891	16858	16999	17155	17208	17299	17155	16765	16746	16934	17052	17261	17378	17157	16936	16699	16458	16156	15779	15396	15124	14928	14722	14441	14048	13708	13352	13094	13075	13113	13171	13089	12898	12719	12531	12175	11624	11043	10673	10611	10556	10448	10403	10407	10205	9693	9078	8556	8358	8316	8375	8689	8908	8932	9055	9046	8853	8712	8060	6941	6443	6920	7533	7991	8073	7988	7991	7808	7584	7462	7339	7237	15	2478	1000	72	2244.0580000000	126
0001	30779	5218	5587	5873	6039	6377	6722	6993	7332	7651	7833	8293	8907	9528	10251	11009	11634	12225	12633	12864	13080	13229	13368	13587	13978	14429	14722	14750	14841	15159	15612	15933	16196	16645	17251	17798	18108	18475	19210	20280	21493	22582	23661	24412	24970	25538	26164	26617	27002	27224	27332	27351	27186	26619	25988	25166	24064	22807	21017	19059	17444	16010	14451	13327	12495	11834	11423	11060	10666	10404	10132	9809	9607	9454	9319	9085	8804	8610	8277	7940	7709	7477	7347	7268	7219	7231	7301	7253	7133	6969	6773	6591	6413	6129	5868	5644	5370	5075	4828	4535	4411	4317	4212	4189	4142	4094	4095	4093	4033	4078	4101	3979	4037	4068	4003	4061	4064	3997	4045	4063	4006	4068	4056	4048	15	4188	1469	8698	9896	10566	10670	10749	10765	10775	10738	10589	10397	10488	10954	11768	12555	13444	14420	15355	16148	16899	17696	18257	18689	19156	19596	20028	20186	19696	19217	18953	18675	18268	17665	16917	16507	16120	15495	14969	14710	14684	14893	15083	15387	15659	15925	16188	16548	16832	17099	17134	17163	17280	17291	17366	17486	17566	17706	17789	17570	17275	17200	17336	17554	17769	17781	17629	17403	17111	16871	16610	16187	15805	15520	15285	15097	14841	14378	14023	13709	13367	13343	13495	13463	13380	13241	12992	12817	12508	11820	11297	10974	10794	10764	10709	10622	10619	10465	9966	9236	8711	8549	8472	8607	8882	9094	9181	9254	9200	9133	8899	8141	7108	6586	7039	7771	8169	8218	8182	8159	7942	7769	7620	7471	7376	15	2487	1098	73	2245.0560000000	205
0001	30779	5246	5639	5882	6072	6400	6753	6986	7415	7673	7856	8329	8987	9606	10354	11112	11767	12349	12748	12950	13215	13324	13460	13700	14104	14551	14860	14875	14965	15237	15724	16079	16303	16760	17397	17930	18259	18632	19363	20471	21660	22765	23847	24605	25167	25752	26383	26858	27225	27445	27557	27602	27378	26842	26195	25379	24264	22983	21190	19208	17576	16128	14551	13411	12594	11934	11498	11173	10746	10486	10182	9860	9635	9513	9375	9142	8859	8637	8311	7985	7726	7533	7381	7300	7228	7284	7321	7290	7144	6978	6765	6607	6428	6167	5887	5674	5367	5074	4823	4557	4410	4318	4186	4168	4141	4070	4116	4102	3999	4076	4093	3972	4026	4053	3978	4046	4058	4008	4077	4070	4017	4050	4062	4079	15	4187	1469	8300	9457	10199	10310	10303	10417	10394	10311	10209	10009	10086	10594	11376	12192	13044	14044	15014	15824	16551	17351	17922	18351	18805	19287	19718	19860	19431	18891	18601	18384	17903	17275	16655	16173	15753	15177	14576	14345	14332	14528	14742	14979	15266	15590	15787	16187	16499	16630	16752	16843	16833	16956	17015	17035	17218	17372	17394	17203	16946	16817	16980	17196	17399	17411	17280	17052	16769	16547	16260	15827	15441	15179	14927	14756	14461	14020	13663	13346	13016	12964	13119	13124	12994	12869	12654	12451	12115	11485	10895	10604	10424	10375	10328	10195	10217	10069	9479	8829	8342	8049	8073	8216	8410	8699	8790	8796	8818	8736	8464	7766	6739	6204	6653	7347	7750	7810	7766	7761	7553	7347	7193	7082	6989	15	2445	1037	74	2247.0580000000	109
0001	30779	5275	5614	5878	6126	6391	6695	7047	7368	7696	7936	8268	8949	9681	10276	11074	11821	12308	12709	13000	13178	13354	13482	13680	14122	14548	14870	14892	14953	15296	15721	16021	16332	16762	17366	17972	18272	18587	19405	20480	21659	22803	23878	24637	25229	25764	26372	26900	27263	27453	27628	27621	27394	26921	26229	25358	24369	22972	21187	19303	17532	16099	14642	13347	12555	11995	11475	11121	10801	10430	10171	9880	9594	9520	9363	9138	8871	8610	8347	8004	7720	7555	7368	7266	7266	7261	7275	7304	7148	6947	6786	6586	6398	6197	5900	5662	5403	5051	4787	4581	4411	4301	4194	4155	4129	4109	4071	4075	4068	4001	4072	4038	3955	4011	4061	3994	4044	4058	4004	4017	4040	4009	4034	4056	15	4180	1469	8594	9813	10513	10587	10644	10718	10649	10587	10523	10298	10369	10928	11613	12455	13337	14274	15211	16048	16687	17512	18126	18462	18931	19454	19781	19974	19582	18996	18729	18544	18078	17444	16802	16355	15933	15368	14807	14488	14580	14762	14937	15219	15512	15747	16019	16375	16664	16906	16966	16987	17074	17146	17158	17235	17417	17494	17582	17424	17090	16984	17196	17353	17532	17636	17421	17209	16978	16661	16401	16030	15565	15345	15182	14868	14639	14265	13817	13529	13298	13194	13333	13369	13266	13081	12908	12713	12341	11775	11214	10860	10739	10667	10568	10538	10535	10359	9867	9197	8608	8453	8416	8526	8761	9037	9103	9149	9148	8999	8806	8112	7016	6519	6983	7647	8072	8150	8054	8075	7893	7648	7513	7425	7220	15	2453	1008	75	2248.0580000000	251
0001	30779	5267	5627	5928	6120	6415	6794	7083	7433	7768	7956	8401	9036	9677	10416	11177	11816	12446	12832	13021	13273	13438	13483	13781	14219	14616	14957	14982	15075	15376	15821	16148	16427	16866	17470	18015	18368	18739	19453	20586	21814	22905	23980	24774	25318	25889	26516	27009	27395	27577	27705	27756	27539	27016	26341	25519	24418	23127	21316	19344	17675	16240	14666	13511	12671	11986	11590	11218	10784	10556	10230	9852	9715	9559	9402	9197	8923	8676	8374	8044	7767	7564	7407	7324	7259	7305	7358	7304	7216	7023	6818	6655	6451	6181	5922	5677	5399	5095	4826	4564	4407	4323	4206	4163	4142	4097	4090	4084	4034	4067	4075	3977	4017	4034	3977	4068	4064	3977	4046	4031	4011	4031	4058	4023	15	4188	1469	8672	9840	10542	10651	10682	10757	10735	10657	10559	10401	10440	10929	11737	12489	13372	14413	15282	16107	16871	17558	18179	18650	19003	19509	20004	20021	19666	19172	18783	18633	18219	17503	16917	16478	16017	15472	14912	14619	14658	14829	15057	15304	15574	15855	16098	16440	16799	16968	17052	17104	17128	17226	17303	17373	17477	17641	17680	17484	17222	17087	17249	17497	17660	17703	17607	17330	17028	16836	16449	16144	15749	15403	15237	15069	14682	14330	13985	13557	13356	13313	13361	13452	13361	13164	12970	12778	12421	11847	11263	10929	10821	10731	10674	10601	10588	10439	9911	9223	8722	8507	8449	8603	8799	9071	9195	9187	9162	9129	8865	8148	7102	6547	7014	7747	8108	8213	8187	8077	7922	7789	7528	7482	7379	15	2473	982	76	2249.0590000000	78
0001	30779	5279	5628	5866	6113	6438	6730	7044	7424	7680	7935	8397	9005	9670	10401	11097	11844	12407	12749	13031	13255	13356	13481	13742	14098	14550	14922	14901	14989	15306	15724	16061	16372	16779	17387	18023	18219	18598	19429	20462	21652	22849	23833	24619	25233	25744	26412	26905	27290	27481	27621	27673	27436	26943	26300	25391	24337	23058	21225	19296	17658	16141	14678	13491	12583	12015	11579	11130	10791	10534	10178	9890	9712	9508	9359	9163	8878	8645	8363	7994	7718	7564	7341	7298	7297	7218	7300	7316	7084	6934	6809	6582	6401	6189	5841	5681	5405	5080	4808	4561	4427	4304	4172	4185	4117	4080	4100	4075	4055	4075	4052	4044	4041	4032	4039	4095	4043	4015	4051	4029	4030	4082	4041	4051	15	4182	1469	8609	9811	10518	10574	10646	10735	10687	10624	10512	10300	10353	10904	11607	12437	13337	14219	15166	16018	16670	17474	18101	18446	18900	19412	19758	19954	19544	18991	18697	18558	18069	17414	16799	16343	15900	15351	14812	14517	14566	14753	14929	15226	15483	15713	16008	16368	16637	16869	16951	16978	17002	17137	17143	17234	17382	17489	17564	17385	17059	16970	17149	17310	17537	17592	17410	17189	16956	16642	16404	16039	15565	15352	15143	14883	14651	14287	13854	13532	13285	13219	13325	13362	13281	13102	12891	12715	12330	11769	11205	10884	10765	10705	10571	10553	10533	10365	9858	9199	8669	8446	8412	8541	8779	9005	9089	9158	9162	9007	8815	8156	7015	6504	7022	7649	8072	8171	8048	8091	7883	7649	7548	7448	7258	15	2479	941	77	2250.0590000000	37
0001	30779	5300	5644	5895	6156	6404	6744	7115	7402	7741	7988	8324	9011	9733	10360	11154	11899	12376	12786	13070	13227	13392	13520	13699	14169	14614	14894	14966	15027	15342	15760	16084	16418	16843	17403	18023	18295	18661	19442	20522	21715	22853	23918	24673	25268	25853	26444	26935	27309	27505	27664	27683	27439	26995	26277	25410	24408	23083	21249	19344	17607	16172	14676	13411	12607	12049	11488	11190	10854	10488	10200	9919	9652	9514	9382	9190	8920	8664	8379	8042	7716	7572	7397	7304	7283	7275	7327	7331	7160	6985	6843	6649	6401	6204	5919	5688	5419	5091	4796	4570	4425	4320	4237	4165	4124	4100	4064	4069	4100	4022	4064	4052	3964	4053	4064	3980	4036	4064	4004	4053	4053	4085	4091	4053	15	4193	1469	8689	9918	10622	10706	10755	10846	10779	10722	10651	10423	10482	11036	11765	12600	13479	14485	15368	16251	16941	17712	18340	18728	19186	19701	20062	20241	19867	19228	18967	18824	18286	17667	17092	16548	16146	15625	14974	14733	14779	14927	15160	15455	15716	15946	16245	16605	16933	17135	17216	17231	17285	17387	17420	17509	17669	17785	17853	17671	17351	17225	17450	17634	17831	17879	17719	17439	17230	16946	16643	16287	15823	15577	15426	15125	14860	14484	14019	13722	13514	13366	13507	13581	13379	13269	13126	12830	12541	11943	11336	11008	10901	10840	10749	10680	10675	10503	9981	9316	8736	8587	8530	8641	8888	9140	9233	9280	9272	9171	8927	8222	7160	6606	7094	7807	8154	8288	8184	8183	8012	7781	7642	7519	7357	15	2476	1122	78	2251.0570000000	143
0001	30779	5229	5629	5855	6076	6392	6696	7046	7350	7636	7888	8289	8932	9640	10297	11018	11738	12262	12630	12919	13075	13212	13391	13578	13964	14427	14702	14733	14842	15074	15561	15888	16113	16571	17189	17700	18039	18383	19070	20208	21398	22434	23522	24299	24817	25395	26035	26478	26847	27028	27200	27204	26955	26523	25817	24992	23973	22658	20880	19037	17340	15909	14480	13288	12420	11875	11394	11019	10695	10388	10047	9789	9546	9419	9275	9056	8789	8569	8216	7955	7674	7426	7320	7258	7138	7196	7244	7164	7078	6896	6694	6577	6380	6112	5874	5620	5387	5034	4782	4566	4390	4267	4197	4134	4111	4112	4091	4062	4066	4065	4077	4032	3993	4005	4045	4043	4026	4048	4034	4007	4027	4040	4031	4062	15	4160	1469	8290	9492	10159	10262	10323	10389	10373	10317	10157	10000	10076	10546	11355	12176	13055	14008	14963	15762	16512	17299	17859	18278	18772	19197	19624	19791	19347	18768	18525	18304	17870	17230	16547	16109	15683	15064	14552	14275	14226	14455	14673	14880	15208	15488	15690	16073	16416	16591	16676	16710	16793	16848	16896	17009	17113	17235	17321	17106	16824	16719	16888	17099	17316	17323	17198	16959	16665	16431	16156	15740	15302	15079	14829	14648	14362	13938	13562	13241	12915	12883	13014	13004	12924	12793	12518	12359	12039	11346	10808	10516	10300	10303	10254	10125	10147	10000	9484	8803	8253	8060	8011	8131	8393	8648	8756	8821	8743	8664	8444	7708	6688	6211	6625	7316	7702	7781	7736	7725	7449	7280	7171	7023	6911	15	2445	1099	79	2253.0560000000	18
