SN	INTTIME(LU)	LU(397.65)	LU(400.94)	LU(404.24)	LU(407.54)	LU(410.84)	LU(414.13)	LU(417.43)	LU(420.73)	LU(424.03)	LU(427.32)	LU(430.62)	LU(433.92)	LU(437.22)	LU(440.51)	LU(443.81)	LU(447.11)	LU(450.4)	LU(453.7)	LU(457)	LU(460.29)	LU(463.59)	LU(466.89)	LU(470.18)	LU(473.48)	LU(476.77)	LU(480.07)	LU(483.37)	LU(486.66)	LU(489.96)	LU(493.25)	LU(496.54)	LU(499.84)	LU(503.13)	LU(506.43)	LU(509.72)	LU(513.01)	LU(516.31)	LU(519.6)	LU(522.89)	LU(526.19)	LU(529.48)	LU(532.77)	LU(536.06)	LU(539.35)	LU(542.64)	LU(545.93)	LU(549.22)	LU(552.51)	LU(555.8)	LU(559.09)	LU(562.38)	LU(565.67)	LU(568.95)	LU(572.24)	LU(575.53)	LU(578.81)	LU(582.1)	LU(585.39)	LU(588.67)	LU(591.96)	LU(595.24)	LU(598.52)	LU(601.81)	LU(605.09)	LU(608.37)	LU(611.65)	LU(614.93)	LU(618.21)	LU(621.49)	LU(624.77)	LU(628.05)	LU(631.33)	LU(634.61)	LU(637.89)	LU(641.16)	LU(644.44)	LU(647.71)	LU(650.99)	LU(654.26)	LU(657.54)	LU(660.81)	LU(664.08)	LU(667.35)	LU(670.62)	LU(673.89)	LU(677.16)	LU(680.43)	LU(683.7)	LU(686.97)	LU(690.24)	LU(693.5)	LU(696.77)	LU(700.03)	LU(703.29)	LU(706.56)	LU(709.82)	LU(713.08)	LU(716.34)	LU(719.6)	LU(722.86)	LU(726.12)	LU(729.38)	LU(732.63)	LU(735.89)	LU(739.14)	LU(742.4)	LU(745.65)	LU(748.9)	LU(752.15)	LU(755.4)	LU(758.65)	LU(761.9)	LU(765.15)	LU(768.4)	LU(771.64)	LU(774.89)	LU(778.13)	LU(781.38)	LU(784.62)	LU(787.86)	LU(791.1)	LU(794.34)	LU(797.58)	DARK_SAMP(LU)	DARK_AVE(LU)	INTTIME(ED)	ED(396.59)	ED(399.89)	ED(403.2)	ED(406.51)	ED(409.82)	ED(413.13)	ED(416.44)	ED(419.75)	ED(423.05)	ED(426.36)	ED(429.67)	ED(432.98)	ED(436.29)	ED(439.6)	ED(442.91)	ED(446.21)	ED(449.52)	ED(452.83)	ED(456.14)	ED(459.45)	ED(462.75)	ED(466.06)	ED(469.37)	ED(472.67)	ED(475.98)	ED(479.29)	ED(482.6)	ED(485.9)	ED(489.21)	ED(492.51)	ED(495.82)	ED(499.13)	ED(502.43)	ED(505.74)	ED(509.04)	ED(512.35)	ED(515.65)	ED(518.96)	ED(522.26)	ED(525.56)	ED(528.87)	ED(532.17)	ED(535.47)	ED(538.78)	ED(542.08)	ED(545.38)	ED(548.68)	ED(551.98)	ED(555.28)	ED(558.58)	ED(561.88)	ED(565.18)	ED(568.48)	ED(571.78)	ED(575.08)	ED(578.38)	ED(581.67)	ED(584.97)	ED(588.27)	ED(591.56)	ED(594.86)	ED(598.15)	ED(601.45)	ED(604.74)	ED(608.04)	ED(611.33)	ED(614.62)	ED(617.92)	ED(621.21)	ED(624.5)	ED(627.79)	ED(631.08)	ED(634.37)	ED(637.66)	ED(640.94)	ED(644.23)	ED(647.52)	ED(650.81)	ED(654.09)	ED(657.38)	ED(660.66)	ED(663.94)	ED(667.23)	ED(670.51)	ED(673.79)	ED(677.07)	ED(680.35)	ED(683.63)	ED(686.91)	ED(690.19)	ED(693.47)	ED(696.75)	ED(700.02)	ED(703.3)	ED(706.57)	ED(709.85)	ED(713.12)	ED(716.39)	ED(719.66)	ED(722.93)	ED(726.2)	ED(729.47)	ED(732.74)	ED(736.01)	ED(739.27)	ED(742.54)	ED(745.8)	ED(749.07)	ED(752.33)	ED(755.59)	ED(758.85)	ED(762.11)	ED(765.37)	ED(768.63)	ED(771.89)	ED(775.15)	ED(778.4)	ED(781.66)	ED(784.91)	ED(788.16)	ED(791.42)	ED(794.67)	ED(797.92)	DARK_SAMP(ED)	DARK_AVE(ED)	ALTIM	FRAME(COUNTER)	TIMER	CHECK(SUM)
0001	30765	4791	5207	5444	5788	6127	6515	6858	7267	7660	7863	8375	9089	9928	10712	11595	12443	13041	13537	13821	14118	14258	14423	14752	15186	15789	16201	16288	16401	16787	17384	17713	18143	18661	19450	20120	20540	21029	21947	23413	24885	26373	27729	28779	29603	30359	31230	31978	32544	32824	33041	33165	32798	32135	31195	30110	28603	26823	24403	21787	19595	17673	15792	14218	13178	12507	11926	11486	11142	10761	10362	10023	9772	9607	9393	9153	8886	8548	8193	7829	7480	7238	7100	7005	6889	6908	6945	6947	6762	6559	6360	6134	5914	5649	5385	5088	4808	4496	4123	3923	3794	3673	3550	3520	3494	3444	3429	3448	3512	3410	3421	3416	3348	3385	3383	3412	3388	3391	3418	3352	3379	3408	3418	3423	15	3606	1469	8387	9573	10288	10323	10420	10504	10476	10413	10300	10140	10135	10695	11494	12284	13141	14144	15082	15828	16618	17401	18026	18404	18849	19386	19700	19907	19524	19023	18650	18473	18072	17307	16709	16262	15848	15273	14704	14480	14410	14606	14797	15151	15394	15617	15940	16189	16545	16765	16855	16850	16897	17007	16946	17118	17196	17381	17423	17217	16903	16697	16962	17186	17400	17442	17333	17099	16733	16596	16276	15881	15485	15192	15038	14742	14501	14102	13733	13362	13096	13100	13159	13223	13111	12994	12780	12583	12243	11579	11031	10627	10584	10481	10355	10337	10261	10162	9631	8889	8334	8144	8083	8187	8495	8728	8868	8903	8893	8836	8513	7853	6811	6289	6715	7448	7859	7894	7862	7845	7644	7415	7290	7172	7029	15	2367	464	65	8380.0560000000	80
0001	30765	4746	5174	5517	5706	6061	6424	6824	7199	7553	7844	8272	8983	9806	10591	11425	12251	12904	13346	13646	13922	14099	14214	14554	15051	15616	15989	16060	16185	16554	17110	17520	17896	18392	19128	19865	20234	20712	21683	23093	24540	25956	27381	28298	29129	29942	30774	31480	32015	32352	32509	32611	32335	31703	30763	29618	28218	26412	24066	21568	19372	17462	15591	14133	13014	12362	11841	11411	10997	10646	10302	9862	9678	9516	9344	9057	8767	8473	8067	7746	7430	7223	7053	6924	6900	6815	6885	6889	6757	6506	6305	6160	5863	5636	5357	5116	4799	4458	4169	3866	3774	3657	3581	3514	3486	3481	3389	3434	3404	3410	3401	3369	3393	3324	3391	3390	3432	3396	3384	3405	3335	3405	3389	3414	15	3600	1469	8803	10044	10784	10912	10897	11024	11003	10968	10845	10658	10746	11201	12091	12949	13935	14984	15951	16867	17598	18479	19133	19625	20062	20610	21085	21160	20771	20204	19928	19708	19203	18536	17769	17310	16875	16297	15642	15348	15425	15542	15794	16108	16417	16635	16936	17341	17637	17898	17970	18030	18062	18125	18221	18279	18393	18569	18660	18417	18043	17948	18122	18382	18608	18690	18522	18259	17991	17739	17385	16985	16562	16215	16026	15838	15513	15047	14660	14314	13954	13943	14111	14137	13992	13857	13674	13394	13024	12412	11757	11317	11197	11170	10987	10977	10972	10800	10208	9418	8858	8548	8529	8696	9035	9238	9390	9455	9370	9313	9095	8306	7148	6582	7080	7791	8257	8359	8312	8254	8038	7858	7603	7543	7437	15	2388	553	66	8381.0550000000	11
0001	30765	4773	5200	5431	5764	6060	6463	6801	7198	7564	7799	8313	9019	9840	10640	11460	12321	12913	13387	13686	13987	14138	14307	14615	15069	15667	16077	16162	16264	16624	17190	17564	17950	18498	19247	19929	20384	20848	21789	23174	24675	26128	27483	28494	29330	30103	30962	31695	32270	32536	32778	32858	32572	31869	30950	29839	28381	26621	24278	21689	19489	17590	15744	14173	13136	12483	11959	11471	11082	10739	10310	9975	9754	9581	9374	9144	8836	8491	8185	7821	7458	7250	7064	6994	6855	6921	6950	6944	6773	6542	6370	6123	5914	5680	5399	5085	4805	4488	4110	3927	3770	3685	3568	3490	3499	3399	3436	3419	3412	3405	3395	3416	3320	3366	3363	3412	3383	3395	3412	3336	3402	3385	3415	3406	15	3606	1469	8485	9733	10439	10447	10547	10631	10647	10546	10443	10296	10251	10834	11631	12505	13353	14367	15301	16084	16858	17657	18310	18677	19139	19650	20057	20217	19808	19272	18961	18774	18320	17620	16975	16521	16101	15523	14944	14672	14661	14847	15055	15369	15594	15843	16174	16505	16807	17043	17116	17093	17184	17282	17315	17364	17509	17671	17700	17500	17188	17028	17228	17480	17697	17714	17585	17379	17097	16845	16536	16152	15687	15434	15254	15075	14736	14327	13962	13553	13309	13292	13460	13427	13340	13212	12950	12771	12430	11830	11209	10828	10721	10552	10535	10507	10514	10317	9752	9065	8409	8257	8204	8349	8609	8862	9022	9017	9000	8913	8733	7968	6896	6365	6751	7548	7968	8058	7994	7916	7730	7486	7387	7267	7164	15	2384	489	67	8382.0560000000	33
0001	30765	4860	5194	5558	5822	6165	6535	6949	7357	7639	7957	8487	9224	10022	10836	11724	12496	13211	13671	14020	14269	14413	14609	14840	15418	15980	16443	16470	16576	16991	17513	17934	18331	18903	19627	20335	20803	21176	22243	23639	25188	26642	28040	29097	29859	30734	31571	32359	32856	33175	33431	33432	33169	32474	31583	30396	28929	27131	24639	22087	19829	17933	15984	14439	13379	12635	12104	11632	11271	10904	10505	10164	9844	9697	9511	9291	8921	8652	8294	7857	7540	7345	7191	7031	6973	7009	6986	6998	6850	6624	6399	6215	6002	5683	5434	5163	4850	4498	4198	3986	3790	3666	3577	3557	3484	3463	3452	3445	3439	3447	3437	3364	3366	3420	3429	3394	3404	3418	3383	3416	3410	3424	3401	3403	15	3617	1469	8385	9516	10244	10338	10382	10442	10453	10399	10227	10042	10162	10697	11410	12209	13099	14020	14973	15784	16562	17277	17865	18347	18745	19208	19655	19820	19353	18829	18568	18371	17891	17252	16641	16136	15735	15193	14621	14313	14366	14541	14702	15025	15293	15548	15781	16150	16461	16626	16710	16773	16812	16840	16909	17003	17050	17237	17291	17115	16753	16656	16854	17021	17235	17339	17213	16933	16679	16492	16090	15769	15376	15132	14903	14695	14443	13956	13614	13276	13074	12996	13102	13183	13000	12874	12709	12541	12128	11561	10981	10523	10494	10398	10346	10270	10232	10118	9505	8851	8313	8116	8021	8170	8501	8623	8805	8858	8874	8760	8540	7853	6723	6252	6705	7463	7800	7871	7845	7742	7595	7400	7262	7128	7019	15	2379	491	68	8383.0560000000	2
0001	30765	4793	5203	5513	5756	6118	6413	6838	7278	7636	7906	8346	9109	9867	10713	11569	12443	13080	13523	13856	14062	14267	14419	14790	15275	15816	16263	16278	16440	16808	17420	17809	18174	18730	19386	20192	20587	21091	22042	23457	24971	26371	27788	28827	29687	30455	31323	32066	32524	32895	33125	33225	32896	32222	31332	30090	28716	26922	24518	21913	19712	17793	15817	14352	13270	12588	12033	11567	11195	10783	10442	10075	9863	9632	9466	9212	8876	8590	8227	7878	7515	7307	7139	6970	6924	6979	7005	6932	6802	6589	6359	6204	5954	5693	5381	5125	4836	4460	4172	3933	3809	3638	3558	3540	3492	3464	3446	3452	3381	3417	3416	3397	3364	3390	3402	3379	3384	3403	3400	3381	3391	3406	3341	3380	15	3604	1469	8148	9387	10059	10141	10217	10313	10218	10200	10110	9917	9968	10484	11302	12019	12962	13992	14940	15726	16468	17292	17821	18294	18747	19286	19689	19829	19429	18816	18551	18378	17940	17237	16564	16168	15655	15113	14529	14291	14304	14462	14675	14900	15224	15448	15775	16122	16400	16668	16656	16755	16784	16865	16921	16984	17133	17183	17327	17093	16798	16635	16806	17070	17205	17344	17185	16974	16674	16463	16182	15678	15347	15059	14909	14656	14356	13984	13470	13179	12969	12939	13021	13076	13002	12749	12611	12395	12066	11433	10801	10452	10282	10216	10150	10135	10045	9936	9423	8597	8074	7879	7830	7962	8259	8529	8590	8676	8657	8587	8341	7595	6589	6018	6490	7172	7600	7661	7609	7595	7357	7177	7027	6899	6774	15	2341	514	69	8385.0560000000	100
0001	30765	4782	5198	5501	5764	6088	6462	6856	7220	7615	7883	8333	9092	9909	10678	11542	12397	13037	13466	13800	14078	14250	14371	14688	15188	15702	16132	16263	16378	16732	17323	17734	18041	18590	19345	20090	20492	20913	21936	23225	24790	26216	27657	28643	29425	30259	31034	31757	32330	32671	32861	32880	32646	31923	31029	29866	28485	26696	24243	21753	19470	17623	15718	14221	13160	12460	11920	11409	11067	10716	10376	9991	9747	9564	9297	9148	8804	8537	8166	7801	7494	7184	7066	6940	6937	6887	6906	6918	6687	6536	6301	6140	5885	5646	5403	5030	4802	4442	4175	3925	3778	3690	3498	3537	3476	3483	3431	3412	3440	3393	3417	3386	3403	3390	3400	3410	3344	3409	3399	3395	3397	3383	3417	3384	15	3604	1469	8356	9558	10245	10372	10412	10480	10489	10339	10284	10103	10181	10674	11429	12280	13075	14109	15017	15856	16593	17327	17931	18288	18793	19273	19700	19813	19404	18934	18506	18408	17944	17306	16662	16203	15796	15166	14621	14344	14446	14544	14752	15087	15236	15540	15808	16197	16464	16684	16779	16734	16814	16889	16964	17030	17124	17302	17279	17124	16778	16711	16850	17123	17310	17306	17218	16985	16742	16493	16203	15796	15329	15145	14936	14748	14427	14025	13663	13257	13066	13005	13171	13157	13084	12961	12694	12508	12188	11592	10950	10619	10525	10394	10322	10286	10274	10108	9556	8869	8305	8099	8018	8215	8435	8687	8832	8879	8844	8752	8559	7806	6788	6263	6701	7384	7799	7897	7831	7781	7598	7419	7243	7137	7039	15	2375	506	70	8386.0560000000	244
0001	30765	4816	5193	5558	5809	6186	6524	6928	7356	7642	7953	8457	9212	10023	10822	11697	12483	13187	13647	13966	14229	14351	14542	14778	15347	15882	16337	16366	16461	16897	17376	17848	18199	18719	19448	20206	20623	21021	22065	23459	24986	26396	27789	28840	29587	30423	31278	32006	32527	32847	33079	33082	32817	32163	31274	30072	28648	26913	24434	21919	19708	17828	15893	14385	13333	12612	12072	11595	11241	10875	10462	10123	9826	9677	9506	9259	8936	8653	8285	7916	7550	7351	7168	7016	6983	7017	7029	7016	6863	6631	6418	6229	6014	5739	5425	5154	4884	4469	4231	3966	3817	3654	3553	3529	3441	3447	3449	3443	3421	3408	3447	3310	3335	3399	3424	3394	3376	3413	3346	3388	3375	3406	3393	3382	15	3602	1469	8809	10077	10842	10924	11001	11111	11009	11007	10895	10706	10744	11339	12187	12975	13990	15064	16090	16945	17751	18635	19170	19714	20199	20766	21196	21367	20940	20292	20004	19849	19389	18616	17927	17469	16952	16414	15756	15507	15508	15662	15926	16202	16482	16773	17110	17472	17802	18076	18062	18120	18236	18269	18323	18427	18581	18707	18781	18561	18222	18068	18262	18551	18765	18804	18692	18433	18108	17874	17565	17129	16668	16388	16220	15900	15617	15217	14766	14362	14109	14097	14176	14233	14145	13981	13748	13527	13162	12419	11804	11437	11330	11220	11106	11094	10988	10857	10306	9504	8891	8652	8617	8700	9047	9333	9481	9503	9475	9395	9089	8361	7204	6636	7125	7922	8354	8348	8371	8295	8119	7890	7716	7611	7416	15	2385	507	71	8387.0570000000	149
0001	30765	4843	5234	5531	5826	6144	6533	6928	7351	7700	7983	8471	9177	10010	10833	11720	12554	13202	13677	14000	14264	14426	14589	14860	15390	15945	16385	16424	16562	16941	17476	17912	18285	18807	19533	20264	20726	21122	22150	23589	25055	26488	27895	28951	29682	30522	31392	32122	32625	32942	33201	33169	32912	32290	31351	30198	28745	27011	24526	22000	19802	17940	15997	14437	13428	12670	12131	11681	11316	10927	10507	10206	9869	9751	9549	9323	8999	8676	8358	7880	7610	7371	7220	7079	7036	7054	6992	7055	6871	6666	6453	6268	6034	5704	5461	5155	4886	4532	4230	3977	3745	3681	3576	3541	3489	3456	3476	3373	3406	3386	3436	3386	3374	3413	3327	3384	3413	3415	3378	3397	3416	3367	3391	3401	15	3604	1469	8681	9810	10548	10711	10769	10826	10778	10780	10589	10433	10536	11091	11856	12678	13637	14604	15587	16463	17252	18040	18639	19140	19523	20071	20543	20694	20235	19696	19404	19148	18721	18043	17390	16886	16455	15899	15206	14985	14985	15213	15402	15710	16015	16170	16520	16886	17225	17421	17511	17573	17530	17656	17698	17828	17917	18071	18175	17864	17573	17423	17664	17918	18108	18188	17995	17780	17497	17280	16964	16539	16118	15786	15623	15438	15135	14654	14271	13939	13609	13601	13737	13799	13679	13501	13327	13044	12705	12098	11462	11055	10951	10883	10778	10714	10712	10582	9961	9224	8662	8427	8338	8519	8835	9030	9158	9256	9192	9107	8870	8138	6991	6470	6963	7717	8077	8187	8161	8041	7871	7698	7535	7389	7280	15	2389	567	72	8388.0560000000	217
0001	30765	4821	5231	5552	5750	6131	6508	6967	7318	7690	7979	8387	9164	9983	10825	11657	12523	13211	13575	13962	14224	14412	14531	14850	15346	15874	16363	16397	16549	16894	17467	17896	18200	18791	19518	20294	20695	21154	22167	23514	25032	26524	27953	28910	29748	30565	31402	32135	32688	33016	33229	33286	33008	32313	31376	30246	28832	27027	24597	22061	19848	17906	16034	14527	13403	12732	12165	11734	11293	10946	10584	10179	9922	9783	9595	9331	9017	8701	8294	7933	7605	7403	7207	7066	7054	7006	7069	7086	6916	6679	6461	6300	5971	5741	5470	5206	4897	4532	4222	3908	3781	3666	3599	3531	3466	3464	3369	3423	3421	3436	3402	3362	3390	3334	3385	3352	3423	3383	3385	3406	3304	3381	3374	3404	15	3594	1469	8406	9489	10247	10348	10415	10453	10450	10392	10217	10082	10130	10704	11451	12206	13137	14013	14976	15778	16563	17298	17861	18332	18716	19216	19637	19794	19367	18858	18585	18312	17912	17250	16662	16161	15750	15208	14556	14326	14392	14567	14723	15019	15305	15503	15811	16142	16476	16655	16720	16749	16774	16875	16927	17000	17075	17237	17353	17088	16754	16651	16870	17068	17263	17360	17201	16942	16710	16504	16173	15757	15404	15104	14913	14714	14431	13982	13610	13293	13052	12988	13124	13188	13033	12890	12706	12523	12138	11565	10945	10539	10468	10417	10312	10252	10243	10121	9543	8838	8294	8121	8028	8183	8503	8602	8821	8899	8877	8736	8543	7838	6719	6235	6710	7431	7805	7868	7848	7707	7579	7399	7260	7132	6992	15	2366	478	73	8389.0570000000	178
0001	30765	4764	5196	5499	5752	6095	6461	6809	7242	7593	7883	8323	9066	9853	10577	11473	12338	12986	13409	13713	13999	14070	14306	14607	15116	15616	16048	16168	16163	16616	17171	17591	17915	18462	19196	19841	20306	20766	21780	23110	24562	26033	27332	28371	29156	29998	30809	31496	32046	32310	32571	32597	32378	31681	30752	29672	28195	26487	24098	21645	19461	17567	15725	14153	13162	12476	11970	11489	11098	10757	10325	10021	9755	9604	9397	9159	8874	8494	8201	7813	7518	7264	7111	6997	6901	6945	6991	6975	6793	6592	6413	6158	5958	5687	5423	5149	4827	4496	4163	3930	3794	3699	3545	3492	3466	3475	3443	3421	3442	3401	3426	3386	3389	3378	3391	3421	3366	3391	3425	3406	3387	3391	3411	3385	15	3602	1469	8489	9768	10420	10564	10648	10639	10663	10644	10516	10299	10373	10966	11682	12568	13546	14633	15588	16475	17289	18048	18727	19216	19726	20184	20633	20821	20321	19804	19473	19329	18806	18065	17422	16863	16455	15864	15259	14967	14991	15185	15316	15703	15955	16252	16531	16913	17280	17416	17552	17566	17673	17703	17742	17870	17913	18153	18208	18004	17602	17496	17731	17891	18144	18222	18132	17831	17542	17337	16932	16550	16144	15868	15618	15403	15103	14599	14219	13853	13617	13546	13676	13755	13567	13426	13215	13041	12621	11974	11330	10918	10807	10741	10651	10559	10561	10430	9801	9023	8449	8232	8131	8294	8630	8881	9003	9057	9065	8915	8681	7936	6817	6250	6745	7510	7859	7970	7975	7892	7646	7484	7311	7100	7048	15	2359	620	74	8391.0560000000	90
