SN,INTTIME(ES),SAMPLE(DELAY),ES(349.01),ES(352.33),ES(355.64),ES(358.96),ES(362.28),ES(365.60),ES(368.92),ES(372.24),ES(375.56),ES(378.88),ES(382.20),ES(385.52),ES(388.85),ES(392.17),ES(395.49),ES(398.82),ES(402.14),ES(405.47),ES(408.79),ES(412.12),ES(415.44),ES(418.77),ES(422.10),ES(425.42),ES(428.75),ES(432.08),ES(435.41),ES(438.74),ES(442.07),ES(445.40),ES(448.73),ES(452.06),ES(455.39),ES(458.72),ES(462.05),ES(465.38),ES(468.71),ES(472.04),ES(475.38),ES(478.71),ES(482.04),ES(485.37),ES(488.71),ES(492.04),ES(495.37),ES(498.71),ES(502.04),ES(505.38),ES(508.71),ES(512.04),ES(515.38),ES(518.71),ES(522.05),ES(525.38),ES(528.72),ES(532.05),ES(535.38),ES(538.72),ES(542.05),ES(545.39),ES(548.72),ES(552.06),ES(555.39),ES(558.73),ES(562.06),ES(565.40),ES(568.73),ES(572.07),ES(575.40),ES(578.73),ES(582.07),ES(585.40),ES(588.74),ES(592.07),ES(595.40),ES(598.74),ES(602.07),ES(605.41),ES(608.74),ES(612.07),ES(615.40),ES(618.74),ES(622.07),ES(625.40),ES(628.73),ES(632.06),ES(635.40),ES(638.73),ES(642.06),ES(645.39),ES(648.72),ES(652.05),ES(655.38),ES(658.71),ES(662.03),ES(665.36),ES(668.69),ES(672.02),ES(675.35),ES(678.67),ES(682.00),ES(685.33),ES(688.65),ES(691.98),ES(695.30),ES(698.62),ES(701.95),ES(705.27),ES(708.59),ES(711.92),ES(715.24),ES(718.56),ES(721.88),ES(725.20),ES(728.52),ES(731.84),ES(735.16),ES(738.48),ES(741.79),ES(745.11),ES(748.42),ES(751.74),ES(755.05),ES(758.37),ES(761.68),ES(765.00),ES(768.31),ES(771.62),ES(774.93),ES(778.24),ES(781.55),ES(784.86),ES(788.16),ES(791.47),ES(794.78),ES(798.08),ES(801.39),DARK_SAMP(ES),DARK_AVE(ES),TEMP(PCB),FRAME(COUNTER),TIMER,CHECK(SUM),DATETAG,TIMETAG2
187,0.032,0,-0.438289617,-0.463712603,-0.472822895,-0.578143609,-0.459559476,-0.414819106,-0.418660627,-0.470108926,-0.579784317,-0.454939248,-0.443517661,-0.496793788,-0.391714988,-0.427968813,-0.356003735,-0.42251107,-0.470419523,-0.469973759,-0.392517815,-0.401443049,-0.377224417,-0.346081923,-0.360629814,-0.334447137,-0.299579309,-0.227216133,-0.297429278,-0.282077854,-0.235194104,-0.228562032,-0.295069915,-0.348080481,-0.317789702,-0.273767782,-0.185019559,-0.260768485,-0.234973685,-0.333478777,-0.351015912,-0.324278525,-0.23103108,-0.245479938,-0.249884849,-0.210699641,-0.274662769,-0.216225292,-0.307953798,-0.31550156,-0.350544404,-0.2796057,-0.294589743,-0.237765207,-0.235110094,-0.353462011,-0.247722792,-0.24410308,-0.2694907,-0.281202732,-0.289177967,-0.253622887,-0.237489643,-0.227628311,-0.232359375,-0.187568666,-0.28614015,-0.284644917,-0.282921466,-0.349482796,-0.264148802,-0.284604945,-0.247442029,-0.278720431,-0.251957895,-0.312325845,-0.295672053,-0.320210731,-0.358679003,-0.282238246,-0.257507446,-0.307932553,-0.316816988,-0.249335174,-0.293691425,-0.295915917,-0.391130701,-0.349470276,-0.272699875,-0.387963086,-0.395593915,-0.364318295,-0.418686232,-0.388412866,-0.420039301,-0.476845668,-0.456396182,-0.42858349,-0.401084204,-0.438063117,-0.322854027,-0.355591433,-0.511102997,-0.40831363,-0.565658015,-0.462320516,-0.28243445,-0.459081438,-0.441042775,-0.458939633,-0.418150016,-0.410635132,-0.38235373,-0.428878825,-0.389445304,-0.281000792,-0.38979409,-0.43977841,-0.540329171,-0.43468828,-0.46937452,-0.459074412,-0.481159047,-0.457076803,-0.392841291,-0.510395405,-0.330352045,-0.443727928,-0.413777073,-0.535792232,-0.484553181,-0.562504343,-0.632582445,-0.630762597,-0.690038357,-0.62681222,-0.723726588,-0.563783987,-0.635761666,15,942,50,0,1981.44,0,2021-208,34:03.4
187,0.032,0,-0.460649621,-0.569694365,-0.512988792,-0.462682306,-0.496831885,-0.47000446,-0.363479314,-0.423543202,-0.380186438,-0.397057709,-0.482588943,-0.379232647,-0.381943367,-0.476156987,-0.422163135,-0.312360234,-0.452682233,-0.376275434,-0.400646161,-0.355174305,-0.318881346,-0.346081923,-0.373647531,-0.389965226,-0.334853675,-0.266806737,-0.26450535,-0.276701256,-0.267150548,-0.32414358,-0.26840681,-0.304951172,-0.257684014,-0.262659331,-0.320830344,-0.266554084,-0.294059806,-0.224969621,-0.277323389,-0.299347927,-0.25620472,-0.258143988,-0.338566131,-0.349521243,-0.324700392,-0.358316198,-0.344442655,-0.33939143,-0.30373728,-0.342598013,-0.305823122,-0.30393977,-0.240535753,-0.273200269,-0.295188359,-0.275303678,-0.295138894,-0.29132431,-0.26419283,-0.218979008,-0.252221642,-0.261804537,-0.246965517,-0.226492412,-0.208102371,-0.220972539,-0.347088305,-0.279586237,-0.223611867,-0.222720852,-0.236919074,-0.337795263,-0.284801262,-0.267742101,-0.335231379,-0.320210731,-0.358679003,-0.294156588,-0.3303766,-0.345056715,-0.329391337,-0.28127747,-0.37158333,-0.309084708,-0.271362186,-0.35619642,-0.347692341,-0.346287703,-0.338712803,-0.429839239,-0.329337911,-0.418738667,-0.343141419,-0.445820217,-0.386242544,-0.405126027,-0.385422053,-0.383120778,-0.385960756,-0.387322252,-0.407285201,-0.464531946,-0.42056376,-0.462320516,-0.354851476,-0.483091137,-0.361482429,-0.451030835,-0.426016041,-0.481195038,-0.35886811,-0.334958612,-0.45206464,-0.453345855,-0.436828068,-0.400512481,-0.453716506,-0.498015839,-0.485340455,-0.459074412,-0.423663087,-0.390098483,-0.52130476,-0.4664942,-0.564140477,-0.360753664,-0.517596507,-0.468258639,-0.47471094,-0.562504343,-0.530600719,-0.630762597,-0.509808018,-0.637646413,-0.701502526,-0.63233193,-0.824285614,15,942,54.5,1,1983.11,0,2021-208,34:05.1
187,0.032,0,-0.550089637,-0.580292541,-0.502947318,-0.43381698,-0.459559476,-0.396423988,-0.400266856,-0.386290622,-0.380186438,-0.464586171,-0.550963687,-0.56537112,-0.528517688,-0.476156987,-0.450517164,-0.367435652,-0.479288167,-0.359239375,-0.457544581,-0.455423251,-0.23136674,-0.387456187,-0.412700682,-0.365290519,-0.223151517,-0.289429939,-0.275479992,-0.255194862,-0.272476622,-0.19139143,-0.273739431,-0.304951172,-0.274076474,-0.262659331,-0.196337125,-0.231840494,-0.223156461,-0.279224199,-0.265041302,-0.24948673,-0.33801905,-0.35312436,-0.382906772,-0.311660806,-0.324700392,-0.321249005,-0.277546416,-0.255776887,-0.256930156,-0.233793108,-0.317056501,-0.298425223,-0.262238391,-0.283901835,-0.247722792,-0.275303678,-0.18741648,-0.250837999,-0.224216612,-0.293215891,-0.262042975,-0.193452085,-0.315127513,-0.265416157,-0.281262789,-0.284644917,-0.297729198,-0.259615791,-0.238813217,-0.233034868,-0.300056805,-0.316313506,-0.279327368,-0.317898813,-0.352185376,-0.400512924,-0.195088052,-0.323952442,-0.275724734,-0.351244075,-0.360827207,-0.249335174,-0.293691425,-0.262993938,-0.271362186,-0.248578112,-0.395414819,-0.30461232,-0.424034472,-0.378878505,-0.463360393,-0.403575767,-0.327761842,-0.36825659,-0.394037393,-0.436402645,-0.338435599,-0.4145164,-0.409625779,-0.307995203,-0.359369295,-0.336032938,-0.42056376,-0.357491418,-0.403129494,-0.315023249,-0.43308674,-0.403578048,-0.426016041,-0.496875017,-0.405839351,-0.436705509,-0.37379047,-0.37500719,-0.342760112,-0.408365667,-0.414347113,-0.387192611,-0.437442652,-0.4105533,-0.440090504,-0.457076803,-0.478483604,-0.405032514,-0.456238124,-0.508263467,-0.432653334,-0.5647352,-0.504237662,-0.662718906,-0.591789755,-0.693115562,-0.60522408,-0.670148991,-0.557046121,-0.540934672,-0.647544413,15,947,52,2,1984.78,0,2021-208,34:06.8
187,0.032,0,-0.471829623,-0.52730166,-0.472822895,-0.59738716,-0.43160517,-0.276855722,-0.464645056,-0.376977478,-0.30414915,-0.310235401,-0.404446379,-0.369435885,-0.548060931,-0.611083875,-0.450517164,-0.551020379,-0.505894102,-0.4529377,-0.327491049,-0.416865964,-0.348052881,-0.249541975,-0.230452644,-0.223410959,-0.187877151,-0.19893713,-0.26450535,-0.222935273,-0.208563733,-0.202011602,-0.247076326,-0.261821863,-0.285004781,-0.307093136,-0.275560083,-0.364909254,-0.353145927,-0.423903073,-0.289605476,-0.355441773,-0.35689928,-0.289804112,-0.300559868,-0.248560078,-0.224625146,-0.253292485,-0.247139034,-0.279666756,-0.239377484,-0.233793108,-0.23280616,-0.226736113,-0.305643665,-0.310655749,-0.332106022,-0.316904475,-0.233583229,-0.286263521,-0.289177967,-0.278368514,-0.217846978,-0.247157583,-0.246965517,-0.226492412,-0.256875983,-0.191585288,-0.282921466,-0.2196749,-0.274283035,-0.258819906,-0.242180552,-0.294831749,-0.273853473,-0.368055525,-0.199599405,-0.331682473,-0.276883528,-0.306074929,-0.251435016,-0.190372705,-0.247658074,-0.236558256,-0.274218449,-0.223487563,-0.317938831,-0.275482689,-0.306787359,-0.262936937,-0.224950579,-0.306077455,-0.210206817,-0.403575767,-0.450798454,-0.53889657,-0.378447695,-0.514594188,-0.479394961,-0.383120778,-0.433290803,-0.426985777,-0.391313232,-0.336032938,-0.404442176,-0.373618971,-0.427268503,-0.483091137,-0.353526395,-0.39566925,-0.339489768,-0.371435184,-0.507610373,-0.475838931,-0.389445304,-0.484681321,-0.436828068,-0.392659295,-0.453716506,-0.355528832,-0.349630013,-0.402466448,-0.374380835,-0.289631002,-0.409969753,-0.492834923,-0.537164888,-0.535921555,-0.59310155,-0.593678169,-0.425499738,-0.502375605,-0.469411684,-0.485272344,-0.478002664,-0.442630944,-0.44592581,-0.438112757,-0.482585959,15,945,52,3,1986.45,0,2021-208,34:08.4
187,0.032,0,-0.594809645,-0.506105307,-0.402532576,-0.347221003,-0.329106047,-0.313645958,-0.299101114,-0.283846029,-0.323158472,-0.493526941,-0.394678558,-0.486997026,-0.528517688,-0.447244083,-0.488322536,-0.385794124,-0.470419523,-0.376275434,-0.278720975,-0.386020135,-0.377224417,-0.297811949,-0.308558946,-0.322109784,-0.293700248,-0.266806737,-0.209632137,-0.325090641,-0.224541956,-0.228562032,-0.241743705,-0.27260419,-0.268612321,-0.295984685,-0.235948604,-0.266554084,-0.234973685,-0.249082767,-0.234336084,-0.24948673,-0.26249813,-0.315132211,-0.319563,-0.412621971,-0.324700392,-0.370671929,-0.368768561,-0.417033505,-0.344693514,-0.336871439,-0.305823122,-0.166076096,-0.235110094,-0.176886178,-0.194983274,-0.197302182,-0.213064674,-0.225534055,-0.199231476,-0.278368514,-0.183472314,-0.252039901,-0.266440373,-0.304339903,-0.276385428,-0.255257666,-0.356960126,-0.269601014,-0.238813217,-0.294918961,-0.247442029,-0.225016037,-0.219114527,-0.251023197,-0.239158731,-0.268587892,-0.346993936,-0.282238246,-0.366811177,-0.307932553,-0.297955466,-0.274889011,-0.332637377,-0.256409542,-0.251400767,-0.268756545,-0.265882378,-0.374071292,-0.317382386,-0.306077455,-0.359120685,-0.395994316,-0.389280148,-0.484602031,-0.440806484,-0.295657866,-0.35409775,-0.390969684,-0.378072415,-0.355591433,-0.431243154,-0.472563134,-0.42056376,-0.30104498,-0.34680514,-0.379049111,-0.409218637,-0.466848431,-0.410283991,-0.44199509,-0.398010811,-0.413225456,-0.475546891,-0.453345855,-0.342760112,-0.502603897,-0.351356085,-0.43468828,-0.397527816,-0.362032188,-0.497586464,-0.498938253,-0.461355141,-0.405032514,-0.402286947,-0.425289203,-0.479843986,-0.43931567,-0.4648687,-0.452268323,-0.469411684,-0.485272344,-0.60522408,-0.615978028,-0.490373934,-0.67803056,-0.517934199,15,940,51.5,4,1988.12,0,2021-208,34:10.1
187,0.032,0,-0.460649621,-0.601488893,-0.512988792,-0.655117811,-0.38501466,-0.617165403,-0.464645056,-0.451482636,-0.513251691,-0.474233095,-0.384910737,-0.428216456,-0.352628502,-0.341230099,-0.488322536,-0.450048779,-0.40833901,-0.401829523,-0.360004432,-0.324328475,-0.238659624,-0.387456187,-0.33459438,-0.260423018,-0.223151517,-0.261150936,-0.30840392,-0.260571461,-0.293780918,-0.308213322,-0.348396124,-0.3157335,-0.317789702,-0.318201588,-0.235948604,-0.318624468,-0.246790909,-0.285252485,-0.209771909,-0.293115277,-0.29396518,-0.372120434,-0.325897377,-0.286420515,-0.25589866,-0.296537543,-0.307953798,-0.261749354,-0.245228375,-0.233793108,-0.260889607,-0.314968864,-0.305643665,-0.299954183,-0.337379974,-0.311704376,-0.248972145,-0.346992987,-0.274186885,-0.204131632,-0.193293647,-0.252039901,-0.251834231,-0.216761475,-0.222734454,-0.260155541,-0.292793287,-0.259615791,-0.31481997,-0.310389984,-0.31057976,-0.300202188,-0.334066314,-0.379201461,-0.357836708,-0.371833569,-0.3236238,-0.3120341,-0.245362587,-0.215122147,-0.291668292,-0.294054388,-0.300182417,-0.262993938,-0.317938831,-0.342744131,-0.429502303,-0.346287703,-0.530686557,-0.320637665,-0.478251779,-0.486971721,-0.29700269,-0.414794766,-0.378447695,-0.342572792,-0.338435599,-0.336027345,-0.409625779,-0.379389547,-0.359369295,-0.376188878,-0.468928512,-0.349427641,-0.451407512,-0.427068507,-0.472866913,-0.514301219,-0.465346165,-0.426315111,-0.421496431,-0.334958612,-0.444237223,-0.35150559,-0.319243124,-0.424072038,-0.461590385,-0.43468828,-0.421476717,-0.426727004,-0.514013881,-0.507310543,-0.52130476,-0.440153478,-0.636075378,-0.600457095,-0.508158377,-0.64191645,-0.494395421,-0.54246143,-0.530600719,-0.54762531,-0.531011588,-0.453465137,-0.634830339,-0.55235933,-0.600413426,15,939,51.5,5,1989.79,0,2021-208,34:11.8
187,0.032,0,-0.617169649,-0.537899836,-0.392491102,-0.501169407,-0.403650864,-0.442411783,-0.427857513,-0.507361506,-0.551270335,-0.406704633,-0.42398202,-0.428216456,-0.528517688,-0.370143004,-0.422163135,-0.367435652,-0.40833901,-0.384793464,-0.376261124,-0.378308677,-0.369931533,-0.366769055,-0.256488078,-0.285097724,-0.252546822,-0.30074154,-0.220606779,-0.260571461,-0.288454844,-0.228562032,-0.300402536,-0.3157335,-0.290468935,-0.25155088,-0.281218865,-0.330195665,-0.270425358,-0.255111053,-0.289605476,-0.305580577,-0.25620472,-0.251811963,-0.262553604,-0.324280952,-0.287172175,-0.222403157,-0.241057558,-0.333418962,-0.327140842,-0.308238569,-0.317056501,-0.292910676,-0.321920643,-0.19828931,-0.279366503,-0.181701883,-0.274620339,-0.266020365,-0.239207694,-0.293215891,-0.252221642,-0.310627717,-0.339471083,-0.294608967,-0.330036401,-0.235666165,-0.297729198,-0.229660123,-0.2337461,-0.284604945,-0.326364193,-0.230386477,-0.246484,-0.267742101,-0.244810063,-0.285795505,-0.247670858,-0.3120341,-0.281797164,-0.369806157,-0.348252859,-0.325996684,-0.293691425,-0.361759875,-0.317938831,-0.369648708,-0.32723985,-0.318504114,-0.310272247,-0.32791777,-0.426131926,-0.388412866,-0.389280148,-0.438063854,-0.487575576,-0.373849409,-0.369759901,-0.359574061,-0.393849097,-0.363524138,-0.311453389,-0.352095314,-0.307712672,-0.405874079,-0.378990485,-0.355039412,-0.281922084,-0.474757229,-0.528274364,-0.457675069,-0.625038476,-0.460185563,-0.467719474,-0.453345855,-0.350599109,-0.408365667,-0.31986057,-0.371360721,-0.30173221,-0.523769228,-0.431876795,-0.498938253,-0.461355141,-0.343570828,-0.357327633,-0.41606984,-0.442091464,-0.400725046,-0.356604055,-0.432225411,-0.703969653,-0.485272344,-0.584020511,-0.735154147,-0.557046121,-0.746578503,-0.706458147,15,946,51.5,6,1991.46,0,2021-208,34:13.5
187,0.032,0,-0.460649621,-0.52730166,-0.432656998,-0.43381698,-0.357060354,-0.29525084,-0.400266856,-0.404916912,-0.437214403,-0.454939248,-0.355607276,-0.486997026,-0.352628502,-0.418331178,-0.497773879,-0.330718706,-0.337389852,-0.28257711,-0.311234358,-0.424577422,-0.297002695,-0.339186213,-0.360629814,-0.285097724,-0.205514334,-0.249839335,-0.231581422,-0.249818264,-0.28312877,-0.24449229,-0.231078463,-0.294168845,-0.230363247,-0.290430459,-0.218972256,-0.208698101,-0.258608134,-0.351563636,-0.344874869,-0.40530297,-0.39465974,-0.359456385,-0.325897377,-0.317970879,-0.343464501,-0.19151383,-0.27146494,-0.267721821,-0.344693514,-0.313965143,-0.283356364,-0.270852488,-0.300218006,-0.353462011,-0.284640455,-0.285703877,-0.284879616,-0.29132431,-0.249201749,-0.218979008,-0.227668311,-0.169040495,-0.193409663,-0.23135788,-0.232489177,-0.206278913,-0.287857376,-0.229660123,-0.254014568,-0.243348883,-0.152735433,-0.241127355,-0.186271159,-0.256596165,-0.244810063,-0.268587892,-0.276883528,-0.353748296,-0.342521459,-0.295557832,-0.373401555,-0.287665929,-0.326146385,-0.256409542,-0.391130701,-0.342744131,-0.347692341,-0.387963086,-0.374263498,-0.306077455,-0.336783605,-0.403575767,-0.343141419,-0.344987501,-0.347268301,-0.389487718,-0.401084204,-0.34387625,-0.512174214,-0.482514712,-0.407285201,-0.400282442,-0.42056376,-0.27685365,-0.34680514,-0.363042645,-0.369438464,-0.43521324,-0.394551942,-0.426315111,-0.413667891,-0.4914923,-0.45206464,-0.492515188,-0.436828068,-0.361246551,-0.367103842,-0.387192611,-0.501306389,-0.426727004,-0.571509841,-0.465449093,-0.529868992,-0.405032514,-0.393295084,-0.425289203,-0.460967725,-0.371782077,-0.356604055,-0.311967935,-0.591789755,-0.589193953,-0.668834788,-0.550972871,-0.557046121,-0.563783987,-0.541499692,15,946,50.5,7,1993.13,0,2021-208,34:15.1
187,0.032,0,-0.483009625,-0.516703484,-0.422615524,-0.366464554,-0.403650864,-0.368831311,-0.345085542,-0.395603767,-0.323158472,-0.503173864,-0.42398202,-0.389029409,-0.469887959,-0.437606448,-0.412711793,-0.376614888,-0.355127141,-0.29109514,-0.254335938,-0.254925359,-0.238659624,-0.256437686,-0.269505795,-0.235748312,-0.311337431,-0.283774138,-0.242556065,-0.292831051,-0.28312877,-0.292283064,-0.247076326,-0.283386518,-0.274076474,-0.318201588,-0.241607386,-0.237626092,-0.258608134,-0.188799903,-0.332592781,-0.286882628,-0.25620472,-0.258143988,-0.325897377,-0.311660806,-0.193351631,-0.197691696,-0.259301987,-0.219942083,-0.251079265,-0.296785421,-0.305823122,-0.342541599,-0.305643665,-0.310655749,-0.221353033,-0.264903478,-0.197675758,-0.225534055,-0.169249313,-0.19423338,-0.227668311,-0.242275265,-0.261571659,-0.192434134,-0.232489177,-0.23076829,-0.199010984,-0.249630569,-0.223611867,-0.248505891,-0.273749417,-0.337795263,-0.284801262,-0.284461005,-0.323928715,-0.280059634,-0.341151402,-0.264360734,-0.336449029,-0.246058949,-0.335678511,-0.345162062,-0.339128369,-0.355175479,-0.317938831,-0.396553285,-0.306787359,-0.387963086,-0.374263498,-0.407998924,-0.381457765,-0.380831415,-0.412349513,-0.259667511,-0.316088907,-0.389487718,-0.35409775,-0.375271873,-0.401737438,-0.371456843,-0.311453389,-0.344064126,-0.348016632,-0.462320516,-0.362897813,-0.419065275,-0.441042775,-0.474757229,-0.544006414,-0.379275174,-0.468467672,-0.483665616,-0.483374308,-0.359339457,-0.507379034,-0.518310269,-0.461590385,-0.403024501,-0.381561882,-0.475248116,-0.431876795,-0.281258712,-0.341455903,-0.4664942,-0.438254398,-0.508263467,-0.555349029,-0.555087544,-0.582975585,-0.432225411,-0.510204374,-0.630762597,-0.456799095,-0.410128366,-0.412589716,-0.472386729,-0.470803212,15,945,52,8,1994.8,0,2021-208,34:16.8
187,0.032,0,-0.572449641,-0.400123545,-0.472822895,-0.404951655,-0.412968966,-0.341238634,-0.400266856,-0.432856347,-0.551270335,-0.406704633,-0.502124584,-0.663338737,-0.401486609,-0.485794622,-0.46941985,-0.312360234,-0.355127141,-0.427383611,-0.392517815,-0.393731592,-0.340759998,-0.394351897,-0.386665248,-0.285097724,-0.252546822,-0.289429939,-0.176708209,-0.249818264,-0.235194104,-0.223251946,-0.135091286,-0.294168845,-0.257684014,-0.257105105,-0.247266169,-0.197126904,-0.288151194,-0.188799903,-0.252759214,-0.336743825,-0.34431246,-0.302468161,-0.38924115,-0.349521243,-0.324700392,-0.352138333,-0.295790845,-0.333418962,-0.262781046,-0.262425978,-0.300206433,-0.270852488,-0.251387072,-0.241095572,-0.289914407,-0.259703379,-0.233583229,-0.296385099,-0.254198776,-0.214029883,-0.242400309,-0.227628311,-0.232359375,-0.207030539,-0.232489177,-0.176891662,-0.282921466,-0.2196749,-0.254014568,-0.253662899,-0.257964984,-0.235756916,-0.251957895,-0.278888037,-0.273066724,-0.348890086,-0.335308868,-0.341829954,-0.245362587,-0.239871588,-0.348252859,-0.28127747,-0.267727457,-0.40126625,-0.331246444,-0.35619642,-0.347692341,-0.436584366,-0.409814193,-0.480799974,-0.426131926,-0.380831415,-0.443108665,-0.360500227,-0.331678604,-0.381668564,-0.361928826,-0.398818589,-0.393849097,-0.371456843,-0.375341263,-0.40831363,-0.42056376,-0.373618971,-0.47554652,-0.451078206,-0.34557036,-0.411486846,-0.465346165,-0.418475122,-0.413667891,-0.381918719,-0.37379047,-0.414176523,-0.350599109,-0.369099737,-0.500959778,-0.371360721,-0.429459685,-0.442900708,-0.472945338,-0.465449093,-0.478483604,-0.422592996,-0.41127881,-0.508263467,-0.460967725,-0.458610983,-0.435341979,-0.432225411,-0.489808029,-0.516448827,-0.584020511,-0.572641257,-0.523710028,-0.700879874,-0.576847932,15,940,52,9,1996.47,0,2021-208,34:18.5
