SN,INTTIME(ES),SAMPLE(DELAY),ES(349.01),ES(352.33),ES(355.64),ES(358.96),ES(362.28),ES(365.60),ES(368.92),ES(372.24),ES(375.56),ES(378.88),ES(382.20),ES(385.52),ES(388.85),ES(392.17),ES(395.49),ES(398.82),ES(402.14),ES(405.47),ES(408.79),ES(412.12),ES(415.44),ES(418.77),ES(422.10),ES(425.42),ES(428.75),ES(432.08),ES(435.41),ES(438.74),ES(442.07),ES(445.40),ES(448.73),ES(452.06),ES(455.39),ES(458.72),ES(462.05),ES(465.38),ES(468.71),ES(472.04),ES(475.38),ES(478.71),ES(482.04),ES(485.37),ES(488.71),ES(492.04),ES(495.37),ES(498.71),ES(502.04),ES(505.38),ES(508.71),ES(512.04),ES(515.38),ES(518.71),ES(522.05),ES(525.38),ES(528.72),ES(532.05),ES(535.38),ES(538.72),ES(542.05),ES(545.39),ES(548.72),ES(552.06),ES(555.39),ES(558.73),ES(562.06),ES(565.40),ES(568.73),ES(572.07),ES(575.40),ES(578.73),ES(582.07),ES(585.40),ES(588.74),ES(592.07),ES(595.40),ES(598.74),ES(602.07),ES(605.41),ES(608.74),ES(612.07),ES(615.40),ES(618.74),ES(622.07),ES(625.40),ES(628.73),ES(632.06),ES(635.40),ES(638.73),ES(642.06),ES(645.39),ES(648.72),ES(652.05),ES(655.38),ES(658.71),ES(662.03),ES(665.36),ES(668.69),ES(672.02),ES(675.35),ES(678.67),ES(682.00),ES(685.33),ES(688.65),ES(691.98),ES(695.30),ES(698.62),ES(701.95),ES(705.27),ES(708.59),ES(711.92),ES(715.24),ES(718.56),ES(721.88),ES(725.20),ES(728.52),ES(731.84),ES(735.16),ES(738.48),ES(741.79),ES(745.11),ES(748.42),ES(751.74),ES(755.05),ES(758.37),ES(761.68),ES(765.00),ES(768.31),ES(771.62),ES(774.93),ES(778.24),ES(781.55),ES(784.86),ES(788.16),ES(791.47),ES(794.78),ES(798.08),ES(801.39),DARK_SAMP(ES),DARK_AVE(ES),TEMP(PCB),FRAME(COUNTER),TIMER,CHECK(SUM),DATETAG,TIMETAG2
187,0.032,0,-0.516549631,-0.44251625,-0.523030266,-0.347221003,-0.459559476,-0.506794695,-0.510629484,-0.53530094,-0.579784317,-0.348823094,-0.511892405,-0.467403503,-0.440573095,-0.466519352,-0.478871193,-0.413331834,-0.443813589,-0.410347552,-0.327491049,-0.455423251,-0.333467114,-0.318499081,-0.33459438,-0.315941107,-0.30545837,-0.379922748,-0.275479992,-0.271324657,-0.235194104,-0.228562032,-0.193750117,-0.277995354,-0.306861395,-0.262659331,-0.224631038,-0.289696477,-0.270425358,-0.285252485,-0.222053996,-0.24948673,-0.38836633,-0.289804112,-0.38924115,-0.349521243,-0.312190987,-0.25947035,-0.344442655,-0.321474028,-0.29788639,-0.256699404,-0.238422849,-0.226736113,-0.197130479,-0.305304966,-0.305736263,-0.306504276,-0.2694907,-0.296385099,-0.31916013,-0.268470263,-0.257132308,-0.242275265,-0.276177801,-0.172972261,-0.24712126,-0.255257666,-0.258241912,-0.284578848,-0.248947451,-0.320704,-0.268487939,-0.267979552,-0.31764463,-0.334617717,-0.31262605,-0.389041182,-0.271040994,-0.317993271,-0.378956036,-0.246058949,-0.373401555,-0.364327439,-0.352110353,-0.414435041,-0.424399733,-0.396553285,-0.415867309,-0.387963086,-0.452475028,-0.437119344,-0.433577619,-0.449064469,-0.358520995,-0.422551129,-0.378447695,-0.389487718,-0.448070658,-0.336027345,-0.362295732,-0.434918482,-0.447215122,-0.44846957,-0.501171679,-0.373618971,-0.443361175,-0.515104068,-0.43308674,-0.498483623,-0.426016041,-0.481195038,-0.37452519,-0.36626535,-0.436409806,-0.453345855,-0.381955094,-0.471191154,-0.398599356,-0.442604225,-0.445425619,-0.329684781,-0.497586464,-0.507310543,-0.52130476,-0.4664942,-0.492205575,-0.600457095,-0.564787159,-0.593678169,-0.582975585,-0.482332692,-0.57139341,-0.693115562,-0.668834788,-0.691817377,-0.657054401,-0.746578503,-0.76537188,15,938,51,119,2180.19,0,2021-208,37:22.2
187,0.032,0,-0.605989647,-0.654479775,-0.492905843,-0.289490352,-0.38501466,-0.276855722,-0.400266856,-0.339724898,-0.541765674,-0.454939248,-0.404446379,-0.438013217,-0.577375795,-0.331592464,-0.459968507,-0.495944961,-0.39060172,-0.333685287,-0.392517815,-0.470846166,-0.32617423,-0.373664766,-0.406191823,-0.297435077,-0.334853675,-0.278118338,-0.30840392,-0.249818264,-0.288454844,-0.223251946,-0.26840681,-0.191736735,-0.246755707,-0.257105105,-0.14540808,-0.289696477,-0.234973685,-0.315393917,-0.344874869,-0.386605021,-0.34431246,-0.410112583,-0.36390364,-0.34321117,-0.368483313,-0.247114619,-0.326198227,-0.285639223,-0.227675703,-0.210886812,-0.249656228,-0.243279754,-0.278515368,-0.337409663,-0.316284166,-0.296104077,-0.295138894,-0.266020365,-0.299172021,-0.218979008,-0.301328305,-0.281333809,-0.242096803,-0.158375856,-0.237366538,-0.225870414,-0.277985555,-0.209689678,-0.223611867,-0.222720852,-0.279010895,-0.246497795,-0.164375581,-0.262169133,-0.335231379,-0.308738989,-0.311938732,-0.407380833,-0.20892801,-0.326494634,-0.27280677,-0.274889011,-0.287200433,-0.256409542,-0.357861669,-0.383100997,-0.470407284,-0.387963086,-0.36004322,-0.480799974,-0.433577619,-0.502134621,-0.435418877,-0.438063854,-0.534344668,-0.405126027,-0.432408507,-0.430214211,-0.456955826,-0.419053072,-0.359369295,-0.352095314,-0.452806928,-0.381682748,-0.427268503,-0.467084671,-0.425130706,-0.451030835,-0.536140389,-0.418475122,-0.335382489,-0.428878825,-0.475546891,-0.414176523,-0.428989072,-0.376952923,-0.437968749,-0.48218395,-0.445425619,-0.418640152,-0.357953418,-0.431959933,-0.367148597,-0.413812755,-0.492205575,-0.480605379,-0.479843986,-0.400725046,-0.523922142,-0.612611624,-0.510204374,-0.661939079,-0.647631219,-0.713485762,-0.612606277,-0.689455217,-0.6946754,15,944,52.5,120,2181.86,0,2021-208,37:23.8
187,0.032,0,-0.382389607,-0.537899836,-0.593320585,-0.395329879,-0.329106047,-0.387226429,-0.391069971,-0.395603767,-0.370681777,-0.387410786,-0.502124584,-0.604558167,-0.567604174,-0.533982796,-0.535579251,-0.394973361,-0.417207654,-0.393311493,-0.303106012,-0.308905561,-0.32617423,-0.277124817,-0.28903237,-0.241916988,-0.246667761,-0.238527734,-0.237068743,-0.282077854,-0.272476622,-0.29759315,-0.305735157,-0.294168845,-0.36150293,-0.290430459,-0.292536431,-0.226054896,-0.329511478,-0.279224199,-0.301887563,-0.349209124,-0.24991131,-0.315132211,-0.262553604,-0.374761534,-0.25589866,-0.296537543,-0.32011675,-0.285639223,-0.239377484,-0.228066534,-0.23280616,-0.254308848,-0.229684435,-0.155483047,-0.247722792,-0.24410308,-0.243842506,-0.316628254,-0.26419283,-0.273419389,-0.237489643,-0.252039901,-0.251834231,-0.28487803,-0.276385428,-0.274849167,-0.317472841,-0.264608403,-0.269215918,-0.258819906,-0.28953385,-0.305572627,-0.339540208,-0.245450229,-0.244810063,-0.268587892,-0.29441113,-0.353748296,-0.293942023,-0.363618796,-0.316816988,-0.377104358,-0.397547298,-0.282747125,-0.278015992,-0.302387266,-0.313604856,-0.262936937,-0.253391135,-0.349758085,-0.321892218,-0.441483018,-0.389280148,-0.438063854,-0.401832241,-0.436402645,-0.440239583,-0.398818589,-0.330742368,-0.426985777,-0.327425357,-0.384220066,-0.42056376,-0.365555195,-0.378990485,-0.323026481,-0.409218637,-0.419395644,-0.481078215,-0.44199509,-0.38235373,-0.460185563,-0.53033881,-0.469013588,-0.358438105,-0.392659295,-0.367103842,-0.387192611,-0.405510783,-0.459074412,-0.423663087,-0.381726193,-0.409969753,-0.334790587,-0.41127881,-0.379192389,-0.385462682,-0.603325825,-0.642029028,-0.452268323,-0.65297879,-0.734684206,-0.499206234,-0.540138678,-0.623718308,-0.609482616,-0.671109906,15,945,52.5,121,2183.53,0,2021-208,37:25.5
187,0.032,0,-0.460649621,-0.559096189,-0.502947318,-0.222137925,-0.478195681,-0.424016665,-0.326691771,-0.488735216,-0.475233047,-0.52246771,-0.443517661,-0.369435885,-0.274455531,-0.32195483,-0.337101049,-0.349077179,-0.372864431,-0.299613169,-0.319362704,-0.401443049,-0.32617423,-0.235750554,-0.276014653,-0.315941107,-0.246667761,-0.261150936,-0.275479992,-0.260571461,-0.224541956,-0.24449229,-0.236411084,-0.27260419,-0.230363247,-0.257105105,-0.190678342,-0.231840494,-0.234973685,-0.249082767,-0.252759214,-0.212090833,-0.33801905,-0.220151839,-0.319563,-0.280110442,-0.293426878,-0.290359678,-0.265383463,-0.291611691,-0.262781046,-0.302511995,-0.255272917,-0.35908524,-0.251387072,-0.321357315,-0.252996744,-0.264903478,-0.259231423,-0.271081154,-0.299172021,-0.228877259,-0.242400309,-0.232510629,-0.237228089,-0.289743499,-0.232489177,-0.216074664,-0.268113734,-0.28957146,-0.248947451,-0.253662899,-0.31057976,-0.305572627,-0.323118525,-0.290033973,-0.222204734,-0.331682473,-0.259355926,-0.246483222,-0.245362587,-0.258433669,-0.260232422,-0.294054388,-0.384565314,-0.276162729,-0.357861669,-0.342744131,-0.347692341,-0.443530263,-0.36004322,-0.386158609,-0.411240539,-0.441483018,-0.427729089,-0.329474776,-0.284909512,-0.436402645,-0.432408507,-0.296782817,-0.322854027,-0.323860613,-0.327425357,-0.311939374,-0.396381384,-0.32523631,-0.34680514,-0.29101355,-0.289878118,-0.364034058,-0.284427593,-0.355755205,-0.34321103,-0.468012247,-0.412927555,-0.453345855,-0.405472083,-0.43977841,-0.508833657,-0.585091233,-0.52525529,-0.507595524,-0.481159047,-0.465449093,-0.418533985,-0.492834923,-0.330352045,-0.360753664,-0.253328857,-0.381429734,-0.4648687,-0.452268323,-0.581591582,-0.495664505,-0.637029434,-0.572641257,-0.501485965,-0.4266881,-0.435454972,15,943,52.5,122,2185.2,0,2021-208,37:27.2
187,0.032,0,-0.427109615,-0.537899836,-0.462781421,-0.481925857,-0.338424149,-0.442411783,-0.483038827,-0.311785464,-0.465728386,-0.387410786,-0.511892405,-0.408622932,-0.469887959,-0.389418274,-0.30874702,-0.459228015,-0.434944944,-0.418865582,-0.311234358,-0.278059731,-0.260538275,-0.297811949,-0.28903237,-0.32827846,-0.299579309,-0.249839335,-0.193170173,-0.228311871,-0.224541956,-0.21794186,-0.236411084,-0.3157335,-0.301397242,-0.329310039,-0.292536431,-0.266554084,-0.282242582,-0.303337345,-0.258900258,-0.324278525,-0.35689928,-0.334128286,-0.338566131,-0.349521243,-0.36222861,-0.228581023,-0.210650177,-0.249804419,-0.274482827,-0.291058847,-0.339523259,-0.292910676,-0.294792346,-0.273200269,-0.210805129,-0.296104077,-0.218194313,-0.276141943,-0.199231476,-0.233826385,-0.18838298,-0.261804537,-0.222621947,-0.177837729,-0.24712126,-0.318930044,-0.223690537,-0.239645346,-0.289484386,-0.233034868,-0.231657596,-0.310943067,-0.312170735,-0.273315069,-0.278718056,-0.348890086,-0.288568596,-0.401421662,-0.293942023,-0.320307273,-0.216222203,-0.345162062,-0.365092338,-0.183981188,-0.258054573,-0.30911341,-0.334057347,-0.346287703,-0.36004322,-0.415279029,-0.433577619,-0.449064469,-0.358520995,-0.407038403,-0.331678604,-0.326934483,-0.307111296,-0.375271873,-0.314965686,-0.363524138,-0.343397326,-0.319970562,-0.388320592,-0.373618971,-0.378990485,-0.451078206,-0.496735017,-0.466848431,-0.52040834,-0.504715007,-0.484124753,-0.342785297,-0.420754972,-0.390674923,-0.280048142,-0.376952923,-0.367103842,-0.43468828,-0.421476717,-0.378205892,-0.472945338,-0.398470773,-0.52130476,-0.422592996,-0.573132339,-0.526702193,-0.687482854,-0.651564106,-0.533764383,-0.632654537,-0.489808029,-0.495664505,-0.552215157,-0.594309642,-0.612606277,-0.483811386,-0.600413426,15,940,52,123,2186.87,0,2021-208,37:28.9
187,0.032,0,-0.617169649,-0.622685246,-0.472822895,-0.462682306,-0.422287068,-0.313645958,-0.45544817,-0.376977478,-0.484737708,-0.300588478,-0.443517661,-0.467403503,-0.567604174,-0.514707526,-0.56393328,-0.505124197,-0.363995786,-0.461455729,-0.278720975,-0.401443049,-0.32617423,-0.339186213,-0.249979219,-0.278929048,-0.328974614,-0.272462537,-0.253530707,-0.206805478,-0.347041658,-0.255112462,-0.279072052,-0.321124663,-0.268612321,-0.329310039,-0.292536431,-0.295482075,-0.294059806,-0.32745049,-0.344874869,-0.380372372,-0.35689928,-0.35312436,-0.325897377,-0.362141389,-0.368483313,-0.296537543,-0.344442655,-0.291611691,-0.356395295,-0.325418291,-0.339523259,-0.270852488,-0.300218006,-0.267849486,-0.289914407,-0.296104077,-0.259231423,-0.266020365,-0.294174994,-0.32785977,-0.301328305,-0.256922219,-0.251834231,-0.221626943,-0.300772234,-0.245461915,-0.307601019,-0.2196749,-0.294551503,-0.310389984,-0.31057976,-0.294831749,-0.262905684,-0.312325845,-0.278718056,-0.337418344,-0.346993936,-0.317993271,-0.360738747,-0.363618796,-0.360827207,-0.217392878,-0.339128369,-0.309084708,-0.297977412,-0.302387266,-0.361327334,-0.457422057,-0.402704054,-0.320637665,-0.441023312,-0.540041873,-0.343141419,-0.562165658,-0.433011636,-0.459860108,-0.479394961,-0.461609834,-0.378072415,-0.300062498,-0.423257169,-0.456500758,-0.404442176,-0.333300087,-0.443361175,-0.443074973,-0.560383293,-0.451030835,-0.386685917,-0.371435184,-0.327553949,-0.405398772,-0.240724382,-0.445511989,-0.374116098,-0.518310269,-0.414347113,-0.490099894,-0.445425619,-0.523769228,-0.440090504,-0.423587643,-0.538433223,-0.45771396,-0.402286947,-0.499044105,-0.442091464,-0.535792232,-0.4648687,-0.602590168,-0.469411684,-0.703507723,-0.647631219,-0.62681222,-0.712614557,-0.700879874,-0.824285614,15,943,51.5,124,2188.54,0,2021-208,37:30.5
187,0.032,0,-0.449469619,-0.484908955,-0.543113214,-0.41457343,-0.478195681,-0.515992254,-0.446251284,-0.488735216,-0.513251691,-0.435645402,-0.43374984,-0.389029409,-0.499202824,-0.456881717,-0.545030594,-0.330718706,-0.497025457,-0.487009818,-0.335619395,-0.447711794,-0.428274604,-0.394351897,-0.321576663,-0.334447137,-0.30545837,-0.261150936,-0.280967314,-0.212182076,-0.251172326,-0.260422548,-0.332398261,-0.283386518,-0.366967084,-0.279322008,-0.326489127,-0.27812528,-0.229065073,-0.297309058,-0.252759214,-0.311813226,-0.33172564,-0.384784484,-0.344900509,-0.336901098,-0.349719204,-0.240936754,-0.259301987,-0.333418962,-0.356395295,-0.319691717,-0.249656228,-0.248794301,-0.175427842,-0.283901835,-0.284640455,-0.23890298,-0.223323952,-0.266020365,-0.284180939,-0.28331764,-0.276774973,-0.266686855,-0.232359375,-0.343263649,-0.315404317,-0.235666165,-0.263177823,-0.239645346,-0.223611867,-0.248505891,-0.321102715,-0.219645598,-0.339540208,-0.273315069,-0.256112727,-0.325946602,-0.288568596,-0.335870783,-0.312159311,-0.388368238,-0.27280677,-0.383492817,-0.423511266,-0.440772625,-0.424399733,-0.403279429,-0.415867309,-0.457422057,-0.374263498,-0.386158609,-0.403794845,-0.433901568,-0.420039301,-0.45357658,-0.401832241,-0.358211101,-0.35409775,-0.328178439,-0.433290803,-0.379389547,-0.407285201,-0.416344818,-0.485050095,-0.381682748,-0.443361175,-0.355039412,-0.401262602,-0.332398867,-0.331623743,-0.27735531,-0.35886811,-0.350611981,-0.350308219,-0.422010389,-0.374116098,-0.384806109,-0.367103842,-0.43468828,-0.477357487,-0.507595524,-0.579723549,-0.507310543,-0.538433223,-0.510395405,-0.528173026,-0.480605379,-0.460967725,-0.506849263,-0.386130776,-0.392139586,-0.500006202,-0.558017471,-0.435595526,-0.518470293,-0.512597996,-0.529510015,-0.541499692,15,941,53,125,2190.21,0,2021-208,37:32.2
187,0.032,0,-0.471829623,-0.52730166,-0.382449627,-0.481925857,-0.459559476,-0.405621547,-0.372676199,-0.395603767,-0.522756352,-0.464586171,-0.482588943,-0.457606741,-0.508974445,-0.370143004,-0.337101049,-0.42251107,-0.399470365,-0.308131198,-0.335619395,-0.308905561,-0.180316553,-0.318499081,-0.223943785,-0.174061546,-0.2407887,-0.221560332,-0.291941956,-0.239065068,-0.245846252,-0.212631774,-0.32706564,-0.294168845,-0.2358274,-0.312647362,-0.281218865,-0.295482075,-0.270425358,-0.212913048,-0.344874869,-0.274417329,-0.28767177,-0.277140062,-0.300559868,-0.254870151,-0.330955095,-0.284181812,-0.332279703,-0.285639223,-0.362246185,-0.302511995,-0.361990016,-0.287396129,-0.262238391,-0.2946034,-0.274092551,-0.23370288,-0.192546119,-0.240716421,-0.199231476,-0.253622887,-0.262042975,-0.203216721,-0.222621947,-0.192434134,-0.178838204,-0.220972539,-0.213818716,-0.2196749,-0.269215918,-0.207249829,-0.221134641,-0.257238673,-0.251957895,-0.317898813,-0.256112727,-0.325946602,-0.276883528,-0.300115759,-0.306086882,-0.289370471,-0.310529814,-0.223781337,-0.397547298,-0.170812396,-0.297977412,-0.262030401,-0.347692341,-0.297666423,-0.402704054,-0.415279029,-0.307000831,-0.433901568,-0.343141419,-0.399282041,-0.316088907,-0.342572792,-0.307111296,-0.4145164,-0.401737438,-0.323860613,-0.431243154,-0.336032938,-0.501171679,-0.30104498,-0.314619795,-0.339032947,-0.385350533,-0.292854877,-0.339489768,-0.332235237,-0.413667891,-0.421052141,-0.358135636,-0.500349054,-0.38979409,-0.455484782,-0.406473235,-0.418856391,-0.373578914,-0.426727004,-0.464731629,-0.348237032,-0.409969753,-0.36991155,-0.456238124,-0.489824742,-0.385462682,-0.535792232,-0.504237662,-0.632654537,-0.489808029,-0.474880184,-0.456799095,-0.540138678,-0.612606277,-0.655181245,-0.671109906,15,946,51.5,126,2191.88,0,2021-208,37:33.9
187,0.032,0,-0.68424966,-0.453114426,-0.432656998,-0.404951655,-0.534104293,-0.442411783,-0.427857513,-0.451482636,-0.30414915,-0.339176171,-0.365375096,-0.28126503,-0.352628502,-0.360505369,-0.318198363,-0.459228015,-0.328521207,-0.222950904,-0.425031198,-0.301194103,-0.348052881,-0.346081923,-0.256488078,-0.198736253,-0.270184004,-0.244183534,-0.220606779,-0.303584247,-0.245846252,-0.239182204,-0.231078463,-0.245648372,-0.246755707,-0.279322008,-0.224631038,-0.226054896,-0.258608134,-0.26113934,-0.326451738,-0.336743825,-0.26249813,-0.34046031,-0.332231754,-0.374761534,-0.324700392,-0.327426871,-0.314035274,-0.303556626,-0.251079265,-0.268152552,-0.260889607,-0.248794301,-0.245961413,-0.241095572,-0.279366503,-0.280503778,-0.290009255,-0.215412477,-0.214222558,-0.263521138,-0.203114979,-0.222745993,-0.232359375,-0.20216507,-0.242243899,-0.23076829,-0.164459609,-0.259615791,-0.274283035,-0.233034868,-0.210611686,-0.310943067,-0.257431789,-0.284461005,-0.267415392,-0.182549828,-0.276883528,-0.306074929,-0.245362587,-0.283183111,-0.297955466,-0.35793898,-0.313164401,-0.342006687,-0.311285024,-0.336017987,-0.252247384,-0.283774628,-0.395593915,-0.364318295,-0.336783605,-0.456645919,-0.412349513,-0.36825659,-0.362857998,-0.342572792,-0.330604523,-0.390969684,-0.322854027,-0.331793318,-0.375341263,-0.440438382,-0.42056376,-0.397810302,-0.370944149,-0.339032947,-0.369438464,-0.379851654,-0.386685917,-0.324395247,-0.476296213,-0.428878825,-0.342480802,-0.312336258,-0.381955094,-0.408365667,-0.445842628,-0.418856391,-0.333664079,-0.45098756,-0.555082423,-0.398470773,-0.487047835,-0.527955887,-0.438254398,-0.563579644,-0.58366342,-0.43931567,-0.563291104,-0.532439974,-0.510204374,-0.454095862,-0.499206234,-0.496801908,-0.512597996,-0.518085358,-0.506151452,15,948,53,127,2193.55,0,2021-208,37:35.5
187,0.032,0,-0.483009625,-0.453114426,-0.342283731,-0.385708104,-0.403650864,-0.350436193,-0.510629484,-0.265219739,-0.361177116,-0.512820787,-0.463053302,-0.526184073,-0.323313638,-0.370143004,-0.412711793,-0.440869543,-0.328521207,-0.401829523,-0.327491049,-0.200945157,-0.267831159,-0.366769055,-0.373647531,-0.396133902,-0.276063065,-0.266806737,-0.220606779,-0.217558674,-0.187259437,-0.196701516,-0.215080601,-0.261821863,-0.230363247,-0.196008623,-0.258583735,-0.168198913,-0.211339237,-0.255111053,-0.209771909,-0.318045876,-0.31284541,-0.270808037,-0.338566131,-0.305350734,-0.280917472,-0.222403157,-0.301872321,-0.255776887,-0.391500638,-0.325418291,-0.339523259,-0.30393977,-0.240535753,-0.251797138,-0.179161418,-0.23370288,-0.207935035,-0.29132431,-0.269189858,-0.223928134,-0.271864307,-0.198334403,-0.159328665,-0.207030539,-0.169083481,-0.269951291,-0.297729198,-0.214682289,-0.279350152,-0.284604945,-0.28953385,-0.294831749,-0.306696841,-0.290033973,-0.267415392,-0.262852021,-0.241828324,-0.276279075,-0.257507446,-0.252246309,-0.329391337,-0.28127747,-0.332637377,-0.342006687,-0.371169282,-0.268756545,-0.334057347,-0.276828731,-0.281831691,-0.291517245,-0.351674991,-0.342924164,-0.320072054,-0.407038403,-0.425216787,-0.334753638,-0.369759901,-0.477307645,-0.401737438,-0.403187662,-0.495131028,-0.376188878,-0.412502968,-0.333300087,-0.41117583,-0.387052344,-0.401262602,-0.332398867,-0.410283991,-0.418475122,-0.390182271,-0.460185563,-0.436409806,-0.453345855,-0.358438105,-0.455484782,-0.398599356,-0.379276666,-0.41349375,-0.378205892,-0.382594544,-0.465449093,-0.384277059,-0.405032514,-0.528173026,-0.563579644,-0.376024552,-0.5647352,-0.563291104,-0.612611624,-0.489808029,-0.54762531,-0.424993741,-0.38845998,-0.468149872,-0.460962071,-0.647544413,15,942,50.5,128,2195.22,0,2021-208,37:37.2
