SN	INTTIME(ES)	SAMPLE(DELAY)	ES(349.01)	ES(352.33)	ES(355.64)	ES(358.96)	ES(362.28)	ES(365.60)	ES(368.92)	ES(372.24)	ES(375.56)	ES(378.88)	ES(382.20)	ES(385.52)	ES(388.85)	ES(392.17)	ES(395.49)	ES(398.82)	ES(402.14)	ES(405.47)	ES(408.79)	ES(412.12)	ES(415.44)	ES(418.77)	ES(422.10)	ES(425.42)	ES(428.75)	ES(432.08)	ES(435.41)	ES(438.74)	ES(442.07)	ES(445.40)	ES(448.73)	ES(452.06)	ES(455.39)	ES(458.72)	ES(462.05)	ES(465.38)	ES(468.71)	ES(472.04)	ES(475.38)	ES(478.71)	ES(482.04)	ES(485.37)	ES(488.71)	ES(492.04)	ES(495.37)	ES(498.71)	ES(502.04)	ES(505.38)	ES(508.71)	ES(512.04)	ES(515.38)	ES(518.71)	ES(522.05)	ES(525.38)	ES(528.72)	ES(532.05)	ES(535.38)	ES(538.72)	ES(542.05)	ES(545.39)	ES(548.72)	ES(552.06)	ES(555.39)	ES(558.73)	ES(562.06)	ES(565.40)	ES(568.73)	ES(572.07)	ES(575.40)	ES(578.73)	ES(582.07)	ES(585.40)	ES(588.74)	ES(592.07)	ES(595.40)	ES(598.74)	ES(602.07)	ES(605.41)	ES(608.74)	ES(612.07)	ES(615.40)	ES(618.74)	ES(622.07)	ES(625.40)	ES(628.73)	ES(632.06)	ES(635.40)	ES(638.73)	ES(642.06)	ES(645.39)	ES(648.72)	ES(652.05)	ES(655.38)	ES(658.71)	ES(662.03)	ES(665.36)	ES(668.69)	ES(672.02)	ES(675.35)	ES(678.67)	ES(682.00)	ES(685.33)	ES(688.65)	ES(691.98)	ES(695.30)	ES(698.62)	ES(701.95)	ES(705.27)	ES(708.59)	ES(711.92)	ES(715.24)	ES(718.56)	ES(721.88)	ES(725.20)	ES(728.52)	ES(731.84)	ES(735.16)	ES(738.48)	ES(741.79)	ES(745.11)	ES(748.42)	ES(751.74)	ES(755.05)	ES(758.37)	ES(761.68)	ES(765.00)	ES(768.31)	ES(771.62)	ES(774.93)	ES(778.24)	ES(781.55)	ES(784.86)	ES(788.16)	ES(791.47)	ES(794.78)	ES(798.08)	ES(801.39)	DARK_SAMP(ES)	DARK_AVE(ES)	TEMP(PCB)	FRAME(COUNTER)	TIMER	CHECK(SUM)	DATETAG	TIMETAG2
0187	0.0320000000	0.0000000000	-0.5053696289	-0.5696943647	-0.4929058434	-0.5589000586	-0.3663784556	-0.3320410754	-0.3542824280	-0.5539272298	-0.4942423689	-0.5031738639	-0.5998027899	-0.4282164556	-0.3917149880	-0.3412300992	-0.3371010489	-0.3857941244	-0.5058941017	-0.3507213458	-0.3762611237	-0.3243284753	-0.2678311592	-0.3529776338	-0.2695057949	-0.2604230180	-0.2290305776	-0.2498393348	-0.2041448152	-0.2390650675	-0.2405201776	-0.1754611717	-0.2630741890	-0.2186925537	-0.2248990931	-0.2182255258	-0.2868776481	-0.2781252802	-0.2881511939	-0.2370261939	-0.2527592143	-0.3429764740	-0.3317256399	-0.3531243599	-0.3132286222	-0.3432111704	-0.2496439574	-0.2224031574	-0.2775464160	-0.2617493540	-0.3154390612	-0.2452462559	-0.3058231220	-0.2873961293	-0.2730897090	-0.3641635771	-0.3004623106	-0.2805037775	-0.2592314225	-0.2002301105	-0.1792433672	-0.2338263846	-0.2227576442	-0.1983344033	-0.2226219470	-0.2751470939	-0.2617533440	-0.2895427922	-0.2631778228	-0.1697487866	-0.2894843858	-0.2381918753	-0.2106116860	-0.2626091127	-0.2683795785	-0.2343042934	-0.3126260501	-0.2513802796	-0.2009305860	-0.2286057092	-0.3789560357	-0.2769957505	-0.2979554662	-0.3259966842	-0.3586013455	-0.3485910832	-0.3179388308	-0.2956611218	-0.3204223531	-0.3115582170	-0.3102722470	-0.3788785045	-0.3889034584	-0.2822725605	-0.4354188772	-0.4380638542	-0.3940373927	-0.3503919463	-0.3384355985	-0.4302142114	-0.2203055917	-0.3476587276	-0.4072852006	-0.3199705617	-0.3963813838	-0.4461929626	-0.3950831576	-0.3630426451	-0.4092186365	-0.4668484311	-0.4102839913	-0.2930352890	-0.4293249715	-0.3584386654	-0.2798614666	-0.4533458550	-0.3897940901	-0.5026038972	-0.3749777204	-0.4821839496	-0.4055107830	-0.4590744119	-0.4647316294	-0.3314924523	-0.3757128280	-0.3874720321	-0.3843032217	-0.2685600363	-0.4420914643	-0.5261445757	-0.4747109403	-0.5023756049	-0.4898080292	-0.6099782750	-0.5204098028	-0.4642993293	-0.5459340897	-0.4723867287	-0.4943687052	15	943	53.5000000000	179	2280.4000000000	0	2021-208	18:39:02.377
0187	0.0320000000	0.0000000000	-0.5389096348	-0.5061053074	-0.3924911015	-0.4145734299	-0.5061499868	-0.5343873721	-0.4738419412	-0.5446140849	-0.4847377079	-0.4645861714	-0.4435176608	-0.5555743581	-0.5676041736	-0.3219548296	-0.4505171643	-0.3582564154	-0.3019152727	-0.2740590805	-0.4087745066	-0.3166170179	-0.3115884622	-0.3391862126	-0.2564880779	-0.3221097835	-0.2407886995	-0.2102487307	-0.2096321366	-0.2498182641	-0.2192158814	-0.2604225477	-0.2844046727	-0.2348660447	-0.3068613953	-0.2682135566	-0.2755600827	-0.2260548957	-0.2349736851	-0.2852524853	-0.2220539962	-0.2806499782	-0.1932706204	-0.2644760125	-0.2498848494	-0.2106996413	-0.2809174720	-0.2841818123	-0.2836278923	-0.2557768867	-0.3329917327	-0.3139651432	-0.2945897431	-0.2487943006	-0.3273463019	-0.2196924410	-0.2213530330	-0.1973021824	-0.2489721451	-0.1850477440	-0.1742463400	-0.1793860038	-0.2031149790	-0.2325106291	-0.2323593749	-0.2848780303	-0.2032250095	-0.2895427922	-0.2384982693	-0.1997044549	-0.2084105161	-0.2227208520	-0.2158731636	-0.2411273554	-0.2957490515	-0.2956069413	-0.2843693887	-0.3718335692	-0.2301432559	-0.3060749293	-0.3425214586	-0.2893704713	-0.2350837255	-0.3834928169	-0.2677274571	-0.3815130623	-0.3645154755	-0.2620304006	-0.3613273343	-0.2351533483	-0.3316026641	-0.3060774545	-0.3814577650	-0.3656685146	-0.3123822660	-0.2441547860	-0.4018322413	-0.4676792620	-0.3149423714	-0.3831207781	-0.4096257793	-0.3476587276	-0.3513833103	-0.4886255100	-0.3883205919	-0.3333000872	-0.4111758301	-0.3070200157	-0.3296582911	-0.3007636753	-0.3237577177	-0.4184751216	-0.3901822706	-0.3897454030	-0.4520646401	-0.4455119885	-0.2957261347	-0.3926592947	-0.3671038418	-0.3951085560	-0.3895448487	-0.4590744119	-0.3825945440	-0.4654490932	-0.3757128280	-0.3611313093	-0.3932950844	-0.4990441045	-0.5270346376	-0.5164969195	-0.5632911041	-0.4923541486	-0.4592135116	-0.4644880227	-0.4461973103	-0.4534651366	-0.5570461209	-0.4381127569	-0.5650651857	15	947	53.0000000000	180	2282.0800000000	0	2021-208	18:39:04.073
0187	0.0320000000	0.0000000000	-0.5053696289	-0.2835436067	-0.3824496274	-0.3857081042	-0.3756965577	-0.4056215469	-0.4370543987	-0.5446140849	-0.4847377079	-0.3874107863	-0.5118924048	-0.4086229321	-0.4698879594	-0.4376064477	-0.3560037348	-0.3766148881	-0.3551271412	-0.2485049921	-0.3600044322	-0.3397513901	-0.2897098107	-0.3184990808	-0.3215766629	-0.2542543415	-0.2407886995	-0.2668067365	-0.2535307071	-0.2551948624	-0.2192158814	-0.2444922897	-0.2417437052	-0.2564306993	-0.1811858652	-0.2237797514	-0.2246310383	-0.3070532716	-0.2231564610	-0.1887999025	-0.2650413016	-0.2058581832	-0.3254322299	-0.2898041118	-0.3385661313	-0.3495212432	-0.3747380157	-0.2532924849	-0.3201167502	-0.3035566255	-0.2159739221	-0.2509728298	-0.2496562278	-0.2929106763	-0.2568127312	-0.2410955722	-0.2951883588	-0.1869019830	-0.2387128676	-0.2609595766	-0.1892374217	-0.2387755102	-0.2080256453	-0.1934520853	-0.2372280889	-0.2508197527	-0.2178570931	-0.2699512913	-0.2631778228	-0.2296601231	-0.2641488015	-0.2588199064	-0.2737494170	-0.3055726273	-0.2848012623	-0.3513366212	-0.3239287146	-0.3202107308	-0.2535133918	-0.3179932709	-0.3303765996	-0.3574314357	-0.4111245994	-0.3579389801	-0.3001824172	-0.2959159167	-0.2247855413	-0.2754826891	-0.2726998749	-0.3601794971	-0.3244925251	-0.4225591344	-0.2697723638	-0.3580870642	-0.3277618424	-0.3760129523	-0.3862425441	-0.3112961743	-0.4324085069	-0.3595740614	-0.4648441674	-0.4031876623	-0.5430469341	-0.4645319459	-0.3238342562	-0.4703842931	-0.3468051399	-0.3870523435	-0.4012626020	-0.4114868458	-0.4181500162	-0.5047150065	-0.4684676723	-0.3975720874	-0.4442372232	-0.5395183866	-0.4525060604	-0.2748615063	-0.3749777204	-0.4030245009	-0.5412212247	-0.5642034873	-0.4811590465	-0.4905659633	-0.4270982159	-0.4928349232	-0.5281730255	-0.5267021927	-0.4326533340	-0.4779062949	-0.5140799020	-0.5023756049	-0.5611952370	-0.5268409880	-0.4992062336	-0.4209625584	-0.3792536227	-0.5409346723	-0.8125028673	15	944	52.0000000000	181	2283.7500000000	0	2021-208	18:39:05.726
0187	0.0320000000	0.0000000000	-0.6507096544	-0.5167034836	-0.5933205853	-0.5781436091	-0.5154680889	-0.4975971363	-0.4646450555	-0.3676643327	-0.4372144032	-0.3391761706	-0.3849107374	-0.4674035025	-0.3233136380	-0.4568817174	-0.4694198502	-0.3857941244	-0.3373898517	-0.4273836112	-0.3518760865	-0.4168659641	-0.3261742299	-0.3460819232	-0.3671386724	-0.2974350773	-0.3172164920	-0.2441835342	-0.2699926711	-0.2605714607	-0.2351941036	-0.2232519457	-0.2790720518	-0.2833865176	-0.2467557070	-0.3293100388	-0.2359486037	-0.3070532716	-0.3176942543	-0.3575919224	-0.3080286069	-0.2494867303	-0.2499113102	-0.3467923351	-0.3005598676	-0.2485600782	-0.3247003924	-0.2841818123	-0.3201167502	-0.3095290928	-0.2861846085	-0.3025119953	-0.3676067055	-0.3039397702	-0.2839410276	-0.2839018348	-0.2319009366	-0.2649034784	-0.2181943127	-0.3216890427	-0.2841809393	-0.2338263846	-0.2620429745	-0.2422752651	-0.2323593749	-0.2264924116	-0.2178570931	-0.2895427922	-0.2977291978	-0.2396453458	-0.2438803341	-0.2124068364	-0.3263641928	-0.2464977947	-0.2957490515	-0.3624825572	-0.3352313792	-0.3660976983	-0.2418283239	-0.3299116124	-0.3425214586	-0.3017451921	-0.3734015550	-0.3068313066	-0.3521103534	-0.3485910832	-0.3512078627	-0.4100055736	-0.4158673093	-0.3532336000	-0.2818316909	-0.3206376645	-0.3218922177	-0.3580870642	-0.2585537486	-0.3139620505	-0.3160889065	-0.3660302550	-0.3384355985	-0.4616098337	-0.4569558262	-0.3555914326	-0.4392291379	-0.4163448178	-0.4608677195	-0.4381291858	-0.3307124674	-0.3710458779	-0.5046910510	-0.4035780479	-0.3866859167	-0.5047150065	-0.4762962125	-0.4367055093	-0.4364098062	-0.3280039908	-0.3819550938	-0.4476315960	-0.4458426278	-0.4821839496	-0.5252552904	-0.4024664482	-0.3579534184	-0.4654490932	-0.3757128280	-0.5016151641	-0.3663194962	-0.4529472908	-0.5364727680	-0.5454398880	-0.5140799020	-0.5925687117	-0.6835733076	-0.6515469185	-0.6264276493	-0.5401386784	-0.6792784634	-0.6894552167	-0.7064581466	15	942	52.0000000000	182	2285.4200000000	0	2021-208	18:39:07.411
0187	0.0320000000	0.0000000000	-0.5277296328	-0.4107217213	-0.4025325757	-0.3857081042	-0.4502413743	-0.3688313111	-0.4278575130	-0.4514826364	-0.4752330470	-0.3874107863	-0.4532854813	-0.4184196938	-0.5480609308	-0.5147075264	-0.4505171643	-0.4775864879	-0.4260762990	-0.4444196701	-0.3437477408	-0.4168659641	-0.3188813461	-0.2633333961	-0.3215766629	-0.2912664008	-0.2290305776	-0.2950857394	-0.2645053498	-0.2229352725	-0.2405201776	-0.1860813437	-0.1990827376	-0.2995600085	-0.2631481674	-0.2737677823	-0.2529249518	-0.2781252802	-0.2704253576	-0.3274504903	-0.2896054760	-0.3367438245	-0.3946597396	-0.3277962607	-0.3765723950	-0.3242809519	-0.3684833128	-0.2100474265	-0.2957908449	-0.2378594846	-0.2569301558	-0.2395196819	-0.2721229855	-0.3094543171	-0.2513870719	-0.2839018348	-0.3162841662	-0.3013041762	-0.2387128676	-0.3166282539	-0.2641928303	-0.3427071462	-0.2915069722	-0.2178636752	-0.2177532330	-0.3092053715	-0.3056495949	-0.2699512913	-0.3026651085	-0.2696010141	-0.2894843858	-0.3258610075	-0.2263961188	-0.2572386734	-0.2793273677	-0.2565961653	-0.2561127273	-0.2399085377	-0.2535133918	-0.3537482955	-0.3000144521	-0.3141199129	-0.3545400328	-0.3962697353	-0.4105292817	-0.3354222916	-0.3245926372	-0.3696487083	-0.2795173718	-0.3254500113	-0.3387128031	-0.3570381895	-0.2697723638	-0.3353427131	-0.2508639604	-0.3760129523	-0.4408064844	-0.4833175708	-0.4637328097	-0.4694587392	-0.4490674850	-0.4825147119	-0.3274253573	-0.3761888778	-0.3721990079	-0.3816827481	-0.4031294939	-0.4430749729	-0.3773944984	-0.4668484311	-0.3709538670	-0.4106351320	-0.3823537304	-0.4132254562	-0.4051001383	-0.3671733234	-0.4289890715	-0.2827146922	-0.3434822060	-0.3713607214	-0.4294596845	-0.3620321884	-0.5140138807	-0.3984707727	-0.5469974544	-0.4928349232	-0.3213601825	-0.4529472908	-0.4798439858	-0.4296680142	-0.4845531807	-0.5023756049	-0.5815915821	-0.6931155620	-0.7642508497	-0.6484806056	-0.6792784634	-0.5752086441	-0.6946753999	15	941	50.5000000000	183	2287.0900000000	0	2021-208	18:39:09.080
0187	0.0320000000	0.0000000000	-0.5389096348	-0.5273016598	-0.3924911015	-0.3279774527	-0.2266069244	-0.4332142237	-0.3910699705	-0.4607957812	-0.3801864376	-0.4452923251	-0.4728211225	-0.4282164556	-0.4796595808	-0.4568817174	-0.4694198502	-0.4408695425	-0.5236313911	-0.3762754343	-0.4494162352	-0.4322888789	-0.3699315330	-0.3805604761	-0.3150678044	-0.2727603711	-0.2466677605	-0.2272161325	-0.2206067792	-0.2551948624	-0.2671505478	-0.3347637517	-0.2844046727	-0.2995600085	-0.2904689348	-0.2626593310	-0.2472661691	-0.2202692975	-0.2467909093	-0.2912807717	-0.3387338250	-0.3367438245	-0.3065520000	-0.3151322110	-0.2435504721	-0.2927305879	-0.2996815807	-0.2471146194	-0.2228131291	-0.2856392234	-0.3037372801	-0.2967854214	-0.2552729172	-0.3094543171	-0.3490489391	-0.3160065317	-0.2846404551	-0.3117043756	-0.2541017838	-0.3419321981	-0.3341512117	-0.2734193889	-0.2129363116	-0.2422752651	-0.1739348071	-0.2508197527	-0.2519986216	-0.3091342932	-0.2286264479	-0.2596157913	-0.2540145678	-0.2846049453	-0.2895338497	-0.2948317487	-0.3176446299	-0.2733150693	-0.3182773824	-0.2857955052	-0.3119387316	-0.3179932709	-0.3182317406	-0.3141199129	-0.2602324218	-0.3323851434	-0.3586013455	-0.3222535000	-0.3578616691	-0.4032794294	-0.4090498124	-0.3601794971	-0.3173823860	-0.2623968245	-0.3889034584	-0.3505056139	-0.3200720542	-0.3294747760	-0.3550631496	-0.2800195568	-0.3384355985	-0.3831207781	-0.3386307089	-0.4666493020	-0.3593692946	-0.3842200658	-0.3963813838	-0.4542567395	-0.4031294939	-0.3870523435	-0.4569548438	-0.4193956437	-0.4810782152	-0.4498350797	-0.4684676723	-0.3427852966	-0.4207549722	-0.4141765225	-0.3349211161	-0.4397784101	-0.4694642636	-0.4821839496	-0.4134937501	-0.3862927443	-0.4811590465	-0.4821936733	-0.5469974544	-0.4138127549	-0.4382543981	-0.4160698399	-0.4515295947	-0.4972016072	-0.4648686999	-0.6927832748	-0.5204025468	-0.5476253097	-0.6264276493	-0.5726412565	-0.4903739341	-0.6437565877	-0.5179341987	15	949	53.5000000000	184	2288.7600000000	0	2021-208	18:39:10.734
0187	0.0320000000	0.0000000000	-0.4718296230	-0.4955071311	-0.4627814209	-0.4915476319	-0.4129689660	-0.2952508396	-0.5014325980	-0.5259877952	-0.4562237251	-0.4163515557	-0.5216602253	-0.4772002642	-0.3721717452	-0.4568817174	-0.2992956771	-0.3215394700	-0.2753093385	-0.4103475522	-0.3437477408	-0.3089055605	-0.3334671137	-0.2978119490	-0.3215766629	-0.2974350773	-0.2995793091	-0.2328719330	-0.2864546351	-0.2390650675	-0.2298680295	-0.2179418597	-0.2097479795	-0.2079102264	-0.2139707861	-0.2626593310	-0.2246310383	-0.1739845113	-0.1936134006	-0.2731959125	-0.2589002580	-0.3616744228	-0.3820729197	-0.3657884096	-0.3068942449	-0.2927305879	-0.2746627691	-0.2100474265	-0.1984872239	-0.2139696152	-0.2686319369	-0.2566994038	-0.2159560913	-0.2818815823	-0.2622383905	-0.2196924410	-0.2108051293	-0.2493031793	-0.2079350353	-0.2356556324	-0.2292136396	-0.2635211378	-0.2227576442	-0.1495112235	-0.2323593749	-0.2021650704	-0.2519986216	-0.2356661647	-0.2483700907	-0.2196749003	-0.2742830352	-0.2278778597	-0.1948272533	-0.2948317487	-0.2957490515	-0.2398772614	-0.2730667242	-0.2972672470	-0.2651984598	-0.3537482955	-0.3364490291	-0.2522463089	-0.3356785106	-0.2812774698	-0.2612364651	-0.1905655837	-0.2846697988	-0.2082212468	-0.2522473843	-0.2907205256	-0.3884837763	-0.3351978745	-0.3516749914	-0.4187386673	-0.5430759120	-0.4613329424	-0.3628579982	-0.3894877182	-0.4167463555	-0.3831207781	-0.3938490970	-0.3000624978	-0.2555514984	-0.2878458096	-0.3157734642	-0.2687898727	-0.4433611753	-0.2109812224	-0.3853505329	-0.3640340584	-0.3394897675	-0.4576750693	-0.4684676723	-0.4132254562	-0.3424808024	-0.4690135880	-0.4054720827	-0.5340166408	-0.3671038418	-0.4505201701	-0.4374426516	-0.3701190404	-0.4318767953	-0.3984707727	-0.4784836038	-0.5279558869	-0.3393439080	-0.4713860163	-0.4420914643	-0.4393156704	-0.5140799020	-0.3921395855	-0.4286189939	-0.5684096315	-0.4355955257	-0.3992941729	-0.5125979963	-0.4723867287	-0.5650651857	15	944	53.5000000000	185	2290.4300000000	0	2021-208	18:39:12.419
0187	0.0320000000	0.0000000000	-0.4830096249	-0.4743107787	-0.4929058434	-0.4434387557	-0.3477422515	-0.3596337522	-0.3634793137	-0.3676643327	-0.4087004204	-0.3874107863	-0.4239820196	-0.3694358851	-0.4308014737	-0.3701430038	-0.3938091066	-0.3490771790	-0.4792881674	-0.3081311984	-0.3274910493	-0.4014430493	-0.2167809722	-0.2357505537	-0.2434703609	-0.2110736056	-0.2407886995	-0.1819697278	-0.2535307071	-0.2283118708	-0.2778026959	-0.2391822037	-0.2097479795	-0.2294748810	-0.2358274000	-0.2626593310	-0.2472661691	-0.2954820750	-0.2349736851	-0.2611393396	-0.2650413016	-0.3180458757	-0.2499113102	-0.2518119629	-0.2878911131	-0.3558313160	-0.3497192041	-0.2656482158	-0.2957908449	-0.2796667561	-0.2335265937	-0.2796056996	-0.2665062961	-0.2267361127	-0.2947923462	-0.3053049661	-0.1949832737	-0.2753036778	-0.1925461191	-0.2255340547	-0.2641928303	-0.3179615186	-0.2178469779	-0.2618045370	-0.2469655169	-0.2848780303	-0.2422438992	-0.2307682895	-0.2187546265	-0.2196749003	-0.2286789836	-0.1711507742	-0.2369190739	-0.1874229621	-0.2081667378	-0.3067528773	-0.2843693887	-0.3316824727	-0.2301432559	-0.2762790754	-0.2575074456	-0.2893704713	-0.2728067699	-0.3068313066	-0.3586013455	-0.2366563544	-0.3179388308	-0.3696487083	-0.3817798249	-0.4713138517	-0.3813736373	-0.3788785045	-0.4708060860	-0.4187386673	-0.3354516306	-0.4070384033	-0.3862425441	-0.4207643357	-0.4402395826	-0.4694587392	-0.3938490970	-0.3635241375	-0.4392291379	-0.3761888778	-0.4366853436	-0.3816827481	-0.4353148390	-0.4190652746	-0.4728669129	-0.4035780479	-0.5046762898	-0.4498350797	-0.3197254091	-0.3975720874	-0.3581356364	-0.3750071899	-0.3270821199	-0.3298338076	-0.3434822060	-0.3555288317	-0.3416470457	-0.4509875599	-0.4565179209	-0.3566093225	-0.4356624472	-0.3084498638	-0.4202706726	-0.4437279281	-0.3854626822	-0.5068492634	-0.4747109403	-0.4923541486	-0.3674299586	-0.4437037009	-0.3931883871	-0.5401386784	-0.4903739341	-0.4723867287	-0.7064581466	15	944	54.0000000000	186	2292.1000000000	0	2021-208	18:39:14.088
0187	0.0320000000	0.0000000000	-0.4382896171	-0.5061053074	-0.4627814209	-0.4145734299	-0.3477422515	-0.3872264290	-0.5106294837	-0.3210986084	-0.3801864376	-0.4452923251	-0.3946785579	-0.4086229321	-0.3721717452	-0.4376064477	-0.3938091066	-0.3582564154	-0.3994703648	-0.3762754343	-0.3762611237	-0.3474628475	-0.2824169268	-0.2564376855	-0.2825235119	-0.2110736056	-0.2466677605	-0.1989371296	-0.2315814218	-0.2498182641	-0.2511723257	-0.3135234077	-0.2524089471	-0.3696451361	-0.2795406279	-0.3404184901	-0.2755600827	-0.3186244681	-0.2940598059	-0.2068847618	-0.2650413016	-0.2744173286	-0.2939651800	-0.2391479133	-0.1992098311	-0.3369010975	-0.3559739070	-0.2409367539	-0.3566056080	-0.3453638969	-0.3797988570	-0.3712308827	-0.3900734632	-0.3370270519	-0.2622383905	-0.3267080973	-0.2319009366	-0.2337028802	-0.1925461191	-0.2609595766	-0.2741868848	-0.1892842549	-0.2964176385	-0.2862161269	-0.2567029449	-0.2654161574	-0.3202816785	-0.2062789133	-0.3026651085	-0.2995566823	-0.2084105161	-0.2742909297	-0.2369190739	-0.2679795520	-0.2245884216	-0.3457636532	-0.2843693887	-0.3603618273	-0.3586790034	-0.3656666371	-0.3971733242	-0.3079325525	-0.3293913365	-0.2876659290	-0.3715833295	-0.2761627293	-0.2314393477	-0.2553042564	-0.3204223531	-0.2907205256	-0.2960519689	-0.4007188194	-0.3740120716	-0.4339015680	-0.4431086654	-0.4535765796	-0.4096270899	-0.4129451813	-0.5263814153	-0.4302142114	-0.3544073912	-0.3714568425	-0.3833272476	-0.3761888778	-0.4769893034	-0.4623205163	-0.4594538478	-0.4350717401	-0.4092186365	-0.4905748248	-0.4181500162	-0.4341551007	-0.3980108108	-0.5149723533	-0.4520646401	-0.4768474545	-0.4681840529	-0.4633379678	-0.4222209920	-0.3951085560	-0.4853404546	-0.4267270041	-0.4318767953	-0.4570768031	-0.3928412906	-0.4752744414	-0.4292625354	-0.4437279281	-0.4232152036	-0.5936781687	-0.4845531807	-0.4923541486	-0.5407988919	-0.4021350574	-0.5416133721	-0.3342890166	-0.7015025257	-0.5180853577	-0.7182408934	15	939	52.5000000000	187	2293.7700000000	0	2021-208	18:39:15.757
0187	0.0320000000	0.0000000000	-0.4718296230	-0.5273016598	-0.5531546885	-0.2991121270	-0.5061499868	-0.3320410754	-0.4922357124	-0.3769774775	-0.3421677938	-0.4259984788	-0.4630533019	-0.4869970260	-0.5382893094	-0.4954322567	-0.4032604495	-0.5143034333	-0.4704195227	-0.4529376996	-0.4169028523	-0.4168659641	-0.4428603714	-0.4012476079	-0.3866652478	-0.3221097835	-0.3054583701	-0.3120531411	-0.1712208873	-0.2444416658	-0.2991069921	-0.2020116017	-0.1884174958	-0.2833865176	-0.3013972418	-0.2737677823	-0.3264891270	-0.3012676733	-0.3176942543	-0.3636202088	-0.4247084357	-0.4489315170	-0.3820729197	-0.4101125833	-0.3512348859	-0.4063118985	-0.3247003924	-0.4015612565	-0.2471390344	-0.2139696152	-0.2920354990	-0.3139651432	-0.2552729172	-0.3204834110	-0.2405357533	-0.3588127942	-0.2846404551	-0.2441030796	-0.3515649195	-0.2660203654	-0.2841809393	-0.2635211378	-0.3406136351	-0.2227459932	-0.3151275127	-0.2556852209	-0.2227344544	-0.2405640399	-0.2384982693	-0.2795862368	-0.2337461004	-0.3052329764	-0.3105797601	-0.3431657026	-0.3395402083	-0.2733150693	-0.2674153919	-0.3374183436	-0.3236237996	-0.3537482955	-0.3121593111	-0.3141199129	-0.3419656847	-0.3196082250	-0.3391283694	-0.3749286665	-0.2514007669	-0.3696487083	-0.3749623280	-0.4574220574	-0.4738054447	-0.4371193444	-0.3293379111	-0.4490644688	-0.4277290890	-0.3372311387	-0.2849095120	-0.3894877182	-0.4793949611	-0.2575382892	-0.3465190501	-0.3635241375	-0.5111029968	-0.4484695699	-0.5334148471	-0.4623205163	-0.4433611753	-0.3710458779	-0.4092186365	-0.4510308353	-0.3552218172	-0.5047150065	-0.5389245338	-0.4053987718	-0.4833743080	-0.4141765225	-0.4211500752	-0.4554847819	-0.4930858994	-0.4346882804	-0.4693745203	-0.4914218197	-0.4154493782	-0.4989382534	-0.3928412906	-0.5103954051	-0.5011974373	-0.5451409181	-0.3854626822	-0.4200203581	-0.4058152573	-0.3921395855	-0.4796098566	-0.6515469185	-0.6264276493	-0.4968019075	-0.5348220586	-0.6323319304	-0.6475444129	15	943	52.5000000000	188	2295.4400000000	0	2021-208	18:39:17.426
