SN,INTTIME(ES),SAMPLE(DELAY),ES(349.01),ES(352.33),ES(355.64),ES(358.96),ES(362.28),ES(365.60),ES(368.92),ES(372.24),ES(375.56),ES(378.88),ES(382.20),ES(385.52),ES(388.85),ES(392.17),ES(395.49),ES(398.82),ES(402.14),ES(405.47),ES(408.79),ES(412.12),ES(415.44),ES(418.77),ES(422.10),ES(425.42),ES(428.75),ES(432.08),ES(435.41),ES(438.74),ES(442.07),ES(445.40),ES(448.73),ES(452.06),ES(455.39),ES(458.72),ES(462.05),ES(465.38),ES(468.71),ES(472.04),ES(475.38),ES(478.71),ES(482.04),ES(485.37),ES(488.71),ES(492.04),ES(495.37),ES(498.71),ES(502.04),ES(505.38),ES(508.71),ES(512.04),ES(515.38),ES(518.71),ES(522.05),ES(525.38),ES(528.72),ES(532.05),ES(535.38),ES(538.72),ES(542.05),ES(545.39),ES(548.72),ES(552.06),ES(555.39),ES(558.73),ES(562.06),ES(565.40),ES(568.73),ES(572.07),ES(575.40),ES(578.73),ES(582.07),ES(585.40),ES(588.74),ES(592.07),ES(595.40),ES(598.74),ES(602.07),ES(605.41),ES(608.74),ES(612.07),ES(615.40),ES(618.74),ES(622.07),ES(625.40),ES(628.73),ES(632.06),ES(635.40),ES(638.73),ES(642.06),ES(645.39),ES(648.72),ES(652.05),ES(655.38),ES(658.71),ES(662.03),ES(665.36),ES(668.69),ES(672.02),ES(675.35),ES(678.67),ES(682.00),ES(685.33),ES(688.65),ES(691.98),ES(695.30),ES(698.62),ES(701.95),ES(705.27),ES(708.59),ES(711.92),ES(715.24),ES(718.56),ES(721.88),ES(725.20),ES(728.52),ES(731.84),ES(735.16),ES(738.48),ES(741.79),ES(745.11),ES(748.42),ES(751.74),ES(755.05),ES(758.37),ES(761.68),ES(765.00),ES(768.31),ES(771.62),ES(774.93),ES(778.24),ES(781.55),ES(784.86),ES(788.16),ES(791.47),ES(794.78),ES(798.08),ES(801.39),DARK_SAMP(ES),DARK_AVE(ES),TEMP(PCB),FRAME(COUNTER),TIMER,CHECK(SUM),DATETAG,TIMETAG2
187,0.032,0,-0.68424966,-0.590890717,-0.482864369,-0.520412958,-0.506149987,-0.460806901,-0.400266856,-0.498048361,-0.361177116,-0.580349249,-0.531428046,-0.389029409,-0.528517688,-0.456881717,-0.46941985,-0.587737324,-0.470419523,-0.393311493,-0.449416235,-0.493980538,-0.399103068,-0.42883045,-0.438736116,-0.34678449,-0.323095553,-0.278118338,-0.275479992,-0.174545888,-0.197911585,-0.24449229,-0.220413221,-0.304951172,-0.268612321,-0.318201588,-0.292536431,-0.330195665,-0.329511478,-0.351563636,-0.326451738,-0.380372372,-0.33172564,-0.34046031,-0.376572395,-0.330591025,-0.312190987,-0.321249005,-0.283627892,-0.273694289,-0.227675703,-0.228066534,-0.305823122,-0.30393977,-0.283941028,-0.230394007,-0.274092551,-0.228502781,-0.243842506,-0.271081154,-0.304169048,-0.228877259,-0.266953641,-0.242275265,-0.212884519,-0.304339903,-0.281262789,-0.269951291,-0.238498269,-0.25462318,-0.304685736,-0.305232976,-0.294795327,-0.198163841,-0.295749052,-0.295606941,-0.267415392,-0.25138028,-0.253513392,-0.282238246,-0.251435016,-0.351244075,-0.423698948,-0.319608225,-0.332637377,-0.381513062,-0.331246444,-0.376374853,-0.340874844,-0.40185488,-0.36004322,-0.422559134,-0.299555138,-0.403575767,-0.404659724,-0.352743864,-0.35506315,-0.42858349,-0.46373281,-0.390969684,-0.48062085,-0.482514712,-0.447215122,-0.504687886,-0.372199008,-0.381682748,-0.459453848,-0.339032947,-0.393306568,-0.427304442,-0.449614116,-0.489035027,-0.546753074,-0.577585829,-0.514683976,-0.500349054,-0.483862046,-0.321980622,-0.430094871,-0.347612887,-0.349630013,-0.442900708,-0.40723567,-0.557544284,-0.45279091,-0.422592996,-0.465229986,-0.508263467,-0.555349029,-0.555087544,-0.612502306,-0.592568712,-0.561195237,-0.526840988,-0.552215157,-0.529304486,-0.44592581,-0.495236043,-0.65932716,15,940,52,22,1590.59,0,2021-208,27:32.6
187,0.032,0,-0.393569609,-0.601488893,-0.392491102,-0.347221003,-0.440923272,-0.387226429,-0.427857513,-0.488735216,-0.513251691,-0.425998479,-0.521660225,-0.56537112,-0.528517688,-0.418331178,-0.393809107,-0.495944961,-0.470419523,-0.461455729,-0.335619395,-0.409154507,-0.42098172,-0.325394791,-0.406191823,-0.30977243,-0.311337431,-0.312053141,-0.198657494,-0.239065068,-0.30975914,-0.260422548,-0.289737294,-0.27260419,-0.257684014,-0.262659331,-0.247266169,-0.260768485,-0.294059806,-0.32745049,-0.338733825,-0.336743825,-0.28767177,-0.289804112,-0.262553604,-0.286420515,-0.218370443,-0.284181812,-0.277546416,-0.22591455,-0.215973922,-0.285332274,-0.294589743,-0.331512505,-0.305643665,-0.283901835,-0.305736263,-0.280503778,-0.264361061,-0.271081154,-0.274186885,-0.278368514,-0.262042975,-0.212981357,-0.251834231,-0.172972261,-0.242243899,-0.260155541,-0.292793287,-0.28957146,-0.289484386,-0.341332031,-0.263226462,-0.316313506,-0.251957895,-0.245450229,-0.278718056,-0.245644409,-0.282726062,-0.258401563,-0.318231741,-0.252246309,-0.360827207,-0.370715899,-0.410529282,-0.335422292,-0.344554056,-0.369648708,-0.402232316,-0.415746674,-0.296051969,-0.31335756,-0.403794845,-0.433901568,-0.404659724,-0.438063854,-0.401832241,-0.514594188,-0.510719264,-0.383120778,-0.409625779,-0.403187662,-0.359369295,-0.311939374,-0.348016632,-0.30104498,-0.419222166,-0.43507174,-0.43308674,-0.474757229,-0.418150016,-0.520394986,-0.484124753,-0.421052141,-0.514683976,-0.437678122,-0.468184053,-0.337686994,-0.437968749,-0.387192611,-0.46937452,-0.434813856,-0.415449378,-0.431959933,-0.495612066,-0.475274441,-0.375311359,-0.545140918,-0.555349029,-0.535792232,-0.4648687,-0.592568712,-0.520402547,-0.443703701,-0.456799095,-0.464299329,-0.54593409,-0.586633301,-0.73002364,15,940,51,23,1592.26,0,2021-208,27:34.3
187,0.032,0,-0.371209605,-0.378927193,-0.462781421,-0.404951655,-0.468877579,-0.442411783,-0.418660627,-0.51667465,-0.370681777,-0.503173864,-0.502124584,-0.526184073,-0.567604174,-0.408693543,-0.40326045,-0.413331834,-0.328521207,-0.367757405,-0.294977666,-0.293482646,-0.245952508,-0.325394791,-0.20441721,-0.235748312,-0.223151517,-0.187625528,-0.242556065,-0.163792691,-0.22986803,-0.286972978,-0.231078463,-0.380427463,-0.268612321,-0.345972716,-0.286877648,-0.260768485,-0.294059806,-0.291280772,-0.252759214,-0.324278525,-0.34431246,-0.327796261,-0.319563,-0.286420515,-0.424775639,-0.376849795,-0.307953798,-0.303556626,-0.227675703,-0.199433664,-0.187872644,-0.248794301,-0.202556138,-0.305304966,-0.32683207,-0.23890298,-0.361824197,-0.321689043,-0.314163103,-0.28331764,-0.212936312,-0.222745993,-0.203147091,-0.241088816,-0.232489177,-0.23076829,-0.258241912,-0.279586237,-0.294551503,-0.269133922,-0.205350209,-0.305572627,-0.279327368,-0.267742101,-0.278718056,-0.25138028,-0.282726062,-0.252442392,-0.275724734,-0.363618796,-0.27280677,-0.268500551,-0.313164401,-0.295915917,-0.41109212,-0.362922564,-0.368144831,-0.492151543,-0.388483776,-0.407998924,-0.336783605,-0.46422737,-0.504626971,-0.352743864,-0.394037393,-0.381668564,-0.46373281,-0.351725156,-0.41751412,-0.450783892,-0.375341263,-0.464531946,-0.476989303,-0.438129186,-0.370944149,-0.355039412,-0.409218637,-0.43521324,-0.449614116,-0.394955153,-0.421496431,-0.483665616,-0.475546891,-0.492515188,-0.436828068,-0.486897525,-0.422220992,-0.48218395,-0.453408586,-0.442900708,-0.481159047,-0.390098483,-0.409969753,-0.413812755,-0.456238124,-0.526702193,-0.527034638,-0.458610983,-0.642029028,-0.582547255,-0.561195237,-0.537233149,-0.626427649,-0.583475449,-0.668166432,-0.540934672,-0.65932716,15,942,51,24,1593.93,0,2021-208,27:35.9
187,0.032,0,-0.527729633,-0.506105307,-0.462781421,-0.501169407,-0.366378456,-0.451609342,-0.308298,-0.470108926,-0.361177116,-0.377763863,-0.384910737,-0.526184073,-0.606690659,-0.370143004,-0.601738651,-0.459228015,-0.355127141,-0.427383611,-0.294977666,-0.308905561,-0.216780972,-0.366769055,-0.256488078,-0.322109784,-0.334853675,-0.255495135,-0.297429278,-0.271324657,-0.261824474,-0.265732634,-0.204415359,-0.240257208,-0.285004781,-0.273767782,-0.235948604,-0.301267673,-0.294059806,-0.399789927,-0.320310694,-0.417768269,-0.28767177,-0.308800186,-0.249884849,-0.242250005,-0.349719204,-0.308893274,-0.332279703,-0.303556626,-0.344693514,-0.2796057,-0.294589743,-0.281881582,-0.278515368,-0.230394007,-0.258270696,-0.285703877,-0.233583229,-0.225534055,-0.244204721,-0.28331764,-0.18838298,-0.256922219,-0.193409663,-0.216761475,-0.242243899,-0.279747042,-0.322408751,-0.28957146,-0.29961862,-0.22787786,-0.33162567,-0.28409087,-0.246484,-0.312325845,-0.340882712,-0.297267247,-0.370364071,-0.353748296,-0.293942023,-0.338869355,-0.285381118,-0.300442847,-0.313164401,-0.282747125,-0.251400767,-0.288934978,-0.368144831,-0.346287703,-0.395593915,-0.31335756,-0.359120685,-0.433901568,-0.312382266,-0.422551129,-0.471985879,-0.420764336,-0.495057113,-0.48515655,-0.449067485,-0.442851187,-0.487145044,-0.480594322,-0.404442176,-0.470384293,-0.378990485,-0.411062042,-0.456954844,-0.371942856,-0.347355792,-0.44983508,-0.327553949,-0.428878825,-0.483374308,-0.469013588,-0.358438105,-0.526163455,-0.430094871,-0.458436115,-0.373578914,-0.475248116,-0.489372755,-0.549171994,-0.564125917,-0.475274441,-0.564140477,-0.452947291,-0.621415941,-0.468258639,-0.514079902,-0.472311236,-0.6121861,-0.537233149,-0.456799095,-0.529304486,-0.54593409,-0.598057959,-0.600413426,15,937,52,25,1595.6,0,2021-208,27:37.6
187,0.032,0,-0.415929613,-0.506105307,-0.492905843,-0.443438756,-0.496831885,-0.479202018,-0.529023255,-0.600492954,-0.560774995,-0.387410786,-0.541195867,-0.584964643,-0.577375795,-0.437606448,-0.422163135,-0.468407252,-0.470419523,-0.359239375,-0.343747741,-0.432288879,-0.340759998,-0.401247608,-0.341103238,-0.365290519,-0.299579309,-0.295085739,-0.242556065,-0.265948059,-0.267150548,-0.233872118,-0.295069915,-0.348080481,-0.312325549,-0.307093136,-0.281218865,-0.237626092,-0.30587703,-0.237026194,-0.29574652,-0.305580577,-0.28137836,-0.410112583,-0.306894245,-0.412621971,-0.474813262,-0.376849795,-0.32011675,-0.40508857,-0.350544404,-0.382684031,-0.317056501,-0.337027052,-0.349048939,-0.267849486,-0.2688186,-0.218102581,-0.279749977,-0.306506676,-0.254198776,-0.313012393,-0.301328305,-0.295980763,-0.266440373,-0.333532713,-0.339791123,-0.25035979,-0.277985555,-0.279586237,-0.350289788,-0.263976914,-0.273749417,-0.225016037,-0.345014103,-0.295606941,-0.290020721,-0.331682473,-0.335308868,-0.341829954,-0.433607901,-0.345056715,-0.266519596,-0.409046654,-0.442984242,-0.335422292,-0.384476895,-0.336017987,-0.388597322,-0.436584366,-0.431144611,-0.400718819,-0.359120685,-0.494553171,-0.450798454,-0.492358393,-0.534344668,-0.459860108,-0.46373281,-0.453760928,-0.456955826,-0.450783892,-0.431243154,-0.496656698,-0.476989303,-0.47844807,-0.507731866,-0.419065275,-0.472866913,-0.443122037,-0.47321219,-0.316555258,-0.413667891,-0.319305243,-0.436409806,-0.437678122,-0.468184053,-0.408365667,-0.516707535,-0.585091233,-0.485340455,-0.394379596,-0.497586464,-0.465449093,-0.564125917,-0.527955887,-0.537164888,-0.489824742,-0.611977811,-0.574382856,-0.563291104,-0.592568712,-0.601987927,-0.454095862,-0.44619731,-0.648480606,-0.512597996,-0.803701789,-0.73002364,15,935,54,26,1597.27,0,2021-208,27:39.3
187,0.032,0,-0.572449641,-0.559096189,-0.472822895,-0.587765384,-0.375696558,-0.47000446,-0.473841941,-0.451482636,-0.589288978,-0.483880018,-0.560731508,-0.389029409,-0.508974445,-0.495432257,-0.592287309,-0.578558088,-0.434944944,-0.435901641,-0.408774507,-0.378308677,-0.275124043,-0.339186213,-0.367138672,-0.272760371,-0.323095553,-0.221560332,-0.291941956,-0.201428879,-0.267150548,-0.239182204,-0.32706564,-0.326515827,-0.323253856,-0.323755813,-0.252924952,-0.31283887,-0.388597599,-0.351563636,-0.351015912,-0.386605021,-0.306552,-0.327796261,-0.275222359,-0.305350734,-0.424775639,-0.345960467,-0.417420371,-0.333418962,-0.444158653,-0.302511995,-0.41815691,-0.353570693,-0.321920643,-0.316006532,-0.252996744,-0.23370288,-0.218194313,-0.200230111,-0.184240394,-0.268470263,-0.232578977,-0.212981357,-0.271309087,-0.28487803,-0.300772234,-0.269951291,-0.292793287,-0.299556682,-0.29961862,-0.284604945,-0.305318283,-0.316313506,-0.350487998,-0.323471781,-0.329580047,-0.343154215,-0.317781266,-0.407380833,-0.378956036,-0.413117679,-0.398550251,-0.351550521,-0.430002258,-0.381513062,-0.384476895,-0.315839555,-0.402232316,-0.311558217,-0.43825475,-0.407998924,-0.418686232,-0.456645919,-0.496937183,-0.569922021,-0.549934365,-0.538051652,-0.432408507,-0.477307645,-0.488509191,-0.490447417,-0.415271185,-0.536812638,-0.646265935,-0.486511847,-0.467500184,-0.515104068,-0.464910878,-0.419395644,-0.481078215,-0.44983508,-0.327553949,-0.381918719,-0.358135636,-0.390674923,-0.374116098,-0.502603897,-0.414347113,-0.395108556,-0.477357487,-0.402466448,-0.431876795,-0.390098483,-0.512740529,-0.501615164,-0.582124202,-0.489824742,-0.574225289,-0.506849263,-0.622344547,-0.572525799,-0.6121861,-0.630762597,-0.541613372,-0.615978028,-0.712614557,-0.620907273,-0.517934199,15,941,50.5,27,1598.94,0,2021-208,27:41.0
187,0.032,0,-0.639529653,-0.622685246,-0.502947318,-0.626252485,-0.534104293,-0.47000446,-0.547417026,-0.53530094,-0.494242369,-0.503173864,-0.59980279,-0.526184073,-0.606690659,-0.399055908,-0.441065821,-0.394973361,-0.470419523,-0.257023022,-0.229950901,-0.247213901,-0.253245392,-0.352977634,-0.315067804,-0.272760371,-0.299579309,-0.334676344,-0.286454635,-0.303584247,-0.261824474,-0.249802376,-0.300402536,-0.256430699,-0.350574623,-0.323755813,-0.309512779,-0.272339682,-0.299968418,-0.321422204,-0.351015912,-0.436466218,-0.32543223,-0.36578841,-0.313228622,-0.362141389,-0.205861037,-0.247114619,-0.259301987,-0.202024681,-0.19257036,-0.2796057,-0.283356364,-0.331512505,-0.316494983,-0.374865143,-0.358475781,-0.358505273,-0.218194313,-0.276141943,-0.284180939,-0.218979008,-0.198204313,-0.232510629,-0.232359375,-0.343263649,-0.281262789,-0.318930044,-0.287857376,-0.309541905,-0.324954204,-0.320704,-0.31057976,-0.305572627,-0.312170735,-0.295606941,-0.403047367,-0.297267247,-0.306096198,-0.317993271,-0.342521459,-0.326494634,-0.348252859,-0.383492817,-0.37158333,-0.394681854,-0.291323605,-0.362922564,-0.293152366,-0.262936937,-0.409814193,-0.364318295,-0.374012072,-0.327761263,-0.420039301,-0.407038403,-0.316088907,-0.405126027,-0.385422053,-0.320329534,-0.330742368,-0.387322252,-0.519088981,-0.496656698,-0.452806928,-0.45425674,-0.362897813,-0.411062042,-0.472866913,-0.364034058,-0.426016041,-0.324395247,-0.413667891,-0.381918719,-0.436409806,-0.469013588,-0.342760112,-0.416218852,-0.382851599,-0.513847729,-0.397527816,-0.467161264,-0.399021961,-0.289631002,-0.546997454,-0.527955887,-0.546156751,-0.545140918,-0.611977811,-0.535792232,-0.671555749,-0.46228978,-0.550997065,-0.568409632,-0.46740088,-0.518470293,-0.390365654,-0.438112757,-0.565065186,15,941,53,28,1600.61,0,2021-208,27:42.6
187,0.032,0,-0.583629643,-0.347132664,-0.543113214,-0.510791182,-0.440923272,-0.47000446,-0.45544817,-0.404916912,-0.465728386,-0.503173864,-0.541195867,-0.692729023,-0.587147417,-0.399055908,-0.412711793,-0.376614888,-0.426076299,-0.4529377,-0.376261124,-0.401443049,-0.391810185,-0.456413293,-0.386665248,-0.371459196,-0.299579309,-0.244183534,-0.242556065,-0.244441666,-0.181933363,-0.223251946,-0.220413221,-0.283386518,-0.268612321,-0.218225526,-0.235948604,-0.301267673,-0.341328703,-0.309365631,-0.29574652,-0.311813226,-0.29396518,-0.270808037,-0.287891113,-0.299040661,-0.393502125,-0.407739122,-0.332279703,-0.333418962,-0.309588171,-0.308238569,-0.294589743,-0.325997958,-0.316494983,-0.273200269,-0.24244884,-0.181701883,-0.233583229,-0.195169322,-0.219219585,-0.204131632,-0.257132308,-0.198334403,-0.276177801,-0.270281626,-0.222734454,-0.260155541,-0.228626448,-0.269601014,-0.279350152,-0.320704,-0.28953385,-0.289461309,-0.328592419,-0.239877261,-0.278718056,-0.268587892,-0.241828324,-0.204769026,-0.287869593,-0.314119913,-0.291668292,-0.35793898,-0.37158333,-0.427603833,-0.444361152,-0.275482689,-0.224977397,-0.311558217,-0.296051969,-0.32791777,-0.336783605,-0.327761263,-0.273933325,-0.313962051,-0.35506315,-0.366030255,-0.377590977,-0.422365306,-0.496397532,-0.371456843,-0.471173075,-0.36815769,-0.42056376,-0.413937855,-0.395083158,-0.395055576,-0.425130706,-0.43521324,-0.441748091,-0.308715268,-0.405839351,-0.428878825,-0.381617887,-0.37500719,-0.507379034,-0.408365667,-0.382851599,-0.371360721,-0.509289356,-0.499508672,-0.374380835,-0.507310543,-0.45279091,-0.4664942,-0.573132339,-0.664992634,-0.574225289,-0.497201607,-0.366446296,-0.432225411,-0.500006202,-0.422919379,-0.414391956,-0.410128366,-0.479261903,-0.609482616,-0.541499692,15,943,50.5,29,1602.28,0,2021-208,27:44.3
187,0.032,0,-0.360029603,-0.580292541,-0.231827515,-0.462682306,-0.310469843,-0.249263045,-0.400266856,-0.432856347,-0.39919576,-0.377763863,-0.43374984,-0.467403503,-0.381943367,-0.379780639,-0.488322536,-0.440869543,-0.39060172,-0.512563906,-0.327491049,-0.524826368,-0.282416927,-0.352977634,-0.315067804,-0.315941107,-0.234909639,-0.19893713,-0.275479992,-0.276701256,-0.2564984,-0.228562032,-0.252408947,-0.27260419,-0.290468935,-0.262659331,-0.298195214,-0.289696477,-0.175887564,-0.200856475,-0.265041302,-0.268184679,-0.2436179,-0.321464236,-0.249884849,-0.374761534,-0.324700392,-0.308893274,-0.368768561,-0.321474028,-0.344693514,-0.336871439,-0.367606706,-0.243279754,-0.376177236,-0.273200269,-0.200257226,-0.197302182,-0.197675758,-0.266020365,-0.154258231,-0.204131632,-0.232578977,-0.247157583,-0.261571659,-0.294608967,-0.24712126,-0.255257666,-0.248370091,-0.189719232,-0.284417269,-0.27429093,-0.210611686,-0.235756916,-0.202692843,-0.267742101,-0.256112727,-0.308738989,-0.276883528,-0.329911612,-0.348593888,-0.283183111,-0.285381118,-0.28127747,-0.267727457,-0.282747125,-0.344554056,-0.342744131,-0.320422353,-0.346287703,-0.28894183,-0.349758085,-0.411240539,-0.418738667,-0.389280148,-0.344987501,-0.331678604,-0.381668564,-0.275786993,-0.406667495,-0.385960756,-0.450783892,-0.335411342,-0.44846957,-0.428624552,-0.30104498,-0.395083158,-0.443074973,-0.441042775,-0.292854877,-0.496810265,-0.347915216,-0.335382489,-0.475838931,-0.358135636,-0.469013588,-0.334921116,-0.424072038,-0.477338142,-0.458436115,-0.397527816,-0.45098756,-0.448304212,-0.398470773,-0.435662447,-0.413812755,-0.5101893,-0.425289203,-0.451529595,-0.477906295,-0.553448864,-0.592568712,-0.561195237,-0.67233124,-0.499206234,-0.713485762,-0.54593409,-0.63233193,-0.753589134,15,940,51.5,30,1603.95,0,2021-208,27:46.0
187,0.032,0,-0.494189627,-0.378927193,-0.442698473,-0.318355678,-0.43160517,-0.396423988,-0.510629484,-0.544614085,-0.380186438,-0.52246771,-0.345839455,-0.447809979,-0.430801474,-0.495432257,-0.412711793,-0.385794124,-0.381733075,-0.461455729,-0.433159544,-0.355174305,-0.333467114,-0.339186213,-0.33459438,-0.383796549,-0.381886163,-0.289429939,-0.286454635,-0.319714042,-0.299106992,-0.318833494,-0.279072052,-0.234866045,-0.21943494,-0.240442428,-0.213313473,-0.208698101,-0.234973685,-0.285252485,-0.277323389,-0.268184679,-0.33172564,-0.34046031,-0.408244281,-0.286420515,-0.305936284,-0.321249005,-0.301872321,-0.285639223,-0.327140842,-0.348324587,-0.272122986,-0.35908524,-0.327346302,-0.33205888,-0.311010214,-0.218102581,-0.259231423,-0.266020365,-0.314163103,-0.332808895,-0.271864307,-0.305745399,-0.285915229,-0.250819753,-0.232489177,-0.25035979,-0.248370091,-0.349482796,-0.264148802,-0.289761953,-0.257964984,-0.278720431,-0.355961892,-0.256596165,-0.290020721,-0.325946602,-0.259355926,-0.282238246,-0.306086882,-0.307932553,-0.379688729,-0.364327439,-0.319655393,-0.388097458,-0.41109212,-0.349470276,-0.361327334,-0.381017189,-0.317382386,-0.335197875,-0.381457765,-0.433901568,-0.389280148,-0.321718413,-0.495370425,-0.405126027,-0.510719264,-0.477307645,-0.401737438,-0.307995203,-0.407285201,-0.352095314,-0.452806928,-0.486511847,-0.41117583,-0.427068507,-0.337614326,-0.411486846,-0.355221817,-0.379275174,-0.499781833,-0.452358878,-0.365963053,-0.422010389,-0.483862046,-0.408365667,-0.477338142,-0.48218395,-0.46937452,-0.523769228,-0.481159047,-0.465449093,-0.52130476,-0.492834923,-0.456238124,-0.508263467,-0.451529595,-0.420020358,-0.642029028,-0.592568712,-0.6121861,-0.578801792,-0.711241926,-0.496801908,-0.668166432,-0.609482616,-0.565065186,15,937,52,31,1605.62,0,2021-208,27:47.6
