SN	INTTIME(ES)	SAMPLE(DELAY)	ES(349.01)	ES(352.33)	ES(355.64)	ES(358.96)	ES(362.28)	ES(365.60)	ES(368.92)	ES(372.24)	ES(375.56)	ES(378.88)	ES(382.20)	ES(385.52)	ES(388.85)	ES(392.17)	ES(395.49)	ES(398.82)	ES(402.14)	ES(405.47)	ES(408.79)	ES(412.12)	ES(415.44)	ES(418.77)	ES(422.10)	ES(425.42)	ES(428.75)	ES(432.08)	ES(435.41)	ES(438.74)	ES(442.07)	ES(445.40)	ES(448.73)	ES(452.06)	ES(455.39)	ES(458.72)	ES(462.05)	ES(465.38)	ES(468.71)	ES(472.04)	ES(475.38)	ES(478.71)	ES(482.04)	ES(485.37)	ES(488.71)	ES(492.04)	ES(495.37)	ES(498.71)	ES(502.04)	ES(505.38)	ES(508.71)	ES(512.04)	ES(515.38)	ES(518.71)	ES(522.05)	ES(525.38)	ES(528.72)	ES(532.05)	ES(535.38)	ES(538.72)	ES(542.05)	ES(545.39)	ES(548.72)	ES(552.06)	ES(555.39)	ES(558.73)	ES(562.06)	ES(565.40)	ES(568.73)	ES(572.07)	ES(575.40)	ES(578.73)	ES(582.07)	ES(585.40)	ES(588.74)	ES(592.07)	ES(595.40)	ES(598.74)	ES(602.07)	ES(605.41)	ES(608.74)	ES(612.07)	ES(615.40)	ES(618.74)	ES(622.07)	ES(625.40)	ES(628.73)	ES(632.06)	ES(635.40)	ES(638.73)	ES(642.06)	ES(645.39)	ES(648.72)	ES(652.05)	ES(655.38)	ES(658.71)	ES(662.03)	ES(665.36)	ES(668.69)	ES(672.02)	ES(675.35)	ES(678.67)	ES(682.00)	ES(685.33)	ES(688.65)	ES(691.98)	ES(695.30)	ES(698.62)	ES(701.95)	ES(705.27)	ES(708.59)	ES(711.92)	ES(715.24)	ES(718.56)	ES(721.88)	ES(725.20)	ES(728.52)	ES(731.84)	ES(735.16)	ES(738.48)	ES(741.79)	ES(745.11)	ES(748.42)	ES(751.74)	ES(755.05)	ES(758.37)	ES(761.68)	ES(765.00)	ES(768.31)	ES(771.62)	ES(774.93)	ES(778.24)	ES(781.55)	ES(784.86)	ES(788.16)	ES(791.47)	ES(794.78)	ES(798.08)	ES(801.39)	DARK_SAMP(ES)	DARK_AVE(ES)	TEMP(PCB)	FRAME(COUNTER)	TIMER	CHECK(SUM)	DATETAG	TIMETAG2
0187	0.0320000000	0.0000000000	-0.6954296623	-0.6650779507	-0.5933205853	-0.5204129576	-0.6366034159	-0.4424117827	-0.6301889968	-0.6191192438	-0.5797843173	-0.6864654035	-0.7170166367	-0.8200869251	-0.6653203879	-0.6207215097	-0.5922873085	-0.6060957967	-0.5768432595	-0.5636720828	-0.6119831497	-0.4631347085	-0.4501532552	-0.4633090032	-0.4908069838	-0.4824953739	-0.3995233453	-0.4817271585	-0.3797390976	-0.4111162135	-0.4056284729	-0.4144150417	-0.3483961240	-0.3480804814	-0.3232538557	-0.3848522953	-0.4170296503	-0.4054084422	-0.3413287026	-0.4540445052	-0.4492726102	-0.4302335682	-0.4638872494	-0.4544367570	-0.4715880542	-0.5262032819	-0.3372097982	-0.4015612565	-0.4782351343	-0.4349509072	-0.3505444043	-0.3941371785	-0.3844567738	-0.4032016154	-0.4846904214	-0.4176714052	-0.3690236847	-0.4313066684	-0.4182502229	-0.4279656084	-0.4490828383	-0.4218931547	-0.3897202980	-0.3740978505	-0.3248649406	-0.2994744350	-0.3934420967	-0.3923981721	-0.4507424296	-0.3544754074	-0.3857596060	-0.3619600620	-0.3631945358	-0.3968700959	-0.3559618921	-0.4683689491	-0.4369553601	-0.4636075041	-0.3762066054	-0.4967683941	-0.4457527602	-0.4564292021	-0.4488476438	-0.4665427864	-0.5014031700	-0.5066165828	-0.4909377970	-0.4369101506	-0.5931222280	-0.4990974403	-0.5164662789	-0.5317607094	-0.4708060860	-0.5931120260	-0.5430759120	-0.5544092951	-0.6122931541	-0.5927857322	-0.5577057181	-0.5400988893	-0.5516159200	-0.4983801219	-0.5190889811	-0.6412180822	-0.7429954381	-0.6719787135	-0.6284269096	-0.5791299301	-0.5842513964	-0.6171155912	-0.5125423147	-0.5439149542	-0.6641811766	-0.4758389313	-0.5929581457	-0.6570263843	-0.6328029748	-0.5732825703	-0.7135545001	-0.6088390674	-0.7088635352	-0.7340273784	-0.5140138807	-0.5156828335	-0.5469974544	-0.6508792599	-0.6720428294	-0.6926507218	-0.7441116360	-0.7576883232	-0.7798203935	-0.7328691000	-0.7345641703	-0.8282136535	-0.8172597729	-0.7568225329	-0.8904070550	-0.9864963057	-0.8242856141	15	916	46.0000000000	220	1340.9400000000	0	2021-208	17:31:05.050
0187	0.0320000000	0.0000000000	-0.7625096741	-0.6014888934	-0.6937353272	-0.6262524853	-0.5993310076	-0.4700044595	-0.6761734249	-0.6098060989	-0.5702796564	-0.6864654035	-0.6974809956	-0.6535419755	-0.5578325522	-0.6689096839	-0.6868007379	-0.6152750331	-0.4970254569	-0.5125639060	-0.6038548040	-0.5633836547	-0.4647390229	-0.5598489515	-0.5493867103	-0.4948327270	-0.4171605282	-0.3742669475	-0.3797390976	-0.3681034270	-0.3683459546	-0.3666242677	-0.3483961240	-0.3426893178	-0.4489293858	-0.3959607466	-0.4283472157	-0.3996228440	-0.4122320475	-0.4661010780	-0.5168240900	-0.4240009187	-0.4575938394	-0.4164446081	-0.5032599406	-0.4694126266	-0.4247756390	-0.4448063149	-0.4417462764	-0.4289784398	-0.3680970759	-0.3540511609	-0.3732233950	-0.2487943006	-0.4033055320	-0.3213573145	-0.3162841662	-0.4053061700	-0.3310463646	-0.3722969311	-0.3441452662	-0.3278597696	-0.3553456340	-0.3985094404	-0.3492085106	-0.3286672444	-0.3593005682	-0.3777045464	-0.3569601262	-0.3894236870	-0.3502897880	-0.3568030542	-0.4210707892	-0.3431657026	-0.3669096813	-0.4850878531	-0.4030473665	-0.4922868588	-0.4404744791	-0.4371766864	-0.4336079012	-0.4440544813	-0.4236989475	-0.4729312456	-0.4754392019	-0.4012662498	-0.5042454097	-0.5445284582	-0.6340272092	-0.5546646176	-0.5875676692	-0.5099203944	-0.5973828740	-0.5703676748	-0.5353861238	-0.5931911087	-0.5811137596	-0.6709772760	-0.5890300209	-0.5793434171	-0.5042858731	-0.5618417615	-0.5909628400	-0.5127190740	-0.6462659346	-0.5268307308	-0.5318708743	-0.5151040679	-0.6001634655	-0.6566595807	-0.5440064141	-0.5595949333	-0.6328670159	-0.5854125129	-0.5929581457	-0.6100231852	-0.6328029748	-0.6439612433	-0.6584373499	-0.6088390674	-0.7088635352	-0.7502010823	-0.7275703028	-0.6831286345	-0.5298689917	-0.5981978143	-0.5011974373	-0.7295281727	-0.6874828538	-0.6515641056	-0.6813979893	-0.6927832748	-0.7753568605	-0.8489979752	-0.8384633422	-0.8543302674	-0.9126311173	-0.9979209629	-1.0952887892	15	922	46.0000000000	221	1342.6100000000	0	2021-208	17:31:06.728
0187	0.0320000000	0.0000000000	-0.9078496997	-0.8346487703	-0.6937353272	-0.5685218338	-0.5341042930	-0.5711776078	-0.5014325980	-0.6284323887	-0.5702796564	-0.7829346349	-0.7463200984	-0.7025257842	-0.7239501164	-0.6785473187	-0.6111899944	-0.6152750331	-0.7098729306	-0.6488523776	-0.5957264583	-0.5710951121	-0.5012034421	-0.4633090032	-0.3866652478	-0.4393146380	-0.3936442844	-0.3572995458	-0.2974292777	-0.3412204355	-0.3363895103	-0.3347637517	-0.4337180591	-0.4019921180	-0.3669670836	-0.4070691979	-0.4283472157	-0.4285508353	-0.4240492717	-0.4239030731	-0.3817211303	-0.5237233120	-0.4387136095	-0.3974485337	-0.4652536769	-0.4252421169	-0.4122662332	-0.3336047361	-0.3566056080	-0.3871711684	-0.4500095433	-0.4628560659	-0.4013068420	-0.4087161624	-0.3707515763	-0.4016190568	-0.3795715883	-0.4001060703	-0.3926020293	-0.3520537757	-0.4041095931	-0.3674527739	-0.3897202980	-0.4229210303	-0.3784207945	-0.3773219267	-0.4275836252	-0.3679087960	-0.3717678583	-0.3694532415	-0.3249542037	-0.3825880931	-0.3474101031	-0.4129814139	-0.4052269435	-0.4627959811	-0.4030473665	-0.3718335692	-0.4229468772	-0.3716258078	-0.4457527602	-0.4873660041	-0.5368680807	-0.5112620008	-0.5143851541	-0.5263697702	-0.4776301842	-0.4772670159	-0.5181297624	-0.6102317948	-0.5235764179	-0.4807999744	-0.5005888596	-0.5779491252	-0.5123167592	-0.5931911087	-0.6512673972	-0.5771474234	-0.5890300209	-0.6028901337	-0.5989459669	-0.6094379913	-0.5430469341	-0.6090933302	-0.5575972230	-0.5510220613	-0.7008439361	-0.5151040679	-0.5922074309	-0.5854803996	-0.5046762898	-0.5595949333	-0.5937243150	-0.5384524065	-0.5929581457	-0.5316845201	-0.4917010418	-0.6832271728	-0.5639508068	-0.6721666263	-0.7487783710	-0.5884640432	-0.6454332174	-0.6580117644	-0.6583324615	-0.6157582962	-0.6001079274	-0.5635796436	-0.6308540716	-0.5936781687	-0.6223445467	-0.6927832748	-0.8365458957	-0.8178214926	-0.6582330032	-0.7784909183	-0.8126228370	-0.8836743903	-0.9538958283	15	919	46.5000000000	222	1344.2800000000	0	2021-208	17:31:08.398
0187	0.0320000000	0.0000000000	-0.6954296623	-0.6968724794	-0.5431132144	-0.5877653843	-0.5620585993	-0.6723507562	-0.6025983399	-0.7029375475	-0.7698775361	-0.6285838647	-0.6974809956	-0.7808998781	-0.6653203879	-0.6978225884	-0.6584467091	-0.5969165604	-0.5147627464	-0.5040458765	-0.5225713468	-0.5094034529	-0.4063959522	-0.3874561867	-0.4257183988	-0.3714591959	-0.3466117967	-0.3177089417	-0.3084039204	-0.3627268287	-0.3417155844	-0.3666242677	-0.3803918497	-0.4073832817	-0.3232538557	-0.3348642644	-0.3661006059	-0.3244100664	-0.3354200905	-0.4480162188	-0.4124263484	-0.4177682691	-0.4072465596	-0.5557491541	-0.4652536769	-0.4378622625	-0.4560491536	-0.3027154087	-0.4174203712	-0.3214740275	-0.2627810464	-0.3712308827	-0.3451399479	-0.4032016154	-0.3490489391	-0.3802159255	-0.3321060217	-0.3949059706	-0.3566945583	-0.3065066762	-0.3841214842	-0.2338263846	-0.3111496374	-0.3057453988	-0.3053900847	-0.3043399032	-0.3056495949	-0.3923981721	-0.3470883048	-0.3394975733	-0.3249542037	-0.3877451009	-0.3421486255	-0.3163135060	-0.3888052597	-0.4126392692	-0.4256526956	-0.4578716332	-0.4054192752	-0.4133400033	-0.4761149077	-0.4502418417	-0.5054322104	-0.5623696743	-0.4624572179	-0.4473570205	-0.4643225714	-0.5310761697	-0.3954148187	-0.5407728232	-0.5022460008	-0.4807999744	-0.4931431662	-0.4566459192	-0.4277290890	-0.4535765796	-0.3862425441	-0.4520409532	-0.5655367938	-0.5557967004	-0.5516159200	-0.5459763516	-0.5829768557	-0.4565007579	-0.6140227667	-0.5671496149	-0.5318708743	-0.5311105334	-0.6478996727	-0.4510308353	-0.5361403893	-0.5517549437	-0.6250384757	-0.6088925661	-0.5538210608	-0.5316845201	-0.5465740157	-0.5104570831	-0.5167075352	-0.5613433982	-0.5412212247	-0.5884640432	-0.5550824234	-0.6161503141	-0.6668966928	-0.6772199827	-0.6001079274	-0.6834313590	-0.7441116360	-0.7480406671	-0.8487160765	-0.7529120127	-0.7447623428	-0.7450763664	-0.6794365725	-0.6268122202	-0.7681747125	-0.8836743903	-0.7771546271	15	920	48.0000000000	223	1345.9500000000	0	2021-208	17:31:10.067
0187	0.0320000000	0.0000000000	-0.7513296721	-0.6544797745	-0.4929058434	-0.5204129576	-0.4781956806	-0.5711776078	-0.5934014543	-0.7122506924	-0.8459148236	-0.6382307878	-0.7756235601	-0.6339484521	-0.6262339022	-0.4954322567	-0.5261279078	-0.5143034333	-0.5768432595	-0.5210819354	-0.4900579638	-0.5942294843	-0.4647390229	-0.4495175821	-0.4257183988	-0.3961339022	-0.3113374310	-0.2894299388	-0.3962010616	-0.3465970338	-0.3257373623	-0.3294536657	-0.3697266078	-0.3642539724	-0.3833595440	-0.4181776492	-0.3604418232	-0.3591236560	-0.3708717630	-0.4299313595	-0.3080286069	-0.4489315170	-0.3568992798	-0.4417727074	-0.3702380177	-0.4252421169	-0.4435397478	-0.4077391220	-0.3383611791	-0.3632812990	-0.4558604339	-0.3254182911	-0.3788400844	-0.3590852398	-0.3924542134	-0.3855667083	-0.3373799736	-0.3793056716	-0.3720834744	-0.3773577200	-0.3341512117	-0.3427071462	-0.3357029688	-0.3203923527	-0.3540772246	-0.3238017762	-0.3251590398	-0.3189300436	-0.3717678583	-0.3794384642	-0.3553569049	-0.3774310853	-0.3474101031	-0.4129814139	-0.3340663137	-0.3401906852	-0.4030473665	-0.3202107308	-0.3119387316	-0.3179932709	-0.4457527602	-0.3883682377	-0.4236989475	-0.5304273783	-0.4429842418	-0.4407726247	-0.4044383139	-0.4032794294	-0.4295023030	-0.4921515431	-0.3813736373	-0.4371193444	-0.5080345531	-0.4263201177	-0.5123167592	-0.4458202169	-0.5499343651	-0.5771474234	-0.4793949611	-0.4930054559	-0.5042858731	-0.5301109417	-0.5909628400	-0.4966566980	-0.5979011828	-0.6397236063	-0.5801488920	-0.7071816545	-0.5444712237	-0.4747572290	-0.5676044888	-0.5909548914	-0.4684676723	-0.4445321937	-0.6086129797	-0.5630199862	-0.5857689972	-0.5183102690	-0.5245814138	-0.5771752879	-0.6769316665	-0.6208114510	-0.5797235490	-0.6077780241	-0.6240755362	-0.6508792599	-0.7619614568	-0.7110894472	-0.8007404182	-0.6515641056	-0.8782427978	-0.6927832748	-0.8365458957	-0.8282136535	-0.6900383572	-0.6918173765	-0.6681664322	-0.7922771321	-0.7771546271	15	926	45.5000000000	224	1347.6200000000	0	2021-208	17:31:11.736
0187	0.0320000000	0.0000000000	-0.7625096741	-0.6862743031	-0.8644403883	-0.6070089348	-0.5434223951	-0.6907458741	-0.6577796537	-0.5911798092	-0.5987936392	-0.5803492490	-0.6974809956	-0.5849646434	-0.6066906593	-0.5532580658	-0.5828359655	-0.4775864879	-0.4970254569	-0.5807081418	-0.6038548040	-0.5094034529	-0.4793247906	-0.4771004244	-0.4647715498	-0.4578206677	-0.3348536748	-0.4025459504	-0.3248658844	-0.2820778540	-0.3150852142	-0.2869729777	-0.3697266078	-0.3049511722	-0.3778953905	-0.4403945518	-0.4566411292	-0.4343364336	-0.4595009441	-0.4178747866	-0.4369905229	-0.4738621153	-0.4198333795	-0.3784524592	-0.4462505451	-0.4126219713	-0.3684833128	-0.3274268707	-0.4417462764	-0.4170335051	-0.3563952949	-0.3025119953	-0.4406236679	-0.4307743502	-0.3978798727	-0.3534620114	-0.3901194920	-0.3481050734	-0.4028613068	-0.4026616642	-0.3591363479	-0.3625036483	-0.3995416306	-0.3008630808	-0.4368453623	-0.2800125621	-0.3593005682	-0.3581130455	-0.3520242155	-0.4193793552	-0.4161623071	-0.3516460464	-0.3263641928	-0.3592770206	-0.3942791543	-0.3624825572	-0.3917447019	-0.3947770529	-0.4287894112	-0.4252583448	-0.4882597668	-0.4502418417	-0.5054322104	-0.4793197048	-0.5273671381	-0.4276038330	-0.4177459267	-0.3965532852	-0.4226848062	-0.4365843659	-0.5946778082	-0.6264020744	-0.5527087135	-0.5855305756	-0.5892146412	-0.6474856478	-0.6434725486	-0.5771474234	-0.5263814153	-0.4694587392	-0.5279508966	-0.6411688111	-0.7187385892	-0.6412180822	-0.5817795989	-0.5590858381	-0.5640562194	-0.6191460939	-0.6160755346	-0.6803859744	-0.5912025634	-0.6928747554	-0.5624101544	-0.5854125129	-0.5225113929	-0.5238506536	-0.5622520083	-0.5104570831	-0.5403291710	-0.5930071777	-0.5731530934	-0.5480297834	-0.5632961320	-0.7249900848	-0.6240755362	-0.6772199827	-0.5641404765	-0.6742119963	-0.6874828538	-0.7673359794	-0.7995048744	-0.8130407505	-0.9283294487	-0.7866450100	-0.8384633422	-0.7893251111	-0.7903987748	-0.8379757612	-0.9067648413	15	918	46.5000000000	225	1349.2900000000	0	2021-208	17:31:13.421
0187	0.0320000000	0.0000000000	-0.8072296820	-0.7286670080	-0.6636109046	-0.4530605309	-0.5247861909	-0.6079678436	-0.5934014543	-0.5632403747	-0.5227563517	-0.6092900184	-0.6388740722	-0.5653711199	-0.6653203879	-0.6881849536	-0.7057034238	-0.6795296875	-0.6743983516	-0.5977442008	-0.4331595438	-0.5325378251	-0.3553457653	-0.4081433185	-0.4127006818	-0.3961339022	-0.3524908577	-0.3290205429	-0.3962010616	-0.3788566237	-0.3949763248	-0.4037948697	-0.3857244706	-0.3696451361	-0.3888236975	-0.4348403261	-0.3434654751	-0.4516932284	-0.4122320475	-0.3817050681	-0.4185673921	-0.3928376707	-0.4387136095	-0.4354406826	-0.4019099041	-0.3684514616	-0.4497944507	-0.3953833910	-0.3748500370	-0.4110610378	-0.3739479665	-0.4342231961	-0.4181569103	-0.4638616320	-0.3816028948	-0.4230221881	-0.4164892513	-0.3065042759	-0.4233798617	-0.3874792976	-0.3691304024	-0.3179615186	-0.3111496374	-0.3252746707	-0.3199962267	-0.3627255220	-0.3690552906	-0.3679087960	-0.3816396797	-0.3844310756	-0.4009609565	-0.3929021087	-0.4052863565	-0.3968700959	-0.4490181003	-0.4182122372	-0.4030473665	-0.3947770529	-0.4755296830	-0.4252583448	-0.4578976192	-0.4131176793	-0.3859759031	-0.4793197048	-0.4559662258	-0.5197853744	-0.4842839906	-0.4234578621	-0.5249472593	-0.5893941034	-0.5449068350	-0.4516795544	-0.4931431662	-0.5172975222	-0.4815576064	-0.5776783833	-0.6668570944	-0.6006048865	-0.6516786265	-0.5636456059	-0.5358392377	-0.5697744665	-0.5829768557	-0.6171245182	-0.5172932632	-0.5752133917	-0.5721025557	-0.5151040679	-0.6081195000	-0.5696628038	-0.4732121903	-0.5439149542	-0.6406955561	-0.5149723533	-0.5538210608	-0.6178570518	-0.4995400381	-0.6282548715	-0.5403291710	-0.6484187917	-0.6290338635	-0.6046377471	-0.7111428858	-0.6831286345	-0.7268463121	-0.6596595008	-0.7619614568	-0.6004570945	-0.6686065931	-0.6805070741	-0.6912402297	-0.8130407505	-0.7549605154	-0.8386058143	-0.8596669115	-1.0168431583	-0.8459589304	-0.8836743903	-1.1070715360	15	921	48.0000000000	226	1350.9600000000	0	2021-208	17:31:15.074
0187	0.0320000000	0.0000000000	-0.7401496702	-0.7498633605	-0.6435279562	-0.6166307101	-0.6738758242	-0.5343873721	-0.6209921112	-0.5632403747	-0.7698775361	-0.6768184804	-0.6193384310	-0.7123225460	-0.6848636307	-0.6689096839	-0.6773493950	-0.6244542694	-0.6123178385	-0.5551540534	-0.5632130754	-0.4939805381	-0.4720319068	-0.4908918456	-0.4777892668	-0.4578206677	-0.4935883206	-0.3686111469	-0.3852264189	-0.4379992051	-0.3310634363	-0.3931746977	-0.3217330193	-0.4559037546	-0.4161444649	-0.3570811670	-0.3264891270	-0.3822660491	-0.3885975992	-0.3937616409	-0.4861188719	-0.5050253633	-0.4827674793	-0.4734328315	-0.4209130360	-0.4757226994	-0.4435397478	-0.4386284494	-0.4478277527	-0.3991161031	-0.4032024191	-0.4399497701	-0.4743238044	-0.4473179911	-0.4792647621	-0.4016190568	-0.4586808660	-0.4053061700	-0.3977316681	-0.3621753534	-0.3491422935	-0.3130123931	-0.3455243014	-0.3789801685	-0.2859152288	-0.4016492678	-0.3495458458	-0.3532151703	-0.3717678583	-0.2895714595	-0.3756253723	-0.3774310853	-0.3789789686	-0.3700178993	-0.3669096813	-0.4405041091	-0.4030473665	-0.3775694401	-0.4463170131	-0.4967683941	-0.4457527602	-0.5059280853	-0.4614219919	-0.5112620008	-0.5792950743	-0.4671102079	-0.4177459267	-0.4907193044	-0.5113122655	-0.4574220574	-0.5093561399	-0.5681612344	-0.5080345531	-0.4566459192	-0.5123167592	-0.5544092951	-0.5811137596	-0.5771474234	-0.6751718536	-0.6578324726	-0.5516159200	-0.7204958607	-0.6548507146	-0.6894052103	-0.6059619748	-0.5913409453	-0.6203805734	-0.5391137662	-0.5603832928	-0.5617540059	-0.5676044888	-0.5752749124	-0.5545816142	-0.6323726193	-0.5851307288	-0.6648602508	-0.5779300009	-0.6361080574	-0.5718246853	-0.5375955636	-0.6050849620	-0.5480297834	-0.5140138807	-0.5659165738	-0.7011536181	-0.6508792599	-0.6180916529	-0.6373345454	-0.7063591145	-0.6612117618	-0.7207669510	-0.7028047311	-0.7345641703	-0.7346842056	-0.7748526343	-0.7568225329	-0.9126311173	-0.8265511039	-1.0599405490	15	923	45.5000000000	227	1352.6300000000	0	2021-208	17:31:16.744
0187	0.0320000000	0.0000000000	-0.7177896662	-0.7816578892	-0.6334864820	-0.6743613615	-0.6831939263	-0.6723507562	-0.6209921112	-0.6470586784	-0.6748309267	-0.6961123266	-0.5216602253	-0.5555743581	-0.6750920093	-0.4954322567	-0.6395440232	-0.5510203787	-0.6300551280	-0.5636720828	-0.5306996925	-0.5479607399	-0.5012034421	-0.5460575303	-0.3931741063	-0.4146399318	-0.3583699187	-0.3572995458	-0.2754799924	-0.3035842472	-0.2937809180	-0.3241435797	-0.3004025356	-0.3588628088	-0.3396463162	-0.3959607466	-0.4170296503	-0.3244100664	-0.4004148234	-0.4902142237	-0.4247084357	-0.4115356195	-0.4638872494	-0.5177570052	-0.4272474133	-0.4631025538	-0.4435397478	-0.4448063149	-0.4417462764	-0.3334189622	-0.4441586528	-0.3998637524	-0.4237735997	-0.3756288806	-0.3761772356	-0.3534620114	-0.3690236847	-0.3273046747	-0.3310463646	-0.3925400865	-0.3241571572	-0.2932158910	-0.3013283048	-0.2715691730	-0.2713090868	-0.2654161574	-0.2812627889	-0.3385215446	-0.2878573764	-0.3295123505	-0.3046857363	-0.3877451009	-0.3842404462	-0.3914996566	-0.3614357867	-0.4014933332	-0.4200013633	-0.3546259564	-0.3586790034	-0.4848500525	-0.4093181832	-0.4131176793	-0.4865706882	-0.3834928169	-0.3975472976	-0.3749286665	-0.4909377970	-0.4369101506	-0.4976772718	-0.4574220574	-0.3813736373	-0.5099203944	-0.5154802465	-0.5931120260	-0.6353533704	-0.6862674615	-0.6902416403	-0.5693282690	-0.6516786265	-0.4459120226	-0.4885091908	-0.5063128268	-0.5031170125	-0.4484695699	-0.6140227667	-0.6397236063	-0.5399172106	-0.5951363956	-0.5365151892	-0.5696628038	-0.6148006380	-0.5125549960	-0.5467530740	-0.5306257221	-0.5773033118	-0.5943554522	-0.5230570269	-0.5418698267	-0.5639508068	-0.5850912328	-0.6689486994	-0.5884640432	-0.6700743430	-0.7166177947	-0.6155113049	-0.6508792599	-0.5821242020	-0.5451409181	-0.5553490287	-0.6419164495	-0.6026600658	-0.5524828864	-0.6529787899	-0.8489979752	-0.7536490650	-0.7026515693	-0.9348551795	-0.8608250757	-0.8360683608	15	923	47.0000000000	228	1354.3000000000	0	2021-208	17:31:18.428
0187	0.0320000000	0.0000000000	-0.8519496898	-0.7180688318	-0.6937353272	-0.7513355635	-0.7763749471	-0.4700044595	-0.5106294837	-0.6004929541	-0.5322610126	-0.4838800176	-0.5998027899	-0.6927290225	-0.5480609308	-0.6303591445	-0.5261279078	-0.5510203787	-0.6389237727	-0.5807081418	-0.4656729267	-0.6173638564	-0.4720319068	-0.4219347397	-0.3866652478	-0.3529531663	-0.4230395892	-0.3233647423	-0.2974292777	-0.3250906405	-0.3630198806	-0.3082133217	-0.3110677774	-0.2618218629	-0.3013972418	-0.3515269414	-0.3264891270	-0.3938372457	-0.4240492717	-0.4600727916	-0.4062853048	-0.4364662178	-0.4701806594	-0.3151322110	-0.3639036404	-0.2927305879	-0.3247003924	-0.3768497945	-0.3809315133	-0.4767581786	-0.3329917327	-0.3941371785	-0.3844567738	-0.3149688641	-0.2947923462	-0.3641635771	-0.3215581180	-0.2961040765	-0.3515649195	-0.3571145646	-0.3991125659	-0.3625036483	-0.3013283048	-0.3448039426	-0.3686833665	-0.2994744350	-0.3836873743	-0.3826024217	-0.3717678583	-0.4393498007	-0.4060280734	-0.3671170698	-0.3737174910	-0.3700178993	-0.3942791543	-0.3736284932	-0.4426066924	-0.4119846657	-0.3995767413	-0.3775849786	-0.4396803307	-0.4069303189	-0.5305809067	-0.4537658680	-0.4624572179	-0.4671102079	-0.4310535394	-0.4638147275	-0.5385822530	-0.5338269261	-0.5306865570	-0.4880800794	-0.5005888596	-0.4793902703	-0.6045942176	-0.5466529324	-0.5031652734	-0.4833175708	-0.5733678695	-0.5714945115	-0.4490674850	-0.5301109417	-0.6149207930	-0.5689373901	-0.6140227667	-0.4865118467	-0.4835928566	-0.4670846712	-0.4569548438	-0.4747572290	-0.4260160411	-0.4968750170	-0.5154389133	-0.4601855625	-0.5459936439	-0.5551861197	-0.5073790343	-0.5261634549	-0.5796985639	-0.5217636739	-0.5811360606	-0.5156823756	-0.5632961320	-0.5240551235	-0.5213047604	-0.6333187780	-0.5101893000	-0.6557732709	-0.5742252894	-0.7576883232	-0.6715557488	-0.7328691000	-0.7753568605	-0.7866450100	-0.5628169414	-0.7351541474	-0.7459506502	-0.8265511039	-0.7418063869	15	928	45.5000000000	229	1355.9700000000	0	2021-208	17:31:20.082
