SN	INTTIME(ES)	SAMPLE(DELAY)	ES(349.01)	ES(352.33)	ES(355.64)	ES(358.96)	ES(362.28)	ES(365.60)	ES(368.92)	ES(372.24)	ES(375.56)	ES(378.88)	ES(382.20)	ES(385.52)	ES(388.85)	ES(392.17)	ES(395.49)	ES(398.82)	ES(402.14)	ES(405.47)	ES(408.79)	ES(412.12)	ES(415.44)	ES(418.77)	ES(422.10)	ES(425.42)	ES(428.75)	ES(432.08)	ES(435.41)	ES(438.74)	ES(442.07)	ES(445.40)	ES(448.73)	ES(452.06)	ES(455.39)	ES(458.72)	ES(462.05)	ES(465.38)	ES(468.71)	ES(472.04)	ES(475.38)	ES(478.71)	ES(482.04)	ES(485.37)	ES(488.71)	ES(492.04)	ES(495.37)	ES(498.71)	ES(502.04)	ES(505.38)	ES(508.71)	ES(512.04)	ES(515.38)	ES(518.71)	ES(522.05)	ES(525.38)	ES(528.72)	ES(532.05)	ES(535.38)	ES(538.72)	ES(542.05)	ES(545.39)	ES(548.72)	ES(552.06)	ES(555.39)	ES(558.73)	ES(562.06)	ES(565.40)	ES(568.73)	ES(572.07)	ES(575.40)	ES(578.73)	ES(582.07)	ES(585.40)	ES(588.74)	ES(592.07)	ES(595.40)	ES(598.74)	ES(602.07)	ES(605.41)	ES(608.74)	ES(612.07)	ES(615.40)	ES(618.74)	ES(622.07)	ES(625.40)	ES(628.73)	ES(632.06)	ES(635.40)	ES(638.73)	ES(642.06)	ES(645.39)	ES(648.72)	ES(652.05)	ES(655.38)	ES(658.71)	ES(662.03)	ES(665.36)	ES(668.69)	ES(672.02)	ES(675.35)	ES(678.67)	ES(682.00)	ES(685.33)	ES(688.65)	ES(691.98)	ES(695.30)	ES(698.62)	ES(701.95)	ES(705.27)	ES(708.59)	ES(711.92)	ES(715.24)	ES(718.56)	ES(721.88)	ES(725.20)	ES(728.52)	ES(731.84)	ES(735.16)	ES(738.48)	ES(741.79)	ES(745.11)	ES(748.42)	ES(751.74)	ES(755.05)	ES(758.37)	ES(761.68)	ES(765.00)	ES(768.31)	ES(771.62)	ES(774.93)	ES(778.24)	ES(781.55)	ES(784.86)	ES(788.16)	ES(791.47)	ES(794.78)	ES(798.08)	ES(801.39)	DARK_SAMP(ES)	DARK_AVE(ES)	TEMP(PCB)	FRAME(COUNTER)	TIMER	CHECK(SUM)	DATETAG	TIMETAG2
0187	0.0320000000	0.0000000000	-0.6507096544	-0.6226852458	-0.5732376369	-0.4819258566	-0.5620585993	-0.4608069005	-0.5934014543	-0.4794220709	-0.6082983001	-0.6189369415	-0.5998027899	-0.7613063546	-0.7239501164	-0.6592720491	-0.5355792508	-0.6428127421	-0.4881568122	-0.5636720828	-0.5713414211	-0.4014430493	-0.4793247906	-0.3253947914	-0.3085589459	-0.2974350773	-0.2878211872	-0.3120531411	-0.2754799924	-0.3896098203	-0.3150852142	-0.3400738377	-0.3483961240	-0.3696451361	-0.3451104696	-0.3404184901	-0.3434654751	-0.3070532716	-0.3531459267	-0.4178747866	-0.4369905229	-0.4302335682	-0.4135399696	-0.4101125833	-0.4399161678	-0.4378622625	-0.4247756390	-0.3397826016	-0.4174203712	-0.3513363643	-0.3680970759	-0.3712308827	-0.3226731902	-0.3590852398	-0.3707515763	-0.3802159255	-0.3373799736	-0.3533051731	-0.4592873327	-0.3925400865	-0.4141036476	-0.3625036483	-0.3406136351	-0.3496862606	-0.3005213707	-0.3529945855	-0.3202816785	-0.2846449170	-0.3224087513	-0.3394975733	-0.3148199700	-0.3052329764	-0.3316256704	-0.3431657026	-0.3997530489	-0.3401906852	-0.4200013633	-0.4119846657	-0.3469939355	-0.4312175156	-0.4396803307	-0.4131176793	-0.3985502513	-0.4473774088	-0.4819301939	-0.4210194372	-0.4243997330	-0.4100055736	-0.4022323155	-0.3949089829	-0.4595851667	-0.4079989244	-0.4186862321	-0.4793902703	-0.4969371828	-0.5156274815	-0.5655240624	-0.6318815041	-0.5498746424	-0.5950412282	-0.5437275789	-0.6332361062	-0.4152711849	-0.4324071939	-0.4366853436	-0.4220016322	-0.4031294939	-0.4830911368	-0.4967350165	-0.4747572290	-0.5990685883	-0.5987948810	-0.5937243150	-0.5306257221	-0.5381662269	-0.6021893187	-0.4995400381	-0.4397784101	-0.4300948706	-0.5059317842	-0.4534085860	-0.4671612638	-0.5304412978	-0.5324274136	-0.6497682302	-0.5016151641	-0.6270835157	-0.7571862609	-0.6119778109	-0.7962789478	-0.6125023063	-0.7328691000	-0.7549605154	-0.7658606882	-0.6688347879	-0.7243199547	-0.5792701832	-0.7123045313	-0.6239789194	15	927	47.5000000000	56	1922.1700000000	0	2021-208	17:40:46.257
0187	0.0320000000	0.0000000000	-0.6730696584	-0.6968724794	-0.5732376369	-0.6358742605	-0.5900129055	-0.5803751668	-0.5290232549	-0.6098060989	-0.5417656736	-0.7443469423	-0.6681775339	-0.5457775964	-0.5285176879	-0.6014462400	-0.5733846226	-0.6060957967	-0.6123178385	-0.4103475522	-0.5306996925	-0.3551743049	-0.3845173006	-0.4081433185	-0.3606298139	-0.3221097835	-0.3172164920	-0.3007415400	-0.3577898123	-0.3627268287	-0.3417155844	-0.3719343537	-0.3803918497	-0.4073832817	-0.3833595440	-0.3515269414	-0.3208303443	-0.3764804509	-0.3058770301	-0.3937616409	-0.4062853048	-0.4240009187	-0.3506058698	-0.3404603103	-0.3575692632	-0.3684514616	-0.3872474215	-0.3521383326	-0.3991759422	-0.3931436357	-0.4149042002	-0.3941371785	-0.3395232585	-0.3149688641	-0.2730897090	-0.3588127942	-0.3373799736	-0.3325047743	-0.4541576940	-0.3166282539	-0.3541393207	-0.3575545228	-0.2816856397	-0.3399216247	-0.3297336546	-0.3578600538	-0.3300364010	-0.3875002969	-0.3421523941	-0.3045492937	-0.3553569049	-0.3774310853	-0.3000568049	-0.3485361420	-0.3778574705	-0.3234717813	-0.3973960342	-0.3546259564	-0.4404744791	-0.3716258078	-0.4214630422	-0.4131176793	-0.4739963401	-0.4601543272	-0.5338581301	-0.4802789995	-0.4243997330	-0.3965532852	-0.4567722905	-0.4574220574	-0.4453648886	-0.3788785045	-0.4782517794	-0.4414830184	-0.5584554884	-0.5931911087	-0.6200880027	-0.5458708059	-0.5107192639	-0.4459120226	-0.5831692846	-0.5618417615	-0.5430469341	-0.6090933302	-0.5817795989	-0.5590858381	-0.6284269096	-0.6751687234	-0.5762953619	-0.5617540059	-0.5518724390	-0.5203949856	-0.5310959937	-0.4914923001	-0.5616484778	-0.4846813211	-0.5073790343	-0.6282548715	-0.6269418355	-0.6879985160	-0.6449997979	-0.6208114510	-0.5715098405	-0.5240551235	-0.5983828423	-0.5981978143	-0.7080102803	-0.7018700845	-0.6308540716	-0.6515641056	-0.7109247105	-0.7328691000	-0.7549605154	-0.7970371708	-0.6476312186	-0.6268122202	-0.8126228370	-0.6437565877	-0.8714166011	15	921	49.0000000000	57	1923.8400000000	0	2021-208	17:40:47.928
0187	0.0320000000	0.0000000000	-0.6618896564	-0.6968724794	-0.5330717402	-0.5204129576	-0.5713767013	-0.6263629615	-0.6669765393	-0.7308769821	-0.6843355876	-0.7250530961	-0.6779453544	-0.7808998781	-0.7825798450	-0.7074602233	-0.5544819367	-0.7070673965	-0.5768432595	-0.6147802597	-0.5144430010	-0.4939805381	-0.4647390229	-0.4771004244	-0.4322272573	-0.4331459615	-0.4524348939	-0.3799227481	-0.3084039204	-0.3627268287	-0.2778026959	-0.4144150417	-0.3270656403	-0.3858186270	-0.3560387766	-0.4070691979	-0.4000533022	-0.3706948526	-0.4240492717	-0.4058182138	-0.4369905229	-0.3429764740	-0.4827674793	-0.4101125833	-0.3068942449	-0.4504824082	-0.4372850449	-0.3274268707	-0.4174203712	-0.4170335051	-0.3680970759	-0.3483245869	-0.4181569103	-0.4032016154	-0.3707515763	-0.3802159255	-0.3426539254	-0.3689054722	-0.3515649195	-0.3976008753	-0.3841214842	-0.3526053973	-0.3700776328	-0.3399216247	-0.3102587987	-0.3870528632	-0.3641779294	-0.3875002969	-0.3273446620	-0.4193793552	-0.3350884375	-0.3568030542	-0.3737174910	-0.3485361420	-0.3395402083	-0.3513366212	-0.4030473665	-0.3718335692	-0.4813722170	-0.4014216617	-0.3364490291	-0.4131176793	-0.3734015550	-0.4665427864	-0.3715833295	-0.4802789995	-0.4110921203	-0.4032794294	-0.5113122655	-0.3601794971	-0.4240344715	-0.5536010244	-0.5303716333	-0.4642273695	-0.5046269710	-0.5001147560	-0.5109601220	-0.6084240409	-0.5733678695	-0.5950412282	-0.5752809435	-0.5459763516	-0.5350609498	-0.6412180822	-0.5172932632	-0.6074684990	-0.5881952283	-0.5391137662	-0.5285591546	-0.6329331870	-0.6226666629	-0.5439149542	-0.7346380381	-0.6010658817	-0.5146839760	-0.4768474545	-0.5073790343	-0.5811357562	-0.5403291710	-0.5613433982	-0.5651701262	-0.5884640432	-0.6043646747	-0.5073105434	-0.5983828423	-0.5455163688	-0.6090997902	-0.5912377318	-0.6874828538	-0.6901547302	-0.7109247105	-0.5925687117	-0.6733751350	-0.7554685273	-0.6476312186	-0.7568225329	-0.7237265879	-0.6094826159	-0.9538958283	15	925	47.5000000000	58	1925.5100000000	0	2021-208	17:40:49.582
0187	0.0320000000	0.0000000000	-0.7625096741	-0.6120870696	-0.6937353272	-0.5685218338	-0.6366034159	-0.6263629615	-0.5382201405	-0.6749981129	-0.5892889782	-0.5514084796	-0.6584097133	-0.6437452138	-0.5871474165	-0.6978225884	-0.7907655104	-0.5143034333	-0.5591059701	-0.4614557291	-0.4087745066	-0.4708461659	-0.3845173006	-0.3874561867	-0.3931741063	-0.4208086084	-0.3818861625	-0.3346763435	-0.3962010616	-0.4003630169	-0.3523677325	-0.3082133217	-0.3643939869	-0.3588628088	-0.4161444649	-0.3626353927	-0.4170296503	-0.4054084422	-0.4004148234	-0.4902142237	-0.4492726102	-0.4676294658	-0.4953542993	-0.4354406826	-0.4399161678	-0.3936917529	-0.4185209361	-0.4571620458	-0.3809315133	-0.3573088316	-0.4149042002	-0.4456763440	-0.4350069785	-0.3480561458	-0.3653259170	-0.3909174911	-0.2951883588	-0.3481050734	-0.3156574485	-0.3672361423	-0.3591363479	-0.3526053973	-0.3307923025	-0.3399216247	-0.4027643644	-0.3238017762	-0.3690552906	-0.3875002969	-0.2335623586	-0.2895714595	-0.3046857363	-0.2846049453	-0.3158412376	-0.3539065813	-0.3066968407	-0.4182122372	-0.4369553601	-0.4463998913	-0.4054192752	-0.4312175156	-0.4153906127	-0.4254924001	-0.4488476438	-0.3771043577	-0.4884211860	-0.5329541661	-0.4510149586	-0.4907193044	-0.4704072843	-0.4713138517	-0.5022460008	-0.5244806044	-0.4782517794	-0.6158563771	-0.5353861238	-0.5854347460	-0.5811137596	-0.5849665778	-0.4637328097	-0.5400988893	-0.5831692846	-0.4825147119	-0.4951310281	-0.5127190740	-0.5495364311	-0.5107031772	-0.5721025557	-0.5551202317	-0.5603832928	-0.6882947723	-0.5676044888	-0.6771947764	-0.4997818330	-0.5619324597	-0.6086129797	-0.5238506536	-0.4760230492	-0.4790443396	-0.5324552924	-0.4980158393	-0.5571871591	-0.5480297834	-0.5550824234	-0.6580117644	-0.5983828423	-0.6508792599	-0.6180916529	-0.6742119963	-0.8384929396	-0.6226211372	-0.7207669510	-0.7529120127	-0.6835733076	-0.7970371708	-0.7324454957	-0.8218276893	-0.8237348682	-0.8265511039	-0.8007201206	15	924	48.5000000000	59	1927.1800000000	0	2021-208	17:40:51.267
0187	0.0320000000	0.0000000000	-0.7625096741	-0.7392651843	-0.5732376369	-0.5396565081	-0.7018301304	-0.4883995774	-0.5106294837	-0.5818666644	-0.5797843173	-0.6189369415	-0.7170166367	-0.5849646434	-0.5089744451	-0.5436204309	-0.5355792508	-0.5143034333	-0.5502373253	-0.6147802597	-0.5550847297	-0.4322888789	-0.4720319068	-0.3529776338	-0.3606298139	-0.3467844897	-0.3230955529	-0.3233647423	-0.3852264189	-0.3304672388	-0.2831287699	-0.3719343537	-0.3910570916	-0.4666860819	-0.4216086184	-0.3626353927	-0.3434654751	-0.3301956647	-0.3649631509	-0.3093656310	-0.3141696505	-0.3492091236	-0.3380190498	-0.3404603103	-0.3765723950	-0.4252421169	-0.4748132623	-0.3830276600	-0.4295833238	-0.3931436357	-0.3154390612	-0.3025119953	-0.3170565008	-0.3315125050	-0.3110693241	-0.3160065317	-0.3268320699	-0.3013041762	-0.3105278098	-0.3874792976	-0.4041095931	-0.3526053973	-0.3848096317	-0.3350393067	-0.3492085106	-0.3092053715	-0.3251590398	-0.2993385427	-0.3174728406	-0.2795862368	-0.2540145678	-0.3464890386	-0.3631945358	-0.4183518532	-0.3231185245	-0.4850878531	-0.3465340437	-0.3718335692	-0.4521595471	-0.4490950279	-0.3485938881	-0.4502418417	-0.3985502513	-0.4601543272	-0.3845653136	-0.4078506456	-0.4643225714	-0.4301840063	-0.3613273343	-0.4157466744	-0.3387128031	-0.4662397644	-0.5527087135	-0.4793902703	-0.6045942176	-0.5854347460	-0.6044983055	-0.4989558796	-0.4793949611	-0.4537609281	-0.5042858731	-0.5301109417	-0.5430469341	-0.5448438261	-0.5817795989	-0.5590858381	-0.5077318655	-0.4190652746	-0.4728669129	-0.4035780479	-0.4968102649	-0.4263151111	-0.5232674535	-0.4601855625	-0.3894453043	-0.5081829206	-0.5308960232	-0.5183102690	-0.5009597780	-0.5534274533	-0.4773574874	-0.5237692275	-0.6043646747	-0.4319599330	-0.5726901483	-0.5806373325	-0.5371648883	-0.4529472908	-0.5647871591	-0.4682586388	-0.4254997381	-0.7128261874	-0.6121860997	-0.5476253097	-0.7112419264	-0.7243199547	-0.8459589304	-0.9979209629	-0.9421130815	15	927	46.5000000000	60	1928.8500000000	0	2021-208	17:40:52.936
0187	0.0320000000	0.0000000000	-0.6395296525	-0.5590961885	-0.4125740499	-0.6166307101	-0.4781956806	-0.6263629615	-0.5290232549	-0.6004929541	-0.5987936392	-0.5031738639	-0.6681775339	-0.5457775964	-0.6262339022	-0.5147075264	-0.5733846226	-0.6519919785	-0.6921356411	-0.7340326724	-0.5225713468	-0.5556721973	-0.3991030683	-0.4495175821	-0.3736475309	-0.3406158132	-0.3113374310	-0.2724625371	-0.2590180285	-0.3143374439	-0.3576938065	-0.3453839237	-0.3697266078	-0.4019921180	-0.3560387766	-0.3348642644	-0.3547830405	-0.3475524595	-0.3590545388	-0.3575919224	-0.4247084357	-0.4613968162	-0.3317256399	-0.4164446081	-0.4399161678	-0.3305910247	-0.4372850449	-0.3212490052	-0.4417462764	-0.3035566255	-0.4266059812	-0.3712308827	-0.3732233950	-0.3590852398	-0.3707515763	-0.3588127942	-0.3637497328	-0.3793056716	-0.3464352808	-0.3318106204	-0.3141631028	-0.3130123931	-0.3553456340	-0.2715691730	-0.3784207945	-0.2946089668	-0.3007722337	-0.3042364179	-0.2681137335	-0.3794384642	-0.3148199700	-0.3568030542	-0.3947634013	-0.3861292173	-0.3778574705	-0.4293581731	-0.3804420374	-0.3890411820	-0.4404744791	-0.3716258078	-0.4639700487	-0.4131176793	-0.3859759031	-0.4601543272	-0.4884211860	-0.4473570205	-0.4643225714	-0.4839931601	-0.5113122655	-0.4713138517	-0.4809155837	-0.4953601844	-0.5080345531	-0.6006934763	-0.5046269710	-0.5466529324	-0.5967034568	-0.4520409532	-0.4480706583	-0.3909696837	-0.3938490970	-0.4983801219	-0.4232571692	-0.4645319459	-0.5011716793	-0.4703842931	-0.5077318655	-0.6191460939	-0.5126470856	-0.5854803996	-0.5676044888	-0.5909548914	-0.5154389133	-0.5071456689	-0.5616484778	-0.5473522532	-0.5387350195	-0.6125484998	-0.6111940783	-0.6088390674	-0.5571871591	-0.5399429315	-0.5468687149	-0.6077780241	-0.4527909098	-0.6157582962	-0.8069207705	-0.6096764572	-0.7346735056	-0.6901547302	-0.7699781531	-0.6927832748	-0.6733751350	-0.6411547576	-0.5840205107	-0.8001593038	-0.4681498718	-0.6780305595	-0.8360683608	15	920	47.5000000000	61	1930.5200000000	0	2021-208	17:40:54.589
0187	0.0320000000	0.0000000000	-0.6730696584	-0.6544797745	-0.5832791111	-0.4723040814	-0.5061499868	-0.5159922542	-0.4738419412	-0.5073615055	-0.5227563517	-0.5803492490	-0.6095706105	-0.7319160694	-0.6457771450	-0.7845613020	-0.5450305937	-0.5877373240	-0.5768432595	-0.5381179944	-0.5225713468	-0.5094034529	-0.4355674876	-0.4357261609	-0.5428778518	-0.3899652256	-0.3995233453	-0.4477923550	-0.3632771336	-0.3465970338	-0.3949763248	-0.3666242677	-0.3803918497	-0.3804274634	-0.4325369253	-0.3737438440	-0.4396647811	-0.3938372457	-0.4358664958	-0.4178747866	-0.4247084357	-0.4240009187	-0.3883663297	-0.4544367570	-0.5222630725	-0.4504824082	-0.4372850449	-0.4324505839	-0.3930944659	-0.3692537663	-0.4032024191	-0.3139651432	-0.3339065691	-0.3590852398	-0.3924542134	-0.3588127942	-0.4059413476	-0.3897058709	-0.3720834744	-0.4077224530	-0.3391482390	-0.2932158910	-0.3504349677	-0.3350393067	-0.3248649406	-0.3870528632	-0.3202816785	-0.3777045464	-0.3964474119	-0.3544754074	-0.3806924891	-0.3774310853	-0.4579011323	-0.3485361420	-0.4654397841	-0.3624825572	-0.3804420374	-0.4406640204	-0.3703640714	-0.5206050772	-0.4275354717	-0.4069303189	-0.4739963401	-0.4729312456	-0.5014031700	-0.3946818539	-0.4377073458	-0.4100055736	-0.4635897874	-0.4157466744	-0.4382547496	-0.5972816544	-0.6048285674	-0.4793902703	-0.4200393008	-0.4923583933	-0.5343446679	-0.6084240409	-0.5498746424	-0.5871923226	-0.6383876727	-0.5856398764	-0.6468647303	-0.7215299624	-0.6382051426	-0.5590858381	-0.5318708743	-0.5471169990	-0.4728669129	-0.5063924206	-0.5361403893	-0.5125549960	-0.5937243150	-0.5854125129	-0.5225113929	-0.6726941173	-0.5308960232	-0.5732825703	-0.4930858994	-0.5138477290	-0.5092893561	-0.4590744119	-0.4400905038	-0.4989382534	-0.5469974544	-0.6157582962	-0.6900265548	-0.6004570945	-0.6214159412	-0.5936781687	-0.5928178254	-0.5925687117	-0.6529787899	-0.6723312403	-0.7112419264	-0.8218276893	-1.0126393975	-0.9522223339	-1.0245923088	15	923	46.5000000000	62	1932.1900000000	0	2021-208	17:40:56.274
0187	0.0320000000	0.0000000000	-0.7066096643	-0.7074706556	-0.5531546885	-0.6551178110	-0.6459215180	-0.5527824900	-0.7313547386	-0.5818666644	-0.7033449095	-0.6189369415	-0.6779453544	-0.6633387373	-0.6946352521	-0.6785473187	-0.7718628245	-0.6519919785	-0.7276102200	-0.5466360239	-0.4981863096	-0.3937315919	-0.3991030683	-0.4012476079	-0.4192095403	-0.3652905194	-0.2760630653	-0.2724625371	-0.3358405270	-0.3734800253	-0.3097591401	-0.3613141817	-0.3697266078	-0.4019921180	-0.3888236975	-0.3070931362	-0.3887357368	-0.3359812629	-0.3826889871	-0.4299313595	-0.4247084357	-0.4489315170	-0.4009531496	-0.4924289059	-0.3195629995	-0.3873816800	-0.4310303419	-0.4077391220	-0.3748500370	-0.3513363643	-0.3622461854	-0.2337931080	-0.4181569103	-0.3370270519	-0.3761772356	-0.3641635771	-0.3795715883	-0.3845057712	-0.2900092549	-0.3621753534	-0.2741868848	-0.2734193889	-0.3062389711	-0.3692155325	-0.4417140763	-0.3724564585	-0.3690552906	-0.3972960474	-0.3767037690	-0.4044015211	-0.3756253723	-0.4083731320	-0.3053182825	-0.3592770206	-0.3285924191	-0.3624825572	-0.2617640596	-0.3890411820	-0.4054192752	-0.4371766864	-0.4457527602	-0.4626165625	-0.4425604697	-0.4282120313	-0.4754392019	-0.4276038330	-0.4776301842	-0.4705408717	-0.4908597749	-0.4504761602	-0.4666953057	-0.5317607094	-0.5527087135	-0.6158563771	-0.5738350648	-0.6862674615	-0.5811137596	-0.5927857322	-0.5028881882	-0.4616098337	-0.5989459669	-0.4904474169	-0.5989488244	-0.5448438261	-0.5092324713	-0.5187669540	-0.5962415645	-0.5071008351	-0.3694384638	-0.4747572290	-0.5282743644	-0.5595949333	-0.5232674535	-0.5619324597	-0.4285823892	-0.6335247848	-0.5936079934	-0.5340166408	-0.6190679569	-0.5692593431	-0.6449997979	-0.5722903393	-0.5632961320	-0.6328948942	-0.6754609241	-0.6596595008	-0.5911160647	-0.6742119963	-0.7157972449	-0.6612117618	-0.7404514318	-0.6927832748	-0.8161495507	-0.7866450100	-0.7324454957	-0.6701489911	-0.8348468993	-0.7465785031	-0.8714166011	15	924	49.5000000000	63	1933.8600000000	0	2021-208	17:40:57.943
0187	0.0320000000	0.0000000000	-0.9302097036	-0.6968724794	-0.5531546885	-0.6743613615	-0.6925120284	-0.5067946952	-0.4830388268	-0.5725535195	-0.5512703345	-0.5899961721	-0.5900349693	-0.6437452138	-0.5871474165	-0.4568817174	-0.6017386514	-0.4959449606	-0.5058941017	-0.6062622302	-0.5063146553	-0.5171149103	-0.3991030683	-0.5460575303	-0.4908069838	-0.4146399318	-0.3877652234	-0.3063973406	-0.3523024910	-0.3465970338	-0.3736720286	-0.3082133217	-0.3697266078	-0.4073832817	-0.3888236975	-0.3737438440	-0.3661006059	-0.3591236560	-0.4240492717	-0.3515636360	-0.3325927814	-0.4302335682	-0.4261267895	-0.3847844840	-0.3829067723	-0.3369010975	-0.4372850449	-0.3027154087	-0.2957908449	-0.3632812990	-0.3915006380	-0.4055903264	-0.4518570468	-0.4252598033	-0.3436232798	-0.3909174911	-0.3532018291	-0.3689054722	-0.3002685323	-0.2963850985	-0.3391482390	-0.3328088952	-0.3798989654	-0.3106277168	-0.3881582225	-0.3773219267	-0.4227062640	-0.3972960474	-0.4458065189	-0.3095419050	-0.3502897880	-0.3774310853	-0.2895338497	-0.2948317487	-0.3614357867	-0.3847744292	-0.3465340437	-0.3890411820	-0.4229468772	-0.4014216617	-0.4639700487	-0.4688039229	-0.4739963401	-0.4857081640	-0.4884211860	-0.5000321870	-0.3977845075	-0.4369101506	-0.3136048562	-0.3532336000	-0.4453648886	-0.4735198694	-0.5527087135	-0.6310192779	-0.5661452766	-0.4690893051	-0.6668570944	-0.5615091146	-0.6438475508	-0.5400988893	-0.5516159200	-0.4825147119	-0.4072852006	-0.4805943219	-0.5011716793	-0.5671496149	-0.5077318655	-0.5711266973	-0.5206031201	-0.5933891975	-0.5046762898	-0.4106351320	-0.5076103732	-0.4993189845	-0.5068565590	-0.4690135880	-0.6014469897	-0.6439612433	-0.5875724425	-0.5296796187	-0.5252552904	-0.5399429315	-0.5879372576	-0.6328948942	-0.6155113049	-0.6508792599	-0.6090997902	-0.5082634672	-0.6119778109	-0.6322687933	-0.7306091914	-0.6426759932	-0.8059513781	-0.7138998838	-0.6900383572	-0.8434960747	-0.6570544011	-0.8379757612	-0.7535891336	15	931	46.5000000000	64	1935.5300000000	0	2021-208	17:40:59.613
0187	0.0320000000	0.0000000000	-0.7066096643	-0.6332834220	-0.6435279562	-0.5204129576	-0.6459215180	-0.5711776078	-0.5382201405	-0.6004929541	-0.6558216048	-0.6575246341	-0.6779453544	-0.5751678816	-0.4698879594	-0.6207215097	-0.5922873085	-0.5969165604	-0.5591059701	-0.4188655817	-0.4981863096	-0.5633836547	-0.4866176745	-0.5115789774	-0.4322272573	-0.3776278725	-0.3818861625	-0.4025459504	-0.3523024910	-0.3304672388	-0.3417155844	-0.3294536657	-0.2737394308	-0.3696451361	-0.3396463162	-0.3459727157	-0.3661006059	-0.3591236560	-0.4181406596	-0.3997899274	-0.4124263484	-0.4302335682	-0.4513004294	-0.4417727074	-0.4019099041	-0.4631025538	-0.4560491536	-0.4695177768	-0.4235018475	-0.3991161031	-0.3797988570	-0.3941371785	-0.3956901526	-0.3535706928	-0.3707515763	-0.3588127942	-0.4428590105	-0.3481050734	-0.3310463646	-0.3520537757	-0.3991125659	-0.2981650165	-0.2473109756	-0.3008630808	-0.3248649406	-0.3092053715	-0.3105269561	-0.3581130455	-0.3470883048	-0.3195271278	-0.3249542037	-0.3155469920	-0.3421486255	-0.3914996566	-0.4216486273	-0.4683689491	-0.4369553601	-0.3603618273	-0.4054192752	-0.4014216617	-0.4214630422	-0.5244901666	-0.4048374253	-0.4729312456	-0.4884211860	-0.3946818539	-0.5574758609	-0.4167317179	-0.4022323155	-0.4365843659	-0.4524750276	-0.4152790294	-0.4335776189	-0.4187386673	-0.5661452766	-0.5621656578	-0.5031652734	-0.4833175708	-0.5263814153	-0.6028901337	-0.4727325085	-0.4904474169	-0.4951310281	-0.5448438261	-0.5737188069	-0.5832771685	-0.6284269096	-0.5791299301	-0.6478996727	-0.4589396332	-0.4732121903	-0.6066348705	-0.5624101544	-0.5071456689	-0.5146839760	-0.4925151876	-0.4368280678	-0.4397784101	-0.4458426278	-0.5138477290	-0.4693745203	-0.5156823756	-0.5304412978	-0.5659165738	-0.5726901483	-0.6684397417	-0.6720428294	-0.6926507218	-0.6780447234	-0.6322687933	-0.6321867871	-0.6326545369	-0.7141678252	-0.6931155620	-0.8172597729	-0.8218276893	-0.6792784634	-0.6780305595	-0.7889373739	15	930	48.0000000000	65	1937.2000000000	0	2021-208	17:41:01.282
