SN,INTTIME(ES),SAMPLE(DELAY),ES(349.01),ES(352.33),ES(355.64),ES(358.96),ES(362.28),ES(365.60),ES(368.92),ES(372.24),ES(375.56),ES(378.88),ES(382.20),ES(385.52),ES(388.85),ES(392.17),ES(395.49),ES(398.82),ES(402.14),ES(405.47),ES(408.79),ES(412.12),ES(415.44),ES(418.77),ES(422.10),ES(425.42),ES(428.75),ES(432.08),ES(435.41),ES(438.74),ES(442.07),ES(445.40),ES(448.73),ES(452.06),ES(455.39),ES(458.72),ES(462.05),ES(465.38),ES(468.71),ES(472.04),ES(475.38),ES(478.71),ES(482.04),ES(485.37),ES(488.71),ES(492.04),ES(495.37),ES(498.71),ES(502.04),ES(505.38),ES(508.71),ES(512.04),ES(515.38),ES(518.71),ES(522.05),ES(525.38),ES(528.72),ES(532.05),ES(535.38),ES(538.72),ES(542.05),ES(545.39),ES(548.72),ES(552.06),ES(555.39),ES(558.73),ES(562.06),ES(565.40),ES(568.73),ES(572.07),ES(575.40),ES(578.73),ES(582.07),ES(585.40),ES(588.74),ES(592.07),ES(595.40),ES(598.74),ES(602.07),ES(605.41),ES(608.74),ES(612.07),ES(615.40),ES(618.74),ES(622.07),ES(625.40),ES(628.73),ES(632.06),ES(635.40),ES(638.73),ES(642.06),ES(645.39),ES(648.72),ES(652.05),ES(655.38),ES(658.71),ES(662.03),ES(665.36),ES(668.69),ES(672.02),ES(675.35),ES(678.67),ES(682.00),ES(685.33),ES(688.65),ES(691.98),ES(695.30),ES(698.62),ES(701.95),ES(705.27),ES(708.59),ES(711.92),ES(715.24),ES(718.56),ES(721.88),ES(725.20),ES(728.52),ES(731.84),ES(735.16),ES(738.48),ES(741.79),ES(745.11),ES(748.42),ES(751.74),ES(755.05),ES(758.37),ES(761.68),ES(765.00),ES(768.31),ES(771.62),ES(774.93),ES(778.24),ES(781.55),ES(784.86),ES(788.16),ES(791.47),ES(794.78),ES(798.08),ES(801.39),DARK_SAMP(ES),DARK_AVE(ES),TEMP(PCB),FRAME(COUNTER),TIMER,CHECK(SUM),DATETAG,TIMETAG2
187,0.032,0,-0.751329672,-0.739265184,-0.593320585,-0.568521834,-0.627285314,-0.55278249,-0.547417026,-0.544614085,-0.636812283,-0.561055403,-0.609570611,-0.702525784,-0.626233902,-0.514707526,-0.658446709,-0.642812742,-0.55910597,-0.521081935,-0.490057964,-0.509403453,-0.442860371,-0.42193474,-0.399682965,-0.420808608,-0.381886163,-0.334676344,-0.39071374,-0.373480025,-0.363019881,-0.371934354,-0.32706564,-0.385818627,-0.377895391,-0.440394552,-0.400053302,-0.359123656,-0.388597599,-0.363620209,-0.455413654,-0.39907032,-0.40095315,-0.441772707,-0.376572395,-0.412621971,-0.343464501,-0.438628449,-0.368768561,-0.40508857,-0.356395295,-0.336871439,-0.350756637,-0.348056146,-0.370751576,-0.390917491,-0.395393444,-0.337704874,-0.361824197,-0.346992987,-0.31916013,-0.337758021,-0.340613635,-0.300863081,-0.363814653,-0.304339903,-0.344668485,-0.338521545,-0.401383323,-0.344490185,-0.370558255,-0.408373132,-0.363194536,-0.429092732,-0.438070311,-0.446077077,-0.487817351,-0.446399891,-0.452159547,-0.46697254,-0.391100895,-0.518302806,-0.448847644,-0.466542786,-0.423511266,-0.421019437,-0.404438314,-0.463814728,-0.538582253,-0.512989235,-0.601787947,-0.488080079,-0.54526302,-0.555204774,-0.512316759,-0.62421656,-0.503165273,-0.55368996,-0.510719264,-0.610739039,-0.425402462,-0.466649302,-0.567004887,-0.560906202,-0.630144351,-0.583277169,-0.660612255,-0.57912993,-0.727460018,-0.656659581,-0.661996787,-0.543914954,-0.538924534,-0.389745403,-0.459892057,-0.453345855,-0.405472083,-0.463337968,-0.516707535,-0.521763674,-0.541221225,-0.669332563,-0.711142886,-0.599405734,-0.64976823,-0.677219983,-0.591116065,-0.554360281,-0.517596507,-0.555087544,-0.504237662,-0.702804731,-0.6121861,-0.859390136,-0.817259773,-0.810993497,-0.890407055,-0.860825076,-0.824285614,15,926,43.5,32,1454.52,0,2021-208,32:58.6
187,0.032,0,-0.68424966,-0.781657889,-0.693735327,-0.655117811,-0.571376701,-0.607967844,-0.575007683,-0.55392723,-0.598793639,-0.580349249,-0.658409713,-0.614354929,-0.548060931,-0.514707526,-0.658446709,-0.59691656,-0.674398352,-0.597744201,-0.538828038,-0.524826368,-0.51578921,-0.483996135,-0.425718399,-0.396133902,-0.376007102,-0.391234349,-0.335840527,-0.341220436,-0.357693807,-0.40379487,-0.316400398,-0.294168845,-0.36150293,-0.384852295,-0.456641129,-0.393837246,-0.424049272,-0.448016219,-0.387862174,-0.480094765,-0.489060889,-0.479764856,-0.370238018,-0.488342845,-0.449794451,-0.438628449,-0.380931513,-0.309529093,-0.444158653,-0.302511995,-0.311439811,-0.254308848,-0.311069324,-0.390917491,-0.337379974,-0.379305672,-0.372083474,-0.362175353,-0.324157157,-0.38230015,-0.325881636,-0.252039901,-0.310258799,-0.275147094,-0.28614015,-0.338521545,-0.327344662,-0.329512351,-0.355356905,-0.325861008,-0.373717491,-0.429092732,-0.339540208,-0.412639269,-0.431304028,-0.423456408,-0.399576741,-0.431217516,-0.439680331,-0.462616563,-0.47399634,-0.466542786,-0.488421186,-0.381513062,-0.490937797,-0.423457862,-0.443137297,-0.485205646,-0.424034472,-0.488080079,-0.515480247,-0.577949125,-0.512316759,-0.608703834,-0.534344668,-0.514594188,-0.620354324,-0.445912023,-0.543727579,-0.434918482,-0.487145044,-0.52878145,-0.581779599,-0.534894508,-0.467500184,-0.63515256,-0.560383293,-0.553845208,-0.528274364,-0.677194776,-0.687666797,-0.428878825,-0.545993644,-0.500349054,-0.499540038,-0.518310269,-0.571824685,-0.632586902,-0.629033864,-0.701679971,-0.809707388,-0.624522604,-0.743974775,-0.615758296,-0.60909979,-0.664992634,-0.517596507,-0.64191645,-0.779820394,-0.853126576,-0.775356861,-0.848997975,-0.753649065,-0.86516446,-0.879295024,-0.88367439,-0.871416601,15,923,47,33,1456.19,0,2021-208,33:00.3
187,0.032,0,-0.829589686,-0.696872479,-0.573237637,-0.59738716,-0.534104293,-0.55278249,-0.584204569,-0.702937548,-0.655821605,-0.657524634,-0.697480996,-0.722119308,-0.508974445,-0.58217097,-0.526127908,-0.541841142,-0.585711904,-0.538117994,-0.49818631,-0.571095112,-0.406395952,-0.380560476,-0.46477155,-0.451651991,-0.417160528,-0.317708942,-0.374251776,-0.346597034,-0.352367733,-0.35069401,-0.407054954,-0.380427463,-0.416144465,-0.368189618,-0.292536431,-0.405408442,-0.376780375,-0.42993136,-0.387862174,-0.473862115,-0.40724656,-0.454436757,-0.496925563,-0.381071607,-0.412266233,-0.38302766,-0.368768561,-0.417033505,-0.403202419,-0.336871439,-0.406923532,-0.375628881,-0.327346302,-0.374865143,-0.369023685,-0.384505771,-0.387472391,-0.458330341,-0.404109593,-0.347656272,-0.340613635,-0.359450897,-0.324864941,-0.275147094,-0.334913762,-0.309134293,-0.401383323,-0.419379355,-0.390826723,-0.449629194,-0.389501924,-0.412981414,-0.416174733,-0.451650045,-0.487817351,-0.400512924,-0.422946877,-0.437176686,-0.415390613,-0.400742959,-0.44256047,-0.447377409,-0.384565314,-0.467110208,-0.464322571,-0.490719304,-0.497677272,-0.533826926,-0.50935614,-0.684642914,-0.52292594,-0.653763629,-0.596904429,-0.585434746,-0.549934365,-0.436402645,-0.495057113,-0.5557967,-0.55161592,-0.577707172,-0.694780636,-0.625155706,-0.549536431,-0.65585116,-0.636473246,-0.595136396,-0.560383293,-0.601297995,-0.622666663,-0.512554996,-0.585895775,-0.601065882,-0.514683976,-0.469013588,-0.593607993,-0.57328257,-0.642689593,-0.608839067,-0.573153093,-0.612724599,-0.587937258,-0.624522604,-0.64976823,-0.686000224,-0.591116065,-0.609676457,-0.649730332,-0.603325825,-0.799504874,-0.772954925,-0.816149551,-0.797037171,-0.859666912,-0.919335424,-0.768174713,-0.815126447,-0.906764841,15,925,47.5,34,1457.86,0,2021-208,33:02.0
187,0.032,0,-0.807229682,-0.707470656,-0.693735327,-0.607008935,-0.590012906,-0.644758079,-0.639385882,-0.544614085,-0.722354231,-0.580349249,-0.629106252,-0.663338737,-0.626233902,-0.611083875,-0.601738651,-0.69788816,-0.523631391,-0.572190112,-0.61198315,-0.532537825,-0.501203442,-0.532266109,-0.367138672,-0.408471255,-0.399523345,-0.340332144,-0.286454635,-0.319714042,-0.325737362,-0.387864612,-0.369726608,-0.380427463,-0.323253856,-0.395960747,-0.371759389,-0.422765237,-0.382688987,-0.399789927,-0.400144261,-0.41153562,-0.306552,-0.384784484,-0.382906772,-0.38738168,-0.562379103,-0.444806315,-0.520805469,-0.476758179,-0.438307762,-0.428496622,-0.446240357,-0.392172522,-0.370751576,-0.401619057,-0.305736263,-0.441706868,-0.356694558,-0.341932198,-0.354139321,-0.38230015,-0.296417639,-0.378980169,-0.383289509,-0.31407084,-0.344668485,-0.377704546,-0.391511501,-0.379438464,-0.375625372,-0.403216124,-0.305318283,-0.375388339,-0.361435787,-0.407066301,-0.453909357,-0.383305311,-0.422946877,-0.38950332,-0.439680331,-0.388368238,-0.455134818,-0.345162062,-0.391056306,-0.467110208,-0.457668765,-0.504171593,-0.422684806,-0.408800777,-0.409814193,-0.539040814,-0.537817327,-0.524878973,-0.5507657,-0.62421656,-0.588908608,-0.545870806,-0.557705718,-0.563645606,-0.630499332,-0.561841762,-0.511102997,-0.633186894,-0.565658015,-0.575213392,-0.499685529,-0.563123465,-0.552427258,-0.538027612,-0.536140389,-0.645834818,-0.593724315,-0.4914923,-0.483374308,-0.406342656,-0.444667064,-0.534016641,-0.469464264,-0.553427453,-0.581136061,-0.548029783,-0.571509841,-0.624522604,-0.632639768,-0.633318778,-0.654059104,-0.600457095,-0.668606593,-0.593678169,-0.514079902,-0.562504343,-0.622384272,-0.703507723,-0.668834788,-0.756822533,-0.690390495,-0.815126447,-0.989244069,15,928,47,35,1459.53,0,2021-208,33:03.6
187,0.032,0,-0.818409684,-0.728667008,-0.633486482,-0.703226687,-0.720466335,-0.55278249,-0.584204569,-0.637745534,-0.494242369,-0.445292325,-0.697480996,-0.643745214,-0.587147417,-0.524345161,-0.497773879,-0.551020379,-0.612317839,-0.580708142,-0.603854804,-0.51711491,-0.42098172,-0.559848952,-0.393174106,-0.414639932,-0.393644284,-0.345987945,-0.368764455,-0.341220436,-0.357693807,-0.255112462,-0.284404673,-0.294168845,-0.366967084,-0.368189618,-0.275560083,-0.370694853,-0.424049272,-0.393761641,-0.412426348,-0.424000919,-0.463887249,-0.384784484,-0.376572395,-0.437862263,-0.449794451,-0.352138333,-0.423501848,-0.363281299,-0.368097076,-0.348324587,-0.367606706,-0.337027052,-0.327346302,-0.2946034,-0.332106022,-0.311704376,-0.300268532,-0.352053776,-0.334151212,-0.332808895,-0.3602563,-0.388744804,-0.427107934,-0.430842077,-0.393442097,-0.377704546,-0.366831948,-0.319527128,-0.264148802,-0.325861008,-0.378978969,-0.412981414,-0.4490181,-0.496233789,-0.493468683,-0.417720537,-0.352836469,-0.3120341,-0.457897619,-0.320307273,-0.373401555,-0.453765868,-0.488421186,-0.473694604,-0.457668765,-0.584885324,-0.538582253,-0.506043338,-0.495135862,-0.539040814,-0.463360393,-0.547623324,-0.558455488,-0.430307491,-0.542139517,-0.600604887,-0.510719264,-0.477307645,-0.543727579,-0.514245532,-0.630892762,-0.56893739,-0.589840391,-0.623596053,-0.588195228,-0.539113766,-0.528559155,-0.530118814,-0.536140389,-0.481195038,-0.601552855,-0.554105775,-0.569475895,-0.453345855,-0.617124982,-0.549723013,-0.6033202,-0.608839067,-0.517272323,-0.564203487,-0.596150966,-0.708245505,-0.726846312,-0.738681669,-0.725994006,-0.729528173,-0.725235375,-0.738393011,-0.760135913,-0.54246143,-0.714167825,-0.682723401,-0.721843711,-0.670148991,-0.623718308,-0.837975761,-0.894982095,15,930,49,36,1461.2,0,2021-208,33:05.3
187,0.032,0,-0.818409684,-0.686274303,-0.613403534,-0.549278283,-0.478195681,-0.589572726,-0.483038827,-0.53530094,-0.437214403,-0.599643095,-0.77562356,-0.526184073,-0.636005524,-0.591808605,-0.601738651,-0.495944961,-0.497025457,-0.521081935,-0.457544581,-0.416865964,-0.464739023,-0.435726161,-0.399682965,-0.457820668,-0.346611797,-0.39689015,-0.319378563,-0.308960846,-0.272476622,-0.329453666,-0.316400398,-0.3157335,-0.334182163,-0.345972716,-0.383076954,-0.330195665,-0.435866496,-0.417874787,-0.387862174,-0.424000919,-0.463887249,-0.429108658,-0.420913036,-0.450482408,-0.399756827,-0.376849795,-0.417420371,-0.351336364,-0.496816668,-0.359777735,-0.401306842,-0.441803444,-0.387028554,-0.390917491,-0.32683207,-0.41050627,-0.372083474,-0.37735772,-0.324157157,-0.332808895,-0.316060304,-0.252039901,-0.217753233,-0.294608967,-0.271508067,-0.269951291,-0.302665109,-0.374445853,-0.294551503,-0.361960062,-0.410547834,-0.402240535,-0.427122522,-0.423785205,-0.369139373,-0.343154215,-0.329466334,-0.437176686,-0.439680331,-0.332681994,-0.329391337,-0.472931246,-0.527367138,-0.440772625,-0.384476895,-0.490719304,-0.497677272,-0.485205646,-0.495135862,-0.524480604,-0.433577619,-0.577949125,-0.481557606,-0.531140207,-0.58111376,-0.514594188,-0.557705718,-0.610739039,-0.504285873,-0.506312827,-0.598948824,-0.641218082,-0.549536431,-0.518766954,-0.539917211,-0.691175189,-0.568339327,-0.625024389,-0.583336539,-0.637994829,-0.531095994,-0.538452407,-0.60861298,-0.563019986,-0.554413012,-0.541869827,-0.508833657,-0.577175288,-0.565170126,-0.620811451,-0.6290058,-0.641267184,-0.564125917,-0.492834923,-0.600107927,-0.572799006,-0.706359115,-0.81557426,-0.681397989,-0.65269745,-0.867140413,-0.755468527,-0.880870481,-0.843496075,-0.790398775,-0.837975761,-0.824285614,15,924,45.5,37,1462.87,0,2021-208,33:07.0
187,0.032,0,-0.661889656,-0.802854242,-0.573237637,-0.655117811,-0.645921518,-0.589572726,-0.584204569,-0.525987795,-0.494242369,-0.70575925,-0.521660225,-0.584964643,-0.587147417,-0.553258066,-0.592287309,-0.670350451,-0.638923773,-0.665888437,-0.44128789,-0.401443049,-0.435567488,-0.435726161,-0.41920954,-0.414639932,-0.381886163,-0.30074154,-0.319378563,-0.325090641,-0.357693807,-0.361314182,-0.332398261,-0.401992118,-0.377895391,-0.445948777,-0.405712085,-0.382266049,-0.412232048,-0.369648495,-0.44927261,-0.355441773,-0.3694861,-0.467100807,-0.446250545,-0.507273064,-0.487322668,-0.401561257,-0.411338895,-0.411061038,-0.356395295,-0.405590326,-0.345139948,-0.276367035,-0.349048939,-0.326708097,-0.342653925,-0.363705373,-0.423379862,-0.407722453,-0.439088784,-0.387249276,-0.355345634,-0.300863081,-0.329733655,-0.362725522,-0.344668485,-0.333623669,-0.307601019,-0.379438464,-0.375625372,-0.356803054,-0.421070789,-0.412981414,-0.416174733,-0.429358173,-0.397396034,-0.452135762,-0.434631945,-0.472931711,-0.415390613,-0.474991283,-0.423698948,-0.472931246,-0.475439202,-0.546122958,-0.510899216,-0.490719304,-0.518129762,-0.457422057,-0.452475028,-0.451679554,-0.508034553,-0.555204774,-0.527696336,-0.639729285,-0.471985879,-0.561509115,-0.589030021,-0.563645606,-0.598945967,-0.593572581,-0.543046934,-0.673342834,-0.630144351,-0.542958284,-0.62842691,-0.547116999,-0.639943638,-0.466848431,-0.638398713,-0.598794881,-0.499781833,-0.577585829,-0.585130729,-0.610023185,-0.562252008,-0.643961243,-0.524581414,-0.624670957,-0.597101995,-0.539942932,-0.596150966,-0.641267184,-0.684025156,-0.686000224,-0.70801028,-0.692650722,-0.58366342,-0.81557426,-0.829031596,-0.702804731,-0.754960515,-0.755468527,-0.785454419,-0.778490918,-0.823734868,-0.735153846,-0.953895828,15,922,45.5,38,1464.54,0,2021-208,33:08.6
187,0.032,0,-0.728969668,-0.654479775,-0.713818276,-0.789822664,-0.711148233,-0.644758079,-0.768142281,-0.628432389,-0.617802961,-0.686465404,-0.580267149,-0.702525784,-0.665320388,-0.697822588,-0.545030594,-0.615275033,-0.656661062,-0.538117994,-0.587598113,-0.493980538,-0.501203442,-0.532266109,-0.503824701,-0.470158021,-0.393644284,-0.470415557,-0.379739098,-0.330467239,-0.341715584,-0.345383924,-0.337730882,-0.407383282,-0.459857693,-0.412623424,-0.434005998,-0.474835622,-0.364963151,-0.375676782,-0.369439043,-0.361674423,-0.482767479,-0.448104732,-0.452584922,-0.488342845,-0.468558559,-0.45098418,-0.50256104,-0.494675581,-0.467562215,-0.434223196,-0.41815691,-0.447317991,-0.392454213,-0.40696984,-0.379571588,-0.322104575,-0.438768778,-0.402661664,-0.284180939,-0.313012393,-0.3602563,-0.330156989,-0.319996227,-0.411380204,-0.373932652,-0.441376924,-0.45074243,-0.379438464,-0.365491139,-0.356803054,-0.373717491,-0.343165703,-0.383331365,-0.446077077,-0.448258025,-0.480815117,-0.428789411,-0.443135857,-0.44575276,-0.437867121,-0.455134818,-0.415435113,-0.488421186,-0.467110208,-0.544168248,-0.477267016,-0.463589787,-0.512989235,-0.502246001,-0.524480604,-0.642057035,-0.540041873,-0.481557606,-0.531140207,-0.526549819,-0.506775034,-0.589030021,-0.704925906,-0.583169285,-0.601505286,-0.614920793,-0.584999766,-0.638205143,-0.607468499,-0.604287901,-0.587133163,-0.592207431,-0.522210016,-0.701326912,-0.590954891,-0.640695556,-0.569759144,-0.561648478,-0.563019986,-0.530896023,-0.643961243,-0.642689593,-0.561343398,-0.605084962,-0.653158859,-0.678288052,-0.733362375,-0.666896693,-0.74746191,-0.743977731,-0.766405624,-0.611977811,-0.738393011,-0.622344547,-0.712826187,-0.663176963,-0.67233124,-0.796056204,-0.778490918,-0.823734868,-0.815126447,-0.942113082,15,920,45.5,39,1466.21,0,2021-208,33:10.3
187,0.032,0,-0.673069658,-0.569694365,-0.53307174,-0.578143609,-0.478195681,-0.525189813,-0.473841941,-0.53530094,-0.627307622,-0.792581558,-0.746320098,-0.722119308,-0.792351466,-0.630359145,-0.762411482,-0.651991979,-0.638923773,-0.665888437,-0.44128789,-0.509403453,-0.435567488,-0.435726161,-0.432227257,-0.420808608,-0.405402406,-0.413857552,-0.363277134,-0.378856624,-0.384324177,-0.286972978,-0.391057092,-0.342689318,-0.388823698,-0.373743844,-0.388735737,-0.434336434,-0.341328703,-0.405818214,-0.387862174,-0.480094765,-0.457593839,-0.429108658,-0.446250545,-0.463102554,-0.412266233,-0.364494064,-0.478235134,-0.393143636,-0.403202419,-0.394137179,-0.429390289,-0.381143428,-0.370751576,-0.305304966,-0.353201829,-0.353305173,-0.295138894,-0.387479298,-0.314163103,-0.298165017,-0.355345634,-0.349686261,-0.383289509,-0.387052863,-0.364177929,-0.367908796,-0.356960126,-0.384431076,-0.340155554,-0.423844155,-0.405286357,-0.439833611,-0.432596417,-0.351336621,-0.369139373,-0.389041182,-0.335308868,-0.317993271,-0.397173324,-0.369806157,-0.423698948,-0.460154327,-0.417020274,-0.467110208,-0.484283991,-0.470540872,-0.552217247,-0.471313852,-0.452475028,-0.422559134,-0.52292594,-0.540041873,-0.481557606,-0.492358393,-0.612293154,-0.569328269,-0.604692172,-0.618587945,-0.527950897,-0.577707172,-0.543046934,-0.560906202,-0.557597223,-0.567149615,-0.539917211,-0.563123465,-0.528559155,-0.43521324,-0.536140389,-0.520394986,-0.499781833,-0.475838931,-0.616440397,-0.594355452,-0.515218031,-0.628254872,-0.445842628,-0.585091233,-0.557187159,-0.653158859,-0.587937258,-0.641267184,-0.641203999,-0.615758296,-0.654059104,-0.664992634,-0.696920984,-0.670859418,-0.69124023,-0.632654537,-0.69377148,-0.859390136,-0.817259773,-0.821827689,-0.74595065,-0.826551104,-0.812502867,15,925,46,40,1467.88,0,2021-208,33:12.0
187,0.032,0,-0.561269639,-0.686274303,-0.512988792,-0.61663071,-0.590012906,-0.571177608,-0.437054399,-0.563240375,-0.712849571,-0.52246771,-0.658409713,-0.535980835,-0.567604174,-0.639996779,-0.507225222,-0.569378851,-0.585711904,-0.546636024,-0.587598113,-0.447711794,-0.530374978,-0.463309003,-0.523351276,-0.420808608,-0.352490858,-0.459103956,-0.324865884,-0.325090641,-0.277802696,-0.345383924,-0.284404673,-0.299560009,-0.285004781,-0.329310039,-0.39439452,-0.318624468,-0.341328703,-0.375676782,-0.443131567,-0.386605021,-0.40724656,-0.479764856,-0.382906772,-0.425242117,-0.36222861,-0.420094853,-0.307953798,-0.476758179,-0.391500638,-0.371230883,-0.305823122,-0.370114334,-0.349048939,-0.417671405,-0.38484554,-0.348105073,-0.433639139,-0.341932198,-0.324157157,-0.352605397,-0.276774973,-0.349686261,-0.310258799,-0.391918331,-0.388564736,-0.416887548,-0.376703769,-0.464312858,-0.39589384,-0.310389984,-0.363194536,-0.305572627,-0.38880526,-0.384774429,-0.391744702,-0.400512924,-0.382049139,-0.419299174,-0.378956036,-0.375993517,-0.323104163,-0.364327439,-0.306673409,-0.335422292,-0.457668765,-0.463814728,-0.524947259,-0.526881029,-0.466695306,-0.502640289,-0.597382874,-0.524878973,-0.604594218,-0.45357658,-0.479780728,-0.452040953,-0.479394961,-0.48515655,-0.543727579,-0.593572581,-0.598948824,-0.625155706,-0.678509102,-0.526830731,-0.491639193,-0.475087904,-0.512647086,-0.474757229,-0.575470514,-0.504715007,-0.546753074,-0.421052141,-0.522511393,-0.547352253,-0.554413012,-0.588988942,-0.508833657,-0.632586902,-0.589119028,-0.556116635,-0.612578383,-0.532427414,-0.606947074,-0.510395405,-0.546156751,-0.471386016,-0.536472768,-0.584030513,-0.592817825,-0.642675993,-0.673375135,-0.661939079,-0.626427649,-0.756822533,-0.712614557,-0.780852475,-0.871416601,15,924,48,41,1469.55,0,2021-208,33:13.7
