SN,INTTIME(ES),SAMPLE(DELAY),ES(349.01),ES(352.33),ES(355.64),ES(358.96),ES(362.28),ES(365.60),ES(368.92),ES(372.24),ES(375.56),ES(378.88),ES(382.20),ES(385.52),ES(388.85),ES(392.17),ES(395.49),ES(398.82),ES(402.14),ES(405.47),ES(408.79),ES(412.12),ES(415.44),ES(418.77),ES(422.10),ES(425.42),ES(428.75),ES(432.08),ES(435.41),ES(438.74),ES(442.07),ES(445.40),ES(448.73),ES(452.06),ES(455.39),ES(458.72),ES(462.05),ES(465.38),ES(468.71),ES(472.04),ES(475.38),ES(478.71),ES(482.04),ES(485.37),ES(488.71),ES(492.04),ES(495.37),ES(498.71),ES(502.04),ES(505.38),ES(508.71),ES(512.04),ES(515.38),ES(518.71),ES(522.05),ES(525.38),ES(528.72),ES(532.05),ES(535.38),ES(538.72),ES(542.05),ES(545.39),ES(548.72),ES(552.06),ES(555.39),ES(558.73),ES(562.06),ES(565.40),ES(568.73),ES(572.07),ES(575.40),ES(578.73),ES(582.07),ES(585.40),ES(588.74),ES(592.07),ES(595.40),ES(598.74),ES(602.07),ES(605.41),ES(608.74),ES(612.07),ES(615.40),ES(618.74),ES(622.07),ES(625.40),ES(628.73),ES(632.06),ES(635.40),ES(638.73),ES(642.06),ES(645.39),ES(648.72),ES(652.05),ES(655.38),ES(658.71),ES(662.03),ES(665.36),ES(668.69),ES(672.02),ES(675.35),ES(678.67),ES(682.00),ES(685.33),ES(688.65),ES(691.98),ES(695.30),ES(698.62),ES(701.95),ES(705.27),ES(708.59),ES(711.92),ES(715.24),ES(718.56),ES(721.88),ES(725.20),ES(728.52),ES(731.84),ES(735.16),ES(738.48),ES(741.79),ES(745.11),ES(748.42),ES(751.74),ES(755.05),ES(758.37),ES(761.68),ES(765.00),ES(768.31),ES(771.62),ES(774.93),ES(778.24),ES(781.55),ES(784.86),ES(788.16),ES(791.47),ES(794.78),ES(798.08),ES(801.39),DARK_SAMP(ES),DARK_AVE(ES),TEMP(PCB),FRAME(COUNTER),TIMER,CHECK(SUM),DATETAG,TIMETAG2
187,0.032,0,-0.68424966,-0.665077951,-0.60336206,-0.43381698,-0.590012906,-0.571177608,-0.464645056,-0.600492954,-0.484737708,-0.589996172,-0.59980279,-0.663338737,-0.538289309,-0.495432257,-0.431614478,-0.569378851,-0.532500036,-0.427383611,-0.457544581,-0.478557623,-0.457446139,-0.394351897,-0.341103238,-0.365290519,-0.287821187,-0.312053141,-0.297429278,-0.303584247,-0.261824474,-0.276352806,-0.279072052,-0.261821863,-0.246755707,-0.218225526,-0.309512779,-0.318624468,-0.341328703,-0.363620209,-0.338733825,-0.40530297,-0.40095315,-0.473432832,-0.325897377,-0.463102554,-0.368483313,-0.426272718,-0.405257419,-0.417033505,-0.362246185,-0.302511995,-0.367606706,-0.309454317,-0.300218006,-0.358812794,-0.369023685,-0.358505273,-0.274620339,-0.24577721,-0.274186885,-0.268470263,-0.262042975,-0.266686855,-0.319996227,-0.352994586,-0.315404317,-0.299338543,-0.371767858,-0.344490185,-0.355356905,-0.320704,-0.294795327,-0.278720431,-0.334066314,-0.301179909,-0.380442037,-0.366097698,-0.376206605,-0.431217516,-0.366811177,-0.468803923,-0.429986122,-0.409046654,-0.53385813,-0.374928667,-0.451014959,-0.369648708,-0.456772291,-0.436584366,-0.43825475,-0.393438714,-0.448469006,-0.449064469,-0.46617803,-0.62421656,-0.526549819,-0.577147423,-0.510719264,-0.579343417,-0.630499332,-0.506312827,-0.543046934,-0.536812638,-0.428624552,-0.373618971,-0.539917211,-0.387052344,-0.480822947,-0.625024389,-0.465346165,-0.543914954,-0.468467672,-0.460185563,-0.436409806,-0.492515188,-0.499540038,-0.494750711,-0.493085899,-0.498015839,-0.541221225,-0.53185608,-0.530441298,-0.532427414,-0.632639768,-0.563076851,-0.600107927,-0.637334545,-0.725235375,-0.670859418,-0.671555749,-0.642675993,-0.65297879,-0.828213654,-0.690038357,-0.735154147,-0.790398775,-0.837975761,-0.812502867,15,934,48.5,91,153.39,0,2021-208,03:35.5
187,0.032,0,-0.617169649,-0.654479775,-0.563196163,-0.568521834,-0.599331008,-0.534387372,-0.464645056,-0.488735216,-0.579784317,-0.580349249,-0.502124584,-0.486997026,-0.606690659,-0.562895701,-0.488322536,-0.477586488,-0.541368681,-0.410347552,-0.465672927,-0.486269081,-0.413688836,-0.456413293,-0.451753833,-0.414639932,-0.470072077,-0.419513352,-0.412663026,-0.38960982,-0.384324177,-0.387864612,-0.279072052,-0.358862809,-0.312325549,-0.295984685,-0.252924952,-0.307053272,-0.299968418,-0.417874787,-0.455413654,-0.461396816,-0.539408169,-0.505092956,-0.465253677,-0.475722699,-0.456049154,-0.333604736,-0.307953798,-0.363281299,-0.268631937,-0.291058847,-0.288973054,-0.23225066,-0.403305532,-0.364163577,-0.353201829,-0.348105073,-0.366953836,-0.33181062,-0.404109593,-0.402096653,-0.394630964,-0.408274076,-0.349208511,-0.391918331,-0.373932652,-0.294440668,-0.273049644,-0.349482796,-0.309752853,-0.361960062,-0.305318283,-0.310943067,-0.372383576,-0.373628493,-0.38609337,-0.400512924,-0.422946877,-0.359707466,-0.463970049,-0.351244075,-0.373401555,-0.351550521,-0.332637377,-0.414435041,-0.331246444,-0.396553285,-0.402232316,-0.415746674,-0.395593915,-0.517200499,-0.418686232,-0.555204774,-0.543075912,-0.407038403,-0.518754971,-0.577147423,-0.581198945,-0.375271873,-0.559504261,-0.538043647,-0.574990871,-0.512719074,-0.533414847,-0.542958284,-0.668658591,-0.675168723,-0.655855707,-0.577571602,-0.575470514,-0.543914954,-0.625038476,-0.601065882,-0.491201725,-0.610023185,-0.570091005,-0.502603897,-0.556076928,-0.593007178,-0.597101995,-0.628898303,-0.579723549,-0.632894894,-0.546997454,-0.545516369,-0.528173026,-0.489824742,-0.630854072,-0.670859418,-0.661713508,-0.712826187,-0.938527621,-0.817821493,-0.806657988,-0.875998653,-0.734838619,-0.689455217,-0.73002364,15,928,49.5,92,155.06,0,2021-208,03:37.2
187,0.032,0,-0.617169649,-0.590890717,-0.543113214,-0.578143609,-0.478195681,-0.55278249,-0.685370311,-0.619119244,-0.70334491,-0.638230788,-0.707248816,-0.62415169,-0.528517688,-0.543620431,-0.516676565,-0.569378851,-0.479288167,-0.580708142,-0.425031198,-0.401443049,-0.537667861,-0.477100424,-0.484298125,-0.359121843,-0.42891865,-0.39689015,-0.412663026,-0.416492812,-0.315085214,-0.329453666,-0.332398261,-0.342689318,-0.301397242,-0.351526941,-0.326489127,-0.341766861,-0.370871763,-0.369648495,-0.400144261,-0.417768269,-0.39465974,-0.517757005,-0.414578659,-0.381071607,-0.399756827,-0.401561257,-0.38701299,-0.399116103,-0.426605981,-0.354051161,-0.339523259,-0.370114334,-0.425008169,-0.342760446,-0.347927877,-0.41050627,-0.366953836,-0.326749832,-0.294174994,-0.209080757,-0.335702969,-0.276451491,-0.300521371,-0.309205372,-0.281262789,-0.338521545,-0.317472841,-0.374445853,-0.304685736,-0.356803054,-0.33162567,-0.300202188,-0.399753049,-0.368055525,-0.420001363,-0.343154215,-0.422946877,-0.395462491,-0.385028465,-0.388368238,-0.461421992,-0.453765868,-0.410529282,-0.421019437,-0.344554056,-0.457088583,-0.320422353,-0.492151543,-0.50935614,-0.480799974,-0.530371633,-0.449064469,-0.481557606,-0.500114756,-0.487575576,-0.631881504,-0.549874642,-0.540098889,-0.567392602,-0.672899631,-0.53506095,-0.52878145,-0.581779599,-0.430065409,-0.378990485,-0.427068507,-0.43308674,-0.490574825,-0.465346165,-0.465515059,-0.617209936,-0.514972353,-0.592958146,-0.672694117,-0.507379034,-0.518310269,-0.571824685,-0.569259343,-0.541221225,-0.645072007,-0.514013881,-0.524055124,-0.546997454,-0.510395405,-0.600107927,-0.535921555,-0.640292202,-0.670859418,-0.720766951,-0.762933469,-0.673375135,-0.755468527,-0.76425085,-0.62681222,-0.690390495,-0.872249733,-0.718240893,15,927,48.5,93,156.73,0,2021-208,03:38.8
187,0.032,0,-0.650709654,-0.474310779,-0.53307174,-0.520412958,-0.440923272,-0.479202018,-0.538220141,-0.674998113,-0.617802961,-0.541761556,-0.521660225,-0.614354929,-0.675092009,-0.591808605,-0.488322536,-0.450048779,-0.443813589,-0.504045877,-0.457544581,-0.532537825,-0.552253629,-0.408143319,-0.451753833,-0.396133902,-0.346611797,-0.278118338,-0.313891242,-0.298207649,-0.389650251,-0.318833494,-0.32706564,-0.294168845,-0.301397242,-0.362635393,-0.326489127,-0.31283887,-0.412232048,-0.448016219,-0.461554697,-0.392837671,-0.463887249,-0.416444608,-0.446250545,-0.393691753,-0.443539748,-0.420094853,-0.405257419,-0.399116103,-0.338842623,-0.342598013,-0.350756637,-0.370114334,-0.278515368,-0.380215926,-0.374297637,-0.327304675,-0.356694558,-0.341932198,-0.309166076,-0.332808895,-0.316060304,-0.247157583,-0.271309087,-0.236223348,-0.310526956,-0.314032168,-0.342152394,-0.329512351,-0.304685736,-0.351646046,-0.257964984,-0.391499657,-0.383331365,-0.295606941,-0.329580047,-0.228436796,-0.317781266,-0.306074929,-0.391100895,-0.431679761,-0.417411774,-0.460154327,-0.319655393,-0.447357021,-0.41109212,-0.410005574,-0.470407284,-0.49909744,-0.424034472,-0.429839239,-0.448469006,-0.388412866,-0.450798454,-0.430307491,-0.487575576,-0.366030255,-0.487226037,-0.461609834,-0.456955826,-0.466649302,-0.559018903,-0.593030954,-0.630144351,-0.647787383,-0.539917211,-0.675168723,-0.568339327,-0.482666027,-0.583336539,-0.567434923,-0.499781833,-0.483665616,-0.514683976,-0.570853853,-0.577930001,-0.526163455,-0.516707535,-0.593007178,-0.52525529,-0.515682376,-0.579723549,-0.582661154,-0.564125917,-0.615758296,-0.555148614,-0.683431359,-0.574225289,-0.64191645,-0.563291104,-0.492354149,-0.724365998,-0.67233124,-0.679436573,-0.821827689,-0.84595893,-0.792277132,-0.777154627,15,929,49,94,158.4,0,2021-208,03:40.5
187,0.032,0,-0.773689676,-0.696872479,-0.523030266,-0.481925857,-0.478195681,-0.515992254,-0.565810797,-0.507361506,-0.532261013,-0.36811694,-0.443517661,-0.477200264,-0.440573095,-0.639996779,-0.715154767,-0.587737324,-0.461550878,-0.580708142,-0.481929618,-0.378308677,-0.450153255,-0.394351897,-0.295541229,-0.315941107,-0.252546822,-0.261150936,-0.313891242,-0.260571461,-0.320411288,-0.308213322,-0.348396124,-0.369645136,-0.334182163,-0.312647362,-0.39439452,-0.393837246,-0.27633397,-0.339507063,-0.338733825,-0.41153562,-0.3694861,-0.372120434,-0.38924115,-0.38738168,-0.443539748,-0.352138333,-0.466072182,-0.381198701,-0.338842623,-0.382684031,-0.294589743,-0.348056146,-0.283941028,-0.326708097,-0.284640455,-0.311704376,-0.305398171,-0.296385099,-0.31916013,-0.313012393,-0.330792303,-0.286216127,-0.368683367,-0.304339903,-0.388564736,-0.35321517,-0.356960126,-0.329512351,-0.355356905,-0.315546992,-0.336887148,-0.305572627,-0.355961892,-0.351336621,-0.369139373,-0.366097698,-0.329466334,-0.371625808,-0.366811177,-0.388368238,-0.398550251,-0.409046654,-0.378074322,-0.335422292,-0.41109212,-0.369648708,-0.429502303,-0.408800777,-0.431144611,-0.611841864,-0.418686232,-0.585530576,-0.450798454,-0.45357658,-0.565524062,-0.436402645,-0.502888188,-0.500854362,-0.520062555,-0.474582007,-0.582976856,-0.48862551,-0.517293263,-0.518766954,-0.467500184,-0.667165491,-0.504691051,-0.569662804,-0.496810265,-0.457675069,-0.484124753,-0.436705509,-0.514683976,-0.539518387,-0.460345057,-0.6125485,-0.634815714,-0.561343398,-0.605084962,-0.53185608,-0.530441298,-0.549171994,-0.555561686,-0.606978055,-0.60909979,-0.582018369,-0.611977811,-0.69015473,-0.661713508,-0.632654537,-0.703969653,-0.630762597,-0.690038357,-0.648480606,-0.690390495,-0.860825076,-0.942113082,15,927,50,95,160.07,0,2021-208,03:42.2
187,0.032,0,-0.68424966,-0.569694365,-0.573237637,-0.558900059,-0.38501466,-0.497597136,-0.510629484,-0.525987795,-0.6082983,-0.445292325,-0.560731508,-0.633948452,-0.421029852,-0.591808605,-0.507225222,-0.615275033,-0.612317839,-0.61478026,-0.490057964,-0.478557623,-0.442860371,-0.463309003,-0.445244974,-0.420808608,-0.299579309,-0.266806737,-0.330353206,-0.378856624,-0.293780918,-0.27104272,-0.332398261,-0.321124663,-0.350574623,-0.384852295,-0.422688433,-0.457478827,-0.412232048,-0.381705068,-0.412426348,-0.486327415,-0.41983338,-0.429108658,-0.465253677,-0.22962986,-0.468558559,-0.308893274,-0.301872321,-0.387171168,-0.332991733,-0.348324587,-0.41815691,-0.414230709,-0.359900258,-0.348111229,-0.332106022,-0.358505273,-0.346435281,-0.362175353,-0.304169048,-0.332808895,-0.32097097,-0.266686855,-0.319996227,-0.333532713,-0.32515904,-0.294440668,-0.287857376,-0.28957146,-0.29961862,-0.403216124,-0.31057976,-0.343165703,-0.405226944,-0.306752877,-0.391744702,-0.354625956,-0.329466334,-0.419299174,-0.391100895,-0.345056715,-0.398550251,-0.466542786,-0.43649325,-0.467110208,-0.351207863,-0.35619642,-0.497677272,-0.45047616,-0.43825475,-0.437119344,-0.515480247,-0.524878973,-0.473867818,-0.546652932,-0.526549819,-0.506775034,-0.51855034,-0.508703267,-0.48062085,-0.490447417,-0.503117013,-0.560906202,-0.533414847,-0.526830731,-0.507731866,-0.403058809,-0.441042775,-0.474757229,-0.418150016,-0.371435184,-0.578067235,-0.601065882,-0.475546891,-0.547352253,-0.483862046,-0.596842128,-0.563950807,-0.577175288,-0.35761298,-0.612724599,-0.587937258,-0.591033444,-0.658332462,-0.694780465,-0.582124202,-0.489824742,-0.706359115,-0.69015473,-0.769978153,-0.722847644,-0.836545896,-0.838605814,-0.700640142,-0.680983184,-0.690390495,-0.792277132,-0.824285614,15,925,50,96,161.74,0,2021-208,03:43.8
187,0.032,0,-0.438289617,-0.484908955,-0.512988792,-0.549278283,-0.534104293,-0.561980049,-0.492235712,-0.637745534,-0.646316944,-0.638230788,-0.677945354,-0.584964643,-0.704406874,-0.688184954,-0.592287309,-0.551020379,-0.585711904,-0.538117994,-0.433159544,-0.324328475,-0.442860371,-0.380560476,-0.445244974,-0.433145962,-0.30545837,-0.329020543,-0.385226419,-0.346597034,-0.341715584,-0.329453666,-0.300402536,-0.304951172,-0.366967084,-0.323755813,-0.33214791,-0.405408442,-0.329511478,-0.472129365,-0.369439043,-0.436466218,-0.38836633,-0.460768782,-0.427247413,-0.456792481,-0.462303857,-0.358316198,-0.380931513,-0.375226234,-0.379798857,-0.354051161,-0.311439811,-0.353570693,-0.321920643,-0.374865143,-0.347927877,-0.384505771,-0.413120584,-0.402661664,-0.46407392,-0.337758021,-0.3602563,-0.256922219,-0.290783943,-0.328667244,-0.310526956,-0.348317295,-0.342152394,-0.309541905,-0.345222671,-0.356803054,-0.347410103,-0.327054385,-0.38880526,-0.340190685,-0.403047367,-0.331682473,-0.434631945,-0.407380833,-0.348593888,-0.338869355,-0.385975903,-0.453765868,-0.410529282,-0.381513062,-0.397784508,-0.450362439,-0.402232316,-0.485205646,-0.488025723,-0.524480604,-0.597382874,-0.600693476,-0.473867818,-0.469089305,-0.588908608,-0.530232497,-0.557705718,-0.461609834,-0.535839238,-0.498380122,-0.53506095,-0.544843826,-0.581779599,-0.663914937,-0.620380573,-0.531110533,-0.536515189,-0.601297995,-0.48894424,-0.457675069,-0.499781833,-0.507145669,-0.561648478,-0.641358651,-0.624963979,-0.596842128,-0.571824685,-0.624670957,-0.644999798,-0.572290339,-0.505800172,-0.557544284,-0.546997454,-0.580637333,-0.734985869,-0.637334545,-0.687482854,-0.661211762,-0.612502306,-0.592568712,-0.703969653,-0.745076366,-0.700640142,-0.767656726,-0.868182993,-0.860825076,-0.836068361,15,927,49.5,97,163.41,0,2021-208,03:45.5
187,0.032,0,-0.594809645,-0.633283422,-0.53307174,-0.539656508,-0.534104293,-0.515992254,-0.584204569,-0.600492954,-0.6082983,-0.609290018,-0.707248816,-0.682932261,-0.567604174,-0.514707526,-0.507225222,-0.541841142,-0.40833901,-0.418865582,-0.490057964,-0.478557623,-0.413688836,-0.332290502,-0.542877852,-0.389965226,-0.358369919,-0.385578549,-0.286454635,-0.287454452,-0.240520178,-0.329453666,-0.295069915,-0.353471645,-0.279540628,-0.262659331,-0.252924952,-0.260768485,-0.329511478,-0.375676782,-0.351015912,-0.417768269,-0.33801905,-0.36578841,-0.319563,-0.463102554,-0.399756827,-0.395383391,-0.374850037,-0.375226234,-0.350544404,-0.291058847,-0.333906569,-0.370114334,-0.349048939,-0.326708097,-0.284640455,-0.280503778,-0.279749977,-0.301445887,-0.37412743,-0.28331764,-0.340613635,-0.276451491,-0.290783943,-0.255685221,-0.261753344,-0.338521545,-0.297729198,-0.309541905,-0.345222671,-0.341332031,-0.300056805,-0.251868234,-0.345014103,-0.251023197,-0.357836708,-0.222700925,-0.259355926,-0.365666637,-0.312159311,-0.400742959,-0.429986122,-0.428212031,-0.417020274,-0.467110208,-0.484283991,-0.410005574,-0.4363198,-0.40185488,-0.352933081,-0.378878505,-0.344229298,-0.449064469,-0.46617803,-0.484602031,-0.347268301,-0.420764336,-0.432408507,-0.579343417,-0.527950897,-0.506312827,-0.439229138,-0.593030954,-0.501171679,-0.462320516,-0.483592857,-0.419065275,-0.496735017,-0.466848431,-0.363087842,-0.512554996,-0.523267454,-0.421052141,-0.514683976,-0.516016787,-0.483862046,-0.588988942,-0.563950807,-0.664250681,-0.629033864,-0.588464043,-0.6290058,-0.557544284,-0.529868992,-0.492834923,-0.546156751,-0.480605379,-0.621415941,-0.69015473,-0.553448864,-0.552482886,-0.550997065,-0.776252849,-0.679436573,-0.594309642,-0.501485965,-0.746578503,-0.824285614,15,928,48.5,98,165.08,0,2021-208,03:47.2
187,0.032,0,-0.594809645,-0.601488893,-0.523030266,-0.587765384,-0.562058599,-0.580375167,-0.510629484,-0.600492954,-0.579784317,-0.570702326,-0.502124584,-0.50659055,-0.469887959,-0.611083875,-0.40326045,-0.615275033,-0.488156812,-0.393311493,-0.416902852,-0.393731592,-0.377224417,-0.373664766,-0.406191823,-0.352953166,-0.299579309,-0.306397341,-0.335840527,-0.298207649,-0.293780918,-0.366624268,-0.289737294,-0.240257208,-0.257684014,-0.312647362,-0.20765469,-0.254982887,-0.341328703,-0.381705068,-0.344874869,-0.424000919,-0.3694861,-0.422776633,-0.332231754,-0.292730588,-0.36222861,-0.321249005,-0.314035274,-0.333418962,-0.338842623,-0.291058847,-0.361990016,-0.342541599,-0.305643665,-0.2946034,-0.263544648,-0.270103578,-0.315657449,-0.260959577,-0.354139321,-0.362503648,-0.3602563,-0.320392353,-0.339471083,-0.352994586,-0.300772234,-0.372806671,-0.297729198,-0.25462318,-0.274283035,-0.284604945,-0.33162567,-0.246497795,-0.372383576,-0.317898813,-0.38609337,-0.37756944,-0.335308868,-0.437176686,-0.457897619,-0.456429202,-0.423698948,-0.472931246,-0.410529282,-0.434188229,-0.451014959,-0.477267016,-0.422684806,-0.40185488,-0.452475028,-0.393438714,-0.50058886,-0.547623324,-0.573835065,-0.469089305,-0.542139517,-0.491136725,-0.510719264,-0.579343417,-0.630499332,-0.577707172,-0.53506095,-0.552875014,-0.525354055,-0.542958284,-0.378990485,-0.523107301,-0.456954844,-0.443122037,-0.449614116,-0.543914954,-0.452810592,-0.507145669,-0.405100138,-0.37500719,-0.374116098,-0.455484782,-0.414347113,-0.593007178,-0.52525529,-0.588464043,-0.505800172,-0.515682834,-0.564125917,-0.633318778,-0.654059104,-0.692650722,-0.621415941,-0.632268793,-0.612502306,-0.752912013,-0.581591582,-0.713899884,-0.690038357,-0.821827689,-0.657054401,-0.780852475,-0.883199348,15,926,49.5,99,166.75,0,2021-208,03:48.9
187,0.032,0,-0.818409684,-0.61208707,-0.633486482,-0.501169407,-0.580694803,-0.589572726,-0.473841941,-0.55392723,-0.513251691,-0.493526941,-0.59980279,-0.584964643,-0.684863631,-0.514707526,-0.592287309,-0.587737324,-0.57684326,-0.512563906,-0.425031198,-0.401443049,-0.377224417,-0.394351897,-0.386665248,-0.408471255,-0.399523345,-0.391234349,-0.275479992,-0.368103427,-0.299106992,-0.334763752,-0.337730882,-0.358862809,-0.306861395,-0.323755813,-0.315171562,-0.416979639,-0.400414823,-0.466101078,-0.400144261,-0.392837671,-0.457593839,-0.35312436,-0.319563,-0.381071607,-0.368483313,-0.321249005,-0.429583324,-0.375226234,-0.426605981,-0.405590326,-0.451857047,-0.43077435,-0.457562125,-0.40696984,-0.342653925,-0.348105073,-0.279749977,-0.321689043,-0.209225531,-0.273419389,-0.370077633,-0.339921625,-0.368683367,-0.362725522,-0.40807418,-0.358113046,-0.376703769,-0.309541905,-0.284417269,-0.325861008,-0.215873164,-0.353906581,-0.295749052,-0.340190685,-0.425652696,-0.389041182,-0.475529683,-0.455054199,-0.433607901,-0.394555598,-0.367114381,-0.472931246,-0.462457218,-0.467110208,-0.470976378,-0.450362439,-0.443137297,-0.485205646,-0.431144611,-0.488080079,-0.52292594,-0.456645919,-0.366210783,-0.515627482,-0.487575576,-0.561509115,-0.581198945,-0.477307645,-0.575280944,-0.553909057,-0.53506095,-0.544843826,-0.509232471,-0.430065409,-0.387036821,-0.539113766,-0.393306568,-0.553845208,-0.449614116,-0.575274912,-0.640695556,-0.694986095,-0.616440397,-0.55518612,-0.656319964,-0.557576199,-0.516707535,-0.537595564,-0.565170126,-0.556116635,-0.522227589,-0.515682834,-0.538433223,-0.484054682,-0.60909979,-0.600457095,-0.555349029,-0.661211762,-0.622344547,-0.592568712,-0.663176963,-0.807429332,-0.796056204,-0.843496075,-0.801510806,-0.735153846,-0.824285614,15,923,50,100,168.42,0,2021-208,03:50.5
