SN	INTTIME(ES)	SAMPLE(DELAY)	ES(349.01)	ES(352.33)	ES(355.64)	ES(358.96)	ES(362.28)	ES(365.60)	ES(368.92)	ES(372.24)	ES(375.56)	ES(378.88)	ES(382.20)	ES(385.52)	ES(388.85)	ES(392.17)	ES(395.49)	ES(398.82)	ES(402.14)	ES(405.47)	ES(408.79)	ES(412.12)	ES(415.44)	ES(418.77)	ES(422.10)	ES(425.42)	ES(428.75)	ES(432.08)	ES(435.41)	ES(438.74)	ES(442.07)	ES(445.40)	ES(448.73)	ES(452.06)	ES(455.39)	ES(458.72)	ES(462.05)	ES(465.38)	ES(468.71)	ES(472.04)	ES(475.38)	ES(478.71)	ES(482.04)	ES(485.37)	ES(488.71)	ES(492.04)	ES(495.37)	ES(498.71)	ES(502.04)	ES(505.38)	ES(508.71)	ES(512.04)	ES(515.38)	ES(518.71)	ES(522.05)	ES(525.38)	ES(528.72)	ES(532.05)	ES(535.38)	ES(538.72)	ES(542.05)	ES(545.39)	ES(548.72)	ES(552.06)	ES(555.39)	ES(558.73)	ES(562.06)	ES(565.40)	ES(568.73)	ES(572.07)	ES(575.40)	ES(578.73)	ES(582.07)	ES(585.40)	ES(588.74)	ES(592.07)	ES(595.40)	ES(598.74)	ES(602.07)	ES(605.41)	ES(608.74)	ES(612.07)	ES(615.40)	ES(618.74)	ES(622.07)	ES(625.40)	ES(628.73)	ES(632.06)	ES(635.40)	ES(638.73)	ES(642.06)	ES(645.39)	ES(648.72)	ES(652.05)	ES(655.38)	ES(658.71)	ES(662.03)	ES(665.36)	ES(668.69)	ES(672.02)	ES(675.35)	ES(678.67)	ES(682.00)	ES(685.33)	ES(688.65)	ES(691.98)	ES(695.30)	ES(698.62)	ES(701.95)	ES(705.27)	ES(708.59)	ES(711.92)	ES(715.24)	ES(718.56)	ES(721.88)	ES(725.20)	ES(728.52)	ES(731.84)	ES(735.16)	ES(738.48)	ES(741.79)	ES(745.11)	ES(748.42)	ES(751.74)	ES(755.05)	ES(758.37)	ES(761.68)	ES(765.00)	ES(768.31)	ES(771.62)	ES(774.93)	ES(778.24)	ES(781.55)	ES(784.86)	ES(788.16)	ES(791.47)	ES(794.78)	ES(798.08)	ES(801.39)	DARK_SAMP(ES)	DARK_AVE(ES)	TEMP(PCB)	FRAME(COUNTER)	TIMER	CHECK(SUM)	DATETAG	TIMETAG2
0187	0.0320000000	0.0000000000	-0.6842496603	-0.6650779507	-0.6033620595	-0.4338169804	-0.5900129055	-0.5711776078	-0.4646450555	-0.6004929541	-0.4847377079	-0.5899961721	-0.5998027899	-0.6633387373	-0.5382893094	-0.4954322567	-0.4316144784	-0.5693788513	-0.5325000359	-0.4273836112	-0.4575445809	-0.4785576233	-0.4574461391	-0.3943518973	-0.3411032384	-0.3652905194	-0.2878211872	-0.3120531411	-0.2974292777	-0.3035842472	-0.2618244738	-0.2763528057	-0.2790720518	-0.2618218629	-0.2467557070	-0.2182255258	-0.3095127789	-0.3186244681	-0.3413287026	-0.3636202088	-0.3387338250	-0.4053029699	-0.4009531496	-0.4734328315	-0.3258973768	-0.4631025538	-0.3684833128	-0.4262727184	-0.4052574185	-0.4170335051	-0.3622461854	-0.3025119953	-0.3676067055	-0.3094543171	-0.3002180055	-0.3588127942	-0.3690236847	-0.3585052728	-0.2746203387	-0.2457772101	-0.2741868848	-0.2684702633	-0.2620429745	-0.2666868550	-0.3199962267	-0.3529945855	-0.3154043173	-0.2993385427	-0.3717678583	-0.3444901846	-0.3553569049	-0.3207039998	-0.2947953273	-0.2787204307	-0.3340663137	-0.3011799093	-0.3804420374	-0.3660976983	-0.3762066054	-0.4312175156	-0.3668111767	-0.4688039229	-0.4299861216	-0.4090466537	-0.5338581301	-0.3749286665	-0.4510149586	-0.3696487083	-0.4567722905	-0.4365843659	-0.4382547496	-0.3934387144	-0.4484690057	-0.4490644688	-0.4661780300	-0.6242165597	-0.5265498192	-0.5771474234	-0.5107192639	-0.5793434171	-0.6304993315	-0.5063128268	-0.5430469341	-0.5368126380	-0.4286245517	-0.3736189713	-0.5399172106	-0.3870523435	-0.4808229474	-0.6250243891	-0.4653461654	-0.5439149542	-0.4684676723	-0.4601855625	-0.4364098062	-0.4925151876	-0.4995400381	-0.4947507113	-0.4930858994	-0.4980158393	-0.5412212247	-0.5318560795	-0.5304412978	-0.5324274136	-0.6326397676	-0.5630768506	-0.6001079274	-0.6373345454	-0.7252353752	-0.6708594179	-0.6715557488	-0.6426759932	-0.6529787899	-0.8282136535	-0.6900383572	-0.7351541474	-0.7903987748	-0.8379757612	-0.8125028673	15	934	48.5000000000	91	153.3900000000	0	2021-208	18:03:35.486
0187	0.0320000000	0.0000000000	-0.6171696485	-0.6544797745	-0.5631961627	-0.5685218338	-0.5993310076	-0.5343873721	-0.4646450555	-0.4887352158	-0.5797843173	-0.5803492490	-0.5021245842	-0.4869970260	-0.6066906593	-0.5628957006	-0.4883225361	-0.4775864879	-0.5413686806	-0.4103475522	-0.4656729267	-0.4862690807	-0.4136888360	-0.4564132926	-0.4517538328	-0.4146399318	-0.4700720768	-0.4195133521	-0.4126630256	-0.3896098203	-0.3843241767	-0.3878646117	-0.2790720518	-0.3588628088	-0.3123255488	-0.2959846849	-0.2529249518	-0.3070532716	-0.2999684180	-0.4178747866	-0.4554136538	-0.4613968162	-0.5394081691	-0.5050929555	-0.4652536769	-0.4757226994	-0.4560491536	-0.3336047361	-0.3079537975	-0.3632812990	-0.2686319369	-0.2910588474	-0.2889730537	-0.2322506597	-0.4033055320	-0.3641635771	-0.3532018291	-0.3481050734	-0.3669538357	-0.3318106204	-0.4041095931	-0.4020966525	-0.3946309643	-0.4082740764	-0.3492085106	-0.3919183314	-0.3739326519	-0.2944406675	-0.2730496443	-0.3494827960	-0.3097528532	-0.3619600620	-0.3053182825	-0.3109430667	-0.3723835759	-0.3736284932	-0.3860933696	-0.4005129239	-0.4229468772	-0.3597074663	-0.4639700487	-0.3512440753	-0.3734015550	-0.3515505209	-0.3326373774	-0.4144350414	-0.3312464436	-0.3965532852	-0.4022323155	-0.4157466744	-0.3955939154	-0.5172004994	-0.4186862321	-0.5552047741	-0.5430759120	-0.4070384033	-0.5187549706	-0.5771474234	-0.5811989452	-0.3752718725	-0.5595042612	-0.5380436467	-0.5749908714	-0.5127190740	-0.5334148471	-0.5429582844	-0.6686585910	-0.6751687234	-0.6558557073	-0.5775716017	-0.5754705136	-0.5439149542	-0.6250384757	-0.6010658817	-0.4912017250	-0.6100231852	-0.5700910046	-0.5026038972	-0.5560769282	-0.5930071777	-0.5971019949	-0.6288983030	-0.5797235490	-0.6328948942	-0.5469974544	-0.5455163688	-0.5281730255	-0.4898247417	-0.6308540716	-0.6708594179	-0.6617135084	-0.7128261874	-0.9385276212	-0.8178214926	-0.8066579882	-0.8759986529	-0.7348386191	-0.6894552167	-0.7300236401	15	928	49.5000000000	92	155.0600000000	0	2021-208	18:03:37.171
0187	0.0320000000	0.0000000000	-0.6171696485	-0.5908907171	-0.5431132144	-0.5781436091	-0.4781956806	-0.5527824900	-0.6853703105	-0.6191192438	-0.7033449095	-0.6382307878	-0.7072488161	-0.6241516903	-0.5285176879	-0.5436204309	-0.5166765649	-0.5693788513	-0.4792881674	-0.5807081418	-0.4250311980	-0.4014430493	-0.5376678614	-0.4771004244	-0.4842981253	-0.3591218428	-0.4289186501	-0.3968901498	-0.4126630256	-0.4164928119	-0.3150852142	-0.3294536657	-0.3323982612	-0.3426893178	-0.3013972418	-0.3515269414	-0.3264891270	-0.3417668612	-0.3708717630	-0.3696484952	-0.4001442612	-0.4177682691	-0.3946597396	-0.5177570052	-0.4145786587	-0.3810716072	-0.3997568274	-0.4015612565	-0.3870129896	-0.3991161031	-0.4266059812	-0.3540511609	-0.3395232585	-0.3701143337	-0.4250081692	-0.3427604458	-0.3479278773	-0.4105062697	-0.3669538357	-0.3267498315	-0.2941749938	-0.2090807570	-0.3357029688	-0.2764514909	-0.3005213707	-0.3092053715	-0.2812627889	-0.3385215446	-0.3174728406	-0.3744458529	-0.3046857363	-0.3568030542	-0.3316256704	-0.3002021880	-0.3997530489	-0.3680555252	-0.4200013633	-0.3431542145	-0.4229468772	-0.3954624909	-0.3850284652	-0.3883682377	-0.4614219919	-0.4537658680	-0.4105292817	-0.4210194372	-0.3445540564	-0.4570885832	-0.3204223531	-0.4921515431	-0.5093561399	-0.4807999744	-0.5303716333	-0.4490644688	-0.4815576064	-0.5001147560	-0.4875755761	-0.6318815041	-0.5498746424	-0.5400988893	-0.5673926023	-0.6728996310	-0.5350609498	-0.5287814500	-0.5817795989	-0.4300654090	-0.3789904850	-0.4270685073	-0.4330867402	-0.4905748248	-0.4653461654	-0.4655150588	-0.6172099355	-0.5149723533	-0.5929581457	-0.6726941173	-0.5073790343	-0.5183102690	-0.5718246853	-0.5692593431	-0.5412212247	-0.6450720069	-0.5140138807	-0.5240551235	-0.5469974544	-0.5103954051	-0.6001079274	-0.5359215554	-0.6402922020	-0.6708594179	-0.7207669510	-0.7629334690	-0.6733751350	-0.7554685273	-0.7642508497	-0.6268122202	-0.6903904945	-0.8722497330	-0.7182408934	15	927	48.5000000000	93	156.7300000000	0	2021-208	18:03:38.840
0187	0.0320000000	0.0000000000	-0.6507096544	-0.4743107787	-0.5330717402	-0.5204129576	-0.4409232722	-0.4792020184	-0.5382201405	-0.6749981129	-0.6178029611	-0.5417615564	-0.5216602253	-0.6143549286	-0.6750920093	-0.5918086052	-0.4883225361	-0.4500487788	-0.4438135885	-0.5040458765	-0.4575445809	-0.5325378251	-0.5522536291	-0.4081433185	-0.4517538328	-0.3961339022	-0.3466117967	-0.2781183377	-0.3138912417	-0.2982076489	-0.3896502508	-0.3188334937	-0.3270656403	-0.2941688449	-0.3013972418	-0.3626353927	-0.3264891270	-0.3128388699	-0.4122320475	-0.4480162188	-0.4615546974	-0.3928376707	-0.4638872494	-0.4164446081	-0.4462505451	-0.3936917529	-0.4435397478	-0.4200948529	-0.4052574185	-0.3991161031	-0.3388426233	-0.3425980130	-0.3507566373	-0.3701143337	-0.2785153683	-0.3802159255	-0.3742976365	-0.3273046747	-0.3566945583	-0.3419321981	-0.3091660755	-0.3328088952	-0.3160603037	-0.2471575831	-0.2713090868	-0.2362233480	-0.3105269561	-0.3140321684	-0.3421523941	-0.3295123505	-0.3046857363	-0.3516460464	-0.2579649843	-0.3914996566	-0.3833313651	-0.2956069413	-0.3295800469	-0.2284367958	-0.3177812656	-0.3060749293	-0.3911008947	-0.4316797605	-0.4174117735	-0.4601543272	-0.3196553933	-0.4473570205	-0.4110921203	-0.4100055736	-0.4704072843	-0.4990974403	-0.4240344715	-0.4298392394	-0.4484690057	-0.3884128658	-0.4507984536	-0.4303074914	-0.4875755761	-0.3660302550	-0.4872260368	-0.4616098337	-0.4569558262	-0.4666493020	-0.5590189027	-0.5930309541	-0.6301443506	-0.6477873831	-0.5399172106	-0.6751687234	-0.5683393273	-0.4826660269	-0.5833365385	-0.5674349228	-0.4997818330	-0.4836656157	-0.5146839760	-0.5708538527	-0.5779300009	-0.5261634549	-0.5167075352	-0.5930071777	-0.5252552904	-0.5156823756	-0.5797235490	-0.5826611539	-0.5641259170	-0.6157582962	-0.5551486137	-0.6834313590	-0.5742252894	-0.6419164495	-0.5632911041	-0.4923541486	-0.7243659977	-0.6723312403	-0.6794365725	-0.8218276893	-0.8459589304	-0.7922771321	-0.7771546271	15	929	49.0000000000	94	158.4000000000	0	2021-208	18:03:40.509
0187	0.0320000000	0.0000000000	-0.7736896761	-0.6968724794	-0.5230302660	-0.4819258566	-0.4781956806	-0.5159922542	-0.5658107974	-0.5073615055	-0.5322610126	-0.3681169400	-0.4435176608	-0.4772002642	-0.4405730951	-0.6399967794	-0.7151547668	-0.5877373240	-0.4615508780	-0.5807081418	-0.4819296181	-0.3783086771	-0.4501532552	-0.3943518973	-0.2955412289	-0.3159411070	-0.2525468215	-0.2611509359	-0.3138912417	-0.2605714607	-0.3204112882	-0.3082133217	-0.3483961240	-0.3696451361	-0.3341821627	-0.3126473618	-0.3943945195	-0.3938372457	-0.2763339697	-0.3395070631	-0.3387338250	-0.4115356195	-0.3694860997	-0.3721204344	-0.3892411496	-0.3873816800	-0.4435397478	-0.3521383326	-0.4660721817	-0.3811987010	-0.3388426233	-0.3826840306	-0.2945897431	-0.3480561458	-0.2839410276	-0.3267080973	-0.2846404551	-0.3117043756	-0.3053981710	-0.2963850985	-0.3191601300	-0.3130123931	-0.3307923025	-0.2862161269	-0.3686833665	-0.3043399032	-0.3885647355	-0.3532151703	-0.3569601262	-0.3295123505	-0.3553569049	-0.3155469920	-0.3368871479	-0.3055726273	-0.3559618921	-0.3513366212	-0.3691393728	-0.3660976983	-0.3294663335	-0.3716258078	-0.3668111767	-0.3883682377	-0.3985502513	-0.4090466537	-0.3780743215	-0.3354222916	-0.4110921203	-0.3696487083	-0.4295023030	-0.4088007772	-0.4311446105	-0.6118418644	-0.4186862321	-0.5855305756	-0.4507984536	-0.4535765796	-0.5655240624	-0.4364026445	-0.5028881882	-0.5008543615	-0.5200625554	-0.4745820070	-0.5829768557	-0.4886255100	-0.5172932632	-0.5187669540	-0.4675001841	-0.6671654906	-0.5046910510	-0.5696628038	-0.4968102649	-0.4576750693	-0.4841247527	-0.4367055093	-0.5146839760	-0.5395183866	-0.4603450566	-0.6125484998	-0.6348157141	-0.5613433982	-0.6050849620	-0.5318560795	-0.5304412978	-0.5491719937	-0.5555616857	-0.6069780553	-0.6090997902	-0.5820183690	-0.6119778109	-0.6901547302	-0.6617135084	-0.6326545369	-0.7039696527	-0.6307625968	-0.6900383572	-0.6484806056	-0.6903904945	-0.8608250757	-0.9421130815	15	927	50.0000000000	95	160.0700000000	0	2021-208	18:03:42.178
0187	0.0320000000	0.0000000000	-0.6842496603	-0.5696943647	-0.5732376369	-0.5589000586	-0.3850146598	-0.4975971363	-0.5106294837	-0.5259877952	-0.6082983001	-0.4452923251	-0.5607315076	-0.6339484521	-0.4210298523	-0.5918086052	-0.5072252219	-0.6152750331	-0.6123178385	-0.6147802597	-0.4900579638	-0.4785576233	-0.4428603714	-0.4633090032	-0.4452449743	-0.4208086084	-0.2995793091	-0.2668067365	-0.3303532057	-0.3788566237	-0.2937809180	-0.2710427197	-0.3323982612	-0.3211246632	-0.3505746231	-0.3848522953	-0.4226884330	-0.4574788267	-0.4122320475	-0.3817050681	-0.4124263484	-0.4863274145	-0.4198333795	-0.4291086577	-0.4652536769	-0.2296298597	-0.4685585594	-0.3088932742	-0.3018723212	-0.3871711684	-0.3329917327	-0.3483245869	-0.4181569103	-0.4142307093	-0.3599002577	-0.3481112286	-0.3321060217	-0.3585052728	-0.3464352808	-0.3621753534	-0.3041690483	-0.3328088952	-0.3209709700	-0.2666868550	-0.3199962267	-0.3335327126	-0.3251590398	-0.2944406675	-0.2878573764	-0.2895714595	-0.2996186195	-0.4032161242	-0.3105797601	-0.3431657026	-0.4052269435	-0.3067528773	-0.3917447019	-0.3546259564	-0.3294663335	-0.4192991740	-0.3911008947	-0.3450567149	-0.3985502513	-0.4665427864	-0.4364932498	-0.4671102079	-0.3512078627	-0.3561964198	-0.4976772718	-0.4504761602	-0.4382547496	-0.4371193444	-0.5154802465	-0.5248789726	-0.4738678182	-0.5466529324	-0.5265498192	-0.5067750339	-0.5185503396	-0.5087032670	-0.4806208497	-0.4904474169	-0.5031170125	-0.5609062021	-0.5334148471	-0.5268307308	-0.5077318655	-0.4030588090	-0.4410427747	-0.4747572290	-0.4181500162	-0.3714351844	-0.5780672347	-0.6010658817	-0.4755468911	-0.5473522532	-0.4838620455	-0.5968421280	-0.5639508068	-0.5771752879	-0.3576129800	-0.6127245991	-0.5879372576	-0.5910334439	-0.6583324615	-0.6947804645	-0.5821242020	-0.4898247417	-0.7063591145	-0.6901547302	-0.7699781531	-0.7228476437	-0.8365458957	-0.8386058143	-0.7006401418	-0.6809831838	-0.6903904945	-0.7922771321	-0.8242856141	15	925	50.0000000000	96	161.7400000000	0	2021-208	18:03:43.847
0187	0.0320000000	0.0000000000	-0.4382896171	-0.4849089549	-0.5129887918	-0.5492782833	-0.5341042930	-0.5619800489	-0.4922357124	-0.6377455335	-0.6463169439	-0.6382307878	-0.6779453544	-0.5849646434	-0.7044068736	-0.6881849536	-0.5922873085	-0.5510203787	-0.5857119043	-0.5381179944	-0.4331595438	-0.3243284753	-0.4428603714	-0.3805604761	-0.4452449743	-0.4331459615	-0.3054583701	-0.3290205429	-0.3852264189	-0.3465970338	-0.3417155844	-0.3294536657	-0.3004025356	-0.3049511722	-0.3669670836	-0.3237558131	-0.3321479097	-0.4054084422	-0.3295114784	-0.4721293645	-0.3694390431	-0.4364662178	-0.3883663297	-0.4607687818	-0.4272474133	-0.4567924810	-0.4623038565	-0.3583161981	-0.3809315133	-0.3752262337	-0.3797988570	-0.3540511609	-0.3114398114	-0.3535706928	-0.3219206427	-0.3748651427	-0.3479278773	-0.3845057712	-0.4131205842	-0.4026616642	-0.4640739200	-0.3377580207	-0.3602563003	-0.2569222190	-0.2907839428	-0.3286672444	-0.3105269561	-0.3483172950	-0.3421523941	-0.3095419050	-0.3452226712	-0.3568030542	-0.3474101031	-0.3270543846	-0.3888052597	-0.3401906852	-0.4030473665	-0.3316824727	-0.4346319451	-0.4073808325	-0.3485938881	-0.3388693545	-0.3859759031	-0.4537658680	-0.4105292817	-0.3815130623	-0.3977845075	-0.4503624390	-0.4022323155	-0.4852056460	-0.4880257228	-0.5244806044	-0.5973828740	-0.6006934763	-0.4738678182	-0.4690893051	-0.5889086082	-0.5302324971	-0.5577057181	-0.4616098337	-0.5358392377	-0.4983801219	-0.5350609498	-0.5448438261	-0.5817795989	-0.6639149367	-0.6203805734	-0.5311105334	-0.5365151892	-0.6012979954	-0.4889442400	-0.4576750693	-0.4997818330	-0.5071456689	-0.5616484778	-0.6413586513	-0.6249639786	-0.5968421280	-0.5718246853	-0.6246709571	-0.6449997979	-0.5722903393	-0.5058001721	-0.5575442837	-0.5469974544	-0.5806373325	-0.7349858685	-0.6373345454	-0.6874828538	-0.6612117618	-0.6125023063	-0.5925687117	-0.7039696527	-0.7450763664	-0.7006401418	-0.7676567256	-0.8681829927	-0.8608250757	-0.8360683608	15	927	49.5000000000	97	163.4100000000	0	2021-208	18:03:45.517
0187	0.0320000000	0.0000000000	-0.5948096446	-0.6332834220	-0.5330717402	-0.5396565081	-0.5341042930	-0.5159922542	-0.5842045687	-0.6004929541	-0.6082983001	-0.6092900184	-0.7072488161	-0.6829322607	-0.5676041736	-0.5147075264	-0.5072252219	-0.5418411423	-0.4083390096	-0.4188655817	-0.4900579638	-0.4785576233	-0.4136888360	-0.3322905020	-0.5428778518	-0.3899652256	-0.3583699187	-0.3855785487	-0.2864546351	-0.2874544523	-0.2405201776	-0.3294536657	-0.2950699146	-0.3534716451	-0.2795406279	-0.2626593310	-0.2529249518	-0.2607684854	-0.3295114784	-0.3756767817	-0.3510159122	-0.4177682691	-0.3380190498	-0.3657884096	-0.3195629995	-0.4631025538	-0.3997568274	-0.3953833910	-0.3748500370	-0.3752262337	-0.3505444043	-0.2910588474	-0.3339065691	-0.3701143337	-0.3490489391	-0.3267080973	-0.2846404551	-0.2805037775	-0.2797499774	-0.3014458873	-0.3741274297	-0.2833176399	-0.3406136351	-0.2764514909	-0.2907839428	-0.2556852209	-0.2617533440	-0.3385215446	-0.2977291978	-0.3095419050	-0.3452226712	-0.3413320309	-0.3000568049	-0.2518682340	-0.3450141029	-0.2510231973	-0.3578367083	-0.2227009249	-0.2593559258	-0.3656666371	-0.3121593111	-0.4007429585	-0.4299861216	-0.4282120313	-0.4170202737	-0.4671102079	-0.4842839906	-0.4100055736	-0.4363197999	-0.4018548801	-0.3529330812	-0.3788785045	-0.3442292979	-0.4490644688	-0.4661780300	-0.4846020305	-0.3472683009	-0.4207643357	-0.4324085069	-0.5793434171	-0.5279508966	-0.5063128268	-0.4392291379	-0.5930309541	-0.5011716793	-0.4623205163	-0.4835928566	-0.4190652746	-0.4967350165	-0.4668484311	-0.3630878421	-0.5125549960	-0.5232674535	-0.4210521406	-0.5146839760	-0.5160167871	-0.4838620455	-0.5889889421	-0.5639508068	-0.6642506814	-0.6290338635	-0.5884640432	-0.6290058003	-0.5575442837	-0.5298689917	-0.4928349232	-0.5461567510	-0.4806053790	-0.6214159412	-0.6901547302	-0.5534488637	-0.5524828864	-0.5509970645	-0.7762528491	-0.6794365725	-0.5943096420	-0.5014859652	-0.7465785031	-0.8242856141	15	928	48.5000000000	98	165.0800000000	0	2021-208	18:03:47.186
0187	0.0320000000	0.0000000000	-0.5948096446	-0.6014888934	-0.5230302660	-0.5877653843	-0.5620585993	-0.5803751668	-0.5106294837	-0.6004929541	-0.5797843173	-0.5707023259	-0.5021245842	-0.5065905495	-0.4698879594	-0.6110838748	-0.4032604495	-0.6152750331	-0.4881568122	-0.3933114932	-0.4169028523	-0.3937315919	-0.3772244168	-0.3736647655	-0.4061918233	-0.3529531663	-0.2995793091	-0.3063973406	-0.3358405270	-0.2982076489	-0.2937809180	-0.3666242677	-0.2897372937	-0.2402572083	-0.2576840140	-0.3126473618	-0.2076546902	-0.2549828871	-0.3413287026	-0.3817050681	-0.3448748686	-0.4240009187	-0.3694860997	-0.4227766329	-0.3322317540	-0.2927305879	-0.3622286099	-0.3212490052	-0.3140352738	-0.3334189622	-0.3388426233	-0.2910588474	-0.3619900161	-0.3425415989	-0.3056436648	-0.2946034004	-0.2635446477	-0.2701035781	-0.3156574485	-0.2609595766	-0.3541393207	-0.3625036483	-0.3602563003	-0.3203923527	-0.3394710826	-0.3529945855	-0.3007722337	-0.3728066712	-0.2977291978	-0.2546231799	-0.2742830352	-0.2846049453	-0.3316256704	-0.2464977947	-0.3723835759	-0.3178988133	-0.3860933696	-0.3775694401	-0.3353088675	-0.4371766864	-0.4578976192	-0.4564292021	-0.4236989475	-0.4729312456	-0.4105292817	-0.4341882288	-0.4510149586	-0.4772670159	-0.4226848062	-0.4018548801	-0.4524750276	-0.3934387144	-0.5005888596	-0.5476233237	-0.5738350648	-0.4690893051	-0.5421395165	-0.4911367252	-0.5107192639	-0.5793434171	-0.6304993315	-0.5777071715	-0.5350609498	-0.5528750141	-0.5253540552	-0.5429582844	-0.3789904850	-0.5231073006	-0.4569548438	-0.4431220374	-0.4496141157	-0.5439149542	-0.4528105920	-0.5071456689	-0.4051001383	-0.3750071899	-0.3741160975	-0.4554847819	-0.4143471134	-0.5930071777	-0.5252552904	-0.5884640432	-0.5058001721	-0.5156828335	-0.5641259170	-0.6333187780	-0.6540591039	-0.6926507218	-0.6214159412	-0.6322687933	-0.6125023063	-0.7529120127	-0.5815915821	-0.7138998838	-0.6900383572	-0.8218276893	-0.6570544011	-0.7808524749	-0.8831993478	15	926	49.5000000000	99	166.7500000000	0	2021-208	18:03:48.871
0187	0.0320000000	0.0000000000	-0.8184096839	-0.6120870696	-0.6334864820	-0.5011694071	-0.5806948034	-0.5895727257	-0.4738419412	-0.5539272298	-0.5132516907	-0.4935269408	-0.5998027899	-0.5849646434	-0.6848636307	-0.5147075264	-0.5922873085	-0.5877373240	-0.5768432595	-0.5125639060	-0.4250311980	-0.4014430493	-0.3772244168	-0.3943518973	-0.3866652478	-0.4084712553	-0.3995233453	-0.3912343492	-0.2754799924	-0.3681034270	-0.2991069921	-0.3347637517	-0.3377308822	-0.3588628088	-0.3068613953	-0.3237558131	-0.3151715616	-0.4169796388	-0.4004148234	-0.4661010780	-0.4001442612	-0.3928376707	-0.4575938394	-0.3531243599	-0.3195629995	-0.3810716072	-0.3684833128	-0.3212490052	-0.4295833238	-0.3752262337	-0.4266059812	-0.4055903264	-0.4518570468	-0.4307743502	-0.4575621249	-0.4069698396	-0.3426539254	-0.3481050734	-0.2797499774	-0.3216890427	-0.2092255307	-0.2734193889	-0.3700776328	-0.3399216247	-0.3686833665	-0.3627255220	-0.4080741803	-0.3581130455	-0.3767037690	-0.3095419050	-0.2844172689	-0.3258610075	-0.2158731636	-0.3539065813	-0.2957490515	-0.3401906852	-0.4256526956	-0.3890411820	-0.4755296830	-0.4550541987	-0.4336079012	-0.3945555981	-0.3671143809	-0.4729312456	-0.4624572179	-0.4671102079	-0.4709763778	-0.4503624390	-0.4431372968	-0.4852056460	-0.4311446105	-0.4880800794	-0.5229259399	-0.4566459192	-0.3662107834	-0.5156274815	-0.4875755761	-0.5615091146	-0.5811989452	-0.4773076448	-0.5752809435	-0.5539090566	-0.5350609498	-0.5448438261	-0.5092324713	-0.4300654090	-0.3870368213	-0.5391137662	-0.3933065675	-0.5538452080	-0.4496141157	-0.5752749124	-0.6406955561	-0.6949860945	-0.6164403967	-0.5551861197	-0.6563199637	-0.5575761985	-0.5167075352	-0.5375955636	-0.5651701262	-0.5561166354	-0.5222275892	-0.5156828335	-0.5384332230	-0.4840546823	-0.6090997902	-0.6004570945	-0.5553490287	-0.6612117618	-0.6223445467	-0.5925687117	-0.6631769625	-0.8074293317	-0.7960562036	-0.8434960747	-0.8015108059	-0.7351538458	-0.8242856141	15	923	50.0000000000	100	168.4200000000	0	2021-208	18:03:50.524
