SN,INTTIME(ES),SAMPLE(DELAY),ES(349.01),ES(352.33),ES(355.64),ES(358.96),ES(362.28),ES(365.60),ES(368.92),ES(372.24),ES(375.56),ES(378.88),ES(382.20),ES(385.52),ES(388.85),ES(392.17),ES(395.49),ES(398.82),ES(402.14),ES(405.47),ES(408.79),ES(412.12),ES(415.44),ES(418.77),ES(422.10),ES(425.42),ES(428.75),ES(432.08),ES(435.41),ES(438.74),ES(442.07),ES(445.40),ES(448.73),ES(452.06),ES(455.39),ES(458.72),ES(462.05),ES(465.38),ES(468.71),ES(472.04),ES(475.38),ES(478.71),ES(482.04),ES(485.37),ES(488.71),ES(492.04),ES(495.37),ES(498.71),ES(502.04),ES(505.38),ES(508.71),ES(512.04),ES(515.38),ES(518.71),ES(522.05),ES(525.38),ES(528.72),ES(532.05),ES(535.38),ES(538.72),ES(542.05),ES(545.39),ES(548.72),ES(552.06),ES(555.39),ES(558.73),ES(562.06),ES(565.40),ES(568.73),ES(572.07),ES(575.40),ES(578.73),ES(582.07),ES(585.40),ES(588.74),ES(592.07),ES(595.40),ES(598.74),ES(602.07),ES(605.41),ES(608.74),ES(612.07),ES(615.40),ES(618.74),ES(622.07),ES(625.40),ES(628.73),ES(632.06),ES(635.40),ES(638.73),ES(642.06),ES(645.39),ES(648.72),ES(652.05),ES(655.38),ES(658.71),ES(662.03),ES(665.36),ES(668.69),ES(672.02),ES(675.35),ES(678.67),ES(682.00),ES(685.33),ES(688.65),ES(691.98),ES(695.30),ES(698.62),ES(701.95),ES(705.27),ES(708.59),ES(711.92),ES(715.24),ES(718.56),ES(721.88),ES(725.20),ES(728.52),ES(731.84),ES(735.16),ES(738.48),ES(741.79),ES(745.11),ES(748.42),ES(751.74),ES(755.05),ES(758.37),ES(761.68),ES(765.00),ES(768.31),ES(771.62),ES(774.93),ES(778.24),ES(781.55),ES(784.86),ES(788.16),ES(791.47),ES(794.78),ES(798.08),ES(801.39),DARK_SAMP(ES),DARK_AVE(ES),TEMP(PCB),FRAME(COUNTER),TIMER,CHECK(SUM),DATETAG,TIMETAG2
187,0.032,0,-0.717789666,-0.590890717,-0.563196163,-0.462682306,-0.590012906,-0.55278249,-0.666976539,-0.591179809,-0.722354231,-0.609290018,-0.560731508,-0.653541976,-0.636005524,-0.659272049,-0.497773879,-0.477586488,-0.567974615,-0.350721346,-0.457544581,-0.393731592,-0.413688836,-0.359873344,-0.380156389,-0.248085665,-0.334853675,-0.379922748,-0.297429278,-0.35735023,-0.299106992,-0.329453666,-0.295069915,-0.353471645,-0.366967084,-0.262659331,-0.354783041,-0.324410066,-0.353145927,-0.4118465,-0.44927261,-0.486327415,-0.35689928,-0.416444608,-0.287891113,-0.330591025,-0.36222861,-0.278003947,-0.247139034,-0.303556626,-0.29788639,-0.365504309,-0.406923532,-0.348056146,-0.441285147,-0.358812794,-0.374297637,-0.348105073,-0.361824197,-0.372296931,-0.339148239,-0.313012393,-0.271864307,-0.359450897,-0.281046515,-0.28487803,-0.295894873,-0.348317295,-0.297729198,-0.269601014,-0.355356905,-0.325861008,-0.342148626,-0.391499657,-0.345014103,-0.423785205,-0.363488041,-0.371833569,-0.382049139,-0.401421662,-0.415390613,-0.41930504,-0.404837425,-0.383492817,-0.397547298,-0.467110208,-0.437707346,-0.430184006,-0.443137297,-0.485205646,-0.502246001,-0.495360184,-0.5676001,-0.47939027,-0.589214641,-0.461332942,-0.471985879,-0.530232497,-0.479394961,-0.477307645,-0.449067485,-0.577707172,-0.511102997,-0.633186894,-0.614022767,-0.494575624,-0.564056219,-0.467084671,-0.560383293,-0.553845208,-0.481078215,-0.512554996,-0.507610373,-0.499318985,-0.45206464,-0.547352253,-0.38979409,-0.431925224,-0.461590385,-0.371360721,-0.52525529,-0.604637747,-0.604364675,-0.582661154,-0.529868992,-0.510395405,-0.60909979,-0.683431359,-0.498720247,-0.497201607,-0.622344547,-0.552482886,-0.65297879,-0.838605814,-0.668834788,-0.886832846,-0.757062681,-0.75800316,-0.76537188,15,928,47.5,51,2983.44,0,2021-208,58:27.5
187,0.032,0,-0.538909635,-0.601488893,-0.633486482,-0.61663071,-0.562058599,-0.534387372,-0.584204569,-0.544614085,-0.532261013,-0.734700019,-0.668177534,-0.633948452,-0.548060931,-0.572533336,-0.554481937,-0.569378851,-0.550237325,-0.529599965,-0.514443001,-0.463134709,-0.464739023,-0.380560476,-0.412700682,-0.396133902,-0.334853675,-0.295085739,-0.231581422,-0.303584247,-0.30975914,-0.308213322,-0.32706564,-0.310342336,-0.213970786,-0.318201588,-0.320830344,-0.289696477,-0.347237315,-0.339507063,-0.314169651,-0.442698867,-0.33172564,-0.422776633,-0.401909904,-0.418932044,-0.387247422,-0.271826081,-0.338361179,-0.345363897,-0.455860434,-0.405590326,-0.339523259,-0.397687069,-0.34362328,-0.251797138,-0.379571588,-0.358505273,-0.35156492,-0.357114565,-0.354139321,-0.288266765,-0.266953641,-0.256922219,-0.251834231,-0.275147094,-0.271508067,-0.358113046,-0.307601019,-0.349482796,-0.284417269,-0.325861008,-0.405286357,-0.423722293,-0.361435787,-0.351336621,-0.397396034,-0.400512924,-0.382049139,-0.377584979,-0.415390613,-0.388368238,-0.423698948,-0.421823572,-0.410529282,-0.440772625,-0.484283991,-0.35619642,-0.347692341,-0.422692572,-0.296051969,-0.393438714,-0.426131926,-0.494553171,-0.512316759,-0.469089305,-0.534344668,-0.420764336,-0.479394961,-0.602890134,-0.441179144,-0.530110942,-0.423257169,-0.60909333,-0.573718807,-0.647787383,-0.47554652,-0.483091137,-0.43308674,-0.39566925,-0.544006414,-0.363595195,-0.37452519,-0.358438665,-0.545993644,-0.453345855,-0.421150075,-0.534016641,-0.556076928,-0.593007178,-0.509289356,-0.523769228,-0.514013881,-0.490565963,-0.495612066,-0.55429661,-0.591116065,-0.600457095,-0.555349029,-0.593678169,-0.651871268,-0.672740362,-0.57139341,-0.599586114,-0.74304728,-0.670148991,-0.679278463,-0.803701789,-0.918547588,15,933,50,52,2985.11,0,2021-208,58:29.1
187,0.032,0,-0.762509674,-0.749863361,-0.613403534,-0.578143609,-0.515468089,-0.607967844,-0.648582768,-0.507361506,-0.589288978,-0.580349249,-0.59980279,-0.594761405,-0.557832552,-0.572533336,-0.497773879,-0.532661906,-0.461550878,-0.487009818,-0.425031198,-0.447711794,-0.435567488,-0.415039029,-0.412700682,-0.34678449,-0.434797711,-0.312053141,-0.352302491,-0.265948059,-0.331063436,-0.308213322,-0.289737294,-0.261821863,-0.301397242,-0.257105105,-0.349124258,-0.382266049,-0.388597599,-0.369648495,-0.424708436,-0.40530297,-0.36319269,-0.416444608,-0.332231754,-0.336901098,-0.462303857,-0.345960467,-0.356605608,-0.333418962,-0.256930156,-0.302511995,-0.350756637,-0.397687069,-0.370751576,-0.36951436,-0.332106022,-0.368905472,-0.382342752,-0.296385099,-0.31916013,-0.258572012,-0.306238971,-0.252039901,-0.305390085,-0.241088816,-0.251998622,-0.338521545,-0.332280573,-0.359468019,-0.350289788,-0.341332031,-0.31057976,-0.289461309,-0.350487998,-0.334617717,-0.31262605,-0.383305311,-0.387891673,-0.258401563,-0.336449029,-0.382180877,-0.367114381,-0.319608225,-0.46894821,-0.355175479,-0.357861669,-0.490719304,-0.511312266,-0.457422057,-0.424034472,-0.386158609,-0.426131926,-0.373249965,-0.512316759,-0.383769315,-0.471985879,-0.491136725,-0.471563885,-0.422365306,-0.583169285,-0.434918482,-0.487145044,-0.464531946,-0.452806928,-0.494575624,-0.47554652,-0.547116999,-0.568339327,-0.466848431,-0.512542315,-0.481195038,-0.484124753,-0.381918719,-0.624267814,-0.508182921,-0.530896023,-0.518310269,-0.6033202,-0.569259343,-0.565170126,-0.596550895,-0.546868715,-0.591033444,-0.469919373,-0.598197814,-0.5101893,-0.545140918,-0.621415941,-0.651564106,-0.642029028,-0.582547255,-0.754960515,-0.921743101,-0.711241926,-0.810993497,-0.712614557,-0.837975761,-0.73002364,15,929,48.5,53,2986.78,0,2021-208,58:30.8
187,0.032,0,-0.784869678,-0.516703484,-0.583279111,-0.530034733,-0.645921518,-0.607967844,-0.593401454,-0.647058678,-0.513251691,-0.580349249,-0.638874072,-0.643745214,-0.508974445,-0.62072151,-0.56393328,-0.532661906,-0.461550878,-0.4529377,-0.473801272,-0.401443049,-0.384517301,-0.277124817,-0.328085521,-0.389965226,-0.311337431,-0.351643745,-0.341327848,-0.362726829,-0.368345955,-0.35069401,-0.369726608,-0.342689318,-0.405216158,-0.401514972,-0.383076954,-0.382266049,-0.412232048,-0.369648495,-0.479977828,-0.374139722,-0.306552,-0.359456385,-0.338566131,-0.362141389,-0.468558559,-0.395383391,-0.338361179,-0.470785711,-0.356395295,-0.394137179,-0.451857047,-0.392172522,-0.403305532,-0.283901835,-0.316284166,-0.306504276,-0.315657449,-0.286263521,-0.249201749,-0.28331764,-0.316060304,-0.359450897,-0.285915229,-0.382187395,-0.320281679,-0.279747042,-0.317472841,-0.339497573,-0.385759606,-0.346489039,-0.384240446,-0.391499657,-0.416174733,-0.395920365,-0.340882712,-0.337418344,-0.382049139,-0.472931711,-0.415390613,-0.4254924,-0.341965685,-0.428212031,-0.410529282,-0.407850646,-0.424399733,-0.463814728,-0.497677272,-0.49909744,-0.50935614,-0.444399449,-0.463360393,-0.585530576,-0.496937183,-0.554409295,-0.518754971,-0.545870806,-0.487226037,-0.532249984,-0.488509191,-0.490447417,-0.527074965,-0.576968578,-0.630144351,-0.542958284,-0.588195228,-0.467084671,-0.560383293,-0.403578048,-0.449614116,-0.402795143,-0.601552855,-0.585412513,-0.467719474,-0.578687719,-0.640641971,-0.620401686,-0.619067957,-0.608839067,-0.605084962,-0.556116635,-0.702929177,-0.524055124,-0.58125438,-0.668439742,-0.60909979,-0.72030881,-0.706359115,-0.786631292,-0.661713508,-0.7328691,-0.73456417,-0.67233124,-0.668834788,-0.648480606,-0.690390495,-0.792277132,-0.847851108,15,927,48.5,54,2988.45,0,2021-208,58:32.5
187,0.032,0,-0.695429662,-0.654479775,-0.553154689,-0.520412958,-0.636603416,-0.626362962,-0.639385882,-0.498048361,-0.513251691,-0.638230788,-0.638874072,-0.56537112,-0.684863631,-0.649634414,-0.507225222,-0.569378851,-0.638923773,-0.44441967,-0.514443001,-0.524826368,-0.435567488,-0.435726161,-0.438736116,-0.389965226,-0.323095553,-0.391234349,-0.374251776,-0.282077854,-0.240520178,-0.276352806,-0.364393987,-0.3157335,-0.334182163,-0.329310039,-0.337806692,-0.364909254,-0.424049272,-0.4118465,-0.375580087,-0.461396816,-0.41983338,-0.397448534,-0.376572395,-0.381071607,-0.349719204,-0.370671929,-0.314035274,-0.345363897,-0.356395295,-0.365504309,-0.378840084,-0.370114334,-0.425008169,-0.326708097,-0.347927877,-0.368905472,-0.331046365,-0.397600875,-0.344145266,-0.372401899,-0.271864307,-0.300863081,-0.251834231,-0.299474435,-0.28614015,-0.279747042,-0.277985555,-0.299556682,-0.274283035,-0.341332031,-0.315841238,-0.375388339,-0.416174733,-0.351336621,-0.357836708,-0.44066402,-0.346993936,-0.413340003,-0.476114908,-0.487366004,-0.436273296,-0.536815838,-0.514385154,-0.427603833,-0.510899216,-0.463814728,-0.4363198,-0.429638469,-0.480915584,-0.495360184,-0.485697473,-0.555204774,-0.450798454,-0.45357658,-0.495370425,-0.545870806,-0.526381415,-0.5557967,-0.441179144,-0.331793318,-0.423257169,-0.400282442,-0.533414847,-0.462320516,-0.539917211,-0.499097602,-0.480822947,-0.474757229,-0.544006414,-0.567434923,-0.546753074,-0.507145669,-0.538166227,-0.547352253,-0.530896023,-0.526163455,-0.619067957,-0.569259343,-0.621050896,-0.523769228,-0.481159047,-0.490565963,-0.64976823,-0.598197814,-0.618091653,-0.554360281,-0.659168463,-0.748040667,-0.819189355,-0.65269745,-0.714167825,-0.78664501,-0.647631219,-0.659314798,-0.668166432,-0.666605902,-0.800720121,15,929,45.5,55,2990.12,0,2021-208,58:34.1
187,0.032,0,-0.762509674,-0.739265184,-0.593320585,-0.501169407,-0.562058599,-0.55278249,-0.547417026,-0.581866664,-0.532261013,-0.599643095,-0.648641893,-0.56537112,-0.596919038,-0.524345161,-0.56393328,-0.495944961,-0.621186483,-0.44441967,-0.44128789,-0.509403453,-0.377224417,-0.42193474,-0.490806984,-0.352953166,-0.317216492,-0.334676344,-0.324865884,-0.341220436,-0.320411288,-0.32414358,-0.305735157,-0.267213027,-0.350574623,-0.290430459,-0.292536431,-0.359123656,-0.294059806,-0.315393917,-0.351015912,-0.386605021,-0.37577951,-0.410112583,-0.29422549,-0.393691753,-0.374738016,-0.327426871,-0.338361179,-0.327446495,-0.373947967,-0.388410605,-0.440623668,-0.320483411,-0.381602895,-0.33205888,-0.332106022,-0.379305672,-0.356694558,-0.296385099,-0.294174994,-0.313012393,-0.28168564,-0.339921625,-0.300521371,-0.299474435,-0.251998622,-0.35321517,-0.297729198,-0.354475407,-0.370558255,-0.341332031,-0.363194536,-0.316313506,-0.279327368,-0.356909589,-0.335231379,-0.308738989,-0.399576741,-0.371625808,-0.360738747,-0.450241842,-0.486570688,-0.370715899,-0.417020274,-0.486863395,-0.357861669,-0.329291843,-0.497677272,-0.374071292,-0.431144611,-0.495360184,-0.329337911,-0.494553171,-0.435418877,-0.507871119,-0.495370425,-0.514594188,-0.455901734,-0.540098889,-0.543727579,-0.442851187,-0.447215122,-0.464531946,-0.485050095,-0.518766954,-0.507731866,-0.419065275,-0.480822947,-0.458939633,-0.426016041,-0.528234975,-0.538924534,-0.460185563,-0.467719474,-0.586521586,-0.609285986,-0.518310269,-0.54820305,-0.561343398,-0.52525529,-0.556116635,-0.571509841,-0.490565963,-0.461355141,-0.501615164,-0.537164888,-0.609676457,-0.621415941,-0.709450043,-0.661713508,-0.682761819,-0.73456417,-0.755468527,-0.732445496,-0.713485762,-0.74595065,-0.67803056,-0.73002364,15,930,49.5,56,2991.79,0,2021-208,58:35.8
187,0.032,0,-0.818409684,-0.643881598,-0.623445008,-0.635874261,-0.543422395,-0.571177608,-0.473841941,-0.488735216,-0.437214403,-0.406704633,-0.560731508,-0.526184073,-0.616462281,-0.533982796,-0.658446709,-0.606095797,-0.594580549,-0.563672083,-0.44128789,-0.601940942,-0.369931533,-0.352977634,-0.386665248,-0.334447137,-0.323095553,-0.295085739,-0.324865884,-0.298207649,-0.288454844,-0.366624268,-0.252408947,-0.337298154,-0.350574623,-0.351526941,-0.315171562,-0.301267673,-0.311785642,-0.291280772,-0.412426348,-0.305580577,-0.33172564,-0.378452459,-0.325897377,-0.418932044,-0.387247422,-0.358316198,-0.350524132,-0.399116103,-0.40905331,-0.336871439,-0.333906569,-0.370114334,-0.376177236,-0.358812794,-0.316284166,-0.264903478,-0.336176003,-0.276141943,-0.339148239,-0.303114142,-0.335702969,-0.305745399,-0.349208511,-0.31407084,-0.28614015,-0.309134293,-0.31253693,-0.359468019,-0.248947451,-0.320704,-0.294795327,-0.316313506,-0.372383576,-0.418212237,-0.420001363,-0.337418344,-0.452159547,-0.347789125,-0.403245754,-0.450241842,-0.448847644,-0.345162062,-0.326146385,-0.467110208,-0.357861669,-0.53107617,-0.429502303,-0.429638469,-0.495135862,-0.437119344,-0.441023312,-0.47939027,-0.46617803,-0.492358393,-0.471985879,-0.530232497,-0.448070658,-0.547947795,-0.425402462,-0.530110942,-0.455201107,-0.464531946,-0.501171679,-0.47844807,-0.547963547,-0.49109437,-0.568339327,-0.451030835,-0.591202563,-0.481195038,-0.468467672,-0.499318985,-0.514683976,-0.484681321,-0.436828068,-0.588988942,-0.445842628,-0.490099894,-0.509289356,-0.499508672,-0.431876795,-0.457076803,-0.495612066,-0.527955887,-0.645067241,-0.591237732,-0.621415941,-0.661211762,-0.740451432,-0.572525799,-0.622384272,-0.745076366,-0.711241926,-0.594309642,-0.723726588,-0.75800316,-0.859633854,15,928,50,57,2993.46,0,2021-208,58:37.5
187,0.032,0,-0.706609664,-0.61208707,-0.563196163,-0.578143609,-0.534104293,-0.617165403,-0.473841941,-0.544614085,-0.731858892,-0.464586171,-0.511892405,-0.643745214,-0.538289309,-0.668909684,-0.554481937,-0.569378851,-0.585711904,-0.529599965,-0.587598113,-0.601940942,-0.435567488,-0.497787556,-0.477789267,-0.371459196,-0.381886163,-0.362955346,-0.39071374,-0.38960982,-0.378998103,-0.35069401,-0.359061366,-0.304951172,-0.317789702,-0.295984685,-0.343465475,-0.388051647,-0.335420091,-0.454044505,-0.430849479,-0.517490662,-0.489060889,-0.410112583,-0.420913036,-0.412621971,-0.437285045,-0.333604736,-0.380931513,-0.417033505,-0.321289952,-0.331144865,-0.339523259,-0.375628881,-0.403305532,-0.36951436,-0.358475781,-0.368905472,-0.356694558,-0.346992987,-0.329154185,-0.362503648,-0.379898965,-0.359450897,-0.417370506,-0.31407084,-0.417828903,-0.348317295,-0.386575591,-0.379438464,-0.319887087,-0.325861008,-0.279010895,-0.353906581,-0.295749052,-0.423785205,-0.391744702,-0.354625956,-0.422946877,-0.437176686,-0.45182519,-0.332681994,-0.461421992,-0.460154327,-0.423511266,-0.480279,-0.477630184,-0.457088583,-0.388597322,-0.561610515,-0.530686557,-0.524480604,-0.597382874,-0.577949125,-0.566145277,-0.484602031,-0.58111376,-0.436402645,-0.495057113,-0.461609834,-0.583169285,-0.545976352,-0.487145044,-0.60909333,-0.581779599,-0.575213392,-0.588195228,-0.595136396,-0.631987604,-0.632933187,-0.50467629,-0.504715007,-0.460639132,-0.436705509,-0.53033881,-0.594355452,-0.530896023,-0.604695314,-0.524581414,-0.624670957,-0.589119028,-0.628898303,-0.587937258,-0.624522604,-0.606947074,-0.606978055,-0.690026555,-0.563579644,-0.762987897,-0.748040667,-0.789662634,-0.712826187,-0.765158688,-0.713899884,-0.838463342,-0.74598834,-0.801510806,-0.815126447,-0.788937374,15,925,48.5,58,2995.13,0,2021-208,58:39.2
187,0.032,0,-0.572449641,-0.718068832,-0.703776801,-0.59738716,-0.60864911,-0.626362962,-0.657779654,-0.57255352,-0.627307622,-0.667171557,-0.658409713,-0.575167882,-0.616462281,-0.591808605,-0.611189994,-0.716246633,-0.550237325,-0.60626223,-0.571341421,-0.440000336,-0.399103068,-0.401247608,-0.412700682,-0.420808608,-0.417160528,-0.272462537,-0.34681517,-0.319714042,-0.245846252,-0.329453666,-0.295069915,-0.310342336,-0.323253856,-0.334864264,-0.343465475,-0.434336434,-0.359054539,-0.321422204,-0.412426348,-0.455164167,-0.445007019,-0.359456385,-0.484256809,-0.437862263,-0.487322668,-0.420094853,-0.423501848,-0.42897844,-0.397351529,-0.354051161,-0.384456774,-0.337027052,-0.332771961,-0.342760446,-0.321558118,-0.368905472,-0.377213113,-0.37735772,-0.46407392,-0.362503648,-0.448648294,-0.349686261,-0.334602369,-0.333532713,-0.334913762,-0.338521545,-0.376703769,-0.369453242,-0.345222671,-0.305232976,-0.336887148,-0.370017899,-0.405226944,-0.407066301,-0.425652696,-0.411984666,-0.522269955,-0.532523419,-0.427535472,-0.394555598,-0.379688729,-0.466542786,-0.345619361,-0.414435041,-0.437707346,-0.396553285,-0.4363198,-0.394908983,-0.367153359,-0.466239764,-0.582491487,-0.547623324,-0.604594218,-0.62421656,-0.565524062,-0.577147423,-0.526381415,-0.5557967,-0.535839238,-0.561841762,-0.447215122,-0.464531946,-0.533414847,-0.591340945,-0.47554652,-0.587133163,-0.6081195,-0.506392421,-0.599068588,-0.504715007,-0.570238695,-0.56193246,-0.577303312,-0.570853853,-0.562252008,-0.651814429,-0.634815714,-0.687998516,-0.621050896,-0.604637747,-0.538655006,-0.415215353,-0.555561686,-0.598197814,-0.70801028,-0.692650722,-0.744111636,-0.748040667,-0.642029028,-0.632654537,-0.775356861,-0.78664501,-0.732445496,-0.789325111,-0.757062681,-0.940797677,-0.859633854,15,922,49,59,2996.8,0,2021-208,58:40.8
187,0.032,0,-0.639529653,-0.633283422,-0.583279111,-0.59738716,-0.459559476,-0.442411783,-0.501432598,-0.525987795,-0.579784317,-0.464586171,-0.658409713,-0.535980835,-0.645777145,-0.476156987,-0.658446709,-0.661171215,-0.514762746,-0.563672083,-0.457544581,-0.463134709,-0.442860371,-0.359873344,-0.406191823,-0.34678449,-0.317216492,-0.340332144,-0.297429278,-0.362726829,-0.325737362,-0.308213322,-0.26840681,-0.331906991,-0.246755707,-0.368189618,-0.326489127,-0.335981263,-0.341328703,-0.405818214,-0.412426348,-0.386605021,-0.41983338,-0.498760931,-0.427247413,-0.437862263,-0.424775639,-0.407739122,-0.417420371,-0.393143636,-0.426605981,-0.399863752,-0.266506296,-0.408716162,-0.316494983,-0.310655749,-0.316284166,-0.40530617,-0.387472391,-0.33181062,-0.314163103,-0.352605397,-0.32097097,-0.291098445,-0.334602369,-0.289743499,-0.364177929,-0.392398172,-0.253306001,-0.244637957,-0.269215918,-0.346489039,-0.326364193,-0.289461309,-0.306696841,-0.384774429,-0.397396034,-0.343154215,-0.428789411,-0.437176686,-0.403245754,-0.413117679,-0.411124599,-0.409046654,-0.56631309,-0.519785374,-0.41109212,-0.423457862,-0.559034744,-0.422692572,-0.537796696,-0.364318295,-0.448469006,-0.562786225,-0.5507657,-0.476845668,-0.534344668,-0.467679262,-0.479394961,-0.438063117,-0.441179144,-0.514245532,-0.511102997,-0.464531946,-0.436685344,-0.542958284,-0.62842691,-0.483091137,-0.576295362,-0.530118814,-0.559738464,-0.520394986,-0.515438913,-0.554105775,-0.499029142,-0.484681321,-0.60144699,-0.596842128,-0.540329171,-0.521763674,-0.549204192,-0.539942932,-0.571509841,-0.591033444,-0.504176298,-0.642099019,-0.555148614,-0.480605379,-0.640292202,-0.651564106,-0.681397989,-0.612611624,-0.642780617,-0.620370436,-0.774852634,-0.691817377,-0.668166432,-0.837975761,-0.847851108,15,928,47.5,60,2998.47,0,2021-208,58:42.5
