SN,INTTIME(ES),SAMPLE(DELAY),ES(349.01),ES(352.33),ES(355.64),ES(358.96),ES(362.28),ES(365.60),ES(368.92),ES(372.24),ES(375.56),ES(378.88),ES(382.20),ES(385.52),ES(388.85),ES(392.17),ES(395.49),ES(398.82),ES(402.14),ES(405.47),ES(408.79),ES(412.12),ES(415.44),ES(418.77),ES(422.10),ES(425.42),ES(428.75),ES(432.08),ES(435.41),ES(438.74),ES(442.07),ES(445.40),ES(448.73),ES(452.06),ES(455.39),ES(458.72),ES(462.05),ES(465.38),ES(468.71),ES(472.04),ES(475.38),ES(478.71),ES(482.04),ES(485.37),ES(488.71),ES(492.04),ES(495.37),ES(498.71),ES(502.04),ES(505.38),ES(508.71),ES(512.04),ES(515.38),ES(518.71),ES(522.05),ES(525.38),ES(528.72),ES(532.05),ES(535.38),ES(538.72),ES(542.05),ES(545.39),ES(548.72),ES(552.06),ES(555.39),ES(558.73),ES(562.06),ES(565.40),ES(568.73),ES(572.07),ES(575.40),ES(578.73),ES(582.07),ES(585.40),ES(588.74),ES(592.07),ES(595.40),ES(598.74),ES(602.07),ES(605.41),ES(608.74),ES(612.07),ES(615.40),ES(618.74),ES(622.07),ES(625.40),ES(628.73),ES(632.06),ES(635.40),ES(638.73),ES(642.06),ES(645.39),ES(648.72),ES(652.05),ES(655.38),ES(658.71),ES(662.03),ES(665.36),ES(668.69),ES(672.02),ES(675.35),ES(678.67),ES(682.00),ES(685.33),ES(688.65),ES(691.98),ES(695.30),ES(698.62),ES(701.95),ES(705.27),ES(708.59),ES(711.92),ES(715.24),ES(718.56),ES(721.88),ES(725.20),ES(728.52),ES(731.84),ES(735.16),ES(738.48),ES(741.79),ES(745.11),ES(748.42),ES(751.74),ES(755.05),ES(758.37),ES(761.68),ES(765.00),ES(768.31),ES(771.62),ES(774.93),ES(778.24),ES(781.55),ES(784.86),ES(788.16),ES(791.47),ES(794.78),ES(798.08),ES(801.39),DARK_SAMP(ES),DARK_AVE(ES),TEMP(PCB),FRAME(COUNTER),TIMER,CHECK(SUM),DATETAG,TIMETAG2
187,0.032,0,-0.550089637,-0.495507131,-0.462781421,-0.443438756,-0.478195681,-0.387226429,-0.60259834,-0.265219739,-0.50374703,-0.310235401,-0.404446379,-0.349842362,-0.518746067,-0.485794622,-0.478871193,-0.495944961,-0.505894102,-0.512563906,-0.49818631,-0.447711794,-0.355345765,-0.380560476,-0.432227257,-0.334447137,-0.317216492,-0.374266948,-0.352302491,-0.255194862,-0.22986803,-0.260422548,-0.284404673,-0.207910226,-0.2358274,-0.218225526,-0.235948604,-0.243411691,-0.246790909,-0.230997908,-0.314169651,-0.380372372,-0.33172564,-0.289804112,-0.344900509,-0.324280952,-0.280917472,-0.308893274,-0.356605608,-0.321474028,-0.321289952,-0.285332274,-0.249656228,-0.226736113,-0.294792346,-0.289252618,-0.274092551,-0.322104575,-0.31052781,-0.316628254,-0.26419283,-0.253622887,-0.252221642,-0.203216721,-0.193409663,-0.28487803,-0.237366538,-0.24056404,-0.352024216,-0.274593625,-0.330021321,-0.336175023,-0.284272372,-0.310943067,-0.251957895,-0.334617717,-0.301323386,-0.216965054,-0.300253664,-0.323952442,-0.293942023,-0.375993517,-0.360827207,-0.332385143,-0.365092338,-0.427603833,-0.331246444,-0.295661122,-0.347692341,-0.297666423,-0.296051969,-0.335197875,-0.396349152,-0.456645919,-0.404659724,-0.438063854,-0.40962709,-0.420764336,-0.487226037,-0.430214211,-0.425402462,-0.450783892,-0.311453389,-0.215565118,-0.372199008,-0.260726096,-0.467500184,-0.29101355,-0.273966049,-0.411486846,-0.410283991,-0.410635132,-0.437153512,-0.444532194,-0.311171135,-0.429844256,-0.413311079,-0.43977841,-0.485212021,-0.498015839,-0.445425619,-0.337771633,-0.481159047,-0.406843063,-0.392841291,-0.519175646,-0.456238124,-0.591237732,-0.432653334,-0.487553951,-0.494395421,-0.572525799,-0.550997065,-0.495664505,-0.382586603,-0.475133522,-0.690390495,-0.529510015,-0.506151452,15,941,51,190,4325.92,0,2021-208,13:07.8
187,0.032,0,-0.505369629,-0.516703484,-0.563196163,-0.385708104,-0.440923272,-0.460806901,-0.363479314,-0.395603767,-0.446719064,-0.377763863,-0.511892405,-0.56537112,-0.469887959,-0.514707526,-0.545030594,-0.532661906,-0.461550878,-0.410347552,-0.246207592,-0.37059722,-0.23136674,-0.290916238,-0.406191823,-0.322109784,-0.311337431,-0.249839335,-0.231581422,-0.222935273,-0.267150548,-0.260422548,-0.193750117,-0.218692554,-0.241291554,-0.218225526,-0.241607386,-0.272339682,-0.353145927,-0.32745049,-0.29574652,-0.336743825,-0.37577951,-0.327796261,-0.38924115,-0.330591025,-0.418520936,-0.339782602,-0.277546416,-0.249804419,-0.268631937,-0.268152552,-0.272122986,-0.30393977,-0.305643665,-0.289252618,-0.252996744,-0.311704376,-0.202805397,-0.250837999,-0.299172021,-0.268470263,-0.257132308,-0.212981357,-0.261571659,-0.328667244,-0.291017511,-0.279747042,-0.238498269,-0.274593625,-0.2337461,-0.310389984,-0.205350209,-0.273349991,-0.284801262,-0.395920365,-0.301323386,-0.274323763,-0.26519846,-0.323952442,-0.318231741,-0.351244075,-0.2413709,-0.325996684,-0.423511266,-0.295915917,-0.291323605,-0.410005574,-0.395414819,-0.381017189,-0.367153359,-0.35703819,-0.336783605,-0.403575767,-0.38159036,-0.36825659,-0.284909512,-0.334753638,-0.416746356,-0.453760928,-0.34651905,-0.315927908,-0.495131028,-0.424376006,-0.412502968,-0.567149615,-0.483592857,-0.563123465,-0.456954844,-0.458939633,-0.386685917,-0.371435184,-0.37452519,-0.381918719,-0.405100138,-0.312336258,-0.366277101,-0.400512481,-0.445842628,-0.379276666,-0.493323422,-0.604637747,-0.514013881,-0.498938253,-0.487047835,-0.45771396,-0.402286947,-0.443727928,-0.517596507,-0.458610983,-0.445184219,-0.472311236,-0.500006202,-0.464488023,-0.541613372,-0.540138678,-0.64594237,-0.55235933,-0.494368705,15,937,50,191,4327.59,0,2021-208,13:09.5
187,0.032,0,-0.483009625,-0.696872479,-0.523030266,-0.578143609,-0.422287068,-0.55278249,-0.483038827,-0.488735216,-0.551270335,-0.445292325,-0.541195867,-0.56537112,-0.469887959,-0.476156987,-0.56393328,-0.52348267,-0.381733075,-0.495527847,-0.327491049,-0.401443049,-0.282416927,-0.221959133,-0.230452644,-0.248085665,-0.217272456,-0.210248731,-0.209632137,-0.239065068,-0.304433066,-0.265732634,-0.289737294,-0.240257208,-0.323253856,-0.218225526,-0.252924952,-0.330195665,-0.329511478,-0.333478777,-0.277323389,-0.305580577,-0.2436179,-0.296136137,-0.338566131,-0.242250005,-0.337209798,-0.31507114,-0.27146494,-0.333418962,-0.344693514,-0.256699404,-0.260889607,-0.287396129,-0.197130479,-0.299954183,-0.221353033,-0.290903977,-0.243842506,-0.341932198,-0.329154185,-0.337758021,-0.296417639,-0.237392947,-0.319996227,-0.275147094,-0.295894873,-0.333623669,-0.277985555,-0.189719232,-0.289484386,-0.263976914,-0.28953385,-0.359277021,-0.262905684,-0.351336621,-0.278718056,-0.348890086,-0.3236238,-0.276279075,-0.287869593,-0.369806157,-0.2413709,-0.300442847,-0.326146385,-0.276162729,-0.351207863,-0.342744131,-0.361327334,-0.387963086,-0.381373637,-0.34247798,-0.321892218,-0.494553171,-0.420039301,-0.492358393,-0.401832241,-0.366030255,-0.440239583,-0.500854362,-0.464844167,-0.466649302,-0.391313232,-0.344064126,-0.404442176,-0.381682748,-0.314619795,-0.363042645,-0.401262602,-0.474757229,-0.402417966,-0.340075226,-0.413667891,-0.452358878,-0.342480802,-0.484681321,-0.405472083,-0.400512481,-0.406473235,-0.371360721,-0.365595947,-0.4105533,-0.546868715,-0.415215353,-0.461355141,-0.45771396,-0.546156751,-0.637334545,-0.470405855,-0.477906295,-0.533764383,-0.65269745,-0.530600719,-0.537233149,-0.60522408,-0.615978028,-0.590382214,-0.609482616,-0.753589134,15,943,51.5,192,4329.26,0,2021-208,13:11.1
187,0.032,0,-0.527729633,-0.622685246,-0.372408153,-0.587765384,-0.543422395,-0.405621547,-0.409463742,-0.498048361,-0.437214403,-0.416351556,-0.590034969,-0.526184073,-0.538289309,-0.379780639,-0.450517164,-0.385794124,-0.381733075,-0.29109514,-0.433159544,-0.424577422,-0.464739023,-0.470204714,-0.373647531,-0.297435077,-0.264304943,-0.30074154,-0.253530707,-0.239065068,-0.378998103,-0.265732634,-0.311067777,-0.348080481,-0.257684014,-0.418177649,-0.315171562,-0.34755246,-0.264516746,-0.26113934,-0.265041302,-0.299347927,-0.38207292,-0.296136137,-0.351234886,-0.349521243,-0.299681581,-0.389205526,-0.32011675,-0.321474028,-0.344693514,-0.313965143,-0.249656228,-0.292910676,-0.338197621,-0.337409663,-0.305736263,-0.316904475,-0.279749977,-0.276141943,-0.279183912,-0.218979008,-0.28168564,-0.276451491,-0.281046515,-0.280012562,-0.222734454,-0.24056404,-0.322408751,-0.304549294,-0.294551503,-0.325861008,-0.321102715,-0.348536142,-0.301222946,-0.312325845,-0.346534044,-0.354625956,-0.306096198,-0.449095028,-0.342521459,-0.357431436,-0.335678511,-0.389881276,-0.37158333,-0.374928667,-0.384476895,-0.329291843,-0.388597322,-0.360179497,-0.36004322,-0.444399449,-0.388903458,-0.456645919,-0.38159036,-0.376012952,-0.378447695,-0.30347702,-0.596861097,-0.469458739,-0.464844167,-0.522178237,-0.471173075,-0.36815769,-0.573718807,-0.494575624,-0.435314839,-0.459081438,-0.369438464,-0.538027612,-0.394551942,-0.543914954,-0.507610373,-0.475838931,-0.467719474,-0.320170124,-0.436828068,-0.384806109,-0.406473235,-0.46635206,-0.421476717,-0.483334968,-0.399021961,-0.390098483,-0.529868992,-0.545516369,-0.519181163,-0.61889582,-0.555349029,-0.612973481,-0.523922142,-0.492354149,-0.632582445,-0.54762531,-0.637029434,-0.648480606,-0.64594237,-0.55235933,-0.6946754,15,938,51.5,193,4330.93,0,2021-208,13:12.8
187,0.032,0,-0.427109615,-0.548498012,-0.392491102,-0.404951655,-0.329106047,-0.332041075,-0.381873085,-0.395603767,-0.351672455,-0.55140848,-0.560731508,-0.50659055,-0.528517688,-0.495432257,-0.478871193,-0.532661906,-0.337389852,-0.410347552,-0.246207592,-0.432288879,-0.260538275,-0.297811949,-0.282523512,-0.248085665,-0.299579309,-0.255495135,-0.297429278,-0.287454452,-0.213889807,-0.228562032,-0.220413221,-0.234866045,-0.213970786,-0.295984685,-0.326489127,-0.260768485,-0.246790909,-0.333478777,-0.332592781,-0.318045876,-0.34431246,-0.397448534,-0.36390364,-0.34321117,-0.349719204,-0.327426871,-0.362687084,-0.249804419,-0.309588171,-0.268152552,-0.333906569,-0.237765207,-0.240535753,-0.219692441,-0.24244884,-0.23890298,-0.238712868,-0.266020365,-0.279183912,-0.243724636,-0.286596306,-0.222745993,-0.227490661,-0.28487803,-0.344668485,-0.289542792,-0.352024216,-0.319527128,-0.324954204,-0.351646046,-0.236919074,-0.241127355,-0.241010105,-0.373628493,-0.295672053,-0.262852021,-0.300253664,-0.395462491,-0.378956036,-0.326494634,-0.316816988,-0.396269735,-0.37158333,-0.335422292,-0.417745927,-0.329291843,-0.409049812,-0.436584366,-0.296051969,-0.407998924,-0.292109444,-0.373249965,-0.343141419,-0.445820217,-0.433011636,-0.475498416,-0.46373281,-0.453760928,-0.441179144,-0.466649302,-0.503117013,-0.464531946,-0.501171679,-0.389746525,-0.34680514,-0.467084671,-0.409218637,-0.443122037,-0.52040834,-0.512554996,-0.468467672,-0.413225456,-0.389445304,-0.422010389,-0.45250606,-0.455484782,-0.500959778,-0.395108556,-0.509289356,-0.475248116,-0.546868715,-0.448704513,-0.461355141,-0.536736128,-0.474221849,-0.51748283,-0.517596507,-0.400725046,-0.602660066,-0.65269745,-0.622384272,-0.630762597,-0.60522408,-0.605143835,-0.668166432,-0.63233193,-0.73002364,15,945,50.5,194,4332.6,0,2021-208,13:14.5
187,0.032,0,-0.483009625,-0.400123545,-0.563196163,-0.424195205,-0.515468089,-0.534387372,-0.464645056,-0.470108926,-0.541765674,-0.425998479,-0.463053302,-0.535980835,-0.411258231,-0.399055908,-0.318198363,-0.330718706,-0.319652562,-0.376275434,-0.303106012,-0.308905561,-0.377224417,-0.339186213,-0.308558946,-0.235748312,-0.2407887,-0.323364742,-0.231581422,-0.351973632,-0.267150548,-0.228562032,-0.177752254,-0.256430699,-0.213970786,-0.218225526,-0.298195214,-0.197126904,-0.258608134,-0.206884762,-0.301887563,-0.349209124,-0.25620472,-0.264476013,-0.249884849,-0.34321117,-0.268408066,-0.25947035,-0.307953798,-0.327446495,-0.274482827,-0.302511995,-0.317056501,-0.248794301,-0.251387072,-0.262498704,-0.252996744,-0.202502282,-0.248972145,-0.336871409,-0.214222558,-0.243724636,-0.183472314,-0.203216721,-0.169066093,-0.216761475,-0.232489177,-0.289542792,-0.248370091,-0.279586237,-0.289484386,-0.331018015,-0.31057976,-0.321683945,-0.301222946,-0.323471781,-0.290020721,-0.239908538,-0.335308868,-0.276279075,-0.257507446,-0.338869355,-0.316816988,-0.351550521,-0.293691425,-0.3222535,-0.291323605,-0.268756545,-0.313604856,-0.325450011,-0.374263498,-0.276957035,-0.366566378,-0.365668515,-0.38159036,-0.422551129,-0.471985879,-0.397306873,-0.471563885,-0.540098889,-0.41751412,-0.498380122,-0.487145044,-0.416344818,-0.42056376,-0.462320516,-0.491639193,-0.443074973,-0.472866913,-0.427304442,-0.536140389,-0.418475122,-0.546753074,-0.452358878,-0.381617887,-0.445511989,-0.358438105,-0.369099737,-0.351356085,-0.418856391,-0.397527816,-0.539942932,-0.481159047,-0.457076803,-0.478483604,-0.413812755,-0.5101893,-0.526702193,-0.630854072,-0.622621137,-0.622344547,-0.592568712,-0.6121861,-0.609978275,-0.393188387,-0.540138678,-0.54593409,-0.609482616,-0.588630679,15,943,51,195,4334.27,0,2021-208,13:16.2
187,0.032,0,-0.404749611,-0.559096189,-0.462781421,-0.385708104,-0.515468089,-0.368831311,-0.400266856,-0.414230057,-0.456223725,-0.454939248,-0.375142917,-0.535980835,-0.508974445,-0.447244083,-0.412711793,-0.606095797,-0.505894102,-0.461455729,-0.360004432,-0.247213901,-0.282416927,-0.19437629,-0.33459438,-0.192567576,-0.311337431,-0.261150936,-0.302916599,-0.255194862,-0.224541956,-0.276352806,-0.305735157,-0.294168845,-0.197578326,-0.151574818,-0.185019559,-0.197126904,-0.335420091,-0.321422204,-0.351015912,-0.361674423,-0.29396518,-0.251811963,-0.306894245,-0.311660806,-0.424775639,-0.284181812,-0.222813129,-0.261749354,-0.286184609,-0.331144865,-0.255272917,-0.287396129,-0.300218006,-0.374865143,-0.252996744,-0.290903977,-0.22845359,-0.235655632,-0.26419283,-0.273419389,-0.252221642,-0.203216721,-0.281046515,-0.28487803,-0.256875983,-0.269951291,-0.258241912,-0.324519739,-0.284417269,-0.243348883,-0.263226462,-0.294831749,-0.328592419,-0.306752877,-0.352185376,-0.366097698,-0.341151402,-0.347789125,-0.415390613,-0.388368238,-0.316816988,-0.274889011,-0.358601346,-0.480279,-0.304631218,-0.302387266,-0.388597322,-0.360179497,-0.296051969,-0.35703819,-0.411240539,-0.47939027,-0.481557606,-0.414794766,-0.425216787,-0.412945181,-0.377590977,-0.430214211,-0.456955826,-0.466649302,-0.471173075,-0.464531946,-0.356077424,-0.365555195,-0.491639193,-0.467084671,-0.361482429,-0.427304442,-0.386685917,-0.504715007,-0.476296213,-0.483665616,-0.45206464,-0.484681321,-0.554413012,-0.47904434,-0.382851599,-0.43468828,-0.485340455,-0.442900708,-0.448304212,-0.482193673,-0.495612066,-0.563076851,-0.474221849,-0.628115183,-0.555349029,-0.555087544,-0.553448864,-0.572525799,-0.591789755,-0.630762597,-0.562816941,-0.615978028,-0.657054401,-0.700879874,-0.6946754,15,934,51,196,4335.94,0,2021-208,13:17.8
187,0.032,0,-0.505369629,-0.463712603,-0.512988792,-0.501169407,-0.534104293,-0.460806901,-0.391069971,-0.451482636,-0.494242369,-0.474233095,-0.482588943,-0.535980835,-0.411258231,-0.495432257,-0.526127908,-0.450048779,-0.470419523,-0.367757405,-0.376261124,-0.416865964,-0.355345765,-0.359873344,-0.354120955,-0.297435077,-0.264304943,-0.306397341,-0.26450535,-0.330467239,-0.288454844,-0.302903236,-0.279072052,-0.251039536,-0.230363247,-0.157129044,-0.281218865,-0.260768485,-0.353145927,-0.333478777,-0.344874869,-0.349209124,-0.35689928,-0.441772707,-0.237216095,-0.34321117,-0.293426878,-0.339782602,-0.295790845,-0.285639223,-0.344693514,-0.291058847,-0.288973054,-0.254308848,-0.278515368,-0.305304966,-0.379571588,-0.254503279,-0.238712868,-0.296385099,-0.279183912,-0.293215891,-0.301328305,-0.286216127,-0.212884519,-0.31407084,-0.266630705,-0.265053416,-0.248370091,-0.269601014,-0.208410516,-0.222720852,-0.242180552,-0.251868234,-0.323118525,-0.334617717,-0.380442037,-0.366097698,-0.358679003,-0.407380833,-0.45182519,-0.4254924,-0.335678511,-0.43460049,-0.384565314,-0.361759875,-0.41109212,-0.302387266,-0.374962328,-0.360179497,-0.367153359,-0.35703819,-0.403794845,-0.373249965,-0.458488242,-0.476845668,-0.471985879,-0.55368996,-0.549874642,-0.532249984,-0.456955826,-0.506312827,-0.455201107,-0.416344818,-0.307712672,-0.430065409,-0.403129494,-0.483091137,-0.43308674,-0.411486846,-0.512542315,-0.543914954,-0.491953293,-0.397572087,-0.420754972,-0.414176523,-0.428989072,-0.471191154,-0.390725478,-0.458436115,-0.397527816,-0.475248116,-0.40723567,-0.524055124,-0.564125917,-0.492834923,-0.591116065,-0.600457095,-0.564787159,-0.477906295,-0.592817825,-0.402161042,-0.744762343,-0.724292045,-0.456799095,-0.605143835,-0.668166432,-0.67803056,-0.635761666,15,937,50.5,197,4337.61,0,2021-208,13:19.5
187,0.032,0,-0.505369629,-0.400123545,-0.392491102,-0.366464554,-0.468877579,-0.433214224,-0.510629484,-0.525987795,-0.532261013,-0.541761556,-0.521660225,-0.438013217,-0.587147417,-0.495432257,-0.450517164,-0.42251107,-0.523631391,-0.350721346,-0.408774507,-0.355174305,-0.253245392,-0.30470766,-0.302050087,-0.241916988,-0.223151517,-0.323364742,-0.286454635,-0.276701256,-0.288454844,-0.35069401,-0.343063503,-0.369645136,-0.312325549,-0.384852295,-0.343465475,-0.359123656,-0.246790909,-0.297309058,-0.234336084,-0.367907072,-0.26249813,-0.34046031,-0.243550472,-0.223319787,-0.243389255,-0.222403157,-0.356605608,-0.321474028,-0.327140842,-0.313965143,-0.311439811,-0.325997958,-0.300218006,-0.321357315,-0.258270696,-0.259703379,-0.31052781,-0.316628254,-0.184240394,-0.263521138,-0.203114979,-0.256922219,-0.290783943,-0.333532713,-0.266630705,-0.255257666,-0.366831948,-0.234652735,-0.39589384,-0.284604945,-0.231657596,-0.246497795,-0.241010105,-0.262169133,-0.267415392,-0.308738989,-0.241828324,-0.317993271,-0.348593888,-0.394555598,-0.379688729,-0.472931246,-0.43649325,-0.348591083,-0.324592637,-0.315839555,-0.395414819,-0.297666423,-0.452475028,-0.422559134,-0.359120685,-0.426320118,-0.412349513,-0.45357658,-0.40962709,-0.389487718,-0.35409775,-0.500854362,-0.425402462,-0.545976352,-0.527074965,-0.496656698,-0.493110887,-0.575213392,-0.507731866,-0.411062042,-0.480822947,-0.316581271,-0.426016041,-0.355755205,-0.37452519,-0.36626535,-0.334653386,-0.461179722,-0.342760112,-0.510457083,-0.469464264,-0.442604225,-0.565170126,-0.426727004,-0.514013881,-0.448704513,-0.504176298,-0.387472032,-0.528173026,-0.591237732,-0.611977811,-0.680507074,-0.504237662,-0.642675993,-0.510204374,-0.651546919,-0.435595526,-0.615978028,-0.612606277,-0.495236043,-0.541499692,15,944,51,198,4339.28,0,2021-208,13:21.2
187,0.032,0,-0.706609664,-0.569694365,-0.502947318,-0.453060531,-0.38501466,-0.332041075,-0.381873085,-0.395603767,-0.323158472,-0.406704633,-0.345839455,-0.467403503,-0.381943367,-0.341230099,-0.327649706,-0.468407252,-0.40833901,-0.350721346,-0.408774507,-0.401443049,-0.297002695,-0.339186213,-0.354120955,-0.30977243,-0.258425882,-0.283774138,-0.248043386,-0.217558674,-0.165955141,-0.21794186,-0.220413221,-0.304951172,-0.263148167,-0.257105105,-0.224631038,-0.289696477,-0.329511478,-0.273195913,-0.351015912,-0.293115277,-0.39465974,-0.346792335,-0.275222359,-0.406311899,-0.274662769,-0.321249005,-0.247139034,-0.309529093,-0.239377484,-0.291058847,-0.317056501,-0.243279754,-0.294792346,-0.326708097,-0.284640455,-0.202502282,-0.290009255,-0.220473266,-0.26419283,-0.253622887,-0.212936312,-0.232510629,-0.256702945,-0.294608967,-0.251998622,-0.284644917,-0.282921466,-0.28957146,-0.254014568,-0.243348883,-0.210611686,-0.225016037,-0.251957895,-0.317898813,-0.38609337,-0.343154215,-0.358679003,-0.413340003,-0.44575276,-0.351244075,-0.297955466,-0.268500551,-0.332637377,-0.282747125,-0.344554056,-0.436910151,-0.354509837,-0.3532336,-0.36004322,-0.28423714,-0.232543897,-0.358087064,-0.389280148,-0.251911149,-0.456396182,-0.342572792,-0.385422053,-0.320329534,-0.314965686,-0.355591433,-0.471173075,-0.472563134,-0.412502968,-0.349427641,-0.387036821,-0.363042645,-0.409218637,-0.332398867,-0.378819892,-0.394955153,-0.452810592,-0.233211715,-0.381617887,-0.453345855,-0.374116098,-0.455484782,-0.406473235,-0.490099894,-0.41349375,-0.459074412,-0.538655006,-0.473821383,-0.529868992,-0.413812755,-0.456238124,-0.397631115,-0.413777073,-0.256010204,-0.445184219,-0.392139586,-0.510204374,-0.474880184,-0.350781249,-0.529304486,-0.590382214,-0.609482616,-0.623978919,15,941,49.5,199,4340.95,0,2021-208,13:22.8
