SN	INTTIME(ES)	SAMPLE(DELAY)	ES(349.01)	ES(352.33)	ES(355.64)	ES(358.96)	ES(362.28)	ES(365.60)	ES(368.92)	ES(372.24)	ES(375.56)	ES(378.88)	ES(382.20)	ES(385.52)	ES(388.85)	ES(392.17)	ES(395.49)	ES(398.82)	ES(402.14)	ES(405.47)	ES(408.79)	ES(412.12)	ES(415.44)	ES(418.77)	ES(422.10)	ES(425.42)	ES(428.75)	ES(432.08)	ES(435.41)	ES(438.74)	ES(442.07)	ES(445.40)	ES(448.73)	ES(452.06)	ES(455.39)	ES(458.72)	ES(462.05)	ES(465.38)	ES(468.71)	ES(472.04)	ES(475.38)	ES(478.71)	ES(482.04)	ES(485.37)	ES(488.71)	ES(492.04)	ES(495.37)	ES(498.71)	ES(502.04)	ES(505.38)	ES(508.71)	ES(512.04)	ES(515.38)	ES(518.71)	ES(522.05)	ES(525.38)	ES(528.72)	ES(532.05)	ES(535.38)	ES(538.72)	ES(542.05)	ES(545.39)	ES(548.72)	ES(552.06)	ES(555.39)	ES(558.73)	ES(562.06)	ES(565.40)	ES(568.73)	ES(572.07)	ES(575.40)	ES(578.73)	ES(582.07)	ES(585.40)	ES(588.74)	ES(592.07)	ES(595.40)	ES(598.74)	ES(602.07)	ES(605.41)	ES(608.74)	ES(612.07)	ES(615.40)	ES(618.74)	ES(622.07)	ES(625.40)	ES(628.73)	ES(632.06)	ES(635.40)	ES(638.73)	ES(642.06)	ES(645.39)	ES(648.72)	ES(652.05)	ES(655.38)	ES(658.71)	ES(662.03)	ES(665.36)	ES(668.69)	ES(672.02)	ES(675.35)	ES(678.67)	ES(682.00)	ES(685.33)	ES(688.65)	ES(691.98)	ES(695.30)	ES(698.62)	ES(701.95)	ES(705.27)	ES(708.59)	ES(711.92)	ES(715.24)	ES(718.56)	ES(721.88)	ES(725.20)	ES(728.52)	ES(731.84)	ES(735.16)	ES(738.48)	ES(741.79)	ES(745.11)	ES(748.42)	ES(751.74)	ES(755.05)	ES(758.37)	ES(761.68)	ES(765.00)	ES(768.31)	ES(771.62)	ES(774.93)	ES(778.24)	ES(781.55)	ES(784.86)	ES(788.16)	ES(791.47)	ES(794.78)	ES(798.08)	ES(801.39)	DARK_SAMP(ES)	DARK_AVE(ES)	TEMP(PCB)	FRAME(COUNTER)	TIMER	CHECK(SUM)	DATETAG	TIMETAG2
0187	0.0320000000	0.0000000000	-0.5500896367	-0.4955071311	-0.4627814209	-0.4434387557	-0.4781956806	-0.3872264290	-0.6025983399	-0.2652197392	-0.5037470298	-0.3102354012	-0.4044463785	-0.3498423617	-0.5187460665	-0.4857946219	-0.4788711931	-0.4959449606	-0.5058941017	-0.5125639060	-0.4981863096	-0.4477117937	-0.3553457653	-0.3805604761	-0.4322272573	-0.3344471366	-0.3172164920	-0.3742669475	-0.3523024910	-0.2551948624	-0.2298680295	-0.2604225477	-0.2844046727	-0.2079102264	-0.2358274000	-0.2182255258	-0.2359486037	-0.2434116906	-0.2467909093	-0.2309979075	-0.3141696505	-0.3803723716	-0.3317256399	-0.2898041118	-0.3449005086	-0.3242809519	-0.2809174720	-0.3088932742	-0.3566056080	-0.3214740275	-0.3212899517	-0.2853322735	-0.2496562278	-0.2267361127	-0.2947923462	-0.2892526176	-0.2740925514	-0.3221045750	-0.3105278098	-0.3166282539	-0.2641928303	-0.2536228867	-0.2522216419	-0.2032167212	-0.1934096631	-0.2848780303	-0.2373665380	-0.2405640399	-0.3520242155	-0.2745936254	-0.3300213206	-0.3361750231	-0.2842723722	-0.3109430667	-0.2519578946	-0.3346177172	-0.3013233855	-0.2169650540	-0.3002536636	-0.3239524416	-0.2939420226	-0.3759935169	-0.3608272069	-0.3323851434	-0.3650923375	-0.4276038330	-0.3312464436	-0.2956611218	-0.3476923406	-0.2976664227	-0.2960519689	-0.3351978745	-0.3963491518	-0.4566459192	-0.4046597244	-0.4380638542	-0.4096270899	-0.4207643357	-0.4872260368	-0.4302142114	-0.4254024616	-0.4507838921	-0.3114533887	-0.2155651175	-0.3721990079	-0.2607260958	-0.4675001841	-0.2910135502	-0.2739660494	-0.4114868458	-0.4102839913	-0.4106351320	-0.4371535116	-0.4445321937	-0.3111711345	-0.4298442555	-0.4133110790	-0.4397784101	-0.4852120208	-0.4980158393	-0.4454256188	-0.3377716325	-0.4811590465	-0.4068430628	-0.3928412906	-0.5191756460	-0.4562381236	-0.5912377318	-0.4326533340	-0.4875539511	-0.4943954211	-0.5725257991	-0.5509970645	-0.4956645053	-0.3825866025	-0.4751335220	-0.6903904945	-0.5295100150	-0.5061514520	15	941	51.0000000000	190	4325.9200000000	0	2021-208	19:13:07.791
0187	0.0320000000	0.0000000000	-0.5053696289	-0.5167034836	-0.5631961627	-0.3857081042	-0.4409232722	-0.4608069005	-0.3634793137	-0.3956037672	-0.4467190642	-0.3777638631	-0.5118924048	-0.5653711199	-0.4698879594	-0.5147075264	-0.5450305937	-0.5326619060	-0.4615508780	-0.4103475522	-0.2462075921	-0.3705972197	-0.2313667399	-0.2909162384	-0.4061918233	-0.3221097835	-0.3113374310	-0.2498393348	-0.2315814218	-0.2229352725	-0.2671505478	-0.2604225477	-0.1937501167	-0.2186925537	-0.2412915535	-0.2182255258	-0.2416073864	-0.2723396819	-0.3531459267	-0.3274504903	-0.2957465197	-0.3367438245	-0.3757795097	-0.3277962607	-0.3892411496	-0.3305910247	-0.4185209361	-0.3397826016	-0.2775464160	-0.2498044193	-0.2686319369	-0.2681525517	-0.2721229855	-0.3039397702	-0.3056436648	-0.2892526176	-0.2529967440	-0.3117043756	-0.2028053966	-0.2508379989	-0.2991720210	-0.2684702633	-0.2571323082	-0.2129813572	-0.2615716588	-0.3286672444	-0.2910175113	-0.2797470418	-0.2384982693	-0.2745936254	-0.2337461004	-0.3103899842	-0.2053502085	-0.2733499914	-0.2848012623	-0.3959203652	-0.3013233855	-0.2743237633	-0.2651984598	-0.3239524416	-0.3182317406	-0.3512440753	-0.2413708996	-0.3259966842	-0.4235112657	-0.2959159167	-0.2913236052	-0.4100055736	-0.3954148187	-0.3810171886	-0.3671533593	-0.3570381895	-0.3367836045	-0.4035757665	-0.3815903598	-0.3682565896	-0.2849095120	-0.3347536375	-0.4167463555	-0.4537609281	-0.3465190501	-0.3159279078	-0.4951310281	-0.4243760058	-0.4125029677	-0.5671496149	-0.4835928566	-0.5631234645	-0.4569548438	-0.4589396332	-0.3866859167	-0.3714351844	-0.3745251903	-0.3819187186	-0.4051001383	-0.3123362578	-0.3662771013	-0.4005124806	-0.4458426278	-0.3792766663	-0.4933234218	-0.6046377471	-0.5140138807	-0.4989382534	-0.4870478351	-0.4577139595	-0.4022869471	-0.4437279281	-0.5175965073	-0.4586109827	-0.4451842190	-0.4723112359	-0.5000062017	-0.4644880227	-0.5416133721	-0.5401386784	-0.6459423700	-0.5523593295	-0.4943687052	15	937	50.0000000000	191	4327.5900000000	0	2021-208	19:13:09.460
0187	0.0320000000	0.0000000000	-0.4830096249	-0.6968724794	-0.5230302660	-0.5781436091	-0.4222870681	-0.5527824900	-0.4830388268	-0.4887352158	-0.5512703345	-0.4452923251	-0.5411958665	-0.5653711199	-0.4698879594	-0.4761569870	-0.5639332796	-0.5234826696	-0.3817330754	-0.4955278470	-0.3274910493	-0.4014430493	-0.2824169268	-0.2219591325	-0.2304526439	-0.2480856649	-0.2172724557	-0.2102487307	-0.2096321366	-0.2390650675	-0.3044330661	-0.2657326337	-0.2897372937	-0.2402572083	-0.3232538557	-0.2182255258	-0.2529249518	-0.3301956647	-0.3295114784	-0.3334787767	-0.2773233888	-0.3055805765	-0.2436179002	-0.2961361366	-0.3385661313	-0.2422500054	-0.3372097982	-0.3150711397	-0.2714649397	-0.3334189622	-0.3446935138	-0.2566994038	-0.2608896067	-0.2873961293	-0.1971304790	-0.2999541832	-0.2213530330	-0.2909039768	-0.2438425064	-0.3419321981	-0.3291541845	-0.3377580207	-0.2964176385	-0.2373929471	-0.3199962267	-0.2751470939	-0.2958948725	-0.3336236693	-0.2779855550	-0.1897192321	-0.2894843858	-0.2639769142	-0.2895338497	-0.3592770206	-0.2629056838	-0.3513366212	-0.2787180564	-0.3488900855	-0.3236237996	-0.2762790754	-0.2878695931	-0.3698061565	-0.2413708996	-0.3004428474	-0.3261463853	-0.2761627293	-0.3512078627	-0.3427441314	-0.3613273343	-0.3879630858	-0.3813736373	-0.3424779795	-0.3218922177	-0.4945531711	-0.4200393008	-0.4923583933	-0.4018322413	-0.3660302550	-0.4402395826	-0.5008543615	-0.4648441674	-0.4666493020	-0.3913132319	-0.3440641257	-0.4044421758	-0.3816827481	-0.3146197948	-0.3630426451	-0.4012626020	-0.4747572290	-0.4024179664	-0.3400752262	-0.4136678911	-0.4523588781	-0.3424808024	-0.4846813211	-0.4054720827	-0.4005124806	-0.4064732348	-0.3713607214	-0.3655959472	-0.4105533001	-0.5468687149	-0.4152153529	-0.4613551412	-0.4577139595	-0.5461567510	-0.6373345454	-0.4704058554	-0.4779062949	-0.5337643828	-0.6526974495	-0.5306007194	-0.5372331488	-0.6052240800	-0.6159780275	-0.5903822143	-0.6094826159	-0.7535891336	15	943	51.5000000000	192	4329.2600000000	0	2021-208	19:13:11.129
0187	0.0320000000	0.0000000000	-0.5277296328	-0.6226852458	-0.3724081532	-0.5877653843	-0.5434223951	-0.4056215469	-0.4094637418	-0.4980483607	-0.4372144032	-0.4163515557	-0.5900349693	-0.5261840729	-0.5382893094	-0.3797806386	-0.4505171643	-0.3857941244	-0.3817330754	-0.2910951395	-0.4331595438	-0.4245774215	-0.4647390229	-0.4702047138	-0.3736475309	-0.2974350773	-0.2643049434	-0.3007415400	-0.2535307071	-0.2390650675	-0.3789981027	-0.2657326337	-0.3110677774	-0.3480804814	-0.2576840140	-0.4181776492	-0.3151715616	-0.3475524595	-0.2645167455	-0.2611393396	-0.2650413016	-0.2993479269	-0.3820729197	-0.2961361366	-0.3512348859	-0.3495212432	-0.2996815807	-0.3892055255	-0.3201167502	-0.3214740275	-0.3446935138	-0.3139651432	-0.2496562278	-0.2929106763	-0.3381976205	-0.3374096630	-0.3057362625	-0.3169044753	-0.2797499774	-0.2761419431	-0.2791839121	-0.2189790081	-0.2816856397	-0.2764514909	-0.2810465148	-0.2800125621	-0.2227344544	-0.2405640399	-0.3224087513	-0.3045492937	-0.2945515026	-0.3258610075	-0.3211027152	-0.3485361420	-0.3012229461	-0.3123258453	-0.3465340437	-0.3546259564	-0.3060961976	-0.4490950279	-0.3425214586	-0.3574314357	-0.3356785106	-0.3898812761	-0.3715833295	-0.3749286665	-0.3844768947	-0.3292918429	-0.3885973218	-0.3601794971	-0.3600432202	-0.4443994494	-0.3889034584	-0.4566459192	-0.3815903598	-0.3760129523	-0.3784476954	-0.3034770200	-0.5968610966	-0.4694587392	-0.4648441674	-0.5221782367	-0.4711730752	-0.3681576897	-0.5737188069	-0.4945756235	-0.4353148390	-0.4590814384	-0.3694384638	-0.5380276122	-0.3945519416	-0.5439149542	-0.5076103732	-0.4758389313	-0.4677194741	-0.3201701243	-0.4368280678	-0.3848061088	-0.4064732348	-0.4663520598	-0.4214767173	-0.4833349678	-0.3990219611	-0.3900984827	-0.5298689917	-0.5455163688	-0.5191811628	-0.6188958199	-0.5553490287	-0.6129734810	-0.5239221424	-0.4923541486	-0.6325824448	-0.5476253097	-0.6370294339	-0.6484806056	-0.6459423700	-0.5523593295	-0.6946753999	15	938	51.5000000000	193	4330.9300000000	0	2021-208	19:13:12.798
0187	0.0320000000	0.0000000000	-0.4271096151	-0.5484980122	-0.3924911015	-0.4049516547	-0.3291060473	-0.3320410754	-0.3818730849	-0.3956037672	-0.3516724548	-0.5514084796	-0.5607315076	-0.5065905495	-0.5285176879	-0.4954322567	-0.4788711931	-0.5326619060	-0.3373898517	-0.4103475522	-0.2462075921	-0.4322888789	-0.2605382753	-0.2978119490	-0.2825235119	-0.2480856649	-0.2995793091	-0.2554951353	-0.2974292777	-0.2874544523	-0.2138898074	-0.2285620317	-0.2204132214	-0.2348660447	-0.2139707861	-0.2959846849	-0.3264891270	-0.2607684854	-0.2467909093	-0.3334787767	-0.3325927814	-0.3180458757	-0.3443124598	-0.3974485337	-0.3639036404	-0.3432111704	-0.3497192041	-0.3274268707	-0.3626870843	-0.2498044193	-0.3095881706	-0.2681525517	-0.3339065691	-0.2377652067	-0.2405357533	-0.2196924410	-0.2424488403	-0.2389029799	-0.2387128676	-0.2660203654	-0.2791839121	-0.2437246357	-0.2865963059	-0.2227459932	-0.2274906609	-0.2848780303	-0.3446684846	-0.2895427922	-0.3520242155	-0.3195271278	-0.3249542037	-0.3516460464	-0.2369190739	-0.2411273554	-0.2410101054	-0.3736284932	-0.2956720533	-0.2628520214	-0.3002536636	-0.3954624909	-0.3789560357	-0.3264946337	-0.3168169884	-0.3962697353	-0.3715833295	-0.3354222916	-0.4177459267	-0.3292918429	-0.4090498124	-0.4365843659	-0.2960519689	-0.4079989244	-0.2921094440	-0.3732499650	-0.3431414188	-0.4458202169	-0.4330116358	-0.4754984164	-0.4637328097	-0.4537609281	-0.4411791439	-0.4666493020	-0.5031170125	-0.4645319459	-0.5011716793	-0.3897465249	-0.3468051399	-0.4670846712	-0.4092186365	-0.4431220374	-0.5204083395	-0.5125549960	-0.4684676723	-0.4132254562	-0.3894453043	-0.4220103890	-0.4525060604	-0.4554847819	-0.5009597780	-0.3951085560	-0.5092893561	-0.4752481158	-0.5468687149	-0.4487045131	-0.4613551412	-0.5367361278	-0.4742218491	-0.5174828299	-0.5175965073	-0.4007250458	-0.6026600658	-0.6526974495	-0.6223842723	-0.6307625968	-0.6052240800	-0.6051438347	-0.6681664322	-0.6323319304	-0.7300236401	15	945	50.5000000000	194	4332.6000000000	0	2021-208	19:13:14.467
0187	0.0320000000	0.0000000000	-0.4830096249	-0.4001235451	-0.5631961627	-0.4241952052	-0.5154680889	-0.5343873721	-0.4646450555	-0.4701089261	-0.5417656736	-0.4259984788	-0.4630533019	-0.5359808347	-0.4112582309	-0.3990559083	-0.3181983630	-0.3307187063	-0.3196525622	-0.3762754343	-0.3031060121	-0.3089055605	-0.3772244168	-0.3391862126	-0.3085589459	-0.2357483118	-0.2407886995	-0.3233647423	-0.2315814218	-0.3519736321	-0.2671505478	-0.2285620317	-0.1777522539	-0.2564306993	-0.2139707861	-0.2182255258	-0.2981952135	-0.1971269044	-0.2586081335	-0.2068847618	-0.3018875633	-0.3492091236	-0.2562047201	-0.2644760125	-0.2498848494	-0.3432111704	-0.2684080662	-0.2594703503	-0.3079537975	-0.3274464949	-0.2744828274	-0.3025119953	-0.3170565008	-0.2487943006	-0.2513870719	-0.2624987035	-0.2529967440	-0.2025022821	-0.2489721451	-0.3368714092	-0.2142225579	-0.2437246357	-0.1834723139	-0.2032167212	-0.1690660931	-0.2167614751	-0.2324891768	-0.2895427922	-0.2483700907	-0.2795862368	-0.2894843858	-0.3310180153	-0.3105797601	-0.3216839453	-0.3012229461	-0.3234717813	-0.2900207210	-0.2399085377	-0.3353088675	-0.2762790754	-0.2575074456	-0.3388693545	-0.3168169884	-0.3515505209	-0.2936914252	-0.3222535000	-0.2913236052	-0.2687565449	-0.3136048562	-0.3254500113	-0.3742634983	-0.2769570345	-0.3665663782	-0.3656685146	-0.3815903598	-0.4225511287	-0.4719858789	-0.3973068726	-0.4715638854	-0.5400988893	-0.4175141204	-0.4983801219	-0.4871450438	-0.4163448178	-0.4205637597	-0.4623205163	-0.4916391929	-0.4430749729	-0.4728669129	-0.4273044416	-0.5361403893	-0.4184751216	-0.5467530740	-0.4523588781	-0.3816178873	-0.4455119885	-0.3584381050	-0.3690997370	-0.3513560846	-0.4188563906	-0.3975278158	-0.5399429315	-0.4811590465	-0.4570768031	-0.4784836038	-0.4138127549	-0.5101893000	-0.5267021927	-0.6308540716	-0.6226211372	-0.6223445467	-0.5925687117	-0.6121860997	-0.6099782750	-0.3931883871	-0.5401386784	-0.5459340897	-0.6094826159	-0.5886306792	15	943	51.0000000000	195	4334.2700000000	0	2021-208	19:13:16.152
0187	0.0320000000	0.0000000000	-0.4047496112	-0.5590961885	-0.4627814209	-0.3857081042	-0.5154680889	-0.3688313111	-0.4002668562	-0.4142300569	-0.4562237251	-0.4549392482	-0.3751429168	-0.5359808347	-0.5089744451	-0.4472440825	-0.4127117925	-0.6060957967	-0.5058941017	-0.4614557291	-0.3600044322	-0.2472139013	-0.2824169268	-0.1943762902	-0.3345943799	-0.1925675759	-0.3113374310	-0.2611509359	-0.3029165991	-0.2551948624	-0.2245419555	-0.2763528057	-0.3057351565	-0.2941688449	-0.1975783257	-0.1515748180	-0.1850195594	-0.1971269044	-0.3354200905	-0.3214222038	-0.3510159122	-0.3616744228	-0.2939651800	-0.2518119629	-0.3068942449	-0.3116608063	-0.4247756390	-0.2841818123	-0.2228131291	-0.2617493540	-0.2861846085	-0.3311448651	-0.2552729172	-0.2873961293	-0.3002180055	-0.3748651427	-0.2529967440	-0.2909039768	-0.2284535902	-0.2356556324	-0.2641928303	-0.2734193889	-0.2522216419	-0.2032167212	-0.2810465148	-0.2848780303	-0.2568759828	-0.2699512913	-0.2582419121	-0.3245197391	-0.2844172689	-0.2433488831	-0.2632264618	-0.2948317487	-0.3285924191	-0.3067528773	-0.3521853760	-0.3660976983	-0.3411514015	-0.3477891247	-0.4153906127	-0.3883682377	-0.3168169884	-0.2748890106	-0.3586013455	-0.4802789995	-0.3046312180	-0.3023872660	-0.3885973218	-0.3601794971	-0.2960519689	-0.3570381895	-0.4112405387	-0.4793902703	-0.4815576064	-0.4147947660	-0.4252167872	-0.4129451813	-0.3775909770	-0.4302142114	-0.4569558262	-0.4666493020	-0.4711730752	-0.4645319459	-0.3560774240	-0.3655551945	-0.4916391929	-0.4670846712	-0.3614824293	-0.4273044416	-0.3866859167	-0.5047150065	-0.4762962125	-0.4836656157	-0.4520646401	-0.4846813211	-0.5544130120	-0.4790443396	-0.3828515990	-0.4346882804	-0.4853404546	-0.4429007080	-0.4483042123	-0.4821936733	-0.4956120664	-0.5630768506	-0.4742218491	-0.6281151827	-0.5553490287	-0.5550875441	-0.5534488637	-0.5725257991	-0.5917897546	-0.6307625968	-0.5628169414	-0.6159780275	-0.6570544011	-0.7008798740	-0.6946753999	15	934	51.0000000000	196	4335.9400000000	0	2021-208	19:13:17.806
0187	0.0320000000	0.0000000000	-0.5053696289	-0.4637126025	-0.5129887918	-0.5011694071	-0.5341042930	-0.4608069005	-0.3910699705	-0.4514826364	-0.4942423689	-0.4742330945	-0.4825889431	-0.5359808347	-0.4112582309	-0.4954322567	-0.5261279078	-0.4500487788	-0.4704195227	-0.3677574048	-0.3762611237	-0.4168659641	-0.3553457653	-0.3598733444	-0.3541209554	-0.2974350773	-0.2643049434	-0.3063973406	-0.2645053498	-0.3304672388	-0.2884548440	-0.3029032357	-0.2790720518	-0.2510395356	-0.2303632466	-0.1571290436	-0.2812188654	-0.2607684854	-0.3531459267	-0.3334787767	-0.3448748686	-0.3492091236	-0.3568992798	-0.4417727074	-0.2372160948	-0.3432111704	-0.2934268778	-0.3397826016	-0.2957908449	-0.2856392234	-0.3446935138	-0.2910588474	-0.2889730537	-0.2543088475	-0.2785153683	-0.3053049661	-0.3795715883	-0.2545032790	-0.2387128676	-0.2963850985	-0.2791839121	-0.2932158910	-0.3013283048	-0.2862161269	-0.2128845190	-0.3140708397	-0.2666307052	-0.2650534161	-0.2483700907	-0.2696010141	-0.2084105161	-0.2227208520	-0.2421805515	-0.2518682340	-0.3231185245	-0.3346177172	-0.3804420374	-0.3660976983	-0.3586790034	-0.4073808325	-0.4518251897	-0.4254924001	-0.3356785106	-0.4346004904	-0.3845653136	-0.3617598749	-0.4110921203	-0.3023872660	-0.3749623280	-0.3601794971	-0.3671533593	-0.3570381895	-0.4037948453	-0.3732499650	-0.4584882418	-0.4768456678	-0.4719858789	-0.5536899602	-0.5498746424	-0.5322499837	-0.4569558262	-0.5063128268	-0.4552011065	-0.4163448178	-0.3077126723	-0.4300654090	-0.4031294939	-0.4830911368	-0.4330867402	-0.4114868458	-0.5125423147	-0.5439149542	-0.4919532928	-0.3975720874	-0.4207549722	-0.4141765225	-0.4289890715	-0.4711911537	-0.3907254776	-0.4584361150	-0.3975278158	-0.4752481158	-0.4072356696	-0.5240551235	-0.5641259170	-0.4928349232	-0.5911160647	-0.6004570945	-0.5647871591	-0.4779062949	-0.5928178254	-0.4021610418	-0.7447623428	-0.7242920447	-0.4567990950	-0.6051438347	-0.6681664322	-0.6780305595	-0.6357616662	15	937	50.5000000000	197	4337.6100000000	0	2021-208	19:13:19.475
0187	0.0320000000	0.0000000000	-0.5053696289	-0.4001235451	-0.3924911015	-0.3664645537	-0.4688775785	-0.4332142237	-0.5106294837	-0.5259877952	-0.5322610126	-0.5417615564	-0.5216602253	-0.4380132173	-0.5871474165	-0.4954322567	-0.4505171643	-0.4225110698	-0.5236313911	-0.3507213458	-0.4087745066	-0.3551743049	-0.2532453915	-0.3047076596	-0.3020500874	-0.2419169883	-0.2231515167	-0.3233647423	-0.2864546351	-0.2767012557	-0.2884548440	-0.3506940097	-0.3430635031	-0.3696451361	-0.3123255488	-0.3848522953	-0.3434654751	-0.3591236560	-0.2467909093	-0.2973090582	-0.2343360835	-0.3679070724	-0.2624981301	-0.3404603103	-0.2435504721	-0.2233197869	-0.2433892545	-0.2224031574	-0.3566056080	-0.3214740275	-0.3271408422	-0.3139651432	-0.3114398114	-0.3259979580	-0.3002180055	-0.3213573145	-0.2582706959	-0.2597033787	-0.3105278098	-0.3166282539	-0.1842403944	-0.2635211378	-0.2031149790	-0.2569222190	-0.2907839428	-0.3335327126	-0.2666307052	-0.2552576656	-0.3668319476	-0.2346527345	-0.3958938397	-0.2846049453	-0.2316575964	-0.2464977947	-0.2410101054	-0.2621691333	-0.2674153919	-0.3087389889	-0.2418283239	-0.3179932709	-0.3485938881	-0.3945555981	-0.3796887291	-0.4729312456	-0.4364932498	-0.3485910832	-0.3245926372	-0.3158395545	-0.3954148187	-0.2976664227	-0.4524750276	-0.4225591344	-0.3591206848	-0.4263201177	-0.4123495126	-0.4535765796	-0.4096270899	-0.3894877182	-0.3540977499	-0.5008543615	-0.4254024616	-0.5459763516	-0.5270749654	-0.4966566980	-0.4931108873	-0.5752133917	-0.5077318655	-0.4110620418	-0.4808229474	-0.3165812711	-0.4260160411	-0.3557552053	-0.3745251903	-0.3662653498	-0.3346533855	-0.4611797215	-0.3427601124	-0.5104570831	-0.4694642636	-0.4426042252	-0.5651701262	-0.4267270041	-0.5140138807	-0.4487045131	-0.5041762978	-0.3874720321	-0.5281730255	-0.5912377318	-0.6119778109	-0.6805070741	-0.5042376616	-0.6426759932	-0.5102043743	-0.6515469185	-0.4355955257	-0.6159780275	-0.6126062766	-0.4952360432	-0.5414996922	15	944	51.0000000000	198	4339.2800000000	0	2021-208	19:13:21.160
0187	0.0320000000	0.0000000000	-0.7066096643	-0.5696943647	-0.5029473176	-0.4530605309	-0.3850146598	-0.3320410754	-0.3818730849	-0.3956037672	-0.3231584719	-0.4067046325	-0.3458394551	-0.4674035025	-0.3819433666	-0.3412300992	-0.3276497060	-0.4684072515	-0.4083390096	-0.3507213458	-0.4087745066	-0.4014430493	-0.2970026945	-0.3391862126	-0.3541209554	-0.3097724304	-0.2584258824	-0.2837741382	-0.2480433858	-0.2175586742	-0.1659551410	-0.2179418597	-0.2204132214	-0.3049511722	-0.2631481674	-0.2571051053	-0.2246310383	-0.2896964768	-0.3295114784	-0.2731959125	-0.3510159122	-0.2931152774	-0.3946597396	-0.3467923351	-0.2752223585	-0.4063118985	-0.2746627691	-0.3212490052	-0.2471390344	-0.3095290928	-0.2393774843	-0.2910588474	-0.3170565008	-0.2432797536	-0.2947923462	-0.3267080973	-0.2846404551	-0.2025022821	-0.2900092549	-0.2204732659	-0.2641928303	-0.2536228867	-0.2129363116	-0.2325106291	-0.2567029449	-0.2946089668	-0.2519986216	-0.2846449170	-0.2829214657	-0.2895714595	-0.2540145678	-0.2433488831	-0.2106116860	-0.2250160374	-0.2519578946	-0.3178988133	-0.3860933696	-0.3431542145	-0.3586790034	-0.4133400033	-0.4457527602	-0.3512440753	-0.2979554662	-0.2685005514	-0.3326373774	-0.2827471251	-0.3445540564	-0.4369101506	-0.3545098374	-0.3532336000	-0.3600432202	-0.2842371395	-0.2325438967	-0.3580870642	-0.3892801480	-0.2519111487	-0.4563961817	-0.3425727919	-0.3854220527	-0.3203295336	-0.3149656855	-0.3555914326	-0.4711730752	-0.4725631339	-0.4125029677	-0.3494276408	-0.3870368213	-0.3630426451	-0.4092186365	-0.3323988669	-0.3788198918	-0.3949551530	-0.4528105920	-0.2332117150	-0.3816178873	-0.4533458550	-0.3741160975	-0.4554847819	-0.4064732348	-0.4900998944	-0.4134937501	-0.4590744119	-0.5386550063	-0.4738213832	-0.5298689917	-0.4138127549	-0.4562381236	-0.3976311145	-0.4137770733	-0.2560102035	-0.4451842190	-0.3921395855	-0.5102043743	-0.4748801836	-0.3507812485	-0.5293044856	-0.5903822143	-0.6094826159	-0.6239789194	15	941	49.5000000000	199	4340.9500000000	0	2021-208	19:13:22.813
