SN	INTTIME(ES)	SAMPLE(DELAY)	ES(349.01)	ES(352.33)	ES(355.64)	ES(358.96)	ES(362.28)	ES(365.60)	ES(368.92)	ES(372.24)	ES(375.56)	ES(378.88)	ES(382.20)	ES(385.52)	ES(388.85)	ES(392.17)	ES(395.49)	ES(398.82)	ES(402.14)	ES(405.47)	ES(408.79)	ES(412.12)	ES(415.44)	ES(418.77)	ES(422.10)	ES(425.42)	ES(428.75)	ES(432.08)	ES(435.41)	ES(438.74)	ES(442.07)	ES(445.40)	ES(448.73)	ES(452.06)	ES(455.39)	ES(458.72)	ES(462.05)	ES(465.38)	ES(468.71)	ES(472.04)	ES(475.38)	ES(478.71)	ES(482.04)	ES(485.37)	ES(488.71)	ES(492.04)	ES(495.37)	ES(498.71)	ES(502.04)	ES(505.38)	ES(508.71)	ES(512.04)	ES(515.38)	ES(518.71)	ES(522.05)	ES(525.38)	ES(528.72)	ES(532.05)	ES(535.38)	ES(538.72)	ES(542.05)	ES(545.39)	ES(548.72)	ES(552.06)	ES(555.39)	ES(558.73)	ES(562.06)	ES(565.40)	ES(568.73)	ES(572.07)	ES(575.40)	ES(578.73)	ES(582.07)	ES(585.40)	ES(588.74)	ES(592.07)	ES(595.40)	ES(598.74)	ES(602.07)	ES(605.41)	ES(608.74)	ES(612.07)	ES(615.40)	ES(618.74)	ES(622.07)	ES(625.40)	ES(628.73)	ES(632.06)	ES(635.40)	ES(638.73)	ES(642.06)	ES(645.39)	ES(648.72)	ES(652.05)	ES(655.38)	ES(658.71)	ES(662.03)	ES(665.36)	ES(668.69)	ES(672.02)	ES(675.35)	ES(678.67)	ES(682.00)	ES(685.33)	ES(688.65)	ES(691.98)	ES(695.30)	ES(698.62)	ES(701.95)	ES(705.27)	ES(708.59)	ES(711.92)	ES(715.24)	ES(718.56)	ES(721.88)	ES(725.20)	ES(728.52)	ES(731.84)	ES(735.16)	ES(738.48)	ES(741.79)	ES(745.11)	ES(748.42)	ES(751.74)	ES(755.05)	ES(758.37)	ES(761.68)	ES(765.00)	ES(768.31)	ES(771.62)	ES(774.93)	ES(778.24)	ES(781.55)	ES(784.86)	ES(788.16)	ES(791.47)	ES(794.78)	ES(798.08)	ES(801.39)	DARK_SAMP(ES)	DARK_AVE(ES)	TEMP(PCB)	FRAME(COUNTER)	TIMER	CHECK(SUM)	DATETAG	TIMETAG2
0187	0.0320000000	0.0000000000	-0.6171696485	-0.6968724794	-0.5129887918	-0.5300347329	-0.4595594764	-0.4883995774	-0.4462512843	-0.4701089261	-0.4752330470	-0.6382307878	-0.5216602253	-0.5359808347	-0.5676041736	-0.5725333355	-0.4788711931	-0.5510203787	-0.4970254569	-0.4529376996	-0.4900579638	-0.4245774215	-0.3845173006	-0.3391862126	-0.3931741063	-0.3961339022	-0.2819421262	-0.1763139272	-0.2315814218	-0.1960522810	-0.2351941036	-0.2444922897	-0.3164003984	-0.3319069905	-0.3396463162	-0.2904304592	-0.3321479097	-0.3012676733	-0.3531459267	-0.2973090582	-0.3141696505	-0.3242785253	-0.3254322299	-0.3531243599	-0.2752223585	-0.2864205150	-0.2621533632	-0.3336047361	-0.3566056080	-0.3155015602	-0.2686319369	-0.3139651432	-0.3226731902	-0.3094543171	-0.2893666869	-0.2999541832	-0.2635446477	-0.2337028802	-0.3105278098	-0.2558987878	-0.2442047214	-0.3080632675	-0.2473109756	-0.2227459932	-0.2226219470	-0.2897434986	-0.2519986216	-0.2601555408	-0.2779855550	-0.2995566823	-0.2692159184	-0.2639769142	-0.3158412376	-0.2357569161	-0.2683795785	-0.2510231973	-0.3465340437	-0.2685878924	-0.3060961976	-0.2762790754	-0.2453625866	-0.3388693545	-0.3231041625	-0.3068313066	-0.3845653136	-0.3288378958	-0.3512078627	-0.3965532852	-0.2454298875	-0.3671253943	-0.3458229422	-0.2696769295	-0.4037948453	-0.4339015680	-0.4200393008	-0.4380638542	-0.5967034568	-0.4598601076	-0.4324085069	-0.4380631170	-0.4411791439	-0.4190530722	-0.4791590595	-0.4484695699	-0.5817795989	-0.4623205163	-0.4755465204	-0.4670846712	-0.5046910510	-0.4589396332	-0.4968102649	-0.4341551007	-0.3588681099	-0.3349586122	-0.4598920571	-0.3436717239	-0.3662771013	-0.3926592947	-0.3671038418	-0.4267723355	-0.4933234218	-0.5399429315	-0.5386550063	-0.4738213832	-0.5726901483	-0.5103954051	-0.4922055746	-0.4345085654	-0.5742252894	-0.4972016072	-0.5829755850	-0.7128261874	-0.4694116841	-0.6307625968	-0.6052240800	-0.7134857620	-0.6903904945	-0.8265511039	-0.8007201206	15	939	50.5000000000	71	4554.7400000000	0	2021-208	19:16:56.585
0187	0.0320000000	0.0000000000	-0.3935696092	-0.5908907171	-0.5933205853	-0.5300347329	-0.4595594764	-0.4792020184	-0.5014325980	-0.6377455335	-0.5702796564	-0.5224677102	-0.6584097133	-0.4674035025	-0.5676041736	-0.4954322567	-0.5828359655	-0.6060957967	-0.5147627464	-0.4529376996	-0.4738012724	-0.4322888789	-0.3918101845	-0.3805604761	-0.3606298139	-0.3961339022	-0.2701840043	-0.2385277336	-0.3413278483	-0.2014288793	-0.2618244738	-0.2551124617	-0.2577415680	-0.1917367354	-0.3013972418	-0.2571051053	-0.2755600827	-0.3533380578	-0.2763339697	-0.2912807717	-0.3141696505	-0.4426988674	-0.3443124598	-0.2771400622	-0.4272474133	-0.3369010975	-0.3247003924	-0.2965375432	-0.4113388948	-0.3453638969	-0.3329917327	-0.3139651432	-0.3170565008	-0.3259979580	-0.3164949834	-0.3427604458	-0.3004623106	-0.3897058709	-0.3002685323	-0.2558987878	-0.2541987758	-0.2585720123	-0.2227576442	-0.2715691730	-0.2518342309	-0.2508197527	-0.3300364010	-0.2895427922	-0.2483700907	-0.2945640709	-0.3350884375	-0.3155469920	-0.3421486255	-0.2840908700	-0.3285924191	-0.3401906852	-0.3521853760	-0.2972672470	-0.2768835277	-0.4014216617	-0.3182317406	-0.3388693545	-0.4299861216	-0.3707158985	-0.4170202737	-0.3617598749	-0.4243997330	-0.3360179871	-0.3476923406	-0.4157466744	-0.4240344715	-0.3861586094	-0.3591206848	-0.5097160718	-0.4815576064	-0.4380638542	-0.5265498192	-0.4598601076	-0.5890300209	-0.4773076448	-0.5042858731	-0.3159279078	-0.4392291379	-0.5287814500	-0.5656580150	-0.4381291858	-0.3146197948	-0.4350717401	-0.4967350165	-0.4984836227	-0.4024179664	-0.3949551530	-0.4449820518	-0.3662653498	-0.4677194741	-0.4141765225	-0.4681840529	-0.4554847819	-0.6111940783	-0.4821839496	-0.5172723233	-0.5399429315	-0.3990219611	-0.4905659633	-0.5469974544	-0.5630768506	-0.6001079274	-0.4990441045	-0.3760245518	-0.6901547302	-0.5140799020	-0.3620752165	-0.5204025468	-0.5476253097	-0.5416133721	-0.5401386784	-0.7459506502	-0.6780305595	-0.6828926531	15	942	49.5000000000	72	4556.4100000000	0	2021-208	19:16:58.260
0187	0.0320000000	0.0000000000	-0.5165496308	-0.4319180738	-0.5330717402	-0.4819258566	-0.3943327619	-0.4608069005	-0.4094637418	-0.5818666644	-0.5322610126	-0.3874107863	-0.4435176608	-0.4869970260	-0.5089744451	-0.4376064477	-0.5072252219	-0.4592280152	-0.4172076543	-0.4784917880	-0.4250311980	-0.4785576233	-0.3918101845	-0.3943518973	-0.3345943799	-0.3344471366	-0.2760630653	-0.1989371296	-0.2260941005	-0.1745458877	-0.1712812151	-0.1701510857	-0.2790720518	-0.3103423359	-0.3341821627	-0.3904065209	-0.3151715616	-0.3880516474	-0.2940598059	-0.3817050681	-0.3080286069	-0.3616744228	-0.2687915401	-0.3214642359	-0.2435504721	-0.3873816800	-0.3747380157	-0.2841818123	-0.3018723212	-0.2498044193	-0.3446935138	-0.3254182911	-0.2384228490	-0.3039397702	-0.3002180055	-0.3534620114	-0.3162841662	-0.2857038771	-0.2694907000	-0.2609595766	-0.2442047214	-0.2338263846	-0.2080256453	-0.2862161269	-0.1982783770	-0.2313578798	-0.3105269561	-0.3091342932	-0.3273446620	-0.2496305686	-0.3654911386	-0.2794479375	-0.3105797601	-0.3216839453	-0.3121707353	-0.2788880373	-0.2561127273	-0.3259466017	-0.3060961976	-0.3239524416	-0.2757247341	-0.2831831109	-0.3922630772	-0.3707158985	-0.3845653136	-0.3815130623	-0.3445540564	-0.4100055736	-0.4431372968	-0.4504761602	-0.4098141934	-0.5026402894	-0.4112405387	-0.4642273695	-0.4123495126	-0.4303074914	-0.4330116358	-0.3503919463	-0.3697599013	-0.3124806281	-0.4569558262	-0.3397260226	-0.4232571692	-0.4805943219	-0.4447461356	-0.3171725336	-0.5077318655	-0.4510782057	-0.4092186365	-0.4431220374	-0.3709538670	-0.4184751216	-0.4293249715	-0.4288788249	-0.4207549722	-0.4220103890	-0.3897940901	-0.4554847819	-0.3828515990	-0.3555288317	-0.4214767173	-0.4509875599	-0.4318767953	-0.3984707727	-0.4356624472	-0.4225929958	-0.4652299863	-0.4437279281	-0.5081583769	-0.6129734810	-0.6617135084	-0.6526974495	-0.6631769625	-0.7138998838	-0.6264276493	-0.5943096420	-0.6126062766	-0.6666059022	-0.7182408934	15	938	51.5000000000	73	4558.0800000000	0	2021-208	19:16:59.944
0187	0.0320000000	0.0000000000	-0.5277296328	-0.4955071311	-0.3724081532	-0.4145734299	-0.3477422515	-0.3780288701	-0.3818730849	-0.3676643327	-0.4847377079	-0.4356454019	-0.4435176608	-0.5457775964	-0.5676041736	-0.4183311780	-0.4316144784	-0.4959449606	-0.3639957859	-0.3081311984	-0.2380792463	-0.4091545067	-0.3699315330	-0.3667690550	-0.3736475309	-0.3467844897	-0.3230955529	-0.2441835342	-0.3303532057	-0.2767012557	-0.3630198806	-0.3082133217	-0.2950699146	-0.2618218629	-0.1975783257	-0.3237558131	-0.2359486037	-0.3128388699	-0.2763339697	-0.2912807717	-0.3510159122	-0.3492091236	-0.3380190498	-0.2264838636	-0.2878911131	-0.2990406607	-0.3309550953	-0.2903596778	-0.2532205107	-0.3334189622	-0.3095881706	-0.2853322735	-0.2271894702	-0.2046779249	-0.2513870719	-0.2357447894	-0.2319009366	-0.2909039768	-0.2746203387	-0.2761419431	-0.2741868848	-0.2338263846	-0.2669536408	-0.2569222190	-0.2323593749	-0.2459542845	-0.2617533440	-0.2356661647	-0.2286264479	-0.2696010141	-0.2033433993	-0.2227208520	-0.2158731636	-0.3055726273	-0.2519578946	-0.2788880373	-0.2843693887	-0.3202107308	-0.3469939355	-0.3418299540	-0.3303765996	-0.3388693545	-0.3796887291	-0.3515505209	-0.4300022577	-0.3551754791	-0.4310535394	-0.3292918429	-0.2999698624	-0.3879630858	-0.2533911348	-0.3715983995	-0.3665663782	-0.4793902703	-0.4200393008	-0.4225511287	-0.4953704248	-0.3191153287	-0.4245774312	-0.3360273448	-0.3938490970	-0.3714568425	-0.3354113416	-0.3199705617	-0.3883205919	-0.3816827481	-0.3789904850	-0.3630426451	-0.3296582911	-0.3323988669	-0.3788198918	-0.4184751216	-0.4606391321	-0.4601855625	-0.4285823892	-0.4690135880	-0.3819550938	-0.5104570831	-0.4930858994	-0.5692593431	-0.4294596845	-0.4105533001	-0.3168848756	-0.2477695518	-0.3500201340	-0.4664942004	-0.4202706726	-0.4345085654	-0.5459108983	-0.5164969195	-0.6026600658	-0.5725257991	-0.5917897546	-0.5372331488	-0.4567990950	-0.4751335220	-0.6237183077	-0.6551812449	-0.5414996922	15	940	51.5000000000	74	4559.7500000000	0	2021-208	19:17:01.598
0187	0.0320000000	0.0000000000	-0.5724496407	-0.4637126025	-0.3724081532	-0.4626823062	-0.3663784556	-0.4792020184	-0.5382201405	-0.5073615055	-0.5132516907	-0.5417615564	-0.5118924048	-0.5457775964	-0.5089744451	-0.3990559083	-0.4694198502	-0.4041525971	-0.4970254569	-0.4784917880	-0.3925178151	-0.4631347085	-0.2897098107	-0.3805604761	-0.4777892668	-0.4331459615	-0.2995793091	-0.3403321440	-0.3413278483	-0.2498182641	-0.3097591401	-0.2285620317	-0.2204132214	-0.2833865176	-0.3232538557	-0.3015389105	-0.3547830405	-0.3244100664	-0.2881511939	-0.3093656310	-0.2957465197	-0.3616744228	-0.2939651800	-0.3721204344	-0.3512348859	-0.3369010975	-0.2871721749	-0.3088932742	-0.2836278923	-0.3095290928	-0.3446935138	-0.2796056996	-0.3395232585	-0.2598233945	-0.3924542134	-0.2785510520	-0.2582706959	-0.2805037775	-0.2746203387	-0.2558987878	-0.2591958031	-0.2684702633	-0.2129363116	-0.2715691730	-0.2567029449	-0.2459542845	-0.2617533440	-0.2846449170	-0.2631778228	-0.2845788482	-0.3097528532	-0.3464890386	-0.3316256704	-0.3055726273	-0.2574317892	-0.3401906852	-0.2787180564	-0.2857955052	-0.2651984598	-0.2703199047	-0.3243041701	-0.3945555981	-0.3734015550	-0.4473774088	-0.4170202737	-0.3090847083	-0.3711692819	-0.4100055736	-0.3613273343	-0.4296384687	-0.3671533593	-0.3060774545	-0.3665663782	-0.4263201177	-0.3585209952	-0.4535765796	-0.5031652734	-0.4207643357	-0.5107192639	-0.4616098337	-0.5516159200	-0.4666493020	-0.5670048871	-0.5287814500	-0.4850500954	-0.4461929626	-0.4433611753	-0.3950555762	-0.2500979457	-0.3482164626	-0.3394897675	-0.3087152681	-0.4449820518	-0.3819187186	-0.4051001383	-0.5473522532	-0.5387350195	-0.5026038972	-0.4458426278	-0.5296796187	-0.4933234218	-0.4752481158	-0.4483042123	-0.4738213832	-0.6240755362	-0.5981978143	-0.5101893000	-0.5267021927	-0.5553490287	-0.6419164495	-0.6223445467	-0.6126116243	-0.5713934096	-0.7970371708	-0.6688347879	-0.6268122202	-0.7459506502	-0.5523593295	-0.5650651857	15	937	51.0000000000	75	4561.4200000000	0	2021-208	19:17:03.283
0187	0.0320000000	0.0000000000	-0.5500896367	-0.3789271927	-0.6334864820	-0.6454960358	-0.5620585993	-0.5527824900	-0.5842045687	-0.5259877952	-0.4847377079	-0.3295292474	-0.4630533019	-0.3498423617	-0.4992028237	-0.4857946219	-0.4883225361	-0.4775864879	-0.5413686806	-0.4018295227	-0.4169028523	-0.3860201345	-0.3991030683	-0.4357261609	-0.3476120969	-0.3837965490	-0.2525468215	-0.2781183377	-0.2425560645	-0.2283118708	-0.3417155844	-0.2604225477	-0.2684068099	-0.2941688449	-0.2795406279	-0.2348882027	-0.2981952135	-0.3128388699	-0.3236028663	-0.3334787767	-0.4615546974	-0.4426988674	-0.4324201995	-0.4101125833	-0.3512348859	-0.4000018257	-0.4185209361	-0.4077391220	-0.2714649397	-0.3453638969	-0.3037372801	-0.3368714390	-0.3282898796	-0.3204834110	-0.3164949834	-0.2517971379	-0.2740925514	-0.2441030796	-0.2489721451	-0.2862635208	-0.2891779665	-0.2932158910	-0.2031149790	-0.2959807628	-0.2859152288	-0.3286672444	-0.2568759828	-0.2748491665	-0.2977291978	-0.2496305686	-0.3350884375	-0.2433488831	-0.3053182825	-0.2948317487	-0.3285924191	-0.3290447493	-0.3691393728	-0.3546259564	-0.3294663335	-0.4014216617	-0.3243041701	-0.3698061565	-0.3356785106	-0.4218235721	-0.3066734092	-0.2564095418	-0.3112850244	-0.3158395545	-0.3613273343	-0.3462877028	-0.4453648886	-0.4516795544	-0.4708060860	-0.5248789726	-0.4431086654	-0.5078711187	-0.4797807275	-0.4989558796	-0.4089152798	-0.4459120226	-0.4727325085	-0.5221782367	-0.4791590595	-0.4886255100	-0.5414756391	-0.4300654090	-0.4031294939	-0.4110620418	-0.4092186365	-0.4114868458	-0.3866859167	-0.3871151634	-0.3510395698	-0.3662653498	-0.4442372232	-0.4690135880	-0.4995400381	-0.5654293844	-0.5954463211	-0.5771752879	-0.5412212247	-0.4914218197	-0.5550824234	-0.4905659633	-0.5384332230	-0.4313732367	-0.5641404765	-0.4437279281	-0.6119778109	-0.5936781687	-0.7601359127	-0.7729549253	-0.6937714801	-0.8386058143	-0.7218437111	-0.7026515693	-0.6459423700	-0.8608250757	-0.7535891336	15	936	51.0000000000	76	4563.0900000000	0	2021-208	19:17:04.952
0187	0.0320000000	0.0000000000	-0.6059896466	-0.5484980122	-0.4828643692	-0.4915476319	-0.4409232722	-0.4792020184	-0.4922357124	-0.4887352158	-0.4752330470	-0.4935269408	-0.5509636870	-0.4674035025	-0.4405730951	-0.5339827961	-0.4788711931	-0.5601996150	-0.4349449438	-0.4103475522	-0.4900579638	-0.4245774215	-0.3918101845	-0.3391862126	-0.3801563893	-0.3344471366	-0.3054583701	-0.3063973406	-0.2590180285	-0.3143374439	-0.3044330661	-0.2710427197	-0.2950699146	-0.3642539724	-0.3013972418	-0.3237558131	-0.3151715616	-0.3475524595	-0.4240492717	-0.4058182138	-0.3755800867	-0.4364662178	-0.4575938394	-0.3657884096	-0.3892411496	-0.3747615344	-0.3747380157	-0.2285810229	-0.3079537975	-0.3334189622	-0.2335265937	-0.3483245869	-0.3114398114	-0.2929106763	-0.3707515763	-0.2732002691	-0.3162841662	-0.3169044753	-0.3105278098	-0.2103516882	-0.3441452662	-0.2239281336	-0.2816856397	-0.1983344033	-0.2080158050	-0.2751470939	-0.2910175113	-0.3483172950	-0.2582419121	-0.3394975733	-0.2641488015	-0.3052329764	-0.3631945358	-0.2518682340	-0.3504879975	-0.3401906852	-0.3239287146	-0.2800596342	-0.3762066054	-0.2703199047	-0.4275354717	-0.3512440753	-0.2728067699	-0.3323851434	-0.3975472976	-0.3683442707	-0.2913236052	-0.2687565449	-0.2795173718	-0.3393418057	-0.4098141934	-0.3861586094	-0.4633603926	-0.4414830184	-0.4661780300	-0.4303074914	-0.4953704248	-0.4833175708	-0.4637328097	-0.4930054559	-0.5042858731	-0.4904474169	-0.4472151222	-0.5127190740	-0.3802597999	-0.3494276408	-0.4594538478	-0.4750879040	-0.4410427747	-0.3798516542	-0.5204083395	-0.4498350797	-0.4606391321	-0.3662653498	-0.4364098062	-0.3201701243	-0.2957261347	-0.4083656665	-0.4615903850	-0.4030245009	-0.3975278158	-0.4105533001	-0.3990219611	-0.4654490932	-0.5127405291	-0.5542966097	-0.4922055746	-0.5912377318	-0.5742252894	-0.6129734810	-0.6813979893	-0.7128261874	-0.7039696527	-0.7035077229	-0.6900383572	-0.7243199547	-0.7459506502	-0.6780305595	-0.7535891336	15	937	50.0000000000	77	4564.7600000000	0	2021-208	19:17:06.606
0187	0.0320000000	0.0000000000	-0.6507096544	-0.6014888934	-0.4125740499	-0.4241952052	-0.3850146598	-0.3044483985	-0.4370543987	-0.4235432018	-0.3801864376	-0.5128207870	-0.4825889431	-0.6143549286	-0.5089744451	-0.6207215097	-0.4316144784	-0.4959449606	-0.4881568122	-0.3677574048	-0.3762611237	-0.2780597309	-0.2897098107	-0.2840205279	-0.3866652478	-0.2912664008	-0.1937562119	-0.3346763435	-0.2535307071	-0.2605714607	-0.2671505478	-0.2657326337	-0.2524089471	-0.2079102264	-0.2248990931	-0.2682135566	-0.2925364308	-0.2954820750	-0.3117856422	-0.3214222038	-0.4124263484	-0.4115356195	-0.3883663297	-0.3531243599	-0.3005598676	-0.3369010975	-0.2684080662	-0.3027154087	-0.2653834633	-0.2259145499	-0.1984212505	-0.3025119953	-0.3282898796	-0.1991633780	-0.3653259170	-0.2517971379	-0.2635446477	-0.2961040765	-0.2848796161	-0.3014458873	-0.3191601300	-0.2734193889	-0.4191842957	-0.2959807628	-0.3297336546	-0.2751470939	-0.3300364010	-0.2895427922	-0.3076010192	-0.3195271278	-0.2692159184	-0.2794479375	-0.2790108946	-0.3377952633	-0.3778574705	-0.3290447493	-0.3804420374	-0.3087389889	-0.3353088675	-0.2941565878	-0.3728836062	-0.3388693545	-0.3356785106	-0.3323851434	-0.3910563056	-0.4539414163	-0.4377073458	-0.3696487083	-0.3954148187	-0.4713138517	-0.4453648886	-0.4079989244	-0.4559146992	-0.5172975222	-0.4969371828	-0.4225511287	-0.4875755761	-0.4598601076	-0.4793949611	-0.4616098337	-0.2991890032	-0.3793895474	-0.4392291379	-0.4645319459	-0.4205637597	-0.4300654090	-0.4755465204	-0.3870523435	-0.4649108783	-0.3877604521	-0.4496141157	-0.4498350797	-0.4371535116	-0.4601855625	-0.4833743080	-0.4846813211	-0.3741160975	-0.4711911537	-0.3985993562	-0.4505201701	-0.4454256188	-0.4186401521	-0.4400905038	-0.5073105434	-0.4613551412	-0.4664942004	-0.4742218491	-0.4437279281	-0.4798439858	-0.5647352003	-0.5632911041	-0.5625043427	-0.6529787899	-0.6307625968	-0.6900383572	-0.5834754493	-0.7570626813	-0.8608250757	-0.5886306792	15	933	50.5000000000	78	4566.4300000000	0	2021-208	19:17:08.290
0187	0.0320000000	0.0000000000	-0.5948096446	-0.6438815983	-0.5431132144	-0.5396565081	-0.4968318847	-0.5527824900	-0.5106294837	-0.5073615055	-0.6273076220	-0.3488230937	-0.7756235601	-0.5457775964	-0.4308014737	-0.5532580658	-0.4977738790	-0.4959449606	-0.4438135885	-0.5210819354	-0.4738012724	-0.3783086771	-0.3188813461	-0.2564376855	-0.4647715498	-0.2727603711	-0.2937002481	-0.2611509359	-0.3193785630	-0.2713246574	-0.2831287699	-0.3400738377	-0.3164003984	-0.3696451361	-0.2576840140	-0.3404184901	-0.3378066924	-0.2896964768	-0.2940598059	-0.3455353495	-0.3018875633	-0.3679070724	-0.3191388199	-0.3277962607	-0.3512348859	-0.3369010975	-0.2809174720	-0.2347588884	-0.2593019870	-0.2498044193	-0.3329917327	-0.2566994038	-0.2945897431	-0.2818815823	-0.3056436648	-0.3481112286	-0.2899144070	-0.3169044753	-0.3002685323	-0.3419321981	-0.2641928303	-0.2833176399	-0.2325789768	-0.1983344033	-0.2420968029	-0.2556852209	-0.2471212604	-0.1964831628	-0.3372164834	-0.3644606301	-0.2337461004	-0.3568030542	-0.2895338497	-0.3055726273	-0.2957490515	-0.3234717813	-0.3126260501	-0.2743237633	-0.2768835277	-0.2286057092	-0.3182317406	-0.3388693545	-0.3482528587	-0.2812774698	-0.2807094411	-0.2169031669	-0.4110921203	-0.3831009967	-0.3681448312	-0.4157466744	-0.4524750276	-0.4007188194	-0.4335776189	-0.4945531711	-0.5430759120	-0.4303074914	-0.5343446679	-0.4676792620	-0.4324085069	-0.3909696837	-0.3386307089	-0.3238606127	-0.3114533887	-0.3601265017	-0.3238342562	-0.3655551945	-0.4433611753	-0.3630426451	-0.4808229474	-0.5301188143	-0.5440064141	-0.5752749124	-0.5624101544	-0.5697591441	-0.4364098062	-0.5395183866	-0.4525060604	-0.4476315960	-0.4143471134	-0.3555288317	-0.4214767173	-0.3782058923	-0.4154493782	-0.4570768031	-0.5469974544	-0.5542966097	-0.5011974373	-0.5451409181	-0.5836634198	-0.6419164495	-0.5042376616	-0.5524828864	-0.7549605154	-0.6723312403	-0.5840205107	-0.7026515693	-0.6792784634	-0.5523593295	-0.7535891336	15	935	49.0000000000	79	4568.1000000000	0	2021-208	19:17:09.960
0187	0.0320000000	0.0000000000	-0.5948096446	-0.5696943647	-0.5330717402	-0.3664645537	-0.4875137826	-0.4700044595	-0.4830388268	-0.3956037672	-0.4752330470	-0.4259984788	-0.4728211225	-0.5359808347	-0.5480609308	-0.4954322567	-0.6395440232	-0.5234826696	-0.5147627464	-0.5381179944	-0.5388280382	-0.4554232511	-0.4647390229	-0.3529776338	-0.3606298139	-0.2850977242	-0.1878771509	-0.2102487307	-0.2645053498	-0.2068054776	-0.2085637334	-0.2657326337	-0.2790720518	-0.2618218629	-0.2740764744	-0.2293339771	-0.2529249518	-0.2781252802	-0.3058770301	-0.2912807717	-0.3448748686	-0.3866050211	-0.3694860997	-0.3341282855	-0.3258973768	-0.3810716072	-0.3747380157	-0.3212490052	-0.3566056080	-0.3752262337	-0.2686319369	-0.3082385693	-0.2945897431	-0.3259979580	-0.3056436648	-0.2946034004	-0.3110102143	-0.3065042759	-0.3002685323	-0.2963850985	-0.2591958031	-0.2239281336	-0.2522216419	-0.2569222190	-0.2907839428	-0.2994744350	-0.3056495949	-0.3581130455	-0.3125369299	-0.3544754074	-0.2692159184	-0.2639769142	-0.2737494170	-0.2733499914	-0.2848012623	-0.3178988133	-0.3408827115	-0.3316824727	-0.3586790034	-0.3418299540	-0.3607387472	-0.3079325525	-0.3859759031	-0.4857081640	-0.4689482099	-0.3880974581	-0.4243997330	-0.4100055736	-0.3885973218	-0.3740712915	-0.3671533593	-0.4516795544	-0.4186862321	-0.4187386673	-0.5584554884	-0.4070384033	-0.5265498192	-0.4833175708	-0.4480706583	-0.4459120226	-0.3780724147	-0.5063128268	-0.3593692946	-0.3440641257	-0.4205637597	-0.3816827481	-0.5318708743	-0.3630426451	-0.4649108783	-0.3086724732	-0.4810782152	-0.3871151634	-0.4606391321	-0.5227990377	-0.5459936439	-0.5708538527	-0.4525060604	-0.5575761985	-0.4930858994	-0.5138477290	-0.5092893561	-0.5075955236	-0.5304412978	-0.4570768031	-0.5041762978	-0.4752744414	-0.5281730255	-0.5543602808	-0.6025396805	-0.5068492634	-0.5436066233	-0.5524828864	-0.4184208214	-0.5060566662	-0.5204098028	-0.5184702929	-0.6459423700	-0.6094826159	-0.6946753999	15	937	50.0000000000	80	4569.7700000000	0	2021-208	19:17:11.629
