SN,INTTIME(ES),SAMPLE(DELAY),ES(349.01),ES(352.33),ES(355.64),ES(358.96),ES(362.28),ES(365.60),ES(368.92),ES(372.24),ES(375.56),ES(378.88),ES(382.20),ES(385.52),ES(388.85),ES(392.17),ES(395.49),ES(398.82),ES(402.14),ES(405.47),ES(408.79),ES(412.12),ES(415.44),ES(418.77),ES(422.10),ES(425.42),ES(428.75),ES(432.08),ES(435.41),ES(438.74),ES(442.07),ES(445.40),ES(448.73),ES(452.06),ES(455.39),ES(458.72),ES(462.05),ES(465.38),ES(468.71),ES(472.04),ES(475.38),ES(478.71),ES(482.04),ES(485.37),ES(488.71),ES(492.04),ES(495.37),ES(498.71),ES(502.04),ES(505.38),ES(508.71),ES(512.04),ES(515.38),ES(518.71),ES(522.05),ES(525.38),ES(528.72),ES(532.05),ES(535.38),ES(538.72),ES(542.05),ES(545.39),ES(548.72),ES(552.06),ES(555.39),ES(558.73),ES(562.06),ES(565.40),ES(568.73),ES(572.07),ES(575.40),ES(578.73),ES(582.07),ES(585.40),ES(588.74),ES(592.07),ES(595.40),ES(598.74),ES(602.07),ES(605.41),ES(608.74),ES(612.07),ES(615.40),ES(618.74),ES(622.07),ES(625.40),ES(628.73),ES(632.06),ES(635.40),ES(638.73),ES(642.06),ES(645.39),ES(648.72),ES(652.05),ES(655.38),ES(658.71),ES(662.03),ES(665.36),ES(668.69),ES(672.02),ES(675.35),ES(678.67),ES(682.00),ES(685.33),ES(688.65),ES(691.98),ES(695.30),ES(698.62),ES(701.95),ES(705.27),ES(708.59),ES(711.92),ES(715.24),ES(718.56),ES(721.88),ES(725.20),ES(728.52),ES(731.84),ES(735.16),ES(738.48),ES(741.79),ES(745.11),ES(748.42),ES(751.74),ES(755.05),ES(758.37),ES(761.68),ES(765.00),ES(768.31),ES(771.62),ES(774.93),ES(778.24),ES(781.55),ES(784.86),ES(788.16),ES(791.47),ES(794.78),ES(798.08),ES(801.39),DARK_SAMP(ES),DARK_AVE(ES),TEMP(PCB),FRAME(COUNTER),TIMER,CHECK(SUM),DATETAG,TIMETAG2
187,0.032,0,-0.561269639,-0.431918074,-0.472822895,-0.385708104,-0.347742252,-0.433214224,-0.345085542,-0.470108926,-0.39919576,-0.52246771,-0.463053302,-0.447809979,-0.450344717,-0.591808605,-0.365455078,-0.450048779,-0.523631391,-0.461455729,-0.400646161,-0.362885762,-0.406395952,-0.284020528,-0.354120955,-0.371459196,-0.311337431,-0.295085739,-0.302916599,-0.233688469,-0.299106992,-0.276352806,-0.252408947,-0.267213027,-0.252219861,-0.240442428,-0.252924952,-0.214483699,-0.258608134,-0.321422204,-0.424708436,-0.24948673,-0.30025859,-0.321464236,-0.199209831,-0.273800369,-0.287172175,-0.284181812,-0.247139034,-0.381198701,-0.233526594,-0.296785421,-0.294589743,-0.199163378,-0.311069324,-0.283901835,-0.300462311,-0.264903478,-0.248972145,-0.1597438,-0.224216612,-0.258572012,-0.168740315,-0.222745993,-0.295652657,-0.348129117,-0.266630705,-0.323827919,-0.277985555,-0.279586237,-0.259081685,-0.289761953,-0.284272372,-0.267979552,-0.372383576,-0.340190685,-0.346534044,-0.308738989,-0.276883528,-0.341829954,-0.354666318,-0.295557832,-0.329391337,-0.332385143,-0.384565314,-0.414435041,-0.397784508,-0.410005574,-0.395414819,-0.429638469,-0.324492525,-0.349758085,-0.329337911,-0.327761263,-0.343141419,-0.391525678,-0.378447695,-0.397306873,-0.448070658,-0.438063117,-0.41751412,-0.434918482,-0.487145044,-0.456500758,-0.444746136,-0.333300087,-0.354851476,-0.403058809,-0.409218637,-0.28494608,-0.323757718,-0.324395247,-0.484124753,-0.280171821,-0.499029142,-0.484681321,-0.381955094,-0.557576199,-0.351356085,-0.371360721,-0.429459685,-0.442900708,-0.415449378,-0.448704513,-0.384277059,-0.378691791,-0.456238124,-0.388411752,-0.508158377,-0.5647352,-0.592817825,-0.562504343,-0.561195237,-0.609978275,-0.499206234,-0.659314798,-0.479261903,-0.598057959,-0.482585959,15,939,49.5,238,4406.09,0,2021-208,14:28.0
187,0.032,0,-0.404749611,-0.484908955,-0.452739947,-0.59738716,-0.534104293,-0.424016665,-0.427857513,-0.386290622,-0.532261013,-0.445292325,-0.580267149,-0.545777596,-0.528517688,-0.456881717,-0.516676565,-0.52348267,-0.567974615,-0.469973759,-0.343747741,-0.401443049,-0.289709811,-0.242646264,-0.282523512,-0.211073606,-0.234909639,-0.19893713,-0.253530707,-0.147662896,-0.2564984,-0.329453666,-0.199082738,-0.310342336,-0.2358274,-0.273767782,-0.224631038,-0.272339682,-0.288151194,-0.34553535,-0.338733825,-0.24948673,-0.35689928,-0.302468161,-0.357569263,-0.330591025,-0.31844569,-0.234758888,-0.307953798,-0.237859485,-0.30373728,-0.256699404,-0.255272917,-0.337027052,-0.305643665,-0.19828931,-0.221353033,-0.322104575,-0.290009255,-0.240716421,-0.279183912,-0.243724636,-0.247310976,-0.203216721,-0.266440373,-0.255685221,-0.232489177,-0.220972539,-0.238498269,-0.279586237,-0.254014568,-0.253662899,-0.221134641,-0.225016037,-0.235536211,-0.295606941,-0.346534044,-0.343154215,-0.393734207,-0.437176686,-0.457897619,-0.413117679,-0.385975903,-0.28127747,-0.332637377,-0.309084708,-0.297977412,-0.342744131,-0.279517372,-0.214315657,-0.36004322,-0.502640289,-0.411240539,-0.433901568,-0.558455488,-0.507871119,-0.471985879,-0.350391946,-0.448070658,-0.359574061,-0.441179144,-0.419053072,-0.335411342,-0.376188878,-0.388320592,-0.405874079,-0.395083158,-0.443074973,-0.528559155,-0.466848431,-0.465346165,-0.402795143,-0.531095994,-0.56193246,-0.491201725,-0.437678122,-0.499540038,-0.502603897,-0.414347113,-0.442604225,-0.389544849,-0.523769228,-0.464731629,-0.423587643,-0.418533985,-0.492834923,-0.465229986,-0.554360281,-0.470405855,-0.5647352,-0.533764383,-0.562504343,-0.673375135,-0.54762531,-0.60522408,-0.420962558,-0.512597996,-0.586633301,-0.682892653,15,940,49,239,4407.76,0,2021-208,14:29.6
187,0.032,0,-0.561269639,-0.44251625,-0.573237637,-0.462682306,-0.43160517,-0.479202018,-0.437054399,-0.55392723,-0.560774995,-0.493526941,-0.541195867,-0.604558167,-0.479659581,-0.418331178,-0.337101049,-0.376614888,-0.488156812,-0.393311493,-0.384389469,-0.355174305,-0.348052881,-0.435726161,-0.347612097,-0.371459196,-0.358369919,-0.323364742,-0.297429278,-0.298207649,-0.267150548,-0.308213322,-0.295069915,-0.277995354,-0.301397242,-0.273767782,-0.258583735,-0.231840494,-0.258608134,-0.267167626,-0.338733825,-0.41153562,-0.26249813,-0.35312436,-0.300559868,-0.324280952,-0.312190987,-0.321249005,-0.307953798,-0.357308832,-0.315439061,-0.285332274,-0.378840084,-0.287396129,-0.218833116,-0.316006532,-0.237174889,-0.249303179,-0.290009255,-0.321689043,-0.304169048,-0.332808895,-0.232578977,-0.271569173,-0.324864941,-0.280012562,-0.251998622,-0.304236418,-0.292793287,-0.349482796,-0.41109519,-0.222720852,-0.315841238,-0.289461309,-0.284801262,-0.290033973,-0.290020721,-0.331682473,-0.364521537,-0.341829954,-0.3303766,-0.332681994,-0.360827207,-0.313219766,-0.358601346,-0.3222535,-0.357861669,-0.389827141,-0.388597322,-0.3532336,-0.431144611,-0.437119344,-0.433577619,-0.411157217,-0.396969936,-0.407038403,-0.542139517,-0.420764336,-0.46373281,-0.406667495,-0.41751412,-0.498380122,-0.527074965,-0.601062142,-0.533414847,-0.534894508,-0.41117583,-0.395055576,-0.369438464,-0.300763675,-0.378819892,-0.387115163,-0.491953293,-0.350611981,-0.475546891,-0.437678122,-0.303565131,-0.518310269,-0.445842628,-0.48218395,-0.485340455,-0.459074412,-0.481159047,-0.440332223,-0.538433223,-0.448933719,-0.60909979,-0.51748283,-0.489282116,-0.497201607,-0.69124023,-0.532439974,-0.510204374,-0.54762531,-0.520409803,-0.605143835,-0.479261903,-0.620907273,-0.612196173,15,935,51,240,4409.43,0,2021-208,14:31.3
187,0.032,0,-0.527729633,-0.590890717,-0.472822895,-0.481925857,-0.478195681,-0.405621547,-0.501432598,-0.404916912,-0.513251691,-0.454939248,-0.560731508,-0.545777596,-0.450344717,-0.514707526,-0.478871193,-0.440869543,-0.426076299,-0.342203316,-0.392517815,-0.378308677,-0.311588462,-0.346081923,-0.360629814,-0.396133902,-0.264304943,-0.295085739,-0.319378563,-0.303584247,-0.272476622,-0.35069401,-0.305735157,-0.299560009,-0.301397242,-0.268213557,-0.292536431,-0.301267673,-0.359054539,-0.333478777,-0.369439043,-0.361674423,-0.32543223,-0.35312436,-0.351234886,-0.311660806,-0.299681581,-0.253292485,-0.338361179,-0.285639223,-0.321289952,-0.319691717,-0.283356364,-0.265337942,-0.251387072,-0.283901835,-0.274092551,-0.212902482,-0.279749977,-0.286263521,-0.354139321,-0.268470263,-0.262042975,-0.276451491,-0.266440373,-0.28487803,-0.320281679,-0.323827919,-0.287857376,-0.344490185,-0.350289788,-0.351646046,-0.247442029,-0.262609113,-0.262905684,-0.251023197,-0.295672053,-0.303003118,-0.352836469,-0.401421662,-0.348593888,-0.351244075,-0.404837425,-0.351550521,-0.319655393,-0.388097458,-0.304631218,-0.396553285,-0.354509837,-0.339341806,-0.381373637,-0.495360184,-0.441023312,-0.494553171,-0.473867818,-0.422551129,-0.518754971,-0.459860108,-0.40891528,-0.461609834,-0.488509191,-0.466649302,-0.455201107,-0.464531946,-0.404442176,-0.534894508,-0.491639193,-0.379049111,-0.441042775,-0.364034058,-0.433882066,-0.481195038,-0.499781833,-0.444532194,-0.405100138,-0.469013588,-0.436828068,-0.518310269,-0.469464264,-0.418856391,-0.41349375,-0.53185608,-0.489372755,-0.440332223,-0.58125438,-0.45771396,-0.582124202,-0.526702193,-0.508158377,-0.612973481,-0.612502306,-0.642675993,-0.469411684,-0.609978275,-0.584020511,-0.637646413,-0.590382214,-0.67803056,-0.541499692,15,938,51.5,241,4411.1,0,2021-208,14:33.0
187,0.032,0,-0.617169649,-0.453114426,-0.523030266,-0.453060531,-0.450241374,-0.350436193,-0.418660627,-0.376977478,-0.418205081,-0.483880018,-0.42398202,-0.516387311,-0.469887959,-0.553258066,-0.648995366,-0.514303433,-0.479288167,-0.546636024,-0.408774507,-0.463134709,-0.355345765,-0.30470766,-0.393174106,-0.34678449,-0.323095553,-0.295085739,-0.330353206,-0.368103427,-0.288454844,-0.35069401,-0.20974798,-0.3157335,-0.290468935,-0.25155088,-0.247266169,-0.335981263,-0.364963151,-0.363620209,-0.412426348,-0.374139722,-0.40724656,-0.403780559,-0.376572395,-0.280110442,-0.337209798,-0.358316198,-0.32011675,-0.309529093,-0.292035499,-0.319691717,-0.272122986,-0.215707019,-0.278515368,-0.278551052,-0.231900937,-0.275303678,-0.223323952,-0.296385099,-0.219219585,-0.32785977,-0.237489643,-0.208099039,-0.256702945,-0.265416157,-0.305649595,-0.274849167,-0.327344662,-0.319527128,-0.228678984,-0.325861008,-0.33162567,-0.28409087,-0.377857471,-0.340190685,-0.403047367,-0.216965054,-0.358679003,-0.258401563,-0.269652305,-0.289370471,-0.354540033,-0.332385143,-0.332637377,-0.460525812,-0.424399733,-0.430184006,-0.374962328,-0.45047616,-0.388483776,-0.393438714,-0.388903458,-0.418738667,-0.38159036,-0.337231139,-0.518754971,-0.412945181,-0.393253128,-0.438063117,-0.41751412,-0.434918482,-0.367355279,-0.376188878,-0.452806928,-0.333300087,-0.427268503,-0.371045878,-0.369438464,-0.332398867,-0.418150016,-0.387115163,-0.484124753,-0.358438665,-0.428582389,-0.429844256,-0.280048142,-0.518310269,-0.335608327,-0.45052017,-0.453408586,-0.378205892,-0.431876795,-0.331492452,-0.461355141,-0.492834923,-0.474221849,-0.51748283,-0.517596507,-0.468258639,-0.494395421,-0.492354149,-0.530600719,-0.537233149,-0.584020511,-0.605143835,-0.557046121,-0.55235933,-0.576847932,15,943,50.5,242,4412.77,0,2021-208,14:34.6
187,0.032,0,-0.438289617,-0.537899836,-0.432656998,-0.424195205,-0.422287068,-0.341238634,-0.492235712,-0.525987795,-0.456223725,-0.52246771,-0.541195867,-0.56537112,-0.401486609,-0.495432257,-0.611189994,-0.532661906,-0.434944944,-0.376275434,-0.343747741,-0.416865964,-0.318881346,-0.339186213,-0.432227257,-0.297435077,-0.317216492,-0.289429939,-0.319378563,-0.260571461,-0.267150548,-0.24449229,-0.225745842,-0.224083717,-0.252219861,-0.329310039,-0.343465475,-0.226054896,-0.317694254,-0.309365631,-0.301887563,-0.386605021,-0.38207292,-0.416444608,-0.446250545,-0.299040661,-0.355973907,-0.31507114,-0.356605608,-0.345363897,-0.368097076,-0.291058847,-0.339523259,-0.309454317,-0.300218006,-0.257147921,-0.247722792,-0.311704376,-0.248972145,-0.316628254,-0.269189858,-0.268470263,-0.237489643,-0.237392947,-0.251834231,-0.177837729,-0.222734454,-0.274849167,-0.292793287,-0.269601014,-0.31481997,-0.341332031,-0.368456013,-0.337795263,-0.31764463,-0.273315069,-0.250461395,-0.285795505,-0.311938732,-0.306074929,-0.342521459,-0.369806157,-0.348252859,-0.300442847,-0.397547298,-0.388097458,-0.371169282,-0.369648708,-0.252247384,-0.387963086,-0.367153359,-0.422559134,-0.441023312,-0.418738667,-0.435418877,-0.430307491,-0.347268301,-0.405126027,-0.51855034,-0.359574061,-0.520062555,-0.434918482,-0.495131028,-0.40831363,-0.517293263,-0.389746525,-0.443361175,-0.43507174,-0.369438464,-0.39566925,-0.449614116,-0.394955153,-0.444982052,-0.475838931,-0.60861298,-0.484681321,-0.483862046,-0.369099737,-0.382851599,-0.403024501,-0.429459685,-0.378205892,-0.415449378,-0.457076803,-0.444226679,-0.510395405,-0.447246261,-0.508263467,-0.564787159,-0.497201607,-0.504237662,-0.502375605,-0.601987927,-0.54762531,-0.637029434,-0.540138678,-0.623718308,-0.609482616,-0.623978919,15,933,50.5,243,4414.44,0,2021-208,14:36.3
187,0.032,0,-0.818409684,-0.569694365,-0.713818276,-0.481925857,-0.478195681,-0.433214224,-0.391069971,-0.283846029,-0.484737708,-0.445292325,-0.404446379,-0.418419694,-0.381943367,-0.341230099,-0.526127908,-0.459228015,-0.479288167,-0.487009818,-0.392517815,-0.432288879,-0.472031907,-0.352977634,-0.360629814,-0.297435077,-0.281942126,-0.312053141,-0.259018029,-0.287454452,-0.277802696,-0.302903236,-0.26840681,-0.321124663,-0.252219861,-0.257105105,-0.371759389,-0.307053272,-0.323602866,-0.303337345,-0.332592781,-0.330511175,-0.33801905,-0.334128286,-0.338566131,-0.305350734,-0.337209798,-0.308893274,-0.265383463,-0.333418962,-0.327140842,-0.291058847,-0.317056501,-0.314968864,-0.305643665,-0.267849486,-0.252996744,-0.176501784,-0.248972145,-0.185047744,-0.234210667,-0.313012393,-0.301328305,-0.266686855,-0.324864941,-0.250819753,-0.281262789,-0.299338543,-0.342152394,-0.249630569,-0.279350152,-0.279447938,-0.252703507,-0.332424824,-0.301222946,-0.256596165,-0.323928715,-0.325946602,-0.329466334,-0.317993271,-0.312159311,-0.369806157,-0.329391337,-0.383492817,-0.384565314,-0.355175479,-0.397784508,-0.369648708,-0.361327334,-0.367125394,-0.296051969,-0.364318295,-0.344229298,-0.358087064,-0.435418877,-0.407038403,-0.495370425,-0.295657866,-0.471563885,-0.477307645,-0.425402462,-0.434918482,-0.439229138,-0.480594322,-0.444746136,-0.518766954,-0.435314839,-0.459081438,-0.385350533,-0.364034058,-0.50467629,-0.355755205,-0.390182271,-0.397572087,-0.514683976,-0.484681321,-0.444667064,-0.494750711,-0.445842628,-0.410940446,-0.493323422,-0.49142182,-0.423663087,-0.524055124,-0.45279091,-0.4664942,-0.546156751,-0.572799006,-0.59310155,-0.593678169,-0.573133345,-0.502375605,-0.622384272,-0.526840988,-0.584020511,-0.594309642,-0.401477685,-0.563783987,-0.623978919,15,937,50,244,4416.11,0,2021-208,14:38.0
187,0.032,0,-0.550089637,-0.633283422,-0.41257405,-0.607008935,-0.496831885,-0.460806901,-0.483038827,-0.498048361,-0.494242369,-0.406704633,-0.502124584,-0.3400456,-0.391714988,-0.350867734,-0.535579251,-0.477586488,-0.585711904,-0.393311493,-0.425031198,-0.432288879,-0.442860371,-0.394351897,-0.386665248,-0.285097724,-0.264304943,-0.221560332,-0.248043386,-0.217558674,-0.245846252,-0.223251946,-0.316400398,-0.304951172,-0.295933088,-0.279322008,-0.33214791,-0.353338058,-0.329511478,-0.351563636,-0.357156956,-0.380372372,-0.38207292,-0.410112583,-0.338566131,-0.374761534,-0.399756827,-0.38302766,-0.459990705,-0.399116103,-0.332991733,-0.245246256,-0.294589743,-0.259823395,-0.349048939,-0.326708097,-0.311010214,-0.322104575,-0.295138894,-0.321689043,-0.279183912,-0.288266765,-0.262042975,-0.295980763,-0.315127513,-0.270281626,-0.359300568,-0.289542792,-0.292793287,-0.28957146,-0.29961862,-0.289761953,-0.242180552,-0.294831749,-0.339540208,-0.356909589,-0.335231379,-0.285795505,-0.241828324,-0.329911612,-0.439680331,-0.450241842,-0.398550251,-0.370715899,-0.397547298,-0.361759875,-0.344554056,-0.35619642,-0.361327334,-0.367125394,-0.395593915,-0.32791777,-0.388903458,-0.380831415,-0.404659724,-0.507871119,-0.448601333,-0.397306873,-0.448070658,-0.359574061,-0.370184074,-0.323860613,-0.431243154,-0.44846957,-0.549536431,-0.47844807,-0.507731866,-0.43507174,-0.584251396,-0.506392421,-0.449614116,-0.426315111,-0.405839351,-0.475838931,-0.358135636,-0.469013588,-0.460345057,-0.494750711,-0.54820305,-0.48218395,-0.501306389,-0.499508672,-0.563296132,-0.524055124,-0.529868992,-0.431373237,-0.528173026,-0.360753664,-0.376024552,-0.555087544,-0.592817825,-0.592568712,-0.57139341,-0.693115562,-0.626427649,-0.670148991,-0.657054401,-0.563783987,-0.718240893,15,940,52,245,4417.78,0,2021-208,14:39.6
187,0.032,0,-0.550089637,-0.410721721,-0.422615524,-0.491547632,-0.282515537,-0.442411783,-0.575007683,-0.488735216,-0.418205081,-0.397057709,-0.511892405,-0.389029409,-0.567604174,-0.514707526,-0.393809107,-0.477586488,-0.479288167,-0.401829523,-0.490057964,-0.416865964,-0.369931533,-0.373664766,-0.282523512,-0.254254342,-0.264304943,-0.261150936,-0.286454635,-0.260571461,-0.213889807,-0.19139143,-0.20974798,-0.261821863,-0.306861395,-0.295984685,-0.326489127,-0.382266049,-0.364963151,-0.393761641,-0.467695741,-0.40530297,-0.34431246,-0.289804112,-0.313228622,-0.235939933,-0.343464501,-0.308893274,-0.301872321,-0.357308832,-0.332991733,-0.296785421,-0.244039538,-0.281881582,-0.316494983,-0.337409663,-0.284640455,-0.264903478,-0.295138894,-0.306506676,-0.274186885,-0.253622887,-0.291506972,-0.281333809,-0.300521371,-0.28487803,-0.330036401,-0.289542792,-0.268113734,-0.239645346,-0.203343399,-0.305232976,-0.315841238,-0.332424824,-0.339540208,-0.356909589,-0.295672053,-0.371833569,-0.3236238,-0.288197417,-0.415390613,-0.388368238,-0.341965685,-0.35793898,-0.378074322,-0.309084708,-0.284669799,-0.342744131,-0.402232316,-0.387963086,-0.424034472,-0.415279029,-0.463360393,-0.486971721,-0.435418877,-0.492358393,-0.557729214,-0.483317571,-0.495057113,-0.461609834,-0.433290803,-0.403187662,-0.431243154,-0.464531946,-0.436685344,-0.30104498,-0.362897813,-0.379049111,-0.385350533,-0.403578048,-0.50467629,-0.489035027,-0.499781833,-0.36626535,-0.561648478,-0.484681321,-0.476023049,-0.43977841,-0.500959778,-0.355528832,-0.517272323,-0.515682376,-0.440090504,-0.532427414,-0.495612066,-0.598197814,-0.60909979,-0.591237732,-0.649730332,-0.680507074,-0.543606623,-0.522418518,-0.550997065,-0.609978275,-0.626427649,-0.529304486,-0.64594237,-0.666605902,-0.777154627,15,941,50.5,246,4419.45,0,2021-208,14:41.3
187,0.032,0,-0.527729633,-0.580292541,-0.573237637,-0.530034733,-0.552740497,-0.433214224,-0.464645056,-0.404916912,-0.484737708,-0.348823094,-0.345839455,-0.526184073,-0.489431202,-0.466519352,-0.459968507,-0.459228015,-0.443813589,-0.427383611,-0.384389469,-0.355174305,-0.362638649,-0.284020528,-0.33459438,-0.254254342,-0.287821187,-0.289429939,-0.220606779,-0.212182076,-0.181933363,-0.228562032,-0.215080601,-0.240257208,-0.279540628,-0.284876234,-0.224631038,-0.243411691,-0.30587703,-0.267167626,-0.289605476,-0.305580577,-0.28767177,-0.315132211,-0.262553604,-0.324280952,-0.230879849,-0.253292485,-0.350524132,-0.303556626,-0.30373728,-0.336871439,-0.317056501,-0.309454317,-0.240535753,-0.262498704,-0.274092551,-0.285703877,-0.290009255,-0.336871409,-0.274186885,-0.243724636,-0.301328305,-0.286216127,-0.261571659,-0.28487803,-0.271508067,-0.23076829,-0.208882805,-0.25462318,-0.238813217,-0.233034868,-0.268487939,-0.370017899,-0.290275157,-0.301179909,-0.374790705,-0.308738989,-0.311938732,-0.377584979,-0.306086882,-0.332681994,-0.316816988,-0.287665929,-0.293691425,-0.342006687,-0.331246444,-0.35619642,-0.354509837,-0.290720526,-0.388483776,-0.444399449,-0.411240539,-0.342924164,-0.435418877,-0.344987501,-0.448601333,-0.342572792,-0.307111296,-0.336027345,-0.314965686,-0.276264383,-0.29548142,-0.440438382,-0.388320592,-0.430065409,-0.378990485,-0.459081438,-0.385350533,-0.324490069,-0.394551942,-0.230315373,-0.468467672,-0.413225456,-0.397272721,-0.453345855,-0.483862046,-0.534016641,-0.351356085,-0.45052017,-0.41349375,-0.394379596,-0.382594544,-0.431959933,-0.461355141,-0.519175646,-0.393295084,-0.41606984,-0.508158377,-0.526144576,-0.632186787,-0.452268323,-0.663176963,-0.67233124,-0.584020511,-0.453465137,-0.590382214,-0.67803056,-0.612196173,15,946,51,247,4421.12,0,2021-208,14:43.0
