SN,INTTIME(ES),SAMPLE(DELAY),ES(349.01),ES(352.33),ES(355.64),ES(358.96),ES(362.28),ES(365.60),ES(368.92),ES(372.24),ES(375.56),ES(378.88),ES(382.20),ES(385.52),ES(388.85),ES(392.17),ES(395.49),ES(398.82),ES(402.14),ES(405.47),ES(408.79),ES(412.12),ES(415.44),ES(418.77),ES(422.10),ES(425.42),ES(428.75),ES(432.08),ES(435.41),ES(438.74),ES(442.07),ES(445.40),ES(448.73),ES(452.06),ES(455.39),ES(458.72),ES(462.05),ES(465.38),ES(468.71),ES(472.04),ES(475.38),ES(478.71),ES(482.04),ES(485.37),ES(488.71),ES(492.04),ES(495.37),ES(498.71),ES(502.04),ES(505.38),ES(508.71),ES(512.04),ES(515.38),ES(518.71),ES(522.05),ES(525.38),ES(528.72),ES(532.05),ES(535.38),ES(538.72),ES(542.05),ES(545.39),ES(548.72),ES(552.06),ES(555.39),ES(558.73),ES(562.06),ES(565.40),ES(568.73),ES(572.07),ES(575.40),ES(578.73),ES(582.07),ES(585.40),ES(588.74),ES(592.07),ES(595.40),ES(598.74),ES(602.07),ES(605.41),ES(608.74),ES(612.07),ES(615.40),ES(618.74),ES(622.07),ES(625.40),ES(628.73),ES(632.06),ES(635.40),ES(638.73),ES(642.06),ES(645.39),ES(648.72),ES(652.05),ES(655.38),ES(658.71),ES(662.03),ES(665.36),ES(668.69),ES(672.02),ES(675.35),ES(678.67),ES(682.00),ES(685.33),ES(688.65),ES(691.98),ES(695.30),ES(698.62),ES(701.95),ES(705.27),ES(708.59),ES(711.92),ES(715.24),ES(718.56),ES(721.88),ES(725.20),ES(728.52),ES(731.84),ES(735.16),ES(738.48),ES(741.79),ES(745.11),ES(748.42),ES(751.74),ES(755.05),ES(758.37),ES(761.68),ES(765.00),ES(768.31),ES(771.62),ES(774.93),ES(778.24),ES(781.55),ES(784.86),ES(788.16),ES(791.47),ES(794.78),ES(798.08),ES(801.39),DARK_SAMP(ES),DARK_AVE(ES),TEMP(PCB),FRAME(COUNTER),TIMER,CHECK(SUM),DATETAG,TIMETAG2
187,0.032,0,-0.337669599,-0.400123545,-0.492905843,-0.462682306,-0.422287068,-0.414819106,-0.427857513,-0.544614085,-0.475233047,-0.503173864,-0.511892405,-0.56537112,-0.616462281,-0.495432257,-0.526127908,-0.495944961,-0.39060172,-0.461455729,-0.238079246,-0.401443049,-0.406395952,-0.270229107,-0.276014653,-0.334447137,-0.299579309,-0.334676344,-0.319378563,-0.276701256,-0.261824474,-0.302903236,-0.236411084,-0.294168845,-0.285004781,-0.234888203,-0.252924952,-0.254982887,-0.246790909,-0.303337345,-0.271182345,-0.311813226,-0.23103108,-0.321464236,-0.319563,-0.336901098,-0.36222861,-0.302715409,-0.277546416,-0.321474028,-0.274482827,-0.25097283,-0.300206433,-0.265337942,-0.321920643,-0.33205888,-0.358475781,-0.332504774,-0.2694907,-0.286263521,-0.26419283,-0.332808895,-0.296417639,-0.261804537,-0.242096803,-0.294608967,-0.305649595,-0.245461915,-0.297729198,-0.284578848,-0.324954204,-0.294918961,-0.31057976,-0.273349991,-0.334066314,-0.351336621,-0.256112727,-0.274323763,-0.288568596,-0.252442392,-0.293942023,-0.283183111,-0.310529814,-0.319608225,-0.365092338,-0.374928667,-0.33790025,-0.349470276,-0.443137297,-0.471313852,-0.374263498,-0.378878505,-0.381457765,-0.380831415,-0.450798454,-0.407038403,-0.401832241,-0.350391946,-0.40891528,-0.281085006,-0.362295732,-0.276264383,-0.271523467,-0.480594322,-0.356077424,-0.341363864,-0.467500184,-0.395055576,-0.377394498,-0.379851654,-0.323757718,-0.394955153,-0.37452519,-0.381918719,-0.303343718,-0.320170124,-0.381955094,-0.376952923,-0.367103842,-0.43468828,-0.437442652,-0.467161264,-0.514013881,-0.440332223,-0.529868992,-0.440153478,-0.546156751,-0.508263467,-0.536472768,-0.506849263,-0.563291104,-0.712826187,-0.550997065,-0.54762531,-0.562816941,-0.648480606,-0.601494245,-0.655181245,-0.635761666,15,941,51.5,234,3971.83,0,2021-208,07:13.7
187,0.032,0,-0.572449641,-0.495507131,-0.271993411,-0.356842779,-0.38501466,-0.368831311,-0.363479314,-0.442169492,-0.437214403,-0.532114633,-0.394678558,-0.516387311,-0.33308526,-0.350867734,-0.441065821,-0.477586488,-0.372864431,-0.265541051,-0.376261124,-0.285771188,-0.275124043,-0.297811949,-0.282523512,-0.291266401,-0.158481846,-0.289429939,-0.220606779,-0.265948059,-0.176607289,-0.212631774,-0.20974798,-0.21330139,-0.312325549,-0.257105105,-0.247266169,-0.243411691,-0.294059806,-0.309365631,-0.215912953,-0.349209124,-0.22473767,-0.296136137,-0.351234886,-0.374761534,-0.312190987,-0.333604736,-0.307953798,-0.267721821,-0.332991733,-0.256699404,-0.277739675,-0.248794301,-0.229684435,-0.289252618,-0.252996744,-0.264903478,-0.279749977,-0.286263521,-0.259195803,-0.278368514,-0.257132308,-0.242275265,-0.232359375,-0.265416157,-0.208102371,-0.299338543,-0.258241912,-0.229660123,-0.2337461,-0.22787786,-0.294795327,-0.305572627,-0.251957895,-0.301179909,-0.363488041,-0.325946602,-0.346993936,-0.359707466,-0.300014452,-0.413117679,-0.360827207,-0.351550521,-0.384565314,-0.361759875,-0.317938831,-0.336017987,-0.402232316,-0.297666423,-0.317382386,-0.422559134,-0.336783605,-0.297435461,-0.343141419,-0.259667511,-0.456396182,-0.295657866,-0.346266674,-0.367422967,-0.314965686,-0.403187662,-0.311453389,-0.311939374,-0.323834256,-0.309108757,-0.483592857,-0.355039412,-0.401262602,-0.371942856,-0.370953867,-0.27735531,-0.523267454,-0.397572087,-0.412927555,-0.445511989,-0.272209146,-0.329833808,-0.31986057,-0.323865052,-0.501306389,-0.523769228,-0.456517921,-0.381726193,-0.392841291,-0.519175646,-0.546156751,-0.535921555,-0.498720247,-0.420020358,-0.425499738,-0.452268323,-0.520402547,-0.422919379,-0.414391956,-0.550972871,-0.534822059,-0.700879874,-0.753589134,15,946,49.5,235,3973.5,0,2021-208,07:15.4
187,0.032,0,-0.337669599,-0.548498012,-0.452739947,-0.453060531,-0.338424149,-0.332041075,-0.317494886,-0.302472319,-0.40870042,-0.329529247,-0.638874072,-0.447809979,-0.430801474,-0.466519352,-0.393809107,-0.52348267,-0.461550878,-0.367757405,-0.351876087,-0.416865964,-0.289709811,-0.18748058,-0.269505795,-0.297435077,-0.30545837,-0.272462537,-0.248043386,-0.271324657,-0.251172326,-0.24449229,-0.20974798,-0.283386518,-0.279540628,-0.351526941,-0.258583735,-0.243411691,-0.234973685,-0.315393917,-0.29574652,-0.274417329,-0.30025859,-0.239147913,-0.211878586,-0.235939933,-0.249643957,-0.197691696,-0.234976082,-0.31550156,-0.157465017,-0.25097283,-0.221572781,-0.254308848,-0.207981798,-0.267849486,-0.231900937,-0.202502282,-0.18741648,-0.205290899,-0.184240394,-0.179386004,-0.183472314,-0.222745993,-0.227490661,-0.221626943,-0.251998622,-0.196483163,-0.287857376,-0.269601014,-0.198276282,-0.248505891,-0.210611686,-0.294831749,-0.224588422,-0.206439453,-0.216553401,-0.274323763,-0.276883528,-0.252442392,-0.251435016,-0.314119913,-0.316816988,-0.313219766,-0.37158333,-0.289331521,-0.384476895,-0.262030401,-0.313604856,-0.367125394,-0.331602664,-0.3715984,-0.314446524,-0.327761263,-0.335451631,-0.313962051,-0.269319815,-0.233104631,-0.393253128,-0.336027345,-0.362295732,-0.379389547,-0.463187091,-0.376188878,-0.42056376,-0.32523631,-0.266341777,-0.379049111,-0.34557036,-0.403578048,-0.315891693,-0.355755205,-0.37452519,-0.507145669,-0.303343718,-0.343671724,-0.397633086,-0.329833808,-0.398599356,-0.315949107,-0.41349375,-0.434813856,-0.34973971,-0.323120162,-0.32432744,-0.501615164,-0.366319496,-0.508263467,-0.423215204,-0.497201607,-0.494395421,-0.572525799,-0.510204374,-0.464488023,-0.520409803,-0.583475449,-0.579270183,-0.415263442,-0.423672225,15,944,48,236,3975.17,0,2021-208,07:17.1
187,0.032,0,-0.516549631,-0.35773084,-0.442698473,-0.299112127,-0.329106047,-0.332041075,-0.335888657,-0.358351188,-0.313653811,-0.425998479,-0.492356764,-0.379232647,-0.391714988,-0.244853751,-0.356003735,-0.367435652,-0.319652562,-0.367757405,-0.425031198,-0.316617018,-0.275124043,-0.332290502,-0.308558946,-0.30977243,-0.276063065,-0.329020543,-0.259018029,-0.335843837,-0.22986803,-0.180771258,-0.257741568,-0.224083717,-0.230363247,-0.2126713,-0.224631038,-0.266554084,-0.359054539,-0.34553535,-0.332592781,-0.374139722,-0.28767177,-0.251811963,-0.275222359,-0.336901098,-0.224625146,-0.296537543,-0.277546416,-0.285639223,-0.321289952,-0.302511995,-0.317056501,-0.226736113,-0.283941028,-0.241095572,-0.247722792,-0.275303678,-0.284879616,-0.281202732,-0.26419283,-0.273419389,-0.18838298,-0.203216721,-0.217753233,-0.309205372,-0.310526956,-0.338521545,-0.282921466,-0.159763564,-0.264148802,-0.284604945,-0.205350209,-0.192793401,-0.262905684,-0.273315069,-0.340882712,-0.280059634,-0.346993936,-0.306074929,-0.293942023,-0.27080839,-0.285381118,-0.364327439,-0.287200433,-0.348591083,-0.357861669,-0.423457862,-0.402232316,-0.311558217,-0.281831691,-0.349758085,-0.359120685,-0.486971721,-0.389280148,-0.352743864,-0.425216787,-0.373849409,-0.361928826,-0.383120778,-0.496397532,-0.474582007,-0.423257169,-0.400282442,-0.501171679,-0.413937855,-0.41117583,-0.299016783,-0.377394498,-0.371942856,-0.386685917,-0.347915216,-0.421496431,-0.350611981,-0.303343718,-0.390674923,-0.280048142,-0.416218852,-0.406473235,-0.355528832,-0.41349375,-0.475248116,-0.390808253,-0.440332223,-0.529868992,-0.387472032,-0.366319496,-0.41606984,-0.479843986,-0.51649692,-0.592817825,-0.592568712,-0.57139341,-0.485272344,-0.520409803,-0.605143835,-0.390365654,-0.575208644,-0.565065186,15,939,51,237,3976.84,0,2021-208,07:18.7
187,0.032,0,-0.326489597,-0.52730166,-0.392491102,-0.327977453,-0.357060354,-0.332041075,-0.400266856,-0.404916912,-0.494242369,-0.445292325,-0.619338431,-0.428216456,-0.430801474,-0.485794622,-0.327649706,-0.376614888,-0.443813589,-0.376275434,-0.278720975,-0.378308677,-0.275124043,-0.318499081,-0.302050087,-0.211073606,-0.258425882,-0.210248731,-0.286454635,-0.282077854,-0.288454844,-0.21794186,-0.215080601,-0.234866045,-0.186650019,-0.262659331,-0.190678342,-0.197126904,-0.223156461,-0.339507063,-0.314169651,-0.305580577,-0.2436179,-0.321464236,-0.287891113,-0.336901098,-0.312190987,-0.216225292,-0.216731653,-0.285639223,-0.321289952,-0.313965143,-0.32828988,-0.325997958,-0.300218006,-0.214341658,-0.279366503,-0.24410308,-0.233583229,-0.266020365,-0.26419283,-0.28331764,-0.28168564,-0.247157583,-0.251834231,-0.153510388,-0.271508067,-0.167095911,-0.307601019,-0.28957146,-0.324954204,-0.336175023,-0.226396119,-0.219645598,-0.251957895,-0.323471781,-0.256112727,-0.297267247,-0.23598579,-0.23456488,-0.281797164,-0.314119913,-0.291668292,-0.294054388,-0.313164401,-0.276162729,-0.331246444,-0.275482689,-0.320422353,-0.367125394,-0.466695306,-0.407998924,-0.411240539,-0.365668515,-0.312382266,-0.391525678,-0.471985879,-0.381668564,-0.361928826,-0.469458739,-0.48062085,-0.323860613,-0.279509451,-0.44846957,-0.356077424,-0.30104498,-0.395083158,-0.371045878,-0.313746222,-0.316581271,-0.386685917,-0.489035027,-0.437153512,-0.4914923,-0.37379047,-0.461179722,-0.405472083,-0.408365667,-0.398599356,-0.371360721,-0.501306389,-0.49142182,-0.40723567,-0.364981613,-0.427098216,-0.501615164,-0.393295084,-0.582018369,-0.649730332,-0.574382856,-0.435341979,-0.552482886,-0.489808029,-0.568409632,-0.700640142,-0.540138678,-0.634830339,-0.598057959,-0.706458147,15,942,52,238,3978.51,0,2021-208,07:20.4
187,0.032,0,-0.393569609,-0.506105307,-0.452739947,-0.385708104,-0.478195681,-0.396423988,-0.510629484,-0.488735216,-0.541765674,-0.464586171,-0.638874072,-0.486997026,-0.372171745,-0.408693543,-0.337101049,-0.349077179,-0.461550878,-0.376275434,-0.376261124,-0.278059731,-0.282416927,-0.270229107,-0.33459438,-0.278929048,-0.234909639,-0.255495135,-0.226094101,-0.201428879,-0.235194104,-0.212631774,-0.26840681,-0.288777681,-0.263148167,-0.318201588,-0.315171562,-0.237626092,-0.288151194,-0.34553535,-0.314169651,-0.293115277,-0.30025859,-0.36578841,-0.300559868,-0.330591025,-0.249643957,-0.333604736,-0.380931513,-0.297584158,-0.292035499,-0.239519682,-0.266506296,-0.265337942,-0.316494983,-0.342760446,-0.363749733,-0.327304675,-0.320787087,-0.306506676,-0.329154185,-0.298165017,-0.262042975,-0.242275265,-0.246965517,-0.197299602,-0.16420612,-0.191585288,-0.307601019,-0.279586237,-0.238813217,-0.263976914,-0.284272372,-0.230386477,-0.284801262,-0.295606941,-0.374790705,-0.331682473,-0.26519846,-0.276279075,-0.3303766,-0.369806157,-0.392263077,-0.332385143,-0.384565314,-0.355175479,-0.357861669,-0.295661122,-0.293152366,-0.394908983,-0.274721552,-0.291517245,-0.388903458,-0.342924164,-0.373900572,-0.461332942,-0.425216787,-0.358211101,-0.322773447,-0.34387625,-0.425402462,-0.284197088,-0.439229138,-0.32800175,-0.452806928,-0.45425674,-0.330712467,-0.355039412,-0.34557036,-0.371942856,-0.323757718,-0.355755205,-0.311896869,-0.334958612,-0.334653386,-0.37500719,-0.358438105,-0.502603897,-0.390725478,-0.395108556,-0.453408586,-0.434813856,-0.440090504,-0.448704513,-0.427098216,-0.510395405,-0.465229986,-0.563579644,-0.517596507,-0.574382856,-0.47471094,-0.572525799,-0.459213512,-0.526840988,-0.562816941,-0.496801908,-0.690390495,-0.655181245,-0.65932716,15,942,51.5,239,3980.18,0,2021-208,07:22.1
187,0.032,0,-0.527729633,-0.52730166,-0.41257405,-0.424195205,-0.440923272,-0.396423988,-0.381873085,-0.498048361,-0.40870042,-0.483880018,-0.580267149,-0.447809979,-0.421029852,-0.485794622,-0.478871193,-0.495944961,-0.443813589,-0.418865582,-0.327491049,-0.33975139,-0.333467114,-0.263333396,-0.276014653,-0.315941107,-0.229030578,-0.266806737,-0.220606779,-0.233688469,-0.203237659,-0.223251946,-0.316400398,-0.321124663,-0.328718009,-0.329310039,-0.224631038,-0.208698101,-0.317694254,-0.285252485,-0.246618171,-0.305580577,-0.26879154,-0.321464236,-0.211878586,-0.336901098,-0.324700392,-0.370671929,-0.247139034,-0.237859485,-0.262781046,-0.2796057,-0.266506296,-0.199163378,-0.251387072,-0.208990875,-0.221353033,-0.264903478,-0.172027564,-0.235655632,-0.224216612,-0.243724636,-0.271864307,-0.222745993,-0.222621947,-0.270281626,-0.266630705,-0.201381038,-0.263177823,-0.274593625,-0.2337461,-0.336175023,-0.247442029,-0.192793401,-0.306696841,-0.262169133,-0.290020721,-0.216965054,-0.253513392,-0.282238246,-0.3303766,-0.345056715,-0.285381118,-0.345162062,-0.319655393,-0.289331521,-0.297977412,-0.282208833,-0.402232316,-0.3532336,-0.416924333,-0.306077455,-0.314446524,-0.282272561,-0.343141419,-0.251911149,-0.308294058,-0.358211101,-0.322773447,-0.336027345,-0.322854027,-0.395254957,-0.399299216,-0.440438382,-0.509232471,-0.430065409,-0.467500184,-0.339032947,-0.480822947,-0.43521324,-0.410283991,-0.410635132,-0.35886811,-0.381918719,-0.342480802,-0.37500719,-0.413311079,-0.392659295,-0.493085899,-0.347612887,-0.46937452,-0.467161264,-0.448304212,-0.356609323,-0.392841291,-0.431373237,-0.402286947,-0.480605379,-0.376024552,-0.477906295,-0.395973017,-0.452268323,-0.428618994,-0.537233149,-0.520409803,-0.410128366,-0.512597996,-0.438112757,-0.541499692,15,943,52.5,240,3981.85,0,2021-208,07:23.7
187,0.032,0,-0.505369629,-0.378927193,-0.342283731,-0.356842779,-0.329106047,-0.368831311,-0.372676199,-0.498048361,-0.294644489,-0.425998479,-0.42398202,-0.379232647,-0.381943367,-0.505069892,-0.488322536,-0.404152597,-0.497025457,-0.359239375,-0.400646161,-0.324328475,-0.23136674,-0.284020528,-0.341103238,-0.297435077,-0.229030578,-0.289429939,-0.269992671,-0.244441666,-0.203237659,-0.265732634,-0.225745842,-0.294168845,-0.285004781,-0.184900172,-0.252924952,-0.231840494,-0.264516746,-0.224969621,-0.240477127,-0.261952029,-0.25620472,-0.251811963,-0.199209831,-0.261180224,-0.230879849,-0.216225292,-0.234976082,-0.166189877,-0.268631937,-0.285332274,-0.249656228,-0.243279754,-0.289366687,-0.289252618,-0.163339563,-0.275303678,-0.233583229,-0.195169322,-0.204228503,-0.154640376,-0.178561648,-0.212981357,-0.222621947,-0.207030539,-0.232489177,-0.255257666,-0.179267341,-0.194711844,-0.21854475,-0.284604945,-0.236919074,-0.225016037,-0.241010105,-0.306752877,-0.210902069,-0.268587892,-0.241828324,-0.306074929,-0.312159311,-0.375993517,-0.373401555,-0.370715899,-0.241763489,-0.315669104,-0.324592637,-0.342744131,-0.320422353,-0.360179497,-0.331602664,-0.320637665,-0.314446524,-0.365668515,-0.343141419,-0.267423874,-0.362857998,-0.311296174,-0.393253128,-0.34387625,-0.236082274,-0.403187662,-0.319439373,-0.319970562,-0.243226337,-0.357491418,-0.330712467,-0.259000619,-0.34557036,-0.348216463,-0.386685917,-0.214635394,-0.398010811,-0.374092034,-0.358135636,-0.406342656,-0.381955094,-0.510457083,-0.31986057,-0.339696942,-0.437442652,-0.49142182,-0.431876795,-0.431959933,-0.504176298,-0.378691791,-0.528173026,-0.452947291,-0.442091464,-0.458610983,-0.622344547,-0.562504343,-0.540798892,-0.651546919,-0.531011588,-0.518470293,-0.54593409,-0.620907273,-0.635761666,15,947,51.5,241,3983.52,0,2021-208,07:25.4
187,0.032,0,-0.471829623,-0.463712603,-0.352325205,-0.366464554,-0.38501466,-0.29525084,-0.584204569,-0.442169492,-0.389691099,-0.416351556,-0.297000352,-0.447809979,-0.372171745,-0.370143004,-0.412711793,-0.413331834,-0.328521207,-0.274059081,-0.360004432,-0.355174305,-0.399103068,-0.332290502,-0.380156389,-0.30977243,-0.287821187,-0.283774138,-0.149271602,-0.276701256,-0.155302993,-0.223251946,-0.273739431,-0.218692554,-0.263148167,-0.257105105,-0.303853996,-0.243411691,-0.30587703,-0.224969621,-0.394003218,-0.330511175,-0.35060587,-0.416444608,-0.408244281,-0.34321117,-0.293426878,-0.234758888,-0.247139034,-0.321474028,-0.29788639,-0.302511995,-0.283356364,-0.265337942,-0.240535753,-0.251797138,-0.305736263,-0.275303678,-0.254101784,-0.235655632,-0.244204721,-0.159589502,-0.212936312,-0.217863675,-0.193409663,-0.294608967,-0.208102371,-0.269951291,-0.258241912,-0.2196749,-0.248947451,-0.258819906,-0.226396119,-0.262609113,-0.230062316,-0.267742101,-0.267415392,-0.308738989,-0.311938732,-0.294156588,-0.300014452,-0.326494634,-0.30424264,-0.294054388,-0.319655393,-0.440772625,-0.297977412,-0.383100997,-0.340874844,-0.30461232,-0.324492525,-0.276957035,-0.19531543,-0.358087064,-0.38159036,-0.344987501,-0.323883755,-0.342572792,-0.369759901,-0.430214211,-0.425402462,-0.403187662,-0.455201107,-0.512719074,-0.444746136,-0.5026394,-0.395083158,-0.411062042,-0.480822947,-0.364034058,-0.308025668,-0.293035289,-0.38235373,-0.303651875,-0.405100138,-0.37500719,-0.350599109,-0.408365667,-0.414347113,-0.46635206,-0.397527816,-0.45098756,-0.481159047,-0.507310543,-0.32432744,-0.422592996,-0.528173026,-0.480605379,-0.357148291,-0.497201607,-0.494395421,-0.492354149,-0.642780617,-0.464488023,-0.690038357,-0.475133522,-0.44592581,-0.506660701,-0.411889478,15,937,51,242,3985.19,0,2021-208,07:27.1
187,0.032,0,-0.438289617,-0.580292541,-0.422615524,-0.491547632,-0.468877579,-0.396423988,-0.391069971,-0.451482636,-0.40870042,-0.319882324,-0.521660225,-0.359639123,-0.587147417,-0.476156987,-0.450517164,-0.385794124,-0.426076299,-0.29109514,-0.360004432,-0.416865964,-0.348052881,-0.325394791,-0.373647531,-0.260423018,-0.252546822,-0.329020543,-0.253530707,-0.282077854,-0.28312877,-0.255112462,-0.273739431,-0.224083717,-0.252219861,-0.262659331,-0.224631038,-0.266554084,-0.288151194,-0.303337345,-0.265041302,-0.374139722,-0.31913882,-0.315132211,-0.268887981,-0.336901098,-0.287172175,-0.370671929,-0.283627892,-0.261749354,-0.286184609,-0.187980516,-0.305823122,-0.248794301,-0.262238391,-0.2946034,-0.305736263,-0.358505273,-0.2694907,-0.29132431,-0.26419283,-0.32785977,-0.232578977,-0.266686855,-0.276177801,-0.226492412,-0.291017511,-0.284644917,-0.263177823,-0.2196749,-0.203343399,-0.212406836,-0.194827253,-0.251868234,-0.262905684,-0.262169133,-0.318277382,-0.337418344,-0.29441113,-0.353748296,-0.385028465,-0.345056715,-0.30424264,-0.319608225,-0.293691425,-0.355175479,-0.278015992,-0.30911341,-0.374962328,-0.346287703,-0.381373637,-0.378878505,-0.388903458,-0.403575767,-0.404659724,-0.422551129,-0.440806484,-0.420764336,-0.361928826,-0.359574061,-0.449067485,-0.371456843,-0.383327248,-0.384220066,-0.404442176,-0.422001632,-0.403129494,-0.34703618,-0.456954844,-0.43521324,-0.50467629,-0.44983508,-0.499781833,-0.538452407,-0.444237223,-0.422010389,-0.334921116,-0.416218852,-0.430094871,-0.371360721,-0.285766276,-0.297337373,-0.29224375,-0.406843063,-0.392841291,-0.334790587,-0.555148614,-0.499044105,-0.442091464,-0.448963327,-0.592817825,-0.532439974,-0.510204374,-0.568409632,-0.488604449,-0.550972871,-0.44592581,-0.506660701,-0.635761666,15,944,49.5,243,3986.86,0,2021-208,07:28.8
