SN	INTTIME(ES)	SAMPLE(DELAY)	ES(349.01)	ES(352.33)	ES(355.64)	ES(358.96)	ES(362.28)	ES(365.60)	ES(368.92)	ES(372.24)	ES(375.56)	ES(378.88)	ES(382.20)	ES(385.52)	ES(388.85)	ES(392.17)	ES(395.49)	ES(398.82)	ES(402.14)	ES(405.47)	ES(408.79)	ES(412.12)	ES(415.44)	ES(418.77)	ES(422.10)	ES(425.42)	ES(428.75)	ES(432.08)	ES(435.41)	ES(438.74)	ES(442.07)	ES(445.40)	ES(448.73)	ES(452.06)	ES(455.39)	ES(458.72)	ES(462.05)	ES(465.38)	ES(468.71)	ES(472.04)	ES(475.38)	ES(478.71)	ES(482.04)	ES(485.37)	ES(488.71)	ES(492.04)	ES(495.37)	ES(498.71)	ES(502.04)	ES(505.38)	ES(508.71)	ES(512.04)	ES(515.38)	ES(518.71)	ES(522.05)	ES(525.38)	ES(528.72)	ES(532.05)	ES(535.38)	ES(538.72)	ES(542.05)	ES(545.39)	ES(548.72)	ES(552.06)	ES(555.39)	ES(558.73)	ES(562.06)	ES(565.40)	ES(568.73)	ES(572.07)	ES(575.40)	ES(578.73)	ES(582.07)	ES(585.40)	ES(588.74)	ES(592.07)	ES(595.40)	ES(598.74)	ES(602.07)	ES(605.41)	ES(608.74)	ES(612.07)	ES(615.40)	ES(618.74)	ES(622.07)	ES(625.40)	ES(628.73)	ES(632.06)	ES(635.40)	ES(638.73)	ES(642.06)	ES(645.39)	ES(648.72)	ES(652.05)	ES(655.38)	ES(658.71)	ES(662.03)	ES(665.36)	ES(668.69)	ES(672.02)	ES(675.35)	ES(678.67)	ES(682.00)	ES(685.33)	ES(688.65)	ES(691.98)	ES(695.30)	ES(698.62)	ES(701.95)	ES(705.27)	ES(708.59)	ES(711.92)	ES(715.24)	ES(718.56)	ES(721.88)	ES(725.20)	ES(728.52)	ES(731.84)	ES(735.16)	ES(738.48)	ES(741.79)	ES(745.11)	ES(748.42)	ES(751.74)	ES(755.05)	ES(758.37)	ES(761.68)	ES(765.00)	ES(768.31)	ES(771.62)	ES(774.93)	ES(778.24)	ES(781.55)	ES(784.86)	ES(788.16)	ES(791.47)	ES(794.78)	ES(798.08)	ES(801.39)	DARK_SAMP(ES)	DARK_AVE(ES)	TEMP(PCB)	FRAME(COUNTER)	TIMER	CHECK(SUM)	DATETAG	TIMETAG2
0187	0.0320000000	0.0000000000	33.8954964208	36.7358859403	38.2069356735	39.7755817638	43.5964271498	48.2954530494	50.7160234460	50.7242483521	51.6673368671	52.0532633863	50.2417032737	50.2994158226	53.3717460846	55.3450240230	60.4917421592	72.4055501044	83.6309385056	88.5689884007	91.3846337818	94.5574433621	96.6983524243	97.6074870316	97.3243185020	95.1566658915	93.0481505388	95.4972086640	101.2180152219	106.6584626283	111.4525785344	116.6411207296	120.8780757639	123.5785984772	124.7238985359	126.2737094233	126.9225575828	126.6579008426	126.1797817404	127.1044962300	128.8995291464	130.0565181539	128.3496281528	125.1919316697	124.2206287303	126.3819811262	127.3212766837	126.2076139769	125.1711469641	125.5602202895	126.0403928275	124.4337217257	121.5651038122	120.9774914901	122.9165044700	124.7906465461	126.0370541729	127.2155404098	127.0789202454	126.2283967243	125.6459026077	126.0183658028	126.5460925979	126.4441116563	125.5752099968	124.3732834876	123.5939572121	122.9507938062	121.9845225914	121.8596583541	121.8736358095	122.2768419264	122.3976003532	120.3681990753	117.6338362582	116.4023428467	117.0090319648	118.1369958068	119.4307951419	120.0691747139	119.9280173122	118.9410644750	117.7563119873	117.5091331318	116.7388947987	115.4841000949	114.1408387090	113.8268279770	114.2817000924	114.5735807789	113.6865868282	111.6910578466	109.8520332364	108.0263275385	107.5445870233	108.9809451558	111.4308609353	112.5660165135	112.3742369456	111.9975090025	111.6205952482	110.6943453105	107.4833630292	102.1901132484	98.1468003219	97.4319300467	98.1081655571	98.6449500133	99.1287294874	100.2912367884	100.7467958671	97.5186741913	89.5910584432	82.3383086822	79.3484514485	78.9663928375	81.1279282444	86.1337428884	91.2690952700	94.9366154521	97.5694452078	99.0819863259	99.3236134732	97.9591927610	90.1482122165	75.2367430689	65.3462134111	71.0339913036	83.1608672936	91.3291896094	94.2863798925	94.8417597387	94.3837911625	92.5245675290	90.5807256474	88.7661119644	87.6947051664	86.8462687600	86.1559508628	15	1035	54.0000000000	132	2280.7500000000	0	2021-208	18:39:02.637
0187	0.0320000000	0.0000000000	33.9178564247	36.7782786452	38.2370600961	39.9391519429	43.5964271498	48.1942799010	50.6240545898	50.6590563381	51.6388228843	51.9567941550	50.2612389149	50.0936838262	53.1567704132	55.3064734836	60.2932639573	72.2586823229	83.5865952819	88.5349162828	91.3114786703	94.5728662769	96.6983524243	97.5109470834	97.2982830680	95.1319911853	92.9893599293	95.4519622594	101.2015532579	106.4917880806	111.4525785344	116.5402290957	120.7180971356	123.5732073135	124.7238985359	126.1570706847	126.7924055806	126.6347584495	126.1856903525	127.0924396572	128.8074134922	129.9256325126	128.2111731333	125.1602715457	124.1762880893	126.2557796700	127.2587296546	126.3002819591	125.0920877721	125.5004956160	126.0111383748	124.3363699686	121.5033202286	120.8947732858	122.6669241427	124.6889816725	125.9263011842	127.0855379176	127.0173645807	126.1373025252	125.6209174715	126.0233149283	126.4036832755	126.2829951630	125.4973105731	124.2711086548	123.5890798509	122.8430405511	121.9598430379	121.7647987381	121.8533673421	122.2613709031	122.3976003532	120.3198651214	117.6447840474	116.4302076867	116.9807753034	118.0280142590	119.3723698022	120.0512972016	119.8672930171	118.8235046273	117.8128965539	117.3047024376	116.6480209103	115.3260745954	114.0476854195	113.7461142463	114.2953350862	114.5735807789	113.6368158549	111.7347384766	109.7180107549	108.0414904393	107.4215504122	108.9887015185	111.3529124491	112.4878249697	112.3898990970	111.9347177580	111.5969302248	110.5832874411	107.6031527941	102.2543627525	98.0903747782	97.4319300467	98.1001192208	98.5329047545	99.1366855219	100.3940511611	100.6760016433	97.4716342541	89.6380296842	82.3617887354	79.2623498617	78.9585589710	81.1514452333	86.1337428884	91.2769691486	94.8891197829	97.4975985034	99.0092046583	99.3318271817	97.9424481809	90.2167260670	75.2016221052	65.2113354700	70.8864814999	83.1231147721	91.1844747672	94.1190618052	94.8116953697	94.2308185743	92.5661361725	90.4110970931	88.7769461571	87.7836014155	86.9490906754	86.2148645965	15	1038	51.5000000000	133	2280.9900000000	0	2021-208	18:39:02.877
0187	0.0320000000	0.0000000000	33.8284164090	36.5875114732	38.3575577863	39.8333124153	43.5032461290	48.3506384030	50.6240545898	50.6497431932	51.8289161031	51.9857349244	50.2710067354	50.3777899165	53.2935731132	55.2871982139	60.4917421592	72.3137577410	83.5245147688	88.6371326366	91.3846337818	94.6037121065	96.7785741466	97.5592170575	97.2331944831	95.1875092743	93.0834249046	95.4745854617	101.2070405792	106.5348008671	111.4525785344	116.6836014176	120.8514126592	123.6379012774	124.7348268429	126.2181671668	126.8942636693	126.7157568253	126.1384214559	127.0864113708	128.8933881028	130.0128896068	128.3559215628	125.1159473719	124.3219787668	126.3504307622	127.3588049012	126.3929499414	125.1772284405	125.4347984752	125.9935857033	124.4566280215	121.5426370545	120.9223460206	122.7808629878	124.7103848038	125.9684927989	127.2415409083	127.0943091615	126.2941869793	125.7608342343	126.0728061836	126.5411819316	126.4343470203	125.5752099968	124.3635525512	123.7305233260	122.9361001805	122.0783048948	121.8496731314	121.8837700432	122.2665279109	122.4817839945	120.3574581967	117.6995229934	116.4692184626	117.0598939553	118.1656751614	119.5067480836	120.0572563723	119.9219448827	118.8977529521	117.8506195983	117.4388600806	116.7778407508	115.4972688866	114.2140305793	113.9075417078	114.4180500299	114.6222020590	113.7079172453	111.6328170066	109.8818160100	108.0718162408	107.4523095650	108.9576760676	111.4464506326	112.5738356679	112.4525477026	111.9504155691	111.5259351544	110.8212685899	107.6271107471	102.2543627525	98.0903747782	97.5770780294	98.2127679287	98.7329855738	99.1605536256	100.4731391400	100.9434464889	97.6441140239	89.6850009252	82.4557089482	79.2936595296	79.0055621700	81.1828012184	86.0552110294	91.2375997556	95.0236908456	97.5375133392	99.0577257701	99.3318271817	98.0931494018	90.2681114549	75.2982047554	65.3552052739	70.9786751272	83.3118773794	91.2905989848	94.4044867776	94.9419743018	94.2716112645	92.6596656204	90.4004953085	88.6252674590	87.6169209485	86.9376660182	86.1206026225	15	1040	53.0000000000	134	2281.2400000000	0	2021-208	18:39:03.117
0187	0.0320000000	0.0000000000	34.0855564542	36.8312695263	38.1768112509	39.9968825944	43.5218823332	48.1942799010	50.5688732760	50.5472985998	51.5912995796	51.8024433848	50.3198458383	50.2798222992	53.2349433846	55.1811842307	60.5011935021	72.4055501044	83.6486757951	88.6030605187	91.3846337818	94.6345579361	96.7494026112	97.6350698740	97.3828982285	95.2060153040	93.0657877217	95.5424550686	101.2674011138	106.6046966452	111.4579046084	116.6145702997	120.7767559660	123.5732073135	124.8113249916	126.2237213925	126.8942636693	126.6521152443	126.2270506371	127.1587508079	128.9425164518	130.0689834530	128.3810952027	125.2995760916	124.3093100122	126.4703221456	127.3838237128	126.2941040937	125.2380432036	125.5064680834	126.0813490612	124.4451748736	121.6774376005	121.0491806006	122.8948018329	124.8495051571	126.0476020766	127.2571412073	127.1250869939	126.2132143578	125.6359085532	126.1371448154	126.4871646024	126.3757592046	125.5800787108	124.4122072335	123.6671176303	122.9312023053	122.1720871982	121.7797765722	121.8888371601	122.3541970431	122.3765544429	120.3681990753	117.7268924664	116.4859373666	117.0429399584	118.0566936137	119.4483227439	120.1764397878	120.0008864662	118.9781886374	117.8569067724	117.4069177847	116.8427506711	115.5170220740	114.2739148368	113.9075417078	114.4589550111	114.6360938534	113.7719084965	111.7784191066	109.9339358639	108.0263275385	107.5599665997	108.9654324304	111.3529124491	112.5191015872	112.4603787783	111.9582644747	111.4943817898	110.6943453105	107.6750266530	102.3507370087	98.2435298254	97.4883764844	98.1483972385	98.5409079872	99.1764656946	100.3624159695	100.8018580412	97.6127540658	89.6536867645	82.4557089482	79.3562788654	79.1152363012	81.1671232258	86.0787705871	91.3399601773	95.0316067905	97.5295303720	99.1628548455	99.4386053928	98.0680325316	90.3280610742	75.3245454782	65.4361320385	70.9786751272	83.1608672936	91.3484849217	94.3159066138	94.9018884765	94.2920076096	92.6284891378	90.5489202935	88.7011068081	87.8058254778	86.9376660182	86.3680403042	15	1040	51.5000000000	135	2281.4800000000	0	2021-208	18:39:03.371
0187	0.0320000000	0.0000000000	34.0184764424	36.9266531123	38.2571430444	39.9776390439	43.5777909457	48.4150213156	50.7068265604	50.7242483521	51.6768415281	52.0629103095	50.5445057114	50.3581963931	53.5476352702	55.3450240230	60.5768042457	72.4239085771	83.6664130845	88.7393489903	91.4984306220	94.8350558285	96.9463104750	97.8902111659	97.4805311060	95.4280876598	93.3127082818	95.7517196901	101.4320207535	106.7767477913	111.6336650517	116.8535241696	121.1180437063	123.8643301510	124.9588571355	126.4958784493	127.1658852392	126.8893247735	126.4811209565	127.4722217019	129.2065813274	130.3245220861	128.7335261614	125.5908492332	124.6260288763	126.7227250581	127.6965588586	126.6709538882	125.3779171588	125.8050914508	126.2744284487	124.6456049618	121.9245719347	121.1925588215	123.1226795231	125.1277458636	126.3904089466	127.5587469893	127.3918282075	126.5522872102	125.9357301878	126.4291432215	126.7670725809	126.7468153710	125.8478579800	124.6749425179	124.0036555537	123.2446663202	122.4090109120	122.0943110886	122.2587366903	122.6533034943	122.7238119632	120.6528323597	117.9349004613	116.7478668623	117.2407365880	118.3721665151	119.6119136952	120.3909699357	120.1830593514	119.2442451346	118.2467115645	117.6816215300	117.1023903521	115.7474759275	114.4069909646	114.0756953134	114.6907499048	115.0250640942	114.0065430845	112.0477829915	110.1498609729	108.3750742559	107.7829704575	109.2058796749	111.7114754857	112.8553252258	112.7266353521	112.2879185081	111.8809105062	111.0354516238	107.9864800417	102.5595478971	98.4934143762	97.7222260121	98.4058799994	98.7890082032	99.5344872489	100.6313150980	101.1086330113	97.8009138147	89.7476292466	82.5418024766	79.3719336994	79.1700733668	81.4022931143	86.2908066063	91.4659422349	95.1424300186	97.8169171899	99.3245918846	99.6932303577	98.1852445924	90.4565245440	75.5528317423	65.5170588032	71.0524300290	83.3590680312	91.4835521078	94.5619626245	95.2125536222	94.4143856802	92.7739793901	90.7185488478	89.0261325899	88.0058420383	87.0290632763	86.5212160119	15	1035	52.0000000000	136	2281.7300000000	0	2021-208	18:39:03.714
0187	0.0320000000	0.0000000000	33.8954964208	36.6193060018	38.0462720865	39.8333124153	43.4752918228	48.3506384030	50.7344172173	50.7149352072	51.6483275453	51.9857349244	50.3296136588	50.2308384905	53.2154001418	55.2390100397	60.4350341015	72.3137577410	83.6575444398	88.5689884007	91.3602487447	94.5574433621	96.7129381920	97.5247385045	97.1615970396	95.0271236840	92.9188111978	95.4180274559	101.2015532579	106.4649050890	111.4419263863	116.6198803857	120.7660907241	123.6163366228	124.7075060755	126.2459382951	126.8376758422	126.5306176806	126.1325128438	127.0201002201	128.8196955794	129.9256325126	128.2300533633	125.1096153471	124.1699537120	126.2936401068	127.3212766837	126.2076139769	125.0981692484	125.4049361385	125.9526294695	124.3764559862	121.5089369180	120.9058023797	122.7700116692	124.7424895007	125.9579448952	127.1375389145	127.0276238581	126.1170593698	125.5809412536	126.0233149283	126.3643979452	126.3855238406	125.4291485773	124.4219381699	123.6915044363	122.9263044301	121.9549071272	121.7348430698	121.7722934725	122.1994868097	122.3765544429	120.3735695147	117.6776274150	116.4524995586	117.0429399584	118.0509577428	119.3197869964	120.0393788600	119.7519168565	118.8668161501	117.8883426427	117.3238678152	116.7129308306	115.4116717410	114.1142234834	113.8739109866	114.4316850236	114.5527430875	113.7079172453	111.5818562716	109.7850219956	107.8746985309	107.4676891414	108.9111378913	111.2827588115	112.4721866609	112.3350815671	111.9347177580	111.5969302248	110.6546817857	107.6111387784	102.3667993847	98.2677122013	97.6335244671	98.2529996101	98.6529532461	99.0173450038	100.2358752031	100.6602695935	97.4716342541	89.5127730415	82.3226553134	79.2701772787	78.9898944370	81.1984792109	86.0709174012	91.3635818131	94.9999430110	97.5774281750	99.1790285494	99.4139642672	98.1266385620	90.3537537681	75.2630837917	65.2832703719	70.9602364017	83.1703054240	91.2134177356	94.1977997286	94.7615880882	94.2716112645	92.8051558727	90.5701238628	88.7336093862	87.7391532910	86.8462687600	86.1323853693	15	1037	50.0000000000	137	2282.4200000000	0	2021-208	18:39:04.307
0187	0.0320000000	0.0000000000	34.0296564444	36.5875114732	38.0964794574	39.6793640113	43.5218823332	48.2310701368	50.4952981910	50.5845511792	51.5722902577	51.9760880012	50.1928641709	50.1720579201	53.1860852775	55.3257487533	60.3594233579	72.2219653775	83.3914850977	88.5689884007	91.3602487447	94.5805777343	96.7421097273	97.4557813986	97.2006501906	95.0641357433	93.0128761731	95.4180274559	101.1466800447	106.4649050890	111.3300788314	116.5667795257	120.7180971356	123.6109454591	124.7075060755	126.1570706847	126.8659697558	126.5826880650	126.2270506371	127.0201002201	128.7828493177	129.9505631109	128.2048797234	125.0842872479	124.1952912212	126.2557796700	127.2649843575	126.2014361114	125.0251915326	125.3093766609	125.9175241264	124.3363699686	121.4752367815	120.9719769432	122.7266063949	124.7157355866	126.0159583655	127.2467410079	127.0019756645	126.1575456806	125.6309115260	125.9985693007	126.3693086115	126.3611122507	125.4534921472	124.3684180194	123.5695704061	122.9165086796	122.0634971627	121.7697913494	121.8584344589	122.3696680664	122.3555085326	120.3413468787	117.6666796258	116.3911969107	116.9468673098	118.0394860009	119.3782123361	120.0989705678	119.8551481581	118.7183195005	117.7500248132	117.4196947031	116.7194218226	115.4116717410	114.1341849026	113.7461142463	114.3157875768	114.5666348818	113.6581462720	111.6109766916	109.8222504627	107.8898614317	107.4984482941	108.8335742640	111.4698351784	112.4878249697	112.3977301727	112.0289046247	111.6521486128	110.7657396552	107.6590546844	102.3025498806	98.1629219058	97.5367591453	98.2369069376	98.6289435478	99.2242019019	100.3940511611	100.8254561159	97.4794742436	89.6223726039	82.3304819978	79.3014869466	78.9977283035	81.1044112556	86.1258897025	91.2454736342	94.9445313970	97.5454963063	99.1385942896	99.3153997646	97.9173313107	90.3023683802	75.2718640326	65.5080669405	70.9049202254	83.2741248579	91.2713036725	94.2371686904	94.8417597387	94.2104222292	92.6908421031	90.5277167242	88.7769461571	87.7836014155	86.8119947882	86.2737783302	15	1036	51.5000000000	138	2282.6700000000	0	2021-208	18:39:04.541
0187	0.0320000000	0.0000000000	34.0184764424	36.7464841165	38.3475163121	39.8140688648	43.5405185374	48.2862554905	50.6056608185	50.6497431932	51.5532809359	51.9760880012	50.3100780177	50.3386028696	53.1958568989	55.3257487533	60.3688747009	72.2403238502	83.5422520582	88.6286146071	91.4252755105	94.6422693935	96.6983524243	97.5936956105	97.2982830680	95.1936779509	93.0657877217	95.5594224704	101.2674011138	106.5831902519	111.4206220901	116.5933299557	120.7874212079	123.5785984772	124.8167891451	126.2015044899	126.8433346249	126.5769024667	126.1502386800	127.0743547979	128.9240933209	130.0004243076	128.2615204131	125.1855996449	124.2079599757	126.3567408350	127.2962578720	126.2632147662	125.0434359616	125.4766057466	125.9935857033	124.4222685778	121.6325040851	120.9388896614	122.8513965586	124.7959973289	126.0001365100	127.2571412073	127.1507351875	126.1626064694	125.6259144987	126.0282640539	126.3791299441	126.3904061585	125.5703412829	124.3781489559	123.6622402691	122.9312023053	122.0783048948	121.7697913494	121.9040385106	122.2768419264	122.3607700102	120.3843103933	117.6831013096	116.4023428467	116.9468673098	118.0739012265	119.4366376759	120.0572563723	119.8065687221	118.8791908709	117.7751735095	117.3685870295	116.6350389263	115.4182561368	114.1541463218	113.8402802655	114.4248675268	114.6013643676	113.7790186356	111.6036965866	109.8818160100	107.8746985309	107.3984810476	109.0274833322	111.3529124491	112.4878249697	112.3272504914	112.0603002470	111.6127069071	110.7419415403	107.7389145276	102.3828617608	98.1468003219	97.4964402612	98.1483972385	98.5329047545	99.1525975910	100.2121488094	100.7782599666	97.6284340448	89.6067155235	82.4009221574	79.2623498617	79.0447315026	81.0260212927	86.1730088178	91.2769691486	94.9049516726	97.6093600437	99.0172915103	99.3482545988	97.9759373411	90.2424187610	75.2455233098	65.3102459602	70.9049202254	82.9721046863	91.2905989848	94.1781152478	94.9820601270	94.3429984723	92.6388812987	90.4853095856	88.7552777717	87.7058171976	86.7777208164	86.1912991030	15	1038	50.0000000000	139	2282.9100000000	0	2021-208	18:39:04.806
0187	0.0320000000	0.0000000000	33.9737564346	36.6934932354	38.2872674670	39.7755817638	43.5777909457	48.3782310799	50.6700390179	50.6776826278	51.6863461890	51.9760880012	50.3686849411	50.3679931548	53.3619744631	55.3835745624	60.4539367874	72.4606255225	83.7373622424	88.6626867250	91.5228156592	94.7579412545	96.7712812627	97.6902355587	97.4024248040	95.1875092743	92.9776018074	95.6329478779	101.3332489697	106.7068520132	111.6017086075	116.7420123636	120.9793955618	123.7565068778	124.9370005216	126.3681312594	127.0527095851	126.8083263977	126.3747659390	127.1949205264	129.1083246295	130.1063793506	128.4629095324	125.2995760916	124.3726537850	126.5081825825	127.5527006915	126.3867720759	125.2623691088	125.5900826263	126.1457088570	124.5711595004	121.6325040851	121.1870442746	122.9707610629	124.8976622024	126.1794508728	127.3559431014	127.2635872394	126.3296125012	125.7658312615	126.1668395686	126.5706459293	126.5319933799	125.7164027024	124.5824986215	123.8329479114	123.0732406870	122.2411899481	121.9195696906	121.9952466140	122.4160811365	122.6554127547	120.6044984058	117.9075309883	116.6029696945	117.2350852558	118.2746567092	119.4833779477	120.3313782280	120.0069588957	119.0833737642	117.9700759056	117.5794061829	116.9595885276	115.5631128447	114.3537605135	114.1025998904	114.4862249986	114.7889035908	113.8927808600	111.8293798416	109.9860557178	108.2082823476	107.6368644817	109.1748542240	111.6647063940	112.5660165135	112.5700138381	112.1858827359	111.7468087066	110.8926629346	107.7868304336	102.4952983929	98.4047456646	97.7383535657	98.3576019817	98.8050146688	99.3435424200	100.4335951505	100.9277144392	97.6441140239	89.6145440637	82.3774421042	79.3249691975	79.1309040342	81.1828012184	86.3928980229	91.3793295703	95.0474386802	97.6971726824	99.2922444768	99.4796739355	98.1350108521	90.2424187610	75.4123478875	65.4990750777	70.9971138527	83.3307536401	91.3291896094	94.4241712585	94.9920815833	94.4347820253	92.9402539642	90.7185488478	88.9611274335	87.8280495401	87.0404879336	86.4976505184	15	1040	51.5000000000	140	2283.1600000000	0	2021-208	18:39:05.040
0187	0.0320000000	0.0000000000	33.9961164385	36.7040914116	38.0663550349	39.8814212915	43.7082443748	48.1942799010	50.7620078742	50.6963089175	51.6768415281	52.1014980020	50.3491493000	50.3483996313	53.3326595989	55.3064734836	60.3688747009	72.4422670498	83.5245147688	88.6797227840	91.5065589677	94.7116725101	96.8952602881	97.6488612952	97.5000576814	95.3232201585	93.1186992703	95.5594224704	101.3222743270	106.6907222182	111.5164914228	116.8375939116	120.9633976990	123.7996361871	124.8495740659	126.3570228081	127.0979798467	126.6405440478	126.3511314907	127.1828639536	128.9547985390	130.0814487522	128.4251490725	125.2489198931	124.3916569169	126.6091437475	127.4213519303	126.4794400582	125.3475097772	125.7334218427	126.2451739960	124.5826126483	121.7673046311	121.0988115232	122.9707610629	124.9779239447	126.1741769209	127.4027439986	127.2738465169	126.3093693458	125.7908163978	126.1668395686	126.6344845911	126.5564049698	125.6920591325	124.6262878356	123.8475799950	123.0781385623	122.2461258588	121.9894662498	122.0155150814	122.4057671209	122.5817520685	120.4756078619	117.8308964638	116.5918237585	117.1729206008	118.2115621289	119.4658503458	120.1943173002	119.9644518892	118.9410644750	117.9386400352	117.5282985093	116.8038047189	115.5894504280	114.2073767729	113.9882554385	114.5066774893	114.7402823107	113.8287896088	111.7056180566	109.8148047693	108.0642347904	107.5984155407	108.9344069794	111.6335269995	112.5816548223	112.5386895353	112.1780338303	111.7783620713	110.7974704750	107.7548864963	102.3186122566	98.0984355701	97.6093331367	98.1886289199	98.5889273839	99.3276303509	100.5285007253	100.7546618920	97.7538738775	89.7789434073	82.5339757922	79.4502078692	79.0839008351	81.1671232258	86.0709174012	91.4186989633	95.0474386802	97.7450704854	99.1871154014	99.3893231415	98.0345433714	90.1824691418	75.3245454782	65.5620181169	71.0155525781	83.3213155098	91.4642567955	94.4733824606	95.0421888649	94.5163674056	92.7116264248	90.5913274321	88.9069564699	87.7502653221	86.9947893045	86.2030818497	15	1038	51.5000000000	141	2283.4000000000	0	2021-208	18:39:05.399
