SN	INTTIME(ES)	SAMPLE(DELAY)	ES(349.01)	ES(352.33)	ES(355.64)	ES(358.96)	ES(362.28)	ES(365.60)	ES(368.92)	ES(372.24)	ES(375.56)	ES(378.88)	ES(382.20)	ES(385.52)	ES(388.85)	ES(392.17)	ES(395.49)	ES(398.82)	ES(402.14)	ES(405.47)	ES(408.79)	ES(412.12)	ES(415.44)	ES(418.77)	ES(422.10)	ES(425.42)	ES(428.75)	ES(432.08)	ES(435.41)	ES(438.74)	ES(442.07)	ES(445.40)	ES(448.73)	ES(452.06)	ES(455.39)	ES(458.72)	ES(462.05)	ES(465.38)	ES(468.71)	ES(472.04)	ES(475.38)	ES(478.71)	ES(482.04)	ES(485.37)	ES(488.71)	ES(492.04)	ES(495.37)	ES(498.71)	ES(502.04)	ES(505.38)	ES(508.71)	ES(512.04)	ES(515.38)	ES(518.71)	ES(522.05)	ES(525.38)	ES(528.72)	ES(532.05)	ES(535.38)	ES(538.72)	ES(542.05)	ES(545.39)	ES(548.72)	ES(552.06)	ES(555.39)	ES(558.73)	ES(562.06)	ES(565.40)	ES(568.73)	ES(572.07)	ES(575.40)	ES(578.73)	ES(582.07)	ES(585.40)	ES(588.74)	ES(592.07)	ES(595.40)	ES(598.74)	ES(602.07)	ES(605.41)	ES(608.74)	ES(612.07)	ES(615.40)	ES(618.74)	ES(622.07)	ES(625.40)	ES(628.73)	ES(632.06)	ES(635.40)	ES(638.73)	ES(642.06)	ES(645.39)	ES(648.72)	ES(652.05)	ES(655.38)	ES(658.71)	ES(662.03)	ES(665.36)	ES(668.69)	ES(672.02)	ES(675.35)	ES(678.67)	ES(682.00)	ES(685.33)	ES(688.65)	ES(691.98)	ES(695.30)	ES(698.62)	ES(701.95)	ES(705.27)	ES(708.59)	ES(711.92)	ES(715.24)	ES(718.56)	ES(721.88)	ES(725.20)	ES(728.52)	ES(731.84)	ES(735.16)	ES(738.48)	ES(741.79)	ES(745.11)	ES(748.42)	ES(751.74)	ES(755.05)	ES(758.37)	ES(761.68)	ES(765.00)	ES(768.31)	ES(771.62)	ES(774.93)	ES(778.24)	ES(781.55)	ES(784.86)	ES(788.16)	ES(791.47)	ES(794.78)	ES(798.08)	ES(801.39)	DARK_SAMP(ES)	DARK_AVE(ES)	TEMP(PCB)	FRAME(COUNTER)	TIMER	CHECK(SUM)	DATETAG	TIMETAG2
0187	0.0320000000	0.0000000000	34.0631964503	36.6722968830	38.1667697767	39.8621777410	43.5591547415	48.2678603726	50.5136919623	50.6590563381	51.6103089015	51.9278533856	50.2417032737	50.1622611583	53.3228879774	55.2100971352	60.4728394733	72.1760691958	83.6132012161	88.5178802239	91.2301952130	94.5882891917	96.6983524243	97.4557813986	97.2071590491	94.9962803012	92.9246902588	95.2822882420	100.9162125490	106.2821007463	111.2821441650	116.3915466877	120.6434404424	123.4222547312	124.5545097780	125.9182389817	126.5660542723	126.3628353306	125.8843511365	126.8211667681	128.4942202676	129.6326979821	127.9594367343	124.7550219574	123.8405660934	126.0790976312	126.9397398059	125.8925428372	124.7697695275	125.1481200424	125.7127429578	124.0500412712	121.1944023107	120.6080168439	122.4553234304	124.3572331378	125.6362338326	126.7839321356	126.6839380637	125.7577433621	125.1961701559	125.6125375096	126.0206513050	126.0047030382	125.0883385983	123.9743150928	123.2379098438	122.5393722867	121.7278552348	121.4702346671	121.6304142006	122.0189915375	122.1345264743	120.1050475483	117.4750933147	116.3243212948	116.6982086897	117.7526924542	119.0744005693	119.7950528583	119.5029472468	118.5636354904	117.3790815433	116.9405602636	116.3883812293	115.0495299712	113.7149951000	113.4568900446	113.9953652237	114.1012597722	113.3453001547	111.3197724916	109.4350744052	107.6624179204	107.1139588842	108.5465888430	110.9943494125	112.0343140154	111.9356967064	111.6443082524	111.0605230265	110.2421811278	107.2278115308	101.8849281039	97.8646726033	97.2545269567	97.9150534864	98.4208594956	98.8343562094	99.9353408830	100.4557529469	97.2677945261	89.5362586620	82.3852687886	79.4502078692	79.1465717672	81.1984792109	86.0709174012	90.9698878833	94.5645660434	96.9787056378	98.5482540968	98.7486538751	97.3898770374	89.7114364192	74.9294346365	65.2832703719	70.7389716963	82.7550276880	90.7696255528	93.4891584179	94.1502792532	93.6189282216	92.0880967720	89.9340167841	88.2569049063	87.2835600144	86.2978852112	85.8731649409	15	1031	51.0000000000	78	1492.8800000000	0	2021-208	18:25:54.819
0187	0.0320000000	0.0000000000	34.0184764424	36.7782786452	38.2671845186	39.8044470895	43.4752918228	48.1666872242	50.6792359035	50.6683694830	51.6198135624	52.1497326177	50.4272918645	50.3581963931	53.3717460846	55.3257487533	60.3783260438	72.3045785046	83.5422520582	88.5689884007	91.4903022763	94.5265975325	96.7566954950	97.6212784528	97.3503539360	95.0826417729	93.0069971122	95.4915528634	101.1850912939	106.5616838587	111.3567092016	116.5667795257	120.7714233450	123.5732073135	124.6200796198	126.1015284282	126.6792299265	126.4380481082	126.0911525593	126.9236476373	128.7091567942	129.8757713159	128.1356522136	125.0716231982	124.0305974119	126.1674386506	127.1336355963	126.1149459946	124.9278879116	125.3332665303	125.8356116589	124.3363699686	121.3685196826	120.7624241588	122.6940524392	124.6194214959	125.8471919065	127.0075364222	126.9301607224	125.9500533381	125.5109828722	125.8500955349	126.2907379509	126.1951134394	125.3074307277	124.2808395913	123.5110420716	122.8724278025	121.9400993951	121.7498209039	121.8483002252	122.2098008253	122.2923708017	120.2876424854	117.7214185718	116.3911969107	116.9920779680	118.0452218718	119.2730467245	119.9321137861	119.6790477025	118.7430689421	117.6368556800	117.1641563353	116.4987280937	115.2865682205	113.9013016789	113.6855789483	114.1180801675	114.3165825841	113.5728246037	111.5163353266	109.7031193681	107.9429315843	107.3600321066	108.7172288230	111.3061433574	112.2297928750	112.1862911288	111.7306462135	111.3445033079	110.5277585064	107.2597554681	102.1660196844	97.9291589390	97.4077387162	98.1323045659	98.5489112200	99.0730372456	100.2042400115	100.6838676682	97.4245943168	89.7084865457	82.5104957390	79.5441368729	79.1544056338	81.3709371291	86.2436874909	91.1588609696	94.8020443894	97.1223990467	98.7180779879	98.9129280460	97.5489505484	89.8827210456	75.1752813824	65.3641971366	70.7942878726	82.9437902952	90.9143403951	93.8631635541	94.3807727484	93.8942788803	92.3582929549	90.0400346306	88.3977494117	87.3391201701	86.6520495865	85.9674269148	15	1037	51.5000000000	79	1493.1200000000	0	2021-208	18:25:55.051
0187	0.0320000000	0.0000000000	33.7948764031	36.7358859403	38.2069356735	39.8236906400	43.6150633540	48.2494652547	50.6608421323	50.5286723101	51.5057576312	51.9857349244	50.1733285297	50.3777899165	53.2544866275	55.2582853094	60.4917421592	72.3137577410	83.5954639266	88.4838081059	91.2139385216	94.4571944159	96.8369172173	97.4764685304	97.1876324736	95.0826417729	92.9070530759	95.3501578490	101.0972941527	106.4003859092	111.2075791285	116.3968567737	120.6274425796	123.3899077492	124.5763663919	126.0348777204	126.6169833167	126.3917633220	126.0025233781	126.8392516274	128.6845926198	129.7386530250	128.1293588036	124.8943265034	123.9862567709	126.1485084321	127.0210509438	126.0408116088	124.9096434827	125.1839548465	125.7888045347	124.1760258981	121.3179694779	120.5859586561	122.5475596383	124.4481964457	125.6995212548	126.8931342291	126.7814011994	125.9500533381	125.4410244908	125.7313165223	126.1581499611	126.1365256236	125.2538748738	124.1154136714	123.4183722086	122.6226361656	121.8561889131	121.6050351742	121.6304142006	122.0396195686	122.1871412501	120.1748632595	117.5681495229	116.3689050387	116.8733999902	117.8329946473	119.2087788508	119.8069711998	119.5636715419	118.5079492468	117.4859635024	117.0555525290	116.4597821416	115.0626987628	113.8414174214	113.5577822080	114.0908101800	114.2957448926	113.4661725182	111.4435342766	109.5467598064	107.7685582256	107.2369954954	108.5155633921	111.0956824446	112.0499523242	111.9200345550	111.4873301412	111.0526346854	110.1707867831	107.1239937346	101.9813023601	97.8082470596	97.3109733944	97.9955168492	98.3808433317	98.9696087966	100.1172432346	100.5186811458	97.2991544842	89.6850009252	82.4244022106	79.3875885333	79.0447315026	81.2768691738	86.1337428884	91.0643744264	94.6120617126	97.0824842109	98.5806015046	98.9375691716	97.4987168081	89.8056429637	75.0699184913	65.3821808621	70.6191199808	82.9532284256	90.7020919598	93.7056877073	94.3507083794	93.8126935000	92.0880967720	90.0188310613	88.3652468336	87.3168961078	86.5149536993	85.7671202201	15	1032	53.0000000000	80	1493.3700000000	0	2021-208	18:25:55.381
0187	0.0320000000	0.0000000000	33.7389763933	36.5451187683	38.0964794574	39.7948253143	43.5591547415	48.2770579315	50.6424483610	50.9105112492	51.7718881375	51.8699718467	50.4077562234	50.2112449670	53.2349433846	55.2775605791	60.4917421592	72.2953992683	83.6486757951	88.5689884007	91.4008904733	94.5728662769	96.7275239597	97.5109470834	97.2397033416	95.0703044198	92.9834808683	95.4406506582	101.1302180807	106.3842561143	111.3034484612	116.4871282357	120.6754361681	123.5085133497	124.5982230059	126.0404319460	126.6905474919	126.4496193047	126.0202492143	127.0080436473	128.6845926198	129.8695386663	128.0601312939	124.9703108012	123.9862567709	126.1548185050	127.1273808934	125.9852108195	124.9400508643	125.2078447159	125.8239098779	124.2103853418	121.3123527885	120.7072786892	122.5909649126	124.6140707131	125.7417128695	126.9763358241	126.8429568641	126.0006612265	125.4710066542	125.8055534052	126.1483286285	126.1218786697	125.3122994417	124.1154136714	123.4622684595	122.7156957951	121.8759325559	121.6799243447	121.7925619399	122.1530737397	122.2397560259	120.3252355607	117.5681495229	116.3911969107	117.0316372939	117.9247685822	119.2730467245	119.9499912984	119.6669028435	118.6564458965	117.6620043763	117.1449909578	116.5441650379	115.2009710749	113.9345707109	113.6519482271	114.1180801675	114.3096366869	113.4448421011	111.4144138566	109.6435538208	107.7988840272	107.1985465544	108.7404979112	111.2126051739	112.1437821768	112.0531628419	111.6364593468	111.3050616022	110.4087679320	107.3156573584	102.0616142402	98.0178276505	97.3351647249	98.1483972385	98.5809241511	98.9139165548	100.1884224157	100.4950830712	97.3697143901	89.5597442825	82.5261491078	79.4658627031	79.1309040342	81.2533521849	86.1023301448	91.1824826054	94.6833052164	97.1702968497	98.6372094683	98.9129280460	97.5238336783	89.9084137395	75.1489406597	65.4091564503	70.7942878726	82.8682852523	90.9046927389	93.7647411499	94.4910087678	93.8126935000	92.2647635070	90.1884596156	88.3977494117	87.3613442323	86.5149536993	85.7671202201	15	1033	52.0000000000	81	1494.0600000000	0	2021-208	18:25:55.980
0187	0.0320000000	0.0000000000	33.8843164188	36.8524658787	38.2370600961	39.8814212915	43.6896081706	48.2494652547	50.6056608185	50.6218037587	51.4962529702	51.9567941550	50.4761309674	50.2504320140	53.3131163560	55.2968358488	60.4255827585	72.4422670498	83.5777266372	88.6200965776	91.4090188190	94.5265975325	96.8077456819	97.5730084787	97.3503539360	95.1751719212	93.0422714779	95.4293390571	101.2070405792	106.5724370553	111.4898610526	116.6145702997	120.6754361681	123.4492105494	124.6637928476	126.1515164590	126.8263582768	126.5306176806	126.1915989646	126.9718739287	128.8442597539	129.9007019142	128.2678138231	125.0589591486	124.1762880893	126.2242293059	127.2337108429	126.1952582459	125.0069471037	125.3631288670	125.8356116589	124.2905573770	121.4640034027	120.8285987223	122.6940524392	124.6140707131	125.8155481954	126.9919361232	126.8993828901	125.9551141269	125.4060453001	125.8599937860	126.3054699497	126.2292896652	125.3999362934	124.3343597418	123.5451836000	122.8528363016	121.8956761988	121.7248578471	121.8077632904	122.2355858642	122.2923708017	120.4541261046	117.6831013096	116.4803643986	117.0542426230	118.0337501300	119.2788892585	119.9321137861	119.7033374205	118.6069470132	117.6368556800	117.1577678761	116.5506560299	115.2338930540	113.9878011620	113.7326619579	114.2612476018	114.3999333500	113.6581462720	111.5527358516	109.5393141130	107.8367912790	107.2446852836	108.7094724603	111.2048103253	112.1594204856	112.0844871447	111.7149484024	111.3129499433	110.4801622766	107.3715592487	102.1660196844	98.0823139862	97.5528866989	98.1242582297	98.4768821250	99.1048613838	100.1963312136	100.6130734443	97.3383544319	89.5440872022	82.4087488418	79.4580352861	79.1387379007	81.3239031515	86.1337428884	91.1588609696	94.6833052164	97.2261776198	98.7504253957	98.9704240058	97.7582577997	89.9597991275	75.1489406597	65.4631076268	70.7942878726	82.8588471220	90.7889208651	93.7647411499	94.4008156610	93.7922971549	92.1192732547	89.9552203534	88.2244023281	87.1391036096	86.4921043848	85.8378167006	15	1032	53.5000000000	82	1494.3100000000	0	2021-208	18:25:56.245
0187	0.0320000000	0.0000000000	34.0520164483	36.7146895879	38.4680140024	39.8236906400	43.6243814561	48.2586628136	50.7160234460	50.6869957727	51.6958508500	52.0532633863	50.2710067354	50.2210417287	53.3326595989	55.3450240230	60.4728394733	72.3963708681	83.6841503740	88.6712047545	91.4415322019	94.5497319047	96.7566954950	97.5936956105	97.3178096435	95.1196538322	92.9776018074	95.3501578490	101.2015532579	106.4433986957	111.2448616468	116.4180971177	120.6594383053	123.4492105494	124.5982230059	126.0904199769	126.8150407114	126.4959040909	126.0793353351	127.0080436473	128.8135545358	129.9069345638	128.1482390336	125.0716231982	124.0432661664	126.2999501797	127.1086167846	126.0099222814	124.9218064353	125.3272940629	125.8239098779	124.1932056199	121.3404362355	120.6797059544	122.6777754613	124.6247722787	125.7733565806	127.0283368210	126.8891236126	125.9956004376	125.4560155725	125.7808077775	126.2072566240	126.1999957573	125.2100564480	124.1251446079	123.3988627638	122.6716149180	121.8068298061	121.6399834538	121.7520250050	122.1994868097	122.2660634138	120.2607902888	117.6174145744	116.4246347187	116.9525186421	117.9534479369	119.2496765886	119.8725220783	119.6486855549	118.6811953381	117.5865582875	117.0619409882	116.4403091655	115.2207242623	113.8746864533	113.6250436502	114.1044451737	114.2887989955	113.5728246037	111.5745761666	109.7031193681	107.8443727294	107.3984810476	108.7482542740	111.0411185042	112.1750587943	112.1236425232	111.7070994968	111.2735082376	110.3135754724	107.3715592487	101.9732711720	97.9049765631	97.3835473858	98.1081655571	98.5409079872	99.0332570729	100.3465983737	100.5422792204	97.4010743482	89.6302011440	82.4870156858	79.4502078692	79.1152363012	81.2611911812	86.0866237730	91.1116176980	94.6833052164	97.0904671781	98.7099911359	98.8472183776	97.5322059683	89.8655925829	75.0874789732	65.3372215484	70.7942878726	82.7833420791	90.6731489914	93.7647411499	94.2104079911	93.7209099471	92.1816262200	90.1778578310	88.3435784481	87.4946886060	86.6520495865	85.9674269148	15	1034	53.0000000000	83	1494.5500000000	0	2021-208	18:25:56.479
0187	0.0320000000	0.0000000000	33.9737564346	36.7040914116	38.1968941993	39.8333124153	43.5871090477	48.3690335209	50.5872670473	50.8173798007	51.6673368671	51.9953818475	50.3979884028	50.2602287757	53.4206041917	55.3257487533	60.5295475310	72.4239085771	83.7462308872	88.6626867250	91.3927621276	94.7270954249	96.6983524243	97.6281741634	97.2787564926	95.2738707460	93.0657877217	95.5254876669	101.1686293300	106.4917880806	111.3993177939	116.5242988377	120.7767559660	123.5031221860	124.6965777685	126.0959742025	126.7697704498	126.4843328944	126.0438836626	126.8995344916	128.7828493177	129.9069345638	128.1293588036	125.0209669997	124.0622692983	126.2368494515	127.1774185167	126.2014361114	125.0616803905	125.4168810732	125.8356116589	124.2275650636	121.3797530615	120.8341132692	122.6832011206	124.6247722787	125.8260960991	127.0231367213	126.9045125288	126.0462083261	125.5009888177	125.9391797944	126.2612739531	126.2634658911	125.4291485773	124.2078575678	123.4964099879	122.7842660483	121.9647789486	121.7598061267	121.8432331084	122.2201148409	122.2818478465	120.4111625900	117.7214185718	116.5138022066	117.0768479521	118.0796370974	119.2555191226	119.8903995907	119.7033374205	118.7492563025	117.7751735095	117.1833217129	116.5636380140	115.2733994289	114.0277240003	113.6654005156	114.2817000924	114.4416087329	113.5443840476	111.6328170066	109.7254564483	107.9656759355	107.3292729538	108.8801124403	111.1814257794	112.3079844189	112.2019532802	111.7541929302	111.5338234956	110.5277585064	107.3875312173	102.0857078042	98.0661924023	97.4561213771	98.0920728845	98.6049338494	99.0253010384	100.2437840010	100.6524035687	97.4245943168	89.6693438449	82.5418024766	79.4345530352	79.3345845635	81.3474201403	86.2122747473	91.2297258770	94.8020443894	97.1623138825	98.6938174320	99.0032788400	97.6326734489	89.8998495082	75.0962592141	65.4361320385	70.7666297844	82.9154759041	90.8661021143	93.8730057945	94.3607298357	93.7515044647	92.2751556679	90.1036453384	88.4519203754	87.3835682946	86.5720769856	86.0852543823	15	1034	52.5000000000	84	1494.8000000000	0	2021-208	18:25:56.713
0187	0.0320000000	0.0000000000	33.8172364070	36.5451187683	38.1466868284	39.8044470895	43.5032461290	48.2402676957	50.6976296748	50.6776826278	51.6863461890	52.0532633863	50.3296136588	50.3973834400	53.3619744631	55.2679229443	60.4633881303	72.4055501044	83.5865952819	88.6200965776	91.4090188190	94.5960006491	96.7494026112	97.5867998999	97.2136679076	95.1751719212	93.0069971122	95.4180274559	101.1850912939	106.4917880806	111.3939917199	116.6039501277	120.7074318937	123.4977310223	124.6036871593	126.1292995564	126.7245001881	126.5016896892	126.0379750505	127.0080436473	128.7582851432	129.9256325126	128.2174665433	125.0906192727	124.0559349210	126.2368494515	127.1148714875	126.0655230707	125.0130285800	125.2675693894	125.8473134400	124.1989321939	121.3516696144	120.7403659709	122.6126675498	124.5177566223	125.8155481954	126.9919361232	126.7814011994	125.9854788600	125.5009888177	125.7709095265	126.2563632868	126.1999957573	125.3025620137	124.1737992902	123.4378816534	122.7597766721	121.9203557523	121.6899095675	121.7114880702	122.1479167320	122.3028937568	120.2715311674	117.6228884690	116.4692184626	116.9299133130	118.0509577428	119.2496765886	119.8903995907	119.7640617155	118.6811953381	117.6871530726	117.0363871515	116.4857461097	115.1153739293	113.9279169045	113.5577822080	114.1998901299	114.3513120699	113.5372739085	111.4653745916	109.6137710471	107.7837211264	107.2908240128	108.6629342839	111.1970154767	112.1594204856	112.1784600531	111.6835527802	111.2498432141	110.3532389972	107.1878816092	101.9331152320	97.8324294355	97.4158024930	97.9713778404	98.5168982889	98.9934769002	100.1330608304	100.5658772951	97.4245943168	89.5910584432	82.5731092141	79.5832739578	79.1230701677	81.3395811440	86.1023301448	91.2218519984	94.6912211613	97.1942457512	98.5725146526	98.8390046691	97.5070890981	89.8998495082	75.0347975276	65.2832703719	70.7297523335	82.7361514272	90.6538536791	93.7253721881	94.1803436221	93.6495227392	92.1920183808	90.0612381999	88.3002416772	87.3613442323	86.5606523284	85.9438614213	15	1030	52.0000000000	85	1495.0400000000	0	2021-208	18:25:57.072
0187	0.0320000000	0.0000000000	33.9178564247	36.7358859403	38.3274333637	39.8717995162	43.6523357623	48.2678603726	50.6976296748	50.9011981044	51.6578322062	52.1111449252	50.5054344291	50.3973834400	53.3717460846	55.4510380063	60.4917421592	72.4055501044	83.6752817293	88.7393489903	91.4984306220	94.6037121065	97.0192393134	97.6971312693	97.3763893700	95.2121839805	93.1304573922	95.5763898721	101.2893503991	106.5831902519	111.5910564594	116.6836014176	120.8940736267	123.7241598959	124.7676117637	126.2459382951	126.9055812347	126.6926144322	126.1975075767	127.0743547979	128.8381187103	130.0253549059	128.3559215628	125.1666035705	124.3156443895	126.4640120728	127.3963331187	126.2632147662	125.0069471037	125.3810462691	125.9175241264	124.3020105249	121.4359199556	120.8727150979	122.6886267799	124.6943324553	125.9157532805	127.1167385157	127.0378831356	126.1474241029	125.6608936894	125.9243324178	126.3643979452	126.3269360248	125.4778357171	124.2905705277	123.5939572121	122.9312023053	122.0240098771	121.8297026859	121.8787029264	122.3026269653	122.4239077411	120.4326443473	117.7871053070	116.4692184626	117.1955259299	118.1083164521	119.3431571323	120.0512972016	119.8612205876	118.8668161501	117.8128965539	117.3047024376	116.6610028944	115.3589965745	114.1275310962	113.7461142463	114.3362400674	114.4971759102	113.7008071062	111.5600159566	109.7254564483	107.9353501340	107.4599993532	108.9033815285	111.3217330546	112.4565483522	112.3898990970	111.8562287024	111.4786051075	110.6388163758	107.4993349979	102.2142068125	98.0984355701	97.5125678148	98.1403509022	98.7089758755	99.0730372456	100.2991455863	100.8254561159	97.5265141808	89.8102575679	82.6200693205	79.6302384597	79.2875813644	81.3866151217	86.1415960743	91.2612213914	94.8891197829	97.3219732258	98.8312939153	99.1675530108	97.8419807002	89.9769275901	75.2630837917	65.2922622347	70.7205329708	82.9532284256	90.9336357074	93.9320592371	94.4509229425	93.8024953274	92.3375086331	90.3156810313	88.4627545681	87.6058089173	86.8805427318	86.0616888888	15	1036	53.5000000000	86	1495.7300000000	0	2021-208	18:25:57.665
0187	0.0320000000	0.0000000000	33.8507764129	36.6511005305	38.0964794574	39.7755817638	43.5498366394	48.3322432852	50.6056608185	50.7242483521	51.6483275453	51.9567941550	50.4077562234	50.3288061079	53.4499190559	55.3257487533	60.5106448451	72.3688331591	83.5156461240	88.6882408135	91.2627085959	94.7656527119	96.7858670304	97.5936956105	97.3373362190	95.1998466274	93.1422155141	95.5537666698	101.2619137925	106.5025412772	111.2981223872	116.5933299557	120.6701035471	123.5893808045	124.6747211546	126.2403840694	126.8263582768	126.5595456719	126.1266042317	127.0924396572	128.8688239283	130.0128896068	128.2678138231	125.1032833223	124.0939411847	126.2179192331	127.2024373283	126.0717009362	124.8974805301	125.3272940629	125.8941205642	124.2561979333	121.4022198191	120.8175696283	122.7103294170	124.6033691474	125.8366440028	126.9919361232	126.9250310837	126.0310259595	125.5109828722	125.9144341667	126.2563632868	126.2585835731	125.4194111493	124.1835302267	123.4915326267	122.8332448006	121.9450353058	121.6899095675	121.7621592388	122.1840157864	122.2660634138	120.2983833641	117.6721535204	116.4859373666	117.0768479521	118.0681653556	119.3431571323	119.9321137861	119.7640617155	118.7554436629	117.7123017688	117.2535947640	116.6090749582	115.3260745954	114.0343778067	113.7999234001	114.2885175893	114.4277169386	113.4803927963	111.5308955366	109.6584452076	107.7988840272	107.2600648600	108.6784470094	111.1268618391	112.2141545663	112.1236425232	111.7620418357	111.3445033079	110.5118930964	107.3555872800	102.0616142402	98.0823139862	97.4561213771	97.9633315041	98.5969306167	99.0093889693	100.2437840010	100.6681356184	97.4951542227	89.7163150859	82.5965892673	79.5441368729	79.1857410998	81.3944541180	86.0552110294	91.2218519984	94.6516414370	97.2740754228	98.6048620605	98.9211417545	97.5991842887	89.8655925829	75.1225999369	65.2203273328	70.6928748826	82.9626665560	90.7985685213	93.6663187456	94.4108371173	93.7311081196	92.2335870244	90.1990614002	88.3110758699	87.2946720455	86.7205975301	85.8967304344	15	1032	51.5000000000	87	1495.9800000000	0	2021-208	18:25:57.899
