SN	INTTIME(ES)	SAMPLE(DELAY)	ES(349.01)	ES(352.33)	ES(355.64)	ES(358.96)	ES(362.28)	ES(365.60)	ES(368.92)	ES(372.24)	ES(375.56)	ES(378.88)	ES(382.20)	ES(385.52)	ES(388.85)	ES(392.17)	ES(395.49)	ES(398.82)	ES(402.14)	ES(405.47)	ES(408.79)	ES(412.12)	ES(415.44)	ES(418.77)	ES(422.10)	ES(425.42)	ES(428.75)	ES(432.08)	ES(435.41)	ES(438.74)	ES(442.07)	ES(445.40)	ES(448.73)	ES(452.06)	ES(455.39)	ES(458.72)	ES(462.05)	ES(465.38)	ES(468.71)	ES(472.04)	ES(475.38)	ES(478.71)	ES(482.04)	ES(485.37)	ES(488.71)	ES(492.04)	ES(495.37)	ES(498.71)	ES(502.04)	ES(505.38)	ES(508.71)	ES(512.04)	ES(515.38)	ES(518.71)	ES(522.05)	ES(525.38)	ES(528.72)	ES(532.05)	ES(535.38)	ES(538.72)	ES(542.05)	ES(545.39)	ES(548.72)	ES(552.06)	ES(555.39)	ES(558.73)	ES(562.06)	ES(565.40)	ES(568.73)	ES(572.07)	ES(575.40)	ES(578.73)	ES(582.07)	ES(585.40)	ES(588.74)	ES(592.07)	ES(595.40)	ES(598.74)	ES(602.07)	ES(605.41)	ES(608.74)	ES(612.07)	ES(615.40)	ES(618.74)	ES(622.07)	ES(625.40)	ES(628.73)	ES(632.06)	ES(635.40)	ES(638.73)	ES(642.06)	ES(645.39)	ES(648.72)	ES(652.05)	ES(655.38)	ES(658.71)	ES(662.03)	ES(665.36)	ES(668.69)	ES(672.02)	ES(675.35)	ES(678.67)	ES(682.00)	ES(685.33)	ES(688.65)	ES(691.98)	ES(695.30)	ES(698.62)	ES(701.95)	ES(705.27)	ES(708.59)	ES(711.92)	ES(715.24)	ES(718.56)	ES(721.88)	ES(725.20)	ES(728.52)	ES(731.84)	ES(735.16)	ES(738.48)	ES(741.79)	ES(745.11)	ES(748.42)	ES(751.74)	ES(755.05)	ES(758.37)	ES(761.68)	ES(765.00)	ES(768.31)	ES(771.62)	ES(774.93)	ES(778.24)	ES(781.55)	ES(784.86)	ES(788.16)	ES(791.47)	ES(794.78)	ES(798.08)	ES(801.39)	DARK_SAMP(ES)	DARK_AVE(ES)	TEMP(PCB)	FRAME(COUNTER)	TIMER	CHECK(SUM)	DATETAG	TIMETAG2
0187	0.0320000000	0.0000000000	32.4197361613	35.1567576831	36.5701753810	38.1783670733	41.6955343258	46.1800144928	48.4168020399	48.3680227033	49.2056296838	49.4293002931	47.8778906959	47.7228674856	50.6259204645	52.4537335701	57.0987100411	68.4768369481	79.0547178220	84.0544327761	86.4994980003	89.4524585640	91.3964258700	92.1805627960	91.7332090535	89.5863509649	87.4571635704	89.6830456690	95.0228294467	99.8624423584	104.4115086523	109.1432792985	113.0444555992	115.5942851028	116.5987023110	117.9423709486	118.4457010892	118.1357145856	117.5768425537	118.2911414779	119.9029002439	120.8571273657	119.0857286672	116.2194525053	115.1688035952	117.0178330722	117.9016940947	116.7678355170	115.6414735820	115.9744101942	116.3864234528	114.8302572160	112.0897487685	111.4869561744	113.0743585180	114.8114365897	115.8846968684	116.9349433237	116.7734760502	115.8993266991	115.3220443240	115.6400495732	115.9390534143	115.8397170057	114.9808883655	113.9076613251	113.1661589461	112.5281153116	111.7227642371	111.4350858105	111.4100395092	111.7256040109	111.6904934786	109.9334354608	107.4852356657	106.4378760740	106.8818445292	107.6518237387	108.5695244773	109.1340963428	108.7183124464	107.8038157514	106.7034599778	106.2015603600	105.5224605782	104.3433023759	103.0755586806	102.8026775891	103.1010052197	103.3003896912	102.4810077162	100.6252982485	99.1153433327	97.3213196049	96.7173652381	97.7652446505	99.9412540668	100.7512742393	100.5806369420	100.1613594209	99.8117485451	98.9618746738	96.1033353662	91.3239158655	87.7806218619	87.3118901409	88.0985232273	88.4008120614	88.8972690696	89.8120795736	90.1591263889	87.5070075509	80.7604651314	74.5664110752	72.0532988252	71.7592356470	73.6573647878	77.7779530969	82.0566573115	85.1366757093	87.3113324035	88.5124708182	88.7854254111	87.5022024857	80.6761723774	67.1589214164	58.2426418462	63.0315844555	73.9586901894	81.3342178401	83.9520274440	84.5096382819	83.8490789229	82.4961322801	80.5196320198	78.8203230417	78.0494621398	77.1810087125	76.5530122650	15	1008	43.5000000000	110	1265.1900000000	0	2021-208	17:29:49.202
0187	0.0320000000	0.0000000000	32.4644561691	34.9341959824	36.4597191649	38.0244186694	41.5650808968	46.0420511087	48.3524238405	48.4239015725	49.1390970572	49.4678879856	47.7606768491	47.7130707239	50.5282042503	52.2802561430	57.0703560123	68.2932522211	79.1079296904	83.7307476558	86.2637759742	89.3753439900	91.2359824255	91.9599000571	91.5900141666	89.5801822884	87.3689776560	89.5982086603	94.9405196269	99.8785721533	104.3582479119	109.1114187825	112.9964620108	115.5511557935	116.5003475484	117.7590815021	118.3042315216	117.9505754408	117.4114014155	118.0680948802	119.6204122374	120.6140540318	118.9661538776	115.9851675871	115.0167785404	116.9547323441	117.7140530073	116.6566339383	115.6293106294	115.8788507166	116.2343002990	114.6641865715	112.0223484955	111.2553452021	112.9278657172	114.6348607567	115.7423001685	116.7893405324	116.6195868885	115.7475030339	115.1421513432	115.6202530711	115.8555720874	115.7469529641	114.9468073676	113.8152174288	113.0491022770	112.2734257995	111.5401355411	111.2503591898	111.2732273542	111.4935386609	111.5905254046	109.8152857956	107.3921794575	106.2372492262	106.7066532287	107.5026910944	108.4176185939	108.9553212196	108.7243848759	107.6553191017	106.7537573703	106.1376757681	105.5094785942	104.2708740219	103.0090206167	102.7219638583	103.0191952572	103.2587143083	102.3032542404	100.5379369885	98.8175155961	97.2758309026	96.5635694741	97.8350519151	99.8243313375	100.6261677691	100.4788329579	100.0436258375	99.7644184982	98.7080281151	95.9436156797	91.2676975494	87.7161355262	87.2231885959	87.9054111567	88.2887668026	88.7063242406	89.8753499568	90.0726001153	87.4599676136	80.7682936716	74.3942240184	71.8263037328	71.6182260498	73.4849068696	77.6444489367	81.9306752539	85.0179365364	87.1197411915	88.5771656339	88.5882964060	87.4184795852	80.5734016016	67.2379435848	58.1077639051	62.8011003873	73.9114995376	81.0833787802	83.8339205588	84.3994022625	83.8082862327	82.3610341886	80.5196320198	78.9503333544	77.9605658907	77.0439128253	76.5176640248	15	1004	45.5000000000	111	1265.4400000000	0	2021-208	17:29:49.552
0187	0.0320000000	0.0000000000	32.4644561691	34.9129996299	36.4597191649	38.1398799723	41.6023533051	46.2260022875	48.2880456411	48.3866489930	49.3577042588	49.5836510633	47.9071941576	47.8992091969	50.6943218145	52.5019217444	57.3160909289	68.4309407663	79.2409593614	83.9181443044	86.5563964203	89.4061898196	91.4474760570	92.1943542172	91.7267001950	89.6912184663	87.6394144600	89.7735384782	95.1764744438	100.0667530943	104.5872690956	109.3344423944	113.2417625741	115.6859348849	116.7243778411	118.0201301077	118.4457010892	118.1935705683	117.7186492436	118.3695092014	119.8844771131	120.8945232632	119.1927166368	116.2574446542	115.2384817453	117.1124841644	117.9454770151	116.8975706922	115.7631031083	116.0341348677	116.4800377013	114.9390621210	112.2357826933	111.5917325666	113.3022362082	114.9184522461	116.0059977608	117.1325471119	116.9478837668	116.0005424760	115.4569640595	115.7736759624	116.1256587333	115.9373633653	115.0977375012	113.9903742851	113.2637061702	112.7044388200	111.8066747191	111.5948493744	111.4708449115	111.8751572365	111.9009525818	110.0945486407	107.6166091362	106.4936057539	107.0513844974	107.6862389643	108.7856982345	109.3247898076	109.0401512102	107.9399376802	106.8669265035	106.4379333502	105.7821002593	104.5671718336	103.3350571298	102.9573789063	103.3055301259	103.4184699429	102.5592192455	100.8145809784	99.1972459602	97.4122970094	96.8404018493	98.0289609833	100.2218686172	100.9389339445	100.8938799700	100.4282222099	99.9537386858	99.1363941830	96.3029849743	91.5728826940	87.9095945332	87.5538034454	88.1950792627	88.5128573203	88.9927414840	90.0414347127	90.4894994336	87.6324473835	80.8230934528	74.6994647099	72.0219891572	71.8845775112	73.6730427804	77.9507231865	82.3164953052	85.3108264964	87.5109065825	88.7308158211	89.0564777930	87.7198820271	80.8560212351	67.3872076805	58.4494546892	63.0131457300	74.1285765359	81.3342178401	84.0602920887	84.7802176023	84.1142314091	82.7351519803	80.8164819899	79.2428565580	78.2828147937	77.3523785715	76.8947119206	15	1008	44.5000000000	112	1266.1300000000	0	2021-208	17:29:50.142
0187	0.0320000000	0.0000000000	32.2408561298	35.0719722733	36.3492629489	37.9955533437	41.5091722843	46.2443974054	48.4903771249	48.4052752827	49.3481995979	49.6511795252	48.0146401839	47.7914448178	50.6161488431	52.5308346489	57.3538963007	68.5778085479	79.1966161378	83.9777705108	86.4669846174	89.4139012770	91.3964258700	92.1460842430	91.7787710630	89.7405678787	87.6041400942	89.8527196863	95.0941646240	100.0344935044	104.6032473177	109.2866516204	113.2897561626	115.7991493217	116.7899476828	118.0423470103	118.4966301336	118.2977113372	117.7363750799	118.5021315028	119.9950158982	120.9443844599	119.3059980164	116.1941244060	115.2764880089	117.1692748197	118.0080240442	116.9778829435	115.8725696819	116.1894190188	116.6965206509	115.0421404521	112.3593498604	111.6303343953	113.3022362082	114.9933632055	116.1431205088	117.1533475106	116.9837912379	116.1118798305	115.5868867679	115.9369971048	116.2631573894	116.0984798586	115.2340614928	114.1509347366	113.4100270065	112.7779069485	111.9646238616	111.6248050427	111.5924557159	111.9112562910	111.9483058800	110.1589939126	107.8081954472	106.6552218257	107.0852924911	107.9443531563	108.9785018558	109.4618507354	109.0522960692	108.0079986446	107.0178186811	106.5018179421	105.8859561317	104.6791065625	103.4215566129	103.0919017908	103.3396176103	103.5157125031	102.7440828603	100.8437013984	99.2493658141	97.6700663223	97.0787852835	98.1220373360	100.3387913465	101.1656894216	100.9800218027	100.4910134543	100.0878404854	99.3109136921	96.4227747392	91.7174440782	87.9902024528	87.5941223295	88.3640523245	88.7369478380	89.3189389002	90.1600666811	90.5917577569	87.7578872161	80.9013788545	74.7229447631	72.1472278289	71.9315807102	73.7514327432	77.9742827442	82.3007475480	85.3583221655	87.5109065825	88.9006397122	89.1139737528	87.9124446983	80.8388927725	67.4311088852	58.4854221402	63.1790942591	74.1285765359	81.4596373700	84.0898188099	84.6699815829	84.0326460287	82.6520146933	80.8270837745	79.1020120526	78.1494704201	77.4209265151	76.9300601609	15	1010	46.0000000000	113	1266.3700000000	0	2021-208	17:29:50.401
0187	0.0320000000	0.0000000000	32.4979961750	35.1249631544	36.5400509584	38.0244186694	41.5837171009	46.1892120517	48.3248331836	48.3121438342	49.1676110401	49.5064756782	47.7802124902	47.6934772004	50.5086610074	52.3284443172	57.2310288424	68.4217615300	79.1167983351	83.9266623339	86.4751129631	89.4755929362	91.4401831731	92.2012499278	91.8308419310	89.8330980270	87.5865029114	89.8470638858	95.0886773026	100.0613764960	104.5499865773	109.3556827384	113.2684256788	115.8314963036	116.7899476828	117.9979132051	118.5871706569	118.1877849700	117.7363750799	118.5503577942	120.0380032036	121.0254089045	119.3878123461	116.3967492001	115.3651692909	117.2071352566	118.1080992909	117.0211280019	115.9333844450	116.0580247371	116.5619501687	114.9848747126	112.2750995192	111.5641598318	113.3456414825	115.1057296447	116.1747642199	117.1273470122	117.0453469025	116.1726092966	115.5818897406	115.9419462303	116.2877107208	116.1717146283	115.3022234885	114.2190512919	113.4783100635	112.7730090732	111.9448802188	111.6697385450	111.6583282350	111.9370413299	111.9798747455	110.1965869879	107.7370348174	106.6552218257	107.0174765038	107.8984661888	108.8558086422	109.4439732231	109.0462236397	108.0760596091	107.0303930292	106.4826525645	105.9054291077	104.7054441457	103.4681332577	103.0919017908	103.4623325540	103.5921173719	102.6872017481	100.9601830784	99.3089313615	97.5942518185	96.9557486723	98.0677427969	100.2218686172	101.0718595690	100.9721907270	100.5224090766	100.1115055088	99.2553847574	96.3509008803	91.7816935823	87.9579592850	87.6183136599	88.2755426254	88.7049349069	89.1995983821	90.2549722559	90.5524276326	87.8911670382	81.0579496579	74.8325183447	72.2646390836	72.0334209749	73.8533396949	77.9036040712	82.3479908196	85.3424902758	87.5827532870	88.8035974887	89.1221874614	87.7533711873	80.8731496977	67.5101310535	58.4044953755	63.1606555337	74.3079010128	81.4499897139	84.2177679355	84.7501532334	84.1754204444	82.7767206238	80.8906944824	79.2861933289	78.2605907314	77.5580224023	76.8711464271	15	1003	47.0000000000	114	1266.6200000000	0	2021-208	17:29:50.635
0187	0.0320000000	0.0000000000	32.3973761573	35.2733376215	36.5601339068	38.1013928714	41.6768981217	46.2260022875	48.4443926967	48.3028306893	49.2911716323	49.5932979864	47.8485872342	47.9285994821	50.6552353288	52.3477195869	57.3727989866	68.4768369481	79.1256669799	83.9351803634	86.4832413088	89.5218616806	91.5422835469	92.2288327701	91.8113153555	89.8392667035	87.5218332409	89.9149334927	95.0941646240	100.0990126842	104.6991166505	109.4300239424	113.3590802348	115.8314963036	116.8172684502	118.1423230720	118.6607348321	118.3787097131	117.7954612006	118.4599334978	120.0257211163	120.9630824086	119.3059980164	116.3460930016	115.3778380454	117.3017863488	118.1518822113	117.0890845222	115.9881177318	116.2790060290	116.6965206509	115.0994061915	112.5222338535	111.6965089588	113.3619184604	115.2180960839	116.2907911605	117.3145506010	117.0761247349	116.2738250734	115.6568451493	115.9914374856	116.3220853849	116.1668323103	115.3655167704	114.1412038002	113.5222063144	112.7779069485	112.0189188794	111.6647459336	111.7394021046	112.0195534543	112.1008887298	110.3684410464	107.9395689177	106.7611082176	107.1418058138	108.0303912203	109.0193995936	109.4618507354	109.1251652232	108.0946216903	107.1309878143	106.7190255547	106.0806858924	104.7120285415	103.6012093855	103.3878521368	103.6464049696	103.7866024923	102.8649552238	100.9965836034	99.4131710693	97.6549034215	97.1172342245	98.2849209533	100.3933552869	101.3298916637	101.1523054681	100.6636893766	100.4112624726	99.3347118070	96.5265925354	91.7977559584	88.1352967081	87.6505687672	88.3962376696	88.8970124935	89.2712026929	90.3024250433	90.6389539062	87.8284471219	81.0970923588	74.9186118731	72.3116035854	72.0099193754	73.9160516651	78.0606677891	82.3873602126	85.5958005115	87.7823274661	88.9491608239	89.0811189187	87.9124446983	80.8817139290	67.4750100898	58.5843326303	63.1514361710	74.3079010128	81.4982279946	84.2079256951	84.9305394470	84.2672039973	82.7767206238	80.9224998363	79.2428565580	78.4050471362	77.6951182895	77.2246288295	15	1006	46.5000000000	115	1266.8600000000	0	2021-208	17:29:50.885
0187	0.0320000000	0.0000000000	32.4197361613	35.2097485642	36.5300094843	38.1206364218	41.6582619175	46.2443974054	48.5087708961	48.3493964136	49.3672089198	49.4775349088	47.8876585165	47.7424610091	50.6552353288	52.4248206656	57.3444449578	68.4401200027	79.3030398746	83.9011082454	86.5401397289	89.4601700214	91.4620618246	92.2150413489	91.8959305159	89.7529052318	87.7099631914	89.8866544898	95.1874490865	100.2011680522	104.6511819841	109.4990550604	113.3057540254	115.8800167765	116.8227326037	118.0923350411	118.6267821358	118.2282841579	117.7127406315	118.5383012213	120.0625673780	121.0378742036	119.3815189361	116.3967492001	115.4348474410	117.3396467857	118.2457027550	117.1076181186	116.0793398765	116.2790060290	116.7608804467	115.1051327655	112.4211334440	111.7626835223	113.3239388454	115.1752898213	116.2222297865	117.2833500029	117.1017729285	116.3041898064	115.7118124489	116.1151656238	116.4153880444	116.2010085362	115.4482849081	114.3358225294	113.6538950670	112.9101495797	112.0435984329	111.8195168861	111.7394021046	112.0350244777	112.1587649832	110.3791819251	107.9997817583	106.8669946095	107.2717864561	108.1336368972	109.0252421276	109.5333607847	109.3073381084	108.2616804211	107.2252954253	106.7637447690	106.0482309323	104.7778724997	103.6211708046	103.1726155215	103.5236900259	103.7449271094	102.8720653629	101.2295469634	99.3610512154	97.7913695283	97.1326138009	98.2616518651	100.4167398327	101.4159023619	101.2306162251	100.7186317155	100.3954857903	99.6202891856	96.6304103316	91.8941302145	88.2481477955	87.8118443035	88.3720986608	88.8970124935	89.1916423475	90.3182426391	90.6861500554	88.0244468604	81.2145204613	74.9890520326	72.3820503382	72.1744305721	73.9552466466	78.1313464621	82.5133422701	85.5403888974	87.8142593347	89.1917663826	89.3193164664	88.0715182093	81.0701270181	67.7120765948	58.6292919440	63.5202106801	74.3834060557	81.6622381491	84.3850860228	84.8603892528	84.4405729306	82.8598579109	81.1345355292	79.3945352562	78.5383915098	77.7636662331	77.1185841088	15	1009	46.5000000000	116	1267.1100000000	0	2021-208	17:29:51.228
0187	0.0320000000	0.0000000000	32.3638361514	35.3369266789	36.6103412778	38.1206364218	41.6023533051	46.1892120517	48.6007397523	48.5449724556	49.3481995979	49.6415326021	47.9951045428	47.8894124352	50.5672907360	52.5308346489	57.4295070443	68.6787801477	79.3207771641	84.1822032183	86.7352200263	89.6221106267	91.7246056430	92.3874341137	92.0586519783	89.9626402346	87.8510606544	90.0393611055	95.3410940836	100.2710638303	104.7896599092	109.6530475544	113.4763978956	116.0848809955	116.9593364407	118.3644920980	118.8304983132	118.5233496699	118.0199884596	118.7131215276	120.2713628611	121.4118331788	119.6521355651	116.6120380439	115.5171943456	117.4532280963	118.3520327045	117.3176655451	116.2313767844	116.5119322556	116.8896000384	115.4258209065	112.5447006111	111.9281199311	113.6494784028	115.3518656544	116.4964752826	117.5277546883	117.4557180004	116.5116821489	116.0016400290	116.2933341427	116.6118146959	116.4548890711	115.6527708955	114.5304412586	113.8197253481	113.1305539652	112.2805221467	111.9692952273	112.0028921810	112.3083458899	112.3587011312	110.5456655442	108.1749463856	107.0397566173	107.4469777567	108.2196749612	109.2823136226	109.7776867865	109.5805974361	108.4720506748	107.4013362992	106.9490100856	106.3662895416	105.0675859156	103.8474002219	103.4954704444	103.8032073977	103.8977368468	103.1849114802	101.2805076983	99.6365418717	97.9505799862	97.3479278705	98.5331245606	100.6116110483	101.5253705233	101.4890417232	101.0561346545	100.6084710013	99.7075489401	96.9578356890	92.0547539748	88.4013028428	87.9328009558	88.6859057756	89.0330674506	89.5576199364	90.5792329697	90.9221308016	88.1420467035	81.3867483450	75.1925458270	72.4211874231	72.3937788344	73.9474076503	78.4219143402	82.6550720849	85.6749599601	87.9100549407	89.2241137904	89.4835906373	88.1301242396	81.1900262565	67.8086592450	58.7012268459	63.5570881310	74.6099211845	81.8841342405	84.6901954760	85.2111402237	84.5425546560	83.3171129896	81.3359694374	79.7845661943	78.9162005685	77.8893374630	77.3542390437	15	1008	46.0000000000	117	1267.8000000000	0	2021-208	17:29:51.821
0187	0.0320000000	0.0000000000	32.5650761868	35.1991503880	36.6505071745	38.2649630505	41.6582619175	46.0696437855	48.3800144974	48.5170330210	49.2721623104	49.6897672178	47.9267297988	47.8698189117	50.8115812716	52.5790228231	57.5618258456	68.6696009114	79.5158873482	84.1140589825	86.5889098032	89.6375335415	91.5714550823	92.3529555608	91.9805456764	89.9009534691	87.8334234715	90.0110821026	95.3410940836	100.4054787882	104.8695510198	109.6636677264	113.4977283794	116.0848809955	117.1068685847	118.3200582928	118.8814273576	118.6274904388	118.0258970717	118.7854609647	120.3634785154	121.3744372813	119.6521355651	116.6690262672	115.6565506458	117.5668094069	118.4020703278	117.4041556619	116.2617841659	116.4641525168	116.9539598342	115.3971880368	112.6458010206	112.0163526824	113.6657553806	115.4214258310	116.4859273789	117.5225545886	117.4762365553	116.5774724039	116.0066370563	116.3230288959	116.6412786936	116.5232415228	115.6673770374	114.6326160914	113.8636215990	113.2040220937	112.3496248966	112.0841252888	112.0788989338	112.3857010066	112.4376232949	110.6852969668	108.2406331208	107.1344970732	107.6617283831	108.3114488961	109.3524240303	109.9981761051	109.5927422951	108.5462989996	107.5333669546	107.0576138919	106.3662895416	105.2058582277	103.9338997050	103.5761841752	104.0486372851	104.0922219673	103.2346824534	101.4843506383	99.7854557400	98.1325347953	97.4786542699	98.5874190997	100.7207389290	101.6504769934	101.5125349503	101.1346237101	100.6242476836	99.7868759897	97.0137375792	92.1029411029	88.4899715543	88.0537576081	88.7824618110	89.1691224078	89.7087845926	90.6978649382	91.0086570752	88.2753265256	81.4493766664	75.2473326178	72.6560099324	72.3076063028	74.1512215536	78.4219143402	82.7338108708	85.9282701958	88.0297994481	89.3049823100	89.6396510997	88.3310592009	81.4897743527	67.8789011724	58.8630803753	63.7045979347	74.7326168792	81.9709631459	84.6803532356	85.1910973111	84.7363199344	83.1820148981	81.3041640835	79.6545558816	79.0050968176	77.9350360921	77.5663284851	15	1014	47.0000000000	118	1268.0400000000	0	2021-208	17:29:52.055
0187	0.0320000000	0.0000000000	32.4197361613	35.0613740971	36.5802168552	38.3419372524	41.5557627947	46.2719900822	48.5547553242	48.4704672967	49.3957229026	49.5836510633	47.9658010811	47.9383962438	50.8115812716	52.5404722837	57.4673124161	68.7889309839	79.4094636114	84.2077573067	86.6458082233	89.7146481155	91.7100198753	92.3598512714	92.1042139878	89.9503028815	87.8980931420	89.9997705014	95.3904799755	100.3678426000	104.8588988717	109.7061484144	113.5883829354	116.1765307776	117.1615101195	118.4366970314	118.9832854463	118.6969176181	118.0968004167	118.8156023968	120.4064658207	121.3993678796	119.6584289751	116.7703386643	115.6818881550	117.7434914457	118.5396737920	117.5030015096	116.4624728842	116.7388860149	117.1177847690	115.5747118292	112.7974516348	112.1597309034	113.7851198850	115.5391430530	116.6863375490	117.7097581774	117.5890886072	116.7090529137	116.1365597646	116.4121131554	116.7885986823	116.6745933801	115.8280445989	114.7493873289	114.0050650741	113.3264689745	112.5421254141	112.3137854119	112.2410466730	112.4991551778	112.6322979654	110.7765944353	108.3665326967	107.2180915931	107.6730310476	108.5236761207	109.4926448458	110.1352370329	109.7263357442	108.7814186949	107.7408436988	107.2237138309	106.5740012864	105.2914553733	104.0536682201	103.6568979059	104.0827247695	104.1477891445	103.4195460682	101.4989108483	99.9120325280	98.2614194517	97.6401398221	98.8123536188	100.8610462042	101.7677643092	101.5438592531	101.1346237101	100.7346844598	99.8424049245	97.2133871873	92.3278143673	88.5302755141	88.1989055908	88.9836202179	89.3131805978	89.8440371798	90.7295001298	91.1581115477	88.5340461804	81.5902903895	75.3490795149	72.7655937701	72.4799513660	74.2609675015	78.5789780581	83.0566398933	86.0707572034	88.1974417585	89.4909799050	89.6725059338	88.4398989716	81.5325955093	67.8701209315	58.8361047870	63.7783528365	74.7703694006	82.0481443950	84.7492489186	85.4716980878	84.8790943500	83.3898581157	81.4313854992	79.8279029652	78.9939847864	78.0949812938	77.5545457384	15	1009	46.5000000000	119	1268.2900000000	0	2021-208	17:29:52.320
