SN,INTTIME(ES),SAMPLE(DELAY),ES(349.01),ES(352.33),ES(355.64),ES(358.96),ES(362.28),ES(365.60),ES(368.92),ES(372.24),ES(375.56),ES(378.88),ES(382.20),ES(385.52),ES(388.85),ES(392.17),ES(395.49),ES(398.82),ES(402.14),ES(405.47),ES(408.79),ES(412.12),ES(415.44),ES(418.77),ES(422.10),ES(425.42),ES(428.75),ES(432.08),ES(435.41),ES(438.74),ES(442.07),ES(445.40),ES(448.73),ES(452.06),ES(455.39),ES(458.72),ES(462.05),ES(465.38),ES(468.71),ES(472.04),ES(475.38),ES(478.71),ES(482.04),ES(485.37),ES(488.71),ES(492.04),ES(495.37),ES(498.71),ES(502.04),ES(505.38),ES(508.71),ES(512.04),ES(515.38),ES(518.71),ES(522.05),ES(525.38),ES(528.72),ES(532.05),ES(535.38),ES(538.72),ES(542.05),ES(545.39),ES(548.72),ES(552.06),ES(555.39),ES(558.73),ES(562.06),ES(565.40),ES(568.73),ES(572.07),ES(575.40),ES(578.73),ES(582.07),ES(585.40),ES(588.74),ES(592.07),ES(595.40),ES(598.74),ES(602.07),ES(605.41),ES(608.74),ES(612.07),ES(615.40),ES(618.74),ES(622.07),ES(625.40),ES(628.73),ES(632.06),ES(635.40),ES(638.73),ES(642.06),ES(645.39),ES(648.72),ES(652.05),ES(655.38),ES(658.71),ES(662.03),ES(665.36),ES(668.69),ES(672.02),ES(675.35),ES(678.67),ES(682.00),ES(685.33),ES(688.65),ES(691.98),ES(695.30),ES(698.62),ES(701.95),ES(705.27),ES(708.59),ES(711.92),ES(715.24),ES(718.56),ES(721.88),ES(725.20),ES(728.52),ES(731.84),ES(735.16),ES(738.48),ES(741.79),ES(745.11),ES(748.42),ES(751.74),ES(755.05),ES(758.37),ES(761.68),ES(765.00),ES(768.31),ES(771.62),ES(774.93),ES(778.24),ES(781.55),ES(784.86),ES(788.16),ES(791.47),ES(794.78),ES(798.08),ES(801.39),DARK_SAMP(ES),DARK_AVE(ES),TEMP(PCB),FRAME(COUNTER),TIMER,CHECK(SUM),DATETAG,TIMETAG2
187,0.032,0,35.36007668,38.46338866,40.13489872,41.80577634,45.73027253,50.67762082,53.29115142,53.14566601,54.214586,54.50358186,52.78133662,52.79759007,55.78533658,58.00501124,63.4500125,75.77432984,87.57748541,92.87911132,95.77394047,99.06093448,101.3293337,102.1172818,101.7828866,99.5487636,97.25755818,99.88610991,105.7670046,111.4490117,116.4857185,121.8821756,126.2586903,129.1530617,130.4066182,131.8557062,132.5134349,132.142648,131.6806996,132.5661237,134.4326094,135.5350171,133.7430805,130.4031881,129.4844963,131.5941013,132.72534,131.6132463,130.419461,130.821964,131.376405,129.6105446,126.6201243,125.8909528,127.8592801,129.8845918,131.1105958,132.3428387,132.208559,131.4157053,130.8378139,131.2248459,131.6040789,131.5607809,130.614329,129.4139086,128.5688656,127.9319329,127.2017802,126.8772328,126.955954,127.3564946,127.4433574,125.5238208,122.8997229,121.6966624,122.2365143,123.2476568,124.3911065,124.8782255,124.6098605,123.5815848,122.4779797,121.9810546,121.2306613,119.8824765,118.7053499,118.2660832,118.794883,118.949496,118.2015251,116.1610423,114.3045579,112.3629172,111.7124522,113.084061,115.4140286,116.6163385,116.4072409,116.1260333,115.6120959,114.7558903,111.6201029,106.0772082,102.0482236,101.55252,102.3807701,102.8306408,103.2579114,104.3800853,104.7112724,101.5327488,93.74801327,86.80734547,83.77094204,83.51786928,85.51776616,90.23310593,95.22178233,98.6333617,100.8903595,102.2762928,102.6173106,101.0653124,93.21420703,78.00251896,67.86393498,73.41258689,85.82242006,93.96299974,97.01268049,97.7179177,97.1169014,95.4551569,93.47501286,91.63717304,90.62828139,89.94235088,89.12520304,15,1029,47.5,183,317.66,0,2021-208,06:19.7
187,0.032,0,35.56131671,38.49518319,40.11481577,41.85388522,45.66504581,50.69601593,53.25436388,53.07116086,54.24309998,54.63863879,52.84971137,52.85637064,55.89282441,57.85080908,63.32714504,75.81104679,87.62182864,92.90466541,95.71704205,99.0763574,101.3657981,102.1793432,101.7893954,99.59811301,97.33398598,99.82955191,105.8383398,111.3629862,116.448436,121.845005,126.2213619,129.1907998,130.3465125,131.777947,132.5021173,132.2699312,131.7279685,132.6264066,134.4203274,135.6347395,133.7682541,130.5108325,129.5415056,131.6698221,132.6753024,131.5761791,130.4012166,130.7741843,131.2769399,129.5819117,126.5976575,125.9295547,127.8647057,129.8845918,131.1264177,132.3792394,132.2752443,131.2993071,130.8078317,131.1357616,131.4911336,131.4533699,130.4828737,129.3117337,128.5883751,127.9907074,127.1376134,126.9670998,126.9660882,127.2791395,127.4854492,125.5291913,122.9654096,121.7635381,122.2930276,123.2075057,124.3268386,124.9199397,124.6705848,123.5568353,122.5094156,121.91717,121.3994271,119.9680736,118.6188504,118.1786433,118.7267081,118.9356042,118.0877629,116.1319219,114.4534718,112.3856615,111.758591,113.1305992,115.5543359,116.6163385,116.4385652,116.1260333,115.6909793,114.7479575,111.6201029,106.1816137,102.0240413,101.6089664,102.2520287,102.6785793,103.3613399,104.4275381,104.8449948,101.5876288,93.94372678,86.82299884,83.78659687,83.54920475,85.56480014,90.33519734,95.17453905,98.68877332,100.9462403,102.3571614,102.4530364,101.0150786,93.3169778,77.97617824,68.00780478,73.52321924,85.96399201,93.95335208,97.03236497,97.56759586,97.02511785,95.4551569,93.47501286,91.58300207,90.71717764,89.88522759,89.19589952,15,1028,48,184,317.91,0,2021-208,06:19.9
187,0.032,0,35.4718767,38.49518319,40.07464987,41.79615457,45.73959063,50.73280617,53.18998568,53.20154488,54.10053007,54.48428802,52.96692521,52.63104512,55.75602171,57.81225854,63.26098564,75.52649046,87.35576929,92.69171467,95.48944837,98.91441679,101.2418191,102.1172818,101.7438334,99.59811301,97.22228382,99.91438892,105.7505426,111.2231946,116.3525667,121.7547335,126.1307074,129.0398473,130.259086,131.6168745,132.4398707,132.084792,131.6157049,132.6083217,134.3957632,135.5537151,133.7682541,130.4855044,129.5288369,131.6761322,132.5627177,131.4217324,130.3708092,130.6487625,131.2067292,129.3700285,126.5302573,125.8854383,127.7182129,129.7026652,131.0262126,132.2960378,132.0957069,131.2082129,130.662918,131.1060668,131.5156869,131.4143114,130.5266921,129.3020028,128.5396015,127.9025457,126.9846001,126.7524175,126.8850144,127.2842965,127.3854811,125.416412,122.8449839,121.6520787,122.112185,123.1788264,124.309311,124.8424705,124.5491362,123.4949617,122.2893645,121.8021777,121.2696072,119.7968794,118.5323509,118.2257263,118.7130731,118.8939288,118.0379919,116.0518407,114.2152096,112.2719398,111.7355216,113.0297665,115.5075668,116.5616044,116.3915788,115.9298107,115.5489891,114.4782456,111.3645514,106.109333,101.8870078,101.5122011,102.3646774,102.7426052,103.2897356,104.4117205,104.8528609,101.6425087,93.86544138,86.75255868,83.67701304,83.36902582,85.47857118,90.11530814,95.20603457,98.52253848,100.786581,102.3005534,102.3462582,101.1574076,93.11143625,78.02007944,67.82796753,73.3849288,85.73747688,93.96299974,97.00283825,97.38720964,96.99452333,95.47594122,93.28418073,91.691344,90.7394017,89.82810431,89.12520304,15,1027,49.5,185,318.15,0,2021-208,06:20.1
187,0.032,0,35.53895671,38.44219231,39.93406923,41.74804569,45.65572771,50.6592257,53.25436388,53.13635287,54.03399744,54.21417417,52.70319406,52.57226455,55.71693523,57.83153381,63.2515343,75.71007519,87.46219303,92.83652117,95.55447514,98.98381991,101.1907689,102.0690118,101.6982714,99.45006477,97.25755818,99.81824031,105.6627455,111.2769606,116.2993059,121.6750823,126.0133897,128.9913268,130.2153728,131.6224287,132.275766,132.0153648,131.5388929,132.4636429,134.371199,135.5163192,133.673853,130.3968561,129.4654931,131.4615897,132.5502083,131.3599538,130.303913,130.5890378,131.1423694,129.3585753,126.4740904,125.7365455,127.6748077,129.708016,130.984021,132.1400348,132.0033734,131.1069972,130.5679744,130.9724405,131.4469376,131.3069004,130.4293178,129.2338862,128.5249694,127.8143839,126.9303051,126.6925062,126.7482022,127.0883302,127.2802515,125.3143737,122.735506,121.5239004,122.0669744,122.9665991,124.2567282,124.7113687,124.518774,123.3464651,122.2642158,121.7255162,121.1787333,119.8561389,118.3992748,118.1113818,118.6312631,118.8244698,117.9740007,115.9863198,114.1928725,112.158218,111.574036,112.7582938,115.2659265,116.3974022,116.3210991,115.9219618,115.430664,114.5337745,111.4444113,106.0932706,101.8225215,101.4315633,102.1957044,102.5825405,103.1226588,104.1902742,104.4988897,101.1407494,93.64624225,86.66646515,83.5674292,83.45519835,85.38450323,90.20954637,95.08792639,98.38796741,100.7386832,102.1226427,102.4119679,100.7722822,92.97440855,77.7742327,67.666114,73.20976091,85.63365745,93.74110365,96.7961512,97.45735984,96.95373064,95.37201961,93.28418073,91.51799692,90.50604904,89.73670705,89.14876854,15,1026,51.5,186,318.4,0,2021-208,06:20.5
187,0.032,0,35.4830567,38.44219231,40.15498167,41.73842391,45.66504581,50.58564523,52.96006354,53.08978715,53.92944617,54.38781879,52.57621239,52.48409369,55.73647847,57.79298327,63.23263161,75.62746206,87.55974812,92.65764255,95.46506334,98.83730222,101.0886685,101.8828276,101.7243068,99.37604065,97.09294448,99.63159889,105.6462835,111.1210392,116.2034366,121.6644621,126.0133897,128.899677,130.0951614,131.5946576,132.1229789,131.9575089,131.4089034,132.3249923,134.08257,135.3792009,133.4535836,130.1878992,129.1741118,131.3038379,132.3813313,131.1746178,130.0424095,130.4038913,130.9375882,129.2612236,126.3280564,125.5931673,127.5337405,129.5207386,130.8152545,132.0360328,131.8494843,130.9096264,130.4230607,130.8041702,131.2112256,131.11649,130.2686503,129.0392675,128.2469598,127.6429583,126.772356,126.6375874,126.6721955,127.0522311,127.1487146,125.2338171,122.5220241,121.3511384,121.891783,122.8862969,124.0171843,124.5921853,124.3851806,123.1360948,122.1447595,121.6105239,120.8931297,119.5993475,118.2795063,117.9365021,118.4403732,118.6022011,117.7038154,115.8552779,113.9546103,112.0369148,111.3279628,112.7738065,115.2113625,116.2253808,116.1096601,115.6707968,115.2650089,114.224399,111.2607336,105.7720231,101.7822175,101.3589894,102.0347777,102.6145535,103.0749226,104.2535445,104.5539519,101.422989,93.58361393,86.50993147,83.5204647,83.20451462,85.33746925,89.97395079,94.96981821,98.30089202,100.5949898,102.0983821,102.1162744,100.7555376,92.95728009,77.73911173,67.79200008,73.22819963,85.63365745,93.64462708,96.76662448,97.26695217,96.8211544,95.09143127,93.08274682,91.42048918,90.3838167,89.79383033,88.99559283,15,1032,48.5,187,319.09,0,2021-208,06:21.1
187,0.032,0,35.4942367,38.34680873,40.05456692,41.71918036,45.49731997,50.58564523,53.07962305,53.15497916,54.08152075,54.45534725,52.61528367,52.70941921,55.75602171,57.89899726,63.23263161,75.65499977,87.42671845,92.65764255,95.43254995,98.88357096,101.1470116,101.9586804,101.6071474,99.41305271,97.12821884,99.66553369,105.6078723,111.2016882,116.3312624,121.6803923,126.0187224,128.8888947,130.1552671,131.605766,132.2701072,131.9748657,131.4561723,132.3551337,134.3220707,135.4415274,133.5542782,130.37786,129.2817962,131.4237293,132.3688219,131.397021,130.1275502,130.5950103,131.0721587,129.2784033,126.3392898,125.6483128,127.6151254,129.558194,130.8838159,132.0828337,131.9982438,131.0412069,130.493019,130.9081018,131.2848856,131.2727241,130.3222061,129.0489985,128.3396297,127.6772434,126.8513305,126.5976465,126.7177995,127.1347433,127.2065909,125.2391875,122.6260281,121.4625978,121.908737,122.9149763,124.1457201,124.6756137,124.3608909,123.3340904,122.2327799,121.5658047,120.9385666,119.6388539,118.3327367,118.0373943,118.5903581,118.6994437,117.9028993,115.8552779,114.0737414,112.1657994,111.4202403,112.7427811,115.2659265,116.3661255,116.1566465,115.5923077,115.2807855,114.3116588,111.2687196,105.8844597,101.8225215,101.2219052,102.042824,102.4865017,103.0510545,104.158639,104.5224878,101.4778689,93.59144247,86.55689157,83.63004854,83.31418875,85.25124029,90.02106991,94.92257494,98.20590068,100.5710409,101.9366451,102.2066252,100.822516,92.95728009,77.79179318,67.666114,73.26507708,85.66197184,93.77969427,96.7961512,97.4874242,96.79055988,95.13299991,93.40080036,91.37715241,90.31714451,89.51963856,88.9131136,15,1024,50.5,188,319.33,0,2021-208,06:21.3
187,0.032,0,35.63957673,38.49518319,40.01440103,41.78653279,45.49731997,50.65002814,53.00604797,52.9966557,54.12904405,54.50358186,52.83017572,52.79759007,55.94168252,57.90863489,63.36495042,75.54484894,87.33803201,92.64912452,95.46506334,98.80645639,101.0303254,101.8690362,101.5030057,99.43155874,97.20464663,99.67684529,105.6407962,111.244701,116.3099581,121.595431,126.0560507,128.8026361,129.9858783,131.5779949,132.1569316,131.8591537,131.3970862,132.3370488,134.1255573,135.341805,133.4661705,130.1625712,129.2754618,131.3290782,132.4438784,131.2549301,130.164039,130.4576435,130.9902462,129.2325907,126.1932559,125.5159636,127.4794839,129.5153878,130.8152545,132.0412329,131.8751325,130.990599,130.4180636,130.8635597,131.2603322,131.1848424,130.2589129,129.1025186,128.3054881,127.6331625,126.7624842,126.5776761,126.6265914,126.9284629,127.0592695,125.2338171,122.4837069,121.3288466,121.9030857,122.8805611,124.0872947,124.5743078,124.3183838,123.1794064,122.0630262,121.5019201,120.9840036,119.6388539,118.4525053,118.0373943,118.4676432,118.7411191,117.789137,115.7460763,113.9843931,112.0824035,111.4279301,112.719512,115.1723883,116.1941041,116.1723087,115.6472501,115.3123389,114.3513223,111.2687196,105.8041479,101.7660959,101.2864154,102.018685,102.4064694,103.0510545,104.1111862,104.4988897,101.3681091,93.61492809,86.58037163,83.59873887,83.27501942,85.21204531,90.06818902,94.85958391,98.22964852,100.5231431,101.8962108,102.1244881,100.6969316,92.94015163,77.75667221,67.79200008,73.21898027,85.56759054,93.77004661,96.7961512,97.38720964,96.7089745,95.22652936,93.1675611,91.16046856,90.31714451,89.57676185,88.94846184,15,1026,49,189,319.58,0,2021-208,06:21.6
187,0.032,0,35.56131671,38.51637955,40.15498167,41.75766746,45.6277734,50.56725011,53.02444174,53.21085803,53.92944617,54.52287571,52.6738906,52.65063864,55.85373793,57.89899726,63.3176937,75.69171672,87.4355871,92.70875073,95.57073183,98.93755116,101.1324258,101.9379933,101.6071474,99.35753462,97.03415387,99.58069668,105.6243342,111.137169,116.1768062,121.5741906,125.9280678,128.86733,129.9913425,131.5280069,132.1908843,131.7955121,131.2907312,132.2044265,134.0395827,135.2046867,133.396943,130.1372431,129.0030836,131.3480084,132.3375484,131.1869736,130.164039,130.5113957,131.0429042,129.2669501,126.2213393,125.4939054,127.44693,129.386969,130.6675839,131.9320308,131.8494843,130.9045656,130.3680934,130.7893228,131.1522976,131.0432552,130.103114,129.0052092,128.2274504,127.5254093,126.7575482,126.4728313,126.6417928,126.9233059,127.0908384,125.2230762,122.4508635,121.3121276,121.8126644,122.7314284,123.9003336,124.5266345,124.2030077,123.1237201,122.125898,121.4635894,120.8412018,119.5400879,118.2994677,117.9432282,118.4267382,118.6160929,117.7038154,115.7169559,113.8727077,112.0293333,111.4433096,112.6884865,115.0476707,116.1315509,116.0235182,115.4824231,115.2176788,114.3513223,111.1968457,105.7077736,101.5968193,101.1493312,101.9784533,102.4865017,102.8441976,103.9846454,104.3415692,101.2505092,93.34875772,86.40818457,83.4735002,83.15751142,85.13365534,89.95039123,94.92257494,98.18215285,100.6987683,101.888124,102.1901978,100.8392605,92.84594508,77.73911173,67.63014655,73.12678664,85.45433297,93.57709349,96.59930639,97.17675906,96.60699278,95.14339207,93.27357895,91.22547371,90.36159264,89.73670705,88.96024459,15,1028,49,190,319.82,0,2021-208,06:21.8
187,0.032,0,35.4718767,38.44219231,39.92402776,41.69993681,45.53459238,50.43848428,52.88648845,52.8103928,53.81539024,54.07911725,52.47853418,52.51348398,55.54104604,57.773708,63.06250744,75.52649046,87.15179047,92.48728196,95.32688146,98.7139189,100.9209322,101.848349,101.4118816,99.22799242,96.92833077,99.43364587,105.3499682,110.8844689,116.0010458,121.3777174,125.672102,128.5869895,129.8383462,131.2391872,131.8626749,131.5988018,131.1843762,132.1019457,133.9658901,135.0488705,133.1640868,129.9029581,128.9144023,131.0135746,132.0185586,130.9645704,129.7869875,130.18291,130.6918508,128.9806214,126.0247552,125.3394981,127.2244779,129.2585502,130.5304611,131.7448272,131.6032616,130.6464654,130.0782658,130.561663,130.9018536,130.8577271,129.9765274,128.7522049,128.0274786,127.3539836,126.4860732,126.2731268,126.3124302,126.6912406,126.8698563,124.890109,122.2100121,121.083636,121.5414004,122.5249371,123.5789943,124.2286759,123.9115311,122.9009751,121.8429751,121.2783241,120.63349,119.3557248,118.0266616,117.606921,118.1540383,118.2965817,117.4194098,115.3820711,113.6493369,111.6654237,111.2049262,112.4480393,114.9619274,116.0142636,115.7729238,115.3489917,114.8232618,114.0260814,110.8454624,105.5069939,101.3791779,100.9477367,101.7129242,102.254408,102.6691649,103.8343782,104.0741244,100.8820297,93.23915816,86.27513093,83.07430193,82.99300022,84.95335843,89.76191477,94.65486307,97.9446745,100.3634837,101.7425606,101.8780768,100.5294858,92.73461007,77.58984764,67.45930116,72.93318003,85.29388476,93.43237865,96.37293486,97.06652304,96.42342567,95.01868614,93.01913612,91.2471421,90.12823999,89.39396733,88.63032768,15,1028,49,191,320.07,0,2021-208,06:22.2
187,0.032,0,35.44951669,38.45279049,40.14494019,41.70955859,45.6277734,50.66842326,53.23597011,53.23879746,54.11953939,54.58075725,52.78133662,52.62124835,55.71693523,57.73515746,63.12866684,75.58156588,87.24934556,92.57246226,95.42442161,98.73705327,101.1251329,101.8828276,101.5290411,99.34519727,97.07530729,99.47889227,105.3883794,110.9651179,115.9797415,121.3299267,125.6827672,128.63551,129.8219537,131.3058379,132.0437559,131.7897265,131.2139192,132.1320871,133.947467,135.2109194,133.2521945,130.1625712,129.0727617,131.1650163,132.1749261,131.0819498,129.9025355,130.3083318,130.6918508,129.06652,126.047222,125.328469,127.3112885,129.2960057,130.6042965,131.7760278,131.7007247,130.7071948,130.2031915,130.5814595,130.9313176,130.8919033,130.0154772,128.7911286,128.0518654,127.3833709,126.5354323,126.3080751,126.4188396,126.8098518,126.9119481,124.9706656,122.3632812,121.1505116,121.6996378,122.6683338,123.7425852,124.3299818,124.0086899,122.9071625,121.8429751,121.3294317,120.7373459,119.4347376,118.0931997,117.7145393,118.3040232,118.4910668,117.5118416,115.585914,113.8578163,111.8625414,111.1664773,112.5333593,114.8917737,115.9908061,115.8825589,115.4117829,114.9889169,114.010216,110.9971961,105.595337,101.5887585,101.0445021,101.9140826,102.35845,102.8362416,103.960919,104.3415692,101.0623495,93.42704313,86.36905115,83.23085027,82.96166476,85.05526538,89.75406159,94.67061082,97.93675856,100.4113815,101.7021264,102.0669921,100.5964641,92.64040353,77.58984764,67.48627674,73.09912855,85.38826606,93.5963888,96.54025295,97.06652304,96.39283115,94.88358805,92.83890578,90.98712147,90.13935202,89.19974816,88.60676219,15,1032,50.5,192,320.76,0,2021-208,06:22.8
