SN,INTTIME(ES),SAMPLE(DELAY),ES(349.01),ES(352.33),ES(355.64),ES(358.96),ES(362.28),ES(365.60),ES(368.92),ES(372.24),ES(375.56),ES(378.88),ES(382.20),ES(385.52),ES(388.85),ES(392.17),ES(395.49),ES(398.82),ES(402.14),ES(405.47),ES(408.79),ES(412.12),ES(415.44),ES(418.77),ES(422.10),ES(425.42),ES(428.75),ES(432.08),ES(435.41),ES(438.74),ES(442.07),ES(445.40),ES(448.73),ES(452.06),ES(455.39),ES(458.72),ES(462.05),ES(465.38),ES(468.71),ES(472.04),ES(475.38),ES(478.71),ES(482.04),ES(485.37),ES(488.71),ES(492.04),ES(495.37),ES(498.71),ES(502.04),ES(505.38),ES(508.71),ES(512.04),ES(515.38),ES(518.71),ES(522.05),ES(525.38),ES(528.72),ES(532.05),ES(535.38),ES(538.72),ES(542.05),ES(545.39),ES(548.72),ES(552.06),ES(555.39),ES(558.73),ES(562.06),ES(565.40),ES(568.73),ES(572.07),ES(575.40),ES(578.73),ES(582.07),ES(585.40),ES(588.74),ES(592.07),ES(595.40),ES(598.74),ES(602.07),ES(605.41),ES(608.74),ES(612.07),ES(615.40),ES(618.74),ES(622.07),ES(625.40),ES(628.73),ES(632.06),ES(635.40),ES(638.73),ES(642.06),ES(645.39),ES(648.72),ES(652.05),ES(655.38),ES(658.71),ES(662.03),ES(665.36),ES(668.69),ES(672.02),ES(675.35),ES(678.67),ES(682.00),ES(685.33),ES(688.65),ES(691.98),ES(695.30),ES(698.62),ES(701.95),ES(705.27),ES(708.59),ES(711.92),ES(715.24),ES(718.56),ES(721.88),ES(725.20),ES(728.52),ES(731.84),ES(735.16),ES(738.48),ES(741.79),ES(745.11),ES(748.42),ES(751.74),ES(755.05),ES(758.37),ES(761.68),ES(765.00),ES(768.31),ES(771.62),ES(774.93),ES(778.24),ES(781.55),ES(784.86),ES(788.16),ES(791.47),ES(794.78),ES(798.08),ES(801.39),DARK_SAMP(ES),DARK_AVE(ES),TEMP(PCB),FRAME(COUNTER),TIMER,CHECK(SUM),DATETAG,TIMETAG2
187,0.032,0,36.23211683,39.04628836,40.81771896,42.43119173,46.44776639,51.45021577,54.17405244,54.04904107,54.96545421,55.37180495,53.64090483,53.55194072,56.78204196,58.83384784,64.34789008,76.92173439,88.93438806,94.31014027,97.27768443,100.5261114,102.8535464,103.6757124,103.3580303,101.066258,98.73908154,101.3453065,107.3638151,113.0834976,118.1900622,123.634504,128.0504509,131.0507513,132.144219,133.6497211,134.4091271,134.0056107,133.6069071,134.4228359,136.3240509,137.4796038,135.6436903,132.3851119,131.2517875,133.5691541,134.5392038,133.3801158,132.2256595,132.5778694,133.0673124,131.2483447,128.3051311,127.495686,129.5303831,131.6824548,132.8773697,134.2096745,133.9680251,133.1313127,132.496827,132.9025994,133.2687947,133.1621812,132.3135102,131.0487059,130.2661873,129.5237424,128.8651821,128.5198019,128.5926328,129.0583072,129.1007228,127.188657,124.5309435,123.3574069,123.9432167,124.7733985,125.8283698,126.4097324,126.1826197,125.0974881,123.9491784,123.4376233,122.7949904,121.3837187,120.0094959,119.6920257,120.2265574,120.3456213,119.5666718,117.5369822,115.711794,113.7427411,113.0504754,114.4026427,116.9574086,117.9143181,117.8168346,117.232729,117.047774,115.9378633,112.7221687,107.3702295,103.2573424,102.8830432,103.6601376,104.1511742,104.6820416,105.6929458,105.9777024,102.7322672,95.1571505,88.07526835,85.00767392,84.66944766,86.85039553,91.4739093,96.3713686,99.63077076,101.9441112,103.3761047,103.5865282,102.1369655,94.12201555,78.88054305,68.7271538,74.33452316,86.70960431,94.83128879,97.89848213,98.40939819,97.92255704,96.26574545,94.32315563,92.590582,91.58391606,90.86774812,90.23278124,15,1025,51,4,2983.79,0,2021-208,58:27.7
187,0.032,0,36.26565684,39.37483182,40.94825813,42.56589658,46.61549222,51.5329938,54.05449293,54.11423308,55.11752879,55.23674802,53.74835086,53.49316015,56.7527271,58.84348547,64.31953605,76.94009286,89.1206296,94.31014027,97.37522458,100.6340718,102.9118895,103.7653566,103.3775569,101.2081376,98.79199309,101.3848971,107.3418658,113.0458614,118.1581058,123.6079536,128.1091098,131.0237955,132.2425737,133.8107936,134.4883501,134.1039658,133.6187243,134.4348925,136.4284486,137.6167221,135.7066244,132.5054203,131.3848094,133.6322548,134.6768073,133.509851,132.3412075,132.6794014,133.2018828,131.4487748,128.3837648,127.6114915,129.6768759,131.6128946,132.9037395,134.235675,134.0347104,133.1566166,132.5218121,132.9966328,133.4308467,133.2451806,132.3816721,131.0730332,130.3978761,129.7098616,128.8108871,128.5996837,128.734512,129.0479931,129.2006909,127.2423614,124.6458952,123.4131366,123.9601707,124.8709083,126.0211735,126.5527525,126.2190543,125.1902985,124.1000706,123.5781694,122.8663913,121.6075882,120.2689944,119.8265486,120.2810973,120.5262146,119.5666718,117.5733827,115.7490224,113.8640443,113.1658222,114.4646936,117.0587416,118.0159671,117.9264696,117.5074407,117.0319973,115.9616614,112.9377903,107.30598,103.2412208,102.8024054,103.7084156,104.2392097,104.5627011,105.8748481,106.1350229,102.896907,95.22760737,88.10657508,85.03115617,84.66944766,86.81120055,91.48176248,96.44223351,99.78117371,102.0239409,103.4569732,103.6029556,102.1620824,94.13914401,78.88054305,68.79009684,74.33452316,86.7379187,95.0049466,98.17406486,98.61984877,98.19790769,96.48398082,94.36556277,92.7314265,91.72837247,90.90202209,90.1738675,15,1028,49.5,5,2984.03,0,2021-208,58:28.0
187,0.032,0,36.08677681,39.13107377,40.70726275,42.41194818,46.503675,51.487006,54.03609916,54.17011195,55.01297752,55.43933341,53.63113701,53.57153424,56.69409737,58.83384784,64.23447397,76.82994202,88.93438806,94.23347801,97.22891436,100.6340718,103.0066969,103.7998351,103.4816986,101.2204749,98.86254182,101.4301435,107.3693024,113.078121,118.2113665,123.6451242,128.0931119,131.1963127,132.324536,133.7830225,134.5336203,134.231249,133.7014449,134.591628,136.483718,137.6042568,135.6625705,132.3787798,131.3468032,133.6701152,134.5829868,133.5283846,132.2803928,132.6375941,133.2252864,131.4029622,128.288281,127.7107533,129.5846397,131.7413134,133.0461362,134.1472733,134.0603585,133.1667382,132.6367437,133.0263275,133.4112041,133.3184154,132.3573286,131.1362843,130.3978761,129.655985,128.9046694,128.6146615,128.7446463,129.1562903,129.3111819,127.3068067,124.6896864,123.507877,123.9432167,124.8938518,126.0328585,126.6421401,126.1947646,125.1407996,124.0371989,123.4823425,122.8339363,121.5022379,120.2556868,119.8938101,120.4515348,120.4984311,119.6733239,117.806346,115.8383707,114.0308362,113.2042711,114.5422572,116.9184344,117.961233,117.8794832,117.483894,117.0162206,116.0409885,112.8818884,107.4585726,103.4346798,102.9314258,103.7727863,104.1831871,104.6899976,105.8590305,106.0956928,102.8655471,95.1571505,88.15353519,85.03115617,84.81045726,86.87391252,91.55244116,96.56821557,99.81283749,102.1915832,103.5944497,103.6933064,102.2206884,94.22478632,78.88054305,68.7271538,74.29764571,86.71904244,95.14966144,98.00674677,98.64991314,97.94295338,96.66064756,94.55639489,92.7314265,91.78393262,90.94772072,90.43308793,15,1029,51.5,6,2984.28,0,2021-208,58:28.2
187,0.032,0,36.0420568,39.29004641,40.63697243,42.46005706,46.503675,51.46861088,54.1372649,54.15148566,55.15554743,55.46827418,53.84602906,53.60092453,56.8895298,58.85312311,64.24392531,76.82994202,88.84570161,94.25903209,97.11511752,100.6340718,102.7441531,103.6481295,103.4556632,101.1896316,98.80963028,101.4244877,107.4241756,113.15877,118.2912576,123.6663645,128.1997643,131.1531834,132.3026794,133.7830225,134.5109852,134.2543914,133.6069071,134.6398543,136.5082822,137.6104895,135.7821453,132.3851119,131.3087969,133.5691541,134.6142603,133.4480723,132.347289,132.6853738,133.1726284,131.4144154,128.4286983,127.5784042,129.5900654,131.6931564,133.0461362,134.2720757,134.1270439,133.2072245,132.6567318,133.0560223,133.3473654,133.235416,132.3768034,131.2092664,130.3539798,129.7686361,128.8898617,128.6496098,128.6737066,129.1666043,129.2269983,127.3121771,124.6787386,123.4688663,124.050592,124.9626822,126.1204965,126.5646709,126.3101407,125.2026732,124.0749219,123.5398386,122.8858642,121.5417442,120.2157639,119.9476192,120.3765423,120.4914852,119.6733239,117.6316235,115.8383707,113.8337185,113.2042711,114.4646936,116.9807932,118.1567119,117.8873142,117.4760451,116.9057838,116.025123,112.8100146,107.3943231,103.4104975,102.8507881,103.6923229,104.1911903,104.6104373,105.7720337,106.1900851,102.9596269,95.35286401,88.27876214,85.16422226,84.92013139,86.92878549,91.54458797,96.3713686,99.7970056,102.0239409,103.4569732,103.6358105,102.2625498,94.31042864,78.88932329,68.89799919,74.23311017,86.79454748,95.07248019,98.06580022,98.64991314,98.14691683,96.4112357,94.50338597,92.5797478,91.50613185,90.78777552,90.10317102,15,1030,51.5,7,2984.52,0,2021-208,58:28.4
187,0.032,0,36.17621682,39.00389565,40.77755307,42.46967883,46.5129931,51.49620356,54.0085085,54.02110163,55.19356608,55.49721495,53.69951176,53.64990834,56.91884466,58.97841236,64.38569545,77.0502437,88.93438806,94.3186583,97.2370427,100.6417832,102.8681322,103.6757124,103.5337695,101.238981,98.91545337,101.5149805,107.429663,113.1748998,118.2912576,123.7672561,128.2050969,131.2232685,132.3136077,133.9329866,134.7033838,134.2196778,133.7191708,134.6519108,136.5635516,137.6104895,135.7947322,132.4357681,131.4228157,133.6385649,134.6642979,133.509851,132.3655334,132.7152362,133.2720935,131.4945874,128.451165,127.6611224,129.7474095,131.6717533,133.0566841,134.339677,134.1937292,133.1819206,132.6167556,133.0461241,133.4701321,133.3330623,132.401147,131.1995354,130.3929987,129.6902701,128.9145412,128.6945433,128.7243778,129.1098772,129.2322597,127.3282884,124.6732647,123.4688663,123.9545193,124.9225311,126.0737563,126.6480992,126.2372716,125.1531743,124.0749219,123.4567886,122.9183192,121.4495627,120.2224178,119.7323826,120.3151848,120.4845393,119.524011,117.5588225,115.7490224,113.8261371,113.1812018,114.5732827,116.9028447,117.9690522,117.9421318,117.3347648,116.9688905,115.9854595,112.9298043,107.5067597,103.3460111,102.9314258,103.76474,104.1431709,104.6979537,105.7878513,106.0720947,102.9909869,95.24326445,88.13005514,85.10943034,84.66944766,86.85039553,91.60741346,96.41073799,99.78117371,102.1197365,103.5297549,103.6522379,102.1620824,94.27617171,78.95078498,68.7990887,74.27920698,86.77567122,95.01459426,98.09532694,98.64991314,98.0857278,96.55672595,94.50338597,92.70975812,91.70614841,90.79920017,90.22099849,15,1029,49.5,8,2984.77,0,2021-208,58:28.8
187,0.032,0,36.16503682,39.22645735,40.69722127,42.59476191,46.59685602,51.52379624,54.09128047,54.11423308,55.07000548,55.44898033,53.65067265,53.49316015,56.81135683,58.90131128,64.23447397,77.06860217,89.15610418,94.36976648,97.35896789,100.8422811,103.0139898,103.9653322,103.4686809,101.1772942,98.77435591,101.4075203,107.4077137,113.1426402,118.2912576,123.6929149,128.1784338,131.1747481,132.3354643,133.8607817,134.646796,134.202321,133.7073535,134.6579391,136.6433852,137.7663057,135.8450794,132.4864243,131.4164813,133.6574951,134.5704774,133.5283846,132.2803928,132.751071,133.2369882,131.3972356,128.4062315,127.6611224,129.7474095,131.7199103,133.0197664,134.3032763,134.1475624,133.2477108,132.6067616,133.0510732,133.4504894,133.3086507,132.3914096,131.1557462,130.490546,129.7196574,128.9392208,128.6745729,128.7193107,129.0944062,129.2217368,127.3443998,124.5856824,123.4521474,124.0223353,124.9512105,126.0562287,126.6659768,126.370865,125.2459847,124.1943782,123.6165001,122.9313012,121.6010038,120.2224178,119.7458349,120.2333749,120.4428639,119.5666718,117.7772256,115.8755992,113.9171145,113.2580997,114.5422572,116.887255,118.0316054,117.9577939,117.3818582,116.9925556,115.9140652,112.8739024,107.5228221,103.3460111,102.9717447,103.6923229,104.0711418,104.7377338,105.7483073,106.1192909,102.9753069,95.21977883,88.13788182,85.15639485,84.96713459,86.97581947,91.59170708,96.56821557,99.70201426,102.0159579,103.4731469,103.537246,102.2039438,94.16483671,78.88932329,68.7271538,74.2515489,86.8606144,94.97600363,98.06580022,98.76014916,98.20810587,96.69182404,94.55639489,92.61225038,91.52835591,91.02769332,90.07960553,15,1032,47,9,2985.46,0,2021-208,58:29.4
187,0.032,0,36.13149681,39.15227012,40.65705538,42.52740948,46.5223112,51.69854986,54.21083998,54.12354622,55.14604277,55.52615572,53.67997611,53.52255043,56.79181358,58.99768763,64.38569545,77.03188522,89.04081179,94.44642874,97.29394112,100.7266093,102.9702325,103.9377494,103.4947164,101.2513183,98.89193713,101.4980131,107.5174601,113.2824318,118.3445183,123.8362873,128.3384125,131.2610067,132.4064983,133.9163239,134.6298196,134.2833194,133.6719019,134.6880806,136.5758337,137.654118,135.8136124,132.5054203,131.4988282,133.733216,134.7018261,133.5778075,132.4081038,132.7630159,133.3189006,131.4430482,128.4174649,127.7052388,129.7202812,131.7306119,133.1146976,134.3292768,134.1578217,133.2477108,132.686714,133.0758188,133.4455787,133.32818,132.401147,131.267652,130.4807912,129.7833298,128.983644,128.7844103,128.7953174,129.1253483,129.3006589,127.3605111,124.7498992,123.5468878,124.0053813,124.9856257,126.1088115,126.6421401,126.2190543,125.1407996,124.0560604,123.5078963,122.9702471,121.5417442,120.249033,119.9072624,120.4378998,120.6790244,119.7444253,117.7772256,115.8458164,113.9398588,113.2504099,114.5345009,116.9340241,117.9846905,117.8873142,117.3661604,116.9846672,116.0489212,113.0735521,107.5549468,103.3863151,102.9233621,103.813018,104.3272453,104.7377338,105.9223009,106.1822191,103.0223468,95.21195029,88.06744166,85.07029326,84.74778632,86.81120055,91.56814753,96.43435963,99.73367804,102.0399068,103.5297549,103.5290322,102.2541776,94.31899287,79.03858739,68.83505615,74.35296189,86.75679496,95.07248019,98.02643125,98.63989168,98.23870038,96.53594163,94.56699667,92.75309489,91.62836419,90.87917278,90.24456398,15,1022,49,10,2985.7,0,2021-208,58:29.6
187,0.032,0,36.12031681,39.22645735,40.81771896,42.48892238,46.4943569,51.51459868,54.21083998,54.04904107,55.08901481,55.42003956,53.96324291,53.79685976,56.82112845,58.97841236,64.25337665,76.97680981,88.89891348,94.27606815,97.31019782,100.6957635,103.0212827,103.827418,103.5858404,101.2636557,98.93896962,101.5036689,107.5009981,113.2071594,118.317888,123.7778763,128.1890991,131.1639657,132.4338191,133.9052155,134.5053264,134.2775338,133.7014449,134.6579391,136.6065389,137.7289098,135.8576663,132.5054203,131.5178314,133.7773865,134.7768826,133.5407403,132.475,132.8287131,133.2545409,131.4945874,128.3725314,127.6942097,129.6226194,131.7680673,133.0725059,134.2720757,134.1321735,133.2173461,132.6717229,133.0857171,133.4848641,133.3672386,132.4498341,131.2530556,130.4271403,129.7392489,128.8306307,128.6096689,128.7953174,129.1459763,129.279613,127.236991,124.7389515,123.3964177,124.0788486,124.8881159,126.0503861,126.6004259,126.3101407,125.2026732,124.1063578,123.5781694,122.9313012,121.5944194,120.2091101,119.8332748,120.3492723,120.5401064,119.6022225,117.6389036,115.7862509,113.8185556,113.2580997,114.55777,117.0821262,118.1332544,117.9577939,117.4446495,117.1266574,116.0489212,112.8978604,107.4505414,103.3218288,102.9314258,103.6601376,104.3032356,104.5865692,105.8432129,106.1350229,102.904747,95.21977883,88.13005514,85.05463843,84.72428472,86.79552256,91.60741346,96.48947678,99.74950993,102.1516684,103.5054943,103.6358105,102.1620824,94.23335056,78.7839604,68.7271538,74.24232953,86.78510935,94.94706066,97.90832437,98.74010624,98.02453876,96.72300052,94.5457931,92.66642135,91.71726044,90.85632346,90.3741742,15,1029,47,11,2985.95,0,2021-208,58:29.9
187,0.032,0,36.12031681,39.06748471,40.69722127,42.44081351,46.48503879,51.487006,54.0728867,54.18873824,55.18406141,55.54544956,53.82649342,53.59112777,56.8895298,58.99768763,64.40459814,76.95845133,88.99646857,94.4634648,97.26955609,100.7574551,103.130676,103.8205223,103.5598049,101.275993,99.00951835,101.5149805,107.6052572,113.3469509,118.4457138,123.8575276,128.2957515,131.2933537,132.4338191,133.9329866,134.6807487,134.3874601,133.8550688,134.7483634,136.5574105,137.6852812,135.8576663,132.6257288,131.4671563,133.7521462,134.7706279,133.6828312,132.4385112,132.9362175,133.3481551,131.5976657,128.6421325,127.9313352,129.8450714,131.9018369,133.1146976,134.3864779,134.2091181,133.2578324,132.6667259,133.1154118,133.5143281,133.3721209,132.5958956,131.267652,130.5295649,129.8176149,129.0428749,128.8393291,128.8763913,129.2800585,129.3480122,127.4894016,124.7991643,123.5636067,124.1466646,125.0888714,126.2373472,126.707691,126.4801687,125.2954836,124.1377937,123.6803847,123.0221751,121.620757,120.3688015,120.0552375,120.4719873,120.6859703,119.7230949,117.6753042,115.9872846,113.8716258,113.2350303,114.6198209,117.1522798,118.1645311,117.9499628,117.5074407,117.1424341,116.1917098,112.8818884,107.5951028,103.3863151,102.9798085,103.740601,104.247213,104.8491183,105.8115777,106.150755,102.9988269,95.21977883,88.21614867,85.1798771,85.06114098,87.02285345,91.59170708,96.41073799,99.7970056,102.2155321,103.4731469,103.7097338,102.4132511,94.36181403,78.9332245,68.87102361,74.33452316,86.87949066,94.97600363,98.07564246,98.80023498,98.10612414,96.57751027,94.6200056,92.68808973,91.82838075,90.91344675,90.23278124,15,1034,48.5,12,2986.19,0,2021-208,58:30.1
187,0.032,0,36.20975683,39.25825188,40.79763601,42.65249256,46.43844828,51.45941333,54.01770539,54.11423308,55.07951014,55.44898033,53.83626124,53.64011158,56.85044331,58.81457257,64.38569545,76.92173439,88.91665077,94.28458618,97.20452932,100.6957635,102.9264752,103.8343137,103.4426455,101.2513183,98.86254182,101.4244877,107.5064855,113.1480168,118.2965837,123.7300855,128.1997643,131.1100541,132.2808228,133.794131,134.4826913,134.1618218,133.6305416,134.633826,136.5205643,137.7289098,135.7884387,132.4547641,131.4798251,133.6890454,134.683062,133.5283846,132.3351261,132.7092637,133.1843302,131.4086888,128.288281,127.6997242,129.628045,131.6878056,132.9723009,134.2304749,134.0090622,133.1616774,132.6367437,133.0015819,133.3866507,133.2988861,132.435228,131.1995354,130.4807912,129.7441468,128.8849258,128.749462,128.7041093,129.1356623,129.2480442,127.2853249,124.6732647,123.4465744,123.9262627,124.8594365,126.0387011,126.5289158,126.1947646,125.1346122,124.0309117,123.4120694,122.7884994,121.4956535,120.1824949,119.8736316,120.3697248,120.4428639,119.6591036,117.6753042,115.7936966,113.909533,113.173512,114.4181554,116.887255,117.8986798,117.8481589,117.2876713,116.9688905,116.025123,112.8180006,107.4505414,103.3460111,102.8588518,103.5796742,104.1911903,104.6661295,105.6929458,105.9934345,102.8028271,95.10235072,88.14570851,85.1329126,84.77912179,86.84255653,91.5288816,96.32412533,99.67035048,102.0239409,103.4569732,103.422254,102.1537101,94.10488709,78.88054305,68.77211312,74.36218125,86.77567122,94.94706066,98.14453814,98.62987022,98.10612414,96.48398082,94.53519132,92.70975812,91.45057169,90.79920017,90.1738675,15,1024,46.5,13,2986.44,0,2021-208,58:30.4
