SN	INTTIME(ES)	SAMPLE(DELAY)	ES(349.01)	ES(352.33)	ES(355.64)	ES(358.96)	ES(362.28)	ES(365.60)	ES(368.92)	ES(372.24)	ES(375.56)	ES(378.88)	ES(382.20)	ES(385.52)	ES(388.85)	ES(392.17)	ES(395.49)	ES(398.82)	ES(402.14)	ES(405.47)	ES(408.79)	ES(412.12)	ES(415.44)	ES(418.77)	ES(422.10)	ES(425.42)	ES(428.75)	ES(432.08)	ES(435.41)	ES(438.74)	ES(442.07)	ES(445.40)	ES(448.73)	ES(452.06)	ES(455.39)	ES(458.72)	ES(462.05)	ES(465.38)	ES(468.71)	ES(472.04)	ES(475.38)	ES(478.71)	ES(482.04)	ES(485.37)	ES(488.71)	ES(492.04)	ES(495.37)	ES(498.71)	ES(502.04)	ES(505.38)	ES(508.71)	ES(512.04)	ES(515.38)	ES(518.71)	ES(522.05)	ES(525.38)	ES(528.72)	ES(532.05)	ES(535.38)	ES(538.72)	ES(542.05)	ES(545.39)	ES(548.72)	ES(552.06)	ES(555.39)	ES(558.73)	ES(562.06)	ES(565.40)	ES(568.73)	ES(572.07)	ES(575.40)	ES(578.73)	ES(582.07)	ES(585.40)	ES(588.74)	ES(592.07)	ES(595.40)	ES(598.74)	ES(602.07)	ES(605.41)	ES(608.74)	ES(612.07)	ES(615.40)	ES(618.74)	ES(622.07)	ES(625.40)	ES(628.73)	ES(632.06)	ES(635.40)	ES(638.73)	ES(642.06)	ES(645.39)	ES(648.72)	ES(652.05)	ES(655.38)	ES(658.71)	ES(662.03)	ES(665.36)	ES(668.69)	ES(672.02)	ES(675.35)	ES(678.67)	ES(682.00)	ES(685.33)	ES(688.65)	ES(691.98)	ES(695.30)	ES(698.62)	ES(701.95)	ES(705.27)	ES(708.59)	ES(711.92)	ES(715.24)	ES(718.56)	ES(721.88)	ES(725.20)	ES(728.52)	ES(731.84)	ES(735.16)	ES(738.48)	ES(741.79)	ES(745.11)	ES(748.42)	ES(751.74)	ES(755.05)	ES(758.37)	ES(761.68)	ES(765.00)	ES(768.31)	ES(771.62)	ES(774.93)	ES(778.24)	ES(781.55)	ES(784.86)	ES(788.16)	ES(791.47)	ES(794.78)	ES(798.08)	ES(801.39)	DARK_SAMP(ES)	DARK_AVE(ES)	TEMP(PCB)	FRAME(COUNTER)	TIMER	CHECK(SUM)	DATETAG	TIMETAG2
0187	0.0320000000	0.0000000000	36.2321168317	39.0462883569	40.8177189621	42.4311917311	46.4477663858	51.4502157664	54.1740524409	54.0490410660	54.9654542132	55.3718049455	53.6409048319	53.5519407196	56.7820419614	58.8338478361	64.3478900816	76.9217343870	88.9343880575	94.3101402706	97.2776844335	100.5261113889	102.8535463882	103.6757123523	103.3580303283	101.0662580286	98.7390815435	101.3453064625	107.3638151051	113.0834976146	118.1900621961	123.6345039909	128.0504509317	131.0507513043	132.1442189619	133.6497210863	134.4091271029	134.0056106500	133.6069071235	134.4228359490	136.3240508824	137.4796038102	135.6436903158	132.3851118609	131.2517875127	133.5691540598	134.5392038469	133.3801158041	132.2256594870	132.5778694247	133.0673123542	131.2483447230	128.3051311106	127.4956859952	129.5303831445	131.6824548162	132.8773697179	134.2096744922	133.9680250508	133.1313127040	132.4968269577	132.9025994105	133.2687947471	133.1621811955	132.3135101521	131.0487058990	130.2661873469	129.5237423681	128.8651821133	128.5198019236	128.5926327558	129.0583071556	129.1007227898	127.1886570220	124.5309434569	123.3574069028	123.9432166654	124.7733984779	125.8283698475	126.4097324179	126.1826197020	125.0974880749	123.9491784432	123.4376232629	122.7949903587	121.3837187452	120.0094959459	119.6920257430	120.2265573662	120.3456213174	119.5666718063	117.5369821606	115.7117939536	113.7427411234	113.0504753744	114.4026427030	116.9574086082	117.9143181122	117.8168345568	117.2327290097	117.0477739602	115.9378632895	112.7221687464	107.3702295174	103.2573424243	102.8830431752	103.6601375889	104.1511741624	104.6820415960	105.6929457527	105.9777024072	102.7322672343	95.1571505040	88.0752683458	85.0076739234	84.6694476578	86.8503955301	91.4739092965	96.3713686008	99.6307707570	101.9441112131	103.3761047151	103.5865282076	102.1369654970	94.1220155486	78.8805430535	68.7271538015	74.3345231603	86.7096043102	94.8312887911	97.8984821293	98.4093981854	97.9225570358	96.2657454457	94.3231556270	92.5905819968	91.5839160643	90.8677481179	90.2327812368	15	1025	51.0000000000	4	2983.7900000000	0	2021-208	17:58:27.691
0187	0.0320000000	0.0000000000	36.2656568376	39.3748318198	40.9482581266	42.5658965845	46.6154922232	51.5329937969	54.0544929278	54.1142330800	55.1175287882	55.2367480215	53.7483508581	53.4931601492	56.7527270971	58.8434854710	64.3195360528	76.9400928597	89.1206295970	94.3101402706	97.3752245822	100.6340717925	102.9118894590	103.7653565900	103.3775569038	101.2081375893	98.7919930921	101.3848970666	107.3418658198	113.0458614264	118.1581057519	123.6079535609	128.1091097621	131.0237954860	132.2425737245	133.8107936301	134.4883500607	134.1039658207	133.6187243476	134.4348925218	136.4284486239	137.6167221011	135.7066244155	132.5054203324	131.3848094356	133.6322547880	134.6768073110	133.5098509792	132.3412075369	132.6794013697	133.2018828364	131.4487748112	128.3837647624	127.6114914813	129.6768759454	131.6128946396	132.9037394771	134.2356749906	134.0347103542	133.1566166482	132.5218120939	132.9966327955	133.4308467346	133.2451806012	132.3816721478	131.0730332402	130.3978760995	129.7098616270	128.8108870955	128.5996837056	128.7345120277	129.0479931400	129.2006908638	127.2423614153	124.6458952436	123.4131365828	123.9601706622	124.8709082838	126.0211734688	126.5527525165	126.2190542791	125.1902984810	124.1000706208	123.5781693652	122.8663912710	121.6075882029	120.2689943952	119.8265486275	120.2810973412	120.5262146435	119.5666718063	117.5733826856	115.7490224206	113.8640443295	113.1658221973	114.4646936048	117.0587416402	118.0159671192	117.9264696166	117.5074407043	117.0319972779	115.9616614044	112.9377903231	107.3059800133	103.2412208403	102.8024054070	103.7084156066	104.2392097230	104.5627010779	105.8748481043	106.1350229047	102.8969070146	95.2276073656	88.1065750834	85.0311561743	84.6694476578	86.8112005487	91.4817624824	96.4422335082	99.7811737094	102.0239408848	103.4569732346	103.6029556247	102.1620823672	94.1391440112	78.8805430535	68.7900968407	74.3345231603	86.7379187013	95.0049466018	98.1740648612	98.6198487679	98.1979076946	96.4839808242	94.3655627655	92.7314265022	91.7283724690	90.9020220897	90.1738675030	15	1028	49.5000000000	5	2984.0300000000	0	2021-208	17:58:27.951
0187	0.0320000000	0.0000000000	36.0867768062	39.1310737667	40.7072627461	42.4119481806	46.5036749983	51.4870060022	54.0360991566	54.1701119491	55.0129775178	55.4393334074	53.6311370113	53.5715342431	56.6940973686	58.8338478361	64.2344739663	76.8299420235	88.9343880575	94.2334780052	97.2289143591	100.6340717925	103.0066969489	103.7998351430	103.4816986397	101.2204749424	98.8625418236	101.4301434712	107.3693024264	113.0781210163	118.2113664923	123.6451241629	128.0931118992	131.1963127230	132.3245360267	133.7830225019	134.5336203224	134.2312489827	133.7014449167	134.5916279689	136.4837180165	137.6042568019	135.6625705457	132.3787798361	131.3468031719	133.6701152248	134.5829867673	133.5283845757	132.2803927738	132.6375940982	133.2252863985	131.4029622196	128.2882810423	127.7107533266	129.5846397374	131.7413134272	133.0461361770	134.1472732959	134.0603585478	133.1667382259	132.6367437205	133.0263275487	133.4112040694	133.3184153709	132.3573285779	131.1362843272	130.3978760995	129.6559849994	128.9046693989	128.6146615397	128.7446462614	129.1562903034	129.3111818929	127.3068066873	124.6896864004	123.5078770387	123.9432166654	124.8938517675	126.0328585368	126.6421400781	126.1947645610	125.1407995977	124.0371988801	123.4823424773	122.8339363108	121.5022378699	120.2556867824	119.8938100698	120.4515347630	120.4984310548	119.6733238918	117.8063460455	115.8383707416	114.0308362378	113.2042711383	114.5422572321	116.9184343650	117.9612330385	117.8794831624	117.4838939876	117.0162205956	116.0409884540	112.8818884329	107.4585725856	103.4346798474	102.9314258361	103.7727862968	104.1831870935	104.6899976305	105.8590305085	106.0956927803	102.8655470565	95.1571505040	88.1535351898	85.0311561743	84.8104572550	86.8739125190	91.5524411554	96.5682155657	99.8128374889	102.1915831952	103.5944497179	103.6933064187	102.2206883976	94.2247863244	78.8805430535	68.7271538015	74.2976457093	86.7190424405	95.1496614440	98.0067467740	98.6499131369	97.9429533809	96.6606475591	94.5563948891	92.7314265022	91.7839326247	90.9477207187	90.4330879314	15	1029	51.5000000000	6	2984.2800000000	0	2021-208	17:58:28.191
0187	0.0320000000	0.0000000000	36.0420567983	39.2900464100	40.6369724268	42.4600570568	46.5036749983	51.4686108843	54.1372648984	54.1514856594	55.1555474319	55.4682741768	53.8460290638	53.6009245283	56.8895297970	58.8531231058	64.2439253092	76.8299420235	88.8457016102	94.2590320937	97.1151175190	100.6340717925	102.7441531306	103.6481295100	103.4556632058	101.1896315596	98.8096302750	101.4244876706	107.4241756397	113.1587699910	118.2912576029	123.6663645069	128.1997643181	131.1531834138	132.3026794128	133.7830225019	134.5109851916	134.2543913758	133.6069071235	134.6398542602	136.5082821910	137.6104894515	135.7821453352	132.3851118609	131.3087969082	133.5691540598	134.6142602818	133.4480723244	132.3472890132	132.6853738370	133.1726283837	131.4144153675	128.4286982777	127.5784041996	129.5900653967	131.6931563818	133.0461361770	134.2720756885	134.1270438512	133.2072245366	132.6567318294	133.0560223018	133.3473654077	133.2354159652	132.3768034339	131.2092663506	130.3539798486	129.7686361298	128.8898616668	128.6496098193	128.6737066255	129.1666043189	129.2269982517	127.3121771266	124.6787386112	123.4688662627	124.0505919786	124.9626822187	126.1204965464	126.5646708580	126.3101407216	125.2026732018	124.0749219245	123.5398386100	122.8858642470	121.5417442448	120.2157639441	119.9476192236	120.3765422974	120.4914851577	119.6733238918	117.6316235256	115.8383707416	113.8337185280	113.2042711383	114.4646936048	116.9807931540	118.1567118981	117.8873142381	117.4760450820	116.9057838194	116.0251230440	112.8100145739	107.3943230815	103.4104974715	102.8507880680	103.6923229340	104.1911903263	104.6104372851	105.7720337316	106.1900850788	102.9596269309	95.3528640083	88.2787621402	85.1642222630	84.9201313861	86.9287854929	91.5445879695	96.3713686008	99.7970055991	102.0239408848	103.4569732346	103.6358104589	102.2625498478	94.3104286376	78.8893232944	68.8979991936	74.2331101702	86.7945474835	95.0724801948	98.0658002165	98.6499131369	98.1469168319	96.4112356980	94.5033859659	92.5797478041	91.5061318463	90.7877755170	90.1031710226	15	1030	51.5000000000	7	2984.5200000000	0	2021-208	17:58:28.437
0187	0.0320000000	0.0000000000	36.1762168219	39.0038956520	40.7775530654	42.4696788321	46.5129931003	51.4962035611	54.0085084997	54.0211016314	55.1935660757	55.4972149462	53.6995117553	53.6499083370	56.9188446613	58.9784123588	64.3856954534	77.0502436958	88.9343880575	94.3186583000	97.2370427049	100.6417832499	102.8681321559	103.6757123523	103.5337695077	101.2389809720	98.9154533722	101.5149804799	107.4296629610	113.1748997859	118.2912576029	123.7672561409	128.2050969390	131.2232685413	132.3136077197	133.9329865944	134.7033838036	134.2196777862	133.7191707530	134.6519108331	136.5635515835	137.6104894515	135.7947321552	132.4357680594	131.4228156993	133.6385648608	134.6642979052	133.5098509792	132.3655334422	132.7152361738	133.2720935227	131.4945874028	128.4511650354	127.6611224040	129.7474095161	131.6717532506	133.0566840807	134.3396769844	134.1937291546	133.1819205924	132.6167556115	133.0461240508	133.4701320649	133.3330623248	132.4011470038	131.1995354142	130.3929987383	129.6902701260	128.9145412203	128.6945433216	128.7243777940	129.1098772334	129.2322597293	127.3282884446	124.6732647166	123.4688662627	123.9545193299	124.9225311222	126.0737562746	126.6480992488	126.2372715676	125.1531743185	124.0749219245	123.4567886405	122.9183192072	121.4495627034	120.2224177505	119.7323826083	120.3151848256	120.4845392605	119.5240109722	117.5588224756	115.7490224206	113.8261370776	113.1812017737	114.5732826830	116.9028446678	117.9690521929	117.9421317680	117.3347647820	116.9688905487	115.9854595192	112.9298043388	107.5067597137	103.3460111358	102.9314258361	103.7647399605	104.1431709297	104.6979536651	105.7878513274	106.0720947057	102.9909868891	95.2432644459	88.1300551366	85.1094303441	84.6694476578	86.8503955301	91.6074134567	96.4107379938	99.7811737094	102.1197364907	103.5297549022	103.6522378759	102.1620823672	94.2761717124	78.9507849809	68.7990887035	74.2792069839	86.7756712227	95.0145942580	98.0953269378	98.6499131369	98.0857277966	96.5567259503	94.5033859659	92.7097581168	91.7061484068	90.7992001743	90.2209984900	15	1029	49.5000000000	8	2984.7700000000	0	2021-208	17:58:28.780
0187	0.0320000000	0.0000000000	36.1650368199	39.2264573527	40.6972212719	42.5947619102	46.5968560190	51.5237962379	54.0912804703	54.1142330800	55.0700054835	55.4489803306	53.6506726524	53.4931601492	56.8113568257	58.9013112800	64.2344739663	77.0686021685	89.1561041759	94.3697664769	97.3589678908	100.8422811423	103.0139898328	103.9653321972	103.4686809228	101.1772942065	98.7743559093	101.4075202689	107.4077136757	113.1426401960	118.2912576029	123.6929149369	128.1784338343	131.1747480684	132.3354643337	133.8607816610	134.6467959765	134.2023209913	133.7073535288	134.6579391195	136.6433851506	137.7663056911	135.8450794350	132.4864242579	131.4164813220	133.6574950792	134.5704773614	133.5283845757	132.2803927738	132.7510709779	133.2369881796	131.3972356457	128.4062315200	127.6611224040	129.7474095161	131.7199102959	133.0197664177	134.3032762866	134.1475624061	133.2477108473	132.6067615570	133.0510731763	133.4504893998	133.3086507349	132.3914095758	131.1557462001	130.4905459625	129.7196573774	128.9392207739	128.6745728761	128.7193106771	129.0944062100	129.2217367741	127.3443997626	124.5856824029	123.4521473587	124.0223353172	124.9512104769	126.0562286727	126.6659767612	126.3708650167	125.2459847246	124.1943782318	123.6165001203	122.9313011912	121.6010038071	120.2224177505	119.7458348968	120.2333748631	120.4428638776	119.5666718063	117.7772256256	115.8755992087	113.9171144821	113.2580996557	114.5422572321	116.8872549706	118.0316054280	117.9577939194	117.3818582153	116.9925555721	115.9140651746	112.8739024485	107.5228220897	103.3460111358	102.9717447202	103.6923229340	104.0711418347	104.7377338378	105.7483073379	106.1192908549	102.9753069100	95.2197788254	88.1378818210	85.1563948460	84.9671345852	86.9758194706	91.5917070849	96.5682155657	99.7020142608	102.0159579176	103.4731469385	103.5372459563	102.2039438175	94.1648367052	78.8893232944	68.7271538015	74.2515488957	86.8606143960	94.9760036334	98.0658002165	98.7601491563	98.2081058671	96.6918240417	94.5563948891	92.6122503823	91.5283559086	91.0276933196	90.0796055291	15	1032	47.0000000000	9	2985.4600000000	0	2021-208	17:58:29.373
0187	0.0320000000	0.0000000000	36.1314968140	39.1522701191	40.6570553751	42.5274094835	46.5223112024	51.6985498578	54.2108399834	54.1235462249	55.1460427710	55.5261557157	53.6799761141	53.5225504344	56.7918135828	58.9976876285	64.3856954534	77.0318852231	89.0408117943	94.4464287423	97.2939411249	100.7266092813	102.9702325297	103.9377493548	103.4947163567	101.2513183251	98.8919371284	101.4980130781	107.5174601022	113.2824317522	118.3445183433	123.8362872589	128.3384124626	131.2610066869	132.4064983289	133.9163239175	134.6298196284	134.2833193672	133.6719018563	134.6880805516	136.5758336708	137.6541179986	135.8136123851	132.5054203324	131.4988282266	133.7332159530	134.7018261226	133.5778074995	132.4081037764	132.7630159126	133.3189006470	131.4430482373	128.4174648989	127.7052387796	129.7202812197	131.7306118616	133.1146975510	134.3292767850	134.1578216836	133.2477108473	132.6867139929	133.0758188040	133.4455787335	133.3281800068	132.4011470038	131.2676519694	130.4807912401	129.7833297555	128.9836439702	128.7844103263	128.7953174299	129.1253482567	129.3006589378	127.3605110805	124.7498992410	123.5468878146	124.0053813204	124.9856257025	126.1088114785	126.6421400781	126.2190542791	125.1407995977	124.0560604023	123.5078963140	122.9702471434	121.5417442448	120.2490329760	119.9072623582	120.4378997693	120.6790243810	119.7444252821	117.7772256256	115.8458164350	113.9398588333	113.2504098675	114.5345008694	116.9340240623	117.9846905017	117.8873142381	117.3661604042	116.9846672310	116.0489211589	113.0735520567	107.5549468417	103.3863150956	102.9233620593	103.8130179782	104.3272452835	104.7377338378	105.9223008917	106.1822190539	103.0223468472	95.2119502852	88.0674416614	85.0702932592	84.7477863229	86.8112005487	91.5681475272	96.4343596296	99.7336780402	102.0399068191	103.5297549022	103.5290322478	102.2541775578	94.3189928689	79.0385873901	68.8350561544	74.3529618857	86.7567949620	95.0724801948	98.0264312548	98.6398916806	98.2387003848	96.5359416286	94.5669966738	92.7530948877	91.6283641888	90.8791727751	90.2445639835	15	1022	49.0000000000	10	2985.7000000000	0	2021-208	17:58:29.623
0187	0.0320000000	0.0000000000	36.1203168121	39.2264573527	40.8177189621	42.4889223826	46.4943568962	51.5145986790	54.2108399834	54.0490410660	55.0890148054	55.4200395611	53.9632429107	53.7968597630	56.8211284471	58.9784123588	64.2533766522	76.9768098051	88.8989134786	94.2760681526	97.3101978164	100.6957634517	103.0212827166	103.8274179853	103.5858403757	101.2636556782	98.9389696160	101.5036688787	107.5009981382	113.2071593758	118.3178879731	123.7778763129	128.1890990762	131.1639657411	132.4338190963	133.9052154662	134.5053264089	134.2775337689	133.7014449167	134.6579391195	136.6065388889	137.7289097936	135.8576662550	132.5054203324	131.5178313585	133.7773864627	134.7768825576	133.5407403066	132.4750000158	132.8287130534	133.2545408511	131.4945874028	128.3725313836	127.6942096857	129.6226193525	131.7680673413	133.0725059362	134.2720756885	134.1321734899	133.2173461143	132.6717229112	133.0857170550	133.4848640638	133.3672385506	132.4498341436	131.2530555647	130.4271402668	129.7392488784	128.8306307384	128.6096689283	128.7953174299	129.1459762878	129.2796130275	127.2369909760	124.7389514518	123.3964176788	124.0788486400	124.8881158966	126.0503861387	126.6004258826	126.3101407216	125.2026732018	124.1063577948	123.5781693652	122.9313011912	121.5944194113	120.2091101377	119.8332747717	120.3492723099	120.5401064378	119.6022225015	117.6389036306	115.7862508877	113.8185556272	113.2580996557	114.5577699576	117.0821261861	118.1332544350	117.9577939194	117.4446494598	117.1266573717	116.0489211589	112.8978604015	107.4505413976	103.3218287599	102.9314258361	103.6601375889	104.3032355852	104.5865691815	105.8432129127	106.1350229047	102.9047470041	95.2197788254	88.1300551366	85.0546384253	84.7242847234	86.7955225562	91.6074134567	96.4894767798	99.7495099300	102.1516683594	103.5054943464	103.6358104589	102.1620823672	94.2333505558	78.7839604033	68.7271538015	74.2423295330	86.7851093531	94.9470606649	97.9083243697	98.7401062437	98.0245387613	96.7230005244	94.5457931045	92.6664213459	91.7172604379	90.8563234606	90.3741741977	15	1029	47.0000000000	11	2985.9500000000	0	2021-208	17:58:29.857
0187	0.0320000000	0.0000000000	36.1203168121	39.0674847094	40.6972212719	42.4408135063	46.4850387941	51.4870060022	54.0728866991	54.1887382389	55.1840614148	55.5454495619	53.8264934227	53.5911277665	56.8895297970	58.9976876285	64.4045981393	76.9584513324	88.9964685707	94.4634648012	97.2695560878	100.7574551109	103.1306759743	103.8205222747	103.5598049417	101.2759930313	99.0095183475	101.5149804799	107.6052572434	113.3469509320	118.4457137501	123.8575276029	128.2957514950	131.2933536688	132.4338190963	133.9329865944	134.6807486727	134.3874601361	133.8550688308	134.7483634159	136.5574105399	137.6852812465	135.8576662550	132.6257288039	131.4671563402	133.7521461714	134.7706278547	133.6828312128	132.4385111579	132.9362174657	133.3481550996	131.5976657338	128.6421324755	127.9313352049	129.8450713834	131.9018369118	133.1146975510	134.3864778816	134.2091180708	133.2578324250	132.6667258839	133.1154118082	133.5143280615	133.3721208686	132.5958955632	131.2676519694	130.5295648522	129.8176148821	129.0428748986	128.8393290514	128.8763912996	129.2800584901	129.3480122360	127.4894016244	124.7991642924	123.5636067186	124.1466646273	125.0888713793	126.2373472260	126.7076909566	126.4801687478	125.2954836078	124.1377936652	123.6803847122	123.0221750796	121.6207569946	120.3688014911	120.0552375312	120.4719872537	120.6859702781	119.7230948650	117.6753041556	115.9872846099	113.8716257799	113.2350302911	114.6198208594	117.1522798237	118.1645310525	117.9499628437	117.5074407043	117.1424340540	116.1917098482	112.8818884329	107.5951027818	103.3863150956	102.9798084970	103.7406009517	104.2472129557	104.8491183213	105.8115777211	106.1507549544	102.9988268786	95.2197788254	88.2161486650	85.1798770969	85.0611409833	87.0228534483	91.5917070849	96.4107379938	99.7970055991	102.2155320967	103.4731469385	103.7097338357	102.4132510688	94.3618140255	78.9332244990	68.8710236054	74.3345231603	86.8794906567	94.9760036334	98.0756424570	98.8002349815	98.1061241417	96.5775102721	94.6200055970	92.6880897313	91.8283807493	90.9134467469	90.2327812368	15	1034	48.5000000000	12	2986.1900000000	0	2021-208	17:58:30.122
0187	0.0320000000	0.0000000000	36.2097568278	39.2582518814	40.7976360138	42.6524925617	46.4384482837	51.4594133253	54.0177053853	54.1142330800	55.0795101444	55.4489803306	53.8362612432	53.6401115752	56.8504433113	58.8145725664	64.3856954534	76.9217343870	88.9166507680	94.2845861821	97.2045293219	100.6957634517	102.9264752267	103.8343136959	103.4426454888	101.2513183251	98.8625418236	101.4244876706	107.5064854595	113.1480167944	118.2965836769	123.7300855389	128.1997643181	131.1100541045	132.2808227989	133.7941309532	134.4826912780	134.1618218034	133.6305415718	134.6338259738	136.5205642782	137.7289097936	135.7884387452	132.4547641339	131.4798250948	133.6890454433	134.6830620139	133.5283845757	132.3351260606	132.7092637064	133.1843301648	131.4086887936	128.2882810423	127.6997242327	129.6280450118	131.6878055990	132.9723008511	134.2304748909	134.0090621606	133.1616774370	132.6367437205	133.0015819211	133.3866507380	133.2988860989	132.4352280017	131.1995354142	130.4807912401	129.7441467536	128.8849257561	128.7494620467	128.7041093266	129.1356622723	129.2480441620	127.2853249300	124.6732647166	123.4465743907	123.9262626686	124.8594365419	126.0387010707	126.5289158334	126.1947645610	125.1346122373	124.0309117060	123.4120694261	122.7884993667	121.4956534741	120.1824949121	119.8736316371	120.3697248006	120.4428638776	119.6591036137	117.6753041556	115.7936965811	113.9095330318	113.1735119855	114.4181554284	116.8872549706	117.8986798035	117.8481588596	117.2876713486	116.9688905487	116.0251230440	112.8180005583	107.4505413976	103.3460111358	102.8588518448	103.5796742261	104.1911903263	104.6661295269	105.6929457527	105.9934344570	102.8028271401	95.1023507229	88.1457085054	85.1329125950	84.7791217889	86.8425565338	91.5288815977	96.3241253292	99.6703504813	102.0239408848	103.4569732346	103.4222540367	102.1537100771	94.1048870860	78.8805430535	68.7721131152	74.3621812484	86.7756712227	94.9470606649	98.1445381399	98.6298702243	98.1061241417	96.4839808242	94.5351913198	92.7097581168	91.4505716906	90.7992001743	90.1738675030	15	1024	46.5000000000	13	2986.4400000000	0	2021-208	17:58:30.449
