SN	INTTIME(ES)	SAMPLE(DELAY)	ES(349.01)	ES(352.33)	ES(355.64)	ES(358.96)	ES(362.28)	ES(365.60)	ES(368.92)	ES(372.24)	ES(375.56)	ES(378.88)	ES(382.20)	ES(385.52)	ES(388.85)	ES(392.17)	ES(395.49)	ES(398.82)	ES(402.14)	ES(405.47)	ES(408.79)	ES(412.12)	ES(415.44)	ES(418.77)	ES(422.10)	ES(425.42)	ES(428.75)	ES(432.08)	ES(435.41)	ES(438.74)	ES(442.07)	ES(445.40)	ES(448.73)	ES(452.06)	ES(455.39)	ES(458.72)	ES(462.05)	ES(465.38)	ES(468.71)	ES(472.04)	ES(475.38)	ES(478.71)	ES(482.04)	ES(485.37)	ES(488.71)	ES(492.04)	ES(495.37)	ES(498.71)	ES(502.04)	ES(505.38)	ES(508.71)	ES(512.04)	ES(515.38)	ES(518.71)	ES(522.05)	ES(525.38)	ES(528.72)	ES(532.05)	ES(535.38)	ES(538.72)	ES(542.05)	ES(545.39)	ES(548.72)	ES(552.06)	ES(555.39)	ES(558.73)	ES(562.06)	ES(565.40)	ES(568.73)	ES(572.07)	ES(575.40)	ES(578.73)	ES(582.07)	ES(585.40)	ES(588.74)	ES(592.07)	ES(595.40)	ES(598.74)	ES(602.07)	ES(605.41)	ES(608.74)	ES(612.07)	ES(615.40)	ES(618.74)	ES(622.07)	ES(625.40)	ES(628.73)	ES(632.06)	ES(635.40)	ES(638.73)	ES(642.06)	ES(645.39)	ES(648.72)	ES(652.05)	ES(655.38)	ES(658.71)	ES(662.03)	ES(665.36)	ES(668.69)	ES(672.02)	ES(675.35)	ES(678.67)	ES(682.00)	ES(685.33)	ES(688.65)	ES(691.98)	ES(695.30)	ES(698.62)	ES(701.95)	ES(705.27)	ES(708.59)	ES(711.92)	ES(715.24)	ES(718.56)	ES(721.88)	ES(725.20)	ES(728.52)	ES(731.84)	ES(735.16)	ES(738.48)	ES(741.79)	ES(745.11)	ES(748.42)	ES(751.74)	ES(755.05)	ES(758.37)	ES(761.68)	ES(765.00)	ES(768.31)	ES(771.62)	ES(774.93)	ES(778.24)	ES(781.55)	ES(784.86)	ES(788.16)	ES(791.47)	ES(794.78)	ES(798.08)	ES(801.39)	DARK_SAMP(ES)	DARK_AVE(ES)	TEMP(PCB)	FRAME(COUNTER)	TIMER	CHECK(SUM)	DATETAG	TIMETAG2
0187	0.0320000000	0.0000000000	30.6085758428	33.1113096720	34.4313413792	35.9557369920	39.3287363980	43.5587101944	45.8232802937	45.7696552882	46.5538292817	46.9982756626	45.4457033742	45.5773766650	48.0950705158	49.9479485110	54.6035555031	65.3926135356	75.4895226382	80.1020670972	82.6222770888	85.4733465461	87.5311974330	88.2706948905	88.0296685690	86.1195547426	84.2001638011	86.3348117263	91.6591014749	96.4214194369	100.8803215631	105.5642813349	109.3596145279	112.0361170899	113.0470025490	114.4209918866	115.0334551175	114.8321379713	114.4630039882	115.3674225622	116.9551993066	117.9402473597	116.5117239867	113.6866425788	112.8124152465	114.7462068597	115.6937839659	114.8156300240	113.7318900198	114.1528076527	114.6311562937	113.2439962326	110.6855764146	110.1469212635	111.9024161114	113.6449659353	114.8931939212	115.9261239839	115.8860485511	115.0541749626	114.5974753738	114.9966632547	115.3546841260	115.4100730236	114.6059973887	113.5622130808	112.9076588019	112.2930173004	111.4167377735	111.2104182988	111.2782944711	111.6534059020	111.8956911042	110.0247329294	107.5509224009	106.4267301380	106.8818445292	107.9959759947	109.3290538944	109.9981761051	109.8538567638	109.0165383902	108.0929254465	107.7092367296	107.1581905687	105.9433105590	104.7589716975	104.5582012323	105.1053493005	105.5716980620	104.5927190082	102.7219684881	101.0586693139	99.3834741077	99.0319914862	100.3636261645	102.8019635110	103.8476593754	103.6582496920	103.4971442831	103.3062836750	102.3729378069	99.4654347670	94.3918296869	90.4568047925	90.0051915979	90.6170264823	91.0418788771	91.7455294347	92.8174227749	93.4313927358	90.2431638997	82.7958855756	75.9517342136	72.9847614455	72.8089737595	74.7940192487	79.5763326667	84.5762984625	88.1130709785	90.6641786119	92.1596410508	92.3994571705	91.1274040783	83.8449379655	69.6788505624	60.3737133157	65.4193994021	77.1487782522	84.8073740534	87.8397124127	88.2977487675	87.8875552510	86.5178985405	84.2832655686	82.5472853395	81.6942083526	80.8711730096	80.1231845290	15	1026	52.0000000000	186	4325.5700000000	0	2021-208	19:13:07.431
0187	0.0320000000	0.0000000000	30.4408758133	33.0795151434	34.3911754824	35.8691410148	39.1237381522	43.4115492514	45.6761301237	45.6672106948	46.5633339426	46.7667495073	45.3382573479	45.2246932425	47.9094097088	49.7166452748	54.3956259582	65.0254440817	75.2234632962	79.7869000064	82.2971432597	85.1648882501	87.1592603570	87.9603879139	87.7432787951	85.8728076805	83.9238479362	86.0916123014	91.3353495168	96.1203299312	100.6140178611	105.3253274649	109.0556551342	111.6695179613	112.6809042658	114.0433045424	114.7335396341	114.5660004508	114.0730355910	115.0057253768	116.5376083405	117.6223822308	116.1655864380	113.2813929906	112.5400370234	114.4054629278	115.3622847115	114.3522901127	113.4034902989	113.7645972751	114.2391466282	112.8603157781	110.3766584968	109.8105338990	111.5388969389	113.3667252287	114.3763466403	115.5205162081	115.4243810660	114.6897981660	114.2476834668	114.5908349615	115.0453121498	114.9511351335	114.2311064119	113.1194554719	112.4833283767	111.8620042800	111.0366726492	110.7810537209	110.8779922397	111.2975723653	111.4800343754	109.6165795405	107.1075369381	105.9864656665	106.5427645928	107.5715215456	108.8908638461	109.5929524925	109.4227142690	108.6576714869	107.8414384839	107.3578714740	106.8401319594	105.5811687891	104.5260884738	104.2286201652	104.8326494256	105.0646475694	104.3509742812	102.2997223982	100.6491561761	98.9058427339	98.5706041943	100.0688843808	102.5603232037	103.6209038982	103.4233174210	103.0262099496	102.9434199821	101.8969755093	99.0581495664	93.9983014742	90.1021299463	89.6503854179	90.1503389782	90.6577237039	91.2442992587	92.3824388905	92.9279671440	89.8354844437	82.4044585671	75.5917067313	72.7969034380	72.4486159000	74.4647814049	79.3093243463	84.2849649544	87.7885172391	90.2490643194	91.7633853049	92.1037636629	90.8176293464	83.6051394886	69.4154433346	59.9600876296	65.1796959712	76.9411393842	84.5179443689	87.5247607190	88.0071265345	87.6631954550	86.1022121053	83.9228048907	82.1680885941	81.3941835120	80.7112278079	80.0407053017	15	1022	50.0000000000	187	4326.2600000000	0	2021-208	19:13:08.031
0187	0.0320000000	0.0000000000	30.5526758329	33.0689169671	34.4012169566	35.9749805425	39.2448734793	43.5035248408	45.8140834081	45.7417158537	46.4302686895	46.8439248924	45.2503469628	45.3324576216	48.0071259230	49.7359205444	54.4145286441	65.3191796448	75.2057260067	79.8294901538	82.4515818285	85.2111569945	87.1884318923	88.0086578880	87.7237522197	85.8049522384	83.8826945096	86.1198913043	91.2914509462	96.2117321026	100.6086917871	105.3147072929	109.1623075530	111.7180384342	112.7956514889	114.1877144093	114.7391984168	114.6122852369	114.2384767292	115.0660082410	116.6051598203	117.6909413762	116.2159337178	113.3827053876	112.6603901917	114.5632147481	115.4123223348	114.4758474224	113.5007939199	113.7944596118	114.3503135483	112.9118549436	110.3598084285	109.8381066338	111.5497482575	113.2704111380	114.5609349549	115.5309164075	115.5936591438	114.7657099987	114.3476240116	114.6898174721	115.1435254756	115.0585461291	114.2603186958	113.2946123282	112.6101397682	111.8620042800	111.1304549526	110.8409650573	110.9438647588	111.3285144120	111.4642499427	109.6595430551	107.1677497788	106.0477683144	106.6840478996	107.7378618027	108.9901869237	109.7061767372	109.5805974361	108.6824209285	107.8288641357	107.3770368516	106.7946950153	105.5745843933	104.4528966035	104.2622508863	104.7576569600	105.1896737183	104.3154235860	102.4453244981	100.7385044970	99.1105418941	98.6705714409	100.1386916454	102.6460665386	103.4332441930	103.5016281780	103.1674902496	102.9670850055	102.0952931333	99.1459953940	94.1187692944	90.1021299463	89.6745767484	90.2388486773	90.7057431006	91.1647389133	92.5089796568	93.0066273927	90.0393241717	82.5375437500	75.7247603660	72.8908324418	72.4877852326	74.7234682822	79.3878562052	84.3873253762	87.9230883018	90.2969621224	91.8119064167	92.1201910800	90.9097245370	83.5366256380	69.3891026118	60.0230306688	65.2995476866	76.9600156449	84.5372396812	87.5838141616	88.0973196413	87.7141863177	86.1957415532	84.0712298757	82.2872647141	81.4719677299	80.7112278079	80.0289225550	15	1029	50.5000000000	188	4326.5100000000	0	2021-208	19:13:08.271
0187	0.0320000000	0.0000000000	30.5750358369	33.0689169671	34.4715072759	35.8114103633	39.3194182959	43.5403150765	45.6577363524	45.7603421434	46.5443246208	46.7571025841	45.4066320919	45.2442867660	47.9582678159	49.7551958141	54.4712367018	65.1355949179	75.3742302567	79.7528278885	82.2808865682	85.3036944833	87.1446745893	88.0293450198	87.7237522197	85.9406631226	83.9062107534	86.1821051107	91.2749889822	96.2278618975	100.7152132679	105.3359476369	109.1943032787	111.6856914522	112.8229722563	114.1266179271	114.8410565055	114.5660004508	114.1912078326	115.0298385225	116.6972754746	117.6847087266	116.1970534879	113.4840177847	112.6413870599	114.6515557675	115.4811240668	114.5067367498	113.5007939199	113.8601567526	114.3854188915	112.9347612394	110.4946089745	109.8877375564	111.6202818283	113.4737408851	114.5345651957	115.5881175041	115.5577516728	114.7808923652	114.2626745485	114.6898174721	115.0305801509	115.0585461291	114.2992684076	113.2556885823	112.6150171294	111.9795532856	111.2044936132	110.8759133369	110.9996030442	111.3800844898	111.5168647185	109.7239883270	107.2005931464	106.1202168983	106.5992779155	107.6460878677	108.9083914480	109.6346666879	109.4834385640	108.6824209285	107.8665871801	107.3578714740	106.9634608079	105.6733503305	104.4795118291	104.2151678767	104.7440219662	105.0577016723	104.2229917786	102.4526046031	100.7161674168	99.0423088407	98.6859510173	100.2783061745	102.6070922955	103.5114357368	103.5016281780	103.1282457219	102.7698764767	102.0159660837	99.2098832686	94.1508940465	90.2633457854	89.6665129715	90.2549413498	90.7057431006	91.4432001222	92.5485236463	92.9436991938	90.0079642136	82.5610293705	75.7247603660	72.8751776078	72.5269545651	74.6685953082	79.2936179745	84.2613433186	87.8518447980	90.2889791552	91.7795590088	92.1201910800	90.8762353768	83.6393964138	69.5032457438	60.0679899825	65.2257927848	76.8656343413	84.6530115550	87.5149184786	88.1674698355	87.6529972824	86.0814277836	83.9334066753	82.2547621359	81.4052955431	80.6655291788	80.1231845290	15	1031	50.5000000000	189	4326.7500000000	0	2021-208	19:13:08.539
0187	0.0320000000	0.0000000000	30.4408758133	33.0159260860	34.4715072759	35.8980063405	39.2728277855	43.5219199587	45.6393425812	45.7044632742	46.6108572473	46.7474556610	45.4066320919	45.2344900042	47.9973543016	49.6973700051	54.4239799871	65.1172364452	75.2234632962	79.9402245370	82.5003519029	85.3345403129	87.3342895692	88.1327806787	87.7953496631	85.9098197398	83.9708804239	86.2330073159	91.4670452286	96.3085108723	100.7578218602	105.4262190989	109.3222861813	111.9067291621	112.9267911724	114.2710277940	114.8863267672	114.6759268179	114.2680197896	115.1383476781	116.6972754746	117.7408025729	116.2285205378	113.4966818343	112.7237339645	114.7083464228	115.5749446105	114.6673612524	113.7075641145	113.9318263608	114.4731822494	113.0664724402	110.5226924216	110.0752321530	111.7233693548	113.5325994961	114.6453181844	115.7389203951	115.6500851698	114.8163178871	114.2726686030	114.7244613508	115.1926321385	115.1464278527	114.4112488293	113.4454418433	112.7271964372	112.0089405370	111.2637245416	111.0356769008	111.0806769138	111.5451087387	111.6536631355	109.8904719462	107.4414445089	106.2428221942	106.7688178837	107.8066922539	109.1888330790	109.8313193234	109.6959735967	108.7752313345	107.9231717467	107.5239714130	106.9245148558	105.6865191222	104.5992803441	104.3362384728	104.8940068975	105.3355375586	104.4434060886	102.5545260731	100.8204071246	99.2318451001	98.7243999583	100.2627934491	102.6772459331	103.6209038982	103.6269253892	103.3009216441	103.0854101228	102.1508220680	99.2098832686	94.2071123626	90.3197713292	89.6503854179	90.3032193675	90.8337948250	91.4829802949	92.5959764337	93.0695555917	90.1020440880	82.6628003927	75.7952005256	73.0004162795	72.7463028274	74.6921122970	79.3014711604	84.3400821046	87.7964331839	90.2730132209	91.8766012323	92.2269692911	90.9264691171	83.5366256380	69.5032457438	60.0769818452	65.4470574903	77.0638350789	84.6723068673	87.6625520850	88.2676843986	87.6224027648	86.0814277836	84.1454423682	82.2330937505	81.6053121036	80.6655291788	80.0996190355	15	1029	51.5000000000	190	4327.0000000000	0	2021-208	19:13:08.773
0187	0.0320000000	0.0000000000	30.5079558251	33.0689169671	34.5116731727	35.9653587672	39.2914639896	43.4667346050	45.6209488099	45.7603421434	46.5063059770	46.7281618147	45.4066320919	45.3422543833	48.0950705158	49.9575861458	54.6602635608	65.3100004085	75.4008361909	80.0679949792	82.5247369400	85.3114059407	87.4290970592	88.1327806787	87.8734559651	85.9221570929	84.0708244601	86.2725979200	91.4725325499	96.4375492318	100.8217347487	105.5430409909	109.3169535604	111.9660319623	112.9814327072	114.3210158249	114.9655497250	114.7511395955	114.3566489708	115.0840931003	116.7893911289	117.8218270175	116.3921491972	113.6106582810	112.6857277008	114.8093075878	115.6187275310	114.6920727143	113.6345863988	113.9855785670	114.5667964979	113.0951053100	110.5957093840	110.0090575895	111.7722002884	113.6770706322	114.7824409324	115.8741229870	115.8039743315	114.9276552416	114.4925378017	114.8333421123	115.3252201283	115.2587211662	114.5232292510	113.5184238668	112.8247436614	112.0579192893	111.2982759166	111.0206990667	111.0401399790	111.5502657465	111.6747090459	109.9495467788	107.4742878765	106.2874059381	106.9270551874	107.8124281248	109.2414158848	109.8670743481	109.6413217311	108.8680417405	107.9860434874	107.6197983009	106.9764427920	105.7984538510	104.6591646017	104.4304044920	105.0099043443	105.3216457643	104.5642784521	102.6710077531	100.9693209929	99.3683112069	98.8551263577	100.2240116354	102.6772459331	103.7538295227	103.7522226004	103.4186552275	103.0854101228	102.3094761672	99.4414768140	94.2713618667	90.3439537050	89.7632782933	90.4480534205	90.8417980578	91.4750242604	92.5643412421	93.2190100643	90.1961239625	82.5923435312	75.8343339476	72.8908324418	72.6836318953	74.6685953082	79.4585348782	84.3558298618	87.9310042466	90.4326725642	92.0221645675	92.2516104167	91.0436811778	83.6993460331	69.5032457438	60.1848841981	65.2811089612	77.0827113396	84.7494881165	87.7314477680	88.2676843986	87.6529972824	86.2061337141	84.1984512915	82.4172750268	81.4386316365	80.8597483523	80.2645774899	15	1027	51.0000000000	191	4327.2400000000	0	2021-208	19:13:09.101
0187	0.0320000000	0.0000000000	30.4296958113	33.0477206147	34.4715072759	35.7633014871	39.1796467647	43.5311175176	45.6669332381	45.5927055360	46.5633339426	46.6895741222	45.2698826039	45.4402220007	48.0462124087	50.0250495897	54.5468474454	65.1998495723	75.3210183883	80.0168868023	82.4353251371	85.4502121739	87.3342895692	88.1327806787	87.9190179746	85.9159884163	84.1237360087	86.2895653217	91.4286339793	96.3085108723	100.7578218602	105.3943585829	109.3116209394	111.8851645075	112.9213270189	114.3210158249	114.9995024213	114.7453539972	114.3980092553	115.1443759645	116.8569426087	117.8218270175	116.3040414575	113.5093458840	112.6287183053	114.6515557675	115.4811240668	114.5932268666	113.5372827778	113.9258538935	114.4029715631	113.0263864226	110.5563925581	109.9373684790	111.7396463327	113.4095314913	114.6980577029	115.7545206941	115.6808630021	114.8770473532	114.3826032023	114.7690034805	115.1877214722	115.2538388482	114.4599359691	113.4016526292	112.7759700493	112.0922044159	111.2439808988	111.0606399577	111.0452070959	111.4780676375	111.6957549562	109.7669518417	107.3538621952	106.2985518741	106.8140285419	107.8124281248	109.1420928072	109.8253601527	109.7020460262	108.8061681365	107.9168845727	107.5367483314	107.0283707282	105.7326098929	104.5527036994	104.3564169055	104.9212768850	105.2244032041	104.5002872008	102.5763663881	100.7682872707	99.2470080009	98.9166446633	100.2627934491	102.6304768413	103.6678188245	103.5486146322	103.2930727386	102.9197549586	102.1032258382	99.2577991745	94.1428628584	90.2633457854	89.6907043020	90.3917290665	90.7617657300	91.4193320186	92.5880676358	93.1403498156	90.1020440880	82.6862860133	75.7325870504	72.8751776078	72.6601302958	74.6058833379	79.4035625770	84.4581902836	88.0022477504	90.4167066298	92.0221645675	92.3501749192	91.0687980480	83.5623183320	69.5208062257	60.1309330217	65.2995476866	77.0827113396	84.6337162427	87.4853917573	88.2175771170	87.7957716981	86.3100553229	84.0924334450	82.5256169541	81.4941917922	80.7683510942	80.1231845290	15	1028	50.0000000000	192	4327.9300000000	0	2021-208	19:13:09.694
0187	0.0320000000	0.0000000000	30.3737958015	32.9205425000	34.3309266373	35.8691410148	39.1982829689	43.5495126355	45.5289799537	45.7882815780	46.3922500457	46.7281618147	45.2894182450	45.2442867660	47.8898664659	49.6973700051	54.5090420736	65.1539533906	75.3298870330	79.9998507434	82.4353251371	85.4039434295	87.3197038015	88.0914064151	87.8083673801	85.9468317991	83.9414851191	86.1764493101	91.4560705859	96.2762512824	100.6939089717	105.3890484969	109.2902904556	111.8743821802	112.9158628654	114.1877144093	114.8297389401	114.6354276300	114.2384767292	115.1443759645	116.6972754746	117.8654555646	116.1970534879	113.4650217102	112.5970464189	114.6263154762	115.5249069872	114.4387802295	113.4886309673	113.8362668832	114.3444626578	112.9691206831	110.4777589063	109.8877375564	111.6691127619	113.4630393194	114.6084005215	115.7285201957	115.5526220341	114.8011355206	114.3326329299	114.7145630997	115.0895081464	115.1171339448	114.3528242615	113.3578634152	112.7613379657	111.9844511608	111.2242372560	110.9857507871	111.0350728622	111.5038526764	111.6115713149	109.7454700843	107.2115409356	106.1759465783	106.6614425705	107.7894846411	108.9551317199	109.7240542495	109.6899011672	108.7071703701	107.8665871801	107.3642599332	106.8271499754	105.6338439556	104.5527036994	104.1815371556	104.7508394631	105.1757819239	104.3438641422	102.4962852331	100.7608415773	99.1636120467	98.6859510173	100.1464480081	102.6070922955	103.5270740456	103.5486146322	103.1596413441	102.9118666174	102.0318314936	99.1140514567	94.1268004824	90.1988594498	89.6907043020	90.3514973852	90.7857754283	91.3954639150	92.6434292211	93.0616895668	90.0314841822	82.5845149910	75.7247603660	72.9064872757	72.5582900312	74.7313072785	79.3878562052	84.2770910758	87.8122650737	90.2570472866	91.8766012323	92.2598241252	90.9767028574	83.7164744957	69.4856852620	60.1399248844	65.2257927848	76.8656343413	84.7398404603	87.6034986424	88.2576629423	87.6937899726	86.1022121053	84.1560441529	82.3306014850	81.2719511695	80.5055839771	80.0053570615	15	1023	51.5000000000	193	4328.1800000000	0	2021-208	19:13:09.959
0187	0.0320000000	0.0000000000	30.6756558546	33.1537023769	34.3610510599	35.9172498910	39.2635096834	43.5495126355	45.6209488099	45.7417158537	46.6773898739	47.0368633551	45.5238459387	45.4010349538	47.9875826802	49.8708474322	54.6130068460	65.1998495723	75.3564929672	79.9146704486	82.4028117541	85.2420028241	87.3342895692	88.0914064151	87.8148762386	85.9159884163	84.0002757287	86.3348117263	91.4341213006	96.3246406672	100.6726046755	105.4049787549	109.2902904556	111.7719500707	112.8502930237	114.2654735684	114.9089618980	114.5891428438	114.3211972983	115.0961496731	116.6604292129	117.7470352225	116.2159337178	113.5600020825	112.5970464189	114.6515557675	115.4811240668	114.6488276559	113.5433642541	113.9258538935	114.4673313589	112.9462143873	110.5114590428	109.9814848547	111.6528357840	113.4095314913	114.6136744734	115.6037178031	115.5782702277	114.8264394648	114.2976537392	114.7294104763	115.1091508116	115.1171339448	114.3869052594	113.3238051376	112.6833001863	112.0579192893	111.2834681844	110.9857507871	111.0705426801	111.5244807076	111.6694475683	109.8421379922	107.3648099845	106.1202168983	106.7575152192	107.7263900608	109.0252421276	109.7776867865	109.5927422951	108.7009830097	107.8540128320	107.3387060964	106.8206589834	105.5811687891	104.5194346674	104.2487985979	104.9008243943	105.2521867927	104.4647365057	102.5618061781	100.7980700444	99.1484491460	98.7320897465	100.1852298218	102.5135541120	103.5427123544	103.5799389350	103.3009216441	102.9591966644	102.1349566581	99.1939112999	94.2151435506	90.3197713292	89.6987680788	90.2388486773	90.6817334023	91.3079475350	92.4773444652	92.9908953430	89.9922842345	82.4905725090	75.7247603660	72.7655937701	72.5504561646	74.5510103640	79.2700584168	84.2455955614	87.7568534596	90.3049450896	91.7552984530	92.1941144569	90.8176293464	83.5965752573	69.5120259848	60.1309330217	65.3179864121	76.8278818198	84.5951256181	87.6133408829	88.1374054666	87.5918082472	86.1022121053	83.8909995368	82.2330937505	81.5053038233	80.6655291788	80.1467500224	15	1025	50.0000000000	194	4328.4200000000	0	2021-208	19:13:10.193
0187	0.0320000000	0.0000000000	30.5414958310	32.8251589140	34.3510095857	35.7921668128	39.1982829689	43.3655614566	45.5289799537	45.5927055360	46.3827453848	46.6799271990	45.3382573479	45.2442867660	47.9191813302	49.7841087187	54.5090420736	65.1264156816	75.3653616119	79.8294901538	82.3540416798	85.3422517703	87.2030176600	88.0362407304	87.7888408046	85.7987835618	83.9532432410	86.1707935095	91.3298621955	96.1794725127	100.5447788986	105.2403660889	109.0663203761	111.6479533066	112.7246174936	114.0099791885	114.7052457206	114.5081444680	114.1971164447	114.9876405175	116.6849933873	117.6784760771	116.1592930280	113.3827053876	112.4513557414	114.3928427822	115.3372658998	114.4140687675	113.3365940595	113.7347349383	114.2215939566	112.8030500386	110.2643247085	109.7333302416	111.5497482575	113.3881283600	114.4870996290	115.5621170056	115.4448996209	114.6189471223	114.1677310309	114.6155805892	114.9716521555	114.9608997695	114.2213689839	113.1973029636	112.5272246276	111.8522085295	111.0909676670	110.7710684981	110.8678580060	111.2666303186	111.4747728978	109.6112091011	107.2443843032	106.0477683144	106.6105805801	107.6518237387	108.8733362442	109.6406258587	109.5927422951	108.6638588473	107.7282693507	107.3514830148	106.7882040232	105.5679999975	104.3863585396	104.1277280018	104.7303869725	104.9812968035	104.2656526128	102.3798035532	100.5895906288	98.9892386880	98.6398122881	100.0843971063	102.4044262313	103.5739889719	103.5016281780	103.0811522885	102.7225464298	101.8652446894	98.9782897232	94.1268004824	90.1504946980	89.4810461047	90.3032193675	90.6257107728	91.1965630515	92.4457092736	92.9358331689	89.9530842868	82.3966300270	75.6621468909	72.7969034380	72.4956190991	74.5666883565	79.2936179745	84.1826045327	87.6618621212	90.2410813523	91.8038195647	92.0873362458	90.7673956061	83.4338548622	69.3627618890	60.0230306688	65.0782829812	76.8656343413	84.4214678075	87.4657072765	88.1975342044	87.4694301766	86.1541729097	84.0394245218	82.5364511468	81.5164158545	80.6883784933	80.0171398082	15	1033	51.0000000000	195	4328.6700000000	0	2021-208	19:13:10.442
