SN	INTTIME(ES)	SAMPLE(DELAY)	ES(349.01)	ES(352.33)	ES(355.64)	ES(358.96)	ES(362.28)	ES(365.60)	ES(368.92)	ES(372.24)	ES(375.56)	ES(378.88)	ES(382.20)	ES(385.52)	ES(388.85)	ES(392.17)	ES(395.49)	ES(398.82)	ES(402.14)	ES(405.47)	ES(408.79)	ES(412.12)	ES(415.44)	ES(418.77)	ES(422.10)	ES(425.42)	ES(428.75)	ES(432.08)	ES(435.41)	ES(438.74)	ES(442.07)	ES(445.40)	ES(448.73)	ES(452.06)	ES(455.39)	ES(458.72)	ES(462.05)	ES(465.38)	ES(468.71)	ES(472.04)	ES(475.38)	ES(478.71)	ES(482.04)	ES(485.37)	ES(488.71)	ES(492.04)	ES(495.37)	ES(498.71)	ES(502.04)	ES(505.38)	ES(508.71)	ES(512.04)	ES(515.38)	ES(518.71)	ES(522.05)	ES(525.38)	ES(528.72)	ES(532.05)	ES(535.38)	ES(538.72)	ES(542.05)	ES(545.39)	ES(548.72)	ES(552.06)	ES(555.39)	ES(558.73)	ES(562.06)	ES(565.40)	ES(568.73)	ES(572.07)	ES(575.40)	ES(578.73)	ES(582.07)	ES(585.40)	ES(588.74)	ES(592.07)	ES(595.40)	ES(598.74)	ES(602.07)	ES(605.41)	ES(608.74)	ES(612.07)	ES(615.40)	ES(618.74)	ES(622.07)	ES(625.40)	ES(628.73)	ES(632.06)	ES(635.40)	ES(638.73)	ES(642.06)	ES(645.39)	ES(648.72)	ES(652.05)	ES(655.38)	ES(658.71)	ES(662.03)	ES(665.36)	ES(668.69)	ES(672.02)	ES(675.35)	ES(678.67)	ES(682.00)	ES(685.33)	ES(688.65)	ES(691.98)	ES(695.30)	ES(698.62)	ES(701.95)	ES(705.27)	ES(708.59)	ES(711.92)	ES(715.24)	ES(718.56)	ES(721.88)	ES(725.20)	ES(728.52)	ES(731.84)	ES(735.16)	ES(738.48)	ES(741.79)	ES(745.11)	ES(748.42)	ES(751.74)	ES(755.05)	ES(758.37)	ES(761.68)	ES(765.00)	ES(768.31)	ES(771.62)	ES(774.93)	ES(778.24)	ES(781.55)	ES(784.86)	ES(788.16)	ES(791.47)	ES(794.78)	ES(798.08)	ES(801.39)	DARK_SAMP(ES)	DARK_AVE(ES)	TEMP(PCB)	FRAME(COUNTER)	TIMER	CHECK(SUM)	DATETAG	TIMETAG2
0187	0.0320000000	0.0000000000	30.3961558054	32.8675516189	34.2104289470	35.7536797118	39.0491933356	43.2827834262	45.5841612674	45.6206449705	46.5443246208	46.7763964304	45.3675608096	45.2442867660	47.8996380873	49.8515721626	54.4334313300	65.3100004085	75.3653616119	80.0765130087	82.5491219772	85.4887694609	87.5093187815	88.2982777329	88.0882482955	86.2614343033	84.2824706545	86.6402249576	91.7139746882	96.6687429593	101.0241255622	105.7554444308	109.6529086797	112.3434134183	113.4076366787	114.8542214873	115.4691813859	115.3181282263	114.9238757304	115.7894026119	117.4956111451	118.4388593265	116.9711429150	114.2628568371	113.3381685608	115.3898342866	116.2692166340	115.2975035318	114.2001636959	114.6067151713	115.0816748646	113.7364815921	111.2753288032	110.6818323185	112.4504076997	114.2817090907	115.4469588651	116.4981349497	116.5067348366	115.7525638227	115.2470889153	115.6944899540	116.0961947356	116.1228914485	115.3655167704	114.3358225294	113.5856120101	112.9836177082	112.1620602898	111.8894134453	112.0130264147	112.3341309288	112.5902061447	110.7873353140	108.2625286992	107.1177781692	107.5769583990	108.7989979255	110.0768982436	110.8026641597	110.5946931634	109.7528342780	108.8348119864	108.4375210776	107.8397447314	106.6346721195	105.5241594325	105.1837326454	105.9098139316	106.1273698346	105.3392836064	103.3771779380	101.6319877068	99.9596643364	99.6010358130	101.1315060746	103.5190895842	104.5122874980	104.4256951105	104.1250567277	103.9531276494	103.0789485484	100.1202854816	95.0584182920	91.1983976528	90.5454646446	91.1802700218	91.6341181025	92.2069794380	93.4659442025	93.8954882033	90.8546830837	83.3595404679	76.4761220682	73.4544064642	73.3103412163	75.3741049736	80.1810279805	85.0959744499	88.7780103472	91.3906286237	92.9036314308	93.3358199445	91.9060270532	84.6157187842	70.2671267045	60.7064122370	65.8619288130	77.7716948562	85.6177771698	88.5581959639	89.1996798355	88.7034090546	87.1414281933	85.2268244020	83.3815181795	82.4942745945	81.5795017601	81.0068905349	15	1033	49.5000000000	167	4405.0100000000	0	2021-208	19:14:26.775
0187	0.0320000000	0.0000000000	30.3737958015	33.0053279098	34.4413828533	35.7055708356	39.2076010709	43.2827834262	45.6209488099	45.6485844051	46.5538292817	46.7763964304	45.2796504245	45.4598155242	48.0852988944	49.8322968929	54.4050773012	65.2090288087	75.3121497435	79.9572605960	82.4922235571	85.4425007165	87.5968333876	88.2500077587	88.0687217200	86.1874101846	84.2236800450	86.5271089460	91.7359239735	96.6257301728	101.0827123767	105.9041268388	109.6955696473	112.3434134183	113.4841348274	114.8264503590	115.5031340821	115.2949858332	114.9120585062	115.7592611798	117.3543671419	118.4824878736	116.9207956352	114.2565248123	113.4395185973	115.4150745778	116.3255089603	115.4148829760	114.4130153668	114.6724123121	115.2454997994	113.7880207576	111.3651958339	110.7810941637	112.5589208855	114.3031122219	115.4680546725	116.5865366445	116.5734201400	115.7879893446	115.2320978336	115.7291338327	116.1207480670	116.1033621766	115.3995977682	114.3601498705	113.6831592343	112.9885155834	112.2114193969	111.8844208340	112.0535633495	112.4011720300	112.5744217120	110.7980761927	108.1913680694	107.0843403612	107.6504257185	108.6957522487	109.9600475640	110.7371132812	110.6250553109	109.7713963592	108.8851093790	108.3991903225	107.8916726676	106.6544253070	105.5175056261	105.2577202319	105.8893614410	106.2315582920	105.5596979164	103.5591805630	101.7660101882	100.1264562447	99.6933132714	101.1780442510	103.5034998870	104.6061173506	104.5274990946	104.2741859333	103.8821325790	103.1582755980	100.1602154032	95.0744806681	91.1258505251	90.5857835287	91.1883163581	91.6981439647	92.2149354726	93.5133969899	93.8561580789	90.9409229686	83.3360548474	76.6248290718	73.5326806340	73.3495105488	75.3113930033	80.1024961216	85.2377042647	88.8017581818	91.4385264267	92.8631971711	93.3029651103	92.0399836940	84.6499757095	70.2232254998	60.7693552762	66.0186579794	77.7905711169	85.7624920120	88.7058295703	89.2397656608	88.6626163644	87.0686830671	85.0359922784	83.2515078667	82.3609302208	81.6137757319	80.8772803207	15	1031	50.5000000000	168	4405.2600000000	0	2021-208	19:14:27.015
0187	0.0320000000	0.0000000000	30.4520558152	32.9311406762	34.3610510599	35.7151926109	38.9839666211	43.3103761030	45.5749643818	45.5554529565	46.4682873332	46.6895741222	45.2405791422	45.3128640981	47.9778110587	49.8515721626	54.6130068460	65.3742550629	75.5161285725	80.0765130087	82.5572503229	85.5119038331	87.5749547360	88.3327562858	88.0426862860	86.1442294488	84.3001078374	86.5327647466	91.7139746882	96.6472365661	101.0560820065	105.8404058068	109.6849044054	112.3272399273	113.4622782135	114.7931250051	115.4295699069	115.2718434401	114.9297843424	115.7230914612	117.3973544472	118.4637899248	116.9711429150	114.1488803904	113.3888435791	115.3393537041	116.2379431195	115.3098592627	114.2488155064	114.6365775080	115.1635873320	113.8567396450	111.3371123868	110.7480068820	112.6131774784	114.3994263127	115.4786025762	116.5501359466	116.5888090562	115.7879893446	115.2520859426	115.6697443264	116.1207480670	116.0887152227	115.3995977682	114.3552844023	113.6831592343	112.9591283321	112.2114193969	111.9143765022	111.9826237136	112.4269570689	112.5796831896	110.7927057533	108.3282154344	107.1233511372	107.7012877090	108.7244316034	110.0418430397	110.6953990857	110.6493450289	109.7961458008	108.8473863346	108.4247441592	107.8786906836	106.7466068484	105.4775827878	105.2240895108	105.8075514785	106.1551534232	105.3535038845	103.3917381480	101.7511188014	100.0809675424	99.7932805180	101.1237497119	103.3943720063	104.5826598875	104.6058098516	104.1015100111	103.7874724852	103.0710158434	100.0004957167	95.0423559160	91.0291210216	90.4970819837	91.1722236855	91.6101084042	92.2865397834	93.5133969899	93.9269523028	90.8703630628	83.4065117089	76.3352417491	73.4935435491	73.4200153474	75.4132999550	80.3223853266	85.3243169292	88.9838249137	91.3746626894	93.0572816180	93.3522473616	92.0567282741	84.5814618590	70.1617638133	60.6434691979	65.9080256267	77.7905711169	85.6370724821	88.5581959639	89.2197227482	88.7543999174	87.1726046759	85.1632136941	83.4031865649	82.4498264699	81.6480497037	80.9951077881	15	1027	52.5000000000	169	4405.5000000000	0	2021-208	19:14:27.255
0187	0.0320000000	0.0000000000	30.4073358074	32.8993461476	34.2104289470	35.7344361614	39.1982829689	43.3931541335	45.7772958656	45.5833923911	46.5063059770	46.9114533543	45.3284895273	45.2540835277	48.0950705158	49.8708474322	54.5752014742	65.3375381175	75.3830989014	79.8124540948	82.5166085943	85.3962319721	87.4509757107	88.3327562858	88.0361774275	86.1318920957	84.1942847402	86.4818625414	91.6700761176	96.6526131644	101.0507559325	105.7819948608	109.6849044054	112.3218487636	113.3912442182	114.8819926155	115.4635226032	115.2834146367	114.9475101787	115.6989783155	117.3789313163	118.4450919761	116.8956219953	114.1172202663	113.2874935426	115.3393537041	116.2504525253	115.2357248769	114.2488155064	114.6843572468	115.0933766456	113.6677627047	111.2303952879	110.6983759593	112.5046642926	114.2549551766	115.5524379020	116.5605361460	116.5221237528	115.7525638227	115.2021156702	115.5311688116	116.0470880727	116.1277737665	115.3216983445	114.2579750377	113.6441403446	112.8807623283	112.0682779864	111.7695907724	111.8660800260	112.3392879366	112.5165454586	110.6369630128	108.1968419640	107.0564755213	107.5882610635	108.6785446359	109.9308348941	110.7013582565	110.5036067208	109.5795881867	108.7467915495	108.3800249449	107.8592177075	106.5754125572	105.4376599494	105.1837326454	105.8416389629	106.0370731716	105.2966227722	103.4062983580	101.6319877068	100.0127344890	99.5241379310	101.0151606337	103.2774492769	104.4184576454	104.4648504890	103.9916253332	103.7716958029	102.9520252690	100.0563976070	94.9620440359	91.0291210216	90.3841891083	91.0837139865	91.5220728436	92.0558147818	93.3394034361	93.8404260292	90.7762831883	83.3125692269	76.5778689654	73.7675031433	73.4043476144	75.4132999550	80.2517066536	85.1904609931	88.9284132996	91.2309692805	92.8227629113	93.1715457736	91.9562607935	84.4529983892	70.2759069454	60.7873390017	65.9080256267	77.8471998991	85.5502435768	88.5286692426	89.2798514860	88.7340035723	87.2661341238	84.9723815705	83.3165130231	82.3387061586	81.7851455909	80.9479768012	15	1026	52.0000000000	170	4405.7400000000	0	2021-208	19:14:27.605
0187	0.0320000000	0.0000000000	30.4408758133	33.0159260860	34.1702630503	35.8114103633	39.0957838460	43.4483394871	45.5473737249	45.6206449705	46.5633339426	46.7378087379	45.3480251685	45.3814414303	47.9973543016	49.8322968929	54.4617853589	65.1539533906	75.3387556777	79.8891163601	82.5572503229	85.4656350887	87.4655614784	88.2706948905	88.2054077484	86.2182535674	84.3236240812	86.5044857437	91.7907971867	96.7171323442	101.1732556354	105.8935066668	109.7915568243	112.3811515638	113.4568140600	114.8597757129	115.4069347761	115.3528418160	114.8884240579	115.7954308983	117.3973544472	118.4575572753	117.0151967849	114.2691888619	113.4205154655	115.3835242138	116.4130748011	115.5260845547	114.4434227484	114.7440819203	115.2454997994	113.9140053844	111.2135452197	110.8141814455	112.4449820404	114.3298661360	115.4944244317	116.6333375417	116.4810866430	115.7778677669	115.3470294602	115.6895408285	116.1796760625	116.1424207204	115.4580223361	114.4477282987	113.7124234015	112.9934134587	112.1521884684	111.9343469477	112.0890331675	112.4527421077	112.6428209205	110.7980761927	108.2898981722	107.1679348812	107.7012877090	108.7244316034	110.0652131756	110.8026641597	110.6979244650	109.8147078820	108.9102580752	108.3544711081	107.8721996915	106.7136848693	105.4709289814	105.2173633665	105.8825439441	106.1898829090	105.4246052748	103.5446203530	101.7064446409	100.1112933439	99.7779009416	101.2245824274	103.5424741301	104.6452131225	104.5509923217	104.1486034444	103.8584675556	103.0472177285	100.1761873719	95.0744806681	91.0533033975	90.6261024128	91.3170577385	91.6581278008	92.2626716798	93.5371233836	93.9898805018	90.9095630105	83.4769685704	76.6561358094	73.7048838075	73.4356830804	75.6249528546	80.2045875382	85.2770736577	88.7780103472	91.3187819193	92.9278919867	93.1961868993	92.0567282741	84.6157187842	70.2583464635	60.8233064527	66.0555354303	78.0265243760	85.6756631067	88.7550407724	89.2998943986	88.7034090546	87.2141733195	85.0359922784	83.2840104449	82.3275941274	81.6366250465	80.9833250414	15	1026	48.0000000000	171	4406.4400000000	0	2021-208	19:14:28.206
0187	0.0320000000	0.0000000000	30.4520558152	32.9205425000	34.1300971535	35.7055708356	39.0864657439	43.3011785441	45.5473737249	45.6672106948	46.4968013161	46.8342779692	45.3773286302	45.3422543833	48.0755272730	49.9093979716	54.4995907307	65.2641042268	75.5604717961	80.1446572446	82.5816353601	85.5581725775	87.5530760845	88.2637991799	88.0817394370	86.2120848908	84.2648334716	86.4988299431	91.7304366522	96.6526131644	101.0560820065	105.8085452908	109.7115675101	112.3164576000	113.3693876043	114.7875707795	115.3842996453	115.2429154488	114.8943326700	115.7411763205	117.3727902727	118.4824878736	116.9648495050	114.1932045641	113.3698404472	115.3267335584	116.2379431195	115.3654600521	114.2548969827	114.5768528345	115.1811400036	113.8109270534	111.2865621821	110.8417541803	112.5534952262	114.4154786611	115.4575067688	116.6697382395	116.5375126689	115.6665304124	115.2370948609	115.6548969498	116.0421774064	116.0691859507	115.3070922025	114.3552844023	113.5758572877	112.9150474550	112.0682779864	111.9043912795	111.9978250641	112.4011720300	112.5796831896	110.6906674061	108.2077897532	107.0453295853	107.6278203894	108.6670728941	110.0418430397	110.7371132812	110.6007655929	109.7961458008	108.8599606827	108.5141825879	107.9630735799	106.7795288275	105.5507746581	105.1971849339	105.8143689754	106.2662877778	105.3037329113	103.4062983580	101.7660101882	100.0658046417	99.6317949658	101.0772115355	103.3631926118	104.4966491892	104.4570194133	104.2113946889	103.8979092613	103.0313523186	100.1202854816	95.0102311639	91.2064584447	90.4970819837	91.1239456678	91.6181116369	92.1671992653	93.4896705962	93.9741484520	91.0036428849	83.4456544097	76.6170023874	73.5483354679	73.3416766823	75.3427489884	80.1810279805	85.1747132359	88.7305146780	91.3028159849	92.8470234671	93.2208280249	92.0064945338	84.5728976276	70.3022476682	60.7693552762	65.9541224403	77.8188855080	85.5598912329	88.6861450894	89.2397656608	88.6932108821	87.1206438715	85.0996029862	83.1865027104	82.2942580340	81.3967072439	80.8772803207	15	1031	49.5000000000	172	4406.6800000000	0	2021-208	19:14:28.440
0187	0.0320000000	0.0000000000	30.5191358270	32.8781497951	34.3008022147	35.8498974643	39.1796467647	43.3471663388	45.7037207806	45.5927055360	46.5063059770	46.8825125849	45.3284895273	45.3814414303	48.1927867301	49.8804850671	54.5562987883	65.2273872814	75.4717853488	80.0339228613	82.5978920516	85.4810580035	87.4947330138	88.3396519964	88.0622128615	86.1874101846	84.2883497155	86.5836669518	91.7578732588	96.7924047206	101.1253209690	105.8828864948	109.9088744850	112.4458455277	113.5005272878	114.8597757129	115.4635226032	115.2371298505	114.9179671183	115.7592611798	117.4034954908	118.5510470190	117.0403704248	114.1805405145	113.4775248610	115.4718652331	116.3317636632	115.4148829760	114.3096302695	114.7381094530	115.2045435657	113.8338333492	111.2977955609	110.7755796167	112.6348801155	114.4047770955	115.5524379020	116.6073370432	116.5631608625	115.7677461893	115.2470889153	115.6598460753	116.1796760625	116.1814792643	115.3216983445	114.4136700211	113.6929139567	113.0130049596	112.2311630397	111.9443321704	112.0332948821	112.4991551778	112.6112520550	110.8034466320	108.3282154344	107.1679348812	107.7408470349	108.7817903127	109.9951027679	110.7609499642	110.6675623174	109.7528342780	108.9731298159	108.5077941287	107.9500915958	106.7136848693	105.5308132389	105.2980770973	105.9439014160	106.2037747034	105.5454776383	103.5737407730	101.7957929619	100.1264562447	99.8086600944	101.2090697019	103.6516020108	104.6530322769	104.6606273815	104.2898837445	103.8821325790	103.1662083030	100.2161172935	95.2029796763	91.1580936930	90.5696559751	91.3814284287	91.6981439647	92.3581440943	93.4580354046	94.0056125515	90.9722829268	83.5082827311	76.5700422810	73.7048838075	73.4043476144	75.4760119252	80.3066789548	85.3085691720	88.8096741267	91.2948330178	92.9278919867	93.2947514018	92.1069620145	84.5900260903	70.2407859817	60.7064122370	65.8895869012	77.8094473776	85.6563677944	88.5975649256	89.2598085734	88.7136072272	87.2037811586	85.0783994169	83.5115284922	82.5387227190	81.6137757319	81.1718489893	15	1032	51.0000000000	173	4406.9300000000	0	2021-208	19:14:28.689
0187	0.0320000000	0.0000000000	30.3290757936	32.8569534427	34.1401386277	35.6863272851	39.1610105605	43.3747590156	45.5657674962	45.7137764191	46.4968013161	46.7860433536	45.2796504245	45.3814414303	48.0755272730	49.9093979716	54.5373961025	65.1631326269	75.5427345067	80.0083687729	82.5572503229	85.5967298645	87.5239045491	88.2569034693	88.0426862860	86.0948800364	84.2413172278	86.4931741425	91.6920254029	96.6472365661	101.1146688209	105.9094369248	109.7702263405	112.4081073821	113.4841348274	114.8097876821	115.4861577340	115.2602722436	114.8529723854	115.7773460390	117.3789313163	118.4762552240	116.9459692751	114.1995365889	113.3381685608	115.4403148691	116.3004901486	115.3036813973	114.3157117458	114.6604673774	115.2689033615	113.8910990886	111.3371123868	110.8693269150	112.5263669297	114.3726723986	115.5735337094	116.6021369435	116.5169941140	115.7475030339	115.2920621605	115.6994390795	116.1403907322	116.1033621766	115.3947290543	114.3455534658	113.6148761773	113.0032092091	112.1571243791	111.8744356112	112.0636975832	112.5043121855	112.5586372792	110.7228900421	108.2844242776	107.1400700412	107.5995637281	108.6900163778	109.9834176999	110.7132765981	110.6432725994	109.7590216384	108.7656530717	108.4630749144	107.8462357234	106.7663600358	105.4975442069	105.3855169722	106.0188938816	106.2385041891	105.4743762480	103.5009397230	101.7734558817	100.1188747943	99.6164153894	101.1159933492	103.4333462494	104.6530322769	104.5040058675	104.1486034444	103.9689043317	103.0313523186	100.1043135130	94.9700752239	91.2709447804	90.5535284215	91.1319920041	91.6981439647	92.2467596107	93.5371233836	93.9898805018	91.0585228117	83.4926256508	76.5230821746	73.6266096377	73.3338428158	75.3976219624	80.1888811664	85.3794340794	88.8334219612	91.3666797222	92.9521525426	93.2865376933	92.1404511747	84.6328472469	70.3110279091	60.7423796880	66.1200709694	77.8283236383	85.7721396682	88.5385114830	89.1996798355	88.7136072272	87.0686830671	85.1844172634	83.3598497940	82.4609385011	81.6594743610	81.0775870154	15	1026	49.5000000000	174	4407.1700000000	0	2021-208	19:14:28.939
0187	0.0320000000	0.0000000000	30.2619957818	32.6873826231	34.1401386277	35.5804877575	38.9373761107	43.3011785441	45.4186173262	45.5740792463	46.3637360629	46.7474556610	45.3968642713	45.3716446685	47.9778110587	49.8130216232	54.3578205865	65.1631326269	75.3210183883	79.8805983307	82.4190684456	85.4656350887	87.4874401299	88.2982777329	88.0687217200	86.1503981253	84.2707125326	86.4931741425	91.7194620095	96.6203535745	101.0720602286	105.8510259788	109.7435632358	112.3434134183	113.4131008321	114.8708841642	115.4578638205	115.2371298505	114.8470637733	115.7472046069	117.3420850546	118.5448143694	116.9270890452	114.1932045641	113.2874935426	115.2888731216	116.2504525253	115.3531043211	114.2305710774	114.6007427039	115.1577364415	113.7536613139	111.2921788715	110.7755796167	112.5372182483	114.3191645704	115.5049723354	116.6177372426	116.5118644753	115.7677461893	115.2520859426	115.6153039456	116.1158374007	116.1131268125	115.3509106284	114.2433786330	113.6587724282	112.9885155834	112.2064834862	111.8993986681	112.0130264147	112.4475851000	112.5902061447	110.7712239960	108.2132636478	107.1177781692	107.5317477408	108.7072239906	110.0535281077	110.6834807442	110.6129104519	109.7590216384	108.8473863346	108.4502979960	107.9111456437	106.6280877237	105.5308132389	105.2711725204	105.7325590129	106.1759911147	105.3890545796	103.4572590930	101.6022049331	100.0733860921	99.6087256012	101.1547751628	103.5658586759	104.6139365050	104.4961747918	104.2663370278	103.9610159905	103.0630831385	100.2081313092	95.1066054201	91.1097289412	90.6019110824	91.1561310130	91.6821374991	92.1671992653	93.4422178088	93.8876221784	90.8625230733	83.3047406867	76.4917754370	73.5639903019	73.3181750828	75.4368169438	80.2674130254	85.3321908078	88.8571697958	91.4385264267	92.9278919867	93.1879731907	92.0567282741	84.5472049337	70.3110279091	60.8143145899	66.0186579794	77.7433804651	85.6274248260	88.5385114830	89.1195081850	88.6320218468	87.1414281933	85.1950190480	83.2731762522	82.4831625633	81.6252003892	81.0658042686	15	1022	51.5000000000	175	4407.4200000000	0	2021-208	19:14:29.282
0187	0.0320000000	0.0000000000	30.3514357976	32.8781497951	34.1903459987	35.8306539138	39.1237381522	43.4391419282	45.4554048687	45.6578975500	46.5918479254	46.8342779692	45.4457033742	45.4794090477	48.0950705158	49.8612097974	54.5468474454	65.3283588812	75.4806539935	80.0083687729	82.5166085943	85.6121527793	87.5968333876	88.4086091023	88.0817394370	86.2614343033	84.4235681174	86.5497321483	91.8346957573	96.6902493526	101.1626034873	105.8510259788	109.7808915824	112.4674101823	113.4677423669	114.8653299386	115.4522050378	115.3181282263	114.9179671183	115.7894026119	117.4034954908	118.4326266769	117.0089033749	114.2058686137	113.4521873519	115.4024544322	116.4255842069	115.4395944379	114.4251783195	114.7321369856	115.2454997994	113.9369116802	111.3764292127	110.8693269150	112.5914748412	114.3833739642	115.4996983836	116.6333375417	116.5580312238	115.7272598785	115.3120502695	115.7934724645	116.1600333973	116.1717146283	115.3995977682	114.4136700211	113.6831592343	112.9934134587	112.2163553076	111.9593100045	112.0484962326	112.4991551778	112.6375594429	110.8464101466	108.2734764884	107.1512159772	107.7295443704	108.6957522487	110.0710557096	110.7251949396	110.5521861568	109.7033353948	108.9165452493	108.4630749144	107.9436006038	106.7268536609	105.5441208517	105.3115293857	105.8689089504	106.2315582920	105.5170370822	103.5737407730	101.7734558817	100.0809675424	99.7855907298	101.0772115355	103.6983711025	104.5982981962	104.6214720030	104.3683728000	103.9846810140	103.1265447782	100.2400752465	95.1788861122	91.2467624045	90.7470590651	91.2285480395	91.7621698269	92.4377044397	93.5450321815	94.0921388251	90.9801229163	83.4378258696	76.6874425470	73.7675031433	73.3573444153	75.4681729289	80.2124407241	85.2770736577	88.8888335753	91.3986115909	92.9925868024	93.3358199445	92.0902174343	84.7099253288	70.2846871863	60.7783471390	66.0739741558	77.8755142902	85.6660154505	88.6763028490	89.4001089618	88.8461834703	87.1414281933	85.0783994169	83.4681917213	82.5053866256	81.7051729901	81.0658042686	15	1027	48.5000000000	176	4408.1100000000	0	2021-208	19:14:29.875
