SN,INTTIME(ES),SAMPLE(DELAY),ES(349.01),ES(352.33),ES(355.64),ES(358.96),ES(362.28),ES(365.60),ES(368.92),ES(372.24),ES(375.56),ES(378.88),ES(382.20),ES(385.52),ES(388.85),ES(392.17),ES(395.49),ES(398.82),ES(402.14),ES(405.47),ES(408.79),ES(412.12),ES(415.44),ES(418.77),ES(422.10),ES(425.42),ES(428.75),ES(432.08),ES(435.41),ES(438.74),ES(442.07),ES(445.40),ES(448.73),ES(452.06),ES(455.39),ES(458.72),ES(462.05),ES(465.38),ES(468.71),ES(472.04),ES(475.38),ES(478.71),ES(482.04),ES(485.37),ES(488.71),ES(492.04),ES(495.37),ES(498.71),ES(502.04),ES(505.38),ES(508.71),ES(512.04),ES(515.38),ES(518.71),ES(522.05),ES(525.38),ES(528.72),ES(532.05),ES(535.38),ES(538.72),ES(542.05),ES(545.39),ES(548.72),ES(552.06),ES(555.39),ES(558.73),ES(562.06),ES(565.40),ES(568.73),ES(572.07),ES(575.40),ES(578.73),ES(582.07),ES(585.40),ES(588.74),ES(592.07),ES(595.40),ES(598.74),ES(602.07),ES(605.41),ES(608.74),ES(612.07),ES(615.40),ES(618.74),ES(622.07),ES(625.40),ES(628.73),ES(632.06),ES(635.40),ES(638.73),ES(642.06),ES(645.39),ES(648.72),ES(652.05),ES(655.38),ES(658.71),ES(662.03),ES(665.36),ES(668.69),ES(672.02),ES(675.35),ES(678.67),ES(682.00),ES(685.33),ES(688.65),ES(691.98),ES(695.30),ES(698.62),ES(701.95),ES(705.27),ES(708.59),ES(711.92),ES(715.24),ES(718.56),ES(721.88),ES(725.20),ES(728.52),ES(731.84),ES(735.16),ES(738.48),ES(741.79),ES(745.11),ES(748.42),ES(751.74),ES(755.05),ES(758.37),ES(761.68),ES(765.00),ES(768.31),ES(771.62),ES(774.93),ES(778.24),ES(781.55),ES(784.86),ES(788.16),ES(791.47),ES(794.78),ES(798.08),ES(801.39),DARK_SAMP(ES),DARK_AVE(ES),TEMP(PCB),FRAME(COUNTER),TIMER,CHECK(SUM),DATETAG,TIMETAG2
187,0.032,0,36.20975683,39.26885006,40.81771896,42.66211434,46.5223112,51.56058647,54.12806801,54.01178849,55.14604277,55.54544956,53.54322663,53.64011158,56.86998655,58.98804999,64.4613062,77.0502437,89.13836689,94.3186583,97.40773797,100.7266093,103.0869187,103.827418,103.5402784,101.2513183,98.9566068,101.5828501,107.583308,113.3093147,118.4723441,123.9584192,128.3597429,131.2987448,132.5321739,134.0329627,134.7203602,134.3990313,133.9259722,134.8809857,136.7539239,137.8971913,136.0401751,132.7840294,131.5811751,133.7836965,134.9645236,133.7754992,132.5479777,132.9541349,133.4651729,131.7408301,128.7207661,127.9037625,130.0078412,132.0623604,133.3625733,134.6412828,134.3476183,133.4805071,132.8416218,133.2341908,133.6027201,133.6064721,132.571552,131.4379434,130.666131,129.9645511,129.1317213,128.9491665,129.079076,129.3935127,129.6058246,127.5753287,124.8922205,123.686212,124.1579673,125.0946073,126.3074576,126.8864661,126.4740963,125.4811044,124.2698243,123.7378808,123.2363778,121.7787825,120.5018776,120.0821421,120.5537972,120.6512408,119.8510774,117.8500267,115.9575018,114.0308362,113.2196507,114.7128972,117.144485,118.1801694,118.067429,117.6722677,117.3002009,116.215508,113.0655661,107.603134,103.4104975,103.0039998,103.8693423,104.247213,104.8252502,105.8827569,106.2372812,103.0772268,95.21977883,88.03613492,85.10160293,84.59894286,86.73281059,91.56029434,96.39499024,99.86033316,102.0798217,103.5540155,103.7836572,102.354645,94.41319941,79.03858739,68.7990887,74.44515551,86.85117627,95.14001379,98.15438038,98.78019207,98.28969125,96.74378485,94.6836163,92.78559747,91.69503638,90.90202209,90.38595694,15,1029,49.5,200,152.31,0,2021-208,03:34.3
187,0.032,0,36.16503682,39.08868106,40.81771896,42.62362724,46.44776639,51.487006,54.05449293,54.14217251,55.00347286,55.50686187,53.67997611,53.68909538,56.81135683,58.90131128,64.54636828,77.11449835,89.16497282,94.4634648,97.22078601,100.873127,103.0212827,103.9377494,103.650929,101.4055352,99.05067177,101.7185893,107.6985417,113.4437297,118.5149527,124.0380705,128.4983911,131.4119593,132.5922795,134.1384929,134.9014412,134.5725993,134.0027841,134.9231837,136.8214754,138.0343096,136.1534565,132.8853418,131.7458689,134.0360994,135.0020519,133.8681672,132.7243405,133.1452538,133.6289978,131.7522832,128.776933,128.0636843,130.0295438,132.1051667,133.4522305,134.6256825,134.4809889,133.5462974,132.9865356,133.3826646,133.808968,133.6797069,132.8247251,131.5206563,130.7441687,130.0967938,129.2847345,129.0689892,129.1196129,129.5069668,129.5953017,127.5968104,124.9798028,123.8032443,124.3162046,125.1462301,126.4418359,127.0056495,126.5834,125.5986643,124.4835882,123.8975923,123.2363778,121.936808,120.521839,120.169582,120.6287897,120.8874013,119.9648396,118.0247492,116.1808726,114.2658612,113.5810708,114.9145626,117.3549459,118.3991057,118.3493477,117.7272101,117.3475309,116.3979602,113.2093138,107.9083191,103.6926252,103.1168927,103.9417594,104.5433326,104.9286787,106.1042032,106.3552716,103.1869866,95.32154985,88.13788182,85.11725776,84.77912179,86.96014148,91.70950487,96.56821557,100.0028202,102.3033447,103.7238393,103.816512,102.55558,94.4902775,79.1263898,68.85303988,74.50047169,87.06825326,95.23649035,98.25280278,98.82027789,98.34068211,96.75417701,94.70481987,92.93727616,91.96172512,91.13051524,90.46843617,15,1031,49,201,152.56,0,2021-208,03:34.6
187,0.032,0,36.12031681,39.27944823,40.79763601,42.50816593,46.55958361,51.487006,54.0085085,53.96522276,55.17455675,55.21745418,53.53345881,53.57153424,56.86998655,58.98804999,64.33843874,77.06860217,89.04081179,94.44642874,97.28581278,100.7343207,103.0285756,103.8963751,103.5598049,101.257487,99.02715553,101.5149805,107.6546431,113.3308211,118.4829963,123.9371789,128.3917387,131.36883,132.5157814,134.0440711,134.7147014,134.4858153,134.02051,134.8267311,136.760065,137.9595178,136.1031092,132.7650333,131.6698564,133.9919289,134.9019766,133.8619893,132.6574443,133.0019146,133.51198,131.6721112,128.7039161,127.8541315,129.915605,132.0356065,133.3256556,134.5528811,134.3989147,133.4400208,132.9065832,133.3133768,133.6812907,133.5625313,132.6884011,131.4525398,130.6758857,130.0233256,129.1267854,128.8892552,128.9574652,129.4296117,129.5479484,127.5216243,124.8703249,123.6081905,124.1636186,125.1232866,126.1672368,126.8387927,126.5105309,125.4130435,124.2006654,123.795377,123.126031,121.7787825,120.5351467,120.0552375,120.5947022,120.8179423,119.8368571,117.7845057,116.0617415,114.0763249,113.3888261,114.7904608,117.3315613,118.3209141,118.1379087,117.6565699,117.2765359,116.1520463,113.09751,107.603134,103.4346798,103.0362549,103.8773887,104.351255,104.8332063,105.9302097,106.3238075,103.0850668,95.27457861,88.09092171,85.02332876,84.67728152,86.78768356,91.38752425,96.44223351,99.80492154,102.1516684,103.5621023,103.8000846,102.3630173,94.48171326,78.98590594,68.90699106,74.49125233,86.93611944,95.08212785,98.20359158,98.80023498,98.27949307,96.76456917,94.56699667,92.63391877,91.67281231,90.99341935,90.27991222,15,1034,48.5,202,152.8,0,2021-208,03:34.8
187,0.032,0,36.19857683,39.08868106,40.92817518,42.48892238,46.63412843,51.487006,53.90734276,54.10491994,55.01297752,55.27533571,53.70927958,53.61072129,56.69409737,58.93022418,64.38569545,76.92173439,89.04081179,94.32717633,97.27768443,100.7188978,102.9775254,103.9101665,103.5207518,101.2883304,98.95072774,101.5262921,107.6052572,113.2609254,118.4989745,123.8787679,128.3810734,131.3418741,132.5157814,133.9718662,134.7147014,134.4106025,133.7900741,134.7724766,136.7109366,137.8971913,136.0779356,132.6890491,131.6191814,133.8467973,134.8581937,133.7137205,132.5418963,132.9481624,133.4417693,131.6663846,128.6196657,127.909277,129.883051,132.0249049,133.2570943,134.4748796,134.3630072,133.4703856,132.8166367,133.2589364,133.6125414,133.5527666,132.6007643,131.3649613,130.6758857,129.9057766,129.1860163,128.8393291,128.9980021,129.3264716,129.3795811,127.5108834,124.8265338,123.6472012,124.0845,125.0773996,126.1204965,126.7315276,126.5166033,125.3759193,124.3264089,123.712327,123.11954,121.7524449,120.4220319,120.1494036,120.4856222,120.8457259,119.829747,117.7699455,115.9947303,114.061162,113.3888261,114.6430899,117.2536129,118.1645311,117.9734561,117.5074407,117.2292058,116.0965174,113.0096642,107.562978,103.3863151,102.9878723,103.7245083,104.2632194,104.769558,105.8906657,106.2215492,103.0301868,95.20412175,88.05961498,84.952882,84.75562019,86.77200557,91.42679018,96.52884617,99.82075343,102.1756173,103.6106234,103.7672298,102.3295282,94.3275571,78.98590594,68.61925145,74.30686507,86.91724318,95.06283254,98.16422262,98.88040663,98.42226749,96.63986324,94.72602344,92.7314265,91.69503638,90.87917278,90.16208476,15,1030,50,203,153.05,0,2021-208,03:35.1
187,0.032,0,36.18739682,39.31124276,40.75747012,42.62362724,46.48503879,51.63416695,54.09128047,54.15148566,55.12703345,55.41039264,53.68974393,53.60092453,56.91884466,58.90131128,64.58417366,77.14203606,89.23592198,94.48050086,97.48089308,100.7651666,103.2036048,103.9860193,103.605367,101.3253424,98.99776023,101.6054733,107.6491558,113.3953403,118.6427785,124.0593109,128.5570499,131.4874356,132.6469211,134.2440232,134.9240763,134.6188841,134.0441444,135.0015514,136.8706038,137.9782158,136.2604445,132.8600137,131.8788909,134.0550297,135.1396553,133.9731909,132.8033997,133.0855291,133.5763398,131.929807,128.7993998,128.0747134,130.0186925,132.1533237,133.399491,134.5788816,134.5015075,133.5209934,133.0165178,133.4123593,133.7844147,133.7187654,132.8247251,131.5839074,130.8026971,130.165364,129.3390295,129.1039375,129.0892102,129.4863388,129.6689624,127.6988488,124.9798028,123.7698065,124.2935993,125.2322682,126.4418359,126.9818128,126.6927038,125.4934791,124.4270037,123.9678654,123.3012877,121.9302236,120.5085314,120.2906526,120.7787746,120.9012931,119.9648396,118.0902701,116.0840786,114.0763249,113.5118627,114.7594354,117.3783304,118.3600099,118.2945302,117.8370947,117.5210744,116.5804124,113.2811876,107.9002879,103.6200781,103.0927014,103.9417594,104.4152808,104.8093381,105.9855713,106.3788697,103.1085867,95.40766379,88.19266861,85.15639485,84.79478952,86.89742951,91.78803673,96.68632374,99.9553245,102.2953618,103.7642736,103.874008,102.5723246,94.54166288,79.09126884,68.85303988,74.42671679,87.07769139,95.27508097,98.24296054,98.90044954,98.43246566,96.86849078,94.71542166,92.76392908,91.76170856,91.09624126,90.33882596,15,1025,51.5,204,153.74,0,2021-208,03:35.8
187,0.032,0,36.08677681,39.27944823,40.86792633,42.49854416,46.57821981,51.54219136,54.11887113,54.09560679,55.14604277,55.54544956,53.75811868,53.57153424,56.83090007,58.99768763,64.36679277,77.05942293,89.14723553,94.6082713,97.47276473,100.8499926,103.1671404,103.992915,103.650929,101.3993666,99.07418802,101.6507197,107.7150037,113.3577041,118.5469092,124.0805512,128.5783804,131.5090002,132.6742418,134.1718183,134.9636878,134.6420265,134.1032305,135.0377212,137.0241299,138.0654729,136.1408697,132.8346856,131.7902096,134.0676498,135.1083818,134.0843925,132.7547479,133.1153915,133.6289978,131.8381818,128.8330999,128.0747134,130.12178,132.0944651,133.5629835,134.6308826,134.6656559,133.6576347,133.051497,133.5014436,133.8482534,133.7285301,132.7809067,131.6276966,130.7246593,130.1408746,129.3489014,129.0540113,129.165217,129.4502397,129.6268705,127.6344035,124.9852767,123.7252228,124.2935993,125.283891,126.4243083,126.9818128,126.6927038,125.4625423,124.4710139,123.9934192,123.1974319,121.9499768,120.5617619,120.2502957,120.7242346,120.83878,119.8652976,117.9082675,116.0096217,114.1597209,113.573381,114.9533445,117.3393562,118.4694781,118.2866991,117.8370947,117.3790843,116.3424312,113.1773699,107.7557265,103.5878349,103.0039998,103.9900374,104.2872291,104.8093381,106.0883856,106.3159415,103.1477867,95.39983525,88.07526835,85.12508518,84.89662979,86.80336155,91.61526664,96.68632374,99.89991288,102.2554469,103.7157525,103.8986491,102.4886017,94.56735558,79.09126884,68.93396664,74.52812978,86.97387196,95.20754738,98.29217175,98.9806212,98.14691683,96.7022162,94.59880203,92.76392908,91.7394845,91.02769332,90.44487068,15,1030,49.5,205,153.98,0,2021-208,03:36.0
187,0.032,0,36.16503682,39.10987741,40.63697243,42.3638393,46.45708449,51.52379624,54.06368981,54.18873824,55.14604277,55.46827418,53.7190474,53.70868891,56.78204196,59.02660053,64.36679277,77.09613988,89.12949824,94.39532057,97.5377915,100.8808384,103.1744333,104.089455,103.7029998,101.485728,99.12709957,101.6846545,107.736953,113.4168467,118.5149527,124.1071016,128.4557301,131.4820444,132.7179551,134.1995894,134.9014412,134.5725993,134.0618703,135.0015514,136.9504373,138.1402647,136.2604445,132.8980059,131.8092127,134.0108592,135.0958724,133.9855466,132.7790738,133.1751162,133.781121,131.9183539,128.9005002,128.0967716,130.0458208,132.1372714,133.399491,134.6724834,134.5476742,133.6728171,133.0265118,133.4519523,133.8629854,133.7627063,132.8442,131.5887729,130.8953669,130.0821001,129.3340936,129.0639966,129.1044116,129.5172808,129.5584713,127.6344035,124.9798028,123.7865254,124.3105533,125.2781551,126.4593635,127.0652412,126.7169935,125.5801022,124.401855,123.9934192,123.3207607,121.9170548,120.6549152,120.2032127,120.7105996,120.9499144,120.0928221,118.1412309,116.2553296,114.2734426,113.5887605,114.9533445,117.4562789,118.4851164,118.3023613,117.8292458,117.418526,116.3344985,113.2492437,107.7236018,103.6200781,103.1652754,103.9176203,104.3992744,104.9048106,105.9934801,106.4024678,103.1321067,95.25109299,88.23962872,84.96070942,84.79478952,86.96798047,91.56029434,96.65482823,100.0740637,102.3751914,103.8127947,103.9397177,102.5137185,94.47314903,79.19663173,68.90699106,74.40827806,87.049377,95.22684269,98.25280278,98.84032081,98.59563642,96.78535349,94.69421809,92.8831052,91.93950106,91.08481661,90.44487068,15,1030,50,206,154.23,0,2021-208,03:36.2
187,0.032,0,36.20975683,39.22645735,40.86792633,42.60438369,46.5223112,51.45021577,54.08208358,54.10491994,55.11752879,55.50686187,53.63113701,53.60092453,56.90907304,58.94949945,64.40459814,77.10531911,89.09402366,94.54012707,97.39148127,100.772878,103.1744333,104.0136022,103.6769644,101.4117039,99.07418802,101.6733429,107.6601305,113.3899637,118.5043006,124.0115201,128.4450649,131.4712621,132.6305286,134.1496014,134.8505122,134.4742441,134.0736875,134.9894949,136.8951679,138.1402647,136.1345763,132.8726778,131.7712064,134.0676498,135.1208912,133.8990565,132.7243405,133.1333089,133.6172961,131.8668147,128.7825497,128.0085389,130.105503,132.1533237,133.3572993,134.6256825,134.5117668,133.5412366,132.9865356,133.3925628,133.7696827,133.7871179,132.8003816,131.642293,130.8368386,130.1016916,129.2403113,129.0490187,129.0892102,129.4708678,129.5847787,127.6021809,125.023594,123.7642336,124.2653426,125.2265323,126.3308278,126.9818128,126.5955449,125.5120412,124.4521524,123.9103692,123.3077787,121.8841328,120.5817233,120.2435696,120.7037821,120.9012931,120.0288308,118.0247492,116.09897,114.2810241,113.4349648,114.8602681,117.2925871,118.3443716,118.278868,117.8056991,117.3790843,116.4138256,113.2252858,107.7396642,103.5394701,103.0765738,103.8210643,104.455297,104.9286787,106.1358384,106.3395396,103.1007467,95.33720693,88.13005514,85.05463843,84.84179272,86.87391252,91.64667939,96.73356702,100.0423999,102.3751914,103.7319262,103.8822217,102.5639523,94.55879135,79.10004908,68.95195037,74.41749742,87.08712952,95.23649035,98.2331183,98.80023498,98.45286201,96.78535349,94.70481987,93.02394971,91.96172512,91.08481661,90.45665342,15,1030,49,207,154.47,0,2021-208,03:36.5
187,0.032,0,36.20975683,39.15227012,40.67713832,42.3638393,46.66208273,51.54219136,54.10047736,54.05835421,55.07951014,55.50686187,53.86556471,53.59112777,56.79181358,58.96877472,64.49911157,77.00434751,89.15610418,94.59975327,97.40773797,100.8345697,103.1744333,103.9239579,103.6314024,101.3808605,99.05655084,101.5658827,107.7479276,113.4007169,118.6001699,124.128342,128.5303868,131.5844765,132.7070268,134.3106739,134.9353939,134.6535977,134.0914133,134.9412686,136.9381552,138.0156117,136.2100972,132.8853418,131.8852252,134.0108592,135.0020519,133.9979024,132.7060961,133.1452538,133.7226121,131.8668147,128.9342003,128.1684607,130.1434826,132.1586745,133.4522305,134.6776835,134.5835817,133.5867837,133.0015267,133.4420541,133.838432,133.7285301,132.8247251,131.6131002,130.8612254,130.2094449,129.3982605,129.1039375,129.1702841,129.5843219,129.642655,127.7471827,125.0071723,123.9704334,124.3331586,125.3068345,126.3541979,127.0414045,126.7291384,125.611039,124.4647267,123.9934192,123.2039229,121.8314577,120.5817233,120.122499,120.7719571,120.9568603,120.085712,118.08299,116.2181011,114.2506983,113.5195525,115.0696899,117.4562789,118.5398505,118.2866991,117.9155838,117.3790843,116.4058929,113.1693839,107.7798201,103.5958957,103.1733391,103.981991,104.3752647,104.9684588,106.1042032,106.473262,103.1948266,95.32154985,88.21614867,85.05463843,84.85746045,86.92878549,91.66238576,96.52097229,99.87616505,102.3911574,103.9098369,104.0547096,102.5304631,94.65299789,79.19663173,68.92497478,74.57422659,87.06825326,95.41014816,98.44964759,98.88040663,98.29988942,96.78535349,94.66241274,92.83976843,91.917277,91.02769332,90.45665342,15,1031,49.5,208,154.72,0,2021-208,03:36.8
187,0.032,0,36.17621682,39.26885006,40.73738717,42.58514014,46.5129931,51.55138891,54.12806801,54.03041478,55.14604277,55.49721495,53.86556471,53.71848567,56.82112845,59.0458758,64.53691694,77.11449835,89.07628637,94.50605495,97.30206947,100.772878,103.1817262,103.9722279,103.5272606,101.3130051,99.03303459,101.6450639,107.6491558,113.3361977,118.5043006,123.9849697,128.4610627,131.3957858,132.6250645,134.1329387,134.7939243,134.4973865,134.0736875,135.0316929,136.9381552,138.0717055,136.191217,132.8410176,131.7585377,133.9603786,134.9895425,133.9299458,132.7669109,133.0556668,133.6289978,131.889721,128.7432329,128.0912571,130.0512464,132.0088526,133.399491,134.6152823,134.4861186,133.5665405,133.0664881,133.2985295,133.75004,133.7334124,132.707876,131.5644455,130.7441687,130.0918959,129.2255036,129.0290483,129.0841431,129.5018098,129.6479165,127.7149601,124.9579072,123.7029309,124.3105533,125.2035888,126.2724024,126.9281803,126.5591103,125.4811044,124.3892806,123.8400962,123.1779589,121.8907172,120.5151852,120.2301173,120.7174171,120.8109964,119.9790599,117.9373879,116.1064157,114.1066507,113.3657567,114.8990499,117.3939201,118.4069248,118.2240505,117.7507568,117.3475309,116.3265658,113.2172998,107.7155706,103.5636525,103.1894667,103.9176203,104.3912711,104.8809425,105.9618449,106.2608793,103.1556267,95.25109299,88.05961498,85.07029326,84.87312819,86.85823453,91.64667939,96.57608944,100.0344839,102.2953618,103.6672314,103.8082983,102.4216234,94.53309865,79.03858739,68.76312125,74.45437488,86.9549957,95.24613801,98.2331183,98.94053537,98.20810587,96.67103972,94.60940381,92.82893424,91.82838075,90.9248714,90.32704321,15,1029,50,209,155.41,0,2021-208,03:37.4
