SN	INTTIME(ES)	SAMPLE(DELAY)	ES(349.01)	ES(352.33)	ES(355.64)	ES(358.96)	ES(362.28)	ES(365.60)	ES(368.92)	ES(372.24)	ES(375.56)	ES(378.88)	ES(382.20)	ES(385.52)	ES(388.85)	ES(392.17)	ES(395.49)	ES(398.82)	ES(402.14)	ES(405.47)	ES(408.79)	ES(412.12)	ES(415.44)	ES(418.77)	ES(422.10)	ES(425.42)	ES(428.75)	ES(432.08)	ES(435.41)	ES(438.74)	ES(442.07)	ES(445.40)	ES(448.73)	ES(452.06)	ES(455.39)	ES(458.72)	ES(462.05)	ES(465.38)	ES(468.71)	ES(472.04)	ES(475.38)	ES(478.71)	ES(482.04)	ES(485.37)	ES(488.71)	ES(492.04)	ES(495.37)	ES(498.71)	ES(502.04)	ES(505.38)	ES(508.71)	ES(512.04)	ES(515.38)	ES(518.71)	ES(522.05)	ES(525.38)	ES(528.72)	ES(532.05)	ES(535.38)	ES(538.72)	ES(542.05)	ES(545.39)	ES(548.72)	ES(552.06)	ES(555.39)	ES(558.73)	ES(562.06)	ES(565.40)	ES(568.73)	ES(572.07)	ES(575.40)	ES(578.73)	ES(582.07)	ES(585.40)	ES(588.74)	ES(592.07)	ES(595.40)	ES(598.74)	ES(602.07)	ES(605.41)	ES(608.74)	ES(612.07)	ES(615.40)	ES(618.74)	ES(622.07)	ES(625.40)	ES(628.73)	ES(632.06)	ES(635.40)	ES(638.73)	ES(642.06)	ES(645.39)	ES(648.72)	ES(652.05)	ES(655.38)	ES(658.71)	ES(662.03)	ES(665.36)	ES(668.69)	ES(672.02)	ES(675.35)	ES(678.67)	ES(682.00)	ES(685.33)	ES(688.65)	ES(691.98)	ES(695.30)	ES(698.62)	ES(701.95)	ES(705.27)	ES(708.59)	ES(711.92)	ES(715.24)	ES(718.56)	ES(721.88)	ES(725.20)	ES(728.52)	ES(731.84)	ES(735.16)	ES(738.48)	ES(741.79)	ES(745.11)	ES(748.42)	ES(751.74)	ES(755.05)	ES(758.37)	ES(761.68)	ES(765.00)	ES(768.31)	ES(771.62)	ES(774.93)	ES(778.24)	ES(781.55)	ES(784.86)	ES(788.16)	ES(791.47)	ES(794.78)	ES(798.08)	ES(801.39)	DARK_SAMP(ES)	DARK_AVE(ES)	TEMP(PCB)	FRAME(COUNTER)	TIMER	CHECK(SUM)	DATETAG	TIMETAG2
0187	0.0320000000	0.0000000000	36.2880168415	39.4066263485	40.9683410749	42.6909796627	46.7738999585	51.7537352115	54.2108399834	54.3284354117	55.3551453117	55.3718049455	53.5920657290	53.7184856691	56.8113568257	58.9784123588	64.4518548540	77.1787530047	89.1738414654	94.6423434203	97.5784332254	100.9579530033	103.3202909542	104.1170378302	103.7941238476	101.6029328886	99.2740760905	101.8034263094	107.8796233096	113.5405084713	118.7812564146	124.2079932788	128.7010306867	131.6491704701	132.8217739934	134.4273126773	135.0768634622	134.7750952204	134.2923061246	135.1643151791	136.9995656805	138.2088238117	136.3233785932	132.8346856228	131.8915596181	134.1433706858	135.1771835441	134.0843924693	132.8459700709	133.4020699189	133.8045245610	132.0557916496	129.0802342499	128.3063243981	130.2085905558	132.2014807496	133.4575044210	134.7400846605	134.5579335040	133.6778778988	133.1164583358	133.5509348545	133.9120920309	133.7675886249	132.8977558303	131.6763513007	130.8807348593	130.1457725227	129.3785168265	129.1488709564	129.2158881287	129.6462060424	129.7321000993	127.7418122728	125.1057023902	123.9035577662	124.4405339055	125.3125703457	126.4885761870	127.0175678369	126.7230659280	125.6914746735	124.4773010648	123.9359230800	123.3597066649	122.0487427225	120.6748765850	120.2637480022	120.7855921099	120.9985356502	120.1212626507	118.0829900355	116.1361984782	114.2658611995	113.4811035135	114.9145626431	117.3549458879	118.5789462349	118.3571787801	117.8841881710	117.4974094058	116.4931526367	113.4329213513	107.8119448582	103.7329291499	103.2136580247	104.0624544028	104.5353293356	104.8968545285	106.0488416581	106.3788696757	103.2497065438	95.3606925485	88.3257222466	85.1407400120	84.9671345852	86.9131075004	91.7409176169	96.6784498661	100.0819796143	102.4709870459	103.7723604610	103.9561450921	102.4216233588	94.5074059580	79.1088293176	68.8710236054	74.5557878657	86.9927482211	95.2750809740	98.2724872655	98.9806211951	98.2488985573	96.6918240417	94.8532448592	92.8289342368	91.9172769984	91.0619672914	90.4802189184	15	1026	51.5000000000	124	41.1400000000	0	2021-208	18:01:43.248
0187	0.0320000000	0.0000000000	36.2432968337	39.1522701191	40.7675115912	42.5851401350	46.4104939775	51.4686108843	54.0728866991	54.1514856594	55.1555474319	55.5358026388	53.6506726524	53.7674694778	56.9481595256	58.9976876285	64.5180142547	77.1787530047	89.3068711364	94.5741991845	97.5540481882	100.7883009405	103.1015044389	104.1170378302	103.7355441211	101.4487159748	99.1388576885	101.7016218990	107.7095163485	113.4222233084	118.6108220453	124.0433806128	128.5463846793	131.4928267241	132.6851701564	134.1440471691	134.9580290253	134.6593832550	134.0914133139	135.0196363050	136.9750015060	138.0343096233	136.1975103937	132.8283535980	131.7585376952	134.0297893752	135.0958724062	133.8310999844	132.6087924947	133.0915016168	133.6406996261	131.8496349875	128.7937830897	128.0747134259	130.0295437992	132.1747268355	133.3731211915	134.6412827664	134.4553407295	133.6019660662	133.0365058999	133.4321558419	133.7009333805	133.6699422653	132.8052502645	131.6131002137	130.7636781902	130.1261810217	129.2205676840	129.0290482835	129.0790759737	129.4347687234	129.5689942943	127.6182921683	124.9031682899	123.7586605984	124.1184079659	125.1232866049	126.2607173619	126.9222211045	126.4983860363	125.4006687346	124.4144293241	123.8337077329	123.1649769042	121.9038860146	120.4752623933	120.1763081273	120.5810672036	120.7693210440	119.8368570895	117.8354664655	116.0021759967	114.0232547874	113.5195524545	114.7594353885	117.2614077044	118.2896375227	118.2318815689	117.6408720987	117.2607591712	116.1520463234	113.1054959940	107.5067597137	103.5475309348	102.9475533898	103.7888789693	104.3752646801	104.7695579759	105.9064832959	106.3867357006	103.1007467426	95.3058927673	88.2004952962	85.0389835913	84.7869556554	86.8347175376	91.5995602708	96.5130984156	99.9078288273	102.2953617683	103.5216680503	103.6933064187	102.3965064887	94.4131994135	78.9332244990	68.7451375270	74.3068650721	86.8228618745	95.0435372264	98.0165890144	98.7601491563	98.0551332789	96.6814318809	94.5775984584	92.7530948877	91.9395010606	91.0733919487	90.4213051847	15	1025	47.5000000000	125	41.8300000000	0	2021-208	18:01:43.838
0187	0.0320000000	0.0000000000	36.2097568278	39.0992792380	40.8076774879	42.4889223826	46.3918577733	51.5697840326	54.0636898134	54.1607988043	55.1840614148	55.6612126396	53.8753325255	53.7478759543	56.8602149328	59.1037016117	64.4991115688	77.0686021685	89.1915787548	94.6167893319	97.4402513480	100.9193957163	103.3348767219	104.0136021713	103.7160175456	101.4980653872	99.1153414447	101.6903102978	107.7808515258	113.3953403168	118.6907131560	124.0964814728	128.5730477841	131.5629118516	132.7616683051	134.2218063282	134.9467114599	134.7519528273	134.1741338830	135.0136080185	136.9504373316	138.1091014183	136.1912169837	132.8346856228	131.8218814680	134.1559908314	135.1271459208	133.9484794286	132.7547479262	133.0735842147	133.6641031883	131.8095489699	128.7488495744	127.9975097684	130.0403951178	132.0677111791	133.3889430470	134.6256824674	134.4758592844	133.6475131658	133.0065237364	133.3925628377	133.7844147074	133.7627063070	132.7419569827	131.5401181903	130.8514706920	130.0429171428	129.2156317733	128.8942477765	129.0892102074	129.5069668323	129.5637328168	127.6182921683	124.9798028143	123.7363687264	124.3331585923	125.2265322817	126.3541979055	126.9818128122	126.5955449084	125.4501676178	124.3892806278	123.9423115392	123.2104138483	121.7524449109	120.4819161997	120.2166649927	120.6151546880	120.9012930900	119.9221787579	118.0320293005	116.0319587704	114.1066507416	113.3426873259	114.7904608394	117.1678695209	118.2583609051	118.0987532820	117.6722677210	117.2370941478	116.3186331276	113.1374399313	107.6834458500	103.6684428142	103.0281911579	103.8854350047	104.5113196373	104.7456898723	106.0330240623	106.2451472529	103.1634666589	95.2745786066	88.1770152430	85.1955319309	84.8417927210	86.7876835599	91.6545325720	96.4658551440	99.7970055991	102.2554469325	103.5863628659	103.7672297956	102.4551125190	94.2933001750	79.0210269083	68.8350561544	74.4359361503	86.9738719604	95.2268426932	98.2626450251	98.8703851757	98.2896912475	96.8165299723	94.6730145202	92.7855974659	91.8728288738	90.9248714042	90.3270432107	15	1028	50.0000000000	126	42.0800000000	0	2021-208	18:01:44.078
0187	0.0320000000	0.0000000000	36.2432968337	39.2264573527	40.8277604363	42.6428707865	46.5502655086	51.6341669452	54.2476275259	54.2259908183	55.1840614148	55.4779211000	53.6897439347	53.7282824309	56.7918135828	59.0651510724	64.4518548540	77.2062907137	89.2181846891	94.4549467717	97.5215348053	100.9039728015	103.2327763481	104.0549764349	103.8071415646	101.4980653872	99.1212205056	101.7242451013	107.7534149191	113.4329765050	118.6108220453	124.1177218168	128.4663953652	131.4712620695	132.6906343099	134.1607098461	134.9184175464	134.5552424860	134.0323271931	135.0738908828	136.9135910698	138.0592402217	136.2100972137	132.8093575236	131.7965439589	134.0802699577	135.1584194354	133.9299458321	132.6878516867	133.0915016168	133.6289978451	131.8324552657	128.7769330215	127.9478788458	130.0295437992	132.0623603963	133.4153128062	134.6516829658	134.4553407295	133.5614797555	132.9315683278	133.3430715824	133.6812907153	133.5722959058	132.6299765611	131.4525397621	130.7783102739	130.1016916456	129.1958881305	129.0390335062	129.0892102074	129.4347687234	129.5795172495	127.6129217290	124.9250638683	123.6639201425	124.2031779500	125.0487202827	126.2256621580	126.8328335428	126.5105308953	125.3635445722	124.2509627984	123.7187154674	123.1649769042	121.7195229318	120.5018776189	120.1359512619	120.5878847005	120.7971046326	120.0003902872	117.9446680405	116.1436441716	114.1369765431	113.3503771141	114.7439226630	117.1444849751	118.3756482209	118.0674289792	117.6408720987	117.2844241947	116.1441136185	113.1294539469	107.6191963459	103.4346798474	102.8991707289	103.8532496596	104.4072776112	104.8093381486	105.9381184875	106.3002094270	102.9988268786	95.2276073656	88.1770152430	85.0311561743	84.7947895220	86.8112005487	91.4896156683	96.5997110801	99.8286693786	102.3113277026	103.5054943464	103.7754435041	102.3965064887	94.4474563387	79.0034664264	68.7721131152	74.5096910521	86.9549956996	95.1110708194	98.1150114187	98.8202778942	98.2387003848	96.7645691679	94.4927841813	92.7205923095	91.5616920020	90.7992001743	90.1267365161	15	1029	48.5000000000	127	42.3200000000	0	2021-208	18:01:44.344
0187	0.0320000000	0.0000000000	36.1426768160	39.1204755905	40.8679263331	42.4311917311	46.4664025899	51.6893522989	53.9717209572	54.0583542109	55.1650520929	55.5358026388	53.6897439347	53.5519407196	56.8797581756	59.0844263420	64.3762441105	76.9859890414	89.2004473996	94.6338253908	97.4971497681	101.0273561199	103.2619478835	104.1446206726	103.7615795551	101.4918967107	99.1329786276	101.6733428961	107.7204909912	113.3792105219	118.6214741934	124.0380705268	128.5143889537	131.4173504329	132.6851701564	134.2162521026	134.9240763291	134.6073128705	134.0500530294	134.9412685815	136.9135910698	138.0530075721	136.1975103937	132.8790097965	131.7332001860	133.8720375548	134.9645236450	133.8310999844	132.6452813526	133.1034465515	133.6172960640	131.7580098044	128.7207661273	128.0416261441	130.0295437992	132.1051666589	133.3783951433	134.6152822680	134.4296925359	133.4450816121	132.9465594095	133.3579189590	133.7549507097	133.6504129934	132.6737949869	131.4865980397	130.7588008290	130.0037341409	129.1761444877	129.0140704494	129.0030692209	129.3574136068	129.5479483840	127.5806990930	124.9469594467	123.7698065344	124.1975266177	125.2035887980	126.2256621580	126.8328335428	126.6137621969	125.4377928970	124.3389832353	123.8081538961	123.1390129360	121.8446264523	120.5284928444	120.0821421081	120.5128922349	120.8248882213	119.7657556992	117.8500266755	115.9202733692	114.0535805889	113.4195852079	114.6275772221	117.2380231585	118.2896375227	118.1300775848	117.5780808543	117.2449824889	116.2869023077	113.0575800880	107.5870715938	103.3540719278	102.9152982825	103.7647399605	104.3592582146	104.7536459068	105.9143920938	106.2687453275	103.0537068054	95.2510929861	88.1222284522	85.0546384253	84.8104572550	86.7798445636	91.5445879695	96.4343596296	99.8761650478	102.1676342937	103.5378417542	103.6850927101	102.1704546572	94.3189928689	78.9859059446	68.6911863506	74.2238908075	86.8794906567	95.0821278510	98.1839071016	98.7200633310	98.1979076946	96.6814318809	94.5033859659	92.9264419713	91.9061649672	90.9819946905	90.3623914510	15	1029	48.0000000000	128	42.5700000000	0	2021-208	18:01:44.578
0187	0.0320000000	0.0000000000	36.1538568180	39.3960281723	40.7875945396	42.6428707865	46.6527646315	51.5145986790	54.3487932678	54.3563748463	55.1365381101	55.5358026388	53.8851003461	53.7968597630	56.9090730399	59.0458758027	64.5274655976	77.1971114774	89.2181846891	94.5486450960	97.6190749540	100.9193957163	103.2473621158	103.9860193289	103.7941238476	101.5782581824	99.1858901761	101.7581799048	107.7863388471	113.5351318730	118.7226696002	124.1973731068	128.7116959286	131.5575206880	132.7671324586	134.2384690052	135.0146168524	134.5610280843	134.0914133139	135.0196363050	136.9013089826	137.9470525291	136.2100972137	132.8346856228	131.7712064497	134.0550296664	135.2272211674	133.9917244870	132.8885404051	133.1990060290	133.6406996261	131.8782678573	128.8106331580	128.0636843319	130.0783747328	132.0142033510	133.4522304691	134.6776834642	134.5271556716	133.5918444885	133.0115207637	133.4519523440	133.7647720422	133.7382947171	132.7711692666	131.5401181903	130.8173291635	130.0625086437	129.2797986125	129.0390335062	129.1398813759	129.4399257312	129.5847787271	127.6344034863	125.0126461819	123.7753795024	124.3218559278	125.2437398945	126.3308277696	126.9341394460	126.5955449084	125.4934791407	124.3829934538	123.8145423553	123.1584859121	121.7787824941	120.5684156828	120.1224989735	120.6219721849	120.7832128383	119.9150686188	117.9956287755	115.9575018362	114.3037684514	113.4887933017	114.8214862903	117.3237664934	118.3209141402	118.2553747960	117.7036633432	117.3002008770	116.2710368978	113.0895240253	107.6914770380	103.6039564785	103.1249564797	103.8693423321	104.3752646801	104.7695579759	106.0409328602	106.2608793026	103.0850667635	95.2432644459	88.0752683458	85.1955319309	84.7947895220	86.9287854929	91.6388262003	96.6233327159	99.8999128824	102.3272936370	103.5378417542	103.7015201272	102.2458052677	94.3104286376	79.0649281129	68.7900968407	74.3345231603	86.9078050478	95.2075473809	98.0559579761	98.8603637194	98.2896912475	96.6190789156	94.5775984584	92.6230845750	91.7617085625	91.0848166059	90.3506087042	15	1026	51.0000000000	129	42.8100000000	0	2021-208	18:01:44.921
0187	0.0320000000	0.0000000000	36.3215568474	39.2794482338	40.7976360138	42.3830828549	46.5316293045	51.4870060022	53.9809178428	54.2166776734	55.1365381101	55.4682741768	53.7581186787	53.7282824309	56.8406716899	59.1326145163	64.5369169406	77.2154699501	89.1738414654	94.6082713024	97.5052781138	100.9810873755	103.2911194188	104.1790992255	103.7941238476	101.4240412686	99.2505598467	101.7129335001	107.8796233096	113.5781446595	118.7599521185	124.1602025048	128.6797002029	131.5521295243	132.7179550773	134.3384450669	134.9750053735	134.7924520153	134.1918597193	135.1884283248	136.9442962879	138.1464973159	136.3044983633	132.9866542184	131.9359002590	134.0739598848	135.2022023558	134.0967482002	132.9371922156	133.2945655066	133.8396299042	131.9240804488	128.8274832262	128.0747134259	130.0946517107	132.1158682245	133.4680523247	134.6464828661	134.5989706138	133.6222092216	133.0365058999	133.5509348545	133.8482533691	133.8505880306	132.8685435463	131.6812167689	130.9392631938	130.1506703979	129.3439654516	129.1488709564	129.1500156096	129.4657107701	129.6005631598	127.6719965616	125.0345417603	123.8366821503	124.2992505987	125.2724192492	126.4476784492	126.9937311538	126.6076897674	125.5739148259	124.5275984573	123.8464846513	123.2688327766	121.9236392021	120.5617618764	120.2570218580	120.7174171411	120.9776979588	119.9363990359	118.0101889855	116.1734269453	114.1824652454	113.4657239371	114.8214862903	117.3081767961	118.3991056840	118.2945301745	117.6644188154	117.3475309239	116.3741620623	113.1534118999	107.5870715938	103.5072269750	103.0846375957	103.8371569870	104.3752646801	104.9127665976	106.0092976686	106.3867357006	103.1007467426	95.4311494100	88.1848419274	85.2816335176	84.9828023182	87.0463704372	91.7409176169	96.6705759875	99.9078288273	102.3193106698	103.7157524973	103.8986491323	102.4299956489	94.3446855629	79.0561478720	68.8530398799	74.5189104148	87.0776913943	95.2654333178	98.3118562272	98.8403208068	98.4018711455	96.7022162026	94.6412091663	92.7639290804	91.7728205936	90.9819946905	90.2681294770	15	1034	47.5000000000	130	43.5000000000	0	2021-208	18:01:45.514
0187	0.0320000000	0.0000000000	36.1873968239	39.2370555289	40.7775530654	42.4696788321	46.6154922232	51.6617596221	54.2844150684	54.1701119491	55.1650520929	55.5647434082	53.7776543198	53.7772662396	56.8895297970	58.9976876285	64.5085629117	77.2338284228	89.3068711364	94.6167893319	97.6109466083	101.0042217477	103.2838265350	104.1446206726	103.8722301495	101.6091015652	99.2740760905	101.8769517169	107.8576740243	113.5190020781	118.7706042666	124.1867529348	128.6743675820	131.6168234882	132.8436306073	134.4273126773	135.0598871140	134.7288104342	134.2332200038	135.1462303199	137.1039634220	138.2711503076	136.3485522331	133.0436424418	131.9359002590	134.1686109770	135.2147117616	134.1214596622	132.9189477866	133.2408133005	133.7869718894	131.9240804488	128.9679004616	128.1739752711	130.1163543479	132.2442870121	133.4786002284	134.6828835639	134.5425445878	133.7133034207	133.0415029271	133.4618505950	133.9317346960	133.8457057126	132.9220994002	131.7006786418	130.9636499998	130.2388321521	129.3538372730	129.1488709564	129.2006867781	129.5791649412	129.7110541890	127.7364418335	125.1111762848	123.8924118302	124.4800932315	125.3355138295	126.4827336530	127.0235270076	126.7230659280	125.6234137091	124.4144293241	123.8464846513	123.2688327766	121.8446264523	120.5684156828	120.2637480022	120.6969646505	120.9012930900	120.0359409824	118.1557910855	116.2702209596	114.2279539476	113.5580013955	114.8680244667	117.3783304337	118.2974566770	118.3336855530	117.8370947377	117.4264143354	116.4296909970	113.2172997745	107.8119448582	103.6523212303	103.1088289261	103.9900373763	104.4552970079	104.9286786667	105.9934800728	106.4339318498	103.1164267217	95.3685210886	88.2474554026	85.2581512667	84.9357991192	86.9366244892	91.7016516874	96.7571886521	100.0898955592	102.3193106698	103.7157524973	103.7918709212	102.5304631295	94.5159701893	79.1263897994	68.8890073309	74.4451555130	87.0493770033	95.2461380055	98.3315407081	98.9505568262	98.3712766279	96.6398632373	94.7260234435	92.8181000441	91.7394845002	90.9134467469	90.2799122238	15	1026	48.0000000000	131	43.7500000000	0	2021-208	18:01:45.764
0187	0.0320000000	0.0000000000	36.3662768553	39.3006445863	40.8980507556	42.6043836855	46.6061741211	51.7261425346	54.3028088397	54.3936274257	55.3646499726	55.9120326411	54.0316176546	53.9242176656	57.0361041184	59.0073252633	64.4613061970	77.1603945320	89.2536592680	94.6423434203	97.6028182625	101.0350675773	103.4296842119	104.2687434632	103.8461947156	101.6337762714	99.2564389076	101.7694915059	107.9015725949	113.5996510528	118.7812564146	124.2664042248	128.7810200008	131.7569937432	132.9037362956	134.5106260620	135.1391100719	134.8329512032	134.3159405729	135.1402020334	137.1039634220	138.2773829572	136.3863126930	133.0373104169	132.0942596911	134.2190915595	135.3022776024	134.1832383170	133.0162514076	133.3602626475	133.8220772326	132.1016042412	128.9791338404	128.2511789285	130.2302931929	132.2442870121	133.5999011209	134.7868855577	134.6656559172	133.8752486636	133.2463810441	133.6202226119	133.9857520252	133.8408233946	132.9853926820	131.7444678559	130.9197537489	130.2388321521	129.4476195764	129.1888118474	129.2513579466	129.6513630502	129.7531460096	127.9244072100	125.2316019660	123.9369955742	124.4461852378	125.4559671191	126.4301508472	127.0056494953	126.8262972295	125.6543505111	124.5653215017	124.0445268863	123.4116346011	122.0224051393	120.7480684554	120.3041048676	120.7446871286	120.9985356502	120.1070423727	118.0902701405	116.2776666531	114.3340942529	113.4887933017	114.8369990158	117.3783304337	118.3678290665	118.2475437203	117.7429078710	117.3633076062	116.5169507516	113.2652156805	107.8119448582	103.6603820222	103.2055942479	104.0302690577	104.5273261029	105.0002829776	106.1674736265	106.4653959493	103.1477866798	95.4624635707	88.1848419274	85.1642222630	84.9357991192	87.0071754558	91.7409176169	96.6154588373	99.9474085516	102.3033447355	103.7480999051	103.9807862177	102.5220908394	94.6701263530	79.1527305222	68.8170724289	74.5373491403	87.0493770033	95.3522622231	98.3020139868	99.0808357582	98.4222674906	96.8061378114	94.7684305820	92.8072658513	91.8283807493	90.9591453760	90.4213051847	15	1032	50.5000000000	132	43.9900000000	0	2021-208	18:01:46.013
0187	0.0320000000	0.0000000000	36.2321168317	39.1840646478	40.8578848589	42.6621143370	46.5502655086	51.7813278883	54.1924462122	54.1980513837	55.3266313289	55.6226249470	53.8167256021	53.7282824309	57.0849622255	58.9880499936	64.6503330559	77.1695737683	89.2625279127	94.5401270665	97.4646363852	101.0350675773	103.1890190450	104.0342893031	103.6574378192	101.4548846514	99.0800670790	101.7355567024	107.8521867030	113.5405084713	118.7492999704	124.1602025048	128.7170285495	131.7246467613	132.7835249190	134.3384450669	134.9523702426	134.6883112463	134.1268649864	135.1100606013	136.9565783752	138.1215667175	136.3170851833	132.9549940943	131.9485690136	134.1307505402	135.2397305733	134.2079497789	132.9371922156	133.2826205719	133.8045245610	132.0729713715	128.8948834992	128.2180916468	130.2574214894	132.2014807496	133.5260657950	134.7764853583	134.5938409750	133.6626955323	133.1164583358	133.5311383524	133.9170026972	133.8408233946	132.9026245442	131.6568894278	130.8856122205	130.2290364016	129.3587731837	129.1239078996	129.1854854276	129.5997929724	129.6584394132	127.8116279841	125.1440196524	123.9314226062	124.4518365701	125.2724192492	126.3775680414	126.9758536414	126.7291383575	125.5677274655	124.5401728054	123.9614769167	123.3012877367	121.9828987644	120.5817232956	120.2570218580	120.7242346380	120.9846438559	120.0075004262	118.0101889855	116.1287527848	114.1748837950	113.5580013955	114.8680244667	117.2458180072	118.3287332946	118.2240504932	117.7429078710	117.3633076062	116.4931526367	113.3291035551	107.8521007983	103.7248683579	103.2459131320	103.9980837126	104.4552970079	104.9525467703	105.9934800728	106.3395395514	103.0301868368	95.3450354681	88.3570289841	85.2111867648	84.8574604540	87.0698874260	91.7487708028	96.5603416871	99.9711563862	102.2873788011	103.6510576816	103.6933064187	102.3797619086	94.4731490327	79.0912688357	68.8170724289	74.5373491403	87.0493770033	95.1303661317	98.3118562272	98.9004495446	98.4018711455	96.8269221332	94.7790323667	92.8506026222	91.7061484068	91.1533645495	90.3977396912	15	1031	48.5000000000	133	44.2400000000	0	2021-208	18:01:46.247
