SN	INTTIME(ES)	SAMPLE(DELAY)	ES(349.01)	ES(352.33)	ES(355.64)	ES(358.96)	ES(362.28)	ES(365.60)	ES(368.92)	ES(372.24)	ES(375.56)	ES(378.88)	ES(382.20)	ES(385.52)	ES(388.85)	ES(392.17)	ES(395.49)	ES(398.82)	ES(402.14)	ES(405.47)	ES(408.79)	ES(412.12)	ES(415.44)	ES(418.77)	ES(422.10)	ES(425.42)	ES(428.75)	ES(432.08)	ES(435.41)	ES(438.74)	ES(442.07)	ES(445.40)	ES(448.73)	ES(452.06)	ES(455.39)	ES(458.72)	ES(462.05)	ES(465.38)	ES(468.71)	ES(472.04)	ES(475.38)	ES(478.71)	ES(482.04)	ES(485.37)	ES(488.71)	ES(492.04)	ES(495.37)	ES(498.71)	ES(502.04)	ES(505.38)	ES(508.71)	ES(512.04)	ES(515.38)	ES(518.71)	ES(522.05)	ES(525.38)	ES(528.72)	ES(532.05)	ES(535.38)	ES(538.72)	ES(542.05)	ES(545.39)	ES(548.72)	ES(552.06)	ES(555.39)	ES(558.73)	ES(562.06)	ES(565.40)	ES(568.73)	ES(572.07)	ES(575.40)	ES(578.73)	ES(582.07)	ES(585.40)	ES(588.74)	ES(592.07)	ES(595.40)	ES(598.74)	ES(602.07)	ES(605.41)	ES(608.74)	ES(612.07)	ES(615.40)	ES(618.74)	ES(622.07)	ES(625.40)	ES(628.73)	ES(632.06)	ES(635.40)	ES(638.73)	ES(642.06)	ES(645.39)	ES(648.72)	ES(652.05)	ES(655.38)	ES(658.71)	ES(662.03)	ES(665.36)	ES(668.69)	ES(672.02)	ES(675.35)	ES(678.67)	ES(682.00)	ES(685.33)	ES(688.65)	ES(691.98)	ES(695.30)	ES(698.62)	ES(701.95)	ES(705.27)	ES(708.59)	ES(711.92)	ES(715.24)	ES(718.56)	ES(721.88)	ES(725.20)	ES(728.52)	ES(731.84)	ES(735.16)	ES(738.48)	ES(741.79)	ES(745.11)	ES(748.42)	ES(751.74)	ES(755.05)	ES(758.37)	ES(761.68)	ES(765.00)	ES(768.31)	ES(771.62)	ES(774.93)	ES(778.24)	ES(781.55)	ES(784.86)	ES(788.16)	ES(791.47)	ES(794.78)	ES(798.08)	ES(801.39)	DARK_SAMP(ES)	DARK_AVE(ES)	TEMP(PCB)	FRAME(COUNTER)	TIMER	CHECK(SUM)	DATETAG	TIMETAG2
0187	0.0320000000	0.0000000000	35.3600766784	38.4633886646	40.1348987174	41.8057763402	45.7302725258	50.6776208153	53.2911514210	53.1456660149	54.2145859989	54.5035818631	52.7813366218	52.7975900658	55.7853365762	58.0050112396	63.4500125016	75.7743298437	87.5774854130	92.8791113178	95.7739404741	99.0609344831	101.3293336649	102.1172817586	101.7828865722	99.5487635967	97.2575581828	99.8861099132	105.7670045997	111.4490117269	116.4857185030	121.8821756111	126.2586902950	129.1530616974	130.4066181552	131.8557062014	132.5134348963	132.1426480059	131.6806995858	132.5661237303	134.4326094476	135.5350171395	133.7430805028	130.4031880934	129.4844962511	131.5941012695	132.7253400017	131.6132462756	130.4194610221	130.8219640241	131.3764049910	129.6105445741	126.6201242860	125.8909528302	127.8592800832	129.8845917892	131.1105958493	132.3428387037	132.2085589687	131.4157052867	130.8378139130	131.2248458569	131.6040788752	131.5607808984	130.6143289713	129.4139085738	128.5688656459	127.9319329176	127.2017802059	126.8772327824	126.9559540125	127.3564945886	127.4433573522	125.5238208303	122.8997228655	121.6966624407	122.2365143185	123.2476568093	124.3911064890	124.8782255288	124.6098604603	123.5815847764	122.4779797115	121.9810545669	121.2306612805	119.8824764994	118.7053498933	118.2660831668	118.7948830228	118.9494959886	118.2015251125	116.1610423158	114.3045578982	112.3629171547	111.7124522276	113.0840610392	115.4140285810	116.6163384845	116.4072409309	116.1260333260	115.6120958707	114.7558902504	111.6201029095	106.0772082472	102.0482236303	101.5525200004	102.3807701207	102.8306407546	103.2579114134	104.3800853016	104.7112724028	101.5327488349	93.7480132734	86.8073454734	83.7709420409	83.5178692806	85.5177661622	90.2331059252	95.2217823257	98.6333617040	100.8903595476	102.2762928489	102.6173105994	101.0653123704	93.2142070288	78.0025189608	67.8639349785	73.4125868874	85.8224200560	93.9629997378	97.0126804908	97.7179176999	97.1169014047	95.4551568971	93.4750128554	91.6371730369	90.6282813865	89.9423508793	89.1252030427	15	1029	47.5000000000	183	317.6600000000	0	2021-208	18:06:19.654
0187	0.0320000000	0.0000000000	35.5613167138	38.4951831933	40.1148157690	41.8538852165	45.6650458112	50.6960159332	53.2543638785	53.0711608560	54.2430999817	54.6386387871	52.8497113657	52.8563706362	55.8928244118	57.8508090822	63.3271450433	75.8110467890	87.6218286366	92.9046654063	95.7170420540	99.0763573979	101.3657980841	102.1793431539	101.7893954307	99.5981130091	97.3339859752	99.8295519074	105.8383397769	111.3629861538	116.4484359847	121.8450050091	126.2213619484	129.1907998430	130.3465124669	131.7779470423	132.5021173309	132.2699311680	131.7279684824	132.6264065946	134.4203273603	135.6347395329	133.7682541427	130.5108325153	129.5415056467	131.6698221432	132.6753023784	131.5761790827	130.4012165931	130.7741842853	131.2769398520	129.5819117044	126.5976575283	125.9295546590	127.8647057425	129.8845917892	131.1264177048	132.3792394015	132.2752442721	131.2993071434	130.8078317496	131.1357615975	131.4911335506	131.4533699028	130.4828736937	129.3117337410	128.5883750908	127.9907074204	127.1376133668	126.9670997871	126.9660882462	127.2791394719	127.4854491728	125.5291912697	122.9654096007	121.7635380566	122.2930276413	123.2075057128	124.3268386153	124.9199397243	124.6705847554	123.5568353348	122.5094155819	121.9171699750	121.3994270732	119.9680736450	118.6188504102	118.1786432919	118.7267080540	118.9356041943	118.0877628880	116.1319218958	114.4534717665	112.3856615058	111.7585909568	113.1305992155	115.5543358562	116.6163384845	116.4385652337	116.1260333260	115.6909792822	114.7479575454	111.6201029095	106.1816136914	102.0240412545	101.6089664381	102.2520287402	102.6785793319	103.3613398624	104.4275380890	104.8449948256	101.5876287617	93.9437267777	86.8229988422	83.7865968749	83.5492047466	85.5648001399	90.3351973418	95.1745390541	98.6887733181	100.9462403178	102.3571613685	102.4530364285	101.0150786300	93.3169778046	77.9761782380	68.0078047823	73.5232192402	85.9639920115	93.9533520817	97.0323649717	97.5675958553	97.0251178518	95.4551568971	93.4750128554	91.5830020733	90.7171776356	89.8852275929	89.1958995231	15	1028	48.0000000000	184	317.9100000000	0	2021-208	18:06:19.907
0187	0.0320000000	0.0000000000	35.4718766980	38.4951831933	40.0746498723	41.7961545650	45.7395906278	50.7328061689	53.1899856791	53.2015448840	54.1005300677	54.4842880169	52.9669252126	52.6310451162	55.7560217119	57.8122585428	63.2609856427	75.5264904623	87.3557692946	92.6917146693	95.4894483737	98.9144167925	101.2418190588	102.1172817586	101.7438334212	99.5981130091	97.2222838171	99.9143889161	105.7505426358	111.2231945976	116.3525666520	121.7547335471	126.1307073924	129.0398472606	130.2590860112	131.6168744984	132.4398707212	132.0847920232	131.6157048529	132.6083217353	134.3957631859	135.5537150883	133.7682541427	130.4855044160	129.5288368921	131.6761322160	132.5627177259	131.4217324456	130.3708092116	130.6487624710	131.2067291656	129.3700284683	126.5302572553	125.8854382833	127.7182129417	129.7026651734	131.0262126197	132.2960378065	132.0957069168	131.2082129442	130.6629179595	131.1060668443	131.5156868820	131.4143113590	130.5266921196	129.3020028045	128.5396014787	127.9025456662	126.9846001349	126.7524174981	126.8850143766	127.2842964797	127.3854810988	125.4164120438	122.8449839194	121.6520786968	122.1121850085	123.1788263581	124.3093110133	124.8424705042	124.5491361653	123.4949617308	122.2893644895	121.8021777095	121.2696072326	119.7968793538	118.5323509271	118.2257263015	118.7130730603	118.8939288113	118.0379919148	116.0518407408	114.2152095773	112.2719397501	111.7355215922	113.0297665001	115.5075667645	116.5616044038	116.3915787795	115.9298106871	115.5489891415	114.4782455767	111.3645514111	106.1093329992	101.8870077911	101.5122011163	102.3646774481	102.7426051941	103.2897355516	104.4117204932	104.8528608505	101.6425086885	93.8654413760	86.7525586826	83.6770130372	83.3690258169	85.4785711808	90.1153081368	95.2060345685	98.5225384759	100.7865809745	102.3005534048	102.3462582174	101.1574075609	93.1114362529	78.0200794427	67.8279675275	73.3849287993	85.7374768828	93.9629997378	97.0028382504	97.3872096417	96.9945233342	95.4759412188	93.2841807318	91.6913440005	90.7394016979	89.8281043066	89.1252030427	15	1027	49.5000000000	185	318.1500000000	0	2021-208	18:06:20.147
0187	0.0320000000	0.0000000000	35.5389567098	38.4421923122	39.9340692337	41.7480456888	45.6557277091	50.6592256974	53.2543638785	53.1363528700	54.0339974411	54.2141741690	52.7031940572	52.5722645458	55.7169352262	57.8315338125	63.2515342998	75.7100751892	87.4621930314	92.8365211704	95.5544751395	98.9838199091	101.1907688719	102.0690117845	101.6982714117	99.4500647719	97.2575581828	99.8182403062	105.6627454946	111.2769605808	116.2993059116	121.6750822571	126.0133897316	128.9913267877	130.2153727834	131.6224287241	132.2757660227	132.0153648439	131.5388928959	132.4636428611	134.3711990114	135.5163191908	133.6738529931	130.3968560686	129.4654931193	131.4615897404	132.5502083201	131.3599537907	130.3039129721	130.5890377975	131.1423693698	129.3585753204	126.4740903612	125.7365455154	127.6748076674	129.7080159562	130.9840210050	132.1400348158	132.0033734198	131.1069971674	130.5679744419	130.9724404551	131.4469375540	131.3069003635	130.4293178399	129.2338862493	128.5249693950	127.8143839120	126.9303051172	126.6925061617	126.7482022215	127.0883301841	127.2802515472	125.3143736965	122.7355060274	121.5239004329	122.0669743503	122.9665991336	124.2567282075	124.7113687472	124.5187740177	123.3464650812	122.2642157932	121.7255161992	121.1787333443	119.8561389161	118.3992747993	118.1113818496	118.6312630978	118.8244698397	117.9740006635	115.9863197959	114.1928724970	112.1582179945	111.5740360400	112.7582938046	115.2659264572	116.3974021617	116.3210990982	115.9219617815	115.4306640242	114.5337745115	111.4444112544	106.0932706232	101.8225214555	101.4315633481	102.1957043863	102.5825405386	103.1226588262	104.1902741521	104.4988897312	101.1407493580	93.6462422512	86.6664651542	83.5674291995	83.4551983485	85.3845032254	90.2095463675	95.0879263895	98.3879674132	100.7386831715	102.1226426617	102.4119678858	100.7722822185	92.9744085518	77.7742326967	67.6661139982	73.2097609074	85.6336574488	93.7411036464	96.7961512014	97.4573598359	96.9537306440	95.3720196100	93.2841807318	91.5179969169	90.5060490440	89.7367070485	89.1487685362	15	1026	51.5000000000	186	318.4000000000	0	2021-208	18:06:20.477
0187	0.0320000000	0.0000000000	35.4830567000	38.4421923122	40.1549816658	41.7384239135	45.6650458112	50.5856452259	52.9600635385	53.0897871457	53.9294461707	54.3878187855	52.5762123898	52.4840936902	55.7364784691	57.7929832731	63.2326316139	75.6274620621	87.5597481235	92.6576425514	95.4650633365	98.8373022186	101.0886684981	101.8828275985	101.7243068457	99.3760406533	97.0929444761	99.6315988871	105.6462835306	111.1210392297	116.2034365788	121.6644620851	126.0133897316	128.8996770056	130.0951614068	131.5946575958	132.1229788896	131.9575088612	131.4089034302	132.3249922734	134.0825699613	135.3792008999	133.4535836439	130.1878992497	129.1741117644	131.3038379201	132.3813313414	131.1746178262	130.0424094907	130.4038913097	130.9375882012	129.2612235633	126.3280564364	125.5931672945	127.5337405258	129.5207385576	130.8152545459	132.0360328220	131.8494842581	130.9096264026	130.4230606519	130.8041701872	131.2112255721	131.1164899623	130.2686502784	129.0392675201	128.2469598061	127.6429582789	126.7723559747	126.6375874366	126.6721954688	127.0522311296	127.1487146077	125.2338171066	122.5220241379	121.3511384251	121.8917830498	122.8862969405	124.0171843144	124.5921853317	124.3851805686	123.1360948275	122.1447594860	121.6105239337	120.8931296951	119.5993474793	118.2795062843	117.9365020997	118.4403731853	118.6022011307	117.7038153804	115.8552779059	113.9546103077	112.0369147884	111.3279628176	112.7738065300	115.2113625169	116.2253807653	116.1096600543	115.6707968037	115.2650088600	114.2243990180	111.2607336149	105.7720231026	101.7822174957	101.3589893567	102.0347776607	102.6145534697	103.0749226190	104.2535445352	104.5539519053	101.4229889814	93.5836139299	86.5099314663	83.5204646976	83.2045146201	85.3374692477	89.9739507907	94.9698182106	98.3008920197	100.5949897626	102.0983821059	102.1162743782	100.7555376384	92.9572800892	77.7391117330	67.7920000765	73.2281996329	85.6336574488	93.6446270849	96.7666244801	97.2669521659	96.8211544009	95.0914312663	93.0827468236	91.4204891824	90.3838167015	89.7938303348	88.9955928285	15	1032	48.5000000000	187	319.0900000000	0	2021-208	18:06:21.072
0187	0.0320000000	0.0000000000	35.4942367020	38.3468087262	40.0545669239	41.7191803631	45.4973199738	50.5856452259	53.0796230516	53.1549791597	54.0815207458	54.4553472475	52.6152836721	52.7094192101	55.7560217119	57.8989972564	63.2326316139	75.6549997712	87.4267184525	92.6576425514	95.4325499536	98.8835709630	101.1470115688	101.9586804150	101.6071473927	99.4130527126	97.1282188418	99.6655336906	105.6078722813	111.2016882044	116.3312623558	121.6803923431	126.0187223526	128.8888946783	130.1552670951	131.6057660471	132.2701072400	131.9748656560	131.4561723268	132.3551337055	134.3220706624	135.4415273957	133.5542782035	130.3778599942	129.2817961781	131.4237293035	132.3688219356	131.3970209836	130.1275501591	130.5950102648	131.0721586834	129.2784032852	126.3392898152	125.6483127641	127.6151254152	129.5581940373	130.8838159199	132.0828337192	131.9982437810	131.0412069125	130.4930190333	130.9081018232	131.2848855664	131.2727241376	130.3222061322	129.0489984566	128.3396296691	127.6772434055	126.8513305459	126.5976465456	126.7177995204	127.1347432541	127.2065908611	125.2391875459	122.6260281354	121.4625977850	121.9087370466	122.9149762951	124.1457200620	124.6756137225	124.3608908506	123.3340903604	122.2327799229	121.5658047193	120.9385666393	119.6388538542	118.3327367354	118.0373942631	118.5903581166	118.6994436909	117.9028992732	115.8552779059	114.0737414024	112.1657994448	111.4202402760	112.7427810791	115.2659264572	116.3661255442	116.1566465085	115.5923077481	115.2807855423	114.3116587726	111.2687195992	105.8844597348	101.8225214555	101.2219051508	102.0428239970	102.4865017453	103.0510545154	104.1586389605	104.5224878059	101.4778689082	93.5914424700	86.5568915726	83.6300485353	83.3141887513	85.2512402886	90.0210699060	94.9225749390	98.2059006813	100.5710408611	101.9366450667	102.2066251722	100.8225159588	92.9572800892	77.7917931786	67.6661139982	73.2650770838	85.6619718399	93.7796942710	96.7961512014	97.4874242048	96.7905598833	95.1329999098	93.4008003629	91.3771524115	90.3171445147	89.5196385604	88.9131136013	15	1024	50.5000000000	188	319.3300000000	0	2021-208	18:06:21.337
0187	0.0320000000	0.0000000000	35.6395767275	38.4951831933	40.0144010272	41.7865327898	45.4973199738	50.6500281385	53.0060479666	52.9966556972	54.1290440505	54.5035818631	52.8301757246	52.7975900658	55.9416825190	57.9086348912	63.3649504151	75.5448489350	87.3380320051	92.6491245219	95.4650633365	98.8064563890	101.0303254273	101.8690361773	101.5030056568	99.4315587422	97.2046466342	99.6768452918	105.6407962093	111.2447009909	116.3099580597	121.5954309671	126.0560506992	128.8026360598	129.9858783372	131.5779949189	132.1569315859	131.8591536905	131.3970862060	132.3370488462	134.1255572666	135.3418050024	133.4661704638	130.1625711504	129.2754618009	131.3290782113	132.4438783706	131.2549300775	130.1640390169	130.4576435158	130.9902462160	129.2325906936	126.1932558904	125.5159636371	127.4794839329	129.5153877747	130.8152545459	132.0412329217	131.8751324517	130.9905990241	130.4180636246	130.8635596935	131.2603322350	131.1848424140	130.2589128504	129.1025186071	128.3054881406	127.6331625284	126.7624841532	126.5776761001	126.6265914171	126.9284629429	127.0592694888	125.2338171066	122.4837068757	121.3288465531	121.9030857144	122.8805610695	124.0872947222	124.5743078193	124.3183838441	123.1794063503	122.0630262231	121.5019201274	120.9840035835	119.6388538542	118.4525052504	118.0373942631	118.4676431728	118.7411190738	117.7891370487	115.7460763309	113.9843930814	112.0824034907	111.4279300642	112.7195119909	115.1723882738	116.1941041477	116.1723086599	115.6472500870	115.3123389069	114.3513222974	111.2687195992	105.8041478547	101.7660959117	101.2864153654	102.0186849882	102.4064694175	103.0510545154	104.1111861731	104.4988897312	101.3681090546	93.6149280906	86.5803716258	83.5987388674	83.2750194187	85.2120453072	90.0681890214	94.8595839102	98.2296485159	100.5231430581	101.8962108069	102.1244880867	100.6969316081	92.9401516266	77.7566722149	67.7920000765	73.2189802701	85.5675905362	93.7700466149	96.7961512014	97.3872096417	96.7089745029	95.2265293577	93.1675611007	91.1604685569	90.3171445147	89.5767618467	88.9484618415	15	1026	49.0000000000	189	319.5800000000	0	2021-208	18:06:21.571
0187	0.0320000000	0.0000000000	35.5613167138	38.5163795458	40.1549816658	41.7576674640	45.6277734029	50.5672501080	53.0244417378	53.2108580289	53.9294461707	54.5228757094	52.6738905955	52.6506386397	55.8537379261	57.8989972564	63.3176937004	75.6917167165	87.4355870972	92.7087507282	95.5707318309	98.9375511647	101.1324258011	101.9379932832	101.6071473927	99.3575346236	97.0341538665	99.5806966819	105.6243342453	111.1371690246	116.1768062086	121.5741906231	125.9280677965	128.8673300236	129.9913424907	131.5280068880	132.1908842821	131.7955121095	131.2907311886	132.2044265449	134.0395826559	135.2046867115	133.3969429541	130.1372430511	129.0030835778	131.3480084298	132.3375484210	131.1869735572	130.1640390169	130.5113957219	131.0429042308	129.2669501373	126.2213393375	125.4939054492	127.4469299772	129.3869689871	130.6675838942	131.9320308282	131.8494842581	130.9045656138	130.3680933522	130.7893228106	131.1522975767	131.0432551926	130.1031140029	129.0052092425	128.2274503612	127.5254092733	126.7575482425	126.4728312613	126.6417927676	126.9233059352	127.0908383543	125.2230762280	122.4508635081	121.3121276492	121.8126643980	122.7314284252	123.9003336349	124.5266344532	124.2030076835	123.1237201067	122.1258979638	121.4635893723	120.8412017589	119.5400879170	118.2994677034	117.9432282439	118.4267381916	118.6160929250	117.7038153804	115.7169559109	113.8727076802	112.0293333380	111.4433096406	112.6884865400	115.0476706958	116.1315509127	116.0235182216	115.4824230703	115.2176788131	114.3513222974	111.1968457403	105.7077735985	101.5968192806	101.1493311595	101.9784533068	102.4865017453	102.8441976174	103.9846454067	104.3415692338	101.2505092116	93.3487577248	86.4081845691	83.4735001958	83.1575114211	85.1336553444	89.9503912330	94.9225749390	98.1821528467	100.6987683357	101.8881239550	102.1901977551	100.8392605389	92.8459450820	77.7391117330	67.6301465472	73.1267866429	85.4543329719	93.5770934919	96.5993063929	97.1767590591	96.6069927775	95.1433920707	93.2735789472	91.2254737133	90.3615926392	89.7367070485	88.9602445882	15	1028	49.0000000000	190	319.8200000000	0	2021-208	18:06:21.821
0187	0.0320000000	0.0000000000	35.4718766980	38.4421923122	39.9240277595	41.6999368126	45.5345923821	50.4384842828	52.8864884535	52.8103928000	53.8153902395	54.0791172451	52.4785341841	52.5134839754	55.5410460406	57.7737080034	63.0625074408	75.5264904623	87.1517904656	92.4872819617	95.3268814591	98.7139189002	100.9209321697	101.8483490455	101.4118816379	99.2279924160	96.9283307693	99.4336458669	105.3499681791	110.8844689038	116.0010457653	121.3777174411	125.6721019913	128.5869895135	129.8383461933	131.2391871543	131.8626748852	131.5988017682	131.1843761712	132.1019456757	133.9658901325	135.0488704719	133.1640867850	129.9029581330	128.9144022958	131.0135745707	132.0185585724	130.9645703997	129.7869874855	130.1829100177	130.6918507989	128.9806214399	126.0247552079	125.3394981344	127.2244779463	129.2585501995	130.5304611462	131.7448272394	131.6032615993	130.6464653829	130.0782657721	130.5616630364	130.9018535959	130.8577271094	129.9765274393	128.7522048945	128.0274785517	127.3539836402	126.4860731538	126.2731268065	126.3124301722	126.6912405851	126.8698562960	124.8901089896	122.2100121456	121.0836359614	121.5414004488	122.5249370716	123.5789942661	124.2286759144	123.9115310673	122.9009751322	121.8429751308	121.2783240557	120.6334900141	119.3557248342	118.0266616414	117.6069210326	118.1540383166	118.2965816557	117.4194098191	115.3820710810	113.6493368778	111.6654237199	111.2049262064	112.4480392954	114.9619273610	116.0142635969	115.7729237992	115.3489916758	114.8232617556	114.0260813940	110.8454624300	105.5069938982	101.3791778977	100.9477367390	101.7129242096	102.2544079948	102.6691648575	103.8343782467	104.0741243881	100.8820297033	93.2391581624	86.2751309343	83.0743019299	82.9930002243	84.9533584299	89.7619147715	94.6548630667	97.9446745008	100.3634837149	101.7425606198	101.8780768304	100.5294858070	92.7346100749	77.5898476373	67.4593011551	72.9331800256	85.2938847557	93.4323786497	96.3729348630	97.0665230397	96.4234256716	95.0186861401	93.0191361157	91.2471420987	90.1282399854	89.3939673305	88.6303276794	15	1028	49.0000000000	191	320.0700000000	0	2021-208	18:06:22.164
0187	0.0320000000	0.0000000000	35.4495166941	38.4527904884	40.1449401916	41.7095585878	45.6277734029	50.6684232564	53.2359701072	53.2387974634	54.1195393895	54.5807572482	52.7813366218	52.6212483545	55.7169352262	57.7351574640	63.1286668414	75.5815658804	87.2493455577	92.5724622566	95.4244216079	98.7370532724	101.1251329173	101.8828275985	101.5290410908	99.3451972705	97.0753072932	99.4788922715	105.3883794284	110.9651178785	115.9797414691	121.3299266671	125.6827672332	128.6355099864	129.8219537328	131.3058378621	132.0437559317	131.7897265113	131.2139192316	132.1320871078	133.9474670016	135.2109193611	133.2521945246	130.1625711504	129.0727617279	131.1650163182	132.1749261452	131.0819498439	129.9025355355	130.3083318321	130.6918507989	129.0665200491	126.0472219656	125.3284690405	127.3112884949	129.2960056792	130.6042964720	131.7760278375	131.7007247351	130.7071948490	130.2031914532	130.5814595385	130.9313175937	130.8919033352	130.0154771511	128.7911286404	128.0518653577	127.3833708916	126.5354322608	126.3080750861	126.4188396261	126.8098517640	126.9119481166	124.9706655795	122.3632811945	121.1505115773	121.6996377525	122.6683338450	123.7425852175	124.3299818176	124.0086899393	122.9071624926	121.8429751308	121.3294317292	120.7373458865	119.4347375840	118.0931997053	117.7145393402	118.3040232479	118.4910667761	117.5118416265	115.5859140209	113.8578162934	111.8625414297	111.1664772654	112.5333592854	114.8917737234	115.9908061338	115.8825588590	115.4117829203	114.9889169197	114.0102159841	110.9971961322	105.5953369663	101.5887584886	101.0445020609	101.9140826166	102.3584500209	102.8362415828	103.9609190130	104.3415692338	101.0623494626	93.4270431265	86.3690511471	83.2308502694	82.9616647583	85.0552653816	89.7540615856	94.6706108239	97.9367585559	100.4113815178	101.7021263600	102.0669921269	100.5964641274	92.6404035304	77.5898476373	67.4862767434	73.0991285547	85.3882660593	93.5963888042	96.5402529503	97.0665230397	96.3928311540	94.8835880487	92.8389057767	90.9871214733	90.1393520165	89.1997481569	88.6067621859	15	1032	50.5000000000	192	320.7600000000	0	2021-208	18:06:22.757
